Wavelength (nm),Sum(calc),Si I (3.4e-1),Si II (6.6e-1),Si III (3.0e-5)
378,2.216e-24,3.585e-13,2.494e-15,2.216e-24
378.02,7.795e-24,3.585e-13,2.495e-15,7.795e-24
378.05,4.932e-23,3.585e-13,2.496e-15,4.932e-23
378.07,1.641e-22,3.586e-13,2.497e-15,1.641e-22
378.1,9.551e-22,3.586e-13,2.499e-15,9.551e-22
378.12,3.006e-21,3.587e-13,2.500e-15,3.006e-21
378.14,9.251e-21,3.587e-13,2.501e-15,9.251e-21
378.17,4.790e-20,3.587e-13,2.503e-15,4.790e-20
378.19,1.395e-19,3.588e-13,2.504e-15,1.395e-19
378.22,6.643e-19,3.588e-13,2.505e-15,6.643e-19
378.24,1.829e-18,3.589e-13,2.506e-15,1.829e-18
378.27,8.016e-18,3.589e-13,2.508e-15,8.016e-18
378.29,2.088e-17,3.589e-13,2.509e-15,2.088e-17
378.32,8.416e-17,3.590e-13,2.511e-15,8.416e-17
378.34,2.073e-16,3.590e-13,2.512e-15,2.073e-16
378.37,7.689e-16,3.591e-13,2.513e-15,7.689e-16
378.39,1.792e-15,3.591e-13,2.514e-15,1.792e-15
378.42,6.112e-15,3.592e-13,2.516e-15,6.112e-15
378.44,1.347e-14,3.592e-13,2.517e-15,1.347e-14
378.47,4.227e-14,3.592e-13,2.519e-15,4.227e-14
378.49,8.812e-14,3.593e-13,2.520e-15,8.812e-14
378.52,2.544e-13,3.593e-13,2.521e-15,2.544e-13
378.54,5.016e-13,3.594e-13,2.522e-15,5.016e-13
378.56,9.673e-13,3.594e-13,2.523e-15,9.673e-13
378.59,2.485e-12,3.594e-13,2.525e-15,2.485e-12
378.61,4.532e-12,3.595e-13,2.526e-15,4.532e-12
378.64,1.071e-11,3.595e-13,2.528e-15,1.071e-11
378.66,1.847e-11,3.596e-13,2.529e-15,1.847e-11
378.69,4.015e-11,3.596e-13,2.530e-15,4.015e-11
378.71,6.553e-11,3.597e-13,2.531e-15,6.553e-11
378.74,1.310e-10,3.597e-13,2.533e-15,1.310e-10
378.76,2.022e-10,3.597e-13,2.534e-15,2.022e-10
378.79,3.720e-10,3.598e-13,2.536e-15,3.720e-10
378.81,5.431e-10,3.598e-13,2.537e-15,5.431e-10
378.84,9.189e-10,3.599e-13,2.538e-15,9.189e-10
378.86,1.269e-9,3.599e-13,2.539e-15,1.269e-9
378.89,1.975e-9,3.600e-13,2.541e-15,1.975e-9
378.91,2.580e-9,3.600e-13,2.542e-15,2.580e-9
378.93,3.296e-9,3.600e-13,2.543e-15,3.296e-9
378.96,4.564e-9,3.601e-13,2.545e-15,4.564e-9
378.98,5.515e-9,3.601e-13,2.546e-15,5.515e-9
379.01,7.026e-9,3.602e-13,2.547e-15,7.026e-9
379.03,8.032e-9,3.602e-13,2.548e-15,8.032e-9
379.06,9.416e-9,3.602e-13,2.550e-15,9.416e-9
379.08,1.018e-8,3.603e-13,2.551e-15,1.018e-8
379.11,1.100e-8,3.603e-13,2.552e-15,1.100e-8
379.13,1.126e-8,3.604e-13,2.554e-15,1.126e-8
379.16,1.123e-8,3.604e-13,2.555e-15,1.123e-8
379.18,1.094e-8,3.604e-13,2.556e-15,1.094e-8
379.21,1.018e-8,3.605e-13,2.558e-15,1.018e-8
379.23,9.553e-9,3.605e-13,2.559e-15,9.553e-9
379.26,8.597e-9,3.606e-13,2.560e-15,8.597e-9
379.28,8.075e-9,3.606e-13,2.561e-15,8.075e-9
379.3,7.744e-9,3.606e-13,2.563e-15,7.744e-9
379.33,7.774e-9,3.607e-13,2.564e-15,7.774e-9
379.35,8.243e-9,3.607e-13,2.565e-15,8.243e-9
379.38,9.732e-9,3.608e-13,2.567e-15,9.732e-9
379.4,1.127e-8,3.608e-13,2.568e-15,1.127e-8
379.43,1.436e-8,3.609e-13,2.569e-15,1.436e-8
379.45,1.685e-8,3.609e-13,2.571e-15,1.685e-8
379.48,2.100e-8,3.609e-13,2.572e-15,2.100e-8
379.5,2.384e-8,3.610e-13,2.573e-15,2.384e-8
379.53,2.785e-8,3.610e-13,2.575e-15,2.785e-8
379.55,3.011e-8,3.611e-13,2.576e-15,3.011e-8
379.58,3.252e-8,3.611e-13,2.577e-15,3.252e-8
379.6,3.332e-8,3.612e-13,2.578e-15,3.332e-8
379.63,3.316e-8,3.612e-13,2.580e-15,3.316e-8
379.65,3.216e-8,3.612e-13,2.581e-15,3.216e-8
379.67,3.051e-8,3.613e-13,2.582e-15,3.051e-8
379.7,2.704e-8,3.613e-13,2.584e-15,2.704e-8
379.72,2.427e-8,3.614e-13,2.585e-15,2.427e-8
379.75,1.979e-8,3.614e-13,2.586e-15,1.979e-8
379.77,1.681e-8,3.614e-13,2.587e-15,1.681e-8
379.8,1.261e-8,3.615e-13,2.589e-15,1.261e-8
379.82,1.013e-8,3.615e-13,2.590e-15,1.013e-8
379.85,6.997e-9,3.616e-13,2.592e-15,6.997e-9
379.87,5.317e-9,3.616e-13,2.593e-15,5.317e-9
379.9,3.379e-9,3.617e-13,2.594e-15,3.379e-9
379.92,2.430e-9,3.617e-13,2.595e-15,2.430e-9
379.95,1.421e-9,3.617e-13,2.597e-15,1.421e-9
379.97,9.665e-10,3.618e-13,2.598e-15,9.665e-10
380,5.204e-10,3.618e-13,2.600e-15,5.204e-10
380.02,3.355e-10,3.619e-13,2.601e-15,3.355e-10
380.05,1.681e-10,3.619e-13,2.602e-15,1.681e-10
380.07,1.056e-10,3.619e-13,2.603e-15,1.056e-10
380.09,6.897e-11,3.620e-13,2.604e-15,6.897e-11
380.12,4.851e-11,3.620e-13,2.606e-15,4.851e-11
380.14,5.414e-11,3.621e-13,2.607e-15,5.414e-11
380.17,9.540e-11,3.621e-13,2.609e-15,9.540e-11
380.19,1.537e-10,3.621e-13,2.610e-15,1.537e-10
380.22,3.168e-10,3.622e-13,2.611e-15,3.168e-10
380.24,5.036e-10,3.622e-13,2.612e-15,5.036e-10
380.27,9.713e-10,3.623e-13,2.614e-15,9.713e-10
380.29,1.465e-9,3.623e-13,2.615e-15,1.465e-9
380.32,2.604e-9,3.624e-13,2.617e-15,2.604e-9
380.34,3.717e-9,3.624e-13,2.618e-15,3.717e-9
380.37,6.084e-9,3.624e-13,2.619e-15,6.084e-9
380.39,8.220e-9,3.625e-13,2.620e-15,8.220e-9
380.42,1.239e-8,3.625e-13,2.622e-15,1.239e-8
380.44,1.584e-8,3.626e-13,2.623e-15,1.584e-8
380.46,1.981e-8,3.626e-13,2.624e-15,1.981e-8
380.49,2.659e-8,3.626e-13,2.626e-15,2.659e-8
380.51,3.148e-8,3.627e-13,2.627e-15,3.148e-8
380.54,3.891e-8,3.627e-13,2.628e-15,3.891e-8
380.56,4.359e-8,3.628e-13,2.629e-15,4.359e-8
380.59,4.961e-8,3.628e-13,2.631e-15,4.961e-8
380.61,5.260e-8,3.629e-13,2.632e-15,5.260e-8
380.64,5.512e-8,3.629e-13,2.634e-15,5.512e-8
380.66,5.531e-8,3.629e-13,2.635e-15,5.531e-8
380.69,5.337e-8,3.630e-13,2.636e-15,5.337e-8
380.71,5.069e-8,3.630e-13,2.637e-15,5.069e-8
380.74,4.503e-8,3.631e-13,2.639e-15,4.503e-8
380.76,4.048e-8,3.631e-13,2.640e-15,4.048e-8
380.79,3.311e-8,3.632e-13,2.642e-15,3.311e-8
380.81,2.818e-8,3.632e-13,2.643e-15,2.818e-8
380.83,2.345e-8,3.632e-13,2.644e-15,2.345e-8
380.86,1.709e-8,3.633e-13,2.645e-15,1.709e-8
380.88,1.346e-8,3.633e-13,2.646e-15,1.346e-8
380.91,9.034e-9,3.634e-13,2.648e-15,9.034e-9
380.93,6.737e-9,3.634e-13,2.649e-15,6.737e-9
380.96,4.162e-9,3.634e-13,2.651e-15,4.162e-9
380.98,2.938e-9,3.635e-13,2.652e-15,2.938e-9
381.01,1.671e-9,3.635e-13,2.653e-15,1.671e-9
381.03,1.117e-9,3.636e-13,2.654e-15,1.117e-9
381.06,5.850e-10,3.636e-13,2.656e-15,5.850e-10
381.08,3.699e-10,3.636e-13,2.657e-15,3.699e-10
381.11,1.784e-10,3.637e-13,2.658e-15,1.784e-10
381.13,1.068e-10,3.637e-13,2.660e-15,1.068e-10
381.16,4.745e-11,3.638e-13,2.661e-15,4.745e-11
381.18,2.688e-11,3.638e-13,2.662e-15,2.688e-11
381.2,1.489e-11,3.638e-13,2.663e-15,1.489e-11
381.23,5.896e-12,3.639e-13,2.665e-15,5.896e-12
381.25,3.092e-12,3.639e-13,2.666e-15,3.092e-12
381.28,1.127e-12,3.640e-13,2.667e-15,1.127e-12
381.3,5.597e-13,3.640e-13,2.669e-15,5.597e-13
381.33,1.879e-13,3.641e-13,2.670e-15,1.879e-13
381.35,8.829e-14,3.641e-13,2.671e-15,8.829e-14
381.38,2.730e-14,3.641e-13,2.673e-15,2.730e-14
381.4,1.214e-14,3.642e-13,2.674e-15,1.214e-14
381.43,3.457e-15,3.642e-13,2.675e-15,3.457e-15
381.45,1.456e-15,3.643e-13,2.677e-15,1.456e-15
381.48,3.817e-16,3.643e-13,2.678e-15,3.817e-16
381.5,1.521e-16,3.643e-13,2.679e-15,1.521e-16
381.53,3.673e-17,3.644e-13,2.681e-15,3.673e-17
381.55,1.386e-17,3.644e-13,2.682e-15,1.386e-17
381.58,3.082e-18,3.645e-13,2.683e-15,3.082e-18
381.6,1.101e-18,3.645e-13,2.684e-15,1.101e-18
381.62,3.845e-19,3.646e-13,2.686e-15,3.845e-19
381.65,7.620e-20,3.646e-13,2.687e-15,7.620e-20
381.67,2.520e-20,3.646e-13,2.688e-15,2.520e-20
381.7,4.599e-21,3.647e-13,2.690e-15,4.599e-21
381.72,1.440e-21,3.647e-13,2.691e-15,1.440e-21
381.75,2.420e-22,3.648e-13,2.692e-15,2.420e-22
381.77,7.172e-23,3.648e-13,2.693e-15,7.172e-23
381.8,1.110e-23,3.649e-13,2.695e-15,1.110e-23
381.82,1.309e-24,3.649e-13,2.696e-15,1.309e-24
382.34,1.734e-29,3.658e-13,2.724e-15,1.734e-29
382.36,6.190e-29,3.658e-13,2.725e-15,6.190e-29
382.39,4.009e-28,3.658e-13,2.726e-15,4.009e-28
382.41,1.356e-27,3.659e-13,2.727e-15,1.356e-27
382.44,8.093e-27,3.659e-13,2.729e-15,8.093e-27
382.46,2.592e-26,3.660e-13,2.730e-15,2.592e-26
382.49,1.426e-25,3.660e-13,2.732e-15,1.426e-25
382.51,4.325e-25,3.660e-13,2.733e-15,4.325e-25
382.54,2.193e-24,3.661e-13,2.734e-15,2.193e-24
382.56,6.300e-24,3.661e-13,2.735e-15,6.300e-24
382.59,2.945e-23,3.662e-13,2.737e-15,2.945e-23
382.61,8.011e-23,3.662e-13,2.738e-15,8.011e-23
382.64,3.451e-22,3.663e-13,2.740e-15,3.451e-22
382.66,8.890e-22,3.663e-13,2.741e-15,8.890e-22
382.69,3.529e-21,3.664e-13,2.742e-15,3.529e-21
382.71,8.612e-21,3.664e-13,2.743e-15,8.612e-21
382.73,2.056e-20,3.664e-13,2.744e-15,2.056e-20
382.76,7.282e-20,3.665e-13,2.746e-15,7.282e-20
382.78,1.646e-19,3.665e-13,2.747e-15,1.646e-19
382.81,5.374e-19,3.666e-13,2.749e-15,5.374e-19
382.83,1.151e-18,3.666e-13,2.750e-15,1.151e-18
382.86,3.462e-18,3.666e-13,2.751e-15,3.462e-18
382.88,7.021e-18,3.667e-13,2.752e-15,7.021e-18
382.91,1.947e-17,3.667e-13,2.754e-15,1.947e-17
382.93,3.739e-17,3.668e-13,2.755e-15,3.739e-17
382.96,9.555e-17,3.668e-13,2.757e-15,9.555e-17
382.98,1.738e-16,3.668e-13,2.758e-15,1.738e-16
383.01,4.093e-16,3.669e-13,2.759e-15,4.093e-16
383.03,7.052e-16,3.669e-13,2.760e-15,7.052e-16
383.06,1.531e-15,3.670e-13,2.762e-15,1.531e-15
383.08,2.497e-15,3.670e-13,2.763e-15,2.497e-15
383.1,3.987e-15,3.670e-13,2.764e-15,3.987e-15
383.13,7.720e-15,3.671e-13,2.766e-15,7.720e-15
383.15,1.167e-14,3.671e-13,2.767e-15,1.167e-14
383.18,2.083e-14,3.672e-13,2.768e-15,2.083e-14
383.2,2.983e-14,3.672e-13,2.769e-15,2.983e-14
383.23,4.906e-14,3.673e-13,2.771e-15,4.906e-14
383.25,6.653e-14,3.673e-13,2.772e-15,6.653e-14
383.28,1.009e-13,3.673e-13,2.773e-15,1.009e-13
383.3,1.295e-13,3.674e-13,2.775e-15,1.295e-13
383.33,1.810e-13,3.674e-13,2.776e-15,1.810e-13
383.35,2.201e-13,3.675e-13,2.777e-15,2.201e-13
383.38,2.835e-13,3.675e-13,2.779e-15,2.835e-13
383.4,3.266e-13,3.675e-13,2.780e-15,3.266e-13
383.43,3.876e-13,3.676e-13,2.781e-15,3.876e-13
383.45,4.228e-13,3.676e-13,2.782e-15,4.228e-13
383.48,4.625e-13,3.677e-13,2.784e-15,4.625e-13
383.5,4.779e-13,3.677e-13,2.785e-15,4.779e-13
383.52,4.831e-13,3.678e-13,2.786e-15,4.831e-13
383.55,4.714e-13,3.678e-13,2.788e-15,4.714e-13
383.57,4.514e-13,3.678e-13,2.789e-15,4.514e-13
383.6,4.060e-13,3.679e-13,2.790e-15,4.060e-13
383.62,3.682e-13,3.679e-13,2.792e-15,3.682e-13
383.65,3.055e-13,3.680e-13,2.793e-15,3.055e-13
383.67,2.627e-13,3.680e-13,2.794e-15,2.627e-13
383.7,2.020e-13,3.681e-13,2.796e-15,2.020e-13
383.72,1.661e-13,3.681e-13,2.797e-15,1.661e-13
383.75,1.222e-13,3.681e-13,2.798e-15,1.222e-13
383.77,1.012e-13,3.682e-13,2.799e-15,1.012e-13
383.8,8.471e-14,3.682e-13,2.801e-15,8.471e-14
383.82,8.596e-14,3.683e-13,2.802e-15,8.596e-14
383.85,1.117e-13,3.683e-13,2.804e-15,1.117e-13
383.87,1.496e-13,3.683e-13,2.805e-15,1.496e-13
383.89,2.093e-13,3.684e-13,2.806e-15,2.093e-13
383.92,3.524e-13,3.684e-13,2.807e-15,3.524e-13
383.94,4.937e-13,3.685e-13,2.808e-15,4.937e-13
383.97,7.930e-13,3.685e-13,2.810e-15,7.930e-13
383.99,1.061e-12,3.685e-13,2.811e-15,1.061e-12
384.02,1.579e-12,3.686e-13,2.813e-15,1.579e-12
384.04,2.004e-12,3.686e-13,2.814e-15,2.004e-12
384.07,2.751e-12,3.687e-13,2.815e-15,2.751e-12
384.09,3.307e-12,3.687e-13,2.816e-15,3.307e-12
384.12,4.186e-12,3.688e-13,2.818e-15,4.186e-12
384.14,4.767e-12,3.688e-13,2.819e-15,4.767e-12
384.17,5.563e-12,3.688e-13,2.821e-15,5.563e-12
384.19,6.004e-12,3.689e-13,2.822e-15,6.002e-12
384.22,6.476e-12,3.689e-13,1.854e-14,6.457e-12
384.24,6.662e-12,3.690e-13,6.333e-14,6.598e-12
384.26,6.810e-12,3.690e-13,2.117e-13,6.598e-12
384.29,7.578e-12,3.690e-13,1.242e-12,6.336e-12
384.31,9.935e-12,3.691e-13,3.934e-12,6.002e-12
384.34,2.661e-11,3.691e-13,2.129e-11,5.313e-12
384.36,6.867e-11,3.692e-13,6.390e-11,4.767e-12
384.39,3.230e-10,3.692e-13,3.191e-10,3.891e-12
384.41,9.106e-10,3.692e-13,9.073e-10,3.307e-12
384.44,4.181e-9,3.693e-13,4.178e-9,2.488e-12
384.46,1.126e-8,3.693e-13,1.126e-8,2.003e-12
384.49,4.782e-8,3.694e-13,4.782e-8,1.390e-12
384.51,1.221e-7,3.694e-13,1.221e-7,1.060e-12
384.54,4.784e-7,3.695e-13,4.784e-7,6.778e-13
384.56,1.157e-6,3.695e-13,1.157e-6,4.897e-13
384.59,4.183e-6,3.696e-13,4.183e-6,2.887e-13
384.61,9.589e-6,3.696e-13,9.589e-6,1.976e-13
384.63,2.151e-5,3.696e-13,2.151e-5,1.323e-13
384.66,6.944e-5,3.697e-13,6.944e-5,6.963e-14
384.68,1.476e-4,3.697e-13,1.476e-4,4.417e-14
384.71,4.396e-4,3.698e-13,4.396e-4,2.143e-14
384.73,8.856e-4,3.698e-13,8.856e-4,1.288e-14
384.76,2.432e-3,3.698e-13,2.432e-3,5.758e-15
384.78,4.644e-3,3.699e-13,4.644e-3,3.278e-15
384.81,1.177e-2,3.699e-13,1.177e-2,1.352e-15
384.83,2.130e-2,3.700e-13,2.130e-2,7.287e-16
384.86,4.981e-2,3.700e-13,4.981e-2,2.770e-16
384.88,8.546e-2,3.700e-13,8.546e-2,1.415e-16
384.91,1.845e-1,3.701e-13,1.845e-1,4.959e-17
384.93,3.002e-1,3.701e-13,3.002e-1,2.399e-17
384.96,5.991e-1,3.702e-13,5.991e-1,7.752e-18
384.98,9.252e-1,3.702e-13,9.252e-1,3.553e-18
385.01,1.708e+0,3.703e-13,1.708e+0,1.058e-18
385.03,2.508e+0,3.703e-13,2.508e+0,4.595e-19
385.05,3.608e+0,3.703e-13,3.608e+0,1.952e-19
385.08,6.008e+0,3.704e-13,6.008e+0,5.189e-20
385.1,8.247e+0,3.704e-13,8.247e+0,2.088e-20
385.13,1.284e+1,3.705e-13,1.284e+1,5.118e-21
385.15,1.689e+1,3.705e-13,1.689e+1,1.951e-21
385.18,2.479e+1,3.705e-13,2.479e+1,4.409e-22
385.2,3.149e+1,3.706e-13,3.149e+1,1.592e-22
385.23,4.413e+1,3.706e-13,4.413e+1,3.316e-23
385.25,5.459e+1,3.707e-13,5.459e+1,1.134e-23
385.28,7.397e+1,3.707e-13,7.397e+1,2.179e-24
385.3,8.980e+1,3.707e-13,8.980e+1,7.059e-25
385.33,1.187e+2,3.708e-13,1.187e+2,1.250e-25
385.35,1.418e+2,3.708e-13,1.418e+2,3.836e-26
385.38,1.827e+2,3.709e-13,1.827e+2,6.262e-27
385.4,2.140e+2,3.709e-13,2.140e+2,1.821e-27
385.42,2.482e+2,3.709e-13,2.482e+2,5.179e-28
385.45,3.032e+2,3.710e-13,3.032e+2,8.172e-28
385.47,3.407e+2,3.710e-13,3.407e+2,1.017e-27
385.5,3.946e+2,3.711e-13,3.946e+2,1.316e-27
385.52,4.263e+2,3.711e-13,4.263e+2,1.515e-27
385.55,4.632e+2,3.712e-13,4.632e+2,1.815e-27
385.57,4.784e+2,3.712e-13,4.784e+2,2.014e-27
385.6,4.841e+2,3.713e-13,4.841e+2,2.313e-27
385.62,4.761e+2,3.713e-13,4.761e+2,2.513e-27
385.65,4.470e+2,3.713e-13,4.470e+2,2.812e-27
385.67,4.177e+2,3.714e-13,4.177e+2,3.012e-27
385.7,3.629e+2,3.714e-13,3.629e+2,3.311e-27
385.72,3.218e+2,3.715e-13,3.218e+2,3.510e-27
385.75,2.584e+2,3.715e-13,2.584e+2,3.810e-27
385.77,2.175e+2,3.715e-13,2.175e+2,4.009e-27
385.79,1.794e+2,3.716e-13,1.794e+2,4.209e-27
385.82,1.295e+2,3.716e-13,1.295e+2,4.508e-27
385.84,1.020e+2,3.717e-13,1.020e+2,4.707e-27
385.87,6.990e+1,3.717e-13,6.990e+1,5.007e-27
385.89,5.443e+1,3.717e-13,5.443e+1,5.206e-27
385.92,3.948e+1,3.718e-13,3.948e+1,5.505e-27
385.94,3.455e+1,3.718e-13,3.455e+1,5.705e-27
385.97,3.395e+1,3.719e-13,3.395e+1,6.004e-27
385.99,3.772e+1,3.719e-13,3.772e+1,6.203e-27
386.02,4.908e+1,3.720e-13,4.908e+1,6.503e-27
386.04,6.014e+1,3.720e-13,6.014e+1,6.702e-27
386.07,8.129e+1,3.720e-13,8.129e+1,7.001e-27
386.09,9.784e+1,3.721e-13,9.784e+1,7.201e-27
386.12,1.249e+2,3.721e-13,1.249e+2,7.500e-27
386.14,1.434e+2,3.722e-13,1.434e+2,7.700e-27
386.16,1.613e+2,3.722e-13,1.613e+2,7.899e-27
386.19,1.848e+2,3.722e-13,1.848e+2,8.198e-27
386.21,1.971e+2,3.723e-13,1.971e+2,8.398e-27
386.24,2.085e+2,3.723e-13,2.085e+2,8.697e-27
386.26,2.107e+2,3.724e-13,2.107e+2,8.897e-27
386.29,2.057e+2,3.724e-13,2.057e+2,9.196e-27
386.31,1.971e+2,3.724e-13,1.971e+2,9.395e-27
386.34,1.775e+2,3.725e-13,1.775e+2,9.695e-27
386.36,1.612e+2,3.725e-13,1.612e+2,9.894e-27
386.39,1.339e+2,3.726e-13,1.339e+2,1.019e-26
386.41,1.153e+2,3.726e-13,1.153e+2,1.039e-26
386.44,8.840e+1,3.727e-13,8.840e+1,1.069e-26
386.46,7.211e+1,3.727e-13,7.211e+1,1.089e-26
386.49,5.102e+1,3.728e-13,5.102e+1,1.119e-26
386.51,3.944e+1,3.728e-13,3.944e+1,1.139e-26
386.54,2.575e+1,3.728e-13,2.575e+1,1.169e-26
386.56,1.887e+1,3.729e-13,1.887e+1,1.189e-26
386.58,1.353e+1,3.729e-13,1.353e+1,1.209e-26
386.61,7.895e+0,3.730e-13,7.895e+0,1.239e-26
386.63,5.367e+0,3.730e-13,5.367e+0,1.259e-26
386.66,2.889e+0,3.730e-13,2.889e+0,1.289e-26
386.68,1.861e+0,3.731e-13,1.861e+0,1.309e-26
386.71,9.245e-1,3.731e-13,9.245e-1,1.339e-26
386.73,5.645e-1,3.732e-13,5.645e-1,1.358e-26
386.76,2.587e-1,3.732e-13,2.587e-1,1.388e-26
386.78,1.497e-1,3.732e-13,1.497e-1,1.408e-26
386.81,6.332e-2,3.733e-13,6.332e-2,1.438e-26
386.83,3.473e-2,3.733e-13,3.473e-2,1.458e-26
386.86,1.355e-2,3.734e-13,1.355e-2,1.488e-26
386.88,7.046e-3,3.734e-13,7.046e-3,1.508e-26
386.91,2.537e-3,3.735e-13,2.537e-3,1.538e-26
386.93,1.250e-3,3.735e-13,1.250e-3,1.558e-26
386.95,6.029e-4,3.735e-13,6.029e-4,1.578e-26
386.98,1.939e-4,3.736e-13,1.939e-4,1.608e-26
387,8.865e-5,3.736e-13,8.865e-5,1.628e-26
387.03,2.632e-5,3.737e-13,2.632e-5,1.658e-26
387.05,1.140e-5,3.737e-13,1.140e-5,1.678e-26
387.08,3.123e-6,3.737e-13,3.123e-6,1.708e-26
387.1,1.282e-6,3.738e-13,1.282e-6,1.728e-26
387.13,3.241e-7,3.738e-13,3.241e-7,1.757e-26
387.15,1.261e-7,3.739e-13,1.261e-7,1.777e-26
387.18,2.942e-8,3.739e-13,2.942e-8,1.807e-26
387.2,1.085e-8,3.739e-13,1.085e-8,1.827e-26
387.23,2.335e-9,3.740e-13,2.335e-9,1.857e-26
387.25,8.163e-10,3.740e-13,8.163e-10,1.877e-26
387.28,1.621e-10,3.741e-13,1.621e-10,1.907e-26
387.3,5.371e-11,3.741e-13,5.371e-11,1.927e-26
387.32,1.742e-11,3.741e-13,1.742e-11,1.947e-26
387.35,3.090e-12,3.742e-13,3.090e-12,1.977e-26
387.37,9.499e-13,3.742e-13,9.499e-13,1.997e-26
387.4,1.555e-13,3.743e-13,1.555e-13,2.027e-26
387.42,4.530e-14,3.743e-13,4.530e-14,2.047e-26
389.35,3.776e-13,3.776e-13,4.068e-14,3.972e-26
389.37,1.316e-12,1.316e-12,4.063e-14,3.992e-26
389.4,8.226e-12,8.226e-12,4.056e-14,4.022e-26
389.42,2.720e-11,2.720e-11,4.051e-14,4.042e-26
389.45,1.572e-10,1.572e-10,4.044e-14,4.072e-26
389.47,4.932e-10,4.932e-10,4.039e-14,4.092e-26
389.5,2.635e-9,2.635e-9,4.032e-14,4.121e-26
389.52,7.845e-9,7.845e-9,4.027e-14,4.141e-26
389.55,3.874e-8,3.874e-8,4.020e-14,4.171e-26
389.57,1.094e-7,1.094e-7,4.015e-14,4.191e-26
389.59,3.027e-7,3.027e-7,4.010e-14,4.211e-26
389.62,1.339e-6,1.339e-6,4.003e-14,4.241e-26
389.64,3.515e-6,3.515e-6,3.998e-14,4.261e-26
389.67,1.437e-5,1.437e-5,3.991e-14,4.291e-26
389.69,3.580e-5,3.580e-5,3.987e-14,4.311e-26
389.72,1.353e-4,1.353e-4,3.979e-14,4.341e-26
389.74,3.198e-4,3.198e-4,3.975e-14,4.361e-26
389.77,1.117e-3,1.117e-3,3.967e-14,4.391e-26
389.79,2.505e-3,2.505e-3,3.963e-14,4.411e-26
389.82,8.090e-3,8.090e-3,3.955e-14,4.441e-26
389.84,1.722e-2,1.722e-2,3.951e-14,4.461e-26
389.87,5.139e-2,5.139e-2,3.943e-14,4.490e-26
389.89,1.038e-1,1.038e-1,3.939e-14,4.510e-26
389.92,2.863e-1,2.863e-1,3.931e-14,4.540e-26
389.94,5.487e-1,5.487e-1,3.927e-14,4.560e-26
389.97,1.399e+0,1.399e+0,3.919e-14,4.590e-26
389.99,2.544e+0,2.544e+0,3.915e-14,4.610e-26
390.01,4.530e+0,4.530e+0,3.910e-14,4.630e-26
390.04,1.035e+1,1.035e+1,3.903e-14,4.660e-26
390.06,1.748e+1,1.748e+1,3.898e-14,4.680e-26
390.09,3.692e+1,3.692e+1,3.891e-14,4.710e-26
390.11,5.919e+1,5.919e+1,3.886e-14,4.730e-26
390.14,1.155e+2,1.155e+2,3.879e-14,4.760e-26
390.16,1.758e+2,1.758e+2,3.874e-14,4.780e-26
390.19,3.171e+2,3.171e+2,3.867e-14,4.810e-26
390.21,4.577e+2,4.577e+2,3.862e-14,4.830e-26
390.24,7.633e+2,7.633e+2,3.855e-14,4.860e-26
390.26,1.046e+3,1.046e+3,3.850e-14,4.879e-26
390.29,1.612e+3,1.612e+3,3.843e-14,4.909e-26
390.31,2.095e+3,2.095e+3,3.838e-14,4.929e-26
390.34,2.985e+3,2.985e+3,3.831e-14,4.959e-26
390.36,3.681e+3,3.681e+3,3.826e-14,4.979e-26
390.38,4.447e+3,4.447e+3,3.821e-14,4.999e-26
390.41,5.675e+3,5.675e+3,3.814e-14,5.029e-26
390.43,6.504e+3,6.504e+3,3.809e-14,5.049e-26
390.46,7.672e+3,7.672e+3,3.802e-14,5.079e-26
390.48,8.344e+3,8.344e+3,3.797e-14,5.099e-26
390.51,9.098e+3,9.098e+3,3.790e-14,5.129e-26
390.53,9.389e+3,9.389e+3,3.785e-14,5.149e-26
390.56,9.463e+3,9.463e+3,3.778e-14,5.179e-26
390.58,9.266e+3,9.266e+3,3.773e-14,5.199e-26
390.61,8.633e+3,8.633e+3,3.766e-14,5.229e-26
390.63,8.022e+3,8.022e+3,3.761e-14,5.249e-26
390.66,6.908e+3,6.908e+3,3.754e-14,5.278e-26
390.68,6.091e+3,6.091e+3,3.749e-14,5.298e-26
390.71,4.848e+3,4.848e+3,3.742e-14,5.328e-26
390.73,4.057e+3,4.057e+3,3.737e-14,5.348e-26
390.75,3.324e+3,3.324e+3,3.733e-14,5.368e-26
390.78,2.370e+3,2.370e+3,3.725e-14,5.398e-26
390.8,1.842e+3,1.842e+3,3.721e-14,5.418e-26
390.83,1.214e+3,1.214e+3,3.713e-14,5.448e-26
390.85,8.957e+2,8.957e+2,3.709e-14,5.468e-26
390.88,5.456e+2,5.456e+2,3.701e-14,5.498e-26
390.9,3.820e+2,3.820e+2,3.697e-14,5.518e-26
390.93,2.151e+2,2.151e+2,3.689e-14,5.548e-26
390.95,1.429e+2,1.429e+2,3.685e-14,5.568e-26
390.98,7.436e+1,7.436e+1,3.677e-14,5.598e-26
391,4.687e+1,4.687e+1,3.673e-14,5.618e-26
391.03,2.255e+1,2.255e+1,3.665e-14,5.648e-26
391.05,1.349e+1,1.349e+1,3.661e-14,5.667e-26
391.08,5.998e+0,5.998e+0,3.653e-14,5.697e-26
391.1,3.404e+0,3.404e+0,3.649e-14,5.717e-26
391.12,1.892e+0,1.892e+0,3.644e-14,5.737e-26
