Wavelength (nm),Sum(calc),K I (3.1e-2),K II (9.7e-1),K III (2.7e-11)
332.17,1.746e-17,,7.287e-21,1.746e-17
332.2,1.968e-17,,7.333e-21,1.968e-17
332.22,2.055e-17,,7.364e-21,2.055e-17
332.25,2.078e-17,,7.409e-21,2.078e-17
332.27,2.019e-17,,7.440e-21,2.019e-17
332.3,1.830e-17,,7.485e-21,1.830e-17
332.32,1.654e-17,,7.516e-21,1.654e-17
332.35,1.345e-17,,7.562e-21,1.345e-17
332.37,1.130e-17,,7.592e-21,1.130e-17
332.4,8.247e-18,,7.638e-21,8.247e-18
332.42,6.446e-18,,7.668e-21,6.446e-18
332.45,4.219e-18,,7.714e-21,4.219e-18
332.47,3.067e-18,,7.744e-21,3.067e-18
332.5,1.800e-18,,7.790e-21,1.800e-18
332.52,1.217e-18,,7.821e-21,1.217e-18
332.55,6.409e-19,,7.866e-21,6.409e-19
332.57,4.031e-19,,7.897e-21,4.031e-19
332.6,1.904e-19,,7.943e-21,1.904e-19
332.62,1.113e-19,,7.973e-21,1.113e-19
332.65,4.717e-20,,8.019e-21,4.717e-20
332.67,2.566e-20,,8.049e-21,2.566e-20
332.7,9.752e-21,,8.095e-21,9.752e-21
332.72,4.934e-21,,8.125e-21,4.934e-21
332.75,1.682e-21,,8.171e-21,1.682e-21
332.77,7.916e-22,,8.202e-21,7.916e-22
332.8,2.420e-22,,8.247e-21,2.420e-22
332.82,1.059e-22,,8.278e-21,1.059e-22
332.85,2.905e-23,,8.324e-21,2.905e-23
332.87,1.183e-23,,8.354e-21,1.183e-23
332.9,2.910e-24,,8.400e-21,2.910e-24
332.92,1.102e-24,,8.430e-21,1.102e-24
332.95,2.431e-25,,8.476e-21,2.431e-25
332.97,8.562e-26,,8.506e-21,8.562e-26
333,1.695e-26,,8.552e-21,1.695e-26
333.02,5.551e-27,,8.583e-21,5.551e-27
333.05,9.856e-28,,8.628e-21,9.856e-28
333.07,3.003e-28,,8.659e-21,3.003e-28
333.1,4.782e-29,,8.705e-21,4.782e-29
333.12,1.355e-29,,8.735e-21,1.355e-29
333.14,3.730e-30,,8.766e-21,3.730e-30
333.17,5.101e-31,,8.811e-21,5.101e-31
333.19,1.306e-31,,8.842e-21,1.306e-31
333.22,1.602e-32,,8.887e-21,1.602e-32
333.24,3.815e-33,,8.918e-21,3.815e-33
333.27,4.199e-34,,8.964e-21,4.199e-34
334.79,6.568e-35,,1.128e-20,6.568e-35
334.82,5.941e-34,,1.133e-20,5.941e-34
334.84,2.489e-33,,1.136e-20,2.489e-33
334.87,2.025e-32,,1.140e-20,2.025e-32
334.89,7.903e-32,,1.143e-20,7.903e-32
334.92,5.778e-31,,1.148e-20,5.778e-31
334.94,2.101e-30,,1.151e-20,2.101e-30
334.97,1.381e-29,,1.155e-20,1.381e-29
334.99,4.678e-29,,1.158e-20,4.678e-29
335.02,2.765e-28,,1.163e-20,2.765e-28
335.04,8.725e-28,,1.166e-20,8.725e-28
335.07,4.636e-27,,1.171e-20,4.636e-27
335.09,1.363e-26,,1.174e-20,1.363e-26
335.12,6.510e-26,,1.178e-20,6.510e-26
335.14,1.782e-25,,1.181e-20,1.782e-25
335.17,7.656e-25,,1.186e-20,7.656e-25
335.19,1.953e-24,,1.189e-20,1.953e-24
335.22,7.541e-24,,1.194e-20,7.541e-24
335.24,1.792e-23,,1.197e-20,1.792e-23
335.26,4.137e-23,,1.200e-20,4.137e-23
335.29,1.377e-22,,1.204e-20,1.377e-22
335.31,2.962e-22,,1.207e-20,2.962e-22
335.34,8.860e-22,,1.212e-20,8.860e-22
335.36,1.776e-21,,1.215e-20,1.776e-21
335.39,4.776e-21,,1.219e-20,4.776e-21
335.41,8.915e-21,,1.222e-20,8.915e-21
335.44,2.156e-20,,1.227e-20,2.156e-20
335.46,3.749e-20,,1.230e-20,3.749e-20
335.49,8.150e-20,,1.235e-20,8.150e-20
335.51,1.320e-19,,1.238e-20,1.320e-19
335.54,2.581e-19,,1.242e-20,2.581e-19
335.56,3.894e-19,,1.245e-20,3.894e-19
335.59,6.844e-19,,1.250e-20,6.844e-19
335.61,9.619e-19,,1.253e-20,9.619e-19
335.64,1.520e-18,,1.258e-20,1.520e-18
335.66,1.990e-18,,1.261e-20,1.990e-18
335.69,2.827e-18,,1.265e-20,2.827e-18
335.71,3.448e-18,,1.268e-20,3.448e-18
335.74,4.404e-18,,1.273e-20,4.404e-18
335.76,5.004e-18,,1.276e-20,5.004e-18
335.79,5.746e-18,,1.280e-20,5.746e-18
335.81,6.082e-18,,1.283e-20,6.082e-18
335.84,6.279e-18,,1.288e-20,6.279e-18
335.86,6.191e-18,,1.291e-20,6.191e-18
335.89,5.747e-18,,1.296e-20,5.747e-18
335.91,5.278e-18,,1.299e-20,5.278e-18
335.94,4.405e-18,,1.303e-20,4.405e-18
335.96,3.770e-18,,1.306e-20,3.770e-18
335.99,2.831e-18,,1.311e-20,2.831e-18
336.01,2.261e-18,,1.314e-20,2.261e-18
336.04,1.538e-18,,1.318e-20,1.538e-18
336.06,1.160e-18,,1.322e-20,1.160e-18
336.09,7.516e-19,,1.326e-20,7.516e-19
336.11,5.805e-19,,1.329e-20,5.805e-19
336.14,4.629e-19,,1.334e-20,4.629e-19
336.16,4.705e-19,,1.337e-20,4.705e-19
336.19,6.040e-19,,1.341e-20,6.040e-19
336.21,7.721e-19,,1.344e-20,7.721e-19
336.24,1.139e-18,,1.349e-20,1.139e-18
336.26,1.453e-18,,1.352e-20,1.453e-18
336.29,2.006e-18,,1.357e-20,2.006e-18
336.31,2.407e-18,,1.360e-20,2.407e-18
336.34,3.006e-18,,1.364e-20,3.006e-18
336.36,3.365e-18,,1.367e-20,3.365e-18
336.39,3.781e-18,,1.372e-20,3.781e-18
336.41,3.944e-18,,1.375e-20,3.944e-18
336.44,3.986e-18,,1.379e-20,3.986e-18
336.46,3.875e-18,,1.383e-20,3.875e-18
336.49,3.523e-18,,1.387e-20,3.523e-18
336.51,3.191e-18,,1.390e-20,3.191e-18
336.54,2.609e-18,,1.395e-20,2.609e-18
336.56,2.202e-18,,1.398e-20,2.202e-18
336.59,1.619e-18,,1.402e-20,1.619e-18
336.61,1.273e-18,,1.405e-20,1.273e-18
336.64,8.419e-19,,1.410e-20,8.419e-19
336.66,6.169e-19,,1.413e-20,6.169e-19
336.69,3.669e-19,,1.418e-20,3.669e-19
336.71,2.505e-19,,1.421e-20,2.505e-19
336.74,1.340e-19,,1.425e-20,1.340e-19
336.76,8.526e-20,,1.428e-20,8.526e-20
336.79,4.102e-20,,1.433e-20,4.102e-20
336.81,2.432e-20,,1.436e-20,2.432e-20
336.84,1.052e-20,,1.440e-20,1.052e-20
336.86,5.812e-21,,1.443e-20,5.812e-21
336.89,2.262e-21,,1.448e-20,2.262e-21
336.91,1.164e-21,,1.451e-20,1.164e-21
336.94,4.075e-22,,1.456e-20,4.075e-22
336.96,1.954e-22,,1.459e-20,1.954e-22
336.99,6.152e-23,,1.463e-20,6.152e-23
337.01,1.469e-20,,1.466e-20,2.749e-23
337.04,1.289e-19,,1.289e-19,7.784e-24
337.06,5.300e-19,,5.300e-19,3.240e-24
337.09,4.194e-18,,4.194e-18,8.253e-25
337.11,1.608e-17,,1.608e-17,3.201e-25
337.14,1.146e-16,,1.146e-16,7.333e-26
337.16,4.096e-16,,4.096e-16,2.650e-26
337.19,2.627e-15,,2.627e-15,5.460e-27
337.21,8.757e-15,,8.757e-15,1.839e-27
337.24,5.057e-14,,5.057e-14,3.407e-28
337.26,1.572e-13,,1.572e-13,1.069e-28
337.29,8.172e-13,,8.172e-13,1.782e-29
337.31,2.368e-12,,2.368e-12,5.209e-30
337.34,1.109e-11,,1.109e-11,7.808e-31
337.36,2.995e-11,,2.995e-11,2.127e-31
337.38,7.870e-11,,7.870e-11,5.632e-32
337.41,3.180e-10,,3.180e-10,7.279e-33
337.43,7.791e-10,,7.791e-10,1.796e-33
337.46,2.835e-9,,2.835e-9,2.087e-34
337.48,6.475e-9,,6.475e-9,4.799e-35
337.51,2.121e-8,,2.121e-8,4.842e-35
337.53,4.517e-8,,4.517e-8,4.871e-35
337.56,1.332e-7,,1.332e-7,4.915e-35
337.58,2.645e-7,,2.645e-7,4.944e-35
337.61,7.024e-7,,7.024e-7,4.987e-35
337.63,1.300e-6,,1.300e-6,5.016e-35
337.66,3.109e-6,,3.109e-6,5.060e-35
337.68,5.367e-6,,5.367e-6,5.089e-35
337.71,1.155e-5,,1.155e-5,5.132e-35
337.73,1.859e-5,,1.859e-5,5.161e-35
337.76,3.602e-5,,3.602e-5,5.205e-35
337.78,5.407e-5,,5.407e-5,5.234e-35
337.81,9.432e-5,,9.432e-5,5.277e-35
337.83,1.320e-4,,1.320e-4,5.306e-35
337.86,2.073e-4,,2.073e-4,5.350e-35
337.88,2.705e-4,,2.705e-4,5.379e-35
337.91,3.825e-4,,3.825e-4,5.422e-35
337.93,4.653e-4,,4.653e-4,5.451e-35
337.96,5.924e-4,,5.924e-4,5.495e-35
337.98,6.720e-4,,6.720e-4,5.524e-35
338.01,7.704e-4,,7.704e-4,5.567e-35
338.03,8.149e-4,,8.149e-4,5.596e-35
338.06,8.414e-4,,8.414e-4,5.640e-35
338.08,8.303e-4,,8.303e-4,5.669e-35
338.11,7.733e-4,,7.733e-4,5.712e-35
338.13,7.133e-4,,7.133e-4,5.741e-35
338.16,6.030e-4,,6.030e-4,5.785e-35
338.18,5.244e-4,,5.244e-4,5.814e-35
338.21,4.131e-4,,4.131e-4,5.857e-35
338.23,3.503e-4,,3.503e-4,5.886e-35
338.26,2.818e-4,,2.818e-4,5.930e-35
338.28,2.558e-4,,2.558e-4,5.959e-35
338.31,2.467e-4,,2.467e-4,6.002e-35
338.33,2.588e-4,,2.588e-4,6.031e-35
338.36,2.979e-4,,2.979e-4,6.075e-35
338.38,3.330e-4,,3.330e-4,6.104e-35
338.41,3.893e-4,,3.893e-4,6.147e-35
338.43,4.236e-4,,4.236e-4,6.176e-35
338.46,4.609e-4,,4.609e-4,6.220e-35
338.48,4.725e-4,,4.725e-4,6.249e-35
338.51,4.665e-4,,4.665e-4,6.292e-35
338.53,4.471e-4,,4.471e-4,6.321e-35
338.56,3.982e-4,,3.982e-4,6.365e-35
338.58,3.561e-4,,3.561e-4,6.394e-35
338.61,2.858e-4,,2.858e-4,6.437e-35
338.63,2.383e-4,,2.383e-4,6.466e-35
338.66,1.722e-4,,1.722e-4,6.510e-35
338.68,1.339e-4,,1.339e-4,6.539e-35
338.71,8.718e-5,,8.718e-5,6.582e-35
338.73,6.323e-5,,6.323e-5,6.611e-35
338.76,3.706e-5,,3.706e-5,6.655e-35
338.78,2.507e-5,,2.507e-5,6.684e-35
338.81,1.323e-5,,1.323e-5,6.727e-35
338.83,8.347e-6,,8.347e-6,6.756e-35
338.86,3.968e-6,,3.968e-6,6.800e-35
338.88,2.334e-6,,2.334e-6,6.829e-35
338.91,9.992e-7,,9.992e-7,6.872e-35
338.93,5.481e-7,,5.481e-7,6.901e-35
338.96,2.113e-7,,2.113e-7,6.945e-35
338.98,1.081e-7,,1.081e-7,6.974e-35
339.01,3.753e-8,,3.753e-8,7.018e-35
339.03,1.790e-8,,1.790e-8,7.047e-35
339.06,5.598e-9,,5.598e-9,7.090e-35
339.08,2.491e-9,,2.491e-9,7.119e-35
339.11,7.013e-10,,7.013e-10,7.163e-35
339.13,2.909e-10,,2.909e-10,7.192e-35
339.16,7.378e-11,,7.378e-11,7.235e-35
339.18,2.854e-11,,2.854e-11,7.264e-35
339.21,6.519e-12,,6.519e-12,7.308e-35
339.23,2.352e-12,,2.352e-12,7.337e-35
339.26,4.837e-13,,4.837e-13,7.380e-35
339.28,1.627e-13,,1.627e-13,7.409e-35
339.31,3.014e-14,,3.014e-14,7.453e-35
339.33,9.457e-15,,9.457e-15,7.482e-35
339.36,1.577e-15,,1.577e-15,7.525e-35
339.38,4.616e-16,,4.616e-16,7.554e-35
339.41,6.942e-17,,6.942e-17,7.598e-35
339.43,1.927e-17,,1.927e-17,7.627e-35
339.46,5.212e-18,,5.212e-18,7.670e-35
339.48,1.050e-17,,1.050e-17,7.699e-35
339.51,6.698e-17,,6.698e-17,7.743e-35
339.53,2.318e-16,,2.318e-16,7.772e-35
339.55,7.811e-16,,7.811e-16,7.801e-35
339.58,4.589e-15,,4.589e-15,7.844e-35
339.6,1.444e-14,,1.444e-14,7.873e-35
339.63,7.647e-14,,7.647e-14,7.917e-35
339.65,2.245e-13,,2.245e-13,7.946e-35
339.68,1.072e-12,,1.072e-12,7.989e-35
339.7,2.937e-12,,2.937e-12,8.018e-35
339.73,1.265e-11,,1.265e-11,8.062e-35
339.75,3.234e-11,,3.234e-11,8.091e-35
339.78,1.256e-10,,1.256e-10,8.134e-35
339.8,2.997e-10,,2.997e-10,8.163e-35
339.83,1.049e-9,,1.049e-9,8.207e-35
339.85,2.337e-9,,2.337e-9,8.236e-35
339.88,7.376e-9,,7.376e-9,8.279e-35
339.9,1.533e-8,,1.533e-8,8.308e-35
339.93,4.363e-8,,4.363e-8,8.352e-35
339.95,8.465e-8,,8.465e-8,8.381e-35
339.98,2.172e-7,,2.172e-7,8.424e-35
340,3.933e-7,,3.933e-7,8.453e-35
340.03,9.099e-7,,9.099e-7,8.497e-35
340.05,1.538e-6,,1.538e-6,8.526e-35
340.08,3.207e-6,,3.207e-6,8.569e-35
340.1,5.058e-6,,5.058e-6,8.598e-35
340.13,9.513e-6,,9.513e-6,8.642e-35
340.15,1.400e-5,,1.400e-5,8.671e-35
340.18,2.375e-5,,2.375e-5,8.714e-35
340.2,3.262e-5,,3.262e-5,8.743e-35
340.23,4.987e-5,,4.987e-5,8.787e-35
340.25,6.394e-5,,6.394e-5,8.816e-35
340.28,8.815e-5,,8.815e-5,8.859e-35
340.3,1.055e-4,,1.055e-4,8.888e-35
340.33,1.311e-4,,1.311e-4,8.932e-35
340.35,1.464e-4,,1.464e-4,8.961e-35
340.38,1.641e-4,,1.641e-4,9.004e-35
340.4,1.710e-4,,1.710e-4,9.033e-35
340.43,1.728e-4,,1.728e-4,9.077e-35
340.45,1.681e-4,,1.681e-4,9.106e-35
340.48,1.531e-4,,1.531e-4,9.149e-35
340.5,1.390e-4,,1.390e-4,9.178e-35
340.53,1.142e-4,,1.142e-4,9.222e-35
340.55,9.676e-5,,9.676e-5,9.251e-35
340.58,7.166e-5,,7.166e-5,9.294e-35
340.6,5.667e-5,,5.667e-5,9.323e-35
340.63,3.784e-5,,3.784e-5,9.367e-35
340.65,2.793e-5,,2.793e-5,9.396e-35
340.68,1.681e-5,,1.681e-5,9.439e-35
340.7,1.158e-5,,1.158e-5,9.468e-35
340.73,6.287e-6,,6.287e-6,9.512e-35
340.75,4.042e-6,,4.042e-6,9.541e-35
340.78,1.978e-6,,1.978e-6,9.584e-35
340.8,1.187e-6,,1.187e-6,9.613e-35
340.83,5.238e-7,,5.238e-7,9.657e-35
340.85,2.933e-7,,2.933e-7,9.686e-35
340.88,1.167e-7,,1.167e-7,9.729e-35
340.9,6.098e-8,,6.098e-8,9.758e-35
340.93,2.188e-8,,2.188e-8,9.802e-35
340.95,1.067e-8,,1.067e-8,9.831e-35
340.98,3.452e-9,,3.452e-9,9.874e-35
341,1.571e-9,,1.571e-9,9.903e-35
341.03,4.582e-10,,4.582e-10,9.947e-35
341.05,1.947e-10,,1.947e-10,4.123e-34
341.08,5.119e-11,,5.119e-11,3.306e-33
341.1,2.030e-11,,2.030e-11,1.280e-32
341.13,4.812e-12,,4.812e-12,9.274e-32
341.15,1.781e-12,,1.781e-12,3.354e-31
341.18,3.807e-13,,3.807e-13,2.191e-30
341.2,1.315e-13,,1.315e-13,7.400e-30
341.23,2.534e-14,,2.534e-14,4.364e-29
341.25,8.167e-15,,8.167e-15,1.377e-28
341.28,1.419e-15,,1.419e-15,7.329e-28
341.3,4.270e-16,,4.270e-16,2.160e-27
341.33,6.690e-17,,6.690e-17,1.038e-26
341.35,1.878e-17,,1.878e-17,2.857e-26
341.38,2.653e-18,,2.653e-18,1.239e-25
341.4,6.953e-19,,6.953e-19,3.187e-25
341.43,8.856e-20,,8.856e-20,1.249e-24
341.45,2.166e-20,,2.166e-20,3.000e-24
341.48,2.498e-21,,2.487e-21,1.062e-23
341.5,2.383e-23,,2.488e-21,2.383e-23
341.53,7.618e-23,,2.489e-21,7.618e-23
341.55,1.598e-22,,2.490e-21,1.598e-22
341.58,4.618e-22,,2.491e-21,4.618e-22
341.6,9.057e-22,,2.491e-21,9.057e-22
341.63,2.366e-21,,2.492e-21,2.366e-21
341.65,4.341e-21,,2.493e-21,4.341e-21
341.67,7.754e-21,,2.494e-21,7.754e-21
341.7,1.762e-20,,2.495e-21,1.762e-20
341.72,2.946e-20,,2.495e-21,2.946e-20
341.75,6.063e-20,,2.496e-21,6.063e-20
341.77,9.497e-20,,2.497e-21,9.497e-20
341.8,1.774e-19,,2.498e-21,1.774e-19
341.82,2.605e-19,,2.498e-21,2.605e-19
341.85,4.422e-19,,2.499e-21,4.422e-19
341.87,6.099e-19,,2.500e-21,6.099e-19
341.9,9.427e-19,,2.501e-21,9.427e-19
341.92,1.222e-18,,2.502e-21,1.222e-18
341.95,1.724e-18,,2.503e-21,1.724e-18
341.97,2.105e-18,,2.503e-21,2.105e-18
342,2.717e-18,,2.504e-21,2.717e-18
342.02,3.128e-18,,2.505e-21,3.128e-18
342.05,3.700e-18,,2.506e-21,3.700e-18
342.07,4.021e-18,,2.507e-21,4.021e-18
342.1,4.366e-18,,2.508e-21,4.366e-18
342.12,4.484e-18,,2.508e-21,4.484e-18
342.15,4.472e-18,,2.509e-21,4.472e-18
342.17,4.338e-18,,2.510e-21,4.338e-18
342.2,3.972e-18,,2.511e-21,3.972e-18
342.22,3.639e-18,,2.512e-21,3.639e-18
342.25,3.055e-18,,2.513e-21,3.055e-18
342.27,2.640e-18,,2.513e-21,2.640e-18
342.3,2.028e-18,,2.514e-21,2.028e-18
342.32,1.650e-18,,2.515e-21,1.650e-18
342.35,1.158e-18,,2.516e-21,1.158e-18
342.37,8.860e-19,,2.517e-21,8.860e-19
342.4,5.661e-19,,2.518e-21,5.661e-19
342.42,4.069e-19,,2.518e-21,4.069e-19
342.45,2.363e-19,,2.519e-21,2.363e-19
342.47,1.593e-19,,2.520e-21,1.593e-19
342.5,8.400e-20,,2.521e-21,8.400e-20
342.52,5.306e-20,,2.522e-21,5.306e-20
342.55,2.535e-20,,2.523e-21,2.535e-20
342.57,1.499e-20,,2.523e-21,1.499e-20
342.6,6.484e-21,,2.524e-21,6.484e-21
342.62,3.587e-21,,2.525e-21,3.587e-21
342.65,1.404e-21,,2.526e-21,1.404e-21
342.67,7.261e-22,,2.526e-21,7.261e-22
342.7,2.569e-22,,2.527e-21,2.569e-22
342.72,1.242e-22,,2.528e-21,1.242e-22
342.75,3.971e-23,,2.529e-21,3.971e-23
342.77,1.795e-23,,2.530e-21,1.795e-23
342.8,5.182e-24,,2.531e-21,5.182e-24
342.82,2.188e-24,,2.531e-21,2.188e-24
342.85,5.707e-25,,2.532e-21,5.707e-25
342.87,2.252e-25,,2.533e-21,2.252e-25
342.9,5.302e-26,,2.534e-21,5.302e-26
342.92,2.535e-21,,2.535e-21,1.954e-26
342.95,2.198e-20,,2.198e-20,4.155e-27
342.97,8.968e-20,,8.968e-20,1.431e-27
343,7.026e-19,,7.026e-19,2.746e-28
343.02,2.679e-18,,2.679e-18,8.830e-29
343.05,1.897e-17,,1.897e-17,1.530e-29
343.07,6.760e-17,,6.760e-17,4.596e-30
343.1,4.324e-16,,4.324e-16,7.188e-31
343.12,1.440e-15,,1.440e-15,2.017e-31
343.15,8.325e-15,,8.325e-15,2.847e-32
343.17,2.592e-14,,2.592e-14,7.455e-33
343.2,1.354e-13,,1.354e-13,9.502e-34
343.22,3.939e-13,,3.939e-13,2.326e-34
343.25,1.859e-12,,1.859e-12,2.675e-35
343.27,5.055e-12,,5.055e-12,2.590e-35
343.3,2.155e-11,,2.155e-11,2.463e-35
343.32,5.479e-11,,5.479e-11,2.378e-35
343.35,2.111e-10,,2.111e-10,2.251e-35
343.37,5.015e-10,,5.015e-10,2.166e-35
343.4,1.746e-9,,1.746e-9,2.038e-35
343.42,3.876e-9,,3.876e-9,1.953e-35
343.45,1.219e-8,,1.219e-8,1.826e-35
343.47,2.530e-8,,2.530e-8,1.741e-35
343.5,7.190e-8,,7.190e-8,1.614e-35
343.52,1.395e-7,,1.395e-7,1.529e-35
343.55,3.581e-7,,3.581e-7,1.401e-35
343.57,6.492e-7,,6.492e-7,1.316e-35
343.6,1.506e-6,,1.506e-6,1.189e-35
343.62,2.552e-6,,2.552e-6,1.104e-35
343.65,5.351e-6,,5.351e-6,9.765e-36
343.67,8.474e-6,,8.474e-6,8.915e-36
343.7,1.605e-5,,1.605e-5,7.641e-36
343.72,2.376e-5,,2.376e-5,6.791e-36
343.75,4.067e-5,,4.067e-5,5.830e-35
343.77,5.626e-5,,5.626e-5,2.363e-34
343.79,7.574e-5,,7.574e-5,9.325e-34
343.82,1.125e-4,,1.125e-4,6.950e-33
343.84,1.416e-4,,1.416e-4,2.564e-32
343.87,1.900e-4,,1.900e-4,1.727e-31
343.89,2.234e-4,,2.234e-4,5.958e-31
343.92,2.709e-4,,2.709e-4,3.629e-30
343.94,2.978e-4,,2.978e-4,1.170e-29
343.97,3.262e-4,,3.262e-4,6.443e-29
343.99,3.352e-4,,3.352e-4,1.942e-28
344.02,3.318e-4,,3.318e-4,9.668e-28
344.04,3.186e-4,,3.186e-4,2.725e-27
344.07,2.850e-4,,2.850e-4,1.226e-26
344.09,2.558e-4,,2.558e-4,3.231e-26
344.12,2.067e-4,,2.067e-4,1.314e-25
344.14,1.734e-4,,1.734e-4,3.238e-25
344.17,1.266e-4,,1.266e-4,1.190e-24
344.19,9.926e-5,,9.926e-5,2.742e-24
344.22,6.550e-5,,6.550e-5,9.114e-24
344.24,4.799e-5,,4.799e-5,1.963e-23
344.27,2.861e-5,,2.861e-5,5.897e-23
344.29,1.960e-5,,1.960e-5,1.187e-22
344.32,1.056e-5,,1.056e-5,3.225e-22
344.34,6.757e-6,,6.757e-6,6.071e-22
344.37,3.289e-6,,3.289e-6,1.491e-21
344.39,1.967e-6,,1.967e-6,2.623e-21
344.42,8.653e-7,,8.653e-7,5.823e-21
344.44,4.838e-7,,4.838e-7,9.581e-21
344.47,1.923e-7,,1.923e-7,1.923e-20
344.49,1.005e-7,,1.005e-7,2.957e-20
344.52,3.608e-8,,3.608e-8,5.365e-20
344.54,1.762e-8,,1.762e-8,7.715e-20
344.57,5.717e-9,,5.717e-9,1.265e-19
344.59,2.610e-9,,2.610e-9,1.701e-19
344.62,7.651e-10,,7.651e-10,2.522e-19
344.64,3.264e-10,,3.264e-10,3.170e-19
344.67,8.647e-11,,8.647e-11,4.248e-19
344.69,3.448e-11,,3.448e-11,4.992e-19
344.72,8.253e-12,,8.253e-12,6.048e-19
344.74,3.076e-12,,3.076e-12,6.645e-19
344.77,6.652e-13,,6.652e-13,7.277e-19
344.79,2.317e-13,,2.317e-13,7.476e-19
344.82,4.528e-14,,4.528e-14,7.400e-19
344.84,1.474e-14,,1.474e-14,7.108e-19
344.87,2.603e-15,,2.603e-15,6.361e-19
344.89,7.925e-16,,7.919e-16,5.711e-19
344.92,1.268e-16,,1.263e-16,4.621e-19
344.94,3.632e-17,,3.593e-17,3.879e-19
344.97,5.463e-18,,5.179e-18,2.837e-19
344.99,1.599e-18,,1.377e-18,2.226e-19
345.02,3.265e-19,,1.793e-19,1.472e-19
345.04,1.526e-19,,4.455e-20,1.080e-19
345.07,6.455e-20,,4.441e-20,6.455e-20
345.09,4.428e-20,,4.431e-20,4.428e-20
345.12,2.393e-20,,4.417e-20,2.393e-20
345.14,1.535e-20,,4.408e-20,1.535e-20
345.17,7.495e-21,,4.394e-20,7.495e-21
345.19,4.494e-21,,4.385e-20,4.494e-21
345.22,1.984e-21,,4.371e-20,1.984e-21
345.24,1.112e-21,,4.362e-20,1.112e-21
345.27,4.440e-22,,4.348e-20,4.440e-22
345.29,2.327e-22,,4.339e-20,2.327e-22
345.32,8.396e-23,,4.325e-20,8.396e-23
345.34,4.114e-23,,4.316e-20,4.114e-23
345.37,1.342e-23,,4.302e-20,1.342e-23
345.39,6.148e-24,,4.292e-20,6.148e-24
345.42,1.813e-24,,4.279e-20,1.813e-24
345.44,7.765e-25,,4.269e-20,7.765e-25
345.47,2.070e-25,,4.255e-20,2.070e-25
345.49,8.288e-26,,4.246e-20,8.288e-26
345.52,1.997e-26,,4.232e-20,1.997e-26
345.54,7.477e-27,,4.223e-20,7.477e-27
345.57,1.629e-27,,4.209e-20,1.629e-27
345.59,5.700e-28,,4.200e-20,5.700e-28
345.62,1.122e-28,,4.186e-20,1.122e-28
345.64,3.673e-29,,4.177e-20,3.673e-29
345.67,6.538e-30,,4.163e-20,6.538e-30
345.69,2.000e-30,,4.153e-20,2.000e-30
345.72,3.219e-31,,4.140e-20,3.219e-31
345.74,9.211e-32,,4.130e-20,9.211e-32
345.77,1.363e-32,,4.116e-20,1.363e-32
345.79,4.519e-33,,4.107e-20,4.519e-33
345.82,7.712e-33,,4.093e-20,7.712e-33
345.84,2.750e-32,,4.084e-20,2.750e-32
345.87,1.916e-31,,4.070e-20,1.916e-31
345.89,6.777e-31,,4.061e-20,6.777e-31
345.92,4.291e-30,,4.047e-20,4.291e-30
345.94,1.420e-29,,4.038e-20,1.420e-29
345.96,4.579e-29,,4.028e-20,4.579e-29
345.99,2.521e-28,,4.015e-20,2.521e-28
346.01,7.604e-28,,4.005e-20,7.604e-28
346.04,3.790e-27,,3.991e-20,3.790e-27
346.06,1.069e-26,,3.982e-20,1.069e-26
346.09,4.823e-26,,3.968e-20,4.823e-26
346.11,1.274e-25,,3.959e-20,1.274e-25
346.14,5.199e-25,,3.945e-20,5.199e-25
346.16,1.284e-24,,3.936e-20,1.284e-24
346.19,4.745e-24,,3.922e-20,4.745e-24
346.21,1.097e-23,,3.913e-20,1.097e-23
346.24,3.668e-23,,3.899e-20,3.668e-23
346.26,7.933e-23,,3.889e-20,7.933e-23
346.29,2.401e-22,,3.876e-20,2.401e-22
346.31,4.858e-22,,3.866e-20,4.858e-22
346.34,1.331e-21,,3.852e-20,1.331e-21
346.36,2.520e-21,,3.843e-20,2.520e-21
346.39,6.246e-21,,3.829e-20,6.246e-21
346.41,1.107e-20,,3.820e-20,1.107e-20
346.44,2.483e-20,,3.806e-20,2.483e-20
346.46,4.116e-20,,3.797e-20,4.116e-20
346.49,8.357e-20,,3.783e-20,8.357e-20
346.51,1.296e-19,,3.774e-20,1.296e-19
346.54,2.382e-19,,3.760e-20,2.382e-19
346.56,3.457e-19,,3.751e-20,3.457e-19
346.59,5.749e-19,,3.737e-20,5.749e-19
346.61,7.807e-19,,3.727e-20,7.807e-19
346.64,1.175e-18,,3.714e-20,1.175e-18
346.66,1.493e-18,,3.704e-20,1.493e-18
346.69,2.034e-18,,3.690e-20,2.034e-18
346.71,2.418e-18,,3.681e-20,2.418e-18
346.74,2.982e-18,,3.667e-20,2.982e-18
346.76,3.317e-18,,3.658e-20,3.317e-18
346.79,3.701e-18,,3.644e-20,3.701e-18
346.81,3.852e-18,,3.635e-20,3.852e-18
346.84,3.890e-18,,3.621e-20,3.890e-18
346.86,3.788e-18,,3.612e-20,3.788e-18
346.89,3.463e-18,,3.598e-20,3.463e-18
346.91,3.155e-18,,3.588e-20,3.155e-18
346.94,2.610e-18,,3.575e-20,2.610e-18
346.96,2.225e-18,,3.565e-20,2.225e-18
346.99,1.666e-18,,3.551e-20,1.666e-18
347.01,1.329e-18,,3.542e-20,1.329e-18
347.04,9.007e-19,,3.528e-20,9.007e-19
