Wavelength (nm),Sum(calc),K I (3.1e-2),K II (9.7e-1),K III (2.7e-11)
304.89,2.529e-19,,9.220e-21,2.529e-19
304.91,4.235e-19,,9.218e-21,4.235e-19
304.94,8.601e-19,,9.214e-21,8.601e-19
304.96,1.321e-18,,9.211e-21,1.321e-18
304.99,2.359e-18,,9.207e-21,2.359e-18
305.01,3.326e-18,,9.205e-21,3.326e-18
305.04,5.222e-18,,9.201e-21,5.222e-18
305.06,6.756e-18,,9.198e-21,6.756e-18
305.09,9.323e-18,,9.194e-21,9.323e-18
305.11,1.107e-17,,9.192e-21,1.107e-17
305.14,1.343e-17,,9.188e-21,1.343e-17
305.16,1.464e-17,,9.185e-21,1.464e-17
305.19,1.561e-17,,9.182e-21,1.561e-17
305.21,1.561e-17,,9.179e-21,1.561e-17
305.24,1.464e-17,,9.175e-21,1.464e-17
305.26,1.344e-17,,9.173e-21,1.343e-17
305.29,1.118e-17,,1.004e-19,1.108e-17
305.31,9.815e-18,,4.745e-19,9.341e-18
305.34,1.137e-17,,4.570e-18,6.799e-18
305.36,2.512e-17,,1.983e-17,5.297e-18
305.38,8.716e-17,,8.313e-17,4.027e-18
305.41,6.721e-16,,6.694e-16,2.624e-18
305.43,2.579e-15,,2.577e-15,2.030e-18
305.46,1.826e-14,,1.826e-14,1.615e-18
305.48,6.455e-14,,6.455e-14,1.623e-18
305.51,4.024e-13,,4.024e-13,1.994e-18
305.53,1.306e-12,,1.306e-12,2.435e-18
305.56,7.165e-12,,7.165e-12,3.298e-18
305.58,2.136e-11,,2.136e-11,3.941e-18
305.61,1.031e-10,,1.031e-10,4.874e-18
305.63,2.821e-10,,2.821e-10,5.395e-18
305.66,1.198e-9,,1.198e-9,5.898e-18
305.68,3.010e-9,,3.010e-9,5.999e-18
305.71,1.125e-8,,1.125e-8,5.772e-18
305.73,2.595e-8,,2.595e-8,5.391e-18
305.76,8.532e-8,,8.532e-8,4.566e-18
305.78,1.808e-7,,1.808e-7,3.920e-18
305.81,5.229e-7,,5.229e-7,2.936e-18
305.83,1.017e-6,,1.017e-6,2.334e-18
305.86,2.589e-6,,2.589e-6,1.592e-18
305.88,4.625e-6,,4.625e-6,1.227e-18
305.91,1.036e-5,,1.036e-5,8.880e-19
305.93,1.699e-5,,1.699e-5,7.922e-19
305.96,3.348e-5,,3.348e-5,8.181e-19
305.98,5.042e-5,,5.042e-5,9.275e-19
306.01,8.742e-5,,8.742e-5,1.187e-18
306.03,1.209e-4,,1.209e-4,1.396e-18
306.06,1.844e-4,,1.844e-4,1.709e-18
306.08,2.342e-4,,2.342e-4,1.885e-18
306.11,3.144e-4,,3.144e-4,2.057e-18
306.13,3.665e-4,,3.665e-4,2.092e-18
306.16,4.329e-4,,4.329e-4,2.012e-18
306.18,4.635e-4,,4.635e-4,1.879e-18
306.21,4.816e-4,,4.816e-4,1.591e-18
306.23,4.734e-4,,4.734e-4,1.364e-18
306.26,4.329e-4,,4.329e-4,1.016e-18
306.28,3.908e-4,,3.908e-4,8.002e-19
306.31,3.144e-4,,3.144e-4,5.244e-19
306.33,2.606e-4,,2.606e-4,3.791e-19
306.36,1.844e-4,,1.844e-4,2.186e-19
306.38,1.404e-4,,1.404e-4,1.451e-19
306.41,8.742e-5,,8.742e-5,7.362e-20
306.43,6.109e-5,,6.109e-5,4.487e-20
306.46,3.348e-5,,3.348e-5,2.003e-20
306.48,2.148e-5,,2.148e-5,1.121e-20
306.51,1.036e-5,,1.036e-5,4.401e-21
306.53,6.103e-6,,6.103e-6,2.261e-21
306.56,2.589e-6,,2.589e-6,7.812e-22
306.58,1.401e-6,,1.401e-6,3.685e-22
306.61,5.229e-7,,5.229e-7,1.120e-22
306.63,2.598e-7,,2.598e-7,4.852e-23
306.66,8.532e-8,,8.532e-8,1.298e-23
306.68,3.892e-8,,3.892e-8,5.161e-24
306.71,1.125e-8,,1.125e-8,1.214e-24
306.73,4.711e-9,,4.711e-9,4.435e-25
306.76,1.198e-9,,1.198e-9,9.180e-26
306.78,4.607e-10,,4.607e-10,3.078e-26
306.81,1.031e-10,,1.031e-10,5.606e-27
306.83,3.640e-11,,3.640e-11,1.726e-27
306.86,7.165e-12,,7.165e-12,2.765e-28
306.88,2.323e-12,,2.323e-12,7.817e-29
306.91,4.024e-13,,4.024e-13,1.102e-29
306.93,1.198e-13,,1.198e-13,2.860e-30
306.96,1.826e-14,,1.826e-14,3.548e-31
306.98,4.992e-15,,4.992e-15,8.454e-32
307.01,6.694e-16,,6.694e-16,9.226e-33
307.03,1.681e-16,,1.681e-16,2.019e-33
307.06,1.983e-17,,1.983e-17,1.938e-34
307.08,4.570e-18,,4.570e-18,1.936e-34
307.11,4.745e-19,,4.745e-19,1.932e-34
307.13,1.004e-19,,1.004e-19,1.930e-34
307.16,9.173e-21,,9.173e-21,1.927e-34
309.53,1.906e-21,,1.906e-21,1.659e-34
309.55,9.378e-21,,9.378e-21,1.657e-34
309.58,9.615e-20,,9.615e-20,1.654e-34
309.6,4.353e-19,,4.353e-19,1.651e-34
309.62,1.907e-18,,1.907e-18,1.649e-34
309.65,1.642e-17,,1.642e-17,1.646e-34
309.67,6.620e-17,,6.620e-17,1.643e-34
309.7,5.035e-16,,5.035e-16,1.640e-34
309.72,1.868e-15,,1.868e-15,1.638e-34
309.75,1.254e-14,,1.254e-14,1.634e-34
309.77,4.283e-14,,4.283e-14,1.632e-34
309.8,2.540e-13,,2.540e-13,1.629e-34
309.82,7.982e-13,,7.982e-13,1.627e-34
309.85,4.179e-12,,4.179e-12,1.623e-34
