Wavelength (nm),Sum(calc),Na I (4.5e-2),Na II (9.5e-1),Na III (3.4e-19)
300.8,3.329e-11,,3.329e-11,
300.83,2.741e-11,,2.741e-11,
300.85,2.306e-11,,2.306e-11,
300.88,1.671e-11,,1.671e-11,
300.9,1.293e-11,,1.293e-11,
300.93,8.288e-12,,8.288e-12,
300.95,5.927e-12,,5.927e-12,
300.98,3.394e-12,,3.394e-12,
301,2.262e-12,,2.262e-12,
301.03,1.177e-12,,1.177e-12,
301.05,7.412e-13,,7.412e-13,
301.07,4.585e-13,,4.585e-13,
301.1,2.167e-13,,2.167e-13,
301.12,1.294e-13,,1.294e-13,
301.15,5.875e-14,,5.875e-14,
301.17,3.480e-14,,3.480e-14,
301.2,1.751e-14,,1.751e-14,
301.22,1.368e-14,,1.368e-14,
301.25,1.608e-14,,1.608e-14,
301.27,2.285e-14,,2.285e-14,
301.3,4.220e-14,,4.220e-14,
301.32,6.267e-14,,6.267e-14,
301.35,1.073e-13,,1.073e-13,
301.37,1.472e-13,,1.472e-13,
301.4,2.215e-13,,2.215e-13,
301.42,2.784e-13,,2.784e-13,
301.45,3.673e-13,,3.673e-13,
301.47,4.229e-13,,4.229e-13,
301.49,4.700e-13,,4.700e-13,
301.52,5.154e-13,,5.154e-13,
301.54,5.246e-13,,5.246e-13,
301.57,5.042e-13,,5.042e-13,
301.59,4.700e-13,,4.700e-13,
301.62,3.959e-13,,3.959e-13,
301.64,3.379e-13,,3.379e-13,
301.67,2.494e-13,,2.494e-13,
301.69,1.950e-13,,1.950e-13,
301.72,1.261e-13,,1.261e-13,
301.74,9.028e-14,,9.028e-14,
301.77,5.119e-14,,5.119e-14,
301.79,3.355e-14,,3.355e-14,
301.82,1.667e-14,,1.667e-14,
301.84,1.001e-14,,1.001e-14,
301.87,4.358e-15,,4.358e-15,
301.89,2.396e-15,,2.396e-15,
301.91,1.271e-15,,1.271e-15,
301.94,4.602e-16,,4.602e-16,
301.96,2.237e-16,,2.237e-16,
301.99,7.096e-17,,7.096e-17,
302.01,3.158e-17,,3.158e-17,
302.04,8.780e-18,,8.780e-18,
