Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.5e-1),Fe III (1.1e-4)
260.29,4.930e+2,3.697e+0,4.893e+2,2.251e-14
260.32,3.735e+2,2.917e+0,3.706e+2,1.651e-13
260.34,4.787e+2,4.917e+0,4.738e+2,5.876e-13
260.37,8.708e+2,1.437e+1,8.564e+2,3.613e-12
260.39,1.334e+3,2.896e+1,1.306e+3,1.143e-11
260.42,2.539e+3,7.641e+1,2.463e+3,5.893e-11
260.44,3.904e+3,1.376e+2,3.767e+3,1.658e-10
260.46,6.003e+3,2.365e+2,5.766e+3,4.451e-10
260.49,1.132e+4,4.879e+2,1.083e+4,1.793e-9
260.51,1.699e+4,7.454e+2,1.624e+4,4.278e-9
260.54,2.987e+4,1.289e+3,2.858e+4,1.444e-8
260.56,4.188e+4,1.750e+3,4.013e+4,3.065e-8
260.59,6.489e+4,2.537e+3,6.235e+4,8.675e-8
260.61,8.263e+4,3.063e+3,7.957e+4,1.637e-7
260.64,1.096e+5,3.724e+3,1.058e+5,3.883e-7
260.66,1.251e+5,4.001e+3,1.211e+5,6.514e-7
260.69,1.403e+5,4.087e+3,1.362e+5,1.296e-6
260.71,1.429e+5,3.918e+3,1.390e+5,1.932e-6
260.74,1.349e+5,3.391e+3,1.315e+5,3.222e-6
260.76,1.225e+5,2.931e+3,1.196e+5,4.273e-6
260.79,9.731e+4,2.218e+3,9.509e+4,5.973e-6
260.81,7.887e+4,1.795e+3,7.707e+4,7.042e-6
260.83,6.120e+4,1.446e+3,5.975e+4,7.920e-6
260.86,3.887e+4,1.075e+3,3.779e+4,8.650e-6
260.88,2.774e+4,9.149e+2,2.683e+4,8.650e-6
260.91,1.710e+4,7.571e+2,1.634e+4,7.920e-6
260.93,1.389e+4,6.787e+2,1.321e+4,7.042e-6
260.96,1.480e+4,5.675e+2,1.423e+4,5.405e-6
260.98,1.944e+4,4.890e+2,1.895e+4,4.273e-6
261.01,3.335e+4,3.664e+2,3.299e+4,2.749e-6
261.03,4.783e+4,2.874e+2,4.755e+4,1.932e-6
261.06,7.756e+4,1.839e+2,7.738e+4,1.042e-6
261.08,1.019e+5,1.290e+2,1.017e+5,6.514e-7
261.11,1.415e+5,6.950e+1,1.414e+5,2.946e-7
261.13,1.668e+5,4.342e+1,1.667e+5,1.637e-7
261.16,1.968e+5,1.963e+1,1.968e+5,6.205e-8
261.18,2.086e+5,1.091e+1,2.086e+5,3.065e-8
261.21,2.118e+5,4.137e+0,2.118e+5,9.745e-9
261.23,2.051e+5,2.044e+0,2.051e+5,4.288e-9
261.25,1.933e+5,9.636e-1,1.933e+5,1.822e-9
261.28,1.707e+5,2.858e-1,1.707e+5,5.918e-10
261.3,1.553e+5,1.204e-1,1.553e+5,5.663e-10
261.33,1.348e+5,3.366e-2,1.348e+5,1.690e-9
261.35,1.230e+5,2.255e-2,1.230e+5,4.033e-9
261.38,1.067e+5,5.489e-2,1.067e+5,1.395e-8
261.4,9.578e+4,1.377e-1,9.578e+4,3.016e-8
261.43,7.828e+4,5.274e-1,7.828e+4,8.780e-8
261.45,6.601e+4,1.222e+0,6.601e+4,1.689e-7
261.48,4.805e+4,3.948e+0,4.804e+4,4.127e-7
261.5,3.741e+4,8.141e+0,3.740e+4,7.062e-7
261.53,2.507e+4,2.209e+1,2.504e+4,1.448e-6
261.55,1.985e+4,4.052e+1,1.981e+4,2.205e-6
261.58,1.697e+4,9.227e+1,1.688e+4,3.796e-6
261.6,1.827e+4,1.506e+2,1.812e+4,5.143e-6
261.62,2.189e+4,2.347e+2,2.166e+4,6.650e-6
261.65,3.076e+4,4.183e+2,3.034e+4,8.958e-6
261.67,3.806e+4,5.800e+2,3.748e+4,1.031e-5
261.7,4.910e+4,8.676e+2,4.823e+4,1.165e-5
261.72,5.522e+4,1.070e+3,5.414e+4,1.193e-5
261.75,6.057e+4,1.344e+3,5.923e+4,1.131e-5
261.77,6.090e+4,1.476e+3,5.943e+4,1.031e-5
261.8,5.647e+4,1.555e+3,5.491e+4,8.206e-6
261.82,5.084e+4,1.519e+3,4.932e+4,6.650e-6
261.85,4.017e+4,1.344e+3,3.883e+4,4.445e-6
261.87,3.274e+4,1.168e+3,3.157e+4,3.205e-6
261.9,2.277e+4,8.676e+2,2.190e+4,1.798e-6
261.92,1.754e+4,6.712e+2,1.687e+4,1.153e-6
261.95,1.225e+4,4.186e+2,1.183e+4,5.430e-7
261.97,1.039e+4,2.886e+2,1.011e+4,3.100e-7
261.99,9.753e+3,1.907e+2,9.562e+3,1.689e-7
262.02,1.069e+4,9.739e+1,1.060e+4,6.221e-8
262.04,1.231e+4,6.470e+1,1.225e+4,3.016e-8
262.07,1.567e+4,5.219e+1,1.562e+4,9.324e-9
262.09,1.815e+4,6.787e+1,1.808e+4,4.022e-9
262.12,2.147e+4,1.364e+2,2.133e+4,1.044e-9
262.14,2.302e+4,2.228e+2,2.280e+4,4.005e-10
262.17,2.384e+4,4.366e+2,2.340e+4,8.722e-11
262.19,2.329e+4,6.477e+2,2.264e+4,2.978e-11
262.22,2.105e+4,1.074e+3,1.998e+4,5.444e-12
262.24,1.895e+4,1.419e+3,1.753e+4,1.654e-12
262.27,1.562e+4,1.976e+3,1.365e+4,2.538e-13
262.29,1.373e+4,2.325e+3,1.140e+4,6.860e-14
262.32,1.207e+4,2.720e+3,9.353e+3,8.833e-15
262.34,1.213e+4,2.850e+3,9.278e+3,2.125e-15
262.36,1.340e+4,2.850e+3,1.055e+4,4.877e-16
262.39,1.811e+4,2.612e+3,1.550e+4,4.914e-17
262.41,2.340e+4,2.325e+3,2.108e+4,1.004e-17
262.44,3.467e+4,1.790e+3,3.288e+4,8.487e-19
262.46,4.402e+4,1.419e+3,4.260e+4,1.542e-19
262.49,5.930e+4,9.176e+2,5.838e+4,1.095e-20
262.51,6.896e+4,6.475e+2,6.831e+4,1.770e-21
262.54,8.004e+4,3.517e+2,7.969e+4,1.054e-22
262.56,8.392e+4,2.209e+2,8.370e+4,1.517e-23
262.59,8.362e+4,1.008e+2,8.352e+4,7.584e-25
262.61,7.982e+4,5.639e+1,7.977e+4,7.563e-25
262.64,7.103e+4,2.161e+1,7.101e+4,7.532e-25
262.66,6.496e+4,1.076e+1,6.495e+4,7.511e-25
262.69,5.848e+4,3.465e+0,5.848e+4,7.480e-25
262.71,5.701e+4,1.536e+0,5.701e+4,7.459e-25
262.74,5.932e+4,4.169e-1,5.932e+4,7.428e-25
262.76,6.304e+4,1.683e-1,6.304e+4,7.407e-25
262.78,6.741e+4,7.413e-2,6.741e+4,7.386e-25
262.81,7.292e+4,6.705e-2,7.292e+4,7.355e-25
262.83,7.481e+4,1.403e-1,7.480e+4,7.334e-25
262.86,7.459e+4,4.990e-1,7.459e+4,7.302e-25
262.88,7.327e+4,1.118e+0,7.327e+4,7.282e-25
262.91,7.252e+4,3.446e+0,7.252e+4,7.250e-25
262.93,7.502e+4,6.890e+0,7.501e+4,7.230e-25
262.96,8.653e+4,1.786e+1,8.651e+4,7.198e-25
262.98,1.004e+5,3.181e+1,1.003e+5,7.177e-25
263.01,1.294e+5,6.936e+1,1.293e+5,7.146e-25
263.03,1.521e+5,1.101e+2,1.520e+5,7.125e-25
263.06,1.852e+5,2.018e+2,1.850e+5,7.094e-25
263.08,2.023e+5,2.853e+2,2.021e+5,7.073e-25
263.11,2.147e+5,4.400e+2,2.143e+5,7.042e-25
263.13,2.121e+5,5.542e+2,2.115e+5,7.021e-25
263.15,2.006e+5,6.667e+2,2.000e+5,7.000e-25
263.18,1.702e+5,8.068e+2,1.694e+5,6.969e-25
263.2,1.444e+5,8.650e+2,1.436e+5,6.948e-25
263.23,1.040e+5,8.814e+2,1.031e+5,6.917e-25
263.25,7.916e+4,8.440e+2,7.832e+4,6.896e-25
263.28,4.849e+4,7.309e+2,4.776e+4,6.865e-25
263.3,3.319e+4,6.352e+2,3.255e+4,6.844e-25
263.33,1.745e+4,4.994e+2,1.695e+4,6.813e-25
263.35,1.087e+4,4.368e+2,1.044e+4,6.792e-25
263.38,5.136e+3,4.190e+2,4.717e+3,6.760e-25
263.4,3.146e+3,4.727e+2,2.673e+3,6.740e-25
263.43,1.759e+3,6.642e+2,1.095e+3,6.708e-25
263.45,1.460e+3,8.630e+2,5.967e+2,6.687e-25
263.48,1.489e+3,1.240e+3,2.491e+2,6.656e-25
263.5,1.667e+3,1.513e+3,1.547e+2,6.635e-25
263.52,1.890e+3,1.771e+3,1.186e+2,6.614e-25
263.55,2.201e+3,2.065e+3,1.359e+2,6.583e-25
263.57,2.348e+3,2.161e+3,1.865e+2,6.562e-25
263.6,2.443e+3,2.124e+3,3.193e+2,6.531e-25
263.62,2.427e+3,1.982e+3,4.455e+2,6.510e-25
263.65,2.321e+3,1.639e+3,6.820e+2,6.479e-25
263.67,2.221e+3,1.363e+3,8.584e+2,6.458e-25
263.7,2.065e+3,9.484e+2,1.116e+3,6.427e-25
263.72,1.963e+3,7.030e+2,1.260e+3,6.406e-25
263.75,1.812e+3,4.115e+2,1.400e+3,6.375e-25
263.77,1.705e+3,2.719e+2,1.433e+3,6.354e-25
263.8,1.533e+3,1.339e+2,1.399e+3,6.323e-25
263.82,1.415e+3,7.885e+1,1.336e+3,6.302e-25
263.85,1.251e+3,3.267e+1,1.219e+3,6.270e-25
263.87,1.161e+3,1.715e+1,1.144e+3,6.250e-25
263.9,1.058e+3,5.979e+0,1.052e+3,6.218e-25
263.92,1.005e+3,2.799e+0,1.003e+3,6.197e-25
263.94,9.579e+2,1.258e+0,9.567e+2,6.177e-25
263.97,8.792e+2,3.852e-1,8.788e+2,6.145e-25
263.99,8.151e+2,2.493e-1,8.149e+2,6.124e-25
264.02,7.035e+2,4.709e-1,7.031e+2,6.093e-25
264.04,6.266e+2,1.036e+0,6.256e+2,6.072e-25
264.07,5.257e+2,3.353e+0,5.223e+2,6.041e-25
264.09,4.772e+2,6.970e+0,4.703e+2,6.020e-25
264.12,4.410e+2,1.919e+1,4.218e+2,5.989e-25
264.14,4.412e+2,3.560e+1,4.056e+2,5.968e-25
264.17,4.749e+2,8.255e+1,3.923e+2,5.937e-25
264.19,5.185e+2,1.366e+2,3.819e+2,5.916e-25
264.22,6.195e+2,2.668e+2,3.528e+2,5.885e-25
264.24,7.157e+2,3.937e+2,3.220e+2,5.864e-25
264.27,9.098e+2,6.476e+2,2.622e+2,5.833e-25
264.29,1.070e+3,8.523e+2,2.181e+2,5.812e-25
264.31,1.247e+3,1.071e+3,1.752e+2,5.791e-25
264.34,1.507e+3,1.386e+3,1.204e+2,5.760e-25
264.36,1.647e+3,1.554e+3,9.324e+1,5.739e-25
264.39,1.762e+3,1.694e+3,6.818e+1,5.707e-25
264.41,1.754e+3,1.694e+3,6.082e+1,5.687e-25
264.44,1.614e+3,1.554e+3,5.989e+1,5.655e-25
264.46,1.449e+3,1.386e+3,6.315e+1,5.635e-25
264.49,1.141e+3,1.071e+3,6.914e+1,5.603e-25
264.51,9.239e+2,8.523e+2,7.164e+1,5.582e-25
264.54,6.257e+2,5.549e+2,7.085e+1,5.551e-25
264.56,4.606e+2,3.937e+2,6.695e+1,5.530e-25
264.59,2.729e+2,2.159e+2,5.703e+1,5.499e-25
264.61,1.855e+2,1.366e+2,4.891e+1,5.478e-25
264.64,1.001e+2,6.308e+1,3.697e+1,5.447e-25
264.66,6.620e+1,3.560e+1,3.061e+1,5.426e-25
264.68,4.567e+1,1.919e+1,2.649e+1,5.405e-25
264.71,3.291e+1,6.970e+0,2.594e+1,5.374e-25
264.73,3.345e+1,3.351e+0,3.010e+1,5.353e-25
264.76,4.524e+1,1.025e+0,4.422e+1,5.322e-25
264.78,5.987e+1,4.395e-1,5.943e+1,5.301e-25
264.81,9.180e+1,1.132e-1,9.169e+1,5.270e-25
264.83,1.197e+2,4.331e-2,1.197e+2,5.249e-25
264.86,1.711e+2,9.399e-3,1.711e+2,5.218e-25
264.88,2.109e+2,3.205e-3,2.109e+2,5.197e-25
264.91,2.765e+2,5.859e-4,2.765e+2,5.165e-25
264.93,3.218e+2,1.782e-4,3.218e+2,5.145e-25
264.96,3.863e+2,2.747e-5,3.863e+2,5.113e-25
264.98,4.230e+2,7.565e-6,4.230e+2,5.092e-25
265.01,4.615e+2,1.948e-6,4.615e+2,5.061e-25
265.03,4.727e+2,3.979e-6,4.727e+2,5.040e-25
265.06,4.651e+2,2.563e-5,4.651e+2,5.009e-25
265.08,4.441e+2,8.713e-5,4.441e+2,4.988e-25
265.1,4.126e+2,2.833e-4,4.126e+2,4.967e-25
265.13,3.514e+2,1.526e-3,3.514e+2,4.936e-25
265.15,3.062e+2,4.431e-3,3.062e+2,4.915e-25
265.18,2.390e+2,2.013e-2,2.390e+2,4.884e-25
265.2,1.982e+2,5.219e-2,1.981e+2,4.863e-25
265.23,1.468e+2,2.001e-1,1.466e+2,4.832e-25
265.25,1.206e+2,4.630e-1,1.202e+2,4.811e-25
265.28,9.444e+1,1.497e+0,9.295e+1,4.780e-25
265.3,8.592e+1,3.094e+0,8.282e+1,4.759e-25
265.33,8.650e+1,8.439e+0,7.806e+1,4.728e-25
265.35,9.585e+1,1.557e+1,8.028e+1,4.707e-25
265.38,1.241e+2,3.582e+1,8.831e+1,4.675e-25
265.4,1.536e+2,5.900e+1,9.459e+1,4.655e-25
265.43,2.164e+2,1.145e+2,1.019e+2,4.623e-25
265.45,2.722e+2,1.684e+2,1.038e+2,4.602e-25
265.47,3.394e+2,2.367e+2,1.027e+2,4.582e-25
265.5,4.578e+2,3.621e+2,9.571e+1,4.550e-25
265.52,5.426e+2,4.542e+2,8.838e+1,4.529e-25
265.55,6.626e+2,5.863e+2,7.634e+1,4.498e-25
265.57,7.265e+2,6.567e+2,6.984e+1,4.477e-25
265.6,7.815e+2,7.149e+2,6.657e+1,4.446e-25
265.62,7.862e+2,7.149e+2,7.124e+1,4.425e-25
265.65,7.490e+2,6.567e+2,9.235e+1,4.394e-25
265.67,7.036e+2,5.863e+2,1.173e+2,4.373e-25
265.7,6.256e+2,4.542e+2,1.713e+2,4.342e-25
265.72,5.783e+2,3.621e+2,2.162e+2,4.321e-25
265.75,5.257e+2,2.367e+2,2.890e+2,4.290e-25
265.77,5.029e+2,1.684e+2,3.345e+2,4.269e-25
265.8,4.783e+2,9.286e+1,3.854e+2,4.238e-25
265.82,4.605e+2,5.900e+1,4.015e+2,4.217e-25
265.84,4.363e+2,3.582e+1,4.005e+2,4.196e-25
265.87,3.833e+2,1.557e+1,3.677e+2,4.165e-25
265.89,3.375e+2,8.439e+0,3.291e+2,4.144e-25
265.92,2.605e+2,3.094e+0,2.574e+2,4.112e-25
265.94,2.092e+2,1.497e+0,2.077e+2,4.092e-25
265.97,1.413e+2,4.630e-1,1.409e+2,4.060e-25
265.99,1.053e+2,2.001e-1,1.051e+2,4.039e-25
266.02,6.689e+1,5.219e-2,6.684e+1,4.008e-25
266.04,5.125e+1,2.013e-2,5.123e+1,3.987e-25
266.07,4.054e+1,4.432e-3,4.053e+1,3.956e-25
266.09,4.082e+1,1.531e-3,4.082e+1,3.935e-25
266.12,5.232e+1,3.180e-4,5.232e+1,3.904e-25
266.14,6.942e+1,2.071e-4,6.942e+1,3.883e-25
266.17,1.192e+2,7.234e-4,1.192e+2,3.852e-25
266.19,1.804e+2,2.199e-3,1.804e+2,3.831e-25
266.21,2.800e+2,6.495e-3,2.800e+2,3.810e-25
266.24,5.482e+2,3.037e-2,5.481e+2,3.779e-25
266.26,8.468e+2,8.032e-2,8.467e+2,3.758e-25
266.29,1.553e+3,3.176e-1,1.553e+3,3.727e-25
266.31,2.234e+3,7.509e-1,2.234e+3,3.706e-25
266.34,3.594e+3,2.510e+0,3.591e+3,3.675e-25
266.36,4.694e+3,5.306e+0,4.689e+3,3.654e-25
266.39,6.491e+3,1.500e+1,6.476e+3,3.622e-25
266.41,7.661e+3,2.835e+1,7.633e+3,3.602e-25
266.44,9.145e+3,6.775e+1,9.077e+3,3.570e-25
266.46,9.851e+3,1.145e+2,9.737e+3,3.550e-25
266.49,1.043e+4,2.314e+2,1.020e+4,3.518e-25
266.51,1.055e+4,3.498e+2,1.020e+4,3.497e-25
266.54,1.052e+4,5.979e+2,9.917e+3,3.466e-25
266.56,1.045e+4,8.083e+2,9.645e+3,3.445e-25
266.59,1.041e+4,1.169e+3,9.241e+3,3.414e-25
266.61,1.040e+4,1.413e+3,8.983e+3,3.393e-25
266.63,1.033e+4,1.635e+3,8.699e+3,3.372e-25
266.66,9.981e+3,1.872e+3,8.109e+3,3.341e-25
266.68,9.485e+3,1.939e+3,7.545e+3,3.320e-25
266.71,8.309e+3,1.888e+3,6.421e+3,3.289e-25
266.73,7.290e+3,1.761e+3,5.529e+3,3.268e-25
266.76,5.599e+3,1.481e+3,4.119e+3,3.237e-25
266.78,4.493e+3,1.270e+3,3.224e+3,3.216e-25
266.81,3.053e+3,9.786e+2,2.075e+3,3.185e-25
266.83,2.302e+3,8.253e+2,1.477e+3,3.164e-25
266.86,1.510e+3,6.727e+2,8.371e+2,3.133e-25
266.88,1.176e+3,6.174e+2,5.591e+2,3.112e-25
266.91,8.851e+2,5.784e+2,3.068e+2,3.080e-25
266.93,7.779e+2,5.636e+2,2.143e+2,3.060e-25
266.96,6.748e+2,5.324e+2,1.424e+2,3.028e-25
266.98,6.174e+2,4.968e+2,1.206e+2,3.007e-25
267,5.583e+2,4.480e+2,1.104e+2,2.987e-25
267.03,4.640e+2,3.563e+2,1.077e+2,2.955e-25
267.05,4.014e+2,2.901e+2,1.112e+2,2.934e-25
267.08,3.178e+2,1.965e+2,1.213e+2,2.903e-25
267.1,2.732e+2,1.434e+2,1.297e+2,2.882e-25
267.13,2.243e+2,8.222e+1,1.421e+2,2.851e-25
267.15,2.019e+2,5.366e+1,1.482e+2,2.830e-25
267.18,1.775e+2,2.601e+1,1.515e+2,2.799e-25
267.2,1.639e+2,1.517e+1,1.487e+2,2.778e-25
267.23,1.429e+2,6.216e+0,1.367e+2,2.747e-25
267.25,1.274e+2,3.241e+0,1.242e+2,2.726e-25
267.28,1.022e+2,1.122e+0,1.010e+2,2.695e-25
267.3,8.498e+1,5.229e-1,8.445e+1,2.674e-25
267.33,6.081e+1,1.530e-1,6.066e+1,2.643e-25
267.35,4.690e+1,6.381e-2,4.684e+1,2.622e-25
267.37,3.533e+1,2.570e-2,3.531e+1,2.601e-25
267.4,2.271e+1,7.714e-3,2.271e+1,2.570e-25
267.42,1.730e+1,7.705e-3,1.729e+1,2.549e-25
267.45,1.296e+1,2.776e-2,1.294e+1,2.517e-25
267.47,1.209e+1,7.444e-2,1.202e+1,2.497e-25
267.5,1.311e+1,3.062e-1,1.280e+1,2.465e-25
267.52,1.515e+1,7.444e-1,1.440e+1,2.444e-25
267.55,2.058e+1,2.596e+0,1.798e+1,2.413e-25
267.57,2.658e+1,5.645e+0,2.094e+1,2.392e-25
267.6,4.245e+1,1.666e+1,2.579e+1,2.361e-25
267.62,6.136e+1,3.241e+1,2.895e+1,2.340e-25
267.65,1.137e+2,8.093e+1,3.280e+1,2.309e-25
267.67,1.752e+2,1.409e+2,3.434e+1,2.288e-25
267.7,3.323e+2,2.977e+2,3.461e+1,2.257e-25
267.72,4.971e+2,4.637e+2,3.339e+1,2.236e-25
267.75,8.589e+2,8.290e+2,2.991e+1,2.205e-25
267.77,1.182e+3,1.155e+3,2.703e+1,2.184e-25
267.79,1.564e+3,1.539e+3,2.425e+1,2.163e-25
267.82,2.200e+3,2.179e+3,2.135e+1,2.132e-25
267.84,2.619e+3,2.598e+3,2.094e+1,2.111e-25
267.87,3.134e+3,3.111e+3,2.354e+1,2.080e-25
267.89,3.346e+3,3.318e+3,2.783e+1,2.059e-25
267.92,3.401e+3,3.363e+3,3.844e+1,2.027e-25
267.94,3.257e+3,3.209e+3,4.826e+1,2.007e-25
267.97,2.818e+3,2.751e+3,6.645e+1,1.975e-25
267.99,2.429e+3,2.349e+3,8.009e+1,1.955e-25
268.02,1.805e+3,1.704e+3,1.010e+2,1.923e-25
268.04,1.416e+3,1.302e+3,1.141e+2,1.902e-25
268.07,9.303e+2,7.992e+2,1.312e+2,1.871e-25
268.09,6.868e+2,5.460e+2,1.408e+2,1.850e-25
268.12,4.379e+2,2.837e+2,1.542e+2,1.819e-25
268.14,3.381e+2,1.734e+2,1.647e+2,1.798e-25
268.16,2.806e+2,1.014e+2,1.792e+2,1.777e-25
268.19,2.584e+2,4.168e+1,2.167e+2,1.746e-25
268.21,2.821e+2,2.180e+1,2.603e+2,1.725e-25
268.24,3.820e+2,7.584e+0,3.745e+2,1.694e-25
268.26,5.041e+2,3.548e+0,5.005e+2,1.673e-25
268.29,8.019e+2,1.045e+0,8.009e+2,1.642e-25
268.31,1.096e+3,4.372e-1,1.096e+3,1.621e-25
268.34,1.699e+3,1.089e-1,1.699e+3,1.590e-25
268.36,2.201e+3,4.084e-2,2.201e+3,1.569e-25
268.39,3.040e+3,8.964e-3,3.040e+3,1.538e-25
268.41,3.595e+3,4.045e-3,3.595e+3,1.517e-25
268.44,4.280e+3,6.541e-3,4.280e+3,1.485e-25
268.46,4.561e+3,1.721e-2,4.561e+3,1.465e-25
268.49,4.627e+3,7.469e-2,4.627e+3,1.433e-25
268.51,4.426e+3,1.891e-1,4.426e+3,1.412e-25
268.53,4.053e+3,4.582e-1,4.052e+3,1.392e-25
268.56,3.275e+3,1.590e+0,3.273e+3,1.360e-25
268.58,2.693e+3,3.450e+0,2.690e+3,1.339e-25
268.61,1.860e+3,1.014e+1,1.850e+3,1.308e-25
268.63,1.388e+3,1.970e+1,1.368e+3,1.287e-25
268.66,8.572e+2,4.907e+1,8.081e+2,2.469e-24
268.68,6.283e+2,8.531e+1,5.430e+2,1.577e-23
268.71,4.617e+2,1.800e+2,2.817e+2,2.345e-22
268.73,4.566e+2,2.802e+2,1.764e+2,1.343e-21
268.76,5.864e+2,5.008e+2,8.553e+1,1.693e-20
268.78,7.511e+2,6.979e+2,5.316e+1,8.686e-20
268.81,1.084e+3,1.057e+3,2.747e+1,9.294e-19
268.83,1.337e+3,1.318e+3,1.876e+1,4.272e-18
268.86,1.703e+3,1.691e+3,1.199e+1,3.878e-17
268.88,1.899e+3,1.889e+3,1.015e+1,1.598e-16
268.9,2.029e+3,2.018e+3,1.039e+1,6.300e-16
268.93,2.069e+3,2.052e+3,1.703e+1,4.544e-15
268.95,1.993e+3,1.963e+3,2.932e+1,1.606e-14
268.98,1.763e+3,1.691e+3,7.184e+1,9.827e-14
269,1.577e+3,1.448e+3,1.284e+2,3.113e-13
269.03,1.344e+3,1.057e+3,2.869e+2,1.617e-12
269.05,1.276e+3,8.104e+2,4.657e+2,4.590e-12
269.08,1.388e+3,5.008e+2,8.875e+2,2.023e-11
269.1,1.635e+3,3.438e+2,1.291e+3,5.148e-11
269.13,2.267e+3,1.800e+2,2.087e+3,1.926e-10
269.15,2.831e+3,1.106e+2,2.720e+3,4.394e-10
269.18,3.775e+3,4.907e+1,3.726e+3,1.395e-9
269.2,4.377e+3,2.700e+1,4.350e+3,2.854e-9
269.23,5.062e+3,1.014e+1,5.052e+3,7.692e-9
269.25,5.288e+3,4.997e+0,5.283e+3,1.411e-8
269.28,5.205e+3,1.590e+0,5.204e+3,3.228e-8
269.3,4.878e+3,7.014e-1,4.878e+3,5.309e-8
269.32,4.378e+3,2.960e-1,4.377e+3,8.360e-8
269.35,3.432e+3,7.467e-2,3.432e+3,1.522e-7
269.37,2.767e+3,2.821e-2,2.767e+3,2.151e-7
269.4,1.853e+3,6.028e-3,1.853e+3,3.330e-7
269.42,1.350e+3,2.039e-3,1.350e+3,4.225e-7
269.45,7.855e+2,3.691e-4,7.855e+2,5.579e-7
269.47,5.296e+2,1.117e-4,5.296e+2,6.375e-7
269.5,2.926e+2,1.714e-5,2.926e+2,7.223e-7
269.52,2.097e+2,4.649e-6,2.097e+2,7.485e-7
269.55,1.646e+2,6.383e-7,1.646e+2,7.399e-7
269.57,1.738e+2,2.850e-7,1.738e+2,7.070e-7
269.6,2.306e+2,1.029e-6,2.306e+2,6.322e-7
269.62,2.901e+2,3.614e-6,2.901e+2,5.756e-7
269.65,3.989e+2,2.239e-5,3.989e+2,4.945e-7
269.67,4.749e+2,7.153e-5,4.749e+2,4.477e-7
269.69,5.448e+2,2.187e-4,5.448e+2,4.075e-7
269.72,6.218e+2,1.077e-3,6.218e+2,3.578e-7
269.74,6.457e+2,2.953e-3,6.457e+2,3.295e-7
269.77,6.337e+2,1.234e-2,6.337e+2,2.911e-7
269.79,5.958e+2,3.031e-2,5.958e+2,2.673e-7
269.82,5.064e+2,1.075e-1,5.063e+2,2.343e-7
269.84,4.351e+2,2.365e-1,4.349e+2,2.149e-7
269.87,3.279e+2,7.116e-1,3.272e+2,1.908e-7
269.89,2.641e+2,1.404e+0,2.627e+2,1.788e-7
269.92,1.875e+2,3.583e+0,1.839e+2,1.676e-7
269.94,1.507e+2,6.334e+0,1.443e+2,1.645e-7
269.97,1.160e+2,1.371e+1,1.023e+2,1.648e-7
269.99,1.054e+2,2.173e+1,8.368e+1,1.671e-7
270.02,1.065e+2,3.992e+1,6.662e+1,1.709e-7
270.04,1.181e+2,5.669e+1,6.141e+1,1.719e-7
270.06,1.384e+2,7.705e+1,6.136e+1,1.706e-7
270.09,1.874e+2,1.124e+2,7.492e+1,1.630e-7
270.11,2.359e+2,1.370e+2,9.889e+1,1.539e-7
270.14,3.457e+2,1.696e+2,1.761e+2,1.351e-7
270.16,4.576e+2,1.852e+2,2.724e+2,1.202e-7
270.19,7.193e+2,1.946e+2,5.247e+2,9.682e-8
270.21,9.823e+2,1.905e+2,7.917e+2,8.211e-8
270.24,1.550e+3,1.705e+2,1.379e+3,6.363e-8
270.26,2.054e+3,1.508e+2,1.903e+3,5.465e-8
270.29,2.974e+3,1.187e+2,2.855e+3,4.719e-8
270.31,3.649e+3,1.008e+2,3.548e+3,4.643e-8
270.34,4.623e+3,8.884e+1,4.534e+3,5.144e-8
270.36,5.155e+3,9.752e+1,5.057e+3,5.843e-8
270.39,5.640e+3,1.498e+2,5.491e+3,7.293e-8
270.41,5.715e+3,2.214e+2,5.493e+3,8.401e-8
270.44,5.474e+3,4.042e+2,5.069e+3,1.000e-7
270.46,5.144e+3,5.877e+2,4.556e+3,1.087e-7
270.48,4.756e+3,8.265e+2,3.930e+3,1.145e-7
270.51,4.215e+3,1.285e+3,2.930e+3,1.166e-7
270.53,3.960e+3,1.645e+3,2.315e+3,1.135e-7
270.56,3.789e+3,2.215e+3,1.575e+3,1.026e-7
270.58,3.803e+3,2.574e+3,1.230e+3,9.235e-8
270.61,3.928e+3,3.005e+3,9.233e+2,7.472e-8
270.63,4.018e+3,3.184e+3,8.339e+2,6.276e-8
270.66,4.073e+3,3.260e+3,8.127e+2,4.635e-8
270.68,4.033e+3,3.191e+3,8.420e+2,3.722e-8
270.71,3.872e+3,2.959e+3,9.132e+2,2.709e-8
270.73,3.732e+3,2.763e+3,9.689e+2,2.302e-8
270.76,3.540e+3,2.476e+3,1.065e+3,2.122e-8
270.78,3.455e+3,2.314e+3,1.141e+3,2.286e-8
270.81,3.402e+3,2.124e+3,1.278e+3,2.918e-8
270.83,3.397e+3,2.018e+3,1.379e+3,3.547e-8
270.85,3.387e+3,1.910e+3,1.477e+3,4.277e-8
270.88,3.311e+3,1.716e+3,1.595e+3,5.403e-8
270.9,3.197e+3,1.557e+3,1.640e+3,6.058e-8
270.93,2.938e+3,1.285e+3,1.653e+3,6.713e-8
270.95,2.743e+3,1.101e+3,1.642e+3,6.855e-8
270.98,2.515e+3,8.615e+2,1.654e+3,6.584e-8
271,2.472e+3,7.482e+2,1.724e+3,6.111e-8
271.03,2.662e+3,6.683e+2,1.994e+3,5.089e-8
