Wavelength (nm),Sum(calc),Mg I (1.1e-1),Mg II (8.9e-1),Mg III (5.4e-4)
203.87,2.372e-24,7.106e-14,,2.372e-24
203.89,3.105e-24,7.104e-14,,3.105e-24
203.92,4.025e-24,7.101e-14,,4.025e-24
203.94,4.347e-24,7.099e-14,,4.347e-24
203.97,4.224e-24,7.096e-14,,4.224e-24
203.99,3.763e-24,7.094e-14,,3.763e-24
204.02,2.740e-24,7.091e-14,,2.740e-24
204.04,2.014e-24,7.089e-14,,2.014e-24
204.07,1.099e-24,7.086e-14,,1.099e-24
204.09,6.666e-25,7.084e-14,,6.666e-25
204.12,2.726e-25,7.081e-14,,2.726e-25
204.14,1.364e-25,7.079e-14,,1.364e-25
204.17,4.180e-26,7.076e-14,,4.180e-26
204.19,1.726e-26,7.073e-14,,1.726e-26
204.21,6.596e-27,7.071e-14,,6.596e-27
204.24,1.350e-27,7.068e-14,,1.350e-27
204.26,4.257e-28,7.066e-14,,4.257e-28
204.29,6.528e-29,7.063e-14,,6.528e-29
204.31,1.699e-29,7.061e-14,,1.699e-29
204.34,1.952e-30,7.058e-14,,1.952e-30
204.36,4.191e-31,7.056e-14,,4.191e-31
204.39,3.609e-32,7.053e-14,,3.609e-32
204.41,6.392e-33,7.051e-14,,6.392e-33
204.44,4.125e-34,7.048e-14,,4.125e-34
204.46,6.029e-35,7.046e-14,,6.029e-35
204.49,2.916e-36,7.043e-14,,2.916e-36
204.51,3.515e-37,7.040e-14,,3.515e-37
204.54,1.274e-38,7.037e-14,,1.274e-38
204.56,1.267e-39,7.035e-14,,1.267e-39
204.59,3.443e-41,7.032e-14,,3.443e-41
204.61,2.825e-42,7.030e-14,,2.825e-42
204.63,2.147e-43,7.028e-14,,2.147e-43
204.86,9.376e-44,7.004e-14,,9.376e-44
204.88,1.231e-42,7.002e-14,,1.231e-42
204.91,5.085e-41,6.999e-14,,5.085e-41
204.93,5.526e-40,6.997e-14,,5.526e-40
204.96,1.718e-38,6.994e-14,,1.718e-38
204.98,1.545e-37,6.992e-14,,1.545e-37
205,1.288e-36,6.990e-14,,1.288e-36
205.03,2.690e-35,6.987e-14,,2.690e-35
205.05,1.856e-34,6.985e-14,,1.856e-34
205.08,2.917e-33,6.982e-14,,2.917e-33
205.1,1.665e-32,6.980e-14,,1.665e-32
205.13,1.971e-31,6.977e-14,,1.971e-31
205.15,9.311e-31,6.974e-14,,9.311e-31
205.18,8.294e-30,6.971e-14,,8.294e-30
205.2,3.242e-29,6.969e-14,,3.242e-29
205.23,2.174e-28,6.966e-14,,2.174e-28
205.25,7.033e-28,6.964e-14,,7.033e-28
205.28,3.550e-27,6.961e-14,,3.550e-27
205.3,9.502e-27,6.959e-14,,9.502e-27
205.33,3.611e-26,6.956e-14,,3.611e-26
205.35,7.998e-26,6.954e-14,,7.998e-26
205.37,1.642e-25,6.952e-14,,1.642e-25
205.4,4.193e-25,6.949e-14,,4.193e-25
205.42,7.124e-25,6.947e-14,,7.124e-25
205.45,1.369e-24,6.943e-14,,1.369e-24
205.47,1.925e-24,6.941e-14,,1.925e-24
205.5,2.785e-24,6.938e-14,,2.785e-24
205.52,3.241e-24,6.936e-14,,3.241e-24
205.55,3.529e-24,6.933e-14,,3.529e-24
205.57,3.398e-24,6.931e-14,,3.398e-24
205.6,2.785e-24,6.928e-14,,2.785e-24
205.62,2.219e-24,6.926e-14,,2.219e-24
205.65,1.369e-24,6.923e-14,,1.369e-24
205.67,9.027e-25,6.921e-14,,9.027e-25
205.7,4.193e-25,6.918e-14,,4.193e-25
205.72,2.287e-25,6.916e-14,,2.287e-25
205.75,7.998e-26,6.913e-14,,7.998e-26
205.77,3.611e-26,6.910e-14,,3.611e-26
205.79,1.511e-26,6.908e-14,,1.511e-26
205.82,3.550e-27,6.905e-14,,3.550e-27
205.84,1.229e-27,6.903e-14,,1.229e-27
205.87,2.174e-28,6.900e-14,,2.174e-28
205.89,6.231e-29,6.898e-14,,6.231e-29
205.92,8.294e-30,6.895e-14,,8.294e-30
205.94,1.967e-30,6.893e-14,,1.967e-30
205.97,1.973e-31,6.890e-14,,1.973e-31
205.99,3.986e-32,6.888e-14,,3.986e-32
206.02,2.102e-32,6.885e-14,,2.102e-32
206.04,1.022e-31,6.883e-14,,1.022e-31
206.07,1.177e-30,6.880e-14,,1.177e-30
206.09,5.481e-30,6.877e-14,,5.481e-30
206.12,4.786e-29,6.874e-14,,4.786e-29
206.14,1.848e-28,6.872e-14,,1.848e-28
206.16,6.619e-28,6.870e-14,,6.619e-28
206.19,3.898e-27,6.867e-14,,3.898e-27
206.21,1.157e-26,6.865e-14,,1.157e-26
206.24,5.143e-26,6.862e-14,,5.143e-26
206.26,1.266e-25,6.860e-14,,1.266e-25
206.29,4.245e-25,6.857e-14,,4.245e-25
206.31,8.661e-25,6.855e-14,,8.661e-25
206.34,2.192e-24,6.852e-14,,2.192e-24
206.36,3.707e-24,6.850e-14,,3.707e-24
206.39,7.082e-24,6.847e-14,,7.082e-24
206.41,9.928e-24,6.844e-14,,9.928e-24
206.44,1.431e-23,6.841e-14,,1.431e-23
206.46,1.663e-23,6.839e-14,,1.663e-23
206.49,1.810e-23,6.836e-14,,1.810e-23
206.51,1.743e-23,6.834e-14,,1.743e-23
206.53,1.557e-23,6.832e-14,,1.557e-23
206.56,1.143e-23,6.829e-14,,1.143e-23
206.58,8.464e-24,6.827e-14,,8.464e-24
206.61,4.687e-24,6.824e-14,,4.687e-24
206.63,2.878e-24,6.822e-14,,2.878e-24
206.66,1.203e-24,6.819e-14,,1.203e-24
206.68,6.121e-25,6.817e-14,,6.121e-25
206.71,1.931e-25,6.814e-14,,1.931e-25
206.73,8.144e-26,6.811e-14,,8.144e-26
206.76,1.939e-26,6.808e-14,,1.939e-26
206.78,6.779e-27,6.806e-14,,6.779e-27
206.81,1.218e-27,6.803e-14,,1.218e-27
206.83,3.530e-28,6.801e-14,,3.530e-28
206.86,4.786e-29,6.798e-14,,4.786e-29
206.88,1.150e-29,6.796e-14,,1.150e-29
206.91,1.177e-30,6.793e-14,,1.177e-30
206.93,2.344e-31,6.791e-14,,2.344e-31
206.95,4.331e-32,6.789e-14,,4.331e-32
206.98,2.988e-33,6.786e-14,,2.988e-33
207,4.577e-34,6.784e-14,,4.577e-34
207.03,2.383e-35,6.780e-14,,2.383e-35
207.05,3.026e-36,6.778e-14,,3.026e-36
207.08,1.189e-37,6.775e-14,,1.189e-37
207.1,1.251e-38,6.773e-14,,1.251e-38
207.13,3.712e-40,6.770e-14,,3.712e-40
207.15,3.238e-41,6.768e-14,,3.238e-41
207.89,3.676e-44,6.692e-14,,3.676e-44
207.92,1.608e-42,6.689e-14,,1.608e-42
207.94,1.822e-41,6.687e-14,,1.822e-41
207.97,6.049e-40,6.684e-14,,6.049e-40
207.99,5.700e-39,6.681e-14,,5.700e-39
208.02,1.437e-37,6.678e-14,,1.437e-37
208.04,1.126e-36,6.676e-14,,1.126e-36
208.07,2.154e-35,6.673e-14,,2.154e-35
208.09,1.405e-34,6.671e-14,,1.405e-34
208.11,8.519e-34,6.669e-14,,8.519e-34
208.14,1.107e-32,6.666e-14,,1.107e-32
208.16,5.585e-32,6.664e-14,,5.585e-32
208.19,5.511e-31,6.661e-14,,5.511e-31
208.21,2.312e-30,6.659e-14,,2.312e-30
208.24,1.732e-29,6.656e-14,,1.732e-29
208.26,6.046e-29,6.654e-14,,6.046e-29
208.29,3.436e-28,6.651e-14,,3.436e-28
208.31,9.983e-28,6.648e-14,,9.983e-28
208.34,4.306e-27,6.645e-14,,4.306e-27
208.36,1.041e-26,6.643e-14,,1.041e-26
208.39,3.407e-26,6.640e-14,,3.407e-26
208.41,6.853e-26,6.638e-14,,6.853e-26
208.44,1.703e-25,6.635e-14,,1.703e-25
208.46,2.849e-25,6.633e-14,,2.849e-25
208.48,4.430e-25,6.631e-14,,4.430e-25
208.51,7.481e-25,6.628e-14,,7.481e-25
208.53,9.677e-25,6.626e-14,,9.677e-25
208.56,1.240e-24,6.623e-14,,1.240e-24
208.58,1.335e-24,6.621e-14,,1.335e-24
208.61,1.299e-24,6.617e-14,,1.299e-24
208.63,1.163e-24,6.615e-14,,1.163e-24
208.66,8.587e-25,6.612e-14,,8.587e-25
208.68,6.399e-25,6.610e-14,,6.399e-25
208.71,3.585e-25,6.607e-14,,3.585e-25
208.73,2.223e-25,6.605e-14,,2.223e-25
208.76,9.454e-26,6.602e-14,,9.454e-26
208.78,4.877e-26,6.600e-14,,4.877e-26
208.81,1.575e-26,6.597e-14,,1.575e-26
208.83,6.783e-27,6.595e-14,,6.783e-27
208.86,1.839e-27,6.592e-14,,1.839e-27
208.88,1.206e-27,6.590e-14,,1.206e-27
208.9,2.107e-27,6.588e-14,,2.107e-27
208.93,9.153e-27,6.584e-14,,9.153e-27
208.95,2.360e-26,6.582e-14,,2.360e-26
208.98,8.561e-26,6.579e-14,,8.561e-26
209,1.845e-25,6.577e-14,,1.845e-25
209.03,5.089e-25,6.574e-14,,5.089e-25
209.05,9.134e-25,6.572e-14,,9.134e-25
209.08,1.915e-24,6.569e-14,,1.915e-24
209.1,2.863e-24,6.567e-14,,2.863e-24
209.13,4.563e-24,6.564e-14,,4.563e-24
209.15,5.683e-24,6.562e-14,,5.683e-24
209.18,6.885e-24,6.559e-14,,6.885e-24
209.2,7.141e-24,6.557e-14,,7.141e-24
209.23,6.577e-24,6.554e-14,,6.577e-24
209.25,5.683e-24,6.551e-14,,5.683e-24
209.27,4.563e-24,6.549e-14,,4.563e-24
209.3,2.863e-24,6.546e-14,,2.863e-24
209.32,1.915e-24,6.544e-14,,1.915e-24
209.35,9.134e-25,6.541e-14,,9.134e-25
209.37,5.089e-25,6.539e-14,,5.089e-25
209.4,1.845e-25,6.536e-14,,1.845e-25
209.42,8.562e-26,6.534e-14,,8.562e-26
209.45,2.366e-26,6.531e-14,,2.366e-26
209.47,9.321e-27,6.529e-14,,9.321e-27
209.5,2.969e-27,6.526e-14,,2.969e-27
209.52,3.542e-27,6.524e-14,,3.542e-27
209.55,1.186e-26,6.521e-14,,1.186e-26
209.57,2.716e-26,6.518e-14,,2.716e-26
209.6,8.297e-26,6.515e-14,,8.297e-26
209.62,1.596e-25,6.513e-14,,1.596e-25
209.64,2.856e-25,6.511e-14,,2.856e-25
209.67,5.962e-25,6.508e-14,,5.962e-25
209.69,8.893e-25,6.506e-14,,8.893e-25
209.72,1.414e-24,6.503e-14,,1.414e-24
209.74,1.758e-24,6.501e-14,,1.758e-24
209.77,2.128e-24,6.498e-14,,2.128e-24
209.79,2.207e-24,6.496e-14,,2.207e-24
209.82,2.033e-24,6.493e-14,,2.033e-24
209.84,1.758e-24,6.491e-14,,1.758e-24
209.87,1.234e-24,6.488e-14,,1.234e-24
209.89,8.893e-25,6.485e-14,,8.893e-25
209.92,4.750e-25,6.482e-14,,4.750e-25
209.94,2.856e-25,6.480e-14,,2.856e-25
209.97,1.161e-25,6.477e-14,,1.161e-25
209.99,5.821e-26,6.475e-14,,5.821e-26
210.02,1.802e-26,6.472e-14,,1.802e-26
210.04,7.532e-27,6.470e-14,,7.532e-27
210.06,2.927e-27,6.468e-14,,2.927e-27
210.09,6.188e-28,6.465e-14,,6.188e-28
210.11,2.005e-28,6.463e-14,,2.005e-28
210.14,3.227e-29,6.460e-14,,3.227e-29
210.16,8.718e-30,6.458e-14,,8.718e-30
210.19,1.068e-30,6.454e-14,,1.068e-30
210.21,2.406e-31,6.452e-14,,2.406e-31
210.24,2.245e-32,6.449e-14,,2.245e-32
210.26,4.217e-33,6.447e-14,,4.217e-33
210.29,2.995e-34,6.444e-14,,2.995e-34
210.31,4.691e-35,6.442e-14,,4.691e-35
210.34,2.537e-36,6.439e-14,,2.537e-36
210.36,3.312e-37,6.437e-14,,3.312e-37
210.39,1.364e-38,6.434e-14,,1.364e-38
210.41,1.485e-39,6.432e-14,,1.485e-39
210.43,1.503e-40,6.430e-14,,1.503e-40
210.46,4.226e-42,6.427e-14,,4.226e-42
210.48,3.568e-43,6.425e-14,,3.568e-43
210.58,2.167e-43,6.414e-14,,2.167e-43
210.61,8.615e-42,6.411e-14,,8.615e-42
210.63,9.176e-41,6.409e-14,,9.176e-41
210.66,2.789e-39,6.406e-14,,2.789e-39
210.68,2.483e-38,6.404e-14,,2.483e-38
210.71,5.767e-37,6.401e-14,,5.767e-37
210.73,4.292e-36,6.399e-14,,4.292e-36
210.76,7.619e-35,6.396e-14,,7.619e-35
210.78,4.740e-34,6.394e-14,,4.740e-34
210.8,2.745e-33,6.392e-14,,2.745e-33
210.83,3.345e-32,6.388e-14,,3.345e-32
210.85,1.619e-31,6.386e-14,,1.619e-31
210.88,1.508e-30,6.383e-14,,1.508e-30
210.9,6.101e-30,6.381e-14,,6.101e-30
210.93,4.342e-29,6.378e-14,,4.342e-29
210.95,1.469e-28,6.376e-14,,1.469e-28
210.98,7.989e-28,6.373e-14,,7.989e-28
211,2.259e-27,6.371e-14,,2.259e-27
211.03,9.391e-27,6.368e-14,,9.391e-27
211.05,2.220e-26,6.366e-14,,2.220e-26
211.08,7.053e-26,6.363e-14,,7.053e-26
211.1,1.394e-25,6.361e-14,,1.394e-25
211.13,3.384e-25,6.358e-14,,3.384e-25
211.15,5.589e-25,6.355e-14,,5.589e-25
211.18,1.037e-24,6.352e-14,,1.037e-24
211.2,1.432e-24,6.350e-14,,1.432e-24
211.22,1.840e-24,6.348e-14,,1.840e-24
211.25,2.344e-24,6.345e-14,,2.344e-24
211.27,2.518e-24,6.343e-14,,2.518e-24
211.3,2.452e-24,6.340e-14,,2.452e-24
211.32,2.202e-24,6.338e-14,,2.202e-24
211.35,1.638e-24,6.335e-14,,1.638e-24
211.37,1.230e-24,6.333e-14,,1.230e-24
211.4,6.992e-25,6.330e-14,,6.992e-25
211.42,4.388e-25,6.328e-14,,4.388e-25
211.45,1.907e-25,6.324e-14,,1.907e-25
211.47,1.000e-25,6.322e-14,,1.000e-25
211.5,3.322e-26,6.319e-14,,3.322e-26
211.52,1.457e-26,6.317e-14,,1.457e-26
211.55,3.698e-27,6.314e-14,,3.698e-27
211.57,1.356e-27,6.312e-14,,1.356e-27
211.59,4.625e-28,6.310e-14,,4.625e-28
