Wavelength (nm),Sum(calc),Ca I (3.8e-2),Ca II (9.5e-1),Ca III (1.3e-2)
203.17,1.760e-14,,,1.760e-14
203.2,4.328e-14,,,4.328e-14
203.22,7.158e-14,,,7.158e-14
203.25,1.317e-13,,,1.317e-13
203.27,1.794e-13,,,1.794e-13
203.3,2.469e-13,,,2.469e-13
203.32,2.773e-13,,,2.773e-13
203.35,2.855e-13,,,2.855e-13
203.37,2.642e-13,,,2.642e-13
203.4,2.035e-13,,,2.035e-13
203.42,1.552e-13,,,1.552e-13
203.45,8.941e-14,,,8.941e-14
203.47,5.620e-14,,,5.620e-14
203.49,3.269e-14,,,3.269e-14
203.52,1.255e-14,,,1.255e-14
203.54,6.014e-15,,,6.014e-15
203.57,1.726e-15,,,1.726e-15
203.59,6.820e-16,,,6.820e-16
203.62,1.465e-16,,,1.465e-16
203.64,4.768e-17,,,4.768e-17
203.67,7.670e-18,,,7.670e-18
203.69,2.116e-18,,,2.116e-18
203.72,1.036e-18,,,1.036e-18
203.74,4.011e-18,,,4.011e-18
203.77,3.847e-17,,,3.847e-17
203.79,1.592e-16,,,1.592e-16
203.82,1.161e-15,,,1.161e-15
203.84,3.965e-15,,,3.965e-15
203.86,1.254e-14,,,1.254e-14
203.89,6.111e-14,,,6.111e-14
203.91,1.596e-13,,,1.596e-13
203.94,5.829e-13,,,5.829e-13
203.96,1.256e-12,,,1.256e-12
203.99,3.441e-12,,,3.441e-12
204.01,6.120e-12,,,6.120e-12
204.04,1.257e-11,,,1.257e-11
204.06,1.845e-11,,,1.845e-11
204.09,2.842e-11,,,2.842e-11
204.11,3.444e-11,,,3.444e-11
204.14,3.977e-11,,,3.977e-11
204.16,3.977e-11,,,3.977e-11
204.19,3.444e-11,,,3.444e-11
204.21,2.842e-11,,,2.842e-11
204.24,1.845e-11,,,1.845e-11
204.26,1.257e-11,,,1.257e-11
204.28,7.930e-12,,,7.930e-12
204.31,3.441e-12,,,3.441e-12
204.33,1.792e-12,,,1.792e-12
204.36,5.846e-13,,,5.846e-13
204.38,2.544e-13,,,2.544e-13
204.41,7.231e-14,,,7.231e-14
204.43,4.238e-14,,,4.238e-14
204.46,4.926e-14,,,4.926e-14
204.48,7.078e-14,,,7.078e-14
204.51,1.161e-13,,,1.161e-13
204.53,1.494e-13,,,1.494e-13
204.56,1.934e-13,,,1.934e-13
204.58,2.133e-13,,,2.133e-13
204.61,2.244e-13,,,2.244e-13
204.63,2.200e-13,,,2.200e-13
204.65,2.081e-13,,,2.081e-13
204.68,1.803e-13,,,1.803e-13
204.7,1.575e-13,,,1.575e-13
204.73,1.200e-13,,,1.200e-13
204.75,9.465e-14,,,9.465e-14
204.78,6.014e-14,,,6.014e-14
204.8,4.133e-14,,,4.133e-14
204.83,2.093e-14,,,2.093e-14
204.85,1.224e-14,,,1.224e-14
204.88,4.825e-15,,,4.825e-15
204.9,2.379e-15,,,2.379e-15
204.93,7.217e-16,,,7.217e-16
204.95,2.983e-16,,,2.983e-16
204.98,6.929e-17,,,6.929e-17
205,2.393e-17,,,2.393e-17
205.03,4.238e-18,,,4.238e-18
205.05,1.220e-18,,,1.220e-18
205.07,3.263e-19,,,3.263e-19
205.1,3.930e-20,,,3.930e-20
205.12,8.737e-21,,,8.737e-21
205.15,7.965e-22,,,7.965e-22
205.17,1.469e-22,,,1.469e-22
205.2,1.012e-23,,,1.012e-23
205.22,1.547e-24,,,1.547e-24
205.25,8.031e-26,,,8.031e-26
205.27,1.017e-26,,,1.017e-26
205.3,3.975e-28,,,3.975e-28
205.32,4.079e-29,,,4.079e-29
205.35,1.205e-30,,,1.205e-30
205.57,1.725e-31,,,1.725e-31
205.59,1.917e-30,,,1.917e-30
205.62,6.165e-29,,,6.165e-29
205.64,5.675e-28,,,5.675e-28
205.67,1.377e-26,,,1.377e-26
205.69,1.050e-25,,,1.050e-25
205.72,1.921e-24,,,1.921e-24
205.74,1.214e-23,,,1.214e-23
205.77,1.675e-22,,,1.675e-22
205.79,8.768e-22,,,8.768e-22
205.82,9.122e-21,,,9.122e-21
205.84,3.957e-20,,,3.957e-20
205.86,1.592e-19,,,1.592e-19
205.89,1.116e-18,,,1.116e-18
205.91,3.719e-18,,,3.719e-18
205.94,1.966e-17,,,1.966e-17
205.96,5.429e-17,,,5.429e-17
205.99,2.164e-16,,,2.164e-16
206.01,4.951e-16,,,4.951e-16
206.04,1.488e-15,,,1.488e-15
206.06,2.821e-15,,,2.821e-15
206.09,6.395e-15,,,6.395e-15
206.11,1.004e-14,,,1.004e-14
206.14,1.717e-14,,,1.717e-14
206.16,2.234e-14,,,2.234e-14
206.19,2.881e-14,,,2.881e-14
206.21,3.106e-14,,,3.106e-14
206.23,3.106e-14,,,3.106e-14
206.26,2.697e-14,,,2.697e-14
206.28,2.234e-14,,,2.234e-14
206.31,1.463e-14,,,1.463e-14
206.33,1.004e-14,,,1.004e-14
206.36,4.961e-15,,,4.961e-15
206.38,2.821e-15,,,2.821e-15
206.41,1.051e-15,,,1.051e-15
206.43,4.951e-16,,,4.951e-16
206.46,1.391e-16,,,1.391e-16
206.48,5.429e-17,,,5.429e-17
206.51,1.150e-17,,,1.150e-17
206.53,3.719e-18,,,3.719e-18
206.56,5.941e-19,,,5.941e-19
206.58,1.592e-19,,,1.592e-19
206.61,1.918e-20,,,1.918e-20
206.63,4.258e-21,,,4.258e-21
206.65,8.768e-22,,,8.768e-22
206.68,7.115e-23,,,7.115e-23
206.7,1.214e-23,,,1.214e-23
206.73,7.429e-25,,,7.429e-25
206.75,1.050e-25,,,1.050e-25
206.78,4.846e-27,,,4.846e-27
206.8,5.675e-28,,,5.675e-28
206.83,2.031e-29,,,2.031e-29
206.85,6.016e-30,,,6.016e-30
206.88,1.855e-28,,,1.855e-28
206.9,1.662e-27,,,1.662e-27
206.93,3.878e-26,,,3.878e-26
206.95,2.886e-25,,,2.886e-25
206.98,5.095e-24,,,5.095e-24
207,3.148e-23,,,3.148e-23
207.02,1.806e-22,,,1.806e-22
207.05,2.158e-21,,,2.158e-21
207.07,1.028e-20,,,1.028e-20
207.1,9.298e-20,,,9.298e-20
207.12,3.678e-19,,,3.678e-19
207.15,2.517e-18,,,2.517e-18
207.17,8.269e-18,,,8.269e-18
207.2,4.282e-17,,,4.282e-17
207.22,1.168e-16,,,1.168e-16
207.25,4.578e-16,,,4.578e-16
207.27,1.037e-15,,,1.037e-15
207.3,3.075e-15,,,3.075e-15
207.32,5.785e-15,,,5.785e-15
207.35,1.298e-14,,,1.298e-14
207.37,2.028e-14,,,2.028e-14
207.4,3.444e-14,,,3.444e-14
207.42,4.468e-14,,,4.468e-14
207.44,5.380e-14,,,5.380e-14
207.47,6.185e-14,,,6.185e-14
207.49,6.185e-14,,,6.185e-14
207.52,5.380e-14,,,5.380e-14
207.54,4.468e-14,,,4.468e-14
207.57,2.944e-14,,,2.944e-14
207.59,2.038e-14,,,2.038e-14
207.62,1.061e-14,,,1.061e-14
207.64,7.104e-15,,,7.104e-15
207.67,7.045e-15,,,7.045e-15
207.69,1.162e-14,,,1.162e-14
207.72,2.986e-14,,,2.986e-14
207.74,5.358e-14,,,5.358e-14
207.77,1.132e-13,,,1.132e-13
207.79,1.700e-13,,,1.700e-13
207.81,2.373e-13,,,2.373e-13
207.84,3.404e-13,,,3.404e-13
207.86,3.947e-13,,,3.947e-13
207.89,4.290e-13,,,4.290e-13
207.91,4.134e-13,,,4.134e-13
207.94,3.404e-13,,,3.404e-13
207.96,2.726e-13,,,2.726e-13
207.99,1.700e-13,,,1.700e-13
208.01,1.132e-13,,,1.132e-13
208.04,5.347e-14,,,5.347e-14
208.06,2.957e-14,,,2.957e-14
208.09,1.058e-14,,,1.058e-14
208.11,4.864e-15,,,4.864e-15
208.14,1.319e-15,,,1.319e-15
208.16,5.038e-16,,,5.038e-16
208.19,1.035e-16,,,1.035e-16
208.21,3.285e-17,,,3.285e-17
208.23,9.681e-18,,,9.681e-18
208.26,1.348e-18,,,1.348e-18
208.28,3.302e-19,,,3.302e-19
208.31,3.484e-20,,,3.484e-20
208.33,7.091e-21,,,7.091e-21
208.36,5.667e-22,,,5.667e-22
208.38,9.586e-23,,,9.586e-23
208.41,5.804e-24,,,5.804e-24
208.43,8.158e-25,,,8.158e-25
208.46,3.742e-26,,,3.742e-26
208.48,4.371e-27,,,4.371e-27
