Wavelength (nm),Sum(calc),Al I (1.3e-1),Al II (8.7e-1),Al III (2.5e-5)
208.44,4.562e-18,,8.206e-17,4.562e-18
208.47,5.883e-17,,7.561e-17,5.883e-17
208.49,2.952e-16,,7.131e-17,2.952e-16
208.52,2.892e-15,,6.485e-17,2.892e-15
208.54,1.208e-14,,6.055e-17,1.208e-14
208.56,4.689e-14,,5.625e-17,4.689e-14
208.59,3.126e-13,,4.980e-17,3.126e-13
208.61,1.010e-12,,4.550e-17,1.010e-12
208.64,5.116e-12,,3.905e-17,5.116e-12
208.66,1.377e-11,,3.475e-17,1.377e-11
208.69,5.295e-11,,2.830e-17,5.295e-11
208.71,1.186e-10,,2.400e-17,1.186e-10
208.74,3.466e-10,,1.755e-17,3.466e-10
208.76,6.464e-10,,1.324e-17,6.464e-10
208.79,1.435e-9,,4.771e-16,1.435e-9
208.81,2.227e-9,,4.764e-15,2.227e-9
208.84,3.756e-9,,1.306e-13,3.755e-9
208.86,4.855e-9,,1.085e-12,4.854e-9
208.89,6.240e-9,,2.264e-11,6.217e-9
208.91,6.847e-9,,1.567e-10,6.690e-9
208.94,8.998e-9,,2.489e-9,6.509e-9
208.96,2.019e-8,,1.436e-8,5.833e-9
208.99,1.780e-7,,1.737e-7,4.319e-9
209.01,8.393e-7,,8.360e-7,3.242e-9
209.03,3.745e-6,,3.742e-6,2.297e-9
209.06,3.095e-5,,3.095e-5,1.360e-9
209.08,1.157e-4,,1.157e-4,1.144e-9
209.11,7.300e-4,,7.300e-4,1.546e-9
209.13,2.280e-3,,2.280e-3,2.366e-9
209.16,1.100e-2,,1.100e-2,4.494e-9
209.18,2.876e-2,,2.876e-2,6.440e-9
209.21,1.065e-1,,1.065e-1,9.696e-9
209.23,2.335e-1,,2.335e-1,1.164e-8
209.26,6.665e-1,,6.665e-1,1.334e-8
209.28,1.231e+0,,1.231e+0,1.334e-8
209.31,2.727e+0,,2.727e+0,1.164e-8
209.33,4.266e+0,,4.266e+0,9.693e-9
209.36,7.396e+0,,7.396e+0,6.426e-9
209.38,9.862e+0,,9.862e+0,4.459e-9
209.41,1.352e+1,,1.352e+1,2.248e-9
209.43,1.547e+1,,1.547e+1,1.299e-9
209.45,1.666e+1,,1.666e+1,6.982e-10
209.48,1.667e+1,,1.667e+1,2.398e-10
209.5,1.548e+1,,1.548e+1,1.073e-10
209.53,1.239e+1,,1.239e+1,2.803e-11
209.55,9.911e+0,,9.911e+0,1.045e-11
209.58,6.320e+0,,6.320e+0,2.075e-12
209.6,4.332e+0,,4.332e+0,6.447e-13
209.63,2.182e+0,,2.182e+0,9.733e-14
209.65,1.274e+0,,1.274e+0,2.518e-14
209.68,5.023e-1,,5.023e-1,2.891e-15
209.7,2.484e-1,,2.484e-1,6.231e-16
209.73,7.612e-2,,7.612e-2,5.438e-17
209.75,3.176e-2,,3.176e-2,9.765e-18
209.78,7.517e-3,,7.517e-3,6.479e-19
209.8,2.637e-3,,2.637e-3,9.692e-20
209.83,4.802e-4,,4.802e-4,4.889e-21
209.85,1.413e-4,,1.413e-4,6.093e-22
209.88,1.975e-5,,1.975e-5,2.337e-23
209.9,4.865e-6,,4.865e-6,2.426e-24
209.92,1.116e-6,,1.116e-6,2.341e-25
209.95,1.073e-7,,1.073e-7,2.336e-25
209.97,2.059e-8,,2.059e-8,2.333e-25
210,1.512e-9,,1.512e-9,2.328e-25
210.02,2.424e-10,,2.424e-10,2.324e-25
210.05,1.359e-11,,1.359e-11,2.319e-25
210.07,1.819e-12,,1.819e-12,2.316e-25
210.1,7.778e-14,,7.778e-14,2.311e-25
210.12,8.689e-15,,8.689e-15,2.308e-25
210.15,2.735e-16,,2.735e-16,2.303e-25
210.17,2.559e-17,,2.559e-17,2.300e-25
211.16,1.865e-14,1.865e-14,5.465e-17,2.137e-25
211.19,6.195e-13,6.195e-13,5.553e-17,2.132e-25
211.21,5.856e-12,5.856e-12,5.612e-17,2.128e-25
211.23,5.155e-11,5.155e-11,5.671e-17,2.125e-25
211.26,1.178e-9,1.178e-9,5.759e-17,2.120e-25
211.28,8.674e-9,8.674e-9,5.818e-17,2.117e-25
211.31,1.517e-7,1.517e-7,5.906e-17,2.112e-25
211.33,9.347e-7,9.347e-7,5.964e-17,2.109e-25
211.36,1.251e-5,1.251e-5,6.053e-17,2.104e-25
211.38,6.450e-5,6.450e-5,6.111e-17,2.100e-25
211.41,6.607e-4,6.607e-4,6.199e-17,2.095e-25
211.43,2.850e-3,2.850e-3,6.258e-17,2.092e-25
211.46,2.235e-2,2.235e-2,6.346e-17,2.087e-25
211.48,8.066e-2,8.066e-2,6.405e-17,2.084e-25
211.51,4.840e-1,4.840e-1,6.493e-17,2.079e-25
211.53,1.462e+0,1.462e+0,6.552e-17,2.076e-25
211.56,6.712e+0,6.712e+0,6.640e-17,2.071e-25
211.58,1.696e+1,1.696e+1,6.698e-17,2.067e-25
211.61,5.961e+1,5.961e+1,6.786e-17,2.062e-25
211.63,1.260e+2,1.260e+2,6.845e-17,2.059e-25
211.65,2.482e+2,2.482e+2,6.904e-17,2.056e-25
211.68,5.998e+2,5.998e+2,6.992e-17,2.051e-25
211.7,9.881e+2,9.881e+2,7.051e-17,2.048e-25
211.73,1.828e+3,1.828e+3,7.139e-17,2.043e-25
211.75,2.519e+3,2.519e+3,7.197e-17,2.039e-25
211.78,3.567e+3,3.567e+3,7.286e-17,2.034e-25
211.8,4.114e+3,4.114e+3,7.344e-17,2.031e-25
211.83,4.457e+3,4.457e+3,7.432e-17,2.026e-25
211.85,4.301e+3,4.301e+3,7.491e-17,2.023e-25
211.88,3.567e+3,3.567e+3,7.579e-17,2.018e-25
211.9,2.880e+3,2.880e+3,7.638e-17,2.015e-25
211.93,1.828e+3,1.828e+3,7.726e-17,2.010e-25
211.95,1.235e+3,1.235e+3,7.785e-17,2.006e-25
211.98,5.999e+2,5.999e+2,7.873e-17,2.002e-25
212,3.393e+2,3.393e+2,7.931e-17,1.998e-25
212.03,1.278e+2,1.278e+2,8.019e-17,1.993e-25
212.05,6.465e+1,6.465e+1,8.078e-17,1.990e-25
212.08,3.874e+1,3.874e+1,8.166e-17,1.985e-25
212.1,5.960e+1,5.960e+1,8.225e-17,1.982e-25
212.12,1.221e+2,1.221e+2,8.284e-17,1.978e-25
212.15,3.567e+2,3.567e+2,8.372e-17,1.974e-25
212.17,6.750e+2,6.750e+2,8.430e-17,1.970e-25
212.2,1.540e+3,1.540e+3,8.519e-17,1.965e-25
212.22,2.443e+3,2.443e+3,8.577e-17,1.962e-25
212.25,4.272e+3,4.272e+3,8.665e-17,1.957e-25
212.27,5.674e+3,5.674e+3,8.724e-17,1.954e-25
212.3,7.604e+3,7.604e+3,8.812e-17,1.949e-25
212.32,8.458e+3,8.458e+3,8.871e-17,1.946e-25
212.35,8.687e+3,8.687e+3,8.959e-17,1.941e-25
212.37,8.091e+3,8.091e+3,9.018e-17,1.937e-25
212.4,6.368e+3,6.368e+3,9.106e-17,1.932e-25
212.42,4.967e+3,4.967e+3,9.164e-17,1.929e-25
212.45,2.996e+3,2.996e+3,9.252e-17,1.924e-25
212.47,1.957e+3,1.957e+3,9.311e-17,1.921e-25
212.5,9.043e+2,9.043e+2,9.399e-17,1.916e-25
212.52,4.947e+2,4.947e+2,9.458e-17,1.913e-25
212.54,2.521e+2,2.521e+2,9.517e-17,1.909e-25
212.57,8.026e+1,8.026e+1,9.605e-17,1.904e-25
212.59,3.426e+1,3.426e+1,9.663e-17,1.901e-25
212.62,8.493e+0,8.493e+0,9.752e-17,1.896e-25
212.64,3.443e+0,3.443e+0,9.810e-17,1.893e-25
212.67,2.981e+0,2.981e+0,9.898e-17,1.888e-25
212.69,6.906e+0,6.906e+0,9.957e-17,1.885e-25
212.72,2.742e+1,2.742e+1,1.005e-16,1.880e-25
212.74,6.388e+1,6.388e+1,1.010e-16,1.876e-25
212.77,1.993e+2,1.993e+2,1.019e-16,1.871e-25
212.79,3.895e+2,3.895e+2,1.025e-16,1.868e-25
212.82,9.326e+2,9.326e+2,1.034e-16,1.863e-25
212.84,1.528e+3,1.528e+3,1.040e-16,1.860e-25
212.87,2.809e+3,2.809e+3,1.049e-16,1.855e-25
212.89,3.858e+3,3.858e+3,1.054e-16,1.852e-25
212.92,5.442e+3,5.442e+3,1.063e-16,1.847e-25
212.94,6.267e+3,6.267e+3,1.069e-16,1.843e-25
212.97,6.784e+3,6.784e+3,1.078e-16,1.838e-25
212.99,6.549e+3,6.549e+3,1.084e-16,1.835e-25
213.01,5.891e+3,5.891e+3,1.090e-16,1.832e-25
213.04,4.404e+3,4.404e+3,1.098e-16,1.827e-25
213.06,3.321e+3,3.321e+3,1.104e-16,1.824e-25
213.09,1.905e+3,1.905e+3,1.113e-16,1.819e-25
213.11,1.205e+3,1.205e+3,1.119e-16,1.815e-25
213.14,5.313e+2,5.313e+2,1.128e-16,1.810e-25
213.16,2.838e+2,2.838e+2,1.134e-16,1.807e-25
213.19,1.082e+2,1.082e+2,1.142e-16,1.802e-25
213.21,7.644e+1,7.644e+1,1.148e-16,1.799e-25
213.24,1.358e+2,1.358e+2,1.157e-16,1.794e-25
213.26,2.751e+2,2.751e+2,1.163e-16,1.791e-25
213.29,7.605e+2,7.605e+2,1.172e-16,1.786e-25
213.31,1.384e+3,1.384e+3,1.178e-16,1.782e-25
213.34,2.981e+3,2.981e+3,1.187e-16,1.778e-25
213.36,4.557e+3,4.557e+3,1.192e-16,1.774e-25
213.39,7.549e+3,7.549e+3,1.201e-16,1.769e-25
213.41,9.682e+3,9.682e+3,1.207e-16,1.766e-25
213.43,1.158e+4,1.158e+4,1.213e-16,1.763e-25
213.46,1.327e+4,1.327e+4,1.222e-16,1.758e-25
213.48,1.332e+4,1.332e+4,1.228e-16,1.754e-25
213.51,1.174e+4,1.174e+4,1.236e-16,1.750e-25
213.53,9.886e+3,9.886e+3,1.242e-16,1.746e-25
213.56,6.699e+3,6.699e+3,1.251e-16,1.741e-25
213.58,4.735e+3,4.735e+3,1.257e-16,1.738e-25
213.61,2.467e+3,2.467e+3,1.266e-16,1.733e-25
213.63,1.463e+3,1.463e+3,1.272e-16,1.730e-25
213.66,5.862e+2,5.862e+2,1.280e-16,1.725e-25
213.68,2.918e+2,2.918e+2,1.286e-16,1.722e-25
213.71,8.988e+1,8.988e+1,1.295e-16,1.717e-25
213.73,3.756e+1,3.756e+1,1.301e-16,1.713e-25
213.76,8.895e+0,8.895e+0,1.310e-16,1.708e-25
213.78,3.120e+0,3.120e+0,1.316e-16,1.705e-25
213.81,5.682e-1,5.682e-1,1.325e-16,1.700e-25
213.83,1.672e-1,1.672e-1,1.330e-16,1.697e-25
213.85,4.590e-2,4.590e-2,1.336e-16,1.694e-25
213.88,5.787e-3,5.787e-3,1.345e-16,1.689e-25
213.9,1.333e-3,1.333e-3,1.351e-16,1.685e-25
213.93,1.293e-4,1.293e-4,1.360e-16,1.680e-25
213.95,2.500e-5,2.500e-5,1.366e-16,1.677e-25
213.98,1.866e-6,1.866e-6,1.374e-16,1.672e-25
214,3.166e-7,3.166e-7,1.380e-16,1.669e-25
214.03,2.582e-7,2.582e-7,1.389e-16,1.664e-25
214.05,1.470e-6,1.470e-6,1.395e-16,1.661e-25
214.08,1.939e-5,1.939e-5,1.404e-16,1.656e-25
214.1,9.930e-5,9.930e-5,1.410e-16,1.652e-25
214.13,1.010e-3,1.010e-3,1.418e-16,1.647e-25
214.15,4.350e-3,4.350e-3,1.424e-16,1.644e-25
214.18,3.411e-2,3.411e-2,1.433e-16,1.639e-25
214.2,1.234e-1,1.234e-1,1.439e-16,1.636e-25
214.23,7.456e-1,7.456e-1,1.448e-16,1.631e-25
214.25,2.268e+0,2.268e+0,1.454e-16,1.628e-25
214.28,1.056e+1,1.056e+1,1.462e-16,1.623e-25
214.3,2.698e+1,2.698e+1,1.468e-16,1.619e-25
214.32,6.433e+1,6.433e+1,1.474e-16,1.616e-25
214.35,2.079e+2,2.079e+2,1.483e-16,1.611e-25
214.37,4.166e+2,4.166e+2,1.489e-16,1.608e-25
214.4,1.038e+3,1.038e+3,1.498e-16,1.603e-25
214.42,1.748e+3,1.748e+3,1.504e-16,1.600e-25
214.45,3.353e+3,3.353e+3,1.512e-16,1.595e-25
214.47,4.747e+3,4.747e+3,1.518e-16,1.591e-25
214.5,7.018e+3,7.018e+3,1.527e-16,1.586e-25
214.52,8.350e+3,8.350e+3,1.533e-16,1.583e-25
214.55,9.512e+3,9.512e+3,1.542e-16,1.578e-25
214.57,9.512e+3,9.512e+3,1.548e-16,1.575e-25
214.6,8.350e+3,8.350e+3,1.556e-16,1.570e-25
214.62,7.018e+3,7.018e+3,1.562e-16,1.567e-25
214.65,4.747e+3,4.747e+3,1.571e-16,1.562e-25
214.67,3.353e+3,3.353e+3,1.577e-16,1.558e-25
214.7,1.748e+3,1.748e+3,1.586e-16,1.554e-25
214.72,1.038e+3,1.038e+3,1.592e-16,1.550e-25
214.74,5.762e+2,5.762e+2,1.598e-16,1.547e-25
214.77,2.158e+2,2.158e+2,1.606e-16,1.542e-25
214.79,1.184e+2,1.184e+2,1.612e-16,1.539e-25
214.82,1.126e+2,1.126e+2,1.621e-16,1.534e-25
214.84,2.069e+2,2.069e+2,1.627e-16,1.530e-25
214.87,6.014e+2,6.014e+2,1.636e-16,1.526e-25
214.89,1.157e+3,1.157e+3,1.642e-16,1.522e-25
214.92,2.721e+3,2.721e+3,1.650e-16,1.517e-25
214.94,4.417e+3,4.417e+3,1.656e-16,1.514e-25
214.97,8.021e+3,8.021e+3,1.665e-16,1.509e-25
214.99,1.095e+4,1.095e+4,1.671e-16,1.506e-25
215.02,1.534e+4,1.534e+4,1.680e-16,1.501e-25
215.04,1.762e+4,1.762e+4,1.686e-16,1.498e-25
215.07,1.905e+4,1.905e+4,1.694e-16,1.493e-25
215.09,1.840e+4,1.840e+4,1.700e-16,1.489e-25
215.12,1.534e+4,1.534e+4,1.709e-16,1.484e-25
215.14,1.247e+4,1.247e+4,1.715e-16,1.481e-25
215.17,8.021e+3,8.021e+3,1.724e-16,1.476e-25
215.19,5.483e+3,5.483e+3,1.730e-16,1.473e-25
215.21,3.497e+3,3.497e+3,1.736e-16,1.470e-25
215.24,1.565e+3,1.565e+3,1.744e-16,1.465e-25
215.26,8.395e+2,8.395e+2,1.750e-16,1.461e-25
215.29,2.898e+2,2.898e+2,1.759e-16,1.456e-25
215.31,1.308e+2,1.308e+2,1.765e-16,1.453e-25
215.34,3.483e+1,3.483e+1,1.774e-16,1.448e-25
215.36,1.322e+1,1.322e+1,1.780e-16,1.445e-25
215.39,2.717e+0,2.717e+0,1.788e-16,1.440e-25
215.41,8.675e-1,8.675e-1,1.794e-16,1.437e-25
215.44,1.375e-1,1.375e-1,1.803e-16,1.432e-25
215.46,3.694e-2,3.694e-2,1.809e-16,1.428e-25
215.49,4.517e-3,4.517e-3,1.818e-16,1.423e-25
215.51,1.021e-3,1.021e-3,1.824e-16,1.420e-25
215.54,9.629e-5,9.629e-5,1.832e-16,1.415e-25
215.56,1.830e-5,1.830e-5,1.838e-16,1.412e-25
215.59,1.332e-6,1.332e-6,1.847e-16,1.407e-25
215.61,2.130e-7,2.130e-7,1.853e-16,1.404e-25
215.63,3.178e-8,3.178e-8,1.859e-16,1.400e-25
215.66,1.608e-9,1.608e-9,1.868e-16,1.395e-25
215.68,2.019e-10,2.019e-10,1.873e-16,1.392e-25
215.71,7.883e-12,7.883e-12,1.882e-16,1.387e-25
215.73,8.322e-13,8.322e-13,1.888e-16,1.384e-25
216.2,1.228e-13,1.228e-13,2.026e-16,1.306e-25
216.23,3.653e-12,3.653e-12,2.035e-16,1.301e-25
216.25,3.222e-11,3.222e-11,2.041e-16,1.298e-25
216.28,7.427e-10,7.427e-10,2.050e-16,1.293e-25
216.3,5.526e-9,5.526e-9,2.055e-16,1.290e-25
216.33,9.871e-8,9.871e-8,2.064e-16,1.285e-25
216.35,6.196e-7,6.196e-7,2.070e-16,1.282e-25
216.38,8.576e-6,8.576e-6,2.079e-16,1.277e-25
216.4,4.541e-5,4.541e-5,2.085e-16,1.273e-25
216.43,4.870e-4,4.870e-4,2.094e-16,1.269e-25
216.45,2.175e-3,2.175e-3,2.100e-16,1.265e-25
216.48,1.808e-2,1.808e-2,2.108e-16,1.260e-25
