Wavelength (nm),Ti I (5.4e-2),Ti II (9.4e-1),Ti III (1.9e-3)
327.828768,,9.875e+3,
327.8306,,,2.853e-5
327.891854,,1.394e+4,
327.998767,,1.502e+3,
328.23267,,9.836e+3,
328.765427,,2.744e+4,
328.842715,,1.037e+3,
328.857613,,2.203e+3,
330.68787,7.057e+2,,
330.880337,,5.399e+3,
330.97213,5.086e+2,,
331.26866,3.936e+2,,
331.52339,2.498e+2,,
331.53224,,4.969e+3,
331.802277,,7.032e+3,
331.83543,2.087e+2,,
332.0947,,,1.259e-5
332.16982,,1.035e+4,
332.293385,,5.919e+4,
332.51482,6.290e+1,,
332.5228,1.091e+2,,
332.676163,,5.440e+3,
332.945371,,4.172e+4,
333.210839,,1.633e+4,
333.519111,,2.950e+4,
333.784693,,1.155e+3,
334.0208,,,2.792e-5
334.034099,,2.267e+4,
334.18731,4.006e+3,,
334.187471,,1.043e+5,
334.376148,,5.384e+3,
334.6184,,,3.360e-5
334.674084,,6.697e+3,
334.883951,,5.508e+3,
334.903258,,1.213e+5,
334.940227,,2.908e+5,
335.206925,,1.126e+3,
335.46332,5.424e+3,,
335.4723,,,4.628e-5
335.81,,,3.018e-6
335.82708,3.417e+2,,
336.121204,,2.371e+5,
336.617662,,2.214e+3,
337.04339,2.082e+3,,
337.0625,,,3.269e-6
337.14517,6.850e+3,,
337.1621,,,4.503e-6
337.220619,,3.805e+3,
337.279276,,1.751e+5,
337.434577,,1.841e+3,
337.75748,3.102e+3,,
337.92109,4.874e+2,,
338.027668,,2.056e+4,
338.375844,,1.330e+5,
338.56598,3.205e+2,,
338.59408,3.083e+3,,
338.78336,,3.489e+4,
338.875138,,1.762e+3,
339.457223,,2.574e+4,
339.6436,,,4.409e-6
340.242153,,2.083e+3,
340.4462,,,3.873e-6
341.7622,,,6.926e-6
344.337063,,6.115e+2,
344.430605,,1.835e+4,
345.2465,,2.530e+3,
345.638418,,7.048e+3,
346.14956,,9.423e+3,
346.554752,,1.255e+3,
347.71801,,9.423e+3,
348.36245,,9.333e+2,
349.104943,,6.135e+3,
349.236362,,7.360e+2,
350.489073,,2.765e+4,
350.983574,,9.659e+2,
351.084002,,2.192e+4,
352.025196,,6.478e+3,
353.540741,,1.005e+4,
359.604651,,4.859e+3,
362.48261,,2.968e+3,
363.5462,7.937e+3,,
364.132823,,5.015e+3,
364.26731,9.881e+3,,
364.61962,1.641e+2,,
365.34943,1.150e+4,,
365.45895,3.324e+2,,
365.80948,5.606e+2,,
365.97605,,5.145e+3,
366.06286,2.627e+2,,
366.22324,,5.249e+3,
366.89632,3.407e+2,,
367.16706,5.587e+2,,
368.99138,3.563e+2,,
370.621652,,4.220e+3,
371.73912,4.097e+2,,
372.163634,,3.759e+3,
372.25696,4.087e+2,,
372.45685,1.958e+3,,
372.51524,8.695e+2,,
372.98065,3.399e+3,,
374.10588,4.583e+3,,
374.163829,,1.554e+4,
374.8003,,1.631e+3,
375.28583,6.983e+3,,
375.3633,5.654e+2,,
375.768487,,7.102e+3,
375.929152,,9.060e+4,
376.13206,,9.036e+4,
376.187205,,2.129e+3,
377.16504,6.623e+2,,
378.60437,2.155e+3,,
378.87991,2.194e+3,,
385.37253,8.483e+2,,
385.81369,1.071e+3,,
386.64396,1.298e+3,,
386.83965,1.011e+3,,
387.32018,7.092e+2,,
388.21462,1.475e+3,,
388.23202,9.728e+2,,
388.28916,3.346e+3,,
388.8022,1.895e+2,,
389.52431,1.065e+3,,
389.75749,5.632e+1,,
390.053901,,2.079e+4,
390.0959,1.640e+2,,
391.11851,3.658e+2,,
391.13617,4.771e+1,,
391.25826,6.510e+1,,
391.346122,,1.297e+4,
391.4334,3.239e+2,,
391.5471,,,1.970e-5
392.14222,2.065e+2,,
392.45264,9.242e+2,,
392.4862,,,3.327e-6
392.98737,7.143e+2,,
394.77683,7.994e+2,,
394.86705,2.870e+3,,
395.63338,2.904e+3,,
395.82055,5.568e+3,,
396.28507,5.706e+2,,
396.42687,5.540e+2,,
398.17616,3.892e+3,,
398.24811,3.965e+2,,
398.97582,5.428e+3,,
399.86363,7.320e+3,,
400.596,1.910e+2,,
400.80532,3.705e+2,,
400.89274,7.105e+2,,
400.96568,1.225e+2,,
401.32496,1.571e+2,,
401.35838,5.395e+2,,
402.18156,7.122e+2,,
402.45711,8.372e+2,,
402.833838,,1.577e+3,
403.05112,1.016e+3,,
404.03156,1.150e+2,,
405.382098,,1.082e+3,
405.50115,4.679e+2,,
406.02621,6.662e+2,,
406.4211,4.011e+2,,
406.50945,3.902e+2,,
411.27085,1.483e+2,,
411.9146,,,3.609e-6
413.9427,,,1.009e-7
416.364374,,4.987e+3,
417.19036,,3.409e+3,
418.61173,6.921e+2,,
419.1088,,,1.907e-6
421.325,,,7.375e-7
421.552,,,1.748e-5
424.76,,,4.098e-7
424.854,,,4.868e-7
425.009,,,3.925e-6
425.411,,,1.363e-7
425.901,,,3.421e-7
426.6208,2.404e+2,,
426.983,,,5.362e-7
428.13674,1.402e+2,,
428.498,4.817e+2,,
428.561,,,1.261e-6
428.74027,1.133e+3,,
428.867,,,4.098e-7
428.90698,1.322e+3,,
429.02148,,5.199e+3,
429.09289,1.199e+3,,
429.409378,,3.145e+3,
429.57493,1.159e+3,,
429.669,,,6.197e-7
430.00424,,1.307e+4,
430.192251,,2.632e+3,
430.78656,,3.157e+3,
431.286004,,2.855e+3,
431.49708,,2.924e+3,
431.956,,,3.607e-7
433.791444,,3.061e+3,
435.228,,,3.303e-7
436.76522,,9.832e+2,
437.893,,,2.365e-7
438.6847,,7.895e+2,
439.39226,6.428e+2,,
439.503121,,9.060e+3,
440.619,,,7.059e-8
441.10727,,8.685e+2,
441.72734,9.085e+2,,
443.392,,,6.551e-7
444.059,,,9.966e-8
444.1266,1.592e+2,,
444.380077,,8.132e+3,
444.655,,,8.416e-8
444.91425,3.062e+3,,
445.08939,2.506e+3,,
445.33128,1.465e+3,,
445.36987,9.629e+2,,
445.53168,1.623e+3,,
445.74268,2.391e+3,,
446.58054,7.921e+2,,
