Wavelength (nm),Si I (3.4e-1),Si II (6.6e-1),Si III (3.0e-5)
531.3244,,,2.180e-13
545.1455,,,3.215e-12
545.196,,,1.457e-12
546.2145,,5.381e-2,
546.6461,,4.907e-1,
546.6894,,6.997e-1,
546.9451,,9.667e-2,
547.3042,,,5.754e-12
547.8092,,5.893e-2,
549.0111,,,1.068e-12
553.9926,,,1.021e-12
559.9246,,,6.767e-13
563.297,,1.900e-2,
566.065,,2.557e-2,
566.956,,2.375e-1,
568.144,,2.480e-2,
568.882,,1.680e-1,
569.649,,,1.144e-11
569.74,,,9.449e-14
570.137,,1.116e-1,
570.459,,,1.688e-11
570.64,,7.648e-2,
570.72,,,1.362e-13
571.629,,,2.425e-11
572.461,,,9.352e-14
573.973,,,4.336e-8
589.879,,,8.633e-12
595.756,,9.194e+0,
597.893,,1.855e+1,
616.983,,,1.198e-12
623.961,,9.399e-1,
623.966,,6.558e-1,
631.446,,,1.335e-11
634.711,,2.136e+2,
637.137,,1.254e+2,
647.38,,,1.595e-13
647.39,,,2.089e-13
647.41,,,2.719e-13
652.149,,,3.207e-12
652.261,,,4.740e-12
652.434,,,6.847e-12
666.053,,1.330e-1,
666.503,,5.357e-2,
667.184,,2.280e-1,
669.94,,5.266e-2,
671.697,,6.696e-2,
675.034,,5.443e-2,
675.19,,1.042e-2,
680.528,,,3.382e-11
681.059,,,4.705e-13
681.841,,1.832e-1,
682.98,,3.309e-1,
683.155,,,2.201e-11
683.407,,,1.322e-11
685.176,,,6.284e-11
698.832,,,1.447e-13
700.3569,9.028e+1,,
700.431,,,1.842e-13
700.588,1.271e+2,,
701.905,,,2.648e-13
704.748,,,1.468e-12
712.585,,9.909e-2,
740.847,,,1.464e-12
744.233,,,6.041e-12
746.19,,,5.174e-11
746.235,,,3.889e-11
746.265,,,1.167e-10
746.565,,,3.887e-11
746.632,,,2.174e-10
761.236,,,8.295e-11
768.0266,1.175e+2,,
774.272,2.035e+2,,
784.882,,1.886e+0,
784.962,,1.345e-1,
784.972,,2.690e+0,
791.152,,5.249e-2,
791.163,,3.675e-2,
791.8384,1.263e+2,,
793.2348,1.723e+2,,
794.4001,2.432e+2,,
804.441,,4.526e-2,
804.455,,6.473e-2,
819.05,,,1.118e-11
819.095,,,1.455e-11
819.108,,,9.741e-13
819.168,,,1.906e-11
819.232,,,9.734e-13
821.194,,,6.931e-13
821.2,,,4.050e-13
821.23,,,5.300e-13
