Wavelength (nm),Ca I (3.8e-2),Ca II (9.5e-1),Ca III (1.3e-2)
505.0089,,,5.370e-16
506.3721,,,7.345e-17
511.2982,,,5.084e-17
513.7727,,,1.293e-16
518.8844,2.783e+3,,
520.1352,,,7.841e-17
523.1814,,,2.250e-16
524.7373,,,4.840e-16
526.1704,1.050e+3,,
526.2241,1.400e+3,,
526.4237,1.061e+3,,
526.5556,3.079e+3,,
527.027,5.827e+3,,
527.1979,,,7.323e-16
529.7533,,,2.828e-17
530.1323,,,2.368e-16
530.7224,,8.498e+1,
532.1287,,,3.875e-16
532.8057,,,1.954e-16
533.3654,,,2.683e-17
535.0731,,,4.868e-17
535.4256,,,3.845e-17
548.0011,,,5.558e-17
551.298,1.802e+3,,
557.0601,,,7.721e-16
557.9076,,,1.850e-16
558.1965,1.144e+3,,
558.8749,9.343e+3,,
559.0114,1.137e+3,,
559.4462,5.205e+3,,
559.848,3.548e+3,,
560.1277,1.178e+3,,
560.2842,1.155e+3,,
566.367,,,2.468e-17
569.4683,,,4.323e-17
585.7451,6.304e+3,,
606.9998,,,2.894e-15
610.2723,2.067e+3,,
612.2217,6.179e+3,,
616.1297,5.730e+2,,
616.2173,1.027e+4,,
616.3755,5.851e+2,,
616.6439,7.670e+2,,
616.9042,1.776e+3,,
616.9563,3.299e+3,,
617.3216,,,7.003e-16
621.3997,,,1.656e-15
629.4886,,,7.786e-16
637.0113,,,7.113e-16
638.7545,,,5.555e-16
642.4526,,,1.125e-15
643.9075,1.827e+4,,
644.9808,1.738e+3,,
646.2567,1.274e+4,,
647.1662,1.599e+3,,
648.5337,,,1.251e-15
649.3781,8.629e+3,,
649.965,1.588e+3,,
653.8784,,,2.428e-16
659.9652,,,3.813e-16
671.7681,1.222e+3,,
706.473,,,1.387e-16
730.8681,,,9.053e-16
783.0699,,,8.283e-16
784.307,,,9.404e-16
789.8419,,,2.246e-15
799.353,,,7.997e-18
805.122,,,4.704e-17
810.359,,,4.074e-17
811.898,,,3.251e-17
814.103,,,2.331e-17
819.534,,,6.566e-17
820.172,,1.524e+3,
821.719,,,8.731e-16
824.88,,2.731e+3,
825.264,,,2.448e-17
825.472,,2.988e+2,
850.549,,,7.941e-18
854.209,,2.710e+5,
866.214,,1.498e+5,
