Wavelength (nm),Fe I (1.5e-1),Fe II (8.5e-1),Fe III (1.1e-4)
223.635694,,4.611e-1,
223.744349,,4.793e-1,
223.756757,,5.122e+1,
223.789845,,3.770e+1,
223.8153,,,2.015e-6
223.827336,,6.219e+0,
223.834438,,4.271e-1,
223.85677,,6.411e-1,
223.86312,,7.889e+0,
223.903747,,7.125e+1,
224.116128,,6.390e-1,
224.134958,,8.288e-1,
224.141907,,5.251e+1,
224.15589,,,5.819e-6
224.187725,,5.706e+0,
224.308141,,5.579e+0,
224.326465,,1.899e+0,
224.407652,,3.279e+0,
224.420686,,2.677e+1,
224.439279,,5.550e+0,
224.549894,,2.054e+2,
224.668274,,2.062e+0,
224.691318,,8.851e+1,
224.76837,,1.891e+2,
224.793059,,1.303e+0,
224.891836,,1.954e+0,
224.90584,,1.249e+2,
224.905934,,4.611e+1,
224.91984,,7.846e+1,
225.087654,,6.549e-1,
225.182274,,4.347e+2,
225.407251,,2.082e+1,
225.414453,,4.344e-1,
225.420218,,1.124e+0,
225.514042,,2.178e+0,
225.563449,,3.572e+0,
225.568706,,1.868e+2,
225.576584,,2.079e+2,
225.583454,,5.313e-1,
225.689093,,3.701e+1,
225.709065,,2.566e+0,
225.75531,,8.034e-1,
225.778233,,7.714e+1,
225.859497,,3.297e-1,
225.886481,,6.029e-1,
225.922433,,4.667e-1,
225.9234,,,4.874e-11
225.951006,2.722e+2,,
225.962471,,2.271e+1,
226.120628,,4.523e-1,
226.182984,,9.255e-1,
226.2058,,,1.010e-10
226.323226,,1.442e+2,
226.4209,,,8.273e-11
226.4466,,,6.439e-11
226.459018,,1.857e+2,
226.670615,,6.195e-1,
226.803748,,4.192e-1,
226.847019,,9.023e-1,
227.03706,,4.626e+0,
227.111766,,3.833e-1,
227.2544,,,1.604e-10
227.395841,,1.291e+0,
227.40632,,2.908e+0,
227.41847,,7.552e-1,
227.602564,4.007e+2,,
227.607451,,1.069e+0,
227.696471,,5.423e-1,
227.971285,,2.317e+0,
227.991467,,9.681e+2,
228.065044,,2.133e+0,
228.276698,,1.867e+0,
228.359241,,1.319e+0,
228.369972,,3.607e+0,
228.399634,,1.053e+2,
228.408535,2.844e+2,,
228.487684,,1.256e+0,
228.705032,,8.398e-1,
228.724949,2.855e+2,,
228.782093,,1.284e+0,
228.835688,,2.164e+0,
228.866265,,5.668e+0,
228.896667,,5.537e-1,
229.199877,,8.398e-1,
229.282826,,1.004e+0,
229.3074,,,4.381e-7
229.460976,,9.917e+1,
229.58698,,,6.294e-6
229.609648,,1.886e+1,
229.689125,,8.140e-1,
229.778687,4.616e+2,,
229.816882,1.353e+3,,
229.822219,,7.551e+1,
229.844678,,6.078e-1,
229.972306,,7.630e-1,
229.975285,,5.279e-1,
230.03134,,5.641e-1,
230.062481,,5.078e-1,
230.156739,,6.060e-1,
230.189885,,5.289e-1,
230.384272,,3.482e+0,
230.40649,,7.576e-1,
230.473532,,1.027e+2,
230.490484,,1.042e+1,
230.59673,,3.713e+0,
230.636987,,3.128e+0,
230.645012,,4.667e-1,
230.666908,,5.139e+0,
230.731295,,3.627e+1,
230.772,,3.782e+0,
230.79186,,4.978e-1,
230.829587,,2.809e+0,
230.87676,,2.403e+1,
230.89303,,4.445e+0,
230.946914,,2.878e+0,
230.955313,,3.076e-1,
231.016577,,1.556e+0,
231.025964,,6.912e-1,
231.122482,,5.336e+1,
231.128724,,1.098e+1,
231.12892,,1.686e+1,
231.219214,,1.063e+0,
231.2315,,1.514e+0,
231.239844,,4.243e+0,
231.261126,,2.266e+0,
231.26523,,2.816e+0,
231.310413,3.782e+2,,
231.326166,,5.188e-1,
231.330053,,3.374e+1,
231.394039,,3.987e+0,
231.40562,,5.186e+0,
231.461336,,7.868e-1,
231.553535,,1.293e+0,
231.572932,,4.585e+0,
231.578045,,9.019e-1,
231.582519,,1.159e+0,
231.651225,,2.017e+0,
231.69114,,1.672e+0,
231.700549,,9.685e-1,
231.702401,,5.902e-1,
231.706035,,4.959e+0,
231.735119,,6.068e+0,
231.759565,,9.793e-1,
231.815016,,5.458e+0,
231.831838,,1.003e+0,
231.900799,,8.627e-1,
231.9236,,,1.446e-5
231.945628,,1.178e+0,
231.968961,,1.368e+0,
231.981176,,9.032e-1,
232.003477,,4.694e+0,
232.015884,,1.332e+0,
232.035752,6.176e+2,,
232.040492,,5.294e-1,
232.124291,,1.587e+0,
232.129331,,6.766e-1,
232.149391,,9.692e-1,
232.168942,,9.768e+1,
232.175553,,6.335e+0,
232.226881,,6.915e-1,
232.266304,,1.208e+0,
232.294102,,1.223e+1,
232.327051,,9.389e-1,
232.408205,,8.611e-1,
232.457906,,3.809e-1,
232.48158,,1.257e+0,
232.503161,,8.925e-1,
232.503556,,4.601e+0,
232.529317,,7.682e+0,
232.571478,,1.750e+1,
232.580906,,6.104e+0,
232.583117,,6.537e-1,
232.622115,,1.548e+1,
232.63607,,1.737e+1,
232.676944,,6.760e+0,
232.681022,,1.065e+1,
232.6938,,,1.794e-6
232.739541,,6.217e+3,
232.748923,,6.991e-1,
232.761301,,2.165e+0,
232.78751,,2.408e+1,
232.787607,,5.244e+0,
232.796081,,7.032e+1,
232.853981,,1.769e+0,
232.874822,,3.356e+0,
232.933815,,3.857e+0,
232.93619,,1.961e+1,
232.952097,,3.108e+0,
232.970291,,6.225e-1,
232.9925,,,8.183e-6
232.999213,,1.085e+1,
233.067136,,1.189e+0,
233.105546,,4.121e+0,
233.111243,,9.979e+0,
233.130809,,5.072e+3,
233.154479,,1.273e+0,
233.197444,,2.737e+1,
233.207628,,8.171e-1,
233.224104,,1.185e+1,
233.279874,,1.956e+4,
233.323203,,1.239e+0,
233.34658,,7.145e-1,
233.370814,,5.130e+1,
233.37827,,2.734e+0,
233.39519,,1.421e+0,
233.412286,,8.575e+0,
233.432083,,6.353e-1,
233.447871,,4.662e+0,
233.472734,,6.917e-1,
233.475275,,4.359e-1,
233.493796,,6.860e-1,
233.502501,,5.551e-1,
233.510808,,3.731e-1,
233.570183,,4.596e+0,
233.629823,,1.860e+0,
233.652929,,5.856e-1,
233.682353,,1.531e+1,
233.725207,,6.140e-1,
233.73782,,3.916e-1,
233.743428,,3.293e+0,
233.752387,,9.272e+0,
233.765457,,1.674e+0,
233.776074,,6.005e+0,
233.795905,,5.387e-1,
233.800655,,1.064e+4,
233.891933,,8.689e-1,
233.8975,,,2.713e-5
233.940765,,1.366e+2,
233.988237,,7.820e+0,
234.03555,,1.732e+1,
234.046246,,1.126e+2,
234.05949,,6.958e-1,
234.117466,,1.130e+1,
234.145226,,5.597e+0,
234.164824,,4.505e+0,
234.177605,,7.489e-1,
234.180239,,1.129e+0,
234.230799,,5.203e+0,
234.277038,,8.390e-1,
234.288806,,1.681e+0,
234.330744,,2.056e+1,
234.349481,,3.744e+4,
234.396077,,3.583e+3,
234.399793,,6.951e-1,
234.415459,,5.509e+0,
234.428128,,8.732e+3,
234.446308,,8.441e-1,
234.46028,,2.869e+0,
234.498424,,5.291e+0,
234.533693,,1.112e+3,
234.53641,,5.524e-1,
234.592712,,4.112e-1,
234.595829,,8.845e-1,
234.626874,,2.271e+1,
234.629528,,1.804e+0,
234.63541,,5.196e+0,
234.661662,,9.205e+0,
234.668118,,9.197e+0,
234.713285,,2.272e+0,
234.741119,,2.559e+0,
234.746693,,7.918e-1,
234.77786,,4.339e-1,
234.811561,,1.087e+4,
234.814629,,1.218e+0,
234.830215,,1.717e+4,
234.867434,,6.478e-1,
234.926883,,9.940e+0,
235.001631,,4.227e+0,
235.017812,,4.706e+1,
235.024665,,3.842e+0,
235.051751,,9.663e+0,
235.120071,,9.048e+2,
235.166673,,6.673e+1,
235.1802,,5.738e+0,
235.195675,,5.938e+0,
235.199975,,2.011e+0,
235.23091,,1.073e+2,
235.302355,,1.385e+0,
235.346963,,2.708e+1,
235.360766,,2.303e+0,
235.36784,,6.551e+1,
235.437354,,4.750e+0,
235.442916,,4.146e-1,
235.447758,,8.036e+2,
235.48898,,1.977e+3,
235.52158,,2.438e+2,
235.535023,,1.668e+2,
235.546213,,5.879e-1,
235.577838,,1.292e+0,
235.583823,,3.771e+0,
235.588092,,7.491e-1,
235.59284,,6.907e-1,
235.658861,,4.869e-1,
235.678708,,6.043e-1,
235.687565,,7.868e-1,
235.700312,,1.719e+2,
235.704849,,5.950e+1,
235.726866,,2.022e+0,
235.785354,,2.244e+0,
235.851617,,3.762e+0,
235.880129,,8.492e-1,
235.895281,,2.322e+0,
235.90245,,5.776e+0,
235.910519,,7.465e+3,
235.913209,,9.016e+2,
235.915173,,4.455e+0,
235.959562,,2.890e+2,
235.990517,,3.379e+0,
235.994412,,5.948e-1,
235.999939,,7.740e+3,
236.005399,,6.778e+0,
236.029423,,7.407e+3,
236.041015,,5.443e+0,
236.051098,,2.543e+1,
236.053102,,1.123e+1,
236.100937,,2.892e+0,
236.111153,,6.523e-1,
236.126837,,1.263e+0,
236.172484,,2.381e+2,
236.202138,,2.256e+3,
236.253575,,9.211e-1,
236.269764,,6.355e-1,
236.309538,,5.208e+0,
236.312007,,9.202e-1,
236.3296,,2.313e+0,
236.350029,,4.660e+1,
236.381056,,1.334e+2,
236.386088,,3.428e+2,
236.387816,,3.043e+1,
236.431065,,4.601e+0,
236.470994,,4.217e+0,
236.482785,,1.277e+4,
236.490765,,2.353e+0,
236.502067,,4.159e+0,
236.504971,,2.899e+0,
236.524322,,5.574e-1,
236.529354,,2.999e+0,
236.532035,,5.536e+0,
236.576239,,7.290e+1,
236.5766,,1.093e+1,
236.631858,,3.178e-1,
236.632122,,7.985e-1,
236.642928,,3.808e+0,
236.659348,,1.156e+3,
236.688818,,1.385e+0,
236.805715,,2.342e+0,
236.838066,,9.586e-1,
236.859599,,4.649e+3,
236.892879,,2.058e+0,
236.966052,,4.808e-1,
236.972704,,1.271e+1,
236.977748,,1.175e+0,
236.980878,,6.315e-1,
236.987929,,6.885e-1,
236.991468,,1.593e+0,
236.995317,,4.734e+2,
237.012889,,7.755e+0,
237.018261,,1.541e+0,
237.049866,,1.281e+3,
237.069813,,2.436e+0,
237.080012,,1.549e+0,
237.094115,,5.827e+0,
237.117506,,5.034e-1,
