Wavelength (nm),Fe I (1.5e-1),Fe II (8.5e-1),Fe III (1.1e-4)
248.424497,,7.277e+2,
248.4442,,1.092e+2,
248.471062,,6.941e-1,
248.48093,,1.499e+0,
248.635096,,1.437e+3,
248.669182,3.400e+2,,
248.706582,4.643e+2,,
248.814253,2.797e+4,,
248.831985,,1.516e+1,
248.8353,,2.080e+1,
248.948035,,1.686e+0,
248.948409,,1.081e+3,
248.975218,4.746e+3,,
248.982965,,2.312e+3,
249.06441,1.719e+4,,
249.071263,,5.398e+2,
249.085808,,1.022e+3,
249.11548,1.013e+4,,
249.123456,,2.369e+1,
249.13962,,7.629e+2,
249.198902,1.183e+2,,
249.234387,,2.414e+2,
249.289088,,1.520e+0,
249.318437,,5.038e+3,
249.322334,,3.938e+2,
249.32634,,8.893e+3,
249.375146,,1.671e+0,
249.387657,,6.426e+1,
249.586831,,9.200e+1,
249.633702,,1.381e+0,
249.639587,,3.422e-1,
249.653365,6.540e+2,,
249.771363,,7.083e+1,
249.781897,,9.318e+2,
249.808182,,2.030e+0,
249.889733,,4.493e+3,
249.896771,,2.832e+1,
250.092331,,3.133e+2,
250.113174,3.825e+3,,
250.135063,,1.768e+1,
250.20438,,5.821e-1,
250.239274,,1.080e+3,
250.321989,,5.603e-1,
250.332617,,8.977e+2,
250.340827,,5.874e-1,
250.353874,,1.679e+1,
250.356459,,4.517e+2,
250.363023,,9.831e-1,
250.387412,,1.119e+3,
250.489035,,5.529e+0,
250.50081,1.173e+2,,
250.609331,,9.670e+2,
250.643244,,3.212e+0,
250.657165,7.423e+1,,
250.67205,,1.453e+0,
250.679662,,5.762e+1,
250.759415,,3.881e+1,
250.766356,,1.508e+0,
250.768625,,3.964e+1,
250.790017,4.688e+2,,
250.834106,,1.110e+1,
250.912102,,1.773e+2,
250.91468,,1.056e+1,
250.948283,,2.374e+0,
250.970208,,5.566e-1,
250.986308,,2.642e+1,
251.01212,,9.602e+0,
251.038472,,1.856e+0,
251.056441,,8.274e+0,
251.083468,5.029e+3,,
251.138032,,1.716e+0,
251.16254,,5.827e-1,
251.176016,,4.106e+3,
251.192456,,1.459e+1,
251.237405,,1.219e+1,
251.252189,,1.692e+2,
251.315055,,3.203e+1,
251.438291,,8.221e+2,
251.490645,,7.973e+1,
251.49331,,1.175e+2,
251.5119,,5.087e+1,
251.590571,,1.813e+0,
251.713289,,5.884e+2,
251.766112,2.941e+2,,
251.797059,,1.003e+1,
251.810145,4.403e+3,,
251.853444,,8.867e-1,
251.904689,,1.020e+3,
251.960309,,5.875e+1,
251.96293,1.746e+2,,
252.026243,,2.397e+1,
252.067325,,6.906e+1,
252.109144,,6.380e+2,
252.121656,,4.052e+1,
252.14858,,2.854e+1,
252.181518,,6.303e+2,
252.284917,1.631e+4,,
252.289172,,7.164e+2,
252.344133,,3.523e+1,
252.429228,2.426e+3,,
252.475367,,8.860e-1,
252.510959,,1.581e+2,
252.532873,,7.070e-1,
252.538757,,5.262e+3,
252.547719,,6.968e+0,
252.563046,,8.024e-1,
252.586365,,6.192e+1,
252.591858,,9.482e+1,
252.607455,,5.262e+2,
252.629366,,3.105e+3,
252.661584,,1.886e+0,
252.710424,,7.124e+2,
252.715584,,1.107e+2,
252.726548,2.361e+2,,
252.743442,1.094e+4,,
252.745377,,2.495e+2,
252.770478,,2.475e+2,
252.907696,,1.858e+2,
252.91348,3.863e+3,,
252.922804,,3.223e+2,
252.93077,1.414e+3,,
252.954427,,3.579e+3,
252.955857,,1.481e+3,
252.983523,8.737e+2,,
252.993112,,5.440e+1,
253.01016,,6.085e+1,
253.010972,,5.465e+2,
253.041772,,1.688e+0,
253.187091,,3.777e+0,
253.314095,1.171e+2,,
253.362706,,4.501e+3,
253.441838,,2.751e+3,
253.450337,,3.580e+0,
253.4889,,1.164e+0,
253.53623,,6.626e+1,
253.548534,,9.892e+2,
253.560682,2.188e+3,,
253.667235,,6.794e+2,
253.680465,,3.254e+3,
253.684491,,1.873e+3,
253.713767,,2.435e+2,
253.717435,2.979e+3,,
253.82042,,5.732e+2,
253.850014,,6.714e+2,
253.867874,,9.482e+1,
253.873744,,1.441e+0,
253.879846,,2.787e+3,
253.890915,,1.981e+3,
253.899319,,4.699e+3,
253.932752,,5.348e+0,
254.05227,,5.290e+1,
254.066413,,3.186e+2,
254.067633,,3.091e+2,
254.097186,3.738e+3,,
254.110078,,9.379e+2,
254.183547,,9.401e+2,
254.210125,3.050e+3,,
254.273584,,2.886e+2,
254.307999,,2.742e+0,
254.33777,,1.571e+3,
254.343122,,5.141e+2,
254.392235,2.660e+3,,
254.497256,,4.438e+2,
254.521963,,1.020e+3,
254.544154,,1.288e+2,
254.574159,,6.148e-1,
254.597818,4.058e+3,,
254.644158,,9.844e+0,
254.666986,,1.055e+3,
254.679801,,6.529e-1,
254.733812,,3.559e+2,
254.832493,,3.096e+2,
254.858901,,5.337e+2,
254.874394,,9.180e+2,
254.892251,,2.318e+2,
254.89734,,1.421e+0,
254.908306,,8.405e+2,
254.939444,,1.060e+3,
254.946137,,1.094e+3,
254.961299,1.769e+3,,
254.965741,,8.014e+0,
254.977423,,1.197e+2,
255.002711,,1.734e+3,
255.01512,,6.594e+1,
255.068285,,1.316e+3,
255.120403,,7.167e+1,
255.12227,,2.302e+1,
255.506719,,2.585e+2,
255.545293,,2.442e+2,
255.667835,,5.553e-1,
255.750566,,2.078e+2,
255.88229,,8.266e-1,
255.97713,,2.041e+2,
255.99251,,1.697e+2,
256.028212,,7.831e+2,
256.209161,,3.553e+2,
256.253533,,1.561e+4,
256.347523,,8.261e+3,
256.384328,,7.189e+1,
256.621961,,1.856e+2,
256.640131,,9.772e+1,
256.650852,,1.619e+0,
256.662423,,1.505e+2,
256.677001,,2.365e+0,
256.691229,,2.908e+3,
256.763085,,1.857e+0,
256.836213,,5.635e-1,
256.840969,,3.518e+2,
256.977955,,9.637e+1,
257.084892,,6.098e+2,
257.087905,,3.293e+1,
257.117236,,2.559e+0,
257.145591,,1.181e+0,
257.208837,,2.181e+0,
257.296762,,1.026e+2,
257.321155,,1.549e+2,
257.436589,,2.238e+3,
257.669004,4.388e+2,,
257.686368,,6.004e+2,
257.792172,,3.172e+3,
257.821023,,2.805e+0,
257.898494,,8.193e-1,
257.911596,,6.853e+1,
258.177834,,6.329e-1,
258.241342,,8.571e+1,
258.258299,,4.814e+3,
258.453576,1.471e+3,,
258.561956,,1.198e+2,
258.587553,,3.443e+4,
258.794912,,6.529e+2,
259.154254,,4.971e+3,
259.278409,,1.873e+3,
259.372753,,8.917e+2,
259.464589,,3.384e+0,
259.496508,,3.896e+1,
259.744843,,4.986e-1,
259.836884,,4.014e+4,
259.939511,,1.165e+5,
259.947113,,1.830e+2,
259.956642,4.599e+2,,
260.15442,,1.002e+0,
260.405528,,9.257e+0,
260.503757,,1.444e+2,
260.531023,,2.186e+2,
260.542486,,2.393e+2,
260.590437,,5.290e+1,
260.65159,,3.747e+2,
260.682632,9.437e+2,,
260.708691,,3.166e+4,
260.752868,,3.438e+1,
260.8691,,,2.012e-6
260.903727,,6.329e-1,
260.912546,,1.405e+2,
260.92201,1.339e+2,,
260.986565,,1.245e+2,
261.107256,,6.366e+2,
261.187335,,4.622e+4,
261.382399,,1.913e+4,
261.7156,,,2.766e-6
261.761702,,1.370e+4,
261.801804,3.608e+2,,
261.907388,,4.941e+2,
261.984801,,5.996e-1,
262.017152,,1.252e+2,
262.02417,,6.831e+0,
262.069493,,5.261e+2,
262.166876,,5.054e+3,
262.312997,,5.740e+1,
262.35336,6.664e+2,,
262.370072,,9.790e+0,
262.372504,,2.178e+2,
262.411334,,1.010e+0,
262.548906,,1.626e+3,
262.566683,,1.745e+4,
262.650042,,3.983e+2,
262.829292,,1.600e+4,
262.958832,,1.114e+3,
263.007114,,5.847e+2,
263.100965,,1.324e+3,
263.104672,,2.291e+4,
263.132285,,2.423e+4,
263.160823,,1.607e+3,
263.223736,2.064e+2,,
263.320301,,1.051e+2,
263.580897,5.076e+2,,
263.749723,,2.290e+1,
263.764349,,2.920e+2,
263.956401,,1.777e+2,
264.164161,,5.316e+0,
264.201213,,7.622e+1,
264.399839,3.991e+2,,
264.462737,,7.023e-1,
264.51969,,6.216e+0,
264.53338,,9.682e+0,
264.609677,,3.905e-1,
264.869,,9.575e+0,
264.946951,,3.198e+1,
265.04811,,8.092e+1,
265.168989,,2.283e+1,
265.355724,,2.363e+0,
265.36665,,2.481e+0,
265.462848,,1.944e+1,
265.569241,,3.485e+0,
265.614508,1.693e+2,,
265.71701,,2.443e+0,
265.825182,,9.338e+1,
266.023646,,2.187e+0,
266.177066,,3.478e+0,
266.255676,,1.532e+1,
266.326009,,2.094e+0,
266.425916,,2.050e+1,
266.466349,,2.113e+3,
266.554047,,1.096e+1,
266.663566,,1.590e+3,
266.668252,,4.522e+0,
266.675074,,6.292e+0,
266.681221,3.420e+2,,
266.696468,1.170e+2,,
266.721807,,3.767e+1,
266.761673,,1.572e+0,
266.890955,,4.266e+0,
266.90081,,7.218e+0,
266.949283,1.198e+2,,
266.99362,,1.006e+1,
267.139185,,1.560e+1,
267.192216,,6.504e+0,
267.213914,,6.219e+0,
267.24804,,9.811e+0,
267.254784,,4.122e-1,
267.512275,,5.821e-1,
267.544107,,1.163e+0,
267.687824,,7.343e+0,
267.782873,,6.634e-1,
267.90221,8.284e+1,,
267.906153,7.213e+2,,
267.916313,,5.633e-1,
267.960853,,1.049e+0,
267.977626,,1.493e+0,
268.070249,,1.185e+1,
268.082392,,1.251e+0,
268.102214,,9.712e-1,
268.10437,,1.088e+1,
268.123147,,7.952e-1,
268.251002,,1.977e+1,
268.29965,,2.051e+1,
268.370909,,1.404e+0,
268.475331,,1.100e+3,
268.621706,,3.719e+0,
268.64866,,5.198e+0,
268.695042,,1.213e+0,
268.818954,,1.539e+0,
268.921246,4.918e+2,,
269.251758,,2.081e+0,
269.260157,,1.262e+3,
269.300509,,6.642e-1,
269.404699,,2.547e+0,
269.418379,,1.799e+0,
269.424907,,7.407e+0,
269.506115,,2.481e+0,
269.5143,,,1.019e-7
269.5305,,,6.792e-8
269.612305,,1.386e+0,
269.659208,,2.153e+0,
269.6898,,,4.098e-8
269.732995,,3.316e+1,
269.7332,,,1.689e-8
269.746068,,1.095e+2,
269.779766,,8.748e+0,
269.828519,,3.322e-1,
269.8419,,,2.459e-8
269.92033,,1.199e+1,
270.0047,,,2.107e-8
270.035603,,3.174e+0,
270.1124,,,2.449e-8
270.154206,,6.780e+0,
270.190919,4.657e+1,,
270.265,,,3.499e-9
270.398885,,1.321e+3,
270.4427,,,7.631e-9
270.475601,,8.969e-1,
270.5124,,,1.937e-8
270.601226,2.268e+2,,
270.6206,,,5.107e-9
270.658205,5.534e+2,,
270.681914,,1.217e+0,
270.691406,,2.070e+0,
270.71328,,1.684e+2,
270.841702,,1.700e+0,
270.857054,3.750e+2,,
270.905556,,3.526e+2,
270.925,,,1.173e-8
270.969122,,1.896e+0,
270.995,,,5.689e-9
271.003685,,3.677e+0,
271.165486,2.400e+2,,
271.184122,,9.828e+2,
271.229613,,1.017e+1,
271.239033,,2.342e+2,
271.36394,,1.453e+0,
271.441263,,6.809e+3,
271.568453,,3.330e+0,
271.62171,,8.095e+2,
271.787366,,1.924e+1,
271.792879,,2.736e+0,
271.843604,4.614e+2,,
271.8641,,4.318e+1,
271.900257,,1.162e+1,
271.90272,1.277e+4,,
271.906026,3.282e+2,,
271.919672,,1.385e+0,
271.930183,,1.197e+2,
271.941996,2.674e+2,,
272.077785,,2.152e+0,
272.090204,6.314e+3,,
272.206232,,1.409e+2,
272.27403,,3.001e+1,
272.341711,,2.453e+0,
272.357709,1.999e+3,,
272.488383,,1.099e+3,
272.605496,2.219e+2,,
272.62654,,9.144e-1,
272.681931,,1.686e+0,
272.738311,,5.098e+2,
272.753883,,7.196e+3,
272.771546,,7.127e-1,
272.881978,2.026e+2,,
272.890525,,1.571e+2,
272.932887,,4.213e+0,
273.069936,,9.220e-1,
273.073388,,2.066e+3,
273.124332,,3.695e+0,
273.29409,,2.669e+1,
273.350755,,2.068e+0,
273.35802,3.110e+3,,
273.445679,,1.293e+0,
273.48111,,1.011e+1,
273.508853,,1.711e+0,
273.541866,,4.318e-1,
273.547518,1.612e+3,,
273.69659,,4.572e+3,
273.730891,2.547e+3,,
273.763973,1.020e+2,,
273.891171,,6.729e-1,
273.892785,,3.880e+0,
273.90448,,3.984e-1,
273.94188,,4.147e-1,
273.954713,,3.696e+4,
274.087931,,7.363e-1,
274.139391,,1.478e+2,
274.168546,,5.393e-1,
274.225398,7.519e+2,,
274.240512,2.854e+3,,
274.247238,,7.812e-1,
274.265936,,4.879e+0,
274.27247,,4.625e-1,
274.284756,,2.266e+0,
274.319665,,1.459e+4,
274.322148,,2.642e+1,
274.406714,1.086e+3,,
274.452716,3.239e+2,,
274.46507,,5.742e-1,
274.528094,,3.082e+0,
274.536539,,3.134e-1,
274.612515,,3.229e+1,
274.63582,,1.857e+1,
274.648342,,2.347e+4,
274.651725,,4.013e+1,
274.69816,,2.019e+4,
274.712147,,6.389e+1,
274.742405,,1.482e+0,
274.805689,,4.165e+0,
274.91807,,9.283e+3,
274.932122,,3.456e+4,
274.935226,,5.966e+0,
274.943415,,9.857e-1,
274.948575,,4.347e+3,
275.014032,2.464e+3,,
275.112505,,1.896e+2,
275.214909,,4.598e+1,
275.30311,,1.088e+1,
275.328741,,3.431e+3,
275.488844,,1.116e+2,
275.573622,,4.636e+4,
275.632792,8.561e+2,,
275.702981,,1.068e+2,
275.731536,3.649e+2,,
275.87489,,4.781e-1,
275.947913,,1.752e+0,
276.118243,,4.040e+0,
276.144902,,4.021e-1,
276.177959,4.278e+2,,
276.181279,,1.059e+3,
276.202644,5.641e+2,,
276.233253,,5.532e+1,
276.365565,,7.699e+0,
276.512791,,2.297e+0,
276.522092,,5.781e-1,
276.59919,,3.984e-1,
276.63732,,4.785e-1,
276.750231,,3.529e+3,
276.751188,,1.884e+2,
276.752184,6.483e+2,,
276.878594,,1.272e+0,
276.915233,,1.085e+2,
276.9298,2.022e+2,,
276.933321,,2.993e+1,
276.935579,,5.163e+2,
276.980888,,6.294e-1,
276.983366,,3.594e+0,
277.22988,,1.069e+0,
277.36603,,6.858e-1,
277.468583,,1.565e+2,
277.690787,,5.253e+1,
277.822004,5.291e+2,,
277.829247,,2.974e+0,
277.929919,,1.271e+3,
277.99052,,3.449e+1,
278.069735,5.976e+1,,
278.369059,,1.743e+3,
278.482256,,7.127e-1,
278.519187,,2.587e+2,
278.724066,,1.659e+1,
278.810461,4.152e+3,,
278.980132,1.364e+2,,
279.004449,,2.532e+0,
279.33679,,5.156e-1,
279.378689,,4.021e+0,
279.388699,,2.755e+2,
279.392861,,9.497e+0,
279.662781,,3.382e+1,
279.719594,,5.990e+0,
279.900452,,4.336e-1,
279.914669,,3.995e-1,
279.929445,,2.044e+2,
280.053681,,6.874e+0,
280.343055,,6.733e+0,
280.361272,8.139e+1,,
280.452009,4.926e+2,,
280.486239,1.065e+2,,
280.49991,,5.203e+0,
280.6984,6.624e+2,,
280.978237,,3.972e+1,
281.328628,1.993e+3,,
281.708677,,2.030e+1,
282.205821,,1.277e+0,
282.327574,5.420e+2,,
282.555564,6.117e+2,,
282.862643,,1.232e+2,
283.156086,,8.649e+2,
283.243532,1.117e+3,,
283.308469,,4.149e+1,
283.571128,,5.847e+2,
283.811948,3.248e+2,,
283.821563,,2.642e+1,
283.951284,,1.573e+2,
283.979925,,9.807e+1,
284.03438,,1.948e+2,
284.06495,,4.969e+2,
284.075842,,1.788e+2,
284.397643,1.138e+3,,
284.495678,,1.300e+1,
284.542453,,2.954e+1,
284.559529,,1.212e+2,
284.777326,,3.045e+1,
284.78835,,6.686e-1,
284.805096,,1.955e+2,
284.810597,,7.502e+1,
284.831972,,7.701e+1,
284.91723,,9.560e-1,
285.172165,,4.633e+1,
285.179684,8.550e+2,,
285.26217,,1.230e+0,
285.566745,,1.733e+2,
285.637705,,5.638e+1,
285.69086,,1.433e+2,
285.717436,,8.500e+1,
285.834051,,5.903e+2,
285.862882,,1.453e+1,
285.918,,,3.236e-11
285.9215,,,4.482e-11
285.9278,,,6.205e-11
285.9373,,,8.281e-11
285.9493,,,1.088e-10
286.412258,,1.844e+1,
286.62008,,1.875e+0,
286.931212,,3.031e+1,
287.2385,,2.556e+2,
287.339744,,4.585e+2,
287.534774,,2.302e+2,
287.680324,,1.266e+2,
288.082973,,1.017e+2,
288.250544,,3.020e+0,
288.37103,,4.133e+2,
288.426884,,2.740e+0,
288.476457,,2.694e+1,
288.78048,7.936e+1,,
288.938376,,5.579e-1,
289.247758,8.313e+1,,
289.450402,3.024e+2,,
289.477812,,1.336e+2,
289.521926,,1.027e+2,
289.72647,,1.177e+2,
289.832392,,1.216e+0,
289.925629,,2.597e+0,
289.941447,1.773e+2,,
290.191002,2.158e+2,,
290.574367,,2.522e+0,
290.751736,1.345e+2,,
290.88558,8.502e+1,,
291.068574,,2.666e+0,
291.179562,,1.910e+0,
291.80246,6.563e+2,,
291.852878,,3.313e+0,
291.984079,9.021e+1,,
292.018401,,1.526e+0,
292.32855,6.370e+2,,
292.38524,2.658e+2,,
292.535761,1.149e+2,,
292.658526,,1.492e+3,
292.85017,,8.983e-1,
292.900692,4.511e+2,,
292.91177,5.567e+2,,
293.58832,,8.711e-1,
293.690315,2.398e+3,,
293.884951,,1.257e+0,
294.01131,,2.644e+0,
294.293817,,1.036e+0,
294.439523,,9.253e+2,
294.765478,,1.100e+3,
294.787579,2.339e+3,,
294.84334,2.432e+2,,
294.918118,,2.394e+2,
295.348572,2.017e+2,,
295.377413,,1.196e+3,
295.39398,1.672e+3,,
295.465223,1.028e+2,,
295.736437,9.200e+2,,
295.99919,5.639e+2,,
296.06598,4.900e+1,,
296.525433,6.029e+2,,
296.689802,5.985e+3,,
296.768235,,5.781e-1,
296.886945,,1.026e+0,
296.993598,,1.619e+2,
297.009942,9.554e+2,,
297.31323,1.725e+3,,
297.323506,3.135e+3,,
297.612673,9.746e+1,,
298.05322,9.614e+1,,
298.144486,6.298e+2,,
298.184977,2.733e+2,,
298.206129,,7.954e+1,
298.356951,4.014e+3,,
298.482518,,3.750e+3,
298.496179,,2.797e+0,
298.554538,,1.307e+3,
298.63442,,1.535e+0,
298.778925,,2.755e+0,
299.039127,3.355e+2,,
299.442662,4.324e+3,,
299.638525,1.064e+2,,
299.95114,1.452e+3,,
300.045121,2.236e+2,,
300.09476,3.678e+3,,
300.26421,,3.800e+0,
300.264448,,1.561e+3,
300.707,,,3.973e-8
300.715,,,1.111e-8
300.7216,,,2.695e-8
300.7275,,,5.070e-8
300.729,,,1.120e-8
300.74,,,6.948e-9
300.745,,,1.610e-8
300.7496,,,8.157e-9
300.7607,,,8.157e-9
300.813796,2.013e+3,,
300.909315,1.118e+2,,
300.956911,9.522e+2,,
301.14811,2.966e+2,,
301.315,,,1.388e-5
301.762704,3.901e+2,,
301.898281,5.147e+2,,
302.049056,1.911e+3,,
302.063878,1.490e+4,,
302.107248,6.546e+3,,
302.403247,4.697e+2,,
302.56362,1.023e+3,,
302.584226,1.994e+3,,
302.646179,3.828e+2,,
303.014796,7.252e+2,,
303.696336,,1.667e+1,
303.738855,2.866e+3,,
304.760437,4.086e+3,,
304.899121,,1.840e+1,
305.306552,1.047e+2,,
305.535094,,1.347e+1,
305.744545,2.397e+3,,
305.908538,3.199e+3,,
306.22358,,1.395e+2,
306.647863,6.264e+1,,
306.69987,1.167e+2,,
306.724366,1.768e+3,,
307.112537,,1.259e+1,
307.57194,1.224e+3,,
307.643517,,2.880e+1,
307.716888,,1.722e+2,
307.867997,,6.034e+1,
307.99892,4.726e+1,,
308.374072,7.026e+2,,
309.157641,4.153e+2,,
309.81885,8.881e+1,,
309.989442,4.403e+2,,
309.996786,6.301e+2,,
310.030329,7.289e+2,,
310.066467,7.650e+2,,
311.949482,1.117e+2,,
312.56824,1.455e+2,,
313.251786,1.467e+2,,
314.399022,3.450e+2,,
315.182908,,1.274e+0,
315.319962,1.099e+2,,
315.420101,,3.388e+2,
315.627342,2.751e+2,,
315.703585,2.214e+2,,
315.788474,1.713e+2,,
316.065717,2.789e+2,,
316.194619,1.002e+2,,
316.643508,1.106e+2,,
316.785477,,2.033e+2,
317.135108,1.025e+2,,
317.544444,2.678e+2,,
317.753376,,2.022e+2,
317.801268,1.955e+2,,
317.95045,,4.892e+1,
318.022325,6.387e+2,,
318.151907,1.260e+2,,
318.29781,2.147e+2,,
318.881875,1.980e+2,,
319.064942,5.146e+1,,
319.280021,3.942e+2,,
319.329965,3.437e+2,,
319.612206,1.325e+2,,
319.692708,1.110e+3,,
319.95302,3.406e+2,,
320.539789,4.695e+2,,
321.022879,2.179e+2,,
321.082878,4.544e+2,,
321.198577,7.435e+2,,
321.401115,9.877e+2,,
321.406168,9.935e+2,,
321.59378,5.110e+2,,
321.737689,2.422e+2,,
321.958202,7.086e+2,,
321.980425,4.411e+2,,
322.206713,1.718e+3,,
322.578709,2.784e+3,,
322.774314,,1.488e+3,
322.779521,6.129e+2,,
322.824874,1.874e+2,,
322.999065,1.002e+2,,
323.020722,1.734e+2,,
323.096349,3.189e+2,,
323.30516,4.351e+2,,
323.396736,3.333e+2,,
323.943258,4.762e+2,,
324.418738,6.077e+2,,
324.820399,2.372e+2,,
325.35991,1.020e+2,,
325.43618,3.792e+2,,
325.877307,,1.240e+2,
325.905153,,1.090e+2,
326.561634,3.801e+2,,
327.09998,4.684e+2,,
328.02599,3.170e+2,,
328.28904,1.213e+2,,
328.675278,1.072e+3,,
329.20206,3.827e+2,,
329.25893,2.196e+2,,
330.597065,7.246e+2,,
330.6342,4.923e+2,,
330.635695,6.013e+2,,
330.72333,1.959e+2,,
331.474131,3.639e+2,,
332.247325,9.954e+1,,
332.373598,1.753e+2,,
332.886592,1.847e+2,,
335.52276,1.760e+2,,
336.95471,2.901e+2,,
337.078304,4.972e+2,,
338.010987,1.703e+2,,
339.265213,3.857e+2,,
339.933299,3.976e+2,,
340.22556,2.460e+2,,
340.435382,2.212e+2,,
340.64368,1.123e+2,,
340.679933,1.763e+2,,
340.745937,1.636e+3,,
341.0169,1.798e+2,,
341.313213,6.627e+2,,
341.784044,3.446e+2,,
341.8507,2.832e+2,,
342.265573,1.988e+2,,
342.428418,3.435e+2,,
342.501,1.994e+2,,
342.662792,1.734e+2,,
342.66657,1.012e+2,,
342.71193,1.388e+3,,
342.819254,2.553e+2,,
344.060547,4.674e+3,,
344.098835,2.281e+3,,
344.387624,8.415e+2,,
344.514901,4.993e+2,,
345.032799,2.092e+2,,
345.191434,1.687e+2,,
345.99141,7.791e+1,,
346.586035,1.264e+3,,
346.9012,6.714e+1,,
347.544997,1.793e+3,,
347.63442,1.168e+2,,
347.670157,6.078e+2,,
348.96673,1.304e+2,,
349.057352,1.678e+3,,
349.528625,1.408e+2,,
349.710322,2.101e+2,,
349.784032,5.666e+2,,
350.84739,9.295e+1,,
351.381746,5.869e+2,,
352.126097,8.199e+2,,
352.604056,3.116e+2,,
352.616556,4.111e+2,,
352.623782,2.363e+2,,
352.638112,4.465e+2,,
352.646707,1.971e+2,,
352.667458,4.016e+2,,
352.779254,3.072e+2,,
352.98196,3.537e+2,,
353.038663,1.002e+2,,
353.30064,3.888e+2,,
353.319818,6.299e+2,,
353.655599,1.076e+3,,
353.789469,1.431e+2,,
354.012088,1.339e+2,,
354.108318,1.520e+3,,
354.207525,1.346e+3,,
354.36751,6.654e+1,,
354.563971,2.962e+2,,
354.71937,6.115e+1,,
355.282821,1.369e+2,,
355.37382,6.866e+2,,
355.492419,3.018e+3,,
355.687773,7.334e+2,,
355.851482,1.758e+3,,
355.95033,8.334e+1,,
356.069691,6.830e+1,,
356.537873,5.729e+3,,
356.703117,9.337e+1,,
356.882273,6.260e+1,,
357.009748,1.167e+4,,
357.199499,5.375e+2,,
357.339362,7.219e+1,,
357.388852,3.940e+2,,
357.524502,1.135e+2,,
357.53696,2.095e+2,,
357.675803,8.122e+1,,
358.11928,2.248e+4,,
358.21995,2.763e+2,,
358.46592,7.305e+2,,
358.478629,1.288e+2,,
358.49574,6.278e+2,,
358.531869,1.243e+3,,
358.570513,5.390e+2,,
358.61135,8.291e+2,,
358.698438,1.216e+3,,
358.723885,1.152e+2,,
358.860886,2.255e+2,,
358.891728,1.057e+2,,
358.945168,1.432e+2,,
359.463208,4.796e+2,,
359.96249,1.546e+2,,
360.2462,1.202e+2,,
360.252548,1.785e+2,,
360.320302,5.871e+2,,
360.54525,8.317e+2,,
360.550035,4.210e+2,,
360.6679,2.229e+3,,
360.814151,1.179e+2,,
360.885895,5.955e+3,,
361.015895,1.392e+3,,
361.206836,2.551e+2,,
361.778596,7.124e+2,,
361.838582,1.608e+2,,
361.87675,7.669e+3,,
362.14605,9.880e+2,,
362.17188,7.273e+1,,
362.200323,7.009e+2,,
362.31859,2.558e+2,,
362.514143,1.316e+2,,
363.034738,1.285e+2,,
363.109689,4.270e+2,,
363.146292,7.431e+3,,
363.20384,4.614e+2,,
363.432842,1.175e+2,,
363.62236,1.219e+2,,
363.82962,4.212e+2,,
364.03881,8.092e+2,,
364.582,1.939e+2,,
364.74237,1.412e+2,,
364.784225,5.474e+3,,
364.950594,7.687e+2,,
365.002947,2.405e+2,,
365.02787,1.985e+2,,
365.146668,1.056e+3,,
365.546479,1.095e+2,,
365.951641,1.643e+2,,
366.70252,,4.674e-1,
366.725284,1.100e+2,,
366.952079,3.483e+2,,
367.00884,1.540e+2,,
367.73056,1.320e+2,,
367.76277,6.290e+2,,
367.991309,6.368e+2,,
368.22445,6.238e+2,,
368.410722,4.490e+2,,
368.41374,7.207e+1,,
368.599687,6.212e+2,,
368.745628,1.371e+3,,
368.765787,1.440e+2,,
368.846062,7.752e+1,,
368.945775,5.651e+2,,
369.07268,2.676e+2,,
369.400589,8.886e+2,,
369.505245,4.648e+2,,
369.742522,2.172e+2,,
370.108586,9.175e+2,,
370.369071,1.196e+2,,
370.446079,2.938e+2,,
370.556548,1.115e+3,,
370.791945,6.982e+2,,
370.924612,1.994e+3,,
371.140799,9.538e+1,,
371.644188,4.265e+2,,
371.993444,9.530e+3,,
372.150232,1.518e+2,,
372.256272,1.204e+3,,
372.437686,2.765e+2,,
372.69261,3.596e+2,,
372.709201,2.113e+2,,
372.761872,1.981e+3,,
372.780888,1.577e+2,,
373.038621,1.674e+2,,
373.23961,5.657e+2,,
373.331716,9.274e+2,,
373.486354,1.983e+4,,
373.532365,4.326e+2,,
373.713125,6.506e+3,,
373.83049,5.458e+2,,
374.023905,1.457e+2,,
374.261655,1.090e+2,,
374.336183,1.351e+3,,
374.34677,5.721e+2,,
374.410236,1.523e+2,,
374.556086,3.994e+3,,
374.58991,1.048e+3,,
374.692683,2.746e+2,,
374.826189,2.216e+3,,
374.896457,2.939e+2,,
374.948483,1.307e+4,,
375.361052,2.690e+2,,
375.69371,2.109e+2,,
375.823267,8.103e+3,,
376.00494,2.283e+2,,
376.378864,4.812e+3,,
376.55384,1.855e+3,,
376.71915,3.321e+3,,
377.850889,7.576e+1,,
378.618693,1.382e+2,,
378.787991,1.141e+3,,
379.500205,1.470e+3,,
379.75145,7.978e+2,,
379.851096,7.107e+2,,
379.954711,1.252e+3,,
380.5342,1.187e+3,,
380.62165,8.258e+1,,
380.66953,6.259e+2,,
381.296424,7.630e+2,,
381.38834,6.260e+1,,
381.58397,8.221e+3,,
381.763905,1.039e+2,,
382.042491,1.309e+4,,
382.11774,9.557e+2,,
382.444329,1.178e+3,,
382.588058,8.589e+3,,
382.78222,5.120e+3,,
383.422219,4.452e+3,,
383.633025,2.130e+2,,
383.92558,3.691e+2,,
384.04372,2.693e+3,,
