Wavelength (nm),Mn I (1.1e-1),Mn II (8.9e-1)
270.2987,,1.949e+1
270.32127,,5.627e+2
270.3975,,1.782e+3
270.4042,,3.067e+1
270.55532,,8.124e+2
270.573,,1.414e+4
270.75442,,2.170e+3
270.7908,,4.129e+1
270.84495,,8.428e+3
270.8812,,5.450e+2
270.99707,,2.362e+3
271.03337,,7.480e+3
271.0628,,1.826e+3
271.11193,,5.836e+0
271.15615,,1.381e+3
271.16226,,5.919e+3
271.45788,,5.114e+0
271.4738,,1.541e+1
271.5697,,7.446e+1
271.67926,,8.355e+2
271.69922,,6.650e+0
271.75243,,4.093e+2
271.90029,,7.926e+2
271.9311,,1.306e+3
271.97357,,1.637e+3
271.9738,,1.012e+2
271.9896,,1.814e+3
272.1661,,4.057e+0
272.20846,,1.924e+3
272.21048,,2.190e+2
272.44579,,2.011e+3
272.7586,,8.938e+2
272.8074,,5.977e+1
272.8615,,3.769e+3
272.8617,,1.915e+3
272.9611,,6.758e+0
273.38901,,1.044e+2
273.70169,,1.246e+2
273.7112,,1.012e+2
273.75696,,6.175e+2
273.82949,,1.629e+1
274.0234,,3.405e+1
274.07833,,3.520e+2
274.24637,,1.121e+1
274.49012,,6.768e+1
274.54831,,8.798e+1
274.5734,,4.465e+1
274.7321,,1.250e+2
274.79566,,1.346e+2
274.87019,,1.351e+2
274.9566,,4.587e+0
275.0125,,6.083e+2
275.34547,,6.060e+1
275.39816,,6.510e+1
275.63229,,1.653e+2
275.80766,,1.667e+2
275.84358,,1.412e+2
275.9432,,1.231e+1
276.1013,,5.587e+2
276.20767,,8.276e+2
276.36529,,3.152e+2
276.37625,,7.708e+1
276.56548,,1.459e+2
276.7807,,1.825e+2
276.7848,,1.176e+2
276.79338,,3.152e+2
276.84512,,1.026e+3
276.93211,,1.138e+2
276.9641,,3.937e+2
277.15316,,1.602e+2
277.4981,,2.670e+2
277.5319,,3.736e+1
277.5386,,7.519e+1
277.5637,,2.297e+1
277.56428,,1.104e+3
277.6126,,4.370e+0
277.73803,,7.883e+1
277.7778,,2.320e+2
278.19356,,3.026e+1
278.21446,,4.218e+2
278.42133,,5.335e+2
278.50431,,1.522e+3
278.64634,,9.646e+1
278.93061,,3.649e+1
278.99826,,5.769e+2
279.086,,4.560e+1
279.3228,,5.280e+1
279.37304,,6.431e+1
279.4817,1.229e+5,
279.51655,,3.877e+3
279.61054,,1.471e+3
279.7569,,4.466e+1
279.8269,9.027e+4,
280.1081,6.217e+4,
280.33474,,1.098e+2
280.53584,,1.497e+3
280.6036,,4.742e+0
280.6511,,5.294e+1
280.69,,9.285e+1
280.9792,,1.126e+2
281.0242,,5.135e+2
281.1507,,1.667e+2
281.19716,,7.719e+0
281.22609,,8.545e+2
281.25897,,1.740e+3
281.2713,,1.049e+2
281.45613,,8.143e+0
281.50199,,2.635e+3
281.63289,,9.317e+2
281.641,,7.832e+0
281.73182,,1.785e+2
281.7734,,6.760e+1
281.7948,,1.464e+2
281.9982,,6.338e+0
282.46819,,4.372e+2
282.8471,,7.175e+1
282.88436,,4.052e+0
283.0719,,5.791e+2
284.0352,,8.142e+1
284.6037,,3.512e+2
285.52033,,1.257e+2
285.6237,,1.080e+2
286.1303,,1.113e+1
286.1542,,3.511e+1
286.2403,,3.212e+1
286.48012,,7.241e+1
286.51811,,1.431e+1
286.6527,,1.007e+1
286.79885,,2.863e+1
286.89026,,2.382e+1
286.96287,,1.041e+2
287.0084,,2.339e+3
287.06752,,5.296e+0
287.153,,2.006e+1
287.16844,,1.459e+1
287.29381,,1.199e+3
287.3124,,2.226e+1
287.4828,,3.099e+0
287.9371,,2.642e+0
287.9486,,3.631e+3
287.98488,,5.208e+2
288.041,,5.842e+0
288.0763,,6.035e+0
288.38293,,5.534e+2
288.4314,,2.765e+0
288.4688,,2.582e+0
288.51333,,6.510e+2
288.6671,,3.207e+3
288.78835,,3.569e+2
288.8814,,8.107e+0
288.93156,,7.376e+0
288.9528,,6.087e+3
288.9599,,6.843e+3
289.13379,,1.439e+3
289.23837,,3.406e+3
289.3844,,2.439e+2
289.70678,,8.963e+2
289.87024,,2.799e+3
289.8958,,1.989e+2
290.0159,,2.710e+3
290.29037,,2.729e+2
290.4513,,1.022e+1
290.4667,,2.755e+2
290.5254,,1.852e+2
290.6996,,7.747e+0
290.7204,,4.957e+0
291.3128,,2.464e+2
291.3722,,8.902e+0
292.2597,,4.398e+2
292.73953,,3.414e+2
293.0523,,3.333e+2
293.30543,,7.021e+4
293.338,,5.368e+0
293.7706,,2.627e+2
293.93077,,1.148e+5
294.1567,,1.327e+2
294.31425,,1.543e+3
294.38954,,1.028e+3
294.92042,,1.617e+5
295.1172,,2.147e+3
295.2876,,3.406e+2
295.51392,,3.205e+2
295.8068,,8.519e+1
295.89444,,2.961e+2
296.16907,,2.571e+2
296.596,,9.652e+1
297.64779,,6.526e+2
297.68659,,3.651e+2
298.45972,,2.925e+2
299.36025,,2.709e+2
300.765,2.251e+2,
301.1163,1.728e+2,
301.1372,4.869e+2,
301.6453,5.512e+2,
301.9713,,6.352e+1
301.99174,,1.117e+3
302.90306,,3.135e+2
303.1043,,3.194e+3
303.1329,,2.575e+1
303.5357,,2.054e+3
303.8097,,1.419e+3
303.85078,,9.245e+2
303.95416,,2.781e+2
304.1219,1.087e+2,
304.3138,1.850e+2,
304.3352,7.796e+2,
304.4578,2.474e+3,
304.559,1.111e+3,
304.5804,2.819e+2,
304.62578,,1.264e+2
304.658,6.441e+1,
304.7028,1.220e+3,
304.8858,1.820e+2,
305.06573,,1.295e+3
305.14267,,5.947e+2
305.4366,1.471e+3,
305.90609,,7.419e+2
306.2131,2.736e+2,
306.6028,6.944e+2,
307.0268,6.074e+2,
307.082,,1.945e+2
307.3141,7.788e+2,
307.9642,3.368e+2,
308.0687,,2.014e+0
308.2698,1.989e+2,
309.3347,1.920e+1,
309.7753,2.761e+1,
310.5884,,1.733e+1
310.6287,,3.943e+0
310.6742,4.585e+1,
310.8811,,2.106e+1
310.9251,,2.031e+1
311.0684,3.000e+2,
311.3356,3.505e+1,
311.3791,1.313e+2,
311.5471,1.567e+2,
311.5766,8.447e+1,
311.753,5.293e+1,
311.8123,8.998e+1,
312.1071,4.382e+1,
312.1872,,8.024e+0
312.2874,9.595e+1,
312.3132,,1.262e+2
312.52263,,8.078e+1
312.6838,6.930e+1,
313.2287,9.869e+1,
313.2788,1.094e+2,
314.4468,,3.800e+0
314.8182,3.674e+2,
314.885,5.771e+1,
315.1456,2.827e+1,
315.2243,3.021e+1,
315.6075,3.014e+1,
316.0151,8.222e+1,
316.1041,2.004e+2,
316.9356,2.351e+1,
317.5377,2.089e+1,
317.5575,8.875e+1,
317.5717,7.207e+1,
318.996,6.373e+1,
319.2432,3.535e+1,
320.111,6.629e+1,
320.9951,,2.913e+0
321.2882,1.112e+3,
322.7034,3.180e+1,
322.8089,5.453e+3,
323.023,1.232e+2,
323.0713,1.930e+3,
323.8713,6.464e+1,
324.0397,4.622e+2,
324.0613,2.673e+2,
324.088,4.704e+1,
324.3775,2.178e+3,
324.9894,3.507e+1,
325.1133,3.129e+2,
325.2946,4.910e+2,
325.5504,3.248e+1,
325.6132,2.055e+3,
325.841,1.320e+3,
326.0231,1.037e+3,
326.4706,1.011e+3,
326.778,3.127e+2,
326.872,1.765e+2,
327.0344,1.966e+2,
327.3011,1.685e+2,
327.806,5.466e+1,
329.8233,2.024e+2,
330.3296,1.374e+2,
330.6995,6.796e+1,
330.7804,,4.522e+1
333.077,,3.259e+2
336.3017,,9.424e+1
336.5129,3.548e+1,
342.0787,1.306e+2,
342.9153,2.995e+1,
344.19859,,2.986e+4
345.0598,6.810e+1,
346.03148,,1.507e+4
346.3657,1.248e+2,
346.405,,1.527e+0
346.504,,2.415e+0
346.634,,3.503e+0
346.9994,9.361e+1,
347.40387,,7.672e+3
347.41271,,5.679e+3
348.29037,,9.274e+3
348.86755,,7.262e+3
351.1826,1.751e+2,
353.527,9.157e+1,
353.7974,2.594e+1,
355.9797,6.822e+1,
356.6,,5.612e-1
357.7868,8.261e+3,
359.5107,7.613e+2,
360.1264,1.264e+2,
360.7526,2.021e+3,
360.8481,2.318e+3,
361.0292,1.776e+3,
361.5307,7.301e+1,
362.378,6.246e+2,
363.58,9.439e+1,
364.869,3.252e+1,
365.2326,3.917e+1,
365.7897,6.743e+1,
366.04,8.131e+2,
366.3341,2.485e+1,
366.7687,4.556e+1,
367.5655,1.083e+2,
367.6923,5.521e+2,
368.0133,1.239e+2,
368.2087,4.743e+2,
368.4853,1.292e+2,
369.654,3.994e+2,
370.0309,1.104e+2,
370.6078,2.074e+3,
370.8856,3.390e+1,
370.993,3.056e+1,
371.8921,1.219e+3,
372.888,2.344e+2,
372.9539,7.777e+1,
373.0999,4.635e+1,
373.1931,1.060e+3,
374.661,2.119e+2,
375.6639,1.540e+2,
376.7688,1.232e+2,
376.8175,8.704e+1,
377.1434,8.463e+1,
377.3855,9.450e+1,
377.6301,2.568e+1,
