wavelength,intensity
299.27,3.598e-23
299.29,6.685999999999999e-22
299.32,4.652e-20
299.34,7.077e-19
299.37,3.621e-17
299.39,4.516e-16
299.42,1.715e-14
299.44,1.755e-13
299.47,4.954e-12
299.49,4.164e-11
299.52,8.763e-10
299.54,6.062e-09
299.57,9.548e-08
299.59,5.456e-07
299.62,6.476e-06
299.64,3.074e-05
299.67,0.000278
299.69,0.001106
299.72,0.007742
299.74,0.02612
299.77,0.1439
299.79,0.416
299.82,1.826
299.84,4.538
299.87,15.83
299.89,33.64
299.92,92.07
299.94,165.4
299.97,349.1
299.99,524.8
300.02,843.5
300.04,1056.0
300.06,1232.0
300.09,1370.0
300.11,1373.0
300.14,1304.0
300.16,1264.0
300.19,1283.0
300.21,1344.0
300.24,1435.0
300.26,1436.0
300.29,1292.0
300.31,1107.0
300.34,769.9
300.36,554.5
300.39,302.7
300.41,191.6
300.44,96.11
300.46,65.11
300.49,45.79
300.51,43.61
300.54,53.11
300.56,70.52
300.59,122.6
300.61,180.9
300.64,310.7
300.66,424.9
300.69,625.2
300.71,764.0
300.74,946.6
300.76,1030.0
300.79,1070.0
300.81,1036.0
300.84,919.7
300.86,822.5
300.89,688.9
300.91,621.1
300.93,570.7
300.96,519.7
300.98,501.2
301.01,512.3
301.03,559.4
301.06,696.3
301.08,814.3
301.11,967.4
301.13,1012.0
301.16,951.0
301.18,831.9
301.21,589.8
301.23,425.7
301.26,225.5
301.28,133.9
301.31,52.95
301.33,25.92
301.36,8.026
301.38,4.179
301.41,5.106
301.43,10.4
301.46,31.11
301.48,59.92
301.51,140.3
301.53,226.1
301.56,403.3
301.58,541.1
301.61,733.0
301.63,819.4
301.66,848.8
301.68,799.4
301.71,654.9
301.73,542.8
301.76,404.9
301.78,360.6
301.81,415.2
301.83,571.1
301.85,863.8
301.88,1644.0
301.9,2432.0
301.93,4005.0
301.95,5237.0
301.98,7103.0
302.0,8161.0
302.03,9136.0
302.05,9240.0
302.08,8516.0
302.1,7537.0
302.13,5641.0
302.15,4320.0
302.18,2582.0
302.2,1694.0
302.23,802.8
302.25,457.5
302.28,196.6
302.3,130.7
302.33,114.8
302.35,131.0
302.38,170.6
302.4,204.0
302.43,276.6
302.45,352.8
302.48,524.4
302.5,671.8
302.53,899.2
302.55,1016.0
302.58,1079.0
302.6,1031.0
302.63,849.9
302.65,689.3
302.68,453.8
302.7,330.1
302.72,248.6
302.75,222.2
302.77,275.5
302.8,464.0
302.82,652.5
302.85,986.8
302.87,1213.0
302.9,1535.0
302.92,1776.0
302.95,2356.0
302.97,3034.0
303.0,4669.0
303.02,6136.0
303.05,8493.0
303.07,9765.0
303.1,10540.0
303.12,10110.0
303.15,8242.0
303.17,6536.0
303.2,3999.0
303.22,2624.0
303.25,1220.0
303.27,680.2
303.3,284.8
303.32,200.9
303.35,264.0
303.37,442.0
303.4,1003.0
303.42,1636.0
303.45,2994.0
303.47,4082.0
303.5,5628.0
303.52,6331.0
303.55,6542.0
303.57,6092.0
303.59,5296.0
303.62,3895.0
303.64,3132.0
303.67,2624.0
303.69,2801.0
303.72,3781.0
303.74,4769.0
303.77,6367.0
303.79,7243.0
303.82,7874.0
303.84,7727.0
303.87,6744.0
303.89,5764.0
303.92,4191.0
303.94,3244.0
303.97,2116.0
303.99,1566.0
304.02,993.2
304.04,747.2
304.07,531.4
304.09,463.1
304.12,431.9
304.14,439.8
