wavelength,intensity
299.22,8.621e-29
299.24,1.954e-27
299.27,1.923e-25
299.29,3.605e-24
299.32,2.533e-22
299.34,3.909e-21
299.37,2.05e-19
299.39,2.611e-18
299.42,1.03e-16
299.44,1.088e-15
299.47,3.251e-14
299.49,2.861e-13
299.52,6.542e-12
299.54,4.834e-11
299.57,8.553e-10
299.59,5.347e-09
299.62,7.399e-08
299.64,3.936e-07
299.67,4.283e-06
299.69,1.941e-05
299.72,0.0001657
299.74,0.0006368
299.77,0.004227
299.79,0.01369
299.82,0.06984
299.84,0.1891
299.87,0.7337
299.89,1.65
299.92,4.829
299.94,8.981
299.97,19.71
299.99,30.21
300.02,49.53
300.04,62.46
300.07,76.43
300.09,79.38
300.11,76.45
300.14,63.23
300.16,51.57
300.19,35.27
300.21,27.15
300.24,19.54
300.26,16.62
300.29,13.49
300.31,11.5
300.34,8.356
300.36,6.345
300.39,3.875
300.41,2.727
300.44,1.764
300.46,1.604
300.49,2.215
300.51,3.48
300.54,7.612
300.56,12.56
300.59,24.09
300.61,34.28
300.64,51.05
300.66,61.07
300.69,70.76
300.71,72.65
300.74,69.49
300.76,64.97
300.79,57.42
300.81,52.98
300.84,47.94
300.86,45.61
300.89,42.98
300.91,41.13
300.94,37.01
300.96,32.96
300.98,27.99
301.01,19.86
301.03,14.87
301.06,9.172
301.08,6.776
301.11,4.891
301.13,4.318
301.16,3.747
301.18,3.305
301.21,2.458
301.23,1.848
301.26,1.045
301.28,0.6479
301.31,0.2734
301.33,0.1406
301.36,0.05113
301.38,0.03737
301.41,0.07054
301.43,0.1393
301.46,0.359
301.48,0.6188
301.51,1.222
301.53,1.76
301.56,2.683
301.58,3.298
301.61,4.118
301.63,4.595
301.66,5.306
301.68,5.834
301.71,6.689
301.73,7.213
301.76,7.803
301.78,8.12
301.81,8.977
301.83,10.39
301.85,13.25
301.88,22.68
301.9,34.83
301.93,67.05
301.95,100.3
301.98,167.6
302.0,219.1
302.03,289.6
302.05,320.6
302.08,328.4
302.1,306.2
302.13,242.4
302.15,190.5
302.18,116.9
302.2,77.56
302.23,37.17
302.25,21.3
302.28,9.223
302.3,6.151
302.33,5.374
302.35,6.074
302.38,7.727
302.4,9.035
302.43,11.74
302.45,14.58
302.48,21.15
302.5,26.95
302.53,36.12
302.55,40.98
302.58,43.85
302.6,42.14
302.63,34.93
302.65,28.36
302.68,18.39
302.7,12.75
302.72,8.334
302.75,3.961
302.77,2.273
302.8,0.999
302.82,0.728
302.85,0.9617
302.87,1.52
302.9,2.982
302.92,4.331
302.95,6.618
302.97,8.012
303.0,9.343
303.02,9.533
303.05,8.861
303.07,8.036
303.1,6.742
303.12,6.015
303.15,5.121
303.17,4.551
303.2,3.601
303.22,2.913
303.25,1.934
303.27,1.395
303.3,0.8172
303.32,0.5698
303.35,0.3386
303.37,0.2416
303.4,0.1452
303.42,0.1052
303.45,0.0802
303.47,0.09412
303.5,0.2103
303.52,0.4313
303.55,1.287
303.57,2.529
303.6,6.164
303.62,10.19
303.64,15.62
303.67,25.65
303.69,32.39
303.72,39.75
303.74,41.33
303.77,37.9
303.79,32.47
303.82,22.33
303.84,15.88
303.87,8.452
303.89,5.302
303.92,2.87
303.94,2.334
303.97,2.466
303.99,2.895
304.02,3.777
304.04,4.469
304.07,5.693
304.09,6.658
304.12,8.249
304.14,9.247
304.17,10.27
304.19,10.44
304.22,9.853
304.24,8.973
304.27,7.204
304.29,5.908
304.32,4.056
304.34,2.997
304.37,1.782
304.39,1.234
304.42,0.7546
304.44,0.6067
304.47,0.5497
304.49,0.5901
304.51,0.7018
304.54,1.144
304.56,1.842
304.59,4.208
304.61,7.274
304.64,15.17
304.66,22.87
304.69,37.04
304.71,46.54
304.74,56.83
304.76,58.99
304.79,54.02
304.81,46.27
304.84,31.75
304.86,22.46
304.89,11.59
304.91,6.803
304.94,2.682
304.96,1.334
304.99,0.4343
305.01,0.2088
305.04,0.08973
305.06,0.06825
305.09,0.06516
305.11,0.07493
305.14,0.1163
305.16,0.1743
305.19,0.3308
305.21,0.4878
305.24,0.7819
305.26,0.983
305.29,1.212
305.31,1.279
305.34,1.244
305.36,1.169
305.38,1.107
305.41,1.143
305.43,1.296
305.46,1.705
305.48,2.044
305.51,2.553
305.53,2.905
305.56,3.722
305.58,4.797
305.61,7.954
305.63,11.42
305.66,18.59
305.68,24.05
305.71,31.49
305.73,34.94
305.76,37.34
305.78,37.76
305.81,38.75
305.83,40.63
305.86,45.07
305.88,47.8
305.91,48.61
305.93,45.84
305.96,37.07
305.98,29.48
306.01,18.33
306.03,12.3
306.06,6.104
306.08,3.684
306.11,1.808
306.13,1.262
306.16,0.9442
306.18,0.8781
306.21,0.8263
306.23,0.7758
306.25,0.6991
306.28,0.5456
306.3,0.4356
306.33,0.2902
306.35,0.2177
306.38,0.1542
306.4,0.1482
306.43,0.2243
306.45,0.3712
306.48,0.8578
306.5,1.468
306.53,3.059
306.55,4.735
306.58,8.421
306.6,11.71
306.63,17.63
306.65,21.77
306.68,26.95
306.7,28.87
306.73,28.47
306.75,26.02
306.78,20.13
306.8,15.67
306.83,9.622
306.85,6.489
306.88,3.286
306.9,1.988
306.93,0.8965
306.95,0.5375
306.98,0.3193
307.0,0.3091
307.03,0.4316
307.05,0.593
307.08,0.961
307.1,1.302
307.12,1.73
307.15,2.537
307.17,3.171
307.2,4.194
307.22,4.853
307.25,5.638
307.27,5.92
307.3,5.869
307.32,5.546
307.35,4.901
307.37,4.642
307.4,5.084
307.42,6.226
307.45,9.422
307.47,12.39
307.5,17.26
307.52,20.05
307.55,22.28
307.57,22.01
307.6,19.09
307.62,16.02
307.65,11.06
307.67,8.245
307.7,5.488
307.72,4.774
307.75,5.263
307.77,6.405
307.8,8.722
307.82,10.19
307.85,11.47
307.87,11.4
307.9,9.924
307.92,8.327
307.95,5.836
307.97,4.632
307.99,4.25
308.02,6.489
308.04,11.22
308.07,26.63
308.09,44.7
308.12,85.43
308.14,120.0
308.17,173.6
308.19,202.2
308.22,220.8
308.24,213.3
308.27,176.9
308.29,143.1
308.32,92.5
308.34,64.67
308.37,35.36
308.39,23.16
308.42,12.3
308.44,8.087
308.47,4.198
308.49,2.601
308.52,1.159
308.54,0.6431
308.57,0.3172
308.59,0.3342
308.62,0.7439
308.64,1.375
308.67,3.106
308.69,4.886
308.72,8.375
308.74,10.93
308.77,14.24
308.79,15.68
308.82,17.23
308.84,19.95
308.86,28.44
308.89,71.87
308.91,146.8
308.94,404.3
308.96,734.9
308.99,1574.0
309.01,2384.0
309.04,3874.0
309.06,4896.0
309.09,6150.0
309.11,6685.0
309.14,7166.0
309.16,7553.0
309.19,8831.0
309.21,10340.0
309.24,13330.0
309.26,15270.0
309.29,16950.0
309.31,16760.0
309.34,14420.0
309.36,11910.0
309.39,7775.0
309.41,5340.0
309.44,2700.0
309.46,1679.0
309.49,1190.0
309.51,1558.0
309.54,3356.0
309.56,5581.0
309.59,10620.0
309.61,14880.0
309.64,21450.0
309.66,24920.0
309.69,27120.0
309.71,26120.0
309.74,21450.0
309.76,17120.0
309.78,12680.0
309.81,7022.0
309.83,4312.0
309.86,1805.0
309.88,922.6
309.91,299.9
309.93,137.1
309.96,51.23
309.98,36.71
310.01,32.8
310.03,32.33
310.06,29.61
310.08,26.1
310.11,19.38
310.13,14.77
310.16,8.864
310.18,5.948
310.21,3.216
310.23,2.417
310.26,2.795
310.28,4.419
310.31,10.16
310.33,17.22
310.36,34.14
310.38,49.61
310.41,76.21
310.43,92.76
310.46,108.7
310.48,110.3
310.51,98.43
310.53,83.35
310.56,56.91
310.58,40.55
310.61,21.77
310.63,13.52
310.65,8.152
310.68,3.822
310.7,2.412
310.73,1.355
310.75,0.9851
310.78,0.6365
310.8,0.4734
310.83,0.2931
310.85,0.2099
310.88,0.1361
310.9,0.1174
310.93,0.1275
310.95,0.1547
310.98,0.2165
311.0,0.2652
311.03,0.3384
311.05,0.384
311.08,0.4501
311.1,0.4983
311.13,0.5826
311.15,0.642
311.18,0.7098
311.2,0.7216
311.23,0.6695
311.25,0.5924
311.28,0.4464
311.3,0.354
311.33,0.2563
311.35,0.2256
311.38,0.2225
311.4,0.237
311.43,0.2631
311.45,0.2786
311.48,0.3108
311.5,0.357
311.52,0.4432
311.55,0.6809
311.57,0.9191
311.6,1.366
311.62,1.682
311.65,2.096
311.67,2.292
311.7,2.437
311.72,2.436
311.75,2.309
311.77,2.16
311.8,1.892
311.82,1.732
311.85,1.617
311.87,1.66
311.9,1.9
311.92,2.125
311.95,2.423
311.97,2.521
312.0,2.449
312.02,2.258
312.05,1.825
312.07,1.492
312.1,1.017
312.12,0.751
312.15,0.4551
312.17,0.3227
312.2,0.1977
312.22,0.1468
312.25,0.09696
312.27,0.07395
312.3,0.05045
312.32,0.0436
312.35,0.05702
312.37,0.09498
312.39,0.1739
312.42,0.4162
312.44,0.6926
312.47,1.304
312.49,1.815
312.52,2.599
312.54,3.012
312.57,3.273
312.59,3.158
312.62,2.611
312.64,2.105
312.67,1.347
312.69,0.9349
312.72,0.5206
312.74,0.371
312.77,0.2813
312.79,0.2779
312.82,0.316
312.84,0.3555
312.87,0.4201
312.89,0.4596
312.92,0.507
312.94,0.5326
312.97,0.5747
312.99,0.6144
313.02,0.6961
313.04,0.7585
313.07,0.8459
313.09,0.897
313.12,0.9844
313.14,1.072
313.17,1.274
313.19,1.442
313.22,1.678
313.24,1.773
313.26,1.791
313.29,1.678
313.31,1.545
313.34,1.342
313.36,1.238
313.39,1.147
313.41,1.124
313.44,1.149
