wavelength,intensity
299.0,7.015e-28
299.02,2.4140000000000002e-26
299.05,8.4e-25
299.07,1.0279999999999999e-23
299.1,3.118e-22
299.12,2.872e-21
299.15,7.396e-20
299.17,6.106e-19
299.2,1.334e-17
299.22,9.874e-17
299.25,1.831e-15
299.27,1.214e-14
299.29,7.702e-14
299.32,1.134e-12
299.34,6.443e-12
299.37,8.036e-11
299.39,4.089e-10
299.42,4.319e-09
299.44,1.967e-08
299.47,1.757e-07
299.49,7.156e-07
299.52,5.405e-06
299.54,1.967e-05
299.57,0.0001255
299.59,0.0004078
299.62,0.002194
299.64,0.006365
299.67,0.02887
299.69,0.07469
299.72,0.2852
299.74,0.6578
299.77,2.114
299.79,4.344
299.82,11.73
299.84,21.48
299.87,48.75
299.89,79.44
299.92,151.4
299.94,219.7
299.97,351.6
299.99,453.8
300.02,609.7
300.04,700.4
300.07,790.4
300.09,808.8
300.12,768.6
300.14,702.5
300.16,615.0
300.19,467.0
300.21,371.6
300.24,250.1
300.26,187.8
300.29,121.5
300.31,92.02
300.34,63.07
300.36,50.68
300.39,39.03
300.41,35.17
300.44,35.73
300.46,41.44
300.49,61.04
300.51,83.63
300.54,135.4
300.56,183.1
300.59,273.4
300.61,342.9
300.64,451.7
300.66,520.4
300.69,605.9
300.71,646.5
300.74,679.1
300.76,682.8
300.79,665.9
300.81,643.4
300.84,598.5
300.86,563.5
300.89,506.1
300.91,464.9
300.94,399.0
300.96,352.8
300.99,282.1
301.01,236.2
301.03,193.2
301.06,137.4
301.08,107.4
301.11,73.6
301.13,57.53
301.16,40.64
301.18,32.66
301.21,23.57
301.23,18.73
301.26,12.78
301.28,9.626
301.31,6.101
301.33,4.545
301.36,3.335
301.38,3.244
301.41,4.201
301.43,5.64
301.46,9.185
301.48,12.57
301.51,19.26
301.53,24.74
301.56,34.27
301.58,41.33
301.61,52.69
301.63,60.61
301.66,72.77
301.68,80.91
301.71,93.24
301.73,102.1
301.76,119.8
301.78,138.6
301.81,190.5
301.83,252.9
301.86,415.9
301.88,589.5
301.9,828.7
301.93,1323.0
301.95,1735.0
301.98,2430.0
302.0,2892.0
302.03,3471.0
302.05,3717.0
302.08,3800.0
302.1,3655.0
302.13,3182.0
302.15,2751.0
302.18,2043.0
302.2,1593.0
302.23,1020.0
302.25,726.2
302.28,419.8
302.3,292.2
302.33,186.2
302.35,155.9
302.38,149.5
302.4,163.1
302.43,202.8
302.45,239.5
302.48,305.1
302.5,351.2
302.53,413.0
302.55,442.1
302.58,457.1
302.6,445.2
302.63,396.6
302.65,348.7
302.68,266.1
302.7,211.2
302.73,138.7
302.75,100.3
302.77,70.71
302.8,42.05
302.82,31.99
302.85,27.51
302.87,29.95
302.9,39.1
302.92,47.37
302.95,60.47
302.97,68.29
303.0,76.73
303.02,79.58
303.05,79.61
303.07,77.23
303.1,71.18
303.12,66.08
303.15,57.5
303.17,51.38
303.2,41.86
303.22,35.49
303.25,26.38
303.27,20.9
303.3,14.03
303.32,10.44
303.35,6.543
303.37,4.83
303.4,3.454
303.42,3.38
303.45,5.072
303.47,8.131
303.5,17.83
303.52,29.6
303.55,59.28
303.57,89.38
303.6,152.2
303.62,205.1
303.64,264.1
303.67,354.1
303.69,406.6
303.72,459.0
303.74,470.1
303.77,447.3
303.79,409.1
303.82,329.3
303.84,270.2
303.87,187.0
303.89,141.1
303.92,90.91
303.94,69.9
303.97,53.99
303.99,51.38
304.02,55.5
304.04,61.76
304.07,74.04
304.09,83.01
304.12,95.75
304.14,102.7
304.17,109.0
304.19,109.8
304.22,105.3
304.24,98.89
304.27,85.47
304.29,75.15
304.32,59.77
304.34,50.74
304.37,40.52
304.39,36.47
304.42,34.97
304.44,37.11
304.47,45.4
304.49,54.97
304.51,68.91
304.54,101.5
304.56,133.9
304.59,204.0
304.61,266.5
304.64,382.1
304.66,468.2
304.69,594.4
304.71,664.2
304.74,726.7
304.76,732.0
304.79,682.6
304.81,617.0
304.84,488.1
304.86,395.1
304.89,264.7
304.91,191.7
304.94,108.7
304.96,70.49
304.99,33.95
305.01,19.82
305.04,8.316
305.06,4.613
305.09,2.216
305.11,1.795
305.14,2.125
305.16,2.779
305.19,4.24
305.21,5.46
305.24,7.496
305.26,8.881
305.29,10.83
305.31,12.0
305.34,13.61
305.36,14.71
305.39,16.67
305.41,18.38
305.43,20.58
305.46,25.21
305.48,29.67
305.51,39.85
305.53,50.27
305.56,74.23
305.58,97.41
305.61,144.7
305.63,184.4
305.66,252.8
305.68,301.3
305.71,372.3
305.73,416.0
305.76,474.7
305.78,509.8
305.81,557.6
305.83,585.4
305.86,615.5
305.88,622.5
305.91,604.8
305.93,571.5
305.96,491.7
305.98,424.2
306.01,315.6
306.03,246.3
306.06,157.4
306.08,111.3
306.11,61.85
306.13,40.27
306.16,20.42
306.18,12.94
306.21,6.82
306.23,4.736
306.26,3.135
306.28,2.626
306.3,2.382
306.33,2.451
306.35,2.876
306.38,4.513
306.4,6.718
306.43,12.84
306.45,19.68
306.48,35.82
306.5,51.49
306.53,83.57
306.55,110.8
306.58,158.8
306.6,193.6
306.63,244.6
306.65,273.8
306.68,303.6
306.7,310.9
306.73,300.6
306.75,280.4
306.78,235.3
306.8,199.5
306.83,145.0
306.85,111.9
306.88,71.01
306.9,50.46
306.93,29.21
306.95,20.51
306.98,13.8
307.0,12.63
307.03,14.76
307.05,18.44
307.08,27.16
307.1,35.03
307.13,49.64
307.15,60.85
307.17,72.7
307.2,90.2
307.22,100.6
307.25,112.4
307.27,117.3
307.3,120.3
307.32,120.7
307.35,122.3
307.37,126.6
307.4,141.7
307.42,158.4
307.45,192.1
307.47,217.4
307.5,252.2
307.52,268.6
307.55,276.6
307.57,269.5
307.6,242.0
307.62,216.2
307.65,175.0
307.67,151.0
307.7,127.4
307.72,122.1
307.75,129.6
307.77,142.5
307.8,168.0
307.82,185.8
307.85,212.9
307.87,237.3
307.9,315.4
307.92,434.3
307.95,835.4
307.97,1366.0
308.0,2833.0
308.02,4457.0
308.04,6759.0
308.07,11680.0
308.09,15930.0
308.12,23380.0
308.14,28570.0
308.17,35500.0
308.19,38810.0
308.22,40800.0
308.24,39900.0
308.27,35490.0
308.29,31050.0
308.32,23380.0
308.34,18310.0
308.37,11680.0
308.39,8190.0
308.42,4435.0
308.44,2793.0
308.47,1291.0
308.49,734.4
308.52,295.5
308.54,157.4
308.57,67.16
308.59,48.59
308.62,52.59
308.64,68.7
308.67,106.7
308.69,138.6
308.72,190.2
308.74,222.7
308.77,260.0
308.79,273.5
308.82,273.4
308.84,261.7
308.87,236.7
308.89,226.6
308.91,237.2
308.94,345.0
308.96,540.0
308.99,1210.0
309.01,2095.0
309.04,4563.0
309.06,7343.0
309.09,13910.0
309.11,20220.0
309.14,32700.0
309.16,42670.0
309.19,58620.0
309.21,68560.0
309.24,79860.0
309.26,83650.0
309.29,82560.0
309.31,77430.0
309.34,64730.0
309.36,54350.0
309.39,38480.0
309.41,28930.0
309.44,17370.0
309.46,11720.0
309.49,6033.0
309.51,3732.0
309.54,1817.0
309.56,1211.0
309.59,862.4
309.61,830.0
309.64,894.7
309.66,948.6
309.69,984.0
309.71,961.8
309.74,860.8
309.76,759.8
309.78,645.9
309.81,478.0
309.83,383.2
309.86,282.5
309.88,245.6
309.91,230.9
309.93,241.2
309.96,272.3
309.98,294.6
310.01,317.6
310.03,321.0
310.06,304.9
310.08,281.2
310.11,232.1
310.13,194.9
310.16,140.4
310.18,108.3
310.21,70.17
310.23,51.89
310.26,34.22
310.28,27.7
310.31,23.34
310.33,22.74
310.36,23.53
310.38,24.47
310.41,25.91
310.43,26.77
310.46,28.03
310.48,28.94
310.51,30.54
310.53,31.71
310.56,33.35
310.58,34.11
310.61,34.35
310.63,33.72
310.66,31.5
310.68,29.23
310.7,26.48
310.73,21.8
310.75,18.58
310.78,13.98
310.8,11.26
310.83,7.911
310.85,6.222
310.88,4.529
310.9,3.932
310.93,3.744
310.95,4.025
310.98,4.947
311.0,5.84
311.03,7.515
311.05,8.813
311.08,10.93
311.1,12.37
311.13,14.34
311.15,15.36
311.18,16.13
311.2,16.02
311.23,14.86
311.25,13.51
311.28,10.93
311.3,9.071
311.33,6.461
311.35,5.006
311.38,3.417
311.4,2.788
311.43,2.502
311.45,2.752
311.48,3.819
311.5,5.019
311.53,7.576
311.55,9.758
311.57,12.25
311.6,16.34
311.62,19.08
311.65,22.8
311.67,24.8
311.7,26.8
311.72,27.4
311.75,27.31
311.77,26.74
311.8,25.54
311.82,24.8
311.85,24.18
311.87,24.22
311.9,24.9
311.92,25.58
311.95,26.49
311.97,26.78
312.0,26.58
312.02,26.14
312.05,25.58
312.07,25.73
312.1,27.45
312.12,29.83
312.15,35.06
312.17,39.17
312.2,44.94
312.22,47.67
312.25,48.88
312.27,47.45
312.3,42.27
312.32,37.41
312.35,29.52
312.37,24.77
312.4,19.65
312.42,17.95
312.44,17.68
312.47,19.49
312.49,21.64
312.52,25.12
312.54,26.94
312.57,28.02
312.59,27.4
312.62,24.58
312.64,21.75
312.67,16.92
312.69,13.8
312.72,10.01
312.74,8.468
312.77,8.525
312.79,11.13
312.82,22.46
312.84,38.93
312.87,88.81
312.89,149.3
312.92,304.7
312.94,466.9
312.97,819.6
312.99,1132.0
313.02,1694.0
313.04,2102.0
313.07,2679.0
313.09,2984.0
313.12,3236.0
313.14,3235.0
313.17,2984.0
313.19,2679.0
313.22,2103.0
313.24,1696.0
313.27,1135.0
313.29,823.7
313.31,574.0
313.34,310.7
313.36,197.7
313.39,96.12
313.41,59.23
313.44,30.93
313.46,22.49
313.49,17.57
313.51,16.87
313.54,17.28
313.56,17.73
313.59,17.88
313.61,17.39
313.64,15.65
313.66,13.93
313.69,10.87
313.71,8.771
313.74,5.93
313.76,4.406
313.79,2.836
313.81,2.32
313.84,2.427
313.86,3.17
313.89,5.503
313.91,8.007
313.94,13.32
313.96,17.86
313.99,25.69
314.01,31.13
314.04,38.51
314.06,42.26
314.09,45.31
314.11,45.45
314.14,43.23
314.16,40.68
314.18,37.84
314.21,34.11
314.23,32.54
314.26,32.0
314.28,32.81
314.31,35.18
314.33,36.98
314.36,39.0
314.38,39.36
314.41,37.9
314.43,35.55
314.46,30.36
314.48,26.22
314.51,19.84
314.53,15.92
314.56,11.12
314.58,8.834
314.61,6.887
314.63,6.552
314.66,7.32
314.68,8.508
314.71,10.9
314.73,12.64
314.76,14.99
314.78,16.23
314.81,17.59
314.83,18.41
314.86,20.32
314.88,22.68
314.91,28.89
314.93,35.18
314.96,47.76
314.98,57.62
315.01,72.7
315.03,81.54
315.05,88.3
315.08,93.11
315.1,92.39
315.13,86.07
315.15,79.33
315.18,67.55
315.2,59.75
315.23,49.57
315.25,44.21
315.28,38.43
315.3,35.87
315.33,33.44
315.35,32.47
315.38,31.6
315.4,31.29
315.43,31.25
315.45,31.6
315.48,32.98
315.5,34.66
315.53,38.71
315.55,42.8
315.58,52.26
315.6,62.25
315.63,87.35
315.65,115.0
315.68,182.7
315.7,251.5
315.73,399.2
315.75,528.7
315.78,760.8
315.8,928.1
315.83,1164.0
315.85,1288.0
315.88,1390.0
315.9,1389.0
315.92,1333.0
315.95,1164.0
315.97,1013.0
316.0,770.3
316.02,618.7
316.05,430.4
316.07,336.8
316.1,242.0
316.12,203.7
316.15,171.1
316.17,159.0
316.2,146.4
316.22,138.2
316.25,123.4
316.27,111.4
316.3,90.99
316.32,76.81
316.35,56.52
316.37,44.62
316.4,30.28
316.42,23.3
316.45,16.52
316.47,14.14
316.5,12.99
316.52,13.38
316.55,15.01
316.57,16.51
316.6,19.25
316.62,21.53
316.65,26.18
316.67,30.58
316.7,39.86
316.72,47.98
316.75,62.49
316.77,72.83
316.8,87.0
316.82,94.06
316.84,98.15
316.87,97.7
316.89,93.07
316.92,81.03
316.94,70.99
316.97,55.5
316.99,46.27
317.02,35.78
317.04,31.64
317.07,30.18
317.09,32.39
317.12,40.1
317.14,47.68
317.17,61.31
317.19,70.73
317.22,82.95
317.24,88.46
317.27,91.03
317.29,88.61
317.32,79.52
317.34,70.96
317.37,56.88
317.39,48.11
317.42,37.64
317.44,32.91
317.47,28.93
317.49,27.84
317.52,27.41
317.54,27.47
317.57,28.14
317.59,29.77
317.62,37.43
317.64,49.57
317.67,88.15
317.69,135.6
317.71,208.4
317.74,381.9
317.76,549.6
317.79,885.5
317.81,1159.0
317.84,1610.0
317.86,1906.0
317.89,2276.0
317.91,2437.0
317.94,2507.0
317.96,2435.0
317.99,2178.0
318.01,1939.0
318.04,1542.0
318.06,1285.0
318.09,950.4
318.11,769.3
318.14,559.1
318.16,452.9
318.19,330.2
318.21,266.2
318.24,189.5
318.26,148.9
318.29,101.5
318.31,77.86
318.34,52.47
318.36,41.06
318.39,30.44
318.41,26.91
318.44,26.16
318.46,28.47
318.49,35.93
318.51,43.32
318.54,57.17
318.56,67.32
318.58,77.19
318.61,89.35
318.63,94.38
318.66,95.92
318.68,92.89
318.71,83.48
318.73,75.25
318.76,62.41
318.78,54.76
318.81,45.92
318.83,42.05
318.86,39.19
318.88,39.15
318.91,41.93
318.93,45.96
318.96,55.95
318.98,65.6
319.01,84.66
319.03,100.1
319.06,126.1
319.08,144.2
319.11,170.1
319.13,185.3
319.16,202.6
319.18,209.6
319.21,212.4
319.23,209.3
319.26,198.7
319.28,189.5
319.31,176.7
319.33,172.2
319.36,177.8
319.38,193.3
319.41,238.5
319.43,283.4
319.45,338.4
319.48,431.2
319.5,491.9
319.53,565.7
319.55,595.3
319.58,602.3
319.6,581.5
319.63,518.8
319.65,462.6
319.68,370.1
319.7,310.1
319.73,232.3
319.75,192.6
319.78,156.6
319.8,150.4
319.83,170.8
319.85,205.1
319.88,285.7
319.9,355.1
319.93,471.1
319.95,546.8
319.98,639.3
320.0,677.4
320.03,689.7
