wavelength,intensity
298.88,3.67e-27
298.91,8.372e-26
298.93,6.2989999999999996e-24
298.96,1.4079999999999998e-22
298.98,1.496e-21
299.01,2.968e-20
299.03,2.08e-19
299.06,3.609e-18
299.08,2.313e-17
299.11,3.51e-16
299.13,2.058e-15
299.16,2.732e-14
299.18,1.465e-13
299.21,1.7e-12
299.23,8.335e-12
299.26,8.46e-11
299.28,3.792e-10
299.31,3.365e-09
299.33,1.379e-08
299.36,1.069e-07
299.38,4.002e-07
299.41,2.71e-06
299.43,9.273e-06
299.45,3.06e-05
299.48,0.0001714
299.5,0.0005165
299.53,0.002524
299.55,0.006945
299.58,0.02961
299.6,0.07437
299.63,0.2764
299.65,0.6336
299.68,2.053
299.7,4.293
299.73,12.12
299.75,23.12
299.78,56.84
299.8,98.89
299.83,211.7
299.85,335.9
299.88,626.0
299.9,905.4
299.93,1469.0
299.95,1937.0
299.98,2735.0
300.0,3288.0
300.03,4043.0
300.05,4431.0
300.08,4749.0
300.1,4753.0
300.13,4451.0
300.15,4080.0
300.18,3363.0
300.2,2843.0
300.23,2099.0
300.25,1665.0
300.28,1142.0
300.3,879.4
300.33,595.4
300.35,464.3
300.37,367.9
300.4,269.9
300.42,227.3
300.45,189.5
300.47,180.3
300.5,192.1
300.52,220.7
300.55,304.4
300.57,394.7
300.6,594.9
300.62,777.3
300.65,1126.0
300.67,1402.0
300.7,1856.0
300.72,2161.0
300.75,2575.0
300.77,2793.0
300.8,2992.0
300.82,3030.0
300.85,2944.0
300.87,2805.0
300.9,2509.0
300.92,2276.0
300.95,1908.0
300.97,1666.0
301.0,1327.0
301.02,1122.0
301.05,855.2
301.07,705.2
301.1,521.8
301.12,425.2
301.15,312.9
301.17,255.7
301.2,189.7
301.22,155.7
301.24,127.8
301.27,95.61
301.29,79.74
301.32,63.73
301.34,58.08
301.37,57.02
301.39,61.37
301.42,76.02
301.44,91.65
301.47,124.8
301.49,153.7
301.52,207.7
301.54,250.6
301.57,324.6
301.59,379.7
301.62,469.4
301.64,533.3
301.67,635.9
301.69,711.8
301.72,852.0
301.74,981.7
301.77,1289.0
301.79,1624.0
301.82,2450.0
301.84,3312.0
301.87,5237.0
301.89,7020.0
301.92,10480.0
301.94,13250.0
301.97,17790.0
301.99,20800.0
302.02,24700.0
302.04,26550.0
302.07,27750.0
302.09,27370.0
302.11,26090.0
302.14,22760.0
302.16,19910.0
302.19,15290.0
302.21,12310.0
302.24,8403.0
302.26,6305.0
302.29,3976.0
302.31,2929.0
302.34,1977.0
302.36,1665.0
302.39,1538.0
302.41,1616.0
302.44,1893.0
302.46,2143.0
302.49,2555.0
302.51,2816.0
302.54,3121.0
302.56,3232.0
302.59,3224.0
302.61,3096.0
302.64,2743.0
302.66,2430.0
302.69,1906.0
302.71,1558.0
302.74,1090.0
302.76,834.8
302.79,550.9
302.81,427.1
302.84,327.9
302.86,309.0
302.89,331.6
302.91,369.0
302.94,439.9
302.96,487.3
302.98,528.5
303.01,570.7
303.03,582.9
303.06,577.2
303.08,559.0
303.11,515.2
303.13,477.9
303.16,414.4
303.18,369.3
303.21,300.8
303.23,256.5
303.26,194.9
303.28,158.7
303.31,113.5
303.33,90.03
303.36,65.46
303.38,56.61
303.41,56.89
303.43,69.08
303.46,114.8
303.48,171.9
303.51,316.7
303.53,464.8
303.56,782.5
303.58,1063.0
303.61,1574.0
303.63,1957.0
303.66,2534.0
303.68,2878.0
303.71,3254.0
303.73,3375.0
303.76,3333.0
303.78,3161.0
303.81,2733.0
303.83,2377.0
303.86,1819.0
303.88,1471.0
303.9,1168.0
303.93,820.7
303.95,664.1
303.98,530.9
304.0,498.0
304.03,508.7
304.05,542.5
304.08,613.6
304.1,664.4
304.13,731.4
304.15,762.9
304.18,781.7
304.2,772.4
304.23,725.6
304.25,675.0
304.28,578.1
304.3,505.6
304.33,396.1
304.35,328.5
304.38,243.8
304.4,202.6
304.43,170.6
304.45,174.1
304.48,229.6
304.5,310.9
304.53,523.4
304.55,741.3
304.58,1205.0
304.6,1610.0
304.63,2345.0
304.65,2891.0
304.68,3710.0
304.7,4194.0
304.73,4718.0
304.75,4881.0
304.77,4872.0
304.8,4543.0
304.82,4146.0
304.85,3379.0
304.87,2819.0
304.9,2008.0
304.92,1531.0
304.95,953.7
304.97,665.2
305.0,362.9
305.02,232.4
305.05,113.0
305.07,68.78
305.1,35.13
305.12,26.33
305.15,24.85
305.17,28.74
305.2,38.94
305.22,47.55
305.25,61.81
305.27,71.57
305.3,85.87
305.32,95.1
305.35,109.1
305.37,119.5
305.4,139.2
305.42,157.4
305.45,198.0
305.47,238.7
305.5,331.0
305.52,421.3
305.55,614.2
305.57,788.6
305.6,1125.0
305.62,1398.0
305.64,1704.0
305.67,2207.0
305.69,2556.0
305.72,3076.0
305.74,3407.0
305.77,3867.0
305.79,4140.0
305.82,4480.0
305.84,4642.0
305.87,4751.0
305.89,4712.0
305.92,4463.0
305.94,4171.0
305.97,3577.0
305.99,3111.0
306.02,2381.0
306.04,1915.0
306.07,1300.0
306.09,964.8
306.12,582.2
306.14,401.0
306.17,218.6
306.19,142.6
306.22,74.77
306.24,50.08
306.27,31.74
306.29,27.79
306.32,31.28
306.34,40.21
306.37,67.25
306.39,98.27
306.42,173.4
306.44,248.8
306.47,410.1
306.49,554.1
306.51,728.7
306.54,1043.0
306.56,1278.0
306.59,1645.0
306.61,1879.0
306.64,2174.0
306.66,2312.0
306.69,2403.0
306.71,2378.0
306.74,2216.0
306.76,2037.0
306.79,1698.0
306.81,1449.0
306.84,1080.0
306.86,856.1
306.89,575.9
306.91,431.4
306.94,279.2
306.96,217.6
306.99,178.0
307.01,182.7
307.04,231.3
307.06,289.1
307.09,410.4
307.11,511.4
307.14,685.6
307.16,810.3
307.19,995.5
307.21,1109.0
307.24,1250.0
307.26,1320.0
307.29,1392.0
307.31,1425.0
307.34,1475.0
307.36,1524.0
307.39,1642.0
307.41,1756.0
307.43,1897.0
307.46,2135.0
307.48,2291.0
307.51,2475.0
307.53,2545.0
307.56,2552.0
307.58,2497.0
307.61,2355.0
307.63,2247.0
307.66,2118.0
307.68,2077.0
307.71,2103.0
307.73,2176.0
307.76,2345.0
307.78,2475.0
307.81,2662.0
307.83,2778.0
307.86,2995.0
307.88,3251.0
307.91,4081.0
307.93,5190.0
307.96,8312.0
307.98,11820.0
308.01,20080.0
308.03,27990.0
308.06,43840.0
308.08,56860.0
308.11,78900.0
308.13,94020.0
308.16,114600.0
308.18,125100.0
308.21,133600.0
308.23,133600.0
308.26,125000.0
308.28,114500.0
308.3,101200.0
308.33,78780.0
308.35,63820.0
308.38,43600.0
308.4,32400.0
308.43,19470.0
308.45,13300.0
308.48,7079.0
308.5,4491.0
308.53,2209.0
308.55,1408.0
308.58,867.3
308.6,790.6
308.63,939.7
308.65,1159.0
308.68,1599.0
308.7,1929.0
308.73,2413.0
308.75,2687.0
308.78,2966.0
308.8,3040.0
308.83,2986.0
308.85,2870.0
308.88,2695.0
308.9,2700.0
308.93,3233.0
308.95,4248.0
308.98,7558.0
309.0,11610.0
309.03,21900.0
309.05,32510.0
309.08,55550.0
309.1,76180.0
309.13,114700.0
309.15,144300.0
309.17,175300.0
309.2,219700.0
309.22,244500.0
309.25,268800.0
309.27,273900.0
309.3,263900.0
309.32,246400.0
309.35,208100.0
309.37,177900.0
309.4,131700.0
309.42,103200.0
309.45,66950.0
309.47,48040.0
309.5,27340.0
309.52,17980.0
309.55,9003.0
309.57,5454.0
309.6,2449.0
309.62,1411.0
309.65,639.1
309.67,412.5
309.7,276.8
309.72,255.3
309.75,275.3
309.77,314.3
309.8,413.3
309.82,511.3
309.85,714.6
309.87,888.4
309.9,1197.0
309.92,1421.0
309.95,1751.0
309.97,1943.0
310.0,2145.0
310.02,2206.0
310.04,2199.0
310.07,2065.0
310.09,1905.0
310.12,1594.0
310.14,1364.0
310.17,1027.0
310.19,825.0
310.22,578.5
310.24,456.2
310.27,332.9
310.29,285.1
310.32,251.8
310.34,247.2
310.37,255.4
310.39,265.9
310.42,284.0
310.44,296.1
310.47,313.1
310.49,323.4
310.52,336.0
310.54,341.4
310.57,342.1
310.59,336.2
310.62,316.0
310.64,295.0
310.67,253.9
310.69,222.3
310.72,172.8
310.74,141.1
310.77,99.3
310.79,76.6
310.82,51.33
310.84,40.21
310.87,31.14
310.89,29.38
310.92,31.73
310.94,35.84
310.96,41.4
310.99,51.47
311.01,58.71
311.04,69.32
311.06,75.66
311.09,83.17
311.11,86.42
311.14,88.11
311.16,86.94
311.19,81.79
311.21,76.31
311.24,65.77
311.26,57.78
311.29,45.5
311.31,37.8
311.34,27.99
311.36,23.08
311.39,18.82
311.41,18.33
311.44,21.61
311.46,26.79
311.49,39.64
311.51,51.98
311.54,76.78
311.56,97.82
311.59,136.6
311.61,167.6
311.64,221.7
311.66,262.6
311.69,330.3
311.71,378.1
311.74,449.6
311.76,493.9
311.79,549.0
311.81,574.6
311.83,589.2
311.86,588.7
311.88,573.7
311.91,532.4
311.93,495.4
311.96,431.4
311.98,386.1
312.01,318.8
312.03,276.3
312.06,218.4
312.08,184.5
312.11,141.2
312.13,117.6
312.16,89.28
312.18,74.69
312.21,58.01
312.23,49.71
312.26,40.66
312.28,36.69
312.31,34.08
312.33,34.98
312.36,41.28
312.38,49.33
312.41,67.53
312.43,83.46
312.46,111.3
312.48,130.8
312.51,157.6
312.53,171.5
312.56,183.1
312.58,183.6
312.61,173.6
312.63,160.8
312.66,135.8
312.68,117.7
312.7,100.1
312.73,77.6
312.75,66.44
312.78,56.82
312.8,55.67
312.83,62.9
312.85,74.67
312.88,105.3
312.9,136.2
312.93,201.5
312.95,258.7
312.98,363.7
313.0,443.6
313.03,568.6
313.05,647.7
313.08,744.8
313.1,787.0
313.13,807.4
313.15,790.7
313.18,724.8
313.2,659.8
313.23,544.9
313.25,465.3
313.28,353.7
313.3,289.2
313.33,211.2
313.35,171.5
313.38,127.5
313.4,106.3
313.43,82.44
313.45,70.07
313.48,54.63
313.5,45.79
313.53,34.27
313.55,27.75
313.57,22.17
313.6,15.57
313.62,12.26
313.65,8.624
313.67,6.896
313.7,5.02
313.72,4.092
313.75,3.007
313.77,2.428
313.8,1.732
313.82,1.377
313.85,1.013
313.87,0.8919
313.9,0.9157
313.92,1.094
313.95,1.688
313.97,2.383
314.0,4.105
