wavelength,intensity
298.95,1.6079999999999999e-27
298.97,1.5650000000000002e-26
299.0,4.481e-25
299.02,3.907e-24
299.05,9.372e-23
299.07,7.351e-22
299.1,1.491e-20
299.12,1.051e-19
299.15,1.818e-18
299.17,1.153e-17
299.2,1.703e-16
299.22,9.725e-16
299.25,1.227e-14
299.27,6.317e-14
299.29,3.12e-13
299.32,3.172e-12
299.34,1.415e-11
299.37,1.237e-10
299.39,4.993e-10
299.42,3.762e-09
299.44,1.377e-08
299.47,8.978e-08
299.49,2.987e-07
299.52,1.69e-06
299.54,5.119e-06
299.57,2.518e-05
299.59,6.955e-05
299.62,0.0002978
299.64,0.0007497
299.67,0.002792
299.69,0.006402
299.72,0.0207
299.74,0.04314
299.77,0.1207
299.79,0.2282
299.82,0.5509
299.84,0.943
299.87,1.959
299.89,3.032
299.92,5.412
299.94,7.572
299.97,11.63
299.99,14.74
300.02,19.59
300.04,22.65
300.07,26.5
300.09,28.39
300.12,30.19
300.14,30.79
300.16,31.03
300.19,30.87
300.21,30.45
300.24,29.21
300.26,27.88
300.29,25.07
300.31,22.76
300.34,19.05
300.36,16.74
300.39,14.03
300.41,12.94
300.44,12.41
300.46,12.69
300.49,13.69
300.51,14.53
300.54,15.76
300.56,16.51
300.59,17.57
300.61,18.34
300.64,19.79
300.66,21.01
300.69,23.26
300.71,24.94
300.74,27.48
300.76,28.95
300.79,30.42
300.81,30.7
300.84,29.84
300.86,28.41
300.89,25.2
300.91,22.57
300.94,18.32
300.96,15.53
300.99,11.72
301.01,9.551
301.03,7.72
301.06,5.6
301.08,4.562
301.11,3.45
301.13,2.923
301.16,2.326
301.18,2.001
301.21,1.562
301.23,1.292
301.26,0.9255
301.28,0.7193
301.31,0.4904
301.33,0.4092
301.36,0.4522
301.38,0.6628
301.41,1.51
301.43,2.709
301.46,6.269
301.48,10.52
301.51,21.3
301.53,32.42
301.56,56.37
301.58,77.39
301.61,115.1
301.63,142.3
301.66,180.7
301.68,201.0
301.71,217.9
301.73,218.2
301.76,202.4
301.78,183.1
301.81,147.1
301.83,122.5
301.86,90.54
301.88,75.0
301.9,65.0
301.93,60.15
301.95,62.66
301.98,72.13
302.0,80.31
302.03,92.21
302.05,98.46
302.08,104.0
302.1,105.0
302.13,103.3
302.15,100.9
302.18,96.43
302.2,93.35
302.23,88.66
302.25,85.27
302.28,79.29
302.3,74.51
302.33,66.14
302.35,59.96
302.38,50.37
302.4,44.16
302.43,35.74
302.45,31.0
302.48,25.43
302.5,22.72
302.53,19.83
302.55,18.42
302.58,16.58
302.6,15.34
302.63,13.34
302.65,12.0
302.68,10.48
302.7,10.22
302.73,11.94
302.75,15.21
302.77,20.75
302.8,34.26
302.82,47.04
302.85,71.38
302.87,89.92
302.9,117.9
302.92,134.0
302.95,150.4
302.97,154.1
303.0,147.9
303.02,136.7
303.05,112.6
303.07,94.08
303.1,66.81
303.12,50.75
303.15,31.47
303.17,21.98
303.2,12.2
303.22,8.026
303.25,4.191
303.27,2.721
303.3,1.488
303.32,1.066
303.35,0.7854
303.37,0.7547
303.4,0.8783
303.42,1.059
303.45,1.476
303.47,1.861
303.5,2.637
303.52,3.323
303.55,4.677
303.57,5.841
303.6,8.024
303.62,9.759
303.64,11.68
303.67,14.74
303.69,16.78
303.72,19.6
303.74,21.18
303.77,22.92
303.79,23.56
303.82,23.64
303.84,23.06
303.87,21.28
303.89,19.56
303.92,16.41
303.94,14.15
303.97,10.85
303.99,8.913
304.02,6.607
304.04,5.522
304.07,4.552
304.09,4.287
304.12,4.349
304.14,4.645
304.17,5.439
304.19,6.218
304.22,7.835
304.24,9.26
304.27,11.97
304.29,14.16
304.32,17.99
304.34,20.89
304.37,25.83
304.39,29.64
304.42,36.39
304.44,41.81
304.47,51.58
304.49,59.26
304.51,67.82
304.54,81.88
304.56,91.58
304.59,105.3
304.61,113.0
304.64,120.6
304.66,122.2
304.69,119.0
304.71,113.3
304.74,100.8
304.76,90.8
304.79,75.48
304.81,65.89
304.84,53.27
304.86,46.11
304.89,36.93
304.91,31.59
304.94,24.42
304.96,20.13
304.99,14.5
305.01,11.35
305.04,7.607
305.06,5.748
305.09,3.779
305.11,2.897
305.14,2.025
305.16,1.65
305.19,1.28
305.21,1.121
305.24,0.9774
305.26,0.9321
305.29,0.9375
305.31,1.002
305.34,1.252
305.36,1.602
305.39,2.657
305.41,3.961
305.43,6.035
305.46,11.33
305.48,16.92
305.51,29.52
305.53,41.33
305.56,64.88
305.58,84.58
305.61,119.7
305.63,146.1
305.66,188.4
305.68,216.8
305.71,256.6
305.73,279.1
305.76,303.0
305.78,310.4
305.81,307.0
305.83,295.3
305.86,265.9
305.88,240.9
305.91,199.8
305.93,172.5
305.96,134.4
305.98,112.0
306.01,83.0
306.03,66.8
306.06,46.85
306.08,36.29
306.11,24.36
306.13,18.83
306.16,13.8
306.18,12.33
306.21,12.37
306.23,13.54
306.26,16.56
306.28,19.29
306.3,22.73
306.33,30.32
306.35,38.49
306.38,59.82
306.4,83.73
306.43,141.5
306.45,198.7
306.48,316.1
306.5,414.0
306.53,579.3
306.55,690.5
306.58,833.9
306.6,899.2
306.63,932.8
306.65,908.4
306.68,808.9
306.7,711.6
306.73,544.2
306.75,432.7
306.78,284.7
306.8,205.1
306.83,117.4
306.85,78.51
306.88,44.04
306.9,33.87
306.93,34.08
306.95,43.71
306.98,73.31
307.0,104.8
307.03,173.4
307.05,235.8
307.08,357.0
307.1,456.4
307.13,630.2
307.15,757.4
307.17,887.7
307.2,1073.0
307.22,1179.0
307.25,1295.0
307.27,1338.0
307.3,1351.0
307.32,1336.0
307.35,1301.0
307.37,1287.0
307.4,1303.0
307.42,1341.0
307.45,1425.0
307.47,1481.0
307.5,1529.0
307.52,1518.0
307.55,1423.0
307.57,1312.0
307.6,1109.0
307.62,975.0
307.65,826.4
307.67,787.0
307.7,843.4
307.72,960.5
307.75,1234.0
307.77,1457.0
307.8,1788.0
307.82,1969.0
307.85,2126.0
307.87,2139.0
307.9,2037.0
307.92,1924.0
307.95,1789.0
307.97,1805.0
308.0,2144.0
308.02,2673.0
308.04,3502.0
308.07,5359.0
308.09,6979.0
308.12,9791.0
308.14,11720.0
308.17,14270.0
308.19,15480.0
308.22,16190.0
308.24,15860.0
308.27,14230.0
308.29,12580.0
308.32,9688.0
308.34,7732.0
308.37,5106.0
308.39,3680.0
308.42,2086.0
308.44,1360.0
308.47,671.1
308.49,410.3
308.52,218.7
308.54,184.8
308.57,240.6
308.59,343.7
308.62,602.8
308.64,849.2
308.67,1324.0
308.69,1694.0
308.72,2276.0
308.74,2636.0
308.77,3052.0
308.79,3205.0
308.82,3211.0
308.84,3071.0
308.87,2691.0
308.89,2370.0
308.91,2038.0
308.94,1602.0
308.96,1411.0
308.99,1387.0
309.01,1631.0
309.04,2575.0
309.06,3720.0
309.09,6436.0
309.11,8998.0
309.14,13930.0
309.16,17780.0
309.19,23790.0
309.21,27480.0
309.24,31600.0
309.26,32980.0
309.29,32570.0
309.31,30700.0
309.34,26040.0
309.36,22180.0
309.39,16150.0
309.41,12430.0
309.44,7775.0
309.46,5411.0
309.49,2924.0
309.51,1859.0
309.54,906.3
309.56,568.1
309.59,325.4
309.61,266.6
309.64,251.5
309.66,261.6
309.69,278.5
309.71,282.2
309.74,270.2
309.76,250.5
309.78,223.7
309.81,175.8
309.83,143.0
309.86,98.42
309.88,74.04
309.91,46.94
309.93,34.9
309.96,24.28
309.98,20.94
310.01,19.64
310.03,20.42
310.06,23.29
310.08,26.35
310.11,33.5
310.13,41.03
310.16,59.15
310.18,77.69
310.21,118.3
310.23,155.2
310.26,224.8
310.28,278.8
310.31,364.9
310.33,420.8
310.36,494.3
310.38,532.9
310.41,573.4
310.43,589.9
310.46,604.2
310.48,609.9
310.51,616.0
310.53,618.4
310.56,615.5
310.58,605.5
310.61,572.4
310.63,536.5
310.66,463.0
310.68,404.4
310.7,342.1
310.73,250.2
310.75,195.1
310.78,127.4
310.8,93.83
310.83,60.35
310.85,48.05
310.88,41.77
310.9,44.1
310.93,55.25
310.95,66.96
310.98,90.06
311.0,108.9
311.03,141.8
311.05,166.3
311.08,205.4
311.1,231.3
311.13,265.5
311.15,282.3
311.18,293.8
311.2,290.3
311.23,268.1
311.25,243.4
311.28,196.8
311.3,163.3
311.33,115.2
311.35,87.46
311.38,54.68
311.4,38.95
311.43,23.44
311.45,17.47
311.48,13.39
311.5,13.26
311.53,16.61
311.55,21.44
311.57,28.74
311.6,45.14
311.62,60.01
311.65,87.72
311.67,108.7
311.7,141.1
311.72,161.0
311.75,185.0
311.77,195.9
311.8,204.8
311.82,206.9
311.85,207.3
311.87,207.4
311.9,208.4
311.92,209.3
311.95,208.3
311.97,204.4
312.0,191.5
312.02,178.0
312.05,152.0
312.07,132.8
312.1,104.3
312.12,87.37
312.15,66.4
312.17,55.54
312.2,43.15
312.22,36.77
312.25,28.92
312.27,24.37
312.3,18.25
312.32,14.62
312.35,9.981
312.37,7.496
312.4,4.721
312.42,3.478
312.44,2.669
312.47,2.178
312.49,2.299
312.52,3.209
312.54,4.422
312.57,7.511
312.59,10.69
312.62,17.63
312.64,23.9
312.67,35.74
312.69,45.0
312.72,60.08
312.74,70.35
312.77,85.74
312.79,96.75
312.82,118.9
312.84,142.7
312.87,207.4
312.89,282.4
312.92,468.5
312.94,656.6
312.97,1051.0
312.99,1389.0
313.02,1978.0
313.04,2393.0
313.07,2963.0
313.09,3255.0
313.12,3485.0
313.14,3472.0
313.17,3208.0
313.19,2897.0
313.22,2309.0
313.24,1889.0
313.27,1299.0
313.29,963.0
313.31,686.4
313.34,383.7
313.36,248.0
