wavelength,intensity
299.06,1.9030000000000003e-26
299.08,2.55e-25
299.11,1.417e-23
299.13,1.6939999999999998e-22
299.16,6.538e-21
299.18,6.885000000000001e-20
299.21,2.136e-18
299.23,1.979e-17
299.26,5.074e-16
299.28,4.143e-15
299.31,8.802e-14
299.33,6.347e-13
299.36,1.121e-11
299.38,7.147e-11
299.41,1.051e-09
299.43,5.936e-09
299.46,7.276e-08
299.48,3.64e-07
299.5,1.735e-06
299.53,1.648e-05
299.55,6.953e-05
299.58,0.0005494
299.6,0.002048
299.63,0.01343
299.65,0.04418
299.68,0.2396
299.7,0.6941
299.73,3.106
299.75,7.906
299.78,29.11
299.8,65.0
299.83,196.4
299.85,384.2
299.88,951.1
299.9,1628.0
299.93,3296.0
299.95,4932.0
299.98,8159.0
300.0,10670.0
300.03,14430.0
300.05,16500.0
300.08,18280.0
300.1,18360.0
300.13,16860.0
300.15,15080.0
300.18,11910.0
300.2,9865.0
300.23,7305.0
300.25,6008.0
300.28,4576.0
300.3,3852.0
300.33,2950.0
300.35,2422.0
300.37,1946.0
300.4,1345.0
300.42,1033.0
300.45,704.0
300.47,570.7
300.5,483.9
300.52,498.2
300.55,645.7
300.57,854.4
300.6,1402.0
300.62,1969.0
300.65,3185.0
300.67,4247.0
300.7,6150.0
300.72,7521.0
300.75,9466.0
300.77,10510.0
300.8,11430.0
300.82,11550.0
300.85,11040.0
300.87,10360.0
300.9,9085.0
300.92,8179.0
300.95,6846.0
300.97,5995.0
301.0,4785.0
301.02,4039.0
301.05,3065.0
301.07,2542.0
301.1,1962.0
301.12,1691.0
301.15,1394.0
301.17,1229.0
301.2,985.8
301.22,819.4
301.24,654.6
301.27,429.6
301.29,305.9
301.32,169.5
301.34,111.1
301.37,66.84
301.39,63.25
301.42,96.98
301.44,149.4
301.47,284.6
301.49,420.1
301.52,702.1
301.54,946.1
301.57,1395.0
301.59,1746.0
301.62,2330.0
301.64,2739.0
301.67,3329.0
301.69,3669.0
301.72,4043.0
301.74,4197.0
301.77,4369.0
301.79,4574.0
301.82,5424.0
301.84,6724.0
301.87,10660.0
301.89,15220.0
301.92,25950.0
301.94,35970.0
301.97,54700.0
301.99,68470.0
302.02,87720.0
302.04,97330.0
302.07,103600.0
302.09,101500.0
302.12,89680.0
302.14,77570.0
302.16,63870.0
302.19,43550.0
302.21,31800.0
302.24,18320.0
302.26,12170.0
302.29,6530.0
302.31,4567.0
302.34,3342.0
302.36,3242.0
302.39,3732.0
302.41,4380.0
302.44,5803.0
302.46,7052.0
302.49,9267.0
302.51,10810.0
302.54,12770.0
302.56,13570.0
302.59,13670.0
302.61,12950.0
302.64,10930.0
302.66,9195.0
302.69,6498.0
302.71,4871.0
302.74,2930.0
302.76,2018.0
302.79,1191.0
302.81,953.3
302.84,979.0
302.86,1204.0
302.89,1769.0
302.91,2240.0
302.94,2958.0
302.96,3365.0
302.99,3745.0
303.01,3810.0
303.03,3725.0
303.06,3380.0
303.08,3066.0
303.11,2566.0
303.13,2250.0
303.16,1823.0
303.18,1565.0
303.21,1207.0
303.23,986.2
303.26,691.8
303.28,526.8
303.31,333.4
303.33,239.6
303.36,142.8
303.38,101.4
303.41,66.45
303.43,60.95
303.46,91.77
303.48,157.3
303.51,386.1
303.53,684.8
303.56,1487.0
303.58,2342.0
303.61,4194.0
303.63,5787.0
303.66,8486.0
303.68,10250.0
303.71,12290.0
303.73,12980.0
303.76,12750.0
303.78,11800.0
303.81,9524.0
303.83,7755.0
303.86,5230.0
303.88,3842.0
303.9,2772.0
303.93,1762.0
303.95,1426.0
303.98,1288.0
304.0,1364.0
304.03,1634.0
304.05,1882.0
304.08,2316.0
304.1,2619.0
304.13,3039.0
304.15,3255.0
304.18,3421.0
304.2,3402.0
304.23,3173.0
304.25,2909.0
304.28,2404.0
304.3,2037.0
304.33,1508.0
304.35,1196.0
304.38,816.9
304.4,629.7
304.43,446.6
304.45,389.6
304.48,415.3
304.5,531.4
304.53,939.8
304.55,1448.0
304.58,2743.0
304.6,4064.0
304.63,6826.0
304.65,9138.0
304.68,12960.0
304.7,15400.0
304.73,18160.0
304.75,19010.0
304.78,18510.0
304.8,17040.0
304.82,14900.0
304.85,11060.0
304.87,8503.0
304.9,5223.0
304.92,3556.0
304.95,1845.0
304.97,1144.0
305.0,552.7
305.02,355.5
305.05,217.5
305.07,179.6
305.1,156.5
305.12,152.0
305.15,157.7
305.17,171.5
305.2,209.9
305.22,246.2
305.25,309.1
305.27,349.7
305.3,397.7
305.32,418.8
305.35,439.3
305.37,454.1
305.4,496.3
305.42,547.8
305.45,672.8
305.47,795.8
305.5,1066.0
305.52,1336.0
305.55,1967.0
305.57,2609.0
305.6,4014.0
305.62,5274.0
305.65,7581.0
305.67,9279.0
305.69,10970.0
305.72,13250.0
305.74,14490.0
305.77,15910.0
305.79,16620.0
305.82,17510.0
305.84,17980.0
305.87,18360.0
305.89,18200.0
305.92,17080.0
305.94,15690.0
305.97,12810.0
305.99,10600.0
306.02,7344.0
306.04,5442.0
306.07,3214.0
