wavelength,intensity
308.54,45.3
308.57,44.23
308.59,82.57
308.62,232.6
308.64,433.6
308.67,964.9
308.69,1501.0
308.72,2537.0
308.74,3285.0
308.77,4219.0
308.79,4552.0
308.82,4460.0
308.84,4029.0
308.87,3049.0
308.89,2343.0
308.91,1707.0
308.94,998.2
308.96,724.8
308.99,724.6
309.01,1239.0
309.04,3994.0
309.06,8748.0
309.09,25400.0
309.11,47410.0
309.14,105600.0
309.16,164300.0
309.19,278300.0
309.21,360800.0
309.24,464400.0
309.26,501400.0
309.29,490400.0
309.31,440900.0
309.34,327600.0
309.36,245300.0
309.39,138500.0
309.41,86320.0
309.44,37040.0
309.46,19230.0
309.49,6278.0
309.51,2725.0
309.54,702.2
309.56,290.1
309.59,135.0
309.61,140.6
309.64,194.1
309.66,234.9
309.69,279.9
309.71,290.5
309.74,272.7
309.76,242.7
309.78,205.9
309.81,155.5
309.83,136.8
309.86,148.1
309.88,188.7
309.91,303.4
309.93,410.6
309.96,592.2
309.98,704.7
310.01,818.5
310.03,839.6
310.06,781.2
310.08,692.4
310.11,519.1
310.13,399.6
310.16,245.9
310.18,170.5
310.21,103.5
310.23,87.68
310.26,101.2
310.28,130.3
310.31,193.0
310.33,238.9
310.36,298.1
310.38,324.7
310.41,343.5
310.43,347.5
310.46,355.9
310.48,372.1
310.51,420.4
310.53,467.2
310.56,544.3
310.58,585.8
310.61,606.1
310.63,581.2
310.66,487.9
310.68,400.6
310.7,307.6
310.73,182.0
310.75,117.8
310.78,54.79
310.8,31.34
310.83,14.78
310.85,11.5
310.88,13.75
310.9,19.72
310.93,38.87
310.95,62.85
310.98,126.8
311.0,195.3
311.03,344.2
311.05,470.5
311.08,673.7
311.1,791.7
311.13,892.6
311.15,889.9
311.18,780.7
311.2,657.5
311.23,447.9
311.25,319.0
311.28,169.5
311.3,102.7
311.33,43.28
311.35,22.91
311.38,8.821
311.4,5.403
311.43,4.334
311.45,4.961
311.48,7.063
311.5,9.293
311.53,14.59
311.55,20.05
311.57,27.59
311.6,43.59
311.62,57.71
311.65,84.08
311.67,104.5
311.7,136.3
311.72,155.1
311.75,173.3
311.77,175.9
311.8,166.1
311.82,154.4
311.85,140.1
311.87,138.4
311.9,151.0
311.92,166.7
311.95,189.5
311.97,197.0
312.0,189.1
312.02,171.3
312.05,133.5
312.07,106.9
312.1,73.27
312.12,57.36
312.15,42.48
312.17,36.58
312.2,30.13
312.22,26.04
312.25,19.47
312.27,15.06
312.3,9.259
312.32,6.359
312.35,3.898
312.37,3.717
312.4,6.194
312.42,10.19
312.44,16.48
312.47,30.41
312.49,41.98
312.52,59.59
312.54,68.84
312.57,74.84
312.59,72.52
312.62,61.14
312.64,50.76
312.67,35.94
312.69,28.71
312.72,23.17
312.74,22.52
312.77,24.14
312.79,25.74
312.82,27.54
312.84,28.18
312.87,29.27
312.89,31.46
312.92,40.43
312.94,52.61
312.97,83.07
312.99,111.1
313.02,158.6
313.04,187.1
313.07,212.6
313.09,213.1
313.12,189.3
313.14,162.2
313.17,117.3
313.19,90.82
313.22,61.54
313.24,48.89
313.27,37.27
313.29,32.62
313.31,29.52
313.34,26.9
313.36,26.06
313.39,25.12
313.41,24.04
313.44,20.99
313.46,18.08
313.49,13.17
313.51,10.12
313.54,6.531
313.56,4.888
313.59,3.311
313.61,2.634
313.64,1.878
313.66,1.46
313.69,0.929
313.71,0.6479
313.74,0.3468
313.76,0.2192
313.79,0.1097
313.81,0.0739
313.84,0.05788
313.86,0.07221
313.89,0.154
313.91,0.2762
313.94,0.6263
313.96,1.008
313.99,1.826
314.01,2.511
314.04,3.64
314.06,4.405
314.09,5.625
314.11,6.686
314.14,9.395
314.16,12.65
314.18,17.83
314.21,31.13
314.23,45.2
314.26,76.36
314.28,104.1
314.31,152.9
314.33,185.4
314.36,222.6
314.38,233.3
314.41,223.1
314.43,200.5
314.46,152.7
314.48,118.5
314.51,73.56
314.53,50.61
314.56,27.64
314.58,19.27
314.61,16.16
314.63,20.61
314.66,38.75
314.68,59.38
314.71,102.0
314.73,134.7
314.76,179.4
314.78,199.0
314.81,203.6
314.83,189.3
314.86,148.7
314.88,116.1
314.91,70.58
314.93,47.02
314.96,24.16
314.98,16.36
315.01,13.15
315.03,15.59
315.05,21.69
315.08,39.44
315.1,58.65
315.13,99.95
315.15,134.3
315.18,188.0
315.2,218.5
315.23,245.8
315.25,249.5
315.28,238.7
315.3,227.7
315.33,217.8
315.35,219.1
315.38,230.3
315.4,239.4
315.43,248.5
315.45,250.5
315.48,251.4
315.5,253.7
315.53,260.7
315.55,265.3
315.58,264.8
315.6,256.6
315.63,233.2
315.65,213.3
315.68,183.8
315.7,167.4
315.73,150.0
315.75,143.4
315.78,140.2
315.8,141.7
315.83,146.5
315.85,149.2
315.88,149.2
315.9,146.7
315.92,145.2
315.95,156.6
315.97,184.8
316.0,278.6
316.02,384.5
316.05,611.8
316.07,801.3
316.1,1114.0
316.12,1320.0
316.15,1586.0
316.17,1715.0
316.2,1809.0
316.22,1796.0
316.25,1655.0
316.27,1487.0
316.3,1158.0
316.32,917.5
316.35,581.8
316.37,398.5
316.4,201.7
316.42,119.7
316.45,52.24
316.47,32.36
316.5,23.42
316.52,24.91
316.55,31.75
316.57,37.41
316.6,47.08
316.62,56.51
316.65,85.75
316.67,126.6
316.7,246.4
316.72,380.3
316.75,671.1
316.77,910.4
316.8,1272.0
316.82,1459.0
316.84,1563.0
316.87,1520.0
316.89,1369.0
316.92,1026.0
316.94,776.5
316.97,449.9
316.99,288.1
317.02,133.4
317.04,77.48
317.07,38.32
317.09,29.08
317.12,25.51
317.14,25.05
317.17,23.36
317.19,21.03
317.22,16.29
317.24,12.94
317.27,8.592
317.29,6.443
317.32,4.595
317.34,4.435
317.37,6.344
317.39,9.523
317.42,17.89
317.44,25.89
317.47,40.22
317.49,49.71
317.52,60.27
317.54,63.12
317.57,60.11
317.59,54.17
317.62,42.86
317.64,36.12
317.67,30.55
317.69,31.0
317.71,35.13
317.74,48.16
317.76,61.42
317.79,89.09
317.81,113.7
317.84,160.8
317.86,197.8
317.89,255.4
317.91,289.1
317.94,322.4
317.96,328.9
317.99,314.4
318.01,291.4
318.04,245.6
318.06,212.8
318.09,167.9
318.11,143.4
318.14,116.2
318.16,103.9
318.19,91.92
318.21,87.26
318.24,83.39
318.26,81.73
318.29,78.63
318.31,75.33
318.34,68.52
318.36,63.76
318.39,59.8
318.41,62.67
318.44,85.21
318.46,122.1
318.49,234.5
318.51,363.4
318.54,654.7
318.56,907.1
318.58,1182.0
318.61,1558.0
318.63,1722.0
318.66,1763.0
318.68,1645.0
318.71,1307.0
318.73,1032.0
318.76,645.7
318.78,443.7
318.81,242.9
318.83,168.5
318.86,118.4
318.88,113.0
318.91,139.8
318.93,186.8
318.96,321.0
318.98,465.1
319.01,773.0
319.03,1035.0
319.06,1488.0
319.08,1810.0
319.11,2282.0
319.13,2558.0
319.16,2849.0
319.18,2918.0
319.21,2785.0
319.23,2542.0
319.26,2017.0
319.28,1623.0
319.31,1074.0
319.33,777.4
319.36,459.3
319.38,327.2
319.41,227.5
319.43,214.4
319.45,235.5
319.48,314.2
319.5,384.2
319.53,487.4
319.55,539.6
319.58,577.4
319.6,575.2
319.63,541.4
319.65,506.5
319.68,444.4
319.7,398.6
319.73,327.8
319.75,286.4
319.78,258.6
319.8,287.3
319.83,455.4
319.85,683.2
319.88,1231.0
319.9,1718.0
319.93,2530.0
319.95,3019.0
319.98,3479.0
320.0,3521.0
320.03,3172.0
320.05,2734.0
320.08,1968.0
320.1,1500.0
320.13,1000.0
320.15,829.4
320.18,788.6
320.2,860.8
320.23,1028.0
320.25,1132.0
320.28,1219.0
320.3,1216.0
320.32,1163.0
320.35,1006.0
320.37,867.9
320.4,647.2
320.42,510.8
320.45,346.5
320.47,269.9
320.5,200.4
320.52,176.6
320.55,159.1
320.57,152.4
320.6,142.7
320.62,135.2
320.65,123.0
320.67,114.7
320.7,102.6
320.72,95.06
320.75,84.7
320.77,78.46
320.8,70.39
320.82,66.46
320.85,65.25
320.87,70.07
320.9,91.63
320.92,119.1
320.95,183.4
320.97,240.1
321.0,334.6
321.02,393.8
321.05,459.9
321.07,484.5
321.1,501.3
321.12,513.0
321.15,560.0
321.17,623.4
321.19,714.6
321.22,889.3
321.24,1014.0
321.27,1181.0
321.29,1266.0
321.32,1346.0
321.34,1368.0
321.37,1353.0
321.39,1308.0
321.42,1187.0
321.44,1078.0
321.47,904.5
321.49,811.2
321.52,757.6
321.54,804.2
321.57,1015.0
321.59,1241.0
321.62,1649.0
321.64,1915.0
321.67,2203.0
321.69,2276.0
321.72,2184.0
321.74,2008.0
321.77,1651.0
