wavelength,intensity
299.2,2.503e-28
299.23,2.1670000000000002e-26
299.25,4.299e-25
299.28,3.608e-23
299.3,5.826999999999999e-22
299.33,3.3650000000000004e-20
299.35,4.686e-19
299.38,2.195e-17
299.4,2.661e-16
299.43,1.01e-14
299.45,1.06e-13
299.48,3.215e-12
299.5,2.888e-11
299.53,6.874e-10
299.55,5.226e-09
299.58,9.618e-08
299.6,6.137e-07
299.63,8.646e-06
299.65,4.607e-05
299.68,0.000494
299.7,0.002192
299.73,0.01783
299.75,0.06576
299.78,0.4052
299.8,1.241
299.83,5.786
299.85,14.71
299.88,51.87
299.9,109.5
299.93,291.7
299.95,510.8
299.97,830.0
300.0,1495.0
300.02,2015.0
300.05,2742.0
300.07,3067.0
300.1,3154.0
300.12,2927.0
300.15,2276.0
300.17,1755.0
300.2,1036.0
300.22,667.0
300.25,304.8
300.27,168.8
300.3,65.72
300.32,35.36
300.35,15.77
300.37,10.8
300.4,10.03
300.42,15.05
300.45,42.17
300.47,89.85
300.5,264.3
300.52,506.7
300.55,1188.0
300.57,1919.0
300.6,3440.0
300.62,4631.0
300.65,6297.0
300.67,7047.0
300.7,7274.0
300.72,6796.0
300.75,5427.0
300.77,4376.0
300.8,3076.0
300.82,2557.0
300.84,2336.0
300.87,2395.0
300.89,2529.0
300.92,2602.0
300.94,2475.0
300.97,2024.0
300.99,1619.0
301.02,1010.0
301.04,673.1
301.07,320.5
301.09,179.7
301.12,68.12
301.14,34.5
301.17,13.2
301.19,7.749
301.22,4.075
301.24,2.749
301.27,1.441
301.29,0.8745
301.32,0.3661
301.34,0.1918
301.37,0.08434
301.39,0.08364
301.42,0.1854
301.44,0.3486
301.47,0.8178
301.49,1.332
301.52,2.449
301.54,3.401
301.57,5.012
301.59,6.112
301.62,7.696
301.64,8.707
301.67,10.2
301.69,11.17
301.71,12.05
301.74,13.01
301.76,13.36
301.79,13.77
301.81,14.49
301.84,17.94
301.86,23.54
301.89,41.84
301.91,64.77
301.94,122.8
301.96,179.6
301.99,287.0
302.01,363.3
302.04,458.3
302.06,493.0
302.09,486.8
302.11,445.7
302.14,348.1
302.16,274.9
302.19,175.8
302.21,124.2
302.24,70.77
302.26,48.48
302.29,28.77
302.31,21.63
302.34,16.31
302.36,15.05
302.39,15.33
302.41,16.78
302.44,21.34
302.46,26.48
302.49,37.52
302.51,46.33
302.54,58.67
302.56,64.09
302.58,65.83
302.61,60.8
302.63,53.23
302.66,38.77
302.68,29.08
302.71,16.93
302.73,11.0
302.76,5.256
302.78,3.106
302.81,1.641
302.83,1.521
302.86,2.368
302.88,3.574
302.91,6.252
302.93,8.443
302.96,11.75
302.98,13.53
303.01,14.93
303.03,14.92
303.06,13.77
303.08,12.61
303.11,10.82
303.13,9.714
303.16,8.14
303.18,7.053
303.21,5.33
303.23,4.192
303.26,2.693
303.28,1.917
303.31,1.113
303.33,0.7782
303.36,0.4831
303.38,0.3823
303.41,0.3387
303.43,0.3754
303.46,0.5314
303.48,0.7178
303.5,1.014
303.53,1.907
303.55,3.123
303.58,6.801
303.6,11.15
303.63,21.38
303.65,30.54
303.68,45.87
303.7,55.11
303.73,63.55
303.75,63.98
303.78,56.77
303.8,48.2
303.83,33.53
303.85,24.55
303.88,14.26
303.9,9.779
303.93,6.053
303.95,5.04
303.98,4.904
304.0,5.386
304.03,6.614
304.05,7.69
304.08,9.66
304.1,11.17
304.13,13.47
304.15,14.77
304.18,15.87
304.2,15.86
304.23,14.75
304.25,13.45
304.28,11.12
304.3,9.604
304.33,7.899
304.35,7.479
304.37,7.922
304.4,10.71
304.42,14.17
304.45,21.54
304.47,27.26
304.5,35.16
304.52,38.78
304.55,40.58
304.57,39.7
304.6,37.87
304.62,38.47
304.65,45.19
304.67,54.02
304.7,71.23
304.72,82.18
304.75,91.67
304.77,90.92
304.8,78.91
304.82,65.77
304.85,43.86
304.87,30.68
304.9,15.82
304.92,9.401
304.95,3.926
304.97,2.149
305.0,0.9982
305.02,0.7453
305.05,0.6622
305.07,0.669
305.1,0.6752
305.12,0.6663
305.15,0.6632
305.17,0.6997
305.2,0.8631
305.22,1.056
305.24,1.306
305.27,1.729
305.29,2.0
305.32,2.344
305.34,2.541
305.37,2.851
305.39,3.109
305.42,3.596
305.44,3.962
305.47,4.487
305.49,4.784
305.52,5.224
305.54,5.712
305.57,7.427
305.59,9.794
305.62,16.09
305.64,22.32
305.67,33.9
305.69,41.94
305.72,52.02
305.74,56.44
305.77,59.83
305.79,61.18
305.82,64.43
305.84,68.08
305.87,74.25
305.89,76.74
305.92,74.47
305.94,68.16
305.97,53.09
305.99,41.45
306.02,25.35
306.04,16.95
306.07,8.491
306.09,5.212
306.11,3.278
306.14,1.922
306.16,1.569
306.19,1.364
306.21,1.29
306.24,1.157
306.26,1.035
306.29,0.8238
306.31,0.6858
306.34,0.5141
306.36,0.4374
306.39,0.417
306.41,0.5155
306.44,1.001
306.46,1.71
306.49,3.73
306.51,5.953
306.54,10.92
306.56,15.38
306.59,23.56
306.61,29.63
306.64,38.56
306.66,43.54
306.69,47.92
306.71,48.04
306.74,43.68
306.76,38.25
306.79,28.2
306.81,21.45
306.84,12.89
306.86,8.648
306.89,4.456
306.91,2.834
306.94,1.605
306.96,1.317
306.99,1.365
307.01,1.612
307.03,1.997
307.06,2.857
307.08,3.672
307.11,5.387
307.13,6.916
307.16,9.793
307.18,12.02
307.21,15.48
307.23,17.58
307.26,19.8
307.28,20.32
307.31,19.51
307.33,18.13
307.36,15.89
307.38,15.16
307.41,16.6
307.43,19.76
307.46,27.79
307.48,35.04
307.51,49.41
307.53,64.05
307.56,106.8
307.58,164.1
307.61,329.4
307.63,514.2
307.66,918.3
307.68,1254.0
307.71,1765.0
307.73,2034.0
307.76,2207.0
307.78,2135.0
307.81,1783.0
307.83,1451.0
307.86,939.2
307.88,648.6
307.9,423.0
307.93,207.9
307.95,132.5
307.98,92.08
308.0,102.3
308.03,168.8
308.05,251.1
308.08,439.2
308.1,606.6
308.13,897.9
308.15,1091.0
308.18,1315.0
308.2,1385.0
308.23,1335.0
308.25,1205.0
308.28,917.4
308.3,706.3
308.33,424.1
308.35,279.9
308.38,135.6
308.4,79.16
308.43,33.47
308.45,18.57
308.48,7.665
308.5,4.247
308.53,1.76
308.55,1.072
308.58,0.9944
308.6,1.599
308.63,3.936
308.65,6.874
308.68,14.03
308.7,20.69
308.73,32.5
308.75,40.28
308.77,46.65
308.8,51.95
308.82,53.18
308.85,58.86
308.87,75.94
308.9,159.3
308.92,291.7
308.95,702.5
308.97,1182.0
309.0,2285.0
309.02,3260.0
309.05,4909.0
309.07,5966.0
309.1,7244.0
309.12,7882.0
309.15,8831.0
309.17,9775.0
309.2,12100.0
309.22,14240.0
309.25,17660.0
309.27,19420.0
309.3,20180.0
309.32,19150.0
309.35,15620.0
309.37,12530.0
309.4,7919.0
309.42,5377.0
309.45,2777.0
309.47,1887.0
309.5,1784.0
309.52,2584.0
309.55,5328.0
309.57,8321.0
309.6,14420.0
309.62,19080.0
309.64,23560.0
309.67,28320.0
309.69,29330.0
309.72,27110.0
309.74,23560.0
309.77,16730.0
309.79,12200.0
309.82,6661.0
309.84,4078.0
309.87,1717.0
309.89,889.5
309.92,303.3
309.94,148.9
309.97,67.47
309.99,53.89
310.02,50.08
310.04,49.11
310.07,45.63
310.09,42.36
310.12,38.3
310.14,37.37
310.17,39.15
310.19,41.71
310.22,45.11
310.24,45.73
310.27,43.39
310.29,40.43
310.32,36.86
310.34,36.97
310.37,42.83
310.39,50.34
310.42,64.07
310.44,72.15
310.47,78.18
310.49,76.7
310.52,67.0
310.54,57.68
310.56,48.4
310.59,38.57
310.61,36.51
310.64,40.82
310.66,47.56
310.69,59.66
310.71,66.25
310.74,69.82
310.76,66.83
310.79,55.27
310.81,44.75
310.84,28.7
310.86,19.62
310.89,9.861
310.91,5.856
310.94,2.705
310.96,1.92
310.99,2.037
311.01,2.856
311.04,5.408
311.06,8.254
311.09,14.56
311.11,19.98
311.14,28.79
311.16,33.94
311.19,38.39
311.21,38.31
311.24,33.62
311.26,28.3
311.29,19.25
311.31,13.71
311.34,7.35
311.36,4.55
311.39,2.121
311.41,1.319
311.43,0.9078
311.46,0.7121
311.48,0.7681
311.51,1.187
311.53,1.873
311.56,4.234
311.58,7.481
311.61,17.04
311.63,28.26
311.66,55.47
311.68,81.74
311.71,132.6
311.73,171.5
311.76,228.2
311.78,258.3
311.81,281.1
311.83,277.8
311.86,245.8
311.88,211.0
311.91,150.7
311.93,112.2
311.96,65.1
311.98,42.62
312.01,21.08
312.03,12.86
312.06,6.184
312.08,3.914
312.11,2.113
312.13,1.471
312.16,0.9254
312.18,0.7196
312.21,0.5354
312.23,0.4568
312.26,0.3674
312.28,0.3168
312.3,0.2722
312.33,0.2259
312.35,0.2238
312.38,0.3098
312.4,0.4659
312.43,0.925
312.45,1.413
312.48,2.4
312.5,3.152
312.53,4.183
312.55,4.64
312.58,4.776
312.6,4.479
312.63,3.606
312.65,2.897
312.68,1.912
312.7,1.409
312.73,0.9364
312.75,0.7839
312.78,0.7155
312.8,0.7301
312.83,0.7868
312.85,0.8312
312.88,0.9004
312.9,0.954
312.93,1.071
312.95,1.195
312.98,1.476
313.0,1.722
313.03,2.124
313.05,2.358
313.08,2.575
313.1,2.618
313.13,2.589
313.15,2.567
313.17,2.583
313.2,2.683
313.22,2.763
313.25,2.805
313.27,2.75
313.3,2.613
313.32,2.631
313.35,3.372
313.37,4.984
313.4,11.16
313.42,19.77
313.45,43.9
313.47,69.93
313.5,125.1
313.52,169.7
313.55,236.4
313.57,270.9
313.6,292.4
313.62,282.5
313.65,236.0
313.67,192.2
313.7,124.2
313.72,85.26
313.75,42.7
313.77,24.84
313.8,10.32
313.82,6.591
313.85,8.204
313.87,15.11
313.9,40.17
313.92,72.45
313.95,155.4
313.97,238.1
314.0,398.7
314.02,517.9
314.05,678.1
314.07,748.0
314.09,773.3
314.12,720.1
314.14,633.6
314.17,464.1
314.19,348.4
314.22,201.8
