,,,#VALUE!,,,,,,,,,,,,,,
 ,6.50E+03,34 148.4861   ,1.5,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,
 ,6.50E+03,34 148.0284   ,0.5,,,,,,,,,,,,,,
766.489913,3.78E+07,13 042.896027 ,1.5,,,,,,,,,,,,,,
769.896456,3.73E+07,12 985.185724 ,0.5,,,,,,,,,,,,,,
 ,8.90E+03,33 972.8148   ,1.5,,,,,,,,,,,,,,
 ,8.90E+03,33 972.2064   ,0.5,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,
774.107, ,34 448.98     ,3.5,,,,,,,,,,,,,,
774.107, ,34 448.98     ,2.5,,,,,,,,,,,,,,
774.246, ,34 448.98     ,2.5,,,,,,,,,,,,,,
779.517, ,34 359.36     ,2.5,,,,,,,,,,,,,,
779.517, ,34 359.36     ,3.5,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,
779.656, ,34 359.36     ,2.5,,,,,,,,,,,,,,
786.447, ,34 246.37     ,2.5,,,,,,,,,,,,,,
786.447, ,34 246.37     ,3.5,,,,,,,,,,,,,,
 ,1.30E+04,33 737.3284   ,1.5,,,,,,,,,,,,,,
 ,1.30E+04,33 736.4979   ,0.5,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,
786.587, ,34 246.37     ,2.5,,,,,,,,,,,,,,
795.537, ,34 101.36     ,3.5,,,,,,,,,,,,,,
795.683, ,34 101.36     ,2.5,,,,,,,,,,,,,,
 ,2.00E+04,33 972.8148   ,1.5,,,,,,,,,,,,,,
 ,2.30E+03,33 972.8148   ,1.5,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,
 ,2.30E+04,33 972.2064   ,0.5,,,,,,,,,,,,,,
 ,1.60E+04,33 411.3986   ,1.5,,,,,,,,,,,,,,
 ,1.46E+04,33 410.2306   ,0.5,,,,,,,,,,,,,,
807.811, ,33 910.42     ,3.5,,,,,,,,,,,,,,
807.962, ,33 910.42     ,2.5,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,
 ,2.80E+04,33 737.3284   ,1.5,,,,,,,,,,,,,,
 ,3.10E+03,33 737.3284   ,1.5,,,,,,,,,,,,,,
 ,3.10E+04,33 736.4979   ,0.5,,,,,,,,,,,,,,
825.018,9.60E+05,33 652.32     ,3.5,,,,,,,,,,,,,,
825.018,6.40E+04,33 652.32     ,2.5,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,
825.174,8.90E+05,33 652.32     ,2.5,,,,,,,,,,,,,,
839.022,2.71E+04,32 941.9262   ,1.5,,,,,,,,,,,,,,
 ,2.47E+04,32 940.2030   ,0.5,,,,,,,,,,,,,,
841.754,4.81E+04,33 411.3986   ,1.5,,,,,,,,,,,,,,
 ,5.29E+03,33 411.3986   ,1.5,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,
842,5.25E+04,33 410.2306   ,0.5,,,,,,,,,,,,,,
850.345,1.32E+06,33 291.40     ,3.5,,,,,,,,,,,,,,
850.345,8.80E+04,33 291.40     ,2.5,,,,,,,,,,,,,,
850.511,1.23E+06,33 291.40     ,2.5,,,,,,,,,,,,,,
876.396,7.13E+04,32 941.9262   ,1.5,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,
 ,7.97E+03,32 941.9262   ,1.5,,,,,,,,,,,,,,
876.705,7.81E+04,32 940.2030   ,0.5,,,,,,,,,,,,,,
890.219,2.05E+06,32 764.80     ,3.5,,,,,,,,,,,,,,
890.219,1.37E+05,32 764.80     ,2.5,,,,,,,,,,,,,,
890.402,1.91E+06,32 764.80     ,2.5,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,
892.331,5.23E+04,32 230.11     ,1.5,,,,,,,,,,,,,,
892.544,4.77E+04,32 227.44     ,0.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
