202.3301, ,114 242.513  ,2.5,,,,,,,,,,,,,
202.37049,1.70E+07,72 429.675  ,0.5,,,,,,,,,,,,,
202.4539, ,103 661.038  ,2.5,,,,,,,,,,,,,
202.4728, ,87 537.646  ,3.5,,,,,,,,,,,,, 
 , , ,#VALUE!,,,,,,,,,,,,,
202.52769, ,110 167.303  ,3.5,,,,,,,,,,,,,
202.5482, ,103 418.280  ,0.5,,,,,,,,,,,,,
202.6057, ,114 173.223  ,3.5,,,,,,,,,,,,,
202.63229, ,115 030.664  ,4.5,,,,,,,,,,,,,
202.6887, ,106 814.180  ,2.5,,,,,,,,,,,,, 
 , , ,#VALUE!,,,,,,,,,,,,,
202.77767,6.60E+06,72 238.564  ,2.5,,,,,,,,,,,,,
202.8198, ,62 962.215  ,1.5,,,,,,,,,,,,,
202.85779,2.30E+06,109 550.081  ,3.5,,,,,,,,,,,,,
202.91837,6.00E+06,65 109.691  ,3.5,,,,,,,,,,,,,
202.9882, ,75 600.900  ,3.5,,,,,,,,,,,,, 
 , , ,#VALUE!,,,,,,,,,,,,,
203.0103, ,122 297.664  ,3.5,,,,,,,,,,,,,
203.0644, ,72 169.004  ,1.5,,,,,,,,,,,,,
203.1232, ,62 689.874  ,2.5,,,,,,,,,,,,,
203.1566, ,72 238.564  ,2.5,,,,,,,,,,,,,
203.19698, ,106 608.565  ,3.5,,,,,,,,,,,,, 
 , , ,#VALUE!,,,,,,,,,,,,,
203.20011,1.10E+07,76 129.465  ,1.5,,,,,,,,,,,,,
203.240961,2.70E+07,65 556.271  ,4.5,,,,,,,,,,,,,
203.24255, ,109 811.940  ,4.5,,,,,,,,,,,,,
203.2625,1.10E+07,72 212.989  ,0.5,,,,,,,,,,,,,
203.29037, ,118 277.347  ,1.5,,,,,,,,,,,,, 
 , , ,#VALUE!,,,,,,,,,,,,,
203.3693, ,62 829.071  ,0.5,,,,,,,,,,,,,
203.375,1.80E+06,71 964.750  ,2.5,,,,,,,,,,,,,
203.375, ,122 297.664  ,3.5,,,,,,,,,,,,,
203.40781,2.00E+06,103 420.207  ,5.5,,,,,,,,,,,,,
203.41551,1.50E+07,109 529.028  ,0.5,,,,,,,,,,,,, 
 , , ,#VALUE!,,,,,,,,,,,,,
203.44419,6.00E+06,72 169.004  ,1.5,,,,,,,,,,,,,
203.46176,1.60E+06,69 650.481  ,2.5,,,,,,,,,,,,,
203.4919, ,109 571.639  ,3.5,,,,,,,,,,,,,
203.58527,3.20E+06,72 043.060  ,1.5,,,,,,,,,,,,,
203.60481,3.10E+06,106 592.294  ,2.5,,,,,,,,,,,,, 
 , , ,#VALUE!,,,,,,,,,,,,,
203.64365,3.20E+07,69 606.567  ,3.5,,,,,,,,,,,,,
203.65046,1.50E+07,109 529.028  ,0.5,,,,,,,,,,,,,
203.6875, ,103 352.723  ,4.5,,,,,,,,,,,,,
203.714, ,93 987.454  ,3.5,,,,,,,,,,,,,
203.74481,4.00E+07,103 967.555  ,0.5,,,,,,,,,,,,, 
 , , ,#VALUE!,,,,,,,,,,,,,
203.7779, ,62 962.215  ,1.5,,,,,,,,,,,,,
203.8685, ,113 867.242  ,5.5,,,,,,,,,,,,,
203.9106, ,71 964.750  ,2.5,,,,,,,,,,,,,
203.94162, ,115 030.664  ,4.5,,,,,,,,,,,,,
203.95223,4.40E+06,109 456.381  ,1.5,,,,,,,,,,,,, 
 , , ,#VALUE!,,,,,,,,,,,,,
203.9672,3.10E+06,72 043.060  ,1.5,,,,,,,,,,,,,
203.96989,7.00E+06,109 456.381  ,1.5,,,,,,,,,,,,,
204.03631, ,118 097.578  ,2.5,,,,,,,,,,,,,
204.069022, ,106 398.405  ,1.5,,,,,,,,,,,,,
204.069022,4.60E+07,64 831.951  ,4.5,,,,,,,,,,,,, 
 , , ,#VALUE!,,,,,,,,,,,,,
204.11922, ,118 277.347  ,1.5,,,,,,,,,,,,,
204.1537, ,103 869.046  ,1.5,,,,,,,,,,,,,
204.1767, ,122 355.101  ,4.5,,,,,,,,,,,,,
204.2254, ,114 646.097  ,3.5,,,,,,,,,,,,,
204.2254, ,113 236.296  ,2.5,,,,,,,,,,,,, 
 , , ,#VALUE!,,,,,,,,,,,,,
204.3246, ,114 482.464  ,4.5,,,,,,,,,,,,,
204.3246, ,112 966.779  ,3.5,,,,,,,,,,,,,
204.33233, ,62 829.071  ,0.5,,,,,,,,,,,,,
204.37825,1.50E+07,67 273.833  ,1.5,,,,,,,,,,,,,
204.4008, ,103 183.69   ,3.5,,,,,,,,,,,,, 
 , , ,#VALUE!,,,,,,,,,,,,,
