209.96659, ,60 172.464  ,3,,,,,,,,,,,,,,,
209.9904, ,47 606.114  ,3,,,,,,,,,,,,,,,
 , , ,2,,,,,,,,,,,,,,,
210.01462, ,48 304.643  , ,,,,,,,,,,,,,,,
210.0614, ,47 590.048  ,5,,,,,,,,,,,,,,,
210.07977, ,48 289.871  ,3,,,,,,,,,,,,,,,
210.23536, ,47 966.585  ,5,,,,,,,,,,,,,,,
210.29104, ,48 516.138  ,3,,,,,,,,,,,,,,,
 , , ,3,,,,,,,,,,,,,,,
210.30529, ,48 238.847  , ,,,,,,,,,,,,,,,
210.30607, ,60 095.599  ,4,,,,,,,,,,,,,,,
210.3972, ,47 929.997  ,3,,,,,,,,,,,,,,,
210.626, ,48 350.606  ,4,,,,,,,,,,,,,,,
210.63947, ,48 163.446  ,4,,,,,,,,,,,,,,,
 , , ,2,,,,,,,,,,,,,,,
210.6693, ,47 452.717  , ,,,,,,,,,,,,,,,
210.8137, ,47 420.228  ,5,,,,,,,,,,,,,,,
210.81937, ,48 122.928  ,2,,,,,,,,,,,,,,,
210.83027, ,48 304.643  ,1,,,,,,,,,,,,,,,
210.8959, ,48 289.871  ,4,,,,,,,,,,,,,,,
 , , ,2,,,,,,,,,,,,,,,
211.02353, ,54 301.340  , ,,,,,,,,,,,,,,,
211.12322, ,48 238.847  ,3,,,,,,,,,,,,,,,
211.29687, ,48 289.871  ,1,,,,,,,,,,,,,,,
211.30871, ,54 237.415  ,1,,,,,,,,,,,,,,,
211.45995, ,48 163.446  ,3,,,,,,,,,,,,,,,
 , , ,5,,,,,,,,,,,,,,,
211.51699, ,47 966.585  , ,,,,,,,,,,,,,,,
211.7798, ,60 172.464  ,2,,,,,,,,,,,,,,,
211.91365, ,47 590.048  ,4,,,,,,,,,,,,,,,
212.18687, ,59 089.628  ,1,,,,,,,,,,,,,,,
212.21784, ,47 106.484  ,3,,,,,,,,,,,,,,,
 , , ,1,,,,,,,,,,,,,,,
212.2799, ,47 092.712  , ,,,,,,,,,,,,,,,
212.2957, ,54 017.581  ,2,,,,,,,,,,,,,,,
212.31244, ,54 013.752  ,4,,,,,,,,,,,,,,,
212.45014, ,53 983.293  ,4,,,,,,,,,,,,,,,
212.5324, ,47 452.717  ,1,,,,,,,,,,,,,,,
 , , ,2,,,,,,,,,,,,,,,
212.62105, ,47 017.188  , ,,,,,,,,,,,,,,,
212.66093, ,47 008.371  ,4,,,,,,,,,,,,,,,
212.68164, ,47 419.687  ,5,,,,,,,,,,,,,,,
212.7474, ,47 693.239  ,3,,,,,,,,,,,,,,,
212.78644, ,54 357.405  ,2,,,,,,,,,,,,,,,
 , , ,1,,,,,,,,,,,,,,,
212.7969, ,54 706.387  , ,,,,,,,,,,,,,,,
213.04075, ,54 301.340  ,4,,,,,,,,,,,,,,,
213.04404, ,53 852.114  ,2,,,,,,,,,,,,,,,
213.09658, ,54 289.034  ,1,,,,,,,,,,,,,,,
213.20171,7.60E+06,46 889.142  ,4,,,,,,,,,,,,,,,
 , , ,2,,,,,,,,,,,,,,,
213.33134, ,54 237.415  , ,,,,,,,,,,,,,,,
213.50994, ,54 807.250  ,3,,,,,,,,,,,,,,,
213.59605, ,54 530.653  ,3,,,,,,,,,,,,,,,
213.6941, ,47 197.010  ,4,,,,,,,,,,,,,,,
213.80026, ,54 134.655  ,3,,,,,,,,,,,,,,,
 , , ,4,,,,,,,,,,,,,,,
213.85924,2.80E+06,46 744.993  , ,,,,,,,,,,,,,,,
213.9698, ,46 720.842  ,3,,,,,,,,,,,,,,,
 , ,47 136.084  ,4,,,,,,,,,,,,,,,
213.99344, ,47 419.687  ,5,,,,,,,,,,,,,,,
214.10858, ,47 106.484  ,5,,,,,,,,,,,,,,,
 , , ,4,,,,,,,,,,,,,,,
214.14717, ,53 610.412  , ,,,,,,,,,,,,,,,
214.17181, ,47 092.712  ,3,,,,,,,,,,,,,,,
214.2146, ,47 555.610  ,5,,,,,,,,,,,,,,,
214.25662, ,53 586.510  ,2,,,,,,,,,,,,,,,
214.28316, ,54 807.250  ,3,,,,,,,,,,,,,,,
 , , ,3,,,,,,,,,,,,,,,
214.33692, ,54 017.581  , ,,,,,,,,,,,,,,,
214.355, ,54 013.752  ,2,,,,,,,,,,,,,,,
214.38964, ,54 357.405  ,4,,,,,,,,,,,,,,,
214.44485, ,54 603.140  ,4,,,,,,,,,,,,,,,
214.45681, ,54 342.779  ,3,,,,,,,,,,,,,,,
 , , ,4,,,,,,,,,,,,,,,
214.51895,5.70E+06,47 017.188  , ,,,,,,,,,,,,,,,
214.62821, ,47 555.610  ,4,,,,,,,,,,,,,,,
214.67205, ,47 272.027  ,1,,,,,,,,,,,,,,,
214.70454, ,54 289.034  ,2,,,,,,,,,,,,,,,
214.7479, ,54 706.387  ,2,,,,,,,,,,,,,,,
 , , ,3,,,,,,,,,,,,,,,
214.77883, ,54 530.653  , ,,,,,,,,,,,,,,,
214.84031, ,47 419.687  ,3,,,,,,,,,,,,,,,
214.84928, ,54 257.679  ,4,,,,,,,,,,,,,,,
214.91786, ,53 891.526  ,2,,,,,,,,,,,,,,,
214.96294, ,53 881.806  ,2,,,,,,,,,,,,,,,
 , , ,4,,,,,,,,,,,,,,,
215.01847, ,47 197.010  , ,,,,,,,,,,,,,,,
215.10023, ,53 852.114  ,4,,,,,,,,,,,,,,,
215.10994, ,47 177.234  ,3,,,,,,,,,,,,,,,
215.10994, ,46 889.142  ,1,,,,,,,,,,,,,,,
215.16953, ,53 388.637  ,5,,,,,,,,,,,,,,,
 , , ,1,,,,,,,,,,,,,,,
215.22487, ,54 603.140  , ,,,,,,,,,,,,,,,
215.248007, , ,4,,,,,,,,,,,,,,,
215.30065,6.90E+06,47 136.084  ,5,,,,,,,,,,,,,,,
