wl,A,E,g,,,,,,,,,,,
338.368, ,33 811.567 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
340.491, ,31 234.878 ,2.5,,,,,,,,,,, 
340.598, ,33 811.567 ,4.5,,,,,,,,,,,
341.745, ,34 928.969 ,4.5,,,,,,,,,,,
342.271,1.94E+07,32 802.165 ,5.5,,,,,,,,,,,
342.621,1.55E+07,30 166.057 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
344.121, ,31 930.936 ,4.5,,,,,,,,,,, 
347.684, ,39 394.990 ,3.5,,,,,,,,,,,
348.235, ,33 552.582 ,2.5,,,,,,,,,,,
348.505,2.49E+07,28 685.758 ,2.5,,,,,,,,,,,
350.794,6.00E+06,29 908.904 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
351.738, ,35 716.083 ,5.5,,,,,,,,,,, 
352.052,8.30E+06,29 807.078 ,3.5,,,,,,,,,,,
352.188, ,33 296.805 ,4.5,,,,,,,,,,,
352.668, ,36 516.798 ,1.5,,,,,,,,,,,
353.405,3.24E+07,32 492.038 ,5.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
353.908,3.57E+07,30 829.124 ,3.5,,,,,,,,,,, 
354.56, ,31 075.603 ,4.5,,,,,,,,,,,
354.619, ,30 065.164 ,3.5,,,,,,,,,,,
355.273,9.80E+06,30 702.610 ,4.5,,,,,,,,,,,
355.5,1.55E+07,30 702.610 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
356.08,7.30E+07,33 531.388 ,6.5,,,,,,,,,,, 
357.623, ,29 364.740 ,3.5,,,,,,,,,,,
357.745,6.00E+07,31 738.484 ,5.5,,,,,,,,,,,
359.06, ,33 811.567 ,4.5,,,,,,,,,,,
360.763, ,33 148.589 ,2.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
360.969, ,34 928.969 ,4.5,,,,,,,,,,, 
361.37, ,31 930.936 ,4.5,,,,,,,,,,,
362.215, ,34 513.468 ,6.5,,,,,,,,,,,
362.374, ,33 552.582 ,2.5,,,,,,,,,,,
362.374, ,33 552.582 ,2.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
362.384, ,33 977.140 ,3.5,,,,,,,,,,, 
363.119, ,31 234.878 ,2.5,,,,,,,,,,,
364.697,1.50E+07,29 794.517 ,3.5,,,,,,,,,,,
364.775, ,34 928.969 ,4.5,,,,,,,,,,,
364.795, ,35 807.568 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
365.311,1.62E+07,30 245.878 ,4.5,,,,,,,,,,, 
365.367,2.28E+07,31 155.623 ,6.5,,,,,,,,,,,
365.497,1.25E+07,29 994.041 ,2.5,,,,,,,,,,,
365.585,4.49E+07,29 908.904 ,4.5,,,,,,,,,,,
365.923,1.32E+07,28 730.712 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
365.997,9.20E+06,28 725.148 ,4.5,,,,,,,,,,, 
366.064,1.98E+07,28 297.473 ,3.5,,,,,,,,,,,
366.798,2.82E+07,30 134.910 ,5.5,,,,,,,,,,,
367.279, ,34 513.468 ,6.5,,,,,,,,,,,
367.942, ,35 346.282 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
369.491,5.00E+06,29 438.817 ,5.5,,,,,,,,,,, 
370.498,6.20E+06,32 802.165 ,5.5,,,,,,,,,,,
370.929,2.94E+07,31 155.623 ,6.5,,,,,,,,,,,
370.993,2.63E+07,27 934.638 ,4.5,,,,,,,,,,,
371.637,3.10E+07,26 900.354 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
371.819, ,28 297.473 ,3.5,,,,,,,,,,, 
371.838, ,31 089.731 ,5.5,,,,,,,,,,,
371.98,8.00E+06,29 438.817 ,5.5,,,,,,,,,,,
372.568,1.28E+06,30 829.124 ,3.5,,,,,,,,,,,
372.568,2.00E+07,32 802.165 ,5.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
372.802,2.90E+07,32 492.038 ,5.5,,,,,,,,,,, 
372.842,4.31E+07,32 269.252 ,7.5,,,,,,,,,,,
374.806,1.78E+07,32 492.038 ,5.5,,,,,,,,,,,
375.145, ,36 923.789 ,4.5,,,,,,,,,,,
375.543, ,29 984.052 ,1.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
376.298, ,33 908.193 ,4.5,,,,,,,,,,, 
376.412,2.14E+07,29 438.817 ,5.5,,,,,,,,,,,
376.504, ,31 075.603 ,4.5,,,,,,,,,,,
376.876, ,34 928.969 ,4.5,,,,,,,,,,,
377.076, ,33 574.145 ,1.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
377.16,1.67E+07,30 829.124 ,3.5,,,,,,,,,,, 
377.661,1.00E+07,30 065.164 ,3.5,,,,,,,,,,,
378.162,2.56E+07,30 702.610 ,4.5,,,,,,,,,,,
378.252, ,30 425.349 ,2.5,,,,,,,,,,,
378.358, ,32 138.698 ,2.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
378.663,2.51E+07,27 811.496 ,3.5,,,,,,,,,,, 
378.875,1.65E+07,30 180.096 ,6.5,,,,,,,,,,,
379.232,1.81E+07,30 065.164 ,3.5,,,,,,,,,,,
380.152,1.39E+08,33 531.388 ,6.5,,,,,,,,,,,
380.309,2.49E+07,29 166.597 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
