wl,A,E,g,,,,,,,,,,,
427.886,6.30E+06,25 945.396 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
428.537, ,30 669.702 ,4.5,,,,,,,,,,, 
428.866,5.25E+06,25 945.396 ,3.5,,,,,,,,,,,
428.944,8.00E+06,26 900.354 ,3.5,,,,,,,,,,,
428.994,5.84E+07,25 945.396 ,3.5,,,,,,,,,,,
429.607, ,32 197.982 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
429.607,5.10E+06,29 908.904 ,4.5,,,,,,,,,,, 
429.667,5.32E+07,27 432.782 ,4.5,,,,,,,,,,,
429.678,2.35E+07,30 180.096 ,6.5,,,,,,,,,,,
429.936,9.90E+06,24 663.053 ,4.5,,,,,,,,,,,
430.033,2.21E+07,26 841.384 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
430.514,2.03E+07,30 134.910 ,5.5,,,,,,,,,,, 
430.672,2.42E+07,27 378.515 ,5.5,,,,,,,,,,,
430.974,1.55E+07,26 900.354 ,3.5,,,,,,,,,,,
432.072,1.45E+07,26 841.384 ,4.5,,,,,,,,,,,
433.045,1.30E+07,25 681.488 ,1.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
433.271,9.20E+06,28 725.148 ,4.5,,,,,,,,,,, 
433.271,2.54E+06,27 811.496 ,3.5,,,,,,,,,,,
433.623, ,28 730.712 ,3.5,,,,,,,,,,,
433.628, ,27 514.660 ,3.5,,,,,,,,,,,
433.777,4.35E+07,25 681.488 ,1.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
433.931, ,33 908.193 ,4.5,,,,,,,,,,, 
434.979,1.40E+07,28 634.516 ,5.5,,,,,,,,,,,
434.979,1.11E+07,27 249.669 ,2.5,,,,,,,,,,,
435.271,3.29E+07,27 812.398 ,2.5,,,,,,,,,,,
436.466,2.95E+07,26 900.354 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
437.382,9.70E+06,27 379.949 ,5.5,,,,,,,,,,, 
437.592,1.49E+07,26 841.384 ,4.5,,,,,,,,,,,
438.217,3.92E+07,28 327.071 ,5.5,,,,,,,,,,,
438.684,1.43E+07,24 663.053 ,4.5,,,,,,,,,,,
438.801,1.18E+07,29 750.547 ,5.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
439.166,5.29E+07,25 359.686 ,2.5,,,,,,,,,,, 
439.879,7.50E+06,27 187.047 ,3.5,,,,,,,,,,,
439.92,2.11E+07,25 359.686 ,2.5,,,,,,,,,,,
441.064, ,33 535.636 ,3.5,,,,,,,,,,,
441.076, ,30 120.406 ,1.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
441.69,7.40E+06,26 900.354 ,3.5,,,,,,,,,,, 
441.878,4.51E+07,29 591.873 ,6.5,,,,,,,,,,,
442.368, ,31 130.983 ,3.5,,,,,,,,,,,
442.707,9.90E+06,25 945.396 ,3.5,,,,,,,,,,,
442.792,1.67E+07,26 900.354 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
442.844,9.00E+06,26 841.384 ,4.5,,,,,,,,,,, 
442.927, ,31 344.828 ,3.5,,,,,,,,,,,
444.439, ,29 948.914 ,2.5,,,,,,,,,,,
444.47, ,31 024.076 ,2.5,,,,,,,,,,,
444.934,3.10E+07,27 379.949 ,5.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
445.073,2.30E+07,27 975.619 ,4.5,,,,,,,,,,, 
446.021,8.00E+07,26 268.203 ,3.5,,,,,,,,,,,
446.114,2.31E+07,29 750.547 ,5.5,,,,,,,,,,,
446.341, ,30 120.406 ,1.5,,,,,,,,,,,
446.754, ,26 900.354 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
447.124,5.60E+07,27 975.619 ,4.5,,,,,,,,,,, 
447.272,1.06E+07,25 945.396 ,3.5,,,,,,,,,,,
447.936,1.20E+07,26 841.384 ,4.5,,,,,,,,,,,
447.936,9.80E+06,25 681.488 ,1.5,,,,,,,,,,,
448.39,3.49E+07,29 263.338 ,5.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
448.691,2.20E+07,24 663.053 ,4.5,,,,,,,,,,, 
449.785, ,29 948.914 ,2.5,,,,,,,,,,,
451.586, ,30 669.702 ,4.5,,,,,,,,,,,
451.959, ,32 989.218 ,3.5,,,,,,,,,,,
452.308,3.42E+07,26 268.203 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
452.735,2.10E+07,24 663.053 ,4.5,,,,,,,,,,, 
452.735,4.60E+06,29 794.517 ,3.5,,,,,,,,,,,
452.847,4.52E+07,29 043.854 ,6.5,,,,,,,,,,,
453.249, ,35 716.083 ,5.5,,,,,,,,,,,
453.907, ,33 040.353 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
453.975,2.67E+07,24 663.053 ,4.5,,,,,,,,,,, 
454.496,8.80E+06,25 359.686 ,2.5,,,,,,,,,,,
455.13,1.22E+07,27 934.638 ,4.5,,,,,,,,,,,
456.028,4.07E+07,29 263.338 ,5.5,,,,,,,,,,,
456.096,1.78E+07,27 432.782 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
456.236,5.18E+07,25 766.355 ,4.5,,,,,,,,,,, 
456.584, ,30 669.702 ,4.5,,,,,,,,,,,
457.228,4.37E+07,27 378.515 ,5.5,,,,,,,,,,,
458.25,1.41E+07,27 432.782 ,4.5,,,,,,,,,,,
459.112,1.22E+07,30 702.610 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
459.393,3.11E+07,27 378.515 ,5.5,,,,,,,,,,, 
460.64,1.95E+07,29 043.854 ,6.5,,,,,,,,,,,
462.49, ,30 669.702 ,4.5,,,,,,,,,,,
462.816,4.25E+07,25 766.355 ,4.5,,,,,,,,,,,
465.429,8.70E+06,25 681.488 ,1.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
466.95, ,32 864.278 ,5.5,,,,,,,,,,, 
468.013,1.26E+07,29 892.677 ,3.5,,,,,,,,,,,
468.461,1.03E+07,28 634.516 ,5.5,,,,,,,,,,,
471.4,1.17E+07,30 134.910 ,5.5,,,,,,,,,,,
471.481,7.50E+06,29 735.413 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
472.509, ,25 359.686 ,2.5,,,,,,,,,,, 
473.352, ,31 234.878 ,2.5,,,,,,,,,,,
473.728,2.90E+07,29 892.677 ,3.5,,,,,,,,,,,
473.953, ,31 151.534 ,5.5,,,,,,,,,,,
474.717, ,23 640.563 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
475.784,5.70E+06,28 725.148 ,4.5,,,,,,,,,,, 
476.877,4.70E+06,27 975.619 ,4.5,,,,,,,,,,,
477.394,2.00E+07,28 396.150 ,2.5,,,,,,,,,,,
488.246,3.58E+07,32 802.165 ,5.5,,,,,,,,,,,
497.15, ,34 513.468 ,6.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
501.177,1.43E+07,28 396.150 ,2.5,,,,,,,,,,, 
502.287,9.20E+06,28 327.071 ,5.5,,,,,,,,,,,
503.778,7.00E+06,27 975.619 ,4.5,,,,,,,,,,,
504.402,1.35E+07,29 591.873 ,6.5,,,,,,,,,,,
507.535,1.15E+07,27 975.619 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
507.968, ,30 846.582 ,7.5,,,,,,,,,,, 
511.717, ,30 846.582 ,7.5,,,,,,,,,,,
514.757,1.25E+07,29 735.413 ,4.5,,,,,,,,,,,
518.746,2.62E+07,29 043.854 ,6.5,,,,,,,,,,,
519.166,7.80E+06,26 268.203 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
523.292,1.00E+07,29 750.547 ,5.5,,,,,,,,,,, 
526.571,1.00E+07,29 043.854 ,6.5,,,,,,,,,,,
527.423,2.68E+07,27 378.515 ,5.5,,,,,,,,,,,
533.054,9.30E+06,25 766.355 ,4.5,,,,,,,,,,,
535.353,2.88E+07,25 766.355 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
539.34,1.99E+07,27 432.782 ,4.5,,,,,,,,,,, 
540.923,9.80E+06,27 378.515 ,5.5,,,,,,,,,,,
546.837,1.34E+07,29 591.873 ,6.5,,,,,,,,,,,
547.229, ,28 327.071 ,5.5,,,,,,,,,,,
551.208,1.13E+07,26 268.203 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
603.358, ,34 044.441 ,4.5,,,,,,,,,,, 
603.42,3.50E+06,28 327.071 ,5.5,,,,,,,,,,,
603.549,2.37E+06,29 591.873 ,6.5,,,,,,,,,,,
604.339,7.50E+06,26 268.203 ,3.5,,,,,,,,,,,
605.18, ,18 393.327 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
609.834, ,30 669.702 ,4.5,,,,,,,,,,, 
610.874,4.20E+06,29 892.677 ,3.5,,,,,,,,,,,
613.2, ,31 130.983 ,3.5,,,,,,,,,,,
614.336, ,29 948.914 ,2.5,,,,,,,,,,,
623.245,2.20E+06,25 766.355 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
627.205,1.11E+07,28 396.150 ,2.5,,,,,,,,,,, 
629.951, ,31 151.534 ,5.5,,,,,,,,,,,
634.395, ,18 393.327 ,3.5,,,,,,,,,,,
637.111,6.60E+06,28 396.150 ,2.5,,,,,,,,,,,
639.302, ,27 379.949 ,5.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
642.529, ,33 535.636 ,3.5,,,,,,,,,,, 
646.688,3.60E+06,29 735.413 ,4.5,,,,,,,,,,,
650.327, ,32 372.621 ,4.5,,,,,,,,,,,
650.716,1.39E+06,29 750.547 ,5.5,,,,,,,,,,,
651.359, ,29 735.413 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
660.686, ,28 349.582 ,3.5,,,,,,,,,,, 
665.272, ,27 353.67  ,7.5,,,,,,,,,,,
667.554, ,27 432.782 ,4.5,,,,,,,,,,,
670.452, ,34 861.526 ,5.5,,,,,,,,,,,
670.604,1.92E+06,29 735.413 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
674.47, ,28 349.582 ,3.5,,,,,,,,,,, 
677.428, ,27 975.619 ,4.5,,,,,,,,,,,
682.973,1.68E+06,29 263.338 ,5.5,,,,,,,,,,,
689.845, ,32 885.367 ,2.5,,,,,,,,,,,
697.35, ,33 040.353 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
698.382,8.80E+05,27 432.782 ,4.5,,,,,,,,,,, 
705.868, ,16 545.269 ,5.5,,,,,,,,,,,
706.175,8.10E+06,29 750.547 ,5.5,,,,,,,,,,,
708.635,1.26E+07,31 340.393 ,6.5,,,,,,,,,,,
710.504, ,18 393.327 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
711.508, ,28 327.071 ,5.5,,,,,,,,,,, 
715.023, ,29 263.338 ,5.5,,,,,,,,,,,
718.94, ,27 432.782 ,4.5,,,,,,,,,,,
720.156, ,18 393.327 ,3.5,,,,,,,,,,,
723.836,1.96E+06,26 268.203 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
730.142, ,28 096.58  ,8.5,,,,,,,,,,, 
731.345, ,29 263.338 ,5.5,,,,,,,,,,,
733.468, ,33 111.163 ,3.5,,,,,,,,,,,
741.794, ,15 859.363 ,4.5,,,,,,,,,,,
748.657, ,33 908.193 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
761.611, ,25 492.251 ,5.5,,,,,,,,,,, 
768.917, ,25 753.492 ,6.5,,,,,,,,,,,
784.494, ,27 706.631 ,6.5,,,,,,,,,,,
785.002, ,18 704.313 ,5.5,,,,,,,,,,,
785.118,1.99E+06,28 327.071 ,5.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
785.754, ,19 982.187 ,4.5,,,,,,,,,,, 
789.896, ,19 950.340 ,6.5,,,,,,,,,,,
793.45, ,28 117.519 ,7.5,,,,,,,,,,,
802.556, ,12 456.746 ,3.5,,,,,,,,,,,
824.155, ,13 117.922 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
841.823, ,18 393.327 ,3.5,,,,,,,,,,, 
853.908, ,13 117.922 ,4.5,,,,,,,,,,,
870.238, ,15 281.602 ,6.5,,,,,,,,,,,
877.214, ,14 276.298 ,5.5,,,,,,,,,,,
889.12, ,13 117.922 ,4.5,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,, 
