 , , ,#VALUE!
373.554, ,31 274.810  ,5.5
373.56, ,43 326.665  ,3.5
373.71,7.80E+06,29 336.730  ,5.5
373.806,3.08E+07,31 256.770  ,6.5
374.142,9.90E+06,27 233.525  ,4.5
 , , ,#VALUE!
374.985, ,28 129.850  ,5.5
374.985, ,40 919.565  ,7.5
375.031, ,38 917.555  ,8.5
375.249,2.43E+07,31 153.855  ,6.5
375.2679,8.90E+06,26 640.080  ,3.5
 , , ,#VALUE!
375.483, ,36 716.205  ,4.5
375.56,4.90E+06,28 089.470  ,6.5
375.782,9.10E+06,30 405.580  ,7.5
375.895,3.94E+07,32 581.320  ,6.5
375.979,9.30E+06,31 675.295  ,8.5
 , , ,#VALUE!
376.347,2.18E+07,28 213.865  ,3.5
376.659, ,37 522.245  ,8.5
376.9644,8.50E+06,28 170.445  ,4.5
377.55,3.89E+07,32 464.635  ,7.5
377.634, ,37 267.495  ,7.5
 , , ,#VALUE!
377.947,1.28E+07,27 921.385  ,4.5
378.0391,1.16E+07,30 246.770  ,8.5
378.132, ,32 423.943  ,7.5
378.378, ,41 597.330  ,9.5
378.425,5.50E+07,29 484.605  ,5.5
 , , ,#VALUE!
378.473, ,39 015.380  ,8.5
379.15, ,29 434.255  ,6.5
379.15, ,38 698.650  ,4.5
379.545,1.04E+07,27 990.035  ,4.5
379.955, ,27 781.760  ,5.5
 , , ,#VALUE!
380.112,8.80E+06,30 813.108  ,6.5
380.138, ,35 496.685  ,2.5
380.138,2.01E+06,27 769.432  ,5.5
380.23, ,26 292.502  ,3.5
380.23,2.72E+06,30 094.850  ,7.5
 , , ,#VALUE!
380.347,1.88E+07,27 934.515  ,4.5
380.41,1.83E+06,26 793.331  ,3.5
380.5359,4.05E+07,27 921.385  ,4.5
380.5359,1.55E+07,28 856.895  ,7.5
380.555,1.01E+07,29 336.730  ,5.5
 , , ,#VALUE!
380.7227, ,37 635.835  ,2.5
380.7227, ,36 312.595  ,6.5
380.7227,1.19E+06,26 772.080  ,5.5
380.877,8.60E+06,26 761.095  ,5.5
380.906,7.80E+06,26 759.225  ,4.5
 , , ,#VALUE!
381.049,2.10E+07,32 221.570  ,7.5
381.106,6.60E+06,29 298.625  ,4.5
381.1774,2.53E+06,26 227.090  ,4.5
381.253, ,40 133.480  ,8.5
381.473,1.44E+07,26 206.805  ,3.5
 , , ,#VALUE!
381.97,6.00E+06,29 239.381  ,5.5
382.247, ,29 955.410  ,7.5
382.247, ,29 220.567  ,4.5
382.6416,2.21E+07,26 640.080  ,3.5
382.8,8.60E+06,26 116.025  ,2.5
 , , ,#VALUE!
382.885, ,32 095.740  ,6.5
382.916,1.10E+07,32 093.645  ,7.5
383.047, ,41 786.795? ,10.5
383.047, ,42 664.600  ,3.5
383.654,1.40E+07,30 570.210  ,6.5
 , , ,#VALUE!
383.791,5.10E+06,27 518.405  ,5.5
383.8981,4.33E+07,26 041.195  ,2.5
383.951, ,35 485.930  ,7.5
384.182, ,29 088.724  ,6.5
384.188, ,39 638.205  ,8.5
 , , ,#VALUE!
384.8233,1.79E+07,27 448.710  ,6.5
384.831,1.61E+07,28 563.485  ,6.5
384.852, ,29 043.450  ,4.5
385.022, ,37 406.260  ,2.5
385.166,9.10E+06,28 540.945  ,7.5
 , , ,#VALUE!
385.1748, ,27 425.000  ,4.5
385.855,4.23E+06,26 422.540  ,3.5
386.094,8.00E+06,30 405.580  ,7.5
386.252,6.50E+06,27 352.290  ,5.5
386.3327,1.17E+07,25 877.160  ,4.5
 , , ,#VALUE!
386.3409,7.20E+07,25 876.545  ,2.5
386.652, ,26 369.050  ,3.5
386.681,6.20E+06,27 504.112  ,3.5
386.9045,1.16E+07,27 308.945  ,6.5
387.574,7.50E+06,27 444.525  ,3.5
 , , ,#VALUE!
387.587,1.41E+07,28 860.164  ,5.5
387.858,1.36E+07,27 245.450  ,5.5
387.955,1.95E+07,28 354.405  ,6.5
388.038,1.14E+07,27 233.525  ,4.5
388.0779,1.79E+07,26 274.090  ,5.5
 , , ,#VALUE!
388.7866,7.40E+06,26 227.090  ,4.5
388.966,1.84E+06,27 352.290  ,5.5
388.993,2.89E+07,28 285.610  ,5.5
389.058,3.80E+07,30 781.490  ,8.5
389.094,3.34E+07,26 206.805  ,3.5
 , , ,#VALUE!
389.151,1.78E+07,31 675.295  ,8.5
389.206, ,37 434.915  ,3.5
389.4627,1.01E+07,26 182.480  ,5.5
389.613,4.48E+06,28 725.933  ,6.5
389.763, ,27 299.543  ,3.5
 , , ,#VALUE!
390.021,3.95E+07,29 434.255  ,6.5
390.184, ,30 707.280  ,7.5
390.589,1.90E+07,27 245.450  ,5.5
390.77, ,27 233.525  ,4.5
390.77, ,37 701.700  ,7.5
 , , ,#VALUE!
390.784,1.50E+07,30 094.850  ,7.5
391.116,3.47E+07,29 362.520  ,7.5
391.223, ,33 563.525  ,6.5
391.369,3.21E+06,27 014.265  ,4.5
391.513, ,28 602.040  ,4.5
 , , ,#VALUE!
391.595,8.30E+06,27 179.602  ,4.5
391.765, ,36 312.595  ,6.5
391.992, ,45 801.380  ,7.5
391.992, ,31 489.109  ,7.5
391.992,1.95E+06,28 089.470  ,6.5
 , , ,#VALUE!
392.096,3.18E+07,28 563.485  ,6.5
392.71,1.12E+07,26 926.995  ,4.5
392.926, ,29 955.410  ,7.5
393.482,1.37E+07,27 992.425  ,5.5
393.611, ,37 485.698  ,5.5
 , , ,#VALUE!
393.886, ,38 429.465  ,6.5
394.1512,4.13E+07,25 877.160  ,4.5
395.1154,3.93E+07,26 772.080  ,5.5
395.2195, ,35 734.450  ,1.5
395.2195,2.15E+07,25 295.280  ,3.5
 , , ,#VALUE!
395.287,7.60E+06,26 761.095  ,5.5
395.352,1.25E+07,29 088.724  ,6.5
395.745, ,37 522.245  ,8.5
395.8001,9.00E+06,25 771.515  ,4.5
396.221,7.10E+06,27 816.795  ,7.5
 , , ,#VALUE!
396.3114,3.98E+07,29 027.535  ,8.5
396.39,1.14E+07,30 306.150  ,7.5
397.3269,5.40E+07,30 246.770  ,8.5
397.365,2.24E+07,27 744.190  ,6.5
