,,,#VALUE!,,,,,,,,,,,,,
316.5878,2.89E+06,112 197.17 ,1.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,5.69E+05,112 197.17 ,1.5,,,,,,,,,,,,,
316.8951,3.43E+06,112 197.05 ,2.5,,,,,,,,,,,,,
317.2706,3.41E+06,112 129.20 ,0.5,,,,,,,,,,,,,
317.5783,6.81E+06,112 129.20 ,0.5,,,,,,,,,,,,,
353.4972,5.80E+06,108 900.20 ,1.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,1.15E+06,108 900.20 ,1.5,,,,,,,,,,,,,
353.8813,6.90E+06,108 900.02 ,2.5,,,,,,,,,,,,,
354.9516,5.64E+06,108 784.33 ,0.5,,,,,,,,,,,,,
355.3366,1.12E+07,108 784.33 ,0.5,,,,,,,,,,,,,
361.3781,1.79E+05,97 468.92 ,1.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
361.5583,1.56E+05,97 455.12 ,0.5,,,,,,,,,,,,,
384.8209,2.96E+06,97 468.92 ,1.5,,,,,,,,,,,,,
384.8335,3.29E+05,97 468.92 ,1.5,,,,,,,,,,,,,
385.0385,3.24E+06,97 455.12 ,0.5,,,,,,,,,,,,,
419.3482, ,117 639.51 ,3.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
419.3482, ,117 639.51 ,4.5,,,,,,,,,,,,,
424.2445, ,116 875.25 ,3.5,,,,,,,,,,,,,
424.2543, ,116 875.25 ,2.5,,,,,,,,,,,,,
433.1945, ,116 877.54 ,3.5,,,,,,,,,,,,,
433.1945, ,116 877.54 ,4.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,2.46E+05,[116 195.1] ,1.5,,,,,,,,,,,,,
 ,2.74E+04,[116 195.1] ,1.5,,,,,,,,,,,,,
 ,2.74E+05,[116 193.7] ,0.5,,,,,,,,,,,,,
438.4637,1.45E+07,103 420.00 ,1.5,,,,,,,,,,,,,
 ,2.88E+06,103 420.00 ,1.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
439.0564,1.73E+07,103 419.70 ,2.5,,,,,,,,,,,,,
442.7994,1.05E+07,103 196.75 ,0.5,,,,,,,,,,,,,
443.399,2.10E+07,103 196.75 ,0.5,,,,,,,,,,,,,
443.6486,6.38E+06,115 844.60 ,3.5,,,,,,,,,,,,,
 ,4.25E+05,115 844.60 ,2.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
443.6598,5.95E+06,115 844.60 ,2.5,,,,,,,,,,,,,
448.113,2.33E+08,93 799.75 ,3.5,,,,,,,,,,,,,
 ,1.55E+07,93 799.63 ,2.5,,,,,,,,,,,,,
448.1327,2.17E+08,93 799.63 ,2.5,,,,,,,,,,,,,
 ,5.58E+03,114 898.72 ,1.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,6.83E+03,114 896.79 ,0.5,,,,,,,,,,,,,
453.4291, ,115 847.67 ,3.5,,,,,,,,,,,,,
453.4291, ,115 847.67 ,4.5,,,,,,,,,,,,,
 ,1.15E+05,115 794.44 ,1.5,,,,,,,,,,,,,
 ,5.47E+03,115 794.39 ,2.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,1.10E+05,115 794.39 ,2.5,,,,,,,,,,,,,
 ,1.95E-06,93 311.11 ,1.5,,,,,,,,,,,,,
 ,2.36E+01,93 311.11 ,1.5,,,,,,,,,,,,,
 ,2.03E-05,93 310.59 ,2.5,,,,,,,,,,,,,
 ,6.30E+01,93 310.59 ,2.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,5.42E-06,93 311.11 ,1.5,,,,,,,,,,,,,
 ,5.51E+01,93 311.11 ,1.5,,,,,,,,,,,,,
 ,3.74E-07,93 310.59 ,2.5,,,,,,,,,,,,,
 ,1.57E+01,93 310.59 ,2.5,,,,,,,,,,,,,
463.0878,2.75E+05,114 898.72 ,1.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,3.06E+04,114 898.72 ,1.5,,,,,,,,,,,,,
463.1405,3.01E+05,114 896.79 ,0.5,,,,,,,,,,,,,
473.9588,8.09E+06,114 403.55 ,3.5,,,,,,,,,,,,,
 ,5.39E+05,114 403.55 ,2.5,,,,,,,,,,,,,
473.9712,7.55E+06,114 403.55 ,2.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
485.1082, ,114 407.88 ,3.5,,,,,,,,,,,,,
485.1082, ,114 407.88 ,4.5,,,,,,,,,,,,,
 ,7.10E+03,114 332.68 ,2.5,,,,,,,,,,,,,
486.8845,1.50E+05,114 332.74 ,1.5,,,,,,,,,,,,,
486.8845,1.41E+05,114 332.68 ,2.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,1.33E+03,113 033.09 ,1.5,,,,,,,,,,,,,
 ,2.11E+03,113 030.25 ,0.5,,,,,,,,,,,,,
506.8937,3.97E+05,113 033.09 ,1.5,,,,,,,,,,,,,
 ,4.43E+04,113 033.09 ,1.5,,,,,,,,,,,,,
506.9802,4.35E+05,113 030.25 ,0.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,4.37E+05,116 838.48 ,1.5,,,,,,,,,,,,,
 ,8.73E+04,116 838.48 ,1.5,,,,,,,,,,,,,
 ,5.24E+05,116 838.45 ,2.5,,,,,,,,,,,,,
526.4215,1.27E+07,112 301.47 ,3.5,,,,,,,,,,,,,
 ,8.47E+05,112 301.47 ,2.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
526.4368,1.19E+07,112 301.47 ,2.5,,,,,,,,,,,,,
540.1543, ,112 307.79 ,3.5,,,,,,,,,,,,,
540.1543, ,112 307.79 ,4.5,,,,,,,,,,,,,
 ,1.16E+04,112 197.05 ,2.5,,,,,,,,,,,,,
543.4039,2.45E+05,112 197.17 ,1.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
543.4039,2.33E+05,112 197.05 ,2.5,,,,,,,,,,,,,
545.1259,1.03E+06,115 794.44 ,1.5,,,,,,,,,,,,,
