232.44,4.832e+2
232.47,7.574e+2
232.49,1.079e+3
232.52,1.946e+3
232.54,2.952e+3
232.57,5.504e+3
232.59,8.154e+3
232.62,1.380e+4
232.64,1.857e+4
232.66,2.380e+4
232.69,3.126e+4
232.71,3.502e+4
232.74,3.737e+4
232.76,3.636e+4
232.79,3.137e+4
232.81,2.652e+4
232.84,1.863e+4
232.86,1.387e+4
232.89,8.437e+3
232.91,6.199e+3
232.94,4.967e+3
232.96,5.533e+3
232.99,8.460e+3
233.01,1.180e+4
233.04,1.883e+4
233.06,2.473e+4
233.09,3.513e+4
233.11,4.309e+4
233.14,5.688e+4
233.16,6.752e+4
233.19,8.530e+4
233.21,9.733e+4
233.24,1.123e+5
233.26,1.178e+5
233.28,1.181e+5
233.31,1.080e+5
233.33,9.533e+4
233.36,7.131e+4
233.38,5.481e+4
233.41,3.329e+4
233.43,2.229e+4
233.46,1.109e+4
233.48,6.584e+3
233.51,2.926e+3
233.53,1.871e+3
