240.85,2.198e+4
240.87,2.450e+4
240.89,3.205e+4
240.92,5.331e+4
240.94,7.390e+4
240.97,1.120e+5
240.99,1.394e+5
241.02,1.766e+5
241.04,1.943e+5
241.07,2.048e+5
241.09,1.999e+5
241.12,1.771e+5
241.14,1.553e+5
241.17,1.207e+5
241.19,1.004e+5
241.22,7.876e+4
241.24,7.088e+4
241.27,6.685e+4
241.29,6.698e+4
241.32,6.701e+4
241.34,6.499e+4
241.37,5.758e+4
241.39,5.014e+4
241.42,3.722e+4
241.44,2.879e+4
241.46,2.135e+4
241.49,1.287e+4
241.51,9.061e+3
241.54,5.644e+3
241.56,4.500e+3
241.59,3.878e+3
241.61,3.951e+3
241.64,4.565e+3
