275.15,3.702e+4
275.18,4.392e+4
275.2,5.841e+4
275.23,9.740e+4
275.25,1.362e+5
275.28,2.140e+5
275.3,2.772e+5
275.33,3.819e+5
275.35,4.517e+5
275.38,5.433e+5
275.4,5.883e+5
275.43,6.238e+5
275.45,6.247e+5
275.47,6.090e+5
275.5,5.610e+5
275.52,5.178e+5
275.55,4.442e+5
275.57,3.927e+5
275.6,3.158e+5
275.62,2.664e+5
275.65,1.974e+5
275.67,1.563e+5
275.7,1.039e+5
275.72,7.601e+4
275.75,4.453e+4
275.77,2.981e+4
275.8,1.526e+4
275.82,9.349e+3
275.85,4.224e+3
275.87,2.417e+3
275.9,1.072e+3
275.92,7.080e+2
275.95,6.132e+2
275.97,7.601e+2
276,1.245e+3
