305.38,2.947e+2
305.41,3.175e+2
305.43,3.475e+2
305.45,3.962e+2
305.48,5.202e+2
305.5,6.488e+2
305.53,9.333e+2
305.55,1.196e+3
305.58,1.715e+3
305.6,2.144e+3
305.63,2.893e+3
305.65,3.441e+3
305.68,4.283e+3
305.7,4.822e+3
305.73,5.547e+3
305.75,5.953e+3
305.78,6.425e+3
305.8,6.643e+3
305.83,6.818e+3
305.85,6.826e+3
305.87,6.739e+3
305.9,6.416e+3
305.92,6.073e+3
305.95,5.388e+3
305.97,4.851e+3
306,4.005e+3
306.02,3.467e+3
306.05,2.781e+3
306.07,2.437e+3
306.1,2.110e+3
306.12,2.005e+3
306.15,1.969e+3
306.17,1.986e+3
306.2,2.004e+3
306.22,1.981e+3
306.24,1.915e+3
306.27,1.727e+3
306.29,1.553e+3
306.32,1.249e+3
306.34,1.040e+3
306.37,7.534e+2
306.39,5.982e+2
306.42,4.403e+2
