Wavelength (nm),Sum(calc),Ni I (2.4e-1),Ni II (7.6e-1),Ni III (2.5e-5)
231.704,2.140e+5,2.078e+5,6.139e+3,
231.714,2.241e+5,2.218e+5,2.307e+3,
231.724,2.165e+5,2.157e+5,7.897e+2,
231.734,1.914e+5,1.911e+5,2.463e+2,
231.744,1.543e+5,1.543e+5,6.998e+1,
231.754,1.135e+5,1.135e+5,1.811e+1,
231.764,7.602e+4,7.602e+4,4.270e+0,
231.773,4.896e+4,4.896e+4,1.074e+0,
231.783,2.748e+4,2.748e+4,2.122e-1,
231.793,1.406e+4,1.406e+4,3.818e-2,
231.803,6.550e+3,6.550e+3,6.259e-3,
231.813,2.781e+3,2.781e+3,9.347e-4,
231.823,1.076e+3,1.076e+3,1.272e-4,
231.833,3.807e+2,3.807e+2,1.576e-5,
231.843,1.291e+2,1.291e+2,1.779e-6,
231.853,6.693e+1,6.693e+1,1.830e-7,
231.863,1.300e+2,1.300e+2,1.715e-8,
231.873,4.245e+2,4.245e+2,1.464e-9,
231.883,1.349e+3,1.349e+3,1.139e-10,
231.893,3.924e+3,3.924e+3,8.066e-12,
231.903,1.041e+4,1.041e+4,5.206e-13,
231.913,2.515e+4,2.515e+4,3.061e-14,
231.923,5.540e+4,5.540e+4,1.639e-15,
231.933,1.112e+5,1.112e+5,1.599e-15,
231.943,2.034e+5,2.034e+5,1.558e-15,
231.953,3.390e+5,3.390e+5,1.518e-15,
231.963,5.149e+5,5.149e+5,1.477e-15,
231.973,7.128e+5,7.128e+5,1.436e-15,
231.983,8.991e+5,8.991e+5,1.396e-15,
231.992,1.024e+6,1.024e+6,1.359e-15,
232.002,1.082e+6,1.082e+6,1.319e-15,
232.012,1.043e+6,1.043e+6,1.278e-15,
232.022,9.163e+5,9.163e+5,1.238e-15,
232.032,7.348e+5,7.348e+5,1.197e-15,
232.042,5.399e+5,5.399e+5,1.156e-15,
232.052,3.681e+5,3.681e+5,1.116e-15,
232.062,2.429e+5,2.429e+5,1.075e-15,
232.072,1.726e+5,1.726e+5,1.035e-15,
232.082,1.548e+5,1.548e+5,9.940e-16,
232.092,1.800e+5,1.800e+5,9.534e-16,
232.102,2.348e+5,2.348e+5,9.128e-16,
232.112,3.021e+5,3.021e+5,8.722e-16,
232.122,3.633e+5,3.633e+5,8.317e-16,
232.132,4.012e+5,4.012e+5,7.911e-16,
232.142,4.046e+5,4.046e+5,7.505e-16,
232.152,3.721e+5,3.721e+5,7.099e-16,
232.162,3.119e+5,3.119e+5,6.693e-16,
232.172,2.383e+5,2.383e+5,6.287e-16,
232.182,1.660e+5,1.660e+5,5.881e-16,
232.192,1.053e+5,1.053e+5,5.476e-16,
232.202,6.093e+4,6.093e+4,5.070e-16,
232.211,3.439e+4,3.439e+4,4.704e-16,
232.221,1.668e+4,1.668e+4,4.298e-16,
232.231,7.370e+3,7.370e+3,3.893e-16,
232.241,2.969e+3,2.969e+3,3.487e-16,
232.251,1.090e+3,1.090e+3,3.081e-16,
232.261,3.647e+2,3.647e+2,2.675e-16,
232.271,1.112e+2,1.112e+2,2.269e-16,
232.281,3.091e+1,3.091e+1,1.863e-16,
232.291,7.844e+0,7.844e+0,1.457e-16,
232.301,1.883e+0,1.883e+0,1.052e-16,
232.311,7.113e-1,7.113e-1,6.457e-17,
232.321,1.387e+0,1.387e+0,2.398e-17,
232.331,4.769e+0,4.769e+0,4.568e-16,
232.341,1.569e+1,1.569e+1,7.933e-15,
232.351,4.719e+1,4.719e+1,1.256e-13,
232.361,1.294e+2,1.294e+2,1.813e-12,
232.371,3.233e+2,3.233e+2,2.387e-11,
232.381,7.366e+2,7.366e+2,2.865e-10,
232.391,1.530e+3,1.530e+3,3.135e-9,
232.401,2.897e+3,2.897e+3,3.128e-8,
232.411,5.001e+3,5.001e+3,2.845e-7,
232.421,7.872e+3,7.872e+3,2.360e-6,
232.43,1.094e+4,1.094e+4,1.464e-5,
232.44,1.447e+4,1.447e+4,1.019e-4,
232.45,1.752e+4,1.752e+4,6.462e-4,
232.46,1.953e+4,1.953e+4,3.738e-3,
232.47,2.045e+4,2.045e+4,1.972e-2,
232.48,2.106e+4,2.106e+4,9.482e-2,
232.49,2.332e+4,2.332e+4,4.157e-1,
232.5,3.044e+4,3.044e+4,1.662e+0,
232.51,4.658e+4,4.657e+4,6.058e+0,
232.52,7.593e+4,7.591e+4,2.013e+1,
232.53,1.211e+5,1.210e+5,6.100e+1,
232.54,1.809e+5,1.807e+5,1.685e+2,
232.55,2.489e+5,2.485e+5,4.245e+2,
232.56,3.135e+5,3.125e+5,9.749e+2,
232.57,3.608e+5,3.588e+5,2.041e+3,
232.58,3.796e+5,3.757e+5,3.897e+3,
232.59,3.655e+5,3.587e+5,6.784e+3,
232.6,3.230e+5,3.122e+5,1.077e+4,
232.61,2.634e+5,2.478e+5,1.558e+4,
232.62,1.999e+5,1.793e+5,2.056e+4,
232.63,1.430e+5,1.183e+5,2.473e+4,
232.639,1.022e+5,7.518e+4,2.698e+4,
232.649,6.884e+4,4.161e+4,2.723e+4,
232.659,4.606e+4,2.099e+4,2.506e+4,
232.669,3.068e+4,9.659e+3,2.103e+4,
232.679,2.014e+4,4.051e+3,1.608e+4,
232.689,1.277e+4,1.549e+3,1.122e+4,
232.699,7.674e+3,5.401e+2,7.134e+3,
232.709,4.308e+3,1.717e+2,4.137e+3,
232.719,2.237e+3,4.975e+1,2.187e+3,
232.729,1.067e+3,1.314e+1,1.054e+3,
232.739,4.664e+2,3.166e+0,4.632e+2,
232.749,1.863e+2,6.953e-1,1.856e+2,
232.759,6.795e+1,1.392e-1,6.781e+1,
232.769,2.261e+1,2.542e-2,2.259e+1,
232.779,6.864e+0,4.282e-3,6.859e+0,
232.789,1.900e+0,1.017e-3,1.899e+0,
232.799,4.821e-1,2.520e-3,4.795e-1,
232.809,1.248e-1,1.439e-2,1.104e-1,
232.819,1.008e-1,7.759e-2,2.317e-2,
232.829,3.862e-1,3.818e-1,4.433e-3,
232.839,1.714e+0,1.713e+0,7.734e-4,
232.849,7.011e+0,7.011e+0,1.230e-4,
232.858,2.303e+1,2.303e+1,2.174e-5,
232.868,7.914e+1,7.914e+1,2.901e-6,
232.878,2.480e+2,2.480e+2,3.530e-7,
232.888,7.085e+2,7.085e+2,3.917e-8,
232.898,1.847e+3,1.847e+3,3.962e-9,
232.908,4.389e+3,4.389e+3,3.655e-10,
232.918,9.514e+3,9.514e+3,3.073e-11,
232.928,1.881e+4,1.881e+4,2.356e-12,
232.938,3.391e+4,3.391e+4,1.647e-13,
232.948,5.576e+4,5.576e+4,1.050e-14,
232.958,8.362e+4,8.362e+4,6.102e-16,
232.968,1.144e+5,1.144e+5,5.872e-16,
232.978,1.427e+5,1.427e+5,5.641e-16,
232.988,1.623e+5,1.623e+5,5.411e-16,
232.998,1.684e+5,1.684e+5,5.181e-16,
233.008,1.593e+5,1.593e+5,4.950e-16,
233.018,1.375e+5,1.375e+5,4.720e-16,
233.028,1.082e+5,1.082e+5,4.490e-16,
233.038,7.768e+4,7.768e+4,4.259e-16,
233.048,5.086e+4,5.086e+4,4.029e-16,
233.058,3.036e+4,3.036e+4,3.799e-16,
233.068,1.653e+4,1.653e+4,3.568e-16,
233.077,8.842e+3,8.842e+3,3.361e-16,
233.087,4.042e+3,4.042e+3,3.131e-16,
233.097,1.685e+3,1.685e+3,2.900e-16,
233.107,6.406e+2,6.406e+2,2.670e-16,
233.117,2.221e+2,2.221e+2,2.440e-16,
233.127,7.024e+1,7.024e+1,2.209e-16,
233.137,2.026e+1,2.026e+1,1.979e-16,
233.147,5.328e+0,5.328e+0,3.626e-15,
233.157,1.278e+0,1.278e+0,6.061e-14,
233.167,2.796e-1,2.796e-1,9.244e-13,
233.177,5.580e-2,5.580e-2,1.286e-11,
233.187,1.015e-2,1.015e-2,1.633e-10,
233.197,1.685e-3,1.685e-3,1.891e-9,
233.207,2.551e-4,2.551e-4,1.998e-8,
233.217,3.540e-5,3.521e-5,1.926e-7,
233.227,6.127e-6,4.433e-6,1.694e-6,
233.237,1.410e-5,5.090e-7,1.359e-5,
233.247,9.957e-5,5.330e-8,9.951e-5,
233.257,6.647e-4,5.090e-9,6.647e-4,
233.267,4.050e-3,4.433e-10,4.050e-3,
233.277,2.252e-2,3.522e-11,2.252e-2,
233.287,1.142e-1,2.551e-12,1.142e-1,
233.296,4.553e-1,2.221e-13,4.553e-1,
233.306,1.940e+0,1.351e-14,1.940e+0,
233.316,7.542e+0,7.493e-16,7.542e+0,
233.326,2.675e+1,7.498e-16,2.675e+1,
233.336,8.655e+1,7.504e-16,8.655e+1,
233.346,2.555e+2,7.510e-16,2.555e+2,
233.356,6.881e+2,7.516e-16,6.881e+2,
233.366,1.691e+3,7.522e-16,1.691e+3,
233.376,3.791e+3,7.527e-16,3.791e+3,
233.386,7.753e+3,7.533e-16,7.753e+3,
233.396,1.447e+4,7.539e-16,1.447e+4,
233.406,2.463e+4,7.545e-16,2.463e+4,
233.416,3.826e+4,7.550e-16,3.826e+4,
233.426,5.421e+4,7.556e-16,5.421e+4,
233.436,7.009e+4,7.562e-16,7.009e+4,
233.446,8.268e+4,7.568e-16,8.268e+4,
233.456,8.897e+4,7.574e-16,8.897e+4,
233.466,8.735e+4,7.579e-16,8.735e+4,
233.476,7.825e+4,7.585e-16,7.825e+4,
233.486,6.395e+4,7.591e-16,6.395e+4,
233.496,4.768e+4,7.597e-16,4.768e+4,
233.506,3.243e+4,7.603e-16,3.243e+4,
233.515,2.120e+4,7.608e-16,2.120e+4,
233.525,1.211e+4,7.614e-16,1.211e+4,
233.535,6.316e+3,7.619e-16,6.316e+3,
233.545,3.004e+3,7.625e-16,3.004e+3,
233.555,1.304e+3,7.631e-16,1.304e+3,
233.565,5.161e+2,7.637e-16,5.161e+2,
233.575,1.864e+2,7.642e-16,1.864e+2,
233.585,6.144e+1,7.648e-16,6.144e+1,
233.595,1.847e+1,7.654e-16,1.847e+1,
233.605,5.067e+0,7.660e-16,5.067e+0,
233.615,1.268e+0,7.666e-16,1.268e+0,
233.625,2.895e-1,7.671e-16,2.895e-1,
233.635,6.031e-2,7.677e-16,6.031e-2,
233.645,1.146e-2,7.683e-16,1.146e-2,
233.655,1.988e-3,7.689e-16,1.988e-3,
233.665,3.144e-4,7.695e-16,3.144e-4,
233.675,4.538e-5,7.700e-16,4.538e-5,
233.685,5.975e-6,7.706e-16,5.975e-6,
233.695,7.178e-7,7.712e-16,7.178e-7,
233.705,7.867e-8,7.718e-16,7.867e-8,
233.715,7.867e-9,7.723e-16,7.867e-9,
233.725,7.177e-10,7.729e-16,7.177e-10,
233.734,7.692e-11,7.734e-16,7.692e-11,
233.744,5.895e-12,7.740e-16,5.895e-12,
233.754,4.122e-13,7.746e-16,4.122e-13,
233.764,2.629e-14,7.752e-16,2.629e-14,
233.774,1.530e-15,7.758e-16,1.530e-15,
234.232,8.023e-16,8.023e-16,1.100e-15,
234.242,1.431e-14,1.431e-14,1.090e-15,
234.252,2.329e-13,2.329e-13,1.081e-15,
234.262,3.463e-12,3.463e-12,1.071e-15,
234.272,4.702e-11,4.702e-11,1.062e-15,
234.282,5.829e-10,5.829e-10,1.053e-15,
234.292,6.599e-9,6.599e-9,1.043e-15,
234.302,6.821e-8,6.821e-8,1.034e-15,
234.312,6.438e-7,6.438e-7,1.024e-15,
234.322,5.549e-6,5.549e-6,1.015e-15,
234.332,4.367e-5,4.367e-5,1.006e-15,
234.342,3.138e-4,3.138e-4,9.961e-16,
234.352,2.059e-3,2.059e-3,9.867e-16,
234.362,1.234e-2,1.234e-2,9.773e-16,
234.372,6.751e-2,6.751e-2,9.679e-16,
234.381,2.883e-1,2.883e-1,9.595e-16,
234.391,1.327e+0,1.327e+0,9.501e-16,
234.401,5.580e+0,5.580e+0,9.407e-16,
234.411,2.142e+1,2.142e+1,9.313e-16,
234.421,7.507e+1,7.507e+1,9.219e-16,
234.431,2.402e+2,2.402e+2,9.125e-16,
234.441,7.021e+2,7.021e+2,9.031e-16,
234.451,1.874e+3,1.874e+3,8.937e-16,
234.461,4.566e+3,4.566e+3,8.843e-16,
234.471,1.016e+4,1.016e+4,8.749e-16,
234.481,2.064e+4,2.064e+4,8.655e-16,
234.491,3.829e+4,3.829e+4,8.561e-16,
234.501,6.487e+4,6.487e+4,8.467e-16,
234.511,1.003e+5,1.003e+5,8.373e-16,
234.521,1.417e+5,1.417e+5,8.279e-16,
234.531,1.828e+5,1.828e+5,8.185e-16,
234.541,2.153e+5,2.153e+5,8.091e-16,
234.551,2.316e+5,2.316e+5,7.997e-16,
234.561,2.277e+5,2.277e+5,7.903e-16,
234.571,2.046e+5,2.046e+5,7.809e-16,
234.581,1.685e+5,1.685e+5,7.715e-16,
234.591,1.281e+5,1.281e+5,7.621e-16,
234.6,9.454e+4,9.454e+4,7.536e-16,
234.61,6.551e+4,6.551e+4,7.442e-16,
234.62,4.696e+4,4.696e+4,7.348e-16,
234.63,3.783e+4,3.783e+4,7.254e-16,
234.64,3.519e+4,3.519e+4,7.160e-16,
234.65,3.563e+4,3.563e+4,7.066e-16,
234.66,3.631e+4,3.631e+4,6.972e-16,
234.67,3.563e+4,3.563e+4,6.878e-16,
234.68,3.334e+4,3.334e+4,6.784e-16,
234.69,3.027e+4,3.027e+4,6.690e-16,
234.7,2.768e+4,2.768e+4,6.596e-16,
234.71,2.660e+4,2.660e+4,6.502e-16,
234.72,2.727e+4,2.727e+4,6.408e-16,
234.73,2.905e+4,2.905e+4,6.314e-16,
234.74,3.075e+4,3.075e+4,6.220e-16,
234.75,3.113e+4,3.113e+4,6.126e-16,
234.76,2.948e+4,2.948e+4,6.032e-16,
234.77,2.584e+4,2.584e+4,5.938e-16,
234.78,2.098e+4,2.098e+4,5.844e-16,
234.79,1.601e+4,1.601e+4,5.750e-16,
234.8,1.201e+4,1.201e+4,5.656e-16,
234.81,9.742e+3,9.742e+3,5.562e-16,
234.819,9.456e+3,9.456e+3,5.477e-16,
234.829,1.098e+4,1.098e+4,5.383e-16,
234.839,1.394e+4,1.394e+4,5.289e-16,
234.849,1.751e+4,1.751e+4,5.195e-16,
234.859,2.068e+4,2.068e+4,5.101e-16,
234.869,2.253e+4,2.253e+4,5.007e-16,
234.879,2.249e+4,2.249e+4,4.913e-16,
234.889,2.053e+4,2.053e+4,4.819e-16,
234.899,1.712e+4,1.712e+4,4.725e-16,
234.909,1.305e+4,1.305e+4,4.631e-16,
234.919,9.079e+3,9.079e+3,4.537e-16,
234.929,5.771e+3,5.771e+3,4.443e-16,
234.939,3.350e+3,3.350e+3,4.349e-16,
234.949,1.776e+3,1.776e+3,4.255e-16,
234.959,8.602e+2,8.602e+2,4.161e-16,
234.969,3.805e+2,3.805e+2,4.067e-16,
234.979,1.537e+2,1.537e+2,3.973e-16,
234.989,5.672e+1,5.672e+1,3.879e-16,
234.999,1.911e+1,1.911e+1,3.785e-16,
235.009,5.884e+0,5.884e+0,3.691e-16,
235.019,1.654e+0,1.654e+0,3.597e-16,
235.029,4.247e-1,4.247e-1,3.503e-16,
235.038,1.156e-1,1.156e-1,3.418e-16,
235.048,2.499e-2,2.499e-2,3.324e-16,
235.058,4.935e-3,4.935e-3,3.230e-16,
235.068,8.898e-4,8.898e-4,3.136e-16,
235.078,1.465e-4,1.465e-4,3.042e-16,
235.088,2.204e-5,2.204e-5,2.948e-16,
235.098,3.029e-6,3.029e-6,2.854e-16,
235.108,3.800e-7,3.800e-7,2.760e-16,
235.118,4.356e-8,4.356e-8,2.666e-16,
235.128,4.560e-9,4.560e-9,2.572e-16,
235.138,4.359e-10,4.359e-10,2.478e-16,
235.148,3.807e-11,3.807e-11,2.384e-16,
235.158,3.036e-12,3.036e-12,2.290e-16,
235.168,2.212e-13,2.212e-13,2.196e-16,
235.178,1.472e-14,1.472e-14,2.102e-16,
235.188,8.944e-16,8.944e-16,2.008e-16,
235.198,4.964e-17,4.964e-17,1.914e-16,
235.317,7.952e-17,4.945e-17,7.952e-17,
235.327,1.393e-15,4.943e-17,1.393e-15,
235.337,2.231e-14,4.941e-17,2.231e-14,
235.347,3.266e-13,4.940e-17,3.266e-13,
235.357,4.368e-12,4.938e-17,4.368e-12,
235.367,5.339e-11,4.937e-17,5.339e-11,
235.377,5.963e-10,4.935e-17,5.963e-10,
235.387,6.088e-9,4.933e-17,6.088e-9,
235.397,5.679e-8,4.932e-17,5.679e-8,
235.407,4.842e-7,4.930e-17,4.842e-7,
235.417,3.773e-6,4.928e-17,3.773e-6,
235.427,2.687e-5,4.927e-17,2.687e-5,
235.437,1.748e-4,4.925e-17,1.748e-4,
235.447,1.040e-3,4.924e-17,1.040e-3,
235.457,5.652e-3,4.922e-17,5.652e-3,
235.466,2.401e-2,4.920e-17,2.401e-2,
235.476,1.100e-1,4.919e-17,1.100e-1,
235.486,4.604e-1,4.917e-17,4.604e-1,
235.496,1.761e+0,4.916e-17,1.761e+0,
235.506,6.158e+0,4.914e-17,6.158e+0,
235.516,1.968e+1,4.912e-17,1.968e+1,
235.526,5.745e+1,4.911e-17,5.745e+1,
235.536,1.533e+2,4.909e-17,1.533e+2,
235.546,3.739e+2,4.907e-17,3.739e+2,
235.556,8.332e+2,4.906e-17,8.332e+2,
235.566,1.697e+3,4.904e-17,1.697e+3,
235.576,3.159e+3,4.903e-17,3.159e+3,
235.586,5.374e+3,4.901e-17,5.374e+3,
235.596,8.354e+3,4.899e-17,8.354e+3,
235.606,1.187e+4,4.898e-17,1.187e+4,
235.616,1.541e+4,4.896e-17,1.541e+4,
235.626,1.829e+4,4.894e-17,1.829e+4,
235.636,1.983e+4,4.893e-17,1.983e+4,
235.646,1.965e+4,4.891e-17,1.965e+4,
235.656,1.780e+4,4.890e-17,1.780e+4,
235.666,1.473e+4,4.888e-17,1.473e+4,
235.676,1.114e+4,4.886e-17,1.114e+4,
235.685,8.026e+3,4.885e-17,8.026e+3,
235.695,5.117e+3,4.883e-17,5.117e+3,
235.705,2.981e+3,4.882e-17,2.981e+3,
235.715,1.587e+3,4.880e-17,1.587e+3,
235.725,7.722e+2,4.878e-17,7.722e+2,
235.735,3.434e+2,4.877e-17,3.434e+2,
235.745,1.395e+2,4.875e-17,1.395e+2,
235.755,5.182e+1,4.873e-17,5.182e+1,
235.765,1.759e+1,4.872e-17,1.759e+1,
235.775,5.456e+0,4.870e-17,5.456e+0,
235.785,1.546e+0,4.869e-17,1.546e+0,
235.795,4.006e-1,4.867e-17,4.006e-1,
235.805,9.485e-2,4.865e-17,9.485e-2,
235.815,2.052e-2,4.864e-17,2.052e-2,
235.825,4.058e-3,4.862e-17,4.058e-3,
235.835,7.332e-4,4.860e-17,7.332e-4,
235.845,1.211e-4,4.859e-17,1.211e-4,
235.855,1.827e-5,4.857e-17,1.827e-5,
235.865,2.521e-6,4.856e-17,2.521e-6,
235.875,3.177e-7,4.854e-17,3.177e-7,
235.885,3.660e-8,4.852e-17,3.660e-8,
235.895,3.853e-9,4.851e-17,3.853e-9,
235.904,4.704e-10,4.849e-17,4.704e-10,
235.914,4.173e-11,4.848e-17,4.173e-11,
235.924,3.384e-12,4.846e-17,3.384e-12,
235.934,2.507e-13,4.844e-17,2.507e-13,
235.944,1.698e-14,4.843e-17,1.698e-14,
235.954,1.051e-15,4.841e-17,1.051e-15,
235.964,5.942e-17,4.839e-17,5.942e-17,
236.412,4.209e-17,4.767e-17,4.209e-17,
236.422,7.377e-16,4.765e-17,7.377e-16,
236.432,1.183e-14,4.763e-17,1.183e-14,
236.442,1.734e-13,4.762e-17,1.734e-13,
236.452,2.326e-12,4.760e-17,2.326e-12,
236.462,2.853e-11,4.758e-17,2.853e-11,
236.472,3.201e-10,4.757e-17,3.201e-10,
236.482,3.285e-9,4.755e-17,3.285e-9,
236.492,3.083e-8,4.754e-17,3.083e-8,
236.502,2.647e-7,4.752e-17,2.647e-7,
236.512,2.079e-6,4.750e-17,2.079e-6,
236.522,1.493e-5,4.749e-17,1.493e-5,
236.532,9.808e-5,4.747e-17,9.808e-5,
236.542,5.893e-4,4.745e-17,5.893e-4,
236.551,2.742e-3,4.744e-17,2.742e-3,
236.561,1.391e-2,4.742e-17,1.391e-2,
236.571,6.452e-2,4.741e-17,6.452e-2,
236.581,2.738e-1,4.739e-17,2.738e-1,
236.591,1.062e+0,4.737e-17,1.062e+0,
236.601,3.771e+0,4.736e-17,3.771e+0,
236.611,1.224e+1,4.734e-17,1.224e+1,
236.621,3.636e+1,4.733e-17,3.636e+1,
236.631,9.875e+1,4.731e-17,9.875e+1,
236.641,2.453e+2,4.729e-17,2.453e+2,
236.651,5.574e+2,4.728e-17,5.574e+2,
236.661,1.159e+3,4.726e-17,1.159e+3,
236.671,2.202e+3,4.724e-17,2.202e+3,
236.681,3.829e+3,4.723e-17,3.829e+3,
236.691,6.089e+3,4.721e-17,6.089e+3,
236.701,8.857e+3,4.720e-17,8.857e+3,
236.711,1.178e+4,4.718e-17,1.178e+4,
236.721,1.434e+4,4.716e-17,1.434e+4,
236.731,1.596e+4,4.715e-17,1.596e+4,
236.741,1.625e+4,4.713e-17,1.625e+4,
236.751,1.513e+4,4.711e-17,1.513e+4,
236.761,1.288e+4,4.710e-17,1.288e+4,
236.77,1.033e+4,4.708e-17,1.033e+4,
236.78,7.426e+3,4.707e-17,7.426e+3,
236.79,4.883e+3,4.705e-17,4.883e+3,
236.8,2.936e+3,4.703e-17,2.936e+3,
236.81,1.615e+3,4.702e-17,1.615e+3,
236.82,8.126e+2,4.700e-17,8.126e+2,
236.83,3.740e+2,4.699e-17,3.740e+2,
236.84,1.574e+2,4.697e-17,1.574e+2,
236.85,6.059e+1,4.695e-17,6.059e+1,
236.86,2.134e+1,4.694e-17,2.134e+1,
236.87,6.871e+0,4.692e-17,6.871e+0,
236.88,2.024e+0,4.690e-17,2.024e+0,
236.89,5.454e-1,4.689e-17,5.454e-1,
236.9,1.344e-1,4.687e-17,1.344e-1,
236.91,3.029e-2,4.686e-17,3.029e-2,
236.92,6.245e-3,4.684e-17,6.245e-3,
236.93,1.178e-3,4.682e-17,1.178e-3,
236.94,2.031e-4,4.681e-17,2.031e-4,
236.95,3.204e-5,4.679e-17,3.204e-5,
236.96,4.623e-6,4.677e-17,4.623e-6,
236.97,6.101e-7,4.676e-17,6.101e-7,
236.98,7.365e-8,4.674e-17,7.365e-8,
236.989,1.018e-8,4.673e-17,1.018e-8,
236.999,1.037e-9,4.671e-17,1.037e-9,
237.009,9.663e-11,4.669e-17,9.663e-11,
237.019,8.237e-12,4.668e-17,8.237e-12,
237.029,6.422e-13,4.666e-17,6.422e-13,
237.039,4.579e-14,4.665e-17,4.579e-14,
237.049,2.987e-15,4.663e-17,2.987e-15,
237.059,1.782e-16,4.661e-17,1.782e-16,
237.218,4.134e-16,4.635e-17,4.134e-16,
237.228,6.983e-15,4.634e-17,6.983e-15,
237.238,1.079e-13,4.632e-17,1.079e-13,
237.248,1.527e-12,4.631e-17,1.527e-12,
237.258,1.977e-11,4.629e-17,1.977e-11,
237.268,2.342e-10,4.627e-17,2.342e-10,
237.278,2.540e-9,4.626e-17,2.540e-9,
237.288,2.521e-8,4.624e-17,2.521e-8,
237.298,2.290e-7,4.622e-17,2.290e-7,
237.308,1.904e-6,4.621e-17,1.904e-6,
237.318,1.448e-5,4.619e-17,1.448e-5,
237.328,1.008e-4,4.618e-17,1.008e-4,
237.338,6.426e-4,4.616e-17,6.426e-4,
237.348,3.748e-3,4.614e-17,3.748e-3,
237.358,2.000e-2,4.613e-17,2.000e-2,
237.368,9.771e-2,4.611e-17,9.771e-2,
237.378,4.368e-1,4.609e-17,4.368e-1,
237.388,1.787e+0,4.608e-17,1.787e+0,
237.398,6.693e+0,4.606e-17,6.693e+0,
237.408,2.294e+1,4.605e-17,2.294e+1,
237.418,7.194e+1,4.603e-17,7.194e+1,
237.427,1.866e+2,4.601e-17,1.866e+2,
237.437,4.945e+2,4.600e-17,4.945e+2,
237.447,1.200e+3,4.598e-17,1.200e+3,
237.457,2.663e+3,4.597e-17,2.663e+3,
237.467,5.410e+3,4.595e-17,5.410e+3,
237.477,1.006e+4,4.593e-17,1.006e+4,
237.487,1.712e+4,4.592e-17,1.712e+4,
237.497,2.666e+4,4.590e-17,2.666e+4,
237.507,3.801e+4,4.588e-17,3.801e+4,
237.517,4.958e+4,4.587e-17,4.958e+4,
237.527,5.919e+4,4.585e-17,5.919e+4,
237.537,6.468e+4,4.584e-17,6.468e+4,
237.547,6.468e+4,4.582e-17,6.468e+4,
237.557,5.919e+4,4.580e-17,5.919e+4,
237.567,4.958e+4,4.579e-17,4.958e+4,
237.577,3.801e+4,4.577e-17,3.801e+4,
237.587,2.666e+4,4.575e-17,2.666e+4,
237.597,1.712e+4,4.574e-17,1.712e+4,
237.607,1.006e+4,4.572e-17,1.006e+4,
237.617,5.410e+3,4.571e-17,5.410e+3,
237.627,2.663e+3,4.569e-17,2.663e+3,
237.637,1.200e+3,4.567e-17,1.200e+3,
237.646,5.425e+2,4.566e-17,5.425e+2,
237.656,2.065e+2,4.564e-17,2.065e+2,
237.666,7.194e+1,4.563e-17,7.194e+1,
237.676,2.294e+1,4.561e-17,2.294e+1,
237.686,6.693e+0,4.559e-17,6.693e+0,
237.696,1.787e+0,4.558e-17,1.787e+0,
237.706,4.368e-1,4.556e-17,4.368e-1,
237.716,9.771e-2,4.554e-17,9.771e-2,
237.726,2.000e-2,4.553e-17,2.000e-2,
237.736,3.748e-3,4.551e-17,3.748e-3,
237.746,6.426e-4,4.550e-17,6.426e-4,
237.756,1.008e-4,4.548e-17,1.008e-4,
237.766,1.448e-5,4.546e-17,1.448e-5,
237.776,1.904e-6,4.545e-17,1.904e-6,
237.786,2.290e-7,4.543e-17,2.290e-7,
237.796,2.521e-8,4.541e-17,2.521e-8,
237.806,2.540e-9,4.540e-17,2.540e-9,
237.816,2.342e-10,4.538e-17,2.342e-10,
237.826,1.977e-11,4.537e-17,1.977e-11,
237.836,1.527e-12,4.535e-17,1.527e-12,
237.846,1.079e-13,4.533e-17,1.079e-13,
237.855,9.219e-15,4.532e-17,9.219e-15,
237.865,5.507e-16,4.530e-17,5.507e-16,
238.443,1.522e-17,4.436e-17,1.522e-17,
238.453,2.702e-16,4.435e-17,2.702e-16,
238.463,4.393e-15,4.433e-17,4.393e-15,
238.473,6.544e-14,4.431e-17,6.544e-14,
238.483,8.929e-13,4.430e-17,8.929e-13,
238.493,1.116e-11,4.428e-17,1.116e-11,
238.503,1.278e-10,4.426e-17,1.278e-10,
238.512,1.064e-9,4.425e-17,1.064e-9,
238.522,1.031e-8,4.423e-17,1.031e-8,
238.532,9.155e-8,4.422e-17,9.155e-8,
238.542,7.446e-7,4.420e-17,7.446e-7,
238.552,5.548e-6,4.418e-17,5.548e-6,
238.562,3.786e-5,4.417e-17,3.786e-5,
238.572,2.367e-4,4.415e-17,2.367e-4,
238.582,1.356e-3,4.414e-17,1.356e-3,
238.592,7.112e-3,4.412e-17,7.112e-3,
238.602,3.418e-2,4.410e-17,3.418e-2,
238.612,1.505e-1,4.409e-17,1.505e-1,
238.622,6.067e-1,4.407e-17,6.067e-1,
238.632,2.241e+0,4.405e-17,2.241e+0,
238.642,7.583e+0,4.404e-17,7.583e+0,
238.652,2.351e+1,4.402e-17,2.351e+1,
238.662,6.674e+1,4.401e-17,6.674e+1,
238.672,1.736e+2,4.399e-17,1.736e+2,
238.682,4.136e+2,4.397e-17,4.136e+2,
238.692,9.028e+2,4.396e-17,9.028e+2,
238.702,1.805e+3,4.394e-17,1.805e+3,
238.712,3.306e+3,4.392e-17,3.306e+3,
238.722,5.546e+3,4.391e-17,5.546e+3,
238.731,8.197e+3,4.389e-17,8.197e+3,
238.741,1.164e+4,4.388e-17,1.164e+4,
