Wavelength (nm),Sum(calc),Ni I (2.4e-1),Ni II (7.6e-1),Ni III (2.5e-5)
202.667,1.073e+4,1.073e+4,,
202.677,9.163e+3,9.163e+3,,
202.687,6.925e+3,6.925e+3,,
202.697,4.634e+3,4.634e+3,,
202.707,2.745e+3,2.745e+3,,
202.717,1.440e+3,1.440e+3,,
202.727,6.688e+2,6.688e+2,,
202.737,2.750e+2,2.750e+2,,
202.747,1.001e+2,1.001e+2,,
202.757,3.227e+1,3.227e+1,,
202.767,9.209e+0,9.209e+0,,
202.777,2.327e+0,2.327e+0,,
202.787,5.205e-1,5.205e-1,,
202.797,1.031e-1,1.031e-1,,
202.807,1.808e-2,1.808e-2,,
202.817,2.807e-3,2.807e-3,,
202.827,3.859e-4,3.859e-4,,
202.837,4.696e-5,4.696e-5,,
202.847,5.061e-6,5.061e-6,,
202.857,4.828e-7,4.828e-7,,
202.866,5.250e-8,5.250e-8,,
202.876,3.975e-9,3.975e-9,,
202.886,2.664e-10,2.664e-10,,
202.896,1.581e-11,1.581e-11,,
202.906,8.307e-13,8.307e-13,,
202.916,3.864e-14,3.864e-14,,
202.926,1.592e-15,1.592e-15,,
202.936,5.804e-17,5.804e-17,,
204.449,5.640e-18,5.640e-18,,
204.459,1.592e-16,1.592e-16,,
204.469,3.987e-15,3.987e-15,,
204.479,8.862e-14,8.862e-14,,
204.489,1.748e-12,1.748e-12,,
204.499,3.062e-11,3.062e-11,,
204.509,4.759e-10,4.759e-10,,
204.519,6.565e-9,6.565e-9,,
204.529,8.038e-8,8.038e-8,,
204.539,8.734e-7,8.734e-7,,
204.549,8.424e-6,8.424e-6,,
204.559,7.211e-5,7.211e-5,,
204.569,5.479e-4,5.479e-4,,
204.579,3.695e-3,3.695e-3,,
204.589,2.211e-2,2.211e-2,,
204.599,1.175e-1,1.175e-1,,
204.608,4.769e-1,4.769e-1,,
204.618,2.019e+0,2.019e+0,,
204.628,7.591e+0,7.591e+0,,
204.638,2.532e+1,2.532e+1,,
204.648,7.498e+1,7.498e+1,,
204.658,1.970e+2,1.970e+2,,
204.668,4.596e+2,4.596e+2,,
204.678,9.514e+2,9.514e+2,,
204.688,1.748e+3,1.748e+3,,
204.698,2.851e+3,2.851e+3,,
204.708,4.127e+3,4.127e+3,,
204.718,5.301e+3,5.301e+3,,
204.728,6.045e+3,6.045e+3,,
204.738,6.117e+3,6.117e+3,,
204.748,5.494e+3,5.494e+3,,
204.758,4.380e+3,4.380e+3,,
204.768,3.099e+3,3.099e+3,,
204.778,1.946e+3,1.946e+3,,
204.788,1.085e+3,1.085e+3,,
204.798,5.367e+2,5.367e+2,,
204.808,2.356e+2,2.356e+2,,
204.818,9.183e+1,9.183e+1,,
204.827,3.551e+1,3.551e+1,,
204.837,1.103e+1,1.103e+1,,
204.847,3.042e+0,3.042e+0,,
204.857,7.445e-1,7.445e-1,,
204.867,1.617e-1,1.617e-1,,
204.877,3.118e-2,3.118e-2,,
204.887,5.335e-3,5.335e-3,,
204.897,8.103e-4,8.103e-4,,
204.907,1.092e-4,1.092e-4,,
204.917,1.307e-5,1.307e-5,,
204.927,1.387e-6,1.387e-6,,
204.937,1.308e-7,1.308e-7,,
204.947,1.094e-8,1.094e-8,,
204.957,8.125e-10,8.125e-10,,
204.967,6.232e-11,6.232e-11,,
204.977,1.467e-10,1.467e-10,,
204.987,2.076e-9,2.076e-9,,
204.997,2.666e-8,2.666e-8,,
205.007,3.041e-7,3.041e-7,,
205.017,3.080e-6,3.080e-6,,
205.027,2.770e-5,2.770e-5,,
205.037,2.213e-4,2.213e-4,,
205.046,1.297e-3,1.297e-3,,
205.056,8.269e-3,8.269e-3,,
205.066,4.681e-2,4.681e-2,,
205.076,2.353e-1,2.353e-1,,
205.086,1.050e+0,1.050e+0,,
205.096,4.165e+0,4.165e+0,,
205.106,1.466e+1,1.466e+1,,
205.116,4.584e+1,4.584e+1,,
205.126,1.273e+2,1.273e+2,,
205.136,3.138e+2,3.138e+2,,
205.146,6.870e+2,6.870e+2,,
205.156,1.336e+3,1.336e+3,,
205.166,2.306e+3,2.306e+3,,
205.176,3.536e+3,3.536e+3,,
205.186,4.815e+3,4.815e+3,,
205.196,5.823e+3,5.823e+3,,
205.206,6.253e+3,6.253e+3,,
205.216,5.963e+3,5.963e+3,,
205.226,5.049e+3,5.049e+3,,
205.236,3.797e+3,3.797e+3,,
205.246,2.536e+3,2.536e+3,,
205.256,1.504e+3,1.504e+3,,
205.265,8.491e+2,8.491e+2,,
205.275,4.019e+2,4.019e+2,,
205.285,1.689e+2,1.689e+2,,
205.295,6.305e+1,6.305e+1,,
205.305,2.090e+1,2.090e+1,,
205.315,6.151e+0,6.151e+0,,
205.325,1.608e+0,1.608e+0,,
205.335,3.732e-1,3.732e-1,,
205.345,7.694e-2,7.694e-2,,
205.355,1.409e-2,1.409e-2,,
205.365,2.300e-3,2.300e-3,,
205.375,4.169e-4,4.169e-4,,
205.385,6.804e-4,6.804e-4,,
205.395,4.193e-3,4.193e-3,,
205.405,2.443e-2,2.443e-2,,
205.415,1.265e-1,1.265e-1,,
205.425,5.824e-1,5.824e-1,,
205.435,2.381e+0,2.381e+0,,
205.445,8.651e+0,8.651e+0,,
205.455,2.792e+1,2.792e+1,,
205.465,8.004e+1,8.004e+1,,
205.474,1.866e+2,1.866e+2,,
205.484,4.274e+2,4.274e+2,,
205.494,8.693e+2,8.693e+2,,
205.504,1.571e+3,1.571e+3,,
205.514,2.522e+3,2.522e+3,,
205.524,3.597e+3,3.597e+3,,
205.534,4.557e+3,4.557e+3,,
205.544,5.130e+3,5.130e+3,,
205.554,5.130e+3,5.130e+3,,
205.564,4.557e+3,4.557e+3,,
205.574,3.597e+3,3.597e+3,,
