Wavelength (nm),Sum(calc),Al I (2.4e-2),Al II (4.8e-1),Al III (3.5e-4),Cr I (1.4e-2),Cr II (4.8e-1)
276.329,4.172e-13,1.640e-29,7.051e-32,4.172e-13,1.275e-32,2.635e-31
276.331,6.754e-14,1.640e-29,7.052e-32,6.754e-14,1.213e-32,2.636e-31
276.332,2.635e-14,1.641e-29,7.053e-32,2.635e-14,1.183e-32,2.637e-31
276.334,3.768e-15,1.641e-29,7.054e-32,3.768e-15,1.121e-32,2.639e-31
276.336,4.960e-16,1.641e-29,7.055e-32,4.960e-16,1.059e-32,2.640e-31
276.337,1.745e-16,1.641e-29,7.056e-32,1.745e-16,1.029e-32,2.641e-31
276.339,2.029e-17,1.642e-29,7.057e-32,2.029e-17,9.669e-33,2.643e-31
276.341,2.172e-18,1.642e-29,7.058e-32,2.172e-18,9.053e-33,2.644e-31
276.342,6.888e-19,1.642e-29,7.059e-32,6.888e-19,8.745e-33,2.645e-31
276.344,6.513e-20,1.643e-29,7.060e-32,6.513e-20,8.128e-33,2.647e-31
276.346,5.669e-21,1.643e-29,7.061e-32,5.669e-21,7.512e-33,2.648e-31
276.347,1.621e-21,1.643e-29,7.061e-32,1.621e-21,4.776e-32,2.649e-31
276.349,1.246e-22,1.643e-29,7.062e-32,1.246e-22,1.815e-30,2.651e-31
276.351,8.822e-24,1.644e-29,7.064e-32,8.821e-24,6.348e-29,2.652e-31
276.352,2.275e-24,1.644e-29,7.064e-32,2.275e-24,3.640e-28,2.653e-31
276.354,1.535e-25,1.644e-29,7.065e-32,1.422e-25,1.125e-26,2.654e-31
276.356,3.281e-25,1.644e-29,7.066e-32,8.184e-27,3.200e-25,2.656e-31
276.357,1.656e-24,1.645e-29,7.067e-32,1.903e-27,1.654e-24,2.657e-31
276.359,4.158e-23,1.645e-29,7.068e-32,9.673e-29,4.158e-23,2.658e-31
276.361,9.620e-22,1.645e-29,7.069e-32,4.526e-30,9.620e-22,2.660e-31
276.362,4.486e-21,1.645e-29,7.070e-32,9.492e-31,4.486e-21,2.661e-31
276.364,9.169e-20,1.646e-29,7.071e-32,3.923e-32,9.169e-20,2.662e-31
276.366,1.725e-18,1.646e-29,7.072e-32,1.492e-33,1.725e-18,2.664e-31
276.367,7.255e-18,1.646e-29,7.073e-32,2.822e-34,7.255e-18,2.665e-31
276.369,1.206e-16,1.646e-29,7.074e-32,9.483e-36,1.206e-16,2.666e-31
276.371,1.846e-15,1.647e-29,7.075e-32,2.934e-37,1.846e-15,2.668e-31
276.372,7.000e-15,1.647e-29,7.076e-32,5.002e-38,7.000e-15,2.669e-31
276.374,9.463e-14,1.647e-29,7.077e-32,1.367e-39,9.463e-14,2.670e-31
276.376,1.178e-12,1.648e-29,7.078e-32,3.438e-41,1.178e-12,2.672e-31
276.377,4.028e-12,1.648e-29,7.078e-32,3.438e-41,4.028e-12,2.672e-31
276.379,4.429e-11,1.648e-29,7.080e-32,3.438e-41,4.429e-11,2.674e-31
276.381,4.483e-10,1.648e-29,7.081e-32,3.439e-41,4.483e-10,2.676e-31
276.382,1.383e-9,1.649e-29,7.081e-32,3.439e-41,1.383e-9,2.676e-31
276.384,1.236e-8,1.649e-29,7.082e-32,3.439e-41,1.236e-8,2.678e-31
276.386,1.018e-7,1.649e-29,7.084e-32,3.439e-41,1.018e-7,2.679e-31
276.387,2.831e-7,1.649e-29,7.084e-32,3.440e-41,2.831e-7,2.680e-31
276.389,2.059e-6,1.650e-29,7.085e-32,3.440e-41,2.059e-6,2.682e-31
276.391,1.378e-5,1.650e-29,7.086e-32,3.440e-41,1.378e-5,2.683e-31
276.392,3.458e-5,1.650e-29,7.087e-32,3.441e-41,3.458e-5,2.684e-31
276.394,2.045e-4,1.650e-29,7.088e-32,3.441e-41,2.045e-4,2.686e-31
276.396,1.114e-3,1.651e-29,7.089e-32,3.441e-41,1.114e-3,2.687e-31
276.397,2.519e-3,1.651e-29,7.090e-32,3.441e-41,2.519e-3,2.688e-31
276.399,1.212e-2,1.651e-29,7.091e-32,3.442e-41,1.212e-2,2.690e-31
276.401,5.366e-2,1.652e-29,7.092e-32,3.442e-41,5.366e-2,2.691e-31
276.402,1.095e-1,1.652e-29,7.093e-32,3.442e-41,1.095e-1,2.692e-31
276.404,4.283e-1,1.652e-29,7.094e-32,3.443e-41,4.283e-1,2.694e-31
276.406,1.542e+0,1.652e-29,7.095e-32,3.443e-41,1.542e+0,2.695e-31
276.407,2.838e+0,1.653e-29,7.096e-32,3.443e-41,2.838e+0,2.696e-31
276.409,9.029e+0,1.653e-29,7.097e-32,3.444e-41,9.029e+0,2.697e-31
276.411,2.645e+1,1.653e-29,7.098e-32,3.444e-41,2.645e+1,2.699e-31
276.412,4.388e+1,1.653e-29,7.098e-32,3.444e-41,4.388e+1,2.700e-31
276.414,1.135e+2,1.654e-29,7.100e-32,3.445e-41,1.135e+2,2.701e-31
276.416,2.705e+2,1.654e-29,7.101e-32,3.445e-41,2.705e+2,2.703e-31
276.417,4.047e+2,1.654e-29,7.101e-32,3.445e-41,4.047e+2,2.704e-31
276.419,8.517e+2,1.654e-29,7.102e-32,3.446e-41,8.517e+2,2.705e-31
276.421,1.650e+3,1.655e-29,7.104e-32,3.446e-41,1.650e+3,2.707e-31
276.422,2.227e+3,1.655e-29,7.104e-32,3.446e-41,2.227e+3,2.708e-31
276.424,3.811e+3,1.655e-29,7.105e-32,3.446e-41,3.811e+3,2.709e-31
276.426,6.005e+3,1.656e-29,7.106e-32,3.447e-41,6.005e+3,2.711e-31
276.427,7.307e+3,1.656e-29,7.107e-32,3.447e-41,7.307e+3,2.711e-31
276.429,1.017e+4,1.656e-29,7.108e-32,3.447e-41,1.017e+4,2.713e-31
276.431,1.303e+4,1.656e-29,7.109e-32,3.448e-41,1.303e+4,2.715e-31
276.432,1.430e+4,1.657e-29,7.110e-32,3.448e-41,1.430e+4,2.715e-31
276.434,1.619e+4,1.657e-29,7.111e-32,3.448e-41,1.619e+4,2.717e-31
276.436,1.688e+4,1.657e-29,7.112e-32,3.449e-41,1.688e+4,2.718e-31
276.437,1.670e+4,1.657e-29,7.113e-32,3.449e-41,1.670e+4,2.719e-31
276.439,1.538e+4,1.658e-29,7.114e-32,3.449e-41,1.538e+4,2.721e-31
276.441,1.303e+4,1.658e-29,7.115e-32,3.450e-41,1.303e+4,2.722e-31
276.442,1.163e+4,1.658e-29,7.115e-32,3.450e-41,1.163e+4,2.723e-31
276.444,8.710e+3,1.658e-29,7.117e-32,3.450e-41,8.710e+3,2.725e-31
276.446,6.005e+3,1.659e-29,7.118e-32,3.450e-41,6.005e+3,2.726e-31
276.447,4.833e+3,1.659e-29,7.118e-32,3.451e-41,4.833e+3,2.727e-31
276.449,2.943e+3,1.659e-29,7.119e-32,3.451e-41,2.943e+3,2.729e-31
276.451,1.650e+3,1.660e-29,7.121e-32,3.451e-41,1.650e+3,2.730e-31
276.452,1.198e+3,1.660e-29,7.121e-32,3.452e-41,1.198e+3,2.731e-31
276.454,5.932e+2,1.660e-29,7.122e-32,3.452e-41,5.932e+2,2.733e-31
276.456,2.705e+2,1.660e-29,7.123e-32,3.452e-41,2.705e+2,2.734e-31
276.457,1.771e+2,1.661e-29,7.124e-32,3.453e-41,1.771e+2,2.735e-31
276.459,7.132e+1,1.661e-29,7.125e-32,3.453e-41,7.132e+1,2.736e-31
276.461,2.645e+1,1.661e-29,7.126e-32,3.453e-41,2.645e+1,2.738e-31
276.462,1.561e+1,1.661e-29,7.127e-32,3.453e-41,1.561e+1,2.739e-31
276.464,5.114e+0,1.662e-29,7.128e-32,3.454e-41,5.114e+0,2.740e-31
276.466,1.542e+0,1.662e-29,7.129e-32,3.454e-41,1.542e+0,2.742e-31
276.467,8.212e-1,1.662e-29,7.130e-32,3.454e-41,8.212e-1,2.743e-31
276.469,2.188e-1,1.662e-29,7.131e-32,3.455e-41,2.188e-1,2.744e-31
276.471,5.366e-2,1.663e-29,7.132e-32,3.455e-41,5.366e-2,2.746e-31
276.472,2.576e-2,1.663e-29,7.133e-32,3.455e-41,2.576e-2,2.747e-31
276.474,5.582e-3,1.663e-29,7.134e-32,3.456e-41,5.582e-3,2.748e-31
276.476,1.114e-3,1.664e-29,7.135e-32,3.456e-41,1.114e-3,2.750e-31
276.477,4.822e-4,1.664e-29,7.135e-32,3.456e-41,4.822e-4,2.751e-31
276.479,8.497e-5,1.664e-29,7.137e-32,3.457e-41,8.497e-5,2.752e-31
276.481,1.378e-5,1.664e-29,7.138e-32,3.457e-41,1.378e-5,2.754e-31
276.482,5.383e-6,1.665e-29,7.138e-32,3.457e-41,5.383e-6,2.754e-31
276.484,7.714e-7,1.665e-29,7.139e-32,3.457e-41,7.714e-7,2.756e-31
276.486,1.018e-7,1.665e-29,7.141e-32,3.458e-41,1.018e-7,2.758e-31
276.487,3.584e-8,1.665e-29,7.141e-32,3.458e-41,3.584e-8,2.758e-31
276.489,4.178e-9,1.666e-29,7.142e-32,3.458e-41,4.178e-9,2.760e-31
276.491,4.483e-10,1.666e-29,7.143e-32,3.459e-41,4.483e-10,2.761e-31
276.492,1.424e-10,1.666e-29,7.144e-32,3.459e-41,1.424e-10,2.762e-31
276.494,1.350e-11,1.666e-29,7.145e-32,3.459e-41,1.350e-11,2.764e-31
276.496,1.178e-12,1.667e-29,7.146e-32,3.460e-41,1.178e-12,2.765e-31
276.497,3.373e-13,1.667e-29,7.147e-32,3.460e-41,3.373e-13,2.766e-31
276.499,2.600e-14,1.667e-29,7.148e-32,3.460e-41,2.600e-14,2.768e-31
276.501,1.846e-15,1.668e-29,7.149e-32,3.461e-41,1.846e-15,2.769e-31
276.502,4.767e-16,1.668e-29,7.150e-32,3.461e-41,4.767e-16,2.770e-31
276.504,2.989e-17,1.668e-29,7.151e-32,3.461e-41,2.989e-17,2.772e-31
276.506,1.725e-18,1.668e-29,7.152e-32,3.462e-41,1.725e-18,2.773e-31
276.507,4.019e-19,1.668e-29,7.153e-32,3.462e-41,4.019e-19,2.774e-31
276.509,2.049e-20,1.669e-29,7.154e-32,3.462e-41,2.049e-20,2.776e-31
276.511,9.620e-22,1.669e-29,7.155e-32,3.462e-41,9.620e-22,2.777e-31
276.512,2.021e-22,1.669e-29,7.155e-32,3.463e-41,2.021e-22,2.778e-31
276.514,8.380e-24,1.670e-29,7.157e-32,3.463e-41,8.380e-24,2.779e-31
276.516,3.200e-25,1.670e-29,7.158e-32,3.463e-41,3.200e-25,2.781e-31
276.517,6.061e-26,1.670e-29,7.158e-32,3.464e-41,6.061e-26,2.782e-31
276.519,2.044e-27,1.670e-29,7.159e-32,3.464e-41,2.044e-27,2.783e-31
276.521,6.348e-29,1.671e-29,7.160e-32,3.464e-41,6.348e-29,2.785e-31
276.522,1.084e-29,1.671e-29,7.161e-32,3.464e-41,1.084e-29,2.786e-31
276.524,2.975e-31,1.671e-29,7.162e-32,3.465e-41,2.975e-31,2.787e-31
276.526,7.512e-33,1.672e-29,7.163e-32,3.465e-41,7.512e-33,2.789e-31
276.901,2.245e-32,1.731e-29,7.377e-32,3.534e-41,2.245e-32,3.082e-31
276.903,8.762e-31,1.732e-29,7.378e-32,3.534e-41,8.762e-31,3.083e-31
276.905,3.149e-29,1.732e-29,7.379e-32,3.535e-41,3.149e-29,3.085e-31
276.906,1.830e-28,1.732e-29,7.380e-32,3.535e-41,1.830e-28,3.086e-31
276.908,5.812e-27,1.732e-29,7.381e-32,3.535e-41,5.812e-27,3.087e-31
276.91,1.700e-25,1.733e-29,7.382e-32,3.536e-41,1.700e-25,3.089e-31
276.911,8.915e-25,1.733e-29,7.383e-32,3.536e-41,8.915e-25,3.089e-31
276.913,2.305e-23,1.733e-29,7.384e-32,3.536e-41,2.305e-23,3.091e-31
276.915,5.487e-22,1.734e-29,7.385e-32,3.537e-41,5.487e-22,3.093e-31
276.916,2.596e-21,1.734e-29,7.386e-32,3.537e-41,2.596e-21,3.093e-31
276.918,5.462e-20,1.734e-29,7.387e-32,3.537e-41,5.462e-20,3.095e-31
276.92,1.058e-18,1.734e-29,7.388e-32,3.538e-41,1.058e-18,3.097e-31
276.921,4.518e-18,1.734e-29,7.388e-32,3.538e-41,4.518e-18,3.097e-31
276.923,7.738e-17,1.735e-29,7.390e-32,3.538e-41,7.738e-17,3.099e-31
276.925,1.221e-15,1.735e-29,7.391e-32,3.538e-41,1.221e-15,3.100e-31
276.926,4.700e-15,1.735e-29,7.391e-32,3.539e-41,4.700e-15,3.101e-31
276.928,6.552e-14,1.736e-29,7.392e-32,3.539e-41,6.552e-14,3.103e-31
276.93,8.413e-13,1.736e-29,7.394e-32,3.539e-41,8.413e-13,3.104e-31
276.931,2.923e-12,1.736e-29,7.394e-32,3.540e-41,2.923e-12,3.105e-31
276.933,3.316e-11,1.736e-29,7.395e-32,3.540e-41,3.316e-11,3.107e-31
276.935,3.466e-10,1.737e-29,7.396e-32,3.540e-41,3.466e-10,3.108e-31
276.936,1.086e-9,1.737e-29,7.397e-32,3.541e-41,1.086e-9,3.109e-31
276.938,1.003e-8,1.737e-29,7.398e-32,3.541e-41,1.003e-8,3.111e-31
276.94,8.535e-8,1.738e-29,7.399e-32,3.541e-41,8.535e-8,3.112e-31
276.941,2.414e-7,1.738e-29,7.400e-32,3.541e-41,2.414e-7,3.113e-31
276.943,1.814e-6,1.738e-29,7.401e-32,3.542e-41,1.814e-6,3.114e-31
276.945,1.256e-5,1.738e-29,7.402e-32,3.542e-41,1.256e-5,3.116e-31
276.946,3.205e-5,1.738e-29,7.403e-32,3.542e-41,3.205e-5,3.117e-31
276.948,1.961e-4,1.739e-29,7.404e-32,3.543e-41,1.961e-4,3.118e-31
276.95,1.105e-3,1.739e-29,7.405e-32,3.543e-41,1.105e-3,3.120e-31
276.951,2.544e-3,1.739e-29,7.406e-32,3.543e-41,2.544e-3,3.121e-31
276.953,1.267e-2,1.740e-29,7.407e-32,3.544e-41,1.267e-2,3.122e-31
276.955,5.813e-2,1.740e-29,7.408e-32,3.544e-41,5.813e-2,3.124e-31
276.956,1.207e-1,1.740e-29,7.408e-32,3.544e-41,1.207e-1,3.125e-31
276.958,4.894e-1,1.740e-29,7.409e-32,3.545e-41,4.894e-1,3.126e-31
276.96,1.827e+0,1.741e-29,7.411e-32,3.545e-41,1.827e+0,3.128e-31
276.961,3.423e+0,1.741e-29,7.411e-32,3.545e-41,3.423e+0,3.129e-31
276.963,1.130e+1,1.741e-29,7.412e-32,3.545e-41,1.130e+1,3.130e-31
276.965,3.433e+1,1.742e-29,7.413e-32,3.546e-41,3.433e+1,3.132e-31
276.966,5.803e+1,1.742e-29,7.414e-32,3.546e-41,5.803e+1,3.132e-31
276.968,1.559e+2,1.742e-29,7.415e-32,3.546e-41,1.559e+2,3.134e-31
276.97,3.856e+2,1.742e-29,7.416e-32,3.547e-41,3.856e+2,3.136e-31
276.971,5.880e+2,1.742e-29,7.417e-32,3.547e-41,5.880e+2,3.136e-31
276.973,1.286e+3,1.743e-29,7.418e-32,3.547e-41,1.286e+3,3.138e-31
276.975,2.589e+3,1.743e-29,7.419e-32,3.548e-41,2.589e+3,3.139e-31
276.976,3.561e+3,1.743e-29,7.420e-32,3.548e-41,3.561e+3,3.140e-31
276.978,6.338e+3,1.744e-29,7.421e-32,3.548e-41,6.338e+3,3.142e-31
276.98,1.039e+4,1.744e-29,7.422e-32,3.549e-41,1.039e+4,3.143e-31
276.981,1.289e+4,1.744e-29,7.423e-32,3.549e-41,1.289e+4,3.144e-31
276.983,1.868e+4,1.744e-29,7.424e-32,3.549e-41,1.868e+4,3.146e-31
276.985,2.491e+4,1.745e-29,7.425e-32,3.550e-41,2.491e+4,3.147e-31
276.986,2.790e+4,1.745e-29,7.425e-32,3.550e-41,2.790e+4,3.148e-31
276.988,3.289e+4,1.745e-29,7.427e-32,3.550e-41,3.289e+4,3.150e-31
276.99,3.572e+4,1.745e-29,7.428e-32,3.550e-41,3.572e+4,3.151e-31
276.991,3.609e+4,1.746e-29,7.428e-32,3.551e-41,3.609e+4,3.152e-31
276.993,3.463e+4,1.746e-29,7.429e-32,3.551e-41,3.463e+4,3.154e-31
276.995,3.061e+4,1.746e-29,7.431e-32,3.551e-41,3.061e+4,3.155e-31
276.996,2.790e+4,1.746e-29,7.431e-32,3.552e-41,2.790e+4,3.156e-31
276.998,2.179e+4,1.747e-29,7.432e-32,3.552e-41,2.179e+4,3.157e-31
277,1.568e+4,1.747e-29,7.433e-32,3.552e-41,1.568e+4,3.159e-31
277.001,1.289e+4,1.747e-29,7.434e-32,3.552e-41,1.289e+4,3.160e-31
277.003,8.198e+3,1.748e-29,7.435e-32,3.553e-41,8.198e+3,3.161e-31
277.005,4.800e+3,1.748e-29,7.436e-32,3.553e-41,4.800e+3,3.163e-31
277.006,3.561e+3,1.748e-29,7.437e-32,3.553e-41,3.561e+3,3.164e-31
277.008,1.843e+3,1.748e-29,7.438e-32,3.554e-41,1.843e+3,3.165e-31
277.01,8.785e+2,1.749e-29,7.439e-32,3.554e-41,8.785e+2,3.167e-31
277.011,5.880e+2,1.749e-29,7.440e-32,3.554e-41,5.880e+2,3.168e-31
277.013,2.477e+2,1.749e-29,7.441e-32,3.555e-41,2.477e+2,3.169e-31
277.015,9.610e+1,1.749e-29,7.442e-32,3.555e-41,9.610e+1,3.171e-31
277.016,5.803e+1,1.750e-29,7.443e-32,3.555e-41,5.803e+1,3.171e-31
277.018,1.990e+1,1.750e-29,7.444e-32,3.556e-41,1.990e+1,3.173e-31
277.02,6.283e+0,1.750e-29,7.445e-32,3.556e-41,6.283e+0,3.175e-31
277.021,3.423e+0,1.750e-29,7.445e-32,3.556e-41,3.423e+0,3.175e-31
277.023,9.554e-1,1.751e-29,7.447e-32,3.557e-41,9.554e-1,3.177e-31
277.025,2.456e-1,1.751e-29,7.448e-32,3.557e-41,2.456e-1,3.179e-31
277.026,1.207e-1,1.751e-29,7.448e-32,3.557e-41,1.207e-1,3.179e-31
277.028,2.742e-2,1.752e-29,7.449e-32,3.557e-41,2.742e-2,3.181e-31
277.03,5.737e-3,1.752e-29,7.451e-32,3.558e-41,5.737e-3,3.182e-31
277.031,2.544e-3,1.752e-29,7.451e-32,3.558e-41,2.544e-3,3.183e-31
277.033,4.704e-4,1.752e-29,7.452e-32,3.558e-41,4.704e-4,3.185e-31
277.035,8.011e-5,1.753e-29,7.453e-32,3.559e-41,8.011e-5,3.186e-31
277.036,3.205e-5,1.753e-29,7.454e-32,3.559e-41,3.205e-5,3.187e-31
277.038,4.824e-6,1.753e-29,7.455e-32,3.559e-41,4.824e-6,3.189e-31
277.04,6.686e-7,1.753e-29,7.456e-32,3.560e-41,6.686e-7,3.190e-31
277.041,2.414e-7,1.754e-29,7.457e-32,3.560e-41,2.414e-7,3.191e-31
277.043,2.957e-8,1.754e-29,7.458e-32,3.560e-41,2.957e-8,3.193e-31
277.045,3.336e-9,1.754e-29,7.459e-32,3.561e-41,3.336e-9,3.194e-31
277.046,1.086e-9,1.754e-29,7.460e-32,3.561e-41,1.086e-9,3.195e-31
277.048,1.083e-10,1.755e-29,7.461e-32,3.561e-41,1.083e-10,3.196e-31
277.05,9.947e-12,1.755e-29,7.462e-32,3.561e-41,9.947e-12,3.198e-31
277.051,2.923e-12,1.755e-29,7.462e-32,3.562e-41,2.923e-12,3.199e-31
277.053,2.372e-13,1.756e-29,7.464e-32,3.562e-41,2.372e-13,3.200e-31
277.055,1.773e-14,1.756e-29,7.465e-32,3.562e-41,1.773e-14,3.202e-31
277.056,4.700e-15,1.756e-29,7.465e-32,3.563e-41,4.700e-15,3.203e-31
277.058,3.105e-16,1.756e-29,7.466e-32,3.563e-41,3.105e-16,3.204e-31
277.06,1.889e-17,1.757e-29,7.468e-32,3.563e-41,1.889e-17,3.206e-31
277.061,4.518e-18,1.757e-29,7.468e-32,3.563e-41,4.518e-18,3.207e-31
277.063,2.429e-19,1.757e-29,7.469e-32,3.564e-41,2.429e-19,3.208e-31
277.065,1.203e-20,1.757e-29,7.470e-32,3.564e-41,1.203e-20,3.210e-31
277.066,2.596e-21,1.758e-29,7.471e-32,3.564e-41,2.596e-21,3.211e-31
277.068,1.136e-22,1.758e-29,7.472e-32,3.565e-41,1.136e-22,3.212e-31
277.07,4.580e-24,1.758e-29,7.473e-32,3.565e-41,4.580e-24,3.214e-31
277.071,8.915e-25,1.758e-29,7.474e-32,3.565e-41,8.915e-25,3.214e-31
277.073,3.176e-26,1.759e-29,7.475e-32,3.566e-41,3.176e-26,3.216e-31
277.075,1.042e-27,1.759e-29,7.476e-32,3.566e-41,1.042e-27,3.218e-31
277.076,1.830e-28,1.759e-29,7.477e-32,3.566e-41,1.830e-28,3.218e-31
277.078,5.307e-30,1.760e-29,7.478e-32,3.567e-41,5.307e-30,3.220e-31
277.08,1.417e-31,1.760e-29,7.479e-32,3.567e-41,1.417e-31,3.221e-31
277.979,1.186e-32,1.903e-29,7.991e-32,3.732e-41,1.186e-32,3.924e-31
277.981,4.686e-31,1.904e-29,7.992e-32,3.733e-41,4.686e-31,3.925e-31
277.982,2.857e-30,1.904e-29,7.993e-32,3.733e-41,2.857e-30,3.926e-31
277.984,9.984e-29,1.904e-29,7.994e-32,3.733e-41,9.984e-29,3.928e-31
277.986,3.216e-27,1.904e-29,7.995e-32,3.733e-41,3.216e-27,3.929e-31
277.987,1.770e-26,1.904e-29,7.996e-32,3.734e-41,1.770e-26,3.930e-31
277.989,5.044e-25,1.905e-29,7.997e-32,3.734e-41,5.044e-25,3.931e-31
277.991,1.325e-23,1.905e-29,7.998e-32,3.734e-41,1.325e-23,3.933e-31
277.992,6.583e-23,1.905e-29,7.999e-32,3.735e-41,6.583e-23,3.934e-31
277.994,1.529e-21,1.906e-29,8.000e-32,3.735e-41,1.529e-21,3.935e-31
277.996,3.274e-20,1.906e-29,8.001e-32,3.735e-41,3.274e-20,3.937e-31
277.997,1.469e-19,1.906e-29,8.002e-32,3.735e-41,1.469e-19,3.938e-31
277.999,2.782e-18,1.906e-29,8.003e-32,3.736e-41,2.782e-18,3.939e-31
278.001,4.856e-17,1.907e-29,8.004e-32,3.736e-41,4.856e-17,3.941e-31
278.002,1.967e-16,1.907e-29,8.004e-32,3.736e-41,1.967e-16,3.942e-31
278.004,3.038e-15,1.907e-29,8.005e-32,3.737e-41,3.038e-15,3.943e-31
278.006,4.323e-14,1.907e-29,8.007e-32,3.737e-41,4.323e-14,3.945e-31
278.007,1.581e-13,1.908e-29,8.007e-32,3.737e-41,1.581e-13,3.946e-31
278.009,1.991e-12,1.908e-29,8.008e-32,3.738e-41,1.991e-12,3.947e-31
278.011,2.309e-11,1.908e-29,8.009e-32,3.738e-41,2.309e-11,3.949e-31
278.012,7.627e-11,1.908e-29,8.010e-32,3.738e-41,7.627e-11,3.949e-31
278.014,7.827e-10,1.909e-29,8.011e-32,3.739e-41,7.827e-10,3.951e-31
278.016,7.402e-9,1.909e-29,8.012e-32,3.739e-41,7.402e-9,3.953e-31
278.018,6.451e-8,1.909e-29,8.013e-32,3.739e-41,6.451e-8,3.954e-31
278.019,1.847e-7,1.910e-29,8.014e-32,3.740e-41,1.847e-7,3.955e-31
278.021,1.424e-6,1.910e-29,8.015e-32,3.740e-41,1.424e-6,3.956e-31
278.023,1.012e-5,1.910e-29,8.016e-32,3.740e-41,1.012e-5,3.958e-31
278.024,2.616e-5,1.910e-29,8.017e-32,3.740e-41,2.616e-5,3.959e-31
278.026,1.644e-4,1.911e-29,8.018e-32,3.741e-41,1.644e-4,3.960e-31
278.028,9.524e-4,1.911e-29,8.019e-32,3.741e-41,9.524e-4,3.962e-31
278.029,2.223e-3,1.911e-29,8.020e-32,3.741e-41,2.223e-3,3.963e-31
278.031,1.139e-2,1.911e-29,8.021e-32,3.742e-41,1.139e-2,3.964e-31
278.033,5.379e-2,1.912e-29,8.022e-32,3.742e-41,5.379e-2,3.966e-31
278.034,1.134e-1,1.912e-29,8.023e-32,3.742e-41,1.134e-1,3.967e-31
278.036,4.736e-1,1.912e-29,8.024e-32,3.743e-41,4.736e-1,3.968e-31
278.038,1.824e+0,1.913e-29,8.025e-32,3.743e-41,1.824e+0,3.970e-31
278.039,3.470e+0,1.913e-29,8.025e-32,3.743e-41,3.470e+0,3.970e-31
278.041,1.182e+1,1.913e-29,8.027e-32,3.744e-41,1.182e+1,3.972e-31
278.043,3.710e+1,1.913e-29,8.028e-32,3.744e-41,3.710e+1,3.974e-31
278.044,6.374e+1,1.914e-29,8.028e-32,3.744e-41,6.374e+1,3.974e-31
278.046,1.770e+2,1.914e-29,8.029e-32,3.744e-41,1.770e+2,3.976e-31
278.048,4.529e+2,1.914e-29,8.031e-32,3.745e-41,4.529e+2,3.978e-31
278.049,7.025e+2,1.914e-29,8.031e-32,3.745e-41,7.025e+2,3.978e-31
278.051,1.590e+3,1.915e-29,8.032e-32,3.745e-41,1.590e+3,3.980e-31
278.053,3.318e+3,1.915e-29,8.033e-32,3.746e-41,3.318e+3,3.981e-31
278.054,4.647e+3,1.915e-29,8.034e-32,3.746e-41,4.647e+3,3.982e-31
278.056,8.577e+3,1.915e-29,8.035e-32,3.746e-41,8.577e+3,3.984e-31
278.058,1.459e+4,1.916e-29,8.036e-32,3.747e-41,1.459e+4,3.985e-31
278.059,1.845e+4,1.916e-29,8.037e-32,3.747e-41,1.845e+4,3.986e-31
278.061,2.776e+4,1.916e-29,8.038e-32,3.747e-41,2.776e+4,3.988e-31
278.063,3.849e+4,1.917e-29,8.039e-32,3.748e-41,3.849e+4,3.989e-31
278.064,4.395e+4,1.917e-29,8.040e-32,3.748e-41,4.395e+4,3.990e-31
278.066,5.391e+4,1.917e-29,8.041e-32,3.748e-41,5.391e+4,3.992e-31
278.068,6.094e+4,1.917e-29,8.042e-32,3.749e-41,6.094e+4,3.993e-31
278.069,6.283e+4,1.918e-29,8.043e-32,3.749e-41,6.283e+4,3.994e-31
278.071,6.283e+4,1.918e-29,8.044e-32,3.749e-41,6.283e+4,3.995e-31
278.073,5.790e+4,1.918e-29,8.045e-32,3.749e-41,5.790e+4,3.997e-31
278.074,5.391e+4,1.918e-29,8.045e-32,3.750e-41,5.391e+4,3.998e-31
278.076,4.395e+4,1.919e-29,8.047e-32,3.750e-41,4.395e+4,3.999e-31
278.078,3.302e+4,1.919e-29,8.048e-32,3.750e-41,3.302e+4,4.001e-31
278.079,2.776e+4,1.919e-29,8.048e-32,3.751e-41,2.776e+4,4.002e-31
278.081,1.845e+4,1.919e-29,8.049e-32,3.751e-41,1.845e+4,4.003e-31
278.083,1.130e+4,1.920e-29,8.051e-32,3.751e-41,1.130e+4,4.005e-31
278.084,8.577e+3,1.920e-29,8.051e-32,3.751e-41,8.577e+3,4.006e-31
278.086,4.647e+3,1.920e-29,8.052e-32,3.752e-41,4.647e+3,4.007e-31
278.088,2.321e+3,1.921e-29,8.053e-32,3.752e-41,2.321e+3,4.009e-31
278.089,1.590e+3,1.921e-29,8.054e-32,3.752e-41,1.590e+3,4.010e-31
278.091,7.025e+2,1.921e-29,8.055e-32,3.753e-41,7.025e+2,4.011e-31
278.093,2.860e+2,1.921e-29,8.056e-32,3.753e-41,2.860e+2,4.013e-31
278.094,1.770e+2,1.922e-29,8.057e-32,3.753e-41,1.770e+2,4.013e-31
278.096,6.374e+1,1.922e-29,8.058e-32,3.754e-41,6.374e+1,4.015e-31
278.098,2.115e+1,1.922e-29,8.059e-32,3.754e-41,2.115e+1,4.017e-31
278.099,1.182e+1,1.922e-29,8.060e-32,3.754e-41,1.182e+1,4.017e-31
278.101,3.470e+0,1.923e-29,8.061e-32,3.755e-41,3.470e+0,4.019e-31
278.103,9.389e-1,1.923e-29,8.062e-32,3.755e-41,9.389e-1,4.020e-31
