Wavelength (nm),Sum(calc),Al I (2.4e-2),Al II (4.8e-1),Al III (3.5e-4),Cr I (1.4e-2),Cr II (4.8e-1)
202.191,8.520e-1,,8.520e-1,,,
202.192,1.611e+0,,1.611e+0,,,
202.194,5.134e+0,,5.134e+0,,,
202.196,1.402e+1,,1.402e+1,,,
202.197,2.185e+1,,2.185e+1,,,
202.199,4.732e+1,,4.732e+1,,,
202.201,8.778e+1,,8.778e+1,,,
202.202,1.128e+2,,1.128e+2,,,
202.204,1.660e+2,,1.660e+2,,,
202.206,2.093e+2,,2.093e+2,,,
202.207,2.218e+2,,2.218e+2,,,
202.209,2.218e+2,,2.218e+2,,,
202.211,1.901e+2,,1.901e+2,,,
202.212,1.660e+2,,1.660e+2,,,
202.214,1.128e+2,,1.128e+2,,,
202.216,6.571e+1,,6.571e+1,,,
202.217,4.732e+1,,4.732e+1,,,
202.219,2.185e+1,,2.185e+1,,,
202.221,8.648e+0,,8.648e+0,,,
202.222,5.134e+0,,5.134e+0,,,
202.224,1.611e+0,,1.611e+0,,,
202.226,4.334e-1,,4.334e-1,,,
202.227,2.121e-1,,2.121e-1,,,
202.229,4.524e-2,,4.524e-2,,,
202.231,8.269e-3,,8.269e-3,,,
202.232,3.336e-3,,3.336e-3,,,
202.234,4.836e-4,,4.836e-4,,,
202.236,6.007e-5,,6.007e-5,,,
202.237,1.998e-5,,1.998e-5,,,
202.239,1.968e-6,,1.968e-6,,,
202.241,1.661e-7,,1.661e-7,,,
202.242,4.555e-8,,4.555e-8,,,
202.244,3.050e-9,,3.050e-9,,,
202.246,1.749e-10,,1.749e-10,,,
202.247,3.954e-11,,3.954e-11,,,
202.249,1.799e-12,,1.799e-12,,,
202.251,7.014e-14,,7.014e-14,,,
202.252,1.307e-14,,1.307e-14,,,
202.254,4.041e-16,,4.041e-16,,,
202.256,1.071e-17,,1.071e-17,,,
202.257,1.645e-18,,1.645e-18,,,
202.259,3.456e-20,,3.456e-20,,,
202.261,6.223e-22,,6.223e-22,,,
202.263,9.602e-24,,9.602e-24,,,
202.264,1.125e-24,,1.125e-24,,,
202.266,1.377e-26,,1.377e-26,,,
202.268,1.444e-28,,1.444e-28,,,
202.269,1.395e-29,,1.395e-29,,,
