Wavelength (nm),Sum(calc),Na I (4.5e-2),Na II (9.5e-1),Na III (3.4e-19)
217.002,2.920e-47,,,2.920e-47
217.004,2.527e-48,,,2.527e-48
217.005,7.019e-49,,,7.019e-49
217.007,4.829e-50,,,4.829e-50
217.009,2.851e-51,,,2.851e-51
217.01,6.543e-52,,,6.543e-52
217.012,3.071e-53,,,3.071e-53
217.014,1.237e-54,,,1.237e-54
217.015,2.345e-55,,,2.345e-55
217.017,7.509e-57,,,7.509e-57
217.019,2.064e-58,,,2.064e-58
217.02,3.231e-59,,,3.231e-59
217.022,7.058e-61,,,7.058e-61
217.024,1.324e-62,,,1.324e-62
217.025,1.711e-63,,,1.711e-63
217.027,2.551e-65,,,2.551e-65
217.029,3.263e-67,,,3.263e-67
217.03,3.485e-68,,,3.485e-68
217.032,3.545e-70,,,3.545e-70
217.034,3.094e-72,,,3.094e-72
217.035,2.729e-73,,,2.729e-73
217.037,1.894e-75,,,1.894e-75
217.039,1.128e-77,,,1.128e-77
217.04,8.216e-79,,,8.216e-79
217.042,3.889e-81,,,3.889e-81
217.044,1.580e-83,,,1.580e-83
217.045,9.509e-85,,,9.509e-85
217.047,3.071e-87,,,3.071e-87
217.049,8.512e-90,,,8.512e-90
217.05,4.231e-91,,,4.231e-91
217.052,9.324e-94,,,9.324e-94
217.054,1.763e-96,,,1.763e-96
217.055,7.239e-98,,,7.239e-98
217.057,1.088e-100,,,1.088e-100
217.059,1.404e-103,,,1.404e-103
217.06,4.762e-105,,,4.762e-105
217.062,4.884e-108,,,4.884e-108
217.064,4.299e-111,,,4.299e-111
217.065,1.204e-112,,,1.204e-112
217.067,8.426e-116,,,8.426e-116
217.069,5.060e-119,,,5.060e-119
217.07,1.171e-120,,,1.171e-120
217.072,5.589e-124,,,5.589e-124
217.074,2.290e-127,,,2.290e-127
217.075,4.377e-129,,,4.377e-129
217.349,4.811e-126,,,4.811e-126
217.35,2.381e-124,,,2.381e-124
217.352,5.203e-121,,,5.203e-121
217.354,9.764e-118,,,9.764e-118
217.355,3.995e-116,,,3.995e-116
217.357,5.966e-113,,,5.966e-113
217.359,7.651e-110,,,7.651e-110
217.36,2.588e-108,,,2.588e-108
217.362,2.641e-105,,,2.641e-105
217.364,2.315e-102,,,2.315e-102
217.365,6.473e-101,,,6.473e-101
217.367,4.514e-98,,,4.514e-98
217.369,2.704e-95,,,2.704e-95
217.37,6.250e-94,,,6.250e-94
217.372,2.979e-91,,,2.979e-91
217.374,1.219e-88,,,1.219e-88
217.375,2.330e-87,,,2.330e-87
217.377,7.591e-85,,,7.591e-85
217.379,2.123e-82,,,2.123e-82
217.38,3.354e-81,,,3.354e-81
217.382,7.468e-79,,,7.468e-79
217.384,1.428e-76,,,1.428e-76
217.385,1.864e-75,,,1.864e-75
217.387,2.836e-73,,,2.836e-73
217.389,3.706e-71,,,3.706e-71
217.39,4.001e-70,,,4.001e-70
217.392,4.160e-68,,,4.160e-68
217.394,3.714e-66,,,3.714e-66
217.395,3.315e-65,,,3.315e-65
217.397,2.355e-63,,,2.355e-63
217.399,1.437e-61,,,1.437e-61
217.4,1.060e-60,,,1.060e-60
217.402,5.149e-59,,,5.149e-59
217.404,2.147e-57,,,2.147e-57
217.405,1.310e-56,,,1.310e-56
217.407,4.346e-55,,,4.346e-55
217.409,1.239e-53,,,1.239e-53
217.41,6.245e-53,,,6.245e-53
217.412,1.416e-51,,,1.416e-51
217.414,2.759e-50,,,2.759e-50
217.415,1.150e-49,,,1.150e-49
217.417,1.782e-48,,,1.782e-48
217.419,2.372e-47,,,2.372e-47
217.42,8.174e-47,,,8.174e-47
217.422,8.658e-46,,,8.658e-46
217.424,7.875e-45,,,7.875e-45
217.425,2.243e-44,,,2.243e-44
217.427,1.624e-43,,,1.624e-43
217.429,1.010e-42,,,1.010e-42
217.43,2.377e-42,,,2.377e-42
217.432,1.176e-41,,,1.176e-41
217.434,4.996e-41,,,4.996e-41
217.435,9.727e-41,,,9.727e-41
217.437,3.289e-40,,,3.289e-40
217.439,9.548e-40,,,9.548e-40
217.44,1.537e-39,,,1.537e-39
217.442,3.550e-39,,,3.550e-39
217.444,7.044e-39,,,7.044e-39
