Wavelength (nm),Sum(calc),Zn I (3.9e-1),Zn II (6.1e-1)
206.129,4.196e+1,,4.196e+1
206.134,2.101e+2,,2.101e+2
206.139,9.356e+2,,9.356e+2
206.144,3.704e+3,,3.704e+3
206.149,1.303e+4,,1.303e+4
206.154,4.078e+4,,4.078e+4
206.159,1.134e+5,,1.134e+5
206.164,2.806e+5,,2.806e+5
206.169,6.169e+5,,6.169e+5
206.174,1.206e+6,,1.206e+6
206.179,2.096e+6,,2.096e+6
206.184,3.238e+6,,3.238e+6
206.189,4.448e+6,,4.448e+6
206.194,5.433e+6,,5.433e+6
206.199,5.899e+6,,5.899e+6
206.204,5.695e+6,,5.695e+6
206.209,4.887e+6,,4.887e+6
206.214,3.729e+6,,3.729e+6
206.219,2.530e+6,,2.530e+6
206.225,1.360e+6,,1.360e+6
206.23,7.121e+5,,7.121e+5
206.235,3.316e+5,,3.316e+5
206.24,1.373e+5,,1.373e+5
206.245,5.052e+4,,5.052e+4
206.25,1.653e+4,,1.653e+4
206.255,4.808e+3,,4.808e+3
206.26,1.244e+3,,1.244e+3
206.265,2.860e+2,,2.860e+2
206.27,5.846e+1,,5.846e+1
206.275,1.062e+1,,1.062e+1
206.28,1.717e+0,,1.717e+0
206.285,2.466e-1,,2.466e-1
206.29,3.150e-2,,3.150e-2
206.295,3.577e-3,,3.577e-3
206.3,3.611e-4,,3.611e-4
206.305,3.241e-5,,3.241e-5
206.31,2.587e-6,,2.587e-6
206.315,2.004e-7,,2.004e-7
206.32,2.127e-7,,2.127e-7
206.325,2.128e-6,,2.128e-6
206.33,2.000e-5,,2.000e-5
206.335,1.673e-4,,1.673e-4
206.34,1.244e-3,,1.244e-3
206.345,8.230e-3,,8.230e-3
206.35,4.841e-2,,4.841e-2
206.355,2.532e-1,,2.532e-1
206.36,1.178e+0,,1.178e+0
206.365,4.872e+0,,4.872e+0
206.37,1.792e+1,,1.792e+1
206.375,5.862e+1,,5.862e+1
206.38,1.705e+2,,1.705e+2
206.385,4.412e+2,,4.412e+2
206.39,1.015e+3,,1.015e+3
206.395,2.076e+3,,2.076e+3
206.4,3.777e+3,,3.777e+3
206.405,6.111e+3,,6.111e+3
206.41,8.792e+3,,8.792e+3
206.415,1.125e+4,,1.125e+4
206.42,1.280e+4,,1.280e+4
206.425,1.295e+4,,1.295e+4
206.43,1.165e+4,,1.165e+4
206.435,9.324e+3,,9.324e+3
206.44,6.634e+3,,6.634e+3
206.445,4.198e+3,,4.198e+3
206.45,2.362e+3,,2.362e+3
206.455,1.182e+3,,1.182e+3
206.461,4.412e+2,,4.412e+2
206.466,1.705e+2,,1.705e+2
206.471,5.862e+1,,5.862e+1
206.476,1.792e+1,,1.792e+1
206.481,4.872e+0,,4.872e+0
206.486,1.178e+0,,1.178e+0
206.491,2.532e-1,,2.532e-1
206.496,4.841e-2,,4.841e-2
206.501,8.230e-3,,8.230e-3
206.506,1.244e-3,,1.244e-3
206.511,1.673e-4,,1.673e-4
206.516,2.000e-5,,2.000e-5
206.521,2.127e-6,,2.127e-6
206.526,2.011e-7,,2.011e-7
206.531,1.691e-8,,1.691e-8
206.536,1.265e-9,,1.265e-9
206.541,8.409e-11,,8.409e-11
206.546,4.972e-12,,4.972e-12
206.551,2.615e-13,,2.615e-13
206.556,1.223e-14,,1.223e-14
206.561,5.085e-16,,5.085e-16
206.566,1.881e-17,,1.881e-17
206.571,6.185e-19,,6.185e-19
206.576,1.809e-20,,1.809e-20
206.581,4.705e-22,,4.705e-22
206.586,1.088e-23,,1.088e-23
206.591,2.238e-25,,2.238e-25
206.596,4.094e-27,,4.094e-27
206.601,6.658e-29,,6.658e-29
206.606,9.631e-31,,9.631e-31
206.611,1.239e-32,,1.239e-32
206.616,1.417e-34,,1.417e-34
206.621,1.442e-36,,1.442e-36
206.626,1.304e-38,,1.304e-38
206.631,1.049e-40,,1.049e-40
206.636,7.505e-43,,7.505e-43
206.641,4.774e-45,,4.774e-45
206.646,2.701e-47,,2.701e-47
206.651,1.359e-49,,1.359e-49
206.656,6.080e-52,,6.080e-52
206.661,2.419e-54,,2.419e-54
206.666,8.559e-57,,8.559e-57
206.671,2.693e-59,,2.693e-59
206.676,7.535e-62,,7.535e-62
206.681,1.875e-64,,1.875e-64
206.686,4.149e-67,,4.149e-67
206.691,8.163e-70,,8.163e-70
206.697,3.957e-73,,3.957e-73
206.702,6.015e-76,,6.015e-76
206.707,8.130e-79,,8.130e-79
206.712,9.773e-82,,9.773e-82
206.717,1.045e-84,,1.045e-84
206.722,9.932e-88,,9.932e-88
209.694,5.375e-85,,5.375e-85
209.699,4.575e-82,,4.575e-82
209.704,3.476e-79,,3.476e-79
209.709,2.358e-76,,2.358e-76
209.714,1.428e-73,,1.428e-73
209.719,7.721e-71,,7.721e-71
209.724,3.727e-68,,3.727e-68
209.729,1.607e-65,,1.607e-65
209.734,6.182e-63,,6.182e-63
209.739,2.124e-60,,2.124e-60
209.744,6.515e-58,,6.515e-58
209.749,1.784e-55,,1.784e-55
209.754,4.362e-53,,4.362e-53
209.76,2.758e-50,,2.758e-50
209.765,5.255e-48,,5.255e-48
209.77,8.938e-46,,8.938e-46
209.775,1.357e-43,,1.357e-43
209.78,1.840e-41,,1.840e-41
209.785,2.228e-39,,2.228e-39
209.79,2.408e-37,,2.408e-37
209.795,2.323e-35,,2.323e-35
209.8,2.001e-33,,2.001e-33
209.805,1.539e-31,,1.539e-31
209.81,1.057e-29,,1.057e-29
209.815,6.480e-28,,6.480e-28
209.82,3.547e-26,,3.547e-26
209.825,1.733e-24,,1.733e-24
209.83,7.562e-23,,7.562e-23
209.835,2.946e-21,,2.946e-21
209.84,1.024e-19,,1.024e-19
209.845,3.181e-18,,3.181e-18
209.85,8.817e-17,,8.817e-17
209.855,2.182e-15,,2.182e-15
209.86,4.822e-14,,4.822e-14
209.865,9.513e-13,,9.513e-13
209.87,1.675e-11,,1.675e-11
209.875,2.635e-10,,2.635e-10
209.88,3.699e-9,,3.699e-9
209.885,4.637e-8,,4.637e-8
209.89,5.189e-7,,5.189e-7
209.895,5.184e-6,,5.184e-6
209.9,4.625e-5,,4.625e-5
209.905,3.683e-4,,3.683e-4
209.91,2.619e-3,,2.619e-3
209.915,1.663e-2,,1.663e-2
209.92,9.423e-2,,9.423e-2
209.925,4.768e-1,,4.768e-1
209.93,2.154e+0,,2.154e+0
209.935,8.689e+0,,8.689e+0
209.94,3.129e+1,,3.129e+1
209.945,1.006e+2,,1.006e+2
209.95,2.888e+2,,2.888e+2
209.955,7.401e+2,,7.401e+2
209.96,1.693e+3,,1.693e+3
209.965,3.459e+3,,3.459e+3
209.97,6.309e+3,,6.309e+3
209.975,1.027e+4,,1.027e+4
209.98,1.494e+4,,1.494e+4
209.985,1.939e+4,,1.939e+4
209.99,2.246e+4,,2.246e+4
209.996,2.308e+4,,2.308e+4
210.001,2.084e+4,,2.084e+4
210.006,1.680e+4,,1.680e+4
210.011,1.210e+4,,1.210e+4
210.016,7.773e+3,,7.773e+3
210.021,4.460e+3,,4.460e+3
210.026,2.284e+3,,2.284e+3
210.031,1.045e+3,,1.045e+3
210.036,4.266e+2,,4.266e+2
210.041,1.555e+2,,1.555e+2
210.046,5.061e+1,,5.061e+1
210.051,1.471e+1,,1.471e+1
210.056,3.815e+0,,3.815e+0
210.061,8.836e-1,,8.836e-1
210.066,1.827e-1,,1.827e-1
210.071,3.373e-2,,3.373e-2
210.076,5.560e-3,,5.560e-3
210.081,8.183e-4,,8.183e-4
210.086,1.075e-4,,1.075e-4
210.091,1.261e-5,,1.261e-5
210.096,1.321e-6,,1.321e-6
210.101,1.236e-7,,1.236e-7
210.106,1.153e-8,,1.153e-8
210.111,1.531e-8,,1.531e-8
210.116,1.548e-7,,1.548e-7
210.121,1.470e-6,,1.470e-6
210.126,1.248e-5,,1.248e-5
210.131,9.455e-5,,9.455e-5
210.136,6.399e-4,,6.399e-4
210.141,3.867e-3,,3.867e-3
210.146,2.087e-2,,2.087e-2
210.151,1.006e-1,,1.006e-1
210.156,4.330e-1,,4.330e-1
210.161,1.664e+0,,1.664e+0
210.166,5.712e+0,,5.712e+0
210.171,1.751e+1,,1.751e+1
210.176,4.793e+1,,4.793e+1
210.181,1.172e+2,,1.172e+2
210.186,2.558e+2,,2.558e+2
210.191,4.986e+2,,4.986e+2
210.196,8.680e+2,,8.680e+2
210.201,1.349e+3,,1.349e+3
210.206,1.873e+3,,1.873e+3
210.211,2.323e+3,,2.323e+3
210.216,2.572e+3,,2.572e+3
210.221,2.543e+3,,2.543e+3
210.226,2.245e+3,,2.245e+3
210.232,1.666e+3,,1.666e+3
210.237,1.147e+3,,1.147e+3
210.242,7.049e+2,,7.049e+2
210.247,3.870e+2,,3.870e+2
210.252,1.897e+2,,1.897e+2
210.257,8.306e+1,,8.306e+1
210.262,3.247e+1,,3.247e+1
210.267,1.134e+1,,1.134e+1
210.272,3.535e+0,,3.535e+0
210.277,9.844e-1,,9.844e-1
210.282,2.448e-1,,2.448e-1
210.287,5.436e-2,,5.436e-2
210.292,1.078e-2,,1.078e-2
210.297,1.909e-3,,1.909e-3
210.302,3.019e-4,,3.019e-4
210.307,4.263e-5,,4.263e-5
210.312,5.377e-6,,5.377e-6
210.317,6.056e-7,,6.056e-7
210.322,6.091e-8,,6.091e-8
210.327,5.470e-9,,5.470e-9
210.332,4.388e-10,,4.388e-10
210.337,3.143e-11,,3.143e-11
210.342,2.010e-12,,2.010e-12
210.347,1.148e-13,,1.148e-13
210.352,5.858e-15,,5.858e-15
210.357,2.669e-16,,2.669e-16
210.362,1.086e-17,,1.086e-17
210.367,3.944e-19,,3.944e-19
210.372,1.280e-20,,1.280e-20
210.377,3.707e-22,,3.707e-22
210.382,9.592e-24,,9.592e-24
210.387,2.216e-25,,2.216e-25
210.392,4.573e-27,,4.573e-27
210.397,8.426e-29,,8.426e-29
210.402,1.386e-30,,1.386e-30
210.407,2.037e-32,,2.037e-32
210.412,2.674e-34,,2.674e-34
210.417,3.133e-36,,3.133e-36
210.422,3.279e-38,,3.279e-38
210.427,3.064e-40,,3.064e-40
210.432,2.557e-42,,2.557e-42
210.437,1.906e-44,,1.906e-44
210.442,1.269e-46,,1.269e-46
210.447,7.540e-49,,7.540e-49
210.452,4.002e-51,,4.002e-51
210.457,1.897e-53,,1.897e-53
210.462,8.030e-56,,8.030e-56
210.468,9.813e-59,,9.813e-59
210.473,3.238e-61,,3.238e-61
210.478,9.544e-64,,9.544e-64
210.483,2.512e-66,,2.512e-66
210.488,5.904e-69,,5.904e-69
210.493,1.239e-71,,1.239e-71
210.498,2.322e-74,,2.322e-74
210.503,3.887e-77,,3.887e-77
210.508,5.811e-80,,5.811e-80
210.513,7.756e-83,,7.756e-83
210.518,9.246e-86,,9.246e-86
213.556,2.163e-79,2.163e-79,8.969e-71
213.561,1.478e-76,1.478e-76,8.984e-71
213.566,9.050e-74,9.050e-74,8.999e-71
213.571,4.968e-71,4.968e-71,9.013e-71
213.576,2.445e-68,2.445e-68,9.028e-71
213.581,1.079e-65,1.079e-65,9.043e-71
213.586,4.266e-63,4.266e-63,9.058e-71
213.591,1.512e-60,1.512e-60,9.072e-71
213.596,4.807e-58,4.807e-58,9.087e-71
213.601,1.369e-55,1.369e-55,9.102e-71
213.606,3.497e-53,3.497e-53,9.117e-71
213.611,8.007e-51,8.007e-51,9.131e-71
213.616,1.643e-48,1.643e-48,9.146e-71
213.621,3.023e-46,3.023e-46,9.161e-71
213.626,4.987e-44,4.987e-44,9.176e-71
213.631,7.372e-42,7.372e-42,9.190e-71
213.636,9.771e-40,9.771e-40,9.205e-71
213.641,1.161e-37,1.161e-37,9.220e-71
213.646,1.236e-35,1.236e-35,9.235e-71
213.651,1.181e-33,1.181e-33,9.249e-71
213.656,1.010e-31,1.010e-31,9.264e-71
213.661,7.752e-30,7.752e-30,9.279e-71
213.666,5.332e-28,5.332e-28,9.294e-71
213.671,3.287e-26,3.287e-26,9.308e-71
213.676,1.817e-24,1.817e-24,9.323e-71
213.681,9.002e-23,9.002e-23,9.338e-71
213.686,3.999e-21,3.999e-21,9.353e-71
213.691,1.592e-19,1.592e-19,9.368e-71
213.696,5.682e-18,5.682e-18,9.382e-71
213.701,1.818e-16,1.818e-16,9.397e-71
213.706,5.215e-15,5.215e-15,9.412e-71
213.711,1.341e-13,1.341e-13,9.427e-71
213.716,3.091e-12,3.091e-12,9.441e-71
213.721,6.386e-11,6.386e-11,9.456e-71
213.726,1.183e-9,1.183e-9,9.471e-71
213.731,1.964e-8,1.964e-8,9.486e-71
213.736,2.924e-7,2.924e-7,9.500e-71
213.741,3.901e-6,3.901e-6,9.515e-71
213.746,4.666e-5,4.666e-5,9.530e-71
213.751,5.003e-4,5.003e-4,9.545e-71
213.756,4.809e-3,4.809e-3,9.559e-71
213.761,4.144e-2,4.144e-2,9.574e-71
213.766,3.201e-1,3.201e-1,9.589e-71
213.772,3.222e+0,3.222e+0,9.607e-71
213.777,1.956e+1,1.956e+1,9.621e-71
213.782,1.065e+2,1.065e+2,9.636e-71
213.787,5.198e+2,5.198e+2,9.651e-71
213.792,2.274e+3,2.274e+3,9.666e-71
213.797,8.919e+3,8.919e+3,9.680e-71
213.802,3.136e+4,3.136e+4,9.695e-71
213.807,9.883e+4,9.883e+4,9.710e-71
213.812,2.792e+5,2.792e+5,9.725e-71
213.817,7.071e+5,7.071e+5,9.740e-71
213.822,1.605e+6,1.605e+6,9.754e-71
213.827,3.268e+6,3.268e+6,9.769e-71
213.832,5.962e+6,5.962e+6,9.784e-71
213.837,9.750e+6,9.750e+6,9.799e-71
213.842,1.430e+7,1.430e+7,9.813e-71
213.847,1.879e+7,1.879e+7,9.828e-71
213.852,2.214e+7,2.214e+7,9.843e-71
213.857,2.338e+7,2.338e+7,9.858e-71
213.862,2.214e+7,2.214e+7,9.872e-71
213.867,1.879e+7,1.879e+7,9.887e-71
213.872,1.430e+7,1.430e+7,9.902e-71
213.877,9.750e+6,9.750e+6,9.917e-71
213.882,5.962e+6,5.962e+6,9.931e-71
213.887,3.268e+6,3.268e+6,9.946e-71
213.892,1.605e+6,1.605e+6,9.961e-71
213.897,7.071e+5,7.071e+5,9.976e-71
213.902,2.792e+5,2.792e+5,9.990e-71
213.907,9.883e+4,9.883e+4,1.001e-70
213.912,3.136e+4,3.136e+4,1.002e-70
213.917,8.919e+3,8.919e+3,1.003e-70
213.922,2.274e+3,2.274e+3,1.005e-70
213.927,5.198e+2,5.198e+2,1.006e-70
213.932,1.065e+2,1.065e+2,1.008e-70
213.937,1.956e+1,1.956e+1,1.009e-70
213.942,3.222e+0,3.222e+0,1.011e-70
213.947,4.755e-1,4.755e-1,1.012e-70
213.952,6.292e-2,6.292e-2,1.014e-70
213.957,7.464e-3,7.464e-3,1.015e-70
213.962,7.936e-4,7.936e-4,1.017e-70
213.967,7.565e-5,7.565e-5,1.018e-70
213.972,6.464e-6,6.464e-6,1.020e-70
213.977,4.952e-7,4.952e-7,1.021e-70
213.982,3.400e-8,3.400e-8,1.023e-70
213.987,2.093e-9,2.093e-9,1.024e-70
213.992,1.155e-10,1.155e-10,1.026e-70
213.997,5.713e-12,5.713e-12,1.027e-70
214.002,2.534e-13,2.534e-13,1.029e-70
214.008,5.215e-15,5.215e-15,1.030e-70
214.013,1.818e-16,1.818e-16,1.032e-70
214.018,5.682e-18,5.682e-18,1.033e-70
214.023,1.592e-19,1.592e-19,1.035e-70
214.028,3.999e-21,3.999e-21,1.036e-70
214.033,9.002e-23,9.002e-23,1.038e-70
214.038,1.817e-24,1.817e-24,1.039e-70
214.043,3.287e-26,3.287e-26,1.041e-70
214.048,5.332e-28,5.332e-28,1.042e-70
214.053,7.752e-30,7.752e-30,1.044e-70
214.058,1.010e-31,1.010e-31,1.045e-70
214.063,1.181e-33,1.181e-33,1.047e-70
214.068,1.236e-35,1.236e-35,1.048e-70
214.073,1.161e-37,1.161e-37,1.050e-70
214.078,9.771e-40,9.771e-40,1.051e-70
214.083,7.372e-42,7.372e-42,1.052e-70
214.088,4.987e-44,4.987e-44,1.054e-70
214.093,3.023e-46,3.023e-46,1.055e-70
214.098,1.643e-48,1.643e-48,1.057e-70
214.103,8.007e-51,8.007e-51,1.058e-70
214.108,3.497e-53,3.497e-53,1.060e-70
214.113,1.369e-55,1.369e-55,1.061e-70
214.118,4.807e-58,4.807e-58,1.063e-70
214.123,1.512e-60,1.512e-60,1.064e-70
214.128,4.266e-63,4.266e-63,1.066e-70
214.133,1.079e-65,1.079e-65,1.067e-70
214.138,2.445e-68,2.445e-68,1.069e-70
214.143,4.968e-71,4.968e-71,1.070e-70
214.148,9.050e-74,9.050e-74,1.072e-70
214.153,1.478e-76,1.478e-76,1.073e-70
214.158,2.163e-79,2.163e-79,1.075e-70
249.875,1.162e-69,4.934e-52,1.162e-69
249.88,1.975e-67,4.935e-52,1.975e-67
249.885,3.100e-65,4.936e-52,3.100e-65
249.89,4.493e-63,4.937e-52,4.493e-63
249.895,6.010e-61,4.937e-52,6.010e-61
249.9,7.423e-59,4.938e-52,7.423e-59
249.905,8.465e-57,4.939e-52,8.465e-57
249.91,8.911e-55,4.939e-52,8.911e-55
249.915,8.661e-53,4.940e-52,8.661e-53
249.92,7.772e-51,4.941e-52,7.772e-51
249.925,6.439e-49,4.941e-52,6.439e-49
249.93,4.925e-47,4.942e-52,4.925e-47
249.935,3.477e-45,4.943e-52,3.477e-45
249.94,2.267e-43,4.943e-52,2.267e-43
249.945,1.364e-41,4.944e-52,1.364e-41
249.95,7.582e-40,4.945e-52,7.582e-40
249.955,3.890e-38,4.946e-52,3.890e-38
249.96,1.842e-36,4.946e-52,1.842e-36
249.965,8.056e-35,4.947e-52,8.056e-35
249.97,3.252e-33,4.948e-52,3.252e-33
249.975,1.212e-31,4.948e-52,1.212e-31
249.98,4.171e-30,4.949e-52,4.171e-30
249.985,1.325e-28,4.950e-52,1.325e-28
249.99,3.887e-27,4.950e-52,3.887e-27
249.995,1.052e-25,4.951e-52,1.052e-25
250,2.631e-24,4.952e-52,2.631e-24
250.005,6.073e-23,4.952e-52,6.073e-23
250.01,1.294e-21,4.953e-52,1.294e-21
250.015,2.546e-20,4.954e-52,2.546e-20
250.02,4.624e-19,4.955e-52,4.624e-19
250.025,7.754e-18,4.955e-52,7.754e-18
250.03,1.200e-16,4.956e-52,1.200e-16
250.035,1.716e-15,4.957e-52,1.716e-15
250.04,2.264e-14,4.957e-52,2.264e-14
250.045,2.758e-13,4.958e-52,2.758e-13
250.05,3.102e-12,4.959e-52,3.102e-12
250.055,3.221e-11,4.959e-52,3.221e-11
250.06,3.088e-10,4.960e-52,3.088e-10
250.065,2.733e-9,4.961e-52,2.733e-9
250.07,2.234e-8,4.961e-52,2.234e-8
250.075,1.685e-7,4.962e-52,1.685e-7
250.08,1.174e-6,4.963e-52,1.174e-6
250.086,1.085e-5,4.964e-52,1.085e-5
250.091,6.337e-5,4.964e-52,6.337e-5
250.096,3.418e-4,4.965e-52,3.418e-4
250.101,1.702e-3,4.966e-52,1.702e-3
250.106,7.827e-3,4.966e-52,7.827e-3
250.111,3.322e-2,4.967e-52,3.322e-2
250.116,1.302e-1,4.968e-52,1.302e-1
250.121,4.711e-1,4.968e-52,4.711e-1
250.126,1.574e+0,4.969e-52,1.574e+0
250.131,4.853e+0,4.970e-52,4.853e+0
250.136,1.382e+1,4.971e-52,1.382e+1
250.141,3.632e+1,4.971e-52,3.632e+1
250.146,8.814e+1,4.972e-52,8.814e+1
250.151,1.975e+2,4.973e-52,1.975e+2
250.156,4.085e+2,4.973e-52,4.085e+2
250.161,7.802e+2,4.974e-52,7.802e+2
250.166,1.376e+3,4.975e-52,1.376e+3
250.171,2.239e+3,4.975e-52,2.239e+3
250.176,3.365e+3,4.976e-52,3.365e+3
250.181,4.669e+3,4.977e-52,4.669e+3
250.186,5.981e+3,4.977e-52,5.981e+3
250.191,7.073e+3,4.978e-52,7.073e+3
250.196,7.722e+3,4.979e-52,7.722e+3
250.201,7.784e+3,4.980e-52,7.784e+3
250.206,7.244e+3,4.980e-52,7.244e+3
250.211,6.224e+3,4.981e-52,6.224e+3
250.216,4.937e+3,4.982e-52,4.937e+3
250.221,3.616e+3,4.982e-52,3.616e+3
250.226,2.445e+3,4.983e-52,2.445e+3
250.231,1.526e+3,4.984e-52,1.526e+3
250.236,8.795e+2,4.984e-52,8.795e+2
250.241,4.679e+2,4.985e-52,4.679e+2
250.246,2.299e+2,4.986e-52,2.299e+2
250.251,1.042e+2,4.986e-52,1.042e+2
250.256,4.365e+1,4.987e-52,4.365e+1
250.261,1.687e+1,4.988e-52,1.687e+1
250.266,6.021e+0,4.989e-52,6.021e+0
250.271,1.984e+0,4.989e-52,1.984e+0
250.276,6.035e-1,4.990e-52,6.035e-1
250.281,1.695e-1,4.991e-52,1.695e-1
250.286,4.394e-2,4.991e-52,4.394e-2
250.291,1.052e-2,4.992e-52,1.052e-2
250.296,2.325e-3,4.993e-52,2.325e-3
250.301,4.743e-4,4.993e-52,4.743e-4
250.306,8.934e-5,4.994e-52,8.934e-5
250.311,1.554e-5,4.995e-52,1.554e-5
250.316,2.495e-6,4.995e-52,2.495e-6
250.322,2.500e-7,4.996e-52,2.500e-7
250.327,3.368e-8,4.997e-52,3.368e-8
250.332,4.187e-9,4.998e-52,4.187e-9
250.337,4.807e-10,4.998e-52,4.807e-10
250.342,5.095e-11,4.999e-52,5.095e-11
250.347,4.986e-12,5.000e-52,4.986e-12
250.352,4.504e-13,5.000e-52,4.504e-13
250.357,3.757e-14,5.001e-52,3.757e-14
250.362,2.893e-15,5.002e-52,2.893e-15
250.367,2.056e-16,5.002e-52,2.056e-16
250.372,1.350e-17,5.003e-52,1.350e-17
250.377,8.179e-19,5.004e-52,8.179e-19
250.382,4.576e-20,5.005e-52,4.576e-20
250.387,2.363e-21,5.005e-52,2.363e-21
250.392,1.127e-22,5.006e-52,1.127e-22
250.397,4.961e-24,5.007e-52,4.961e-24
250.402,2.016e-25,5.007e-52,2.016e-25
250.407,7.566e-27,5.008e-52,7.566e-27
250.412,2.621e-28,5.009e-52,2.621e-28
250.417,8.384e-30,5.009e-52,8.384e-30
250.422,2.476e-31,5.010e-52,2.476e-31
250.427,6.749e-33,5.011e-52,6.749e-33
250.432,1.699e-34,5.011e-52,1.699e-34
250.437,3.947e-36,5.012e-52,3.947e-36
250.442,8.468e-38,5.013e-52,8.468e-38
250.447,1.677e-39,5.014e-52,1.677e-39
250.452,3.067e-41,5.014e-52,3.067e-41
250.457,5.178e-43,5.015e-52,5.178e-43
250.462,8.070e-45,5.016e-52,8.070e-45
250.467,1.161e-46,5.016e-52,1.161e-46
250.472,1.543e-48,5.017e-52,1.543e-48
250.477,1.892e-50,5.018e-52,1.892e-50
250.482,2.143e-52,5.018e-52,2.143e-52
250.487,2.240e-54,5.019e-52,2.240e-54
250.492,2.162e-56,5.020e-52,2.162e-56
250.497,1.926e-58,5.020e-52,1.926e-58
250.502,1.585e-60,5.021e-52,1.585e-60
250.507,1.204e-62,5.022e-52,1.204e-62
250.512,8.441e-65,5.022e-52,8.441e-65
250.517,5.465e-67,5.023e-52,5.465e-67
250.522,3.266e-69,5.024e-52,3.266e-69
255.468,1.616e-67,5.707e-52,1.616e-67
255.473,2.304e-65,5.708e-52,2.304e-65
255.478,3.041e-63,5.709e-52,3.041e-63
255.483,3.720e-61,5.709e-52,3.720e-61
255.488,4.215e-59,5.710e-52,4.215e-59
255.493,4.425e-57,5.711e-52,4.425e-57
255.498,4.304e-55,5.711e-52,4.304e-55
255.503,3.878e-53,5.712e-52,3.878e-53
255.509,7.771e-51,5.713e-52,7.771e-51
255.514,5.918e-49,5.714e-52,5.918e-49
255.519,4.175e-47,5.714e-52,4.175e-47
255.524,2.729e-45,5.715e-52,2.729e-45
255.529,1.653e-43,5.716e-52,1.653e-43
255.534,9.272e-42,5.716e-52,9.272e-42
255.539,4.819e-40,5.717e-52,4.819e-40
255.544,2.320e-38,5.718e-52,2.320e-38
255.549,1.035e-36,5.718e-52,1.035e-36
255.554,4.277e-35,5.719e-52,4.277e-35
255.559,1.637e-33,5.720e-52,1.637e-33
255.564,5.808e-32,5.720e-52,5.808e-32
255.569,1.908e-30,5.721e-52,1.908e-30
255.574,5.810e-29,5.722e-52,5.810e-29
255.579,1.638e-27,5.723e-52,1.638e-27
255.584,4.281e-26,5.723e-52,4.281e-26
255.589,1.036e-24,5.724e-52,1.036e-24
255.594,2.324e-23,5.725e-52,2.324e-23
255.599,4.827e-22,5.725e-52,4.827e-22
255.604,9.290e-21,5.726e-52,9.290e-21
255.609,1.656e-19,5.727e-52,1.656e-19
255.614,2.736e-18,5.727e-52,2.736e-18
255.619,4.187e-17,5.728e-52,4.187e-17
255.624,5.937e-16,5.729e-52,5.937e-16
255.629,7.797e-15,5.729e-52,7.797e-15
255.634,9.488e-14,5.730e-52,9.488e-14
255.639,1.070e-12,5.731e-52,1.070e-12
255.644,1.117e-11,5.731e-52,1.117e-11
255.649,1.081e-10,5.732e-52,1.081e-10
255.654,9.687e-10,5.733e-52,9.687e-10
255.659,8.044e-9,5.734e-52,8.044e-9
255.664,6.188e-8,5.734e-52,6.188e-8
255.669,4.410e-7,5.735e-52,4.410e-7
255.674,2.912e-6,5.736e-52,2.912e-6
255.679,1.781e-5,5.736e-52,1.781e-5
255.684,1.009e-4,5.737e-52,1.009e-4
255.689,5.300e-4,5.738e-52,5.300e-4
255.694,2.578e-3,5.738e-52,2.578e-3
255.699,1.162e-2,5.739e-52,1.162e-2
255.704,4.849e-2,5.740e-52,4.849e-2
255.709,1.875e-1,5.740e-52,1.875e-1
255.714,6.718e-1,5.741e-52,6.718e-1
255.719,2.230e+0,5.742e-52,2.230e+0
255.724,6.857e+0,5.743e-52,6.857e+0
255.729,1.954e+1,5.743e-52,1.954e+1
255.734,5.156e+1,5.744e-52,5.156e+1
255.739,1.261e+2,5.745e-52,1.261e+2
255.745,3.332e+2,5.745e-52,3.332e+2
255.75,6.887e+2,5.746e-52,6.887e+2
255.755,1.319e+3,5.747e-52,1.319e+3
255.76,2.339e+3,5.748e-52,2.339e+3
255.765,3.843e+3,5.748e-52,3.843e+3
255.77,5.851e+3,5.749e-52,5.851e+3
255.775,8.253e+3,5.750e-52,8.253e+3
255.78,1.078e+4,5.750e-52,1.078e+4
255.785,1.305e+4,5.751e-52,1.305e+4
255.79,1.464e+4,5.752e-52,1.464e+4
255.795,1.521e+4,5.752e-52,1.521e+4
255.8,1.464e+4,5.753e-52,1.464e+4
255.805,1.305e+4,5.754e-52,1.305e+4
255.81,1.078e+4,5.754e-52,1.078e+4
255.815,8.253e+3,5.755e-52,8.253e+3
255.82,5.851e+3,5.756e-52,5.851e+3
255.825,3.843e+3,5.757e-52,3.843e+3
255.83,2.339e+3,5.757e-52,2.339e+3
255.835,1.319e+3,5.758e-52,1.319e+3
255.84,6.887e+2,5.759e-52,6.887e+2
255.845,3.332e+2,5.759e-52,3.332e+2
255.85,1.494e+2,5.760e-52,1.494e+2
255.855,6.203e+1,5.761e-52,6.203e+1
255.86,2.387e+1,5.761e-52,2.387e+1
255.865,8.506e+0,5.762e-52,8.506e+0
255.87,2.809e+0,5.763e-52,2.809e+0
255.875,8.593e-1,5.763e-52,8.593e-1
255.88,2.435e-1,5.764e-52,2.435e-1
255.885,6.394e-2,5.765e-52,6.394e-2
255.89,1.555e-2,5.765e-52,1.555e-2
255.895,3.505e-3,5.766e-52,3.505e-3
255.9,7.317e-4,5.767e-52,7.317e-4
255.905,1.415e-4,5.768e-52,1.415e-4
255.91,2.536e-5,5.768e-52,2.536e-5
255.915,4.209e-6,5.769e-52,4.209e-6
255.92,6.473e-7,5.770e-52,6.473e-7
