Wavelength (nm),Sum(calc),Zn I (3.9e-1),Zn II (6.1e-1)
773.37,1.345e+1,,1.345e+1
773.375,1.114e+1,,1.114e+1
773.38,9.155e+0,,9.155e+0
773.385,7.459e+0,,7.459e+0
773.39,6.027e+0,,6.027e+0
773.395,4.829e+0,,4.829e+0
773.4,3.837e+0,,3.837e+0
773.405,3.023e+0,,3.023e+0
773.41,2.362e+0,,2.362e+0
773.415,1.830e+0,,1.830e+0
773.42,1.407e+0,,1.407e+0
773.425,1.072e+0,,1.072e+0
773.43,8.100e-1,,8.100e-1
773.435,6.070e-1,,6.070e-1
773.44,4.511e-1,,4.511e-1
773.445,3.324e-1,,3.324e-1
773.45,2.429e-1,,2.429e-1
773.455,1.761e-1,,1.761e-1
773.46,1.265e-1,,1.265e-1
773.465,9.019e-2,,9.019e-2
773.47,6.375e-2,,6.375e-2
773.475,4.468e-2,,4.468e-2
773.48,3.106e-2,,3.106e-2
773.485,2.141e-2,,2.141e-2
773.49,1.463e-2,,1.463e-2
773.495,9.918e-3,,9.918e-3
773.5,6.667e-3,,6.667e-3
773.505,4.444e-3,,4.444e-3
773.51,2.938e-3,,2.938e-3
773.515,1.926e-3,,1.926e-3
773.52,1.252e-3,,1.252e-3
773.525,8.071e-4,,8.071e-4
773.53,5.160e-4,,5.160e-4
773.535,3.271e-4,,3.271e-4
773.54,2.057e-4,,2.057e-4
773.545,1.282e-4,,1.282e-4
773.55,7.928e-5,,7.928e-5
773.555,4.861e-5,,4.861e-5
773.56,2.955e-5,,2.955e-5
773.565,1.782e-5,,1.782e-5
773.57,1.065e-5,,1.065e-5
773.575,6.318e-6,,6.318e-6
773.58,3.715e-6,,3.715e-6
773.585,2.166e-6,,2.166e-6
773.59,1.253e-6,,1.253e-6
773.596,6.421e-7,,6.421e-7
773.601,3.645e-7,,3.645e-7
773.606,2.052e-7,,2.052e-7
773.611,1.146e-7,,1.146e-7
773.616,6.344e-8,,6.344e-8
773.621,3.483e-8,,3.483e-8
773.626,1.897e-8,,1.897e-8
773.631,1.024e-8,,1.024e-8
773.636,5.483e-9,,5.483e-9
773.641,2.911e-9,,2.911e-9
773.646,1.533e-9,,1.533e-9
773.651,8.005e-10,,8.005e-10
773.656,4.145e-10,,4.145e-10
773.661,2.129e-10,,2.129e-10
773.666,1.084e-10,,1.084e-10
773.671,5.475e-11,,5.475e-11
773.676,2.742e-11,,2.742e-11
773.681,1.362e-11,,1.362e-11
773.686,6.706e-12,,6.706e-12
773.691,3.275e-12,,3.275e-12
773.696,1.586e-12,,1.586e-12
773.701,7.618e-13,,7.618e-13
773.706,3.628e-13,,3.628e-13
773.711,1.714e-13,,1.714e-13
773.716,8.027e-14,,8.027e-14
773.721,3.729e-14,,3.729e-14
773.726,1.718e-14,,1.718e-14
773.731,7.845e-15,,7.845e-15
773.736,3.554e-15,,3.554e-15
773.741,1.596e-15,,1.596e-15
773.746,7.112e-16,,7.112e-16
773.751,3.142e-16,,3.142e-16
773.756,1.376e-16,,1.376e-16
773.761,5.979e-17,,5.979e-17
773.766,2.576e-17,,2.576e-17
773.771,1.101e-17,,1.101e-17
773.776,4.663e-18,,4.663e-18
773.781,1.959e-18,,1.959e-18
773.786,8.162e-19,,8.162e-19
773.791,3.372e-19,,3.372e-19
773.796,1.382e-19,,1.382e-19
773.801,5.614e-20,,5.614e-20
773.806,2.262e-20,,2.262e-20
773.811,9.040e-21,,9.040e-21
773.816,3.582e-21,,3.582e-21
773.821,1.408e-21,,1.408e-21
773.826,5.485e-22,,5.485e-22
773.832,1.751e-22,,1.751e-22
773.837,6.698e-23,,6.698e-23
773.842,2.541e-23,,2.541e-23
773.847,9.562e-24,,9.562e-24
773.852,3.567e-24,,3.567e-24
773.857,1.320e-24,,1.320e-24
773.862,4.843e-25,,4.843e-25
773.867,1.762e-25,,1.762e-25
773.872,6.359e-26,,6.359e-26
773.877,2.275e-26,,2.275e-26
773.882,8.074e-27,,8.074e-27
773.887,2.841e-27,,2.841e-27
773.892,9.914e-28,,9.914e-28
773.897,3.431e-28,,3.431e-28
775.147,2.806e-29,,2.806e-29
775.152,8.134e-29,,8.134e-29
775.157,2.338e-28,,2.338e-28
775.162,6.665e-28,,6.665e-28
775.167,1.884e-27,,1.884e-27
775.172,5.284e-27,,5.284e-27
775.177,1.469e-26,,1.469e-26
775.182,4.052e-26,,4.052e-26
775.187,1.108e-25,,1.108e-25
775.192,3.005e-25,,3.005e-25
775.197,8.083e-25,,8.083e-25
775.202,2.156e-24,,2.156e-24
775.207,5.704e-24,,5.704e-24
775.212,1.496e-23,,1.496e-23
775.217,3.894e-23,,3.894e-23
775.222,1.005e-22,,1.005e-22
775.227,2.571e-22,,2.571e-22
775.232,6.524e-22,,6.524e-22
775.237,1.642e-21,,1.642e-21
775.242,4.099e-21,,4.099e-21
775.248,1.215e-20,,1.215e-20
775.253,2.978e-20,,2.978e-20
775.258,7.237e-20,,7.237e-20
775.263,1.744e-19,,1.744e-19
775.268,4.170e-19,,4.170e-19
775.273,9.885e-19,,9.885e-19
775.278,2.324e-18,,2.324e-18
775.283,5.419e-18,,5.419e-18
775.288,1.253e-17,,1.253e-17
775.293,2.873e-17,,2.873e-17
775.298,6.535e-17,,6.535e-17
775.303,1.474e-16,,1.474e-16
775.308,3.297e-16,,3.297e-16
775.313,7.312e-16,,7.312e-16
775.318,1.609e-15,,1.609e-15
775.323,3.510e-15,,3.510e-15
775.328,7.593e-15,,7.593e-15
775.333,1.629e-14,,1.629e-14
775.338,3.467e-14,,3.467e-14
775.343,7.317e-14,,7.317e-14
775.348,1.531e-13,,1.531e-13
775.353,3.179e-13,,3.179e-13
775.358,6.543e-13,,6.543e-13
775.363,1.336e-12,,1.336e-12
775.368,2.704e-12,,2.704e-12
775.373,5.429e-12,,5.429e-12
775.378,1.081e-11,,1.081e-11
775.383,2.135e-11,,2.135e-11
775.388,4.180e-11,,4.180e-11
775.393,8.119e-11,,8.119e-11
775.398,1.564e-10,,1.564e-10
775.403,2.987e-10,,2.987e-10
775.408,5.658e-10,,5.658e-10
775.413,1.063e-9,,1.063e-9
775.418,1.980e-9,,1.980e-9
775.423,3.659e-9,,3.659e-9
775.428,6.705e-9,,6.705e-9
775.433,1.219e-8,,1.219e-8
775.438,2.196e-8,,2.196e-8
775.443,3.925e-8,,3.925e-8
775.448,6.957e-8,,6.957e-8
775.453,1.223e-7,,1.223e-7
775.458,2.132e-7,,2.132e-7
775.463,3.686e-7,,3.686e-7
775.468,6.320e-7,,6.320e-7
775.473,1.075e-6,,1.075e-6
775.478,1.812e-6,,1.812e-6
775.484,3.356e-6,,3.356e-6
775.489,5.556e-6,,5.556e-6
775.494,9.124e-6,,9.124e-6
775.499,1.486e-5,,1.486e-5
775.504,2.400e-5,,2.400e-5
775.509,3.843e-5,,3.843e-5
775.514,6.105e-5,,6.105e-5
775.519,9.617e-5,,9.617e-5
775.524,1.502e-4,,1.502e-4
775.529,2.328e-4,,2.328e-4
775.534,3.577e-4,,3.577e-4
775.539,5.450e-4,,5.450e-4
775.544,8.236e-4,,8.236e-4
775.549,1.234e-3,,1.234e-3
775.554,1.835e-3,,1.835e-3
