Wavelength (nm),Sum(calc),Al I (1.3e-1),Al II (8.7e-1),Al III (2.5e-5)
202.192,1.085e-1,,1.085e-1,
202.194,4.064e-1,,4.064e-1,
202.196,1.276e+0,,1.276e+0,
202.197,2.118e+0,,2.118e+0,
202.199,5.108e+0,,5.108e+0,
202.201,1.033e+1,,1.033e+1,
202.202,1.375e+1,,1.375e+1,
202.204,2.136e+1,,2.136e+1,
202.206,2.782e+1,,2.782e+1,
202.207,2.972e+1,,2.972e+1,
202.209,2.972e+1,,2.972e+1,
202.211,2.492e+1,,2.492e+1,
202.212,2.136e+1,,2.136e+1,
202.214,1.375e+1,,1.375e+1,
202.216,7.426e+0,,7.426e+0,
202.217,5.108e+0,,5.108e+0,
202.219,2.118e+0,,2.118e+0,
202.221,7.363e-1,,7.363e-1,
202.222,4.064e-1,,4.064e-1,
202.224,1.085e-1,,1.085e-1,
202.226,2.428e-2,,2.428e-2,
202.227,1.076e-2,,1.076e-2,
202.229,1.849e-3,,1.849e-3,
202.231,2.665e-4,,2.665e-4,
202.232,9.470e-5,,9.470e-5,
202.234,1.048e-5,,1.048e-5,
202.236,9.728e-7,,9.728e-7,
202.237,2.774e-7,,2.774e-7,
202.239,1.977e-8,,1.977e-8,
202.241,1.181e-9,,1.181e-9,
202.242,2.704e-10,,2.704e-10,
202.244,1.241e-11,,1.241e-11,
202.246,4.773e-13,,4.773e-13,
202.247,8.765e-14,,8.765e-14,
202.249,2.590e-15,,2.590e-15,
202.251,6.416e-17,,6.416e-17,
202.252,9.454e-18,,9.454e-18,
202.254,1.799e-19,,1.799e-19,
202.256,2.869e-21,,2.869e-21,
202.257,3.392e-22,,3.392e-22,
202.259,4.156e-24,,4.156e-24,
202.261,4.269e-26,,4.269e-26,
202.263,3.677e-28,,3.677e-28,
202.264,3.194e-29,,3.194e-29,
202.266,2.113e-31,,2.113e-31,
202.268,1.172e-33,,1.172e-33,
202.269,8.169e-35,,8.169e-35,
202.271,3.479e-37,,3.479e-37,
202.273,1.242e-39,,1.242e-39,
202.274,6.949e-41,,6.949e-41,
202.276,1.906e-43,,1.906e-43,
202.278,4.382e-46,,4.382e-46,
202.279,1.967e-47,,1.967e-47,
202.281,3.473e-50,,3.473e-50,
202.283,5.142e-53,,5.142e-53,
202.284,1.852e-54,,1.852e-54,
202.286,2.105e-57,,2.105e-57,
202.288,2.007e-60,,2.007e-60,
202.289,5.801e-62,,5.801e-62,
207.28,3.345e-71,,7.204e-61,3.345e-71
207.282,3.205e-68,,7.207e-61,3.205e-68
207.283,9.319e-67,,7.208e-61,9.319e-67
207.285,6.947e-64,,7.211e-61,6.947e-64
207.287,4.380e-61,,7.213e-61,4.380e-61
207.288,1.033e-59,,7.215e-61,1.033e-59
207.29,5.067e-57,,7.217e-61,5.067e-57
207.292,2.102e-54,,7.220e-61,2.102e-54
207.293,4.021e-53,,7.221e-61,4.021e-53
207.295,1.298e-50,,7.224e-61,1.298e-50
207.297,3.542e-48,,7.226e-61,3.542e-48
207.298,5.496e-47,,7.228e-61,5.496e-47
207.3,1.167e-44,,7.230e-61,1.167e-44
207.302,2.096e-42,,7.233e-61,2.096e-42
207.303,2.638e-41,,7.234e-61,2.638e-41
207.305,3.686e-39,,7.237e-61,3.686e-39
207.307,4.356e-37,,7.240e-61,4.356e-37
207.308,4.447e-36,,7.241e-61,4.447e-36
207.31,4.088e-34,,7.244e-61,4.088e-34
207.312,3.178e-32,,7.246e-61,3.178e-32
207.313,2.632e-31,,7.248e-61,2.632e-31
207.315,1.592e-29,,7.250e-61,1.592e-29
207.317,8.144e-28,,7.253e-61,8.144e-28
207.318,5.471e-27,,7.254e-61,5.471e-27
207.32,2.177e-25,,6.935e-58,2.177e-25
207.322,7.328e-24,,5.608e-55,7.328e-24
207.323,3.993e-23,,1.498e-53,3.993e-23
207.325,1.046e-21,,9.421e-51,1.046e-21
207.327,2.316e-20,,5.013e-48,2.316e-20
207.328,1.024e-19,,1.086e-46,1.024e-19
207.33,1.764e-18,,4.496e-44,1.764e-18
207.332,2.571e-17,,1.574e-41,2.571e-17
207.333,9.217e-17,,2.767e-40,9.217e-17
207.335,1.045e-15,,7.537e-38,1.045e-15
207.337,1.003e-14,,1.737e-35,1.003e-14
207.338,2.917e-14,,2.476e-34,2.917e-14
207.34,2.178e-13,,4.438e-32,2.178e-13
207.342,1.377e-12,,6.730e-30,1.377e-12
207.343,3.251e-12,,7.783e-29,3.251e-12
207.345,1.600e-11,,9.182e-27,1.600e-11
207.347,6.676e-11,,9.162e-25,6.676e-11
207.348,1.282e-10,,8.596e-24,1.282e-10
207.35,4.176e-10,,6.673e-22,4.176e-10
207.352,1.156e-9,,4.382e-20,1.156e-9
207.353,1.811e-9,,3.335e-19,1.811e-9
