Wavelength (nm),Sum(calc),Cr I (8.9e-2),Cr II (9.1e-1)
205.512,1.746e-15,,1.746e-15
205.514,9.575e-14,,9.575e-14
205.516,4.428e-12,,4.428e-12
205.517,2.825e-11,,2.825e-11
205.519,1.012e-9,,1.012e-9
205.521,3.055e-8,,3.055e-8
205.522,1.575e-7,,1.575e-7
205.524,3.684e-6,,3.684e-6
205.526,7.266e-5,,7.266e-5
205.528,1.209e-3,,1.209e-3
205.529,4.625e-3,,4.625e-3
205.531,5.958e-2,,5.958e-2
205.533,6.474e-1,,6.474e-1
205.534,2.002e+0,,2.002e+0
205.536,1.684e+1,,1.684e+1
205.538,1.195e+2,,1.195e+2
205.54,7.153e+2,,7.153e+2
205.541,1.641e+3,,1.641e+3
205.543,7.607e+3,,7.607e+3
205.545,2.973e+4,,2.973e+4
205.546,5.514e+4,,5.514e+4
205.548,1.669e+5,,1.669e+5
205.55,4.261e+5,,4.261e+5
205.552,9.173e+5,,9.173e+5
205.553,1.263e+6,,1.263e+6
205.555,2.105e+6,,2.105e+6
205.557,2.960e+6,,2.960e+6
205.558,3.293e+6,,3.293e+6
205.56,3.585e+6,,3.585e+6
205.562,3.293e+6,,3.293e+6
205.563,2.960e+6,,2.960e+6
205.565,2.105e+6,,2.105e+6
205.567,1.263e+6,,1.263e+6
205.569,6.387e+5,,6.387e+5
205.57,4.261e+5,,4.261e+5
205.572,1.669e+5,,1.669e+5
205.574,5.514e+4,,5.514e+4
205.575,2.973e+4,,2.973e+4
205.577,7.607e+3,,7.607e+3
205.579,1.641e+3,,1.641e+3
205.581,2.987e+2,,2.987e+2
205.582,1.195e+2,,1.195e+2
205.584,1.684e+1,,1.684e+1
205.586,2.002e+0,,2.002e+0
205.587,6.474e-1,,6.474e-1
205.589,5.958e-2,,5.958e-2
205.591,4.625e-3,,4.625e-3
205.593,3.028e-4,,3.028e-4
205.594,7.266e-5,,7.266e-5
205.596,3.684e-6,,3.684e-6
205.598,1.575e-7,,1.575e-7
205.599,3.055e-8,,3.055e-8
205.601,1.012e-9,,1.012e-9
205.603,2.825e-11,,2.825e-11
205.605,6.651e-13,,6.651e-13
205.606,9.575e-14,,9.575e-14
205.608,1.746e-15,,1.746e-15
206.109,2.215e-16,,2.215e-16
206.111,1.291e-14,,1.291e-14
206.113,6.356e-13,,6.356e-13
206.115,2.641e-11,,2.641e-11
206.116,1.598e-10,,1.598e-10
206.118,5.150e-9,,5.150e-9
206.12,1.401e-7,,1.401e-7
206.121,6.858e-7,,6.858e-7
206.123,1.447e-5,,1.447e-5
206.125,2.578e-4,,2.578e-4
206.127,3.876e-3,,3.876e-3
206.128,1.411e-2,,1.411e-2
206.13,1.645e-1,,1.645e-1
206.132,1.620e+0,,1.620e+0
206.133,4.769e+0,,4.769e+0
206.135,3.642e+1,,3.642e+1
206.137,2.348e+2,,2.348e+2
206.139,1.278e+3,,1.278e+3
206.14,2.797e+3,,2.797e+3
206.142,1.180e+4,,1.180e+4
206.144,4.205e+4,,4.205e+4
206.145,7.449e+4,,7.449e+4
206.147,2.059e+5,,2.059e+5
206.149,4.802e+5,,4.802e+5
206.15,6.883e+5,,6.883e+5
206.152,1.245e+6,,1.245e+6
206.154,1.902e+6,,1.902e+6
206.156,2.452e+6,,2.452e+6
206.157,2.613e+6,,2.613e+6
206.159,2.613e+6,,2.613e+6
206.161,2.206e+6,,2.206e+6
206.162,1.902e+6,,1.902e+6
206.164,1.245e+6,,1.245e+6
206.166,6.883e+5,,6.883e+5
206.168,3.211e+5,,3.211e+5
206.169,2.059e+5,,2.059e+5
206.171,7.449e+4,,7.449e+4
206.173,2.276e+4,,2.276e+4
206.174,1.180e+4,,1.180e+4
206.176,2.797e+3,,2.797e+3
206.178,5.594e+2,,5.594e+2
206.18,9.445e+1,,9.445e+1
206.181,3.642e+1,,3.642e+1
206.183,4.769e+0,,4.769e+0
206.185,5.273e-1,,5.273e-1
206.186,1.645e-1,,1.645e-1
206.188,1.411e-2,,1.411e-2
206.19,1.021e-3,,1.021e-3
206.192,6.238e-5,,6.238e-5
206.193,1.447e-5,,1.447e-5
206.195,6.858e-7,,6.858e-7
206.197,2.743e-8,,2.743e-8
206.198,5.150e-9,,5.150e-9
206.2,1.598e-10,,1.598e-10
206.202,4.185e-12,,4.185e-12
206.204,9.254e-14,,9.254e-14
206.205,1.291e-14,,1.291e-14
206.501,1.827e-16,,1.827e-16
206.503,1.049e-14,,1.049e-14
206.505,5.087e-13,,5.087e-13
206.506,3.325e-12,,3.325e-12
206.508,1.252e-10,,1.252e-10
206.51,3.983e-9,,3.983e-9
206.512,1.070e-7,,1.070e-7
206.513,5.206e-7,,5.206e-7
206.515,1.086e-5,,1.086e-5
206.517,1.913e-4,,1.913e-4
206.518,7.538e-4,,7.538e-4
206.52,1.031e-2,,1.031e-2
206.522,1.191e-1,,1.191e-1
206.524,1.163e+0,,1.163e+0
206.525,3.410e+0,,3.410e+0
206.527,2.584e+1,,2.584e+1
206.529,1.654e+2,,1.654e+2
206.53,3.928e+2,,3.928e+2
206.532,1.952e+3,,1.952e+3
206.534,8.193e+3,,8.193e+3
206.536,2.905e+4,,2.905e+4
206.537,5.135e+4,,5.135e+4
206.539,1.413e+5,,1.413e+5
206.541,3.287e+5,,3.287e+5
206.542,4.704e+5,,4.704e+5
206.544,8.492e+5,,8.492e+5
206.546,1.295e+6,,1.295e+6
206.548,1.668e+6,,1.668e+6
206.549,1.777e+6,,1.777e+6
206.551,1.777e+6,,1.777e+6
206.553,1.501e+6,,1.501e+6
206.554,1.295e+6,,1.295e+6
206.556,8.492e+5,,8.492e+5
206.558,4.704e+5,,4.704e+5
206.56,2.201e+5,,2.201e+5
206.561,1.413e+5,,1.413e+5
206.563,5.135e+4,,5.135e+4
206.565,1.576e+4,,1.576e+4
206.566,8.193e+3,,8.193e+3
206.568,1.952e+3,,1.952e+3
206.57,3.928e+2,,3.928e+2
206.571,1.654e+2,,1.654e+2
206.573,2.584e+1,,2.584e+1
206.575,3.410e+0,,3.410e+0
206.577,3.802e-1,,3.802e-1
206.578,1.191e-1,,1.191e-1
206.58,1.031e-2,,1.031e-2
206.582,7.538e-4,,7.538e-4
206.583,1.913e-4,,1.913e-4
206.585,1.086e-5,,1.086e-5
206.587,5.206e-7,,5.206e-7
206.589,2.108e-8,,2.108e-8
206.59,3.983e-9,,3.983e-9
206.592,1.252e-10,,1.252e-10
206.594,3.325e-12,,3.325e-12
206.595,5.087e-13,,5.087e-13
206.597,1.049e-14,,1.049e-14
206.599,1.827e-16,,1.827e-16
235.376,4.474e-18,4.474e-18,6.487e-16
235.377,2.626e-17,2.626e-17,6.487e-16
235.379,8.210e-16,8.210e-16,6.487e-16
235.381,2.254e-14,2.254e-14,6.488e-16
235.382,1.125e-13,1.125e-13,6.488e-16
235.384,2.541e-12,2.541e-12,6.488e-16
235.386,5.041e-11,5.041e-11,6.488e-16
235.388,8.782e-10,8.782e-10,6.489e-16
235.389,3.491e-9,3.491e-9,6.489e-16
235.391,5.006e-8,5.006e-8,6.489e-16
235.393,6.304e-7,6.304e-7,6.489e-16
235.394,2.130e-6,2.130e-6,6.490e-16
235.396,2.208e-5,2.208e-5,6.490e-16
235.398,2.009e-4,2.009e-4,6.490e-16
235.4,1.605e-3,1.605e-3,6.491e-16
235.401,4.323e-3,4.323e-3,6.491e-16
235.403,2.843e-2,2.843e-2,6.491e-16
235.405,1.642e-1,1.642e-1,6.491e-16
235.406,3.758e-1,3.758e-1,6.492e-16
235.408,1.786e+0,1.786e+0,6.492e-16
235.41,7.456e+0,7.456e+0,6.492e-16
235.412,2.733e+1,2.733e+1,6.493e-16
235.413,4.984e+1,4.984e+1,6.493e-16
235.415,1.504e+2,1.504e+2,6.493e-16
235.417,3.983e+2,3.983e+2,6.493e-16
235.418,6.175e+2,6.175e+2,6.494e-16
235.42,1.346e+3,1.346e+3,6.494e-16
235.422,2.577e+3,2.577e+3,6.494e-16
235.424,4.333e+3,4.333e+3,6.494e-16
235.425,5.352e+3,5.352e+3,6.495e-16
235.427,7.405e+3,7.405e+3,6.495e-16
235.429,8.998e+3,8.998e+3,6.495e-16
235.43,9.448e+3,9.448e+3,6.495e-16
235.432,9.448e+3,9.448e+3,6.496e-16
235.434,8.297e+3,8.297e+3,6.496e-16
235.436,6.399e+3,6.399e+3,6.496e-16
235.437,5.352e+3,5.352e+3,6.497e-16
235.439,3.397e+3,3.397e+3,6.497e-16
235.441,1.893e+3,1.893e+3,6.497e-16
235.442,1.346e+3,1.346e+3,6.497e-16
235.444,6.175e+2,6.175e+2,6.498e-16
235.446,2.487e+2,2.487e+2,6.498e-16
235.448,8.798e+1,8.798e+1,6.498e-16
235.449,4.984e+1,4.984e+1,6.499e-16
235.451,1.451e+1,1.451e+1,6.499e-16
235.453,3.709e+0,3.709e+0,6.499e-16
235.454,1.786e+0,1.786e+0,6.499e-16
235.456,3.758e-1,3.758e-1,6.500e-16
235.458,6.944e-2,6.944e-2,6.500e-16
235.459,2.843e-2,2.843e-2,6.500e-16
235.461,4.323e-3,4.323e-3,6.500e-16
235.463,5.772e-4,5.772e-4,6.501e-16
235.465,6.769e-5,6.769e-5,6.501e-16
235.466,2.208e-5,2.208e-5,6.501e-16
235.468,2.130e-6,2.130e-6,6.502e-16
235.47,1.805e-7,1.805e-7,6.502e-16
235.471,5.006e-8,5.006e-8,6.502e-16
235.473,3.491e-9,3.491e-9,6.502e-16
235.475,2.138e-10,2.138e-10,6.503e-16
235.477,1.150e-11,1.150e-11,6.503e-16
235.478,2.541e-12,2.541e-12,6.503e-16
235.48,1.125e-13,1.125e-13,6.504e-16
235.482,4.372e-15,4.372e-15,6.504e-16
235.483,8.210e-16,8.210e-16,6.504e-16
236.418,1.482e-17,1.482e-17,6.655e-16
236.42,4.792e-16,4.792e-16,6.656e-16
236.421,2.597e-15,2.597e-15,6.656e-16
236.423,6.924e-14,6.924e-14,6.656e-16
236.425,1.623e-12,1.623e-12,6.657e-16
236.426,7.489e-12,7.489e-12,6.657e-16
236.428,1.447e-10,1.447e-10,6.657e-16
236.43,2.459e-9,2.459e-9,6.657e-16
236.432,3.673e-8,3.673e-8,6.658e-16
236.433,1.353e-7,1.353e-7,6.658e-16
236.435,1.666e-6,1.666e-6,6.658e-16
236.437,1.803e-5,1.803e-5,6.659e-16
236.438,5.654e-5,5.654e-5,6.659e-16
236.44,5.046e-4,5.046e-4,6.659e-16
236.442,3.959e-3,3.959e-3,6.659e-16
236.444,2.732e-2,2.732e-2,6.660e-16
236.445,6.836e-2,6.836e-2,6.660e-16
236.447,3.888e-1,3.888e-1,6.660e-16
236.449,1.944e+0,1.944e+0,6.660e-16
236.45,4.142e+0,4.142e+0,6.661e-16
236.452,1.707e+1,1.707e+1,6.661e-16
236.454,6.187e+1,6.187e+1,6.661e-16
236.456,1.971e+2,1.971e+2,6.662e-16
236.457,3.353e+2,3.353e+2,6.662e-16
236.459,8.807e+2,8.807e+2,6.662e-16
236.461,2.034e+3,2.034e+3,6.662e-16
236.462,2.945e+3,2.945e+3,6.663e-16
236.464,5.606e+3,5.606e+3,6.663e-16
236.466,9.382e+3,9.382e+3,6.663e-16
236.467,1.157e+4,1.157e+4,6.663e-16
236.469,1.596e+4,1.596e+4,6.664e-16
236.471,1.936e+4,1.936e+4,6.664e-16
236.473,2.064e+4,2.064e+4,6.664e-16
236.474,2.032e+4,2.032e+4,6.665e-16
236.476,1.786e+4,1.786e+4,6.665e-16
236.478,1.381e+4,1.381e+4,6.665e-16
236.479,1.157e+4,1.157e+4,6.665e-16
236.481,7.370e+3,7.370e+3,6.666e-16
236.483,4.129e+3,4.129e+3,6.666e-16
236.485,2.034e+3,2.034e+3,6.666e-16
236.486,1.360e+3,1.360e+3,6.666e-16
236.488,5.522e+2,5.522e+2,6.667e-16
236.49,1.971e+2,1.971e+2,6.667e-16
236.491,1.122e+2,1.122e+2,6.667e-16
236.493,3.303e+1,3.303e+1,6.668e-16
236.495,8.546e+0,8.546e+0,6.668e-16
236.497,1.944e+0,1.944e+0,6.668e-16
236.498,8.835e-1,8.835e-1,6.668e-16
236.5,1.657e-1,1.657e-1,6.669e-16
236.502,2.732e-2,2.732e-2,6.669e-16
236.503,1.057e-2,1.057e-2,6.669e-16
236.505,1.436e-3,1.436e-3,6.670e-16
236.507,1.716e-4,1.716e-4,6.670e-16
236.509,1.803e-5,1.803e-5,6.670e-16
236.51,5.569e-6,5.569e-6,6.670e-16
236.512,4.823e-7,4.823e-7,6.671e-16
236.514,3.673e-8,3.673e-8,6.671e-16
236.515,9.657e-9,9.657e-9,6.671e-16
236.517,6.062e-10,6.062e-10,6.671e-16
236.519,3.345e-11,3.345e-11,6.672e-16
236.521,1.623e-12,1.623e-12,6.672e-16
236.522,3.407e-13,3.407e-13,6.672e-16
236.524,1.363e-14,1.363e-14,6.673e-16
236.526,4.792e-16,4.792e-16,6.673e-16
236.538,7.263e-17,7.263e-17,6.675e-16
236.539,4.058e-16,4.058e-16,6.675e-16
236.541,1.150e-14,1.150e-14,6.675e-16
236.543,2.866e-13,2.866e-13,6.676e-16
236.545,6.280e-12,6.280e-12,6.676e-16
236.546,2.801e-11,2.801e-11,6.676e-16
236.548,5.061e-10,5.061e-10,6.676e-16
236.55,8.040e-9,8.040e-9,6.677e-16
236.551,3.054e-8,3.054e-8,6.677e-16
236.553,4.000e-7,4.000e-7,6.677e-16
236.555,4.608e-6,4.608e-6,6.678e-16
236.556,1.490e-5,1.490e-5,6.678e-16
236.558,1.415e-4,1.415e-4,6.678e-16
236.56,1.182e-3,1.182e-3,6.678e-16
236.562,8.677e-3,8.677e-3,6.679e-16
236.563,2.241e-2,2.241e-2,6.679e-16
236.565,1.357e-1,1.357e-1,6.679e-16
236.567,7.222e-1,7.222e-1,6.680e-16
236.568,1.588e+0,1.588e+0,6.680e-16
236.57,6.970e+0,6.970e+0,6.680e-16
236.572,2.690e+1,2.690e+1,6.680e-16
236.574,9.130e+1,9.130e+1,6.681e-16
236.575,1.603e+2,1.603e+2,6.681e-16
236.577,4.485e+2,4.485e+2,6.681e-16
236.579,1.104e+3,1.104e+3,6.682e-16
236.58,1.649e+3,1.649e+3,6.682e-16
236.582,3.346e+3,3.346e+3,6.682e-16
236.584,5.970e+3,5.970e+3,6.682e-16
236.586,9.365e+3,9.365e+3,6.683e-16
236.587,1.118e+4,1.118e+4,6.683e-16
236.589,1.446e+4,1.446e+4,6.683e-16
236.591,1.644e+4,1.644e+4,6.683e-16
236.592,1.671e+4,1.671e+4,6.684e-16
236.594,1.567e+4,1.567e+4,6.684e-16
236.596,1.292e+4,1.292e+4,6.684e-16
236.598,9.365e+3,9.365e+3,6.685e-16
236.599,7.598e+3,7.598e+3,6.685e-16
236.601,4.542e+3,4.542e+3,6.685e-16
236.603,2.388e+3,2.388e+3,6.685e-16
236.604,1.649e+3,1.649e+3,6.686e-16
236.606,7.149e+2,7.149e+2,6.686e-16
236.608,2.724e+2,2.724e+2,6.686e-16
236.61,9.130e+1,9.130e+1,6.687e-16
236.611,5.036e+1,5.036e+1,6.687e-16
236.613,1.391e+1,1.391e+1,6.687e-16
236.615,3.381e+0,3.381e+0,6.687e-16
236.616,1.588e+0,1.588e+0,6.688e-16
236.618,3.181e-1,3.181e-1,6.688e-16
236.62,5.603e-2,5.603e-2,6.688e-16
236.622,8.677e-3,8.677e-3,6.688e-16
236.623,3.254e-3,3.254e-3,6.689e-16
236.625,4.156e-4,4.156e-4,6.689e-16
236.627,4.666e-5,4.666e-5,6.689e-16
236.628,1.490e-5,1.490e-5,6.689e-16
236.63,1.380e-6,1.380e-6,6.690e-16
236.632,1.123e-7,1.123e-7,6.690e-16
236.633,3.054e-8,3.054e-8,6.690e-16
236.635,2.056e-9,2.056e-9,6.691e-16
236.637,2.323e-10,2.323e-10,6.691e-16
236.639,1.889e-9,1.889e-9,6.691e-16
236.64,7.377e-9,7.377e-9,6.691e-16
236.642,1.028e-7,1.028e-7,6.692e-16
236.644,1.261e-6,1.261e-6,6.692e-16
236.645,4.206e-6,4.206e-6,6.692e-16
236.647,4.253e-5,4.253e-5,6.693e-16
236.649,3.781e-4,3.781e-4,6.693e-16
236.651,2.956e-3,2.956e-3,6.693e-16
236.652,7.877e-3,7.877e-3,6.693e-16
236.654,5.078e-2,5.078e-2,6.694e-16
236.656,2.879e-1,2.879e-1,6.694e-16
236.657,6.533e-1,6.533e-1,6.694e-16
236.659,3.055e+0,3.055e+0,6.694e-16
236.661,1.256e+1,1.256e+1,6.695e-16
236.663,4.541e+1,4.541e+1,6.695e-16
236.664,8.229e+1,8.229e+1,6.695e-16
236.666,2.454e+2,2.454e+2,6.696e-16
236.668,6.434e+2,6.434e+2,6.696e-16
236.669,9.928e+2,9.928e+2,6.696e-16
236.671,2.147e+3,2.147e+3,6.696e-16
236.673,4.082e+3,4.082e+3,6.697e-16
236.675,6.826e+3,6.826e+3,6.697e-16
236.676,8.412e+3,8.412e+3,6.697e-16
236.678,1.160e+4,1.160e+4,6.698e-16
236.68,1.407e+4,1.407e+4,6.698e-16
236.681,1.476e+4,1.476e+4,6.698e-16
236.683,1.476e+4,1.476e+4,6.698e-16
236.685,1.298e+4,1.298e+4,6.699e-16
236.687,1.004e+4,1.004e+4,6.699e-16
236.688,8.412e+3,8.412e+3,6.699e-16
236.69,5.364e+3,5.364e+3,6.699e-16
236.692,3.008e+3,3.008e+3,6.700e-16
236.693,2.147e+3,2.147e+3,6.700e-16
236.695,9.928e+2,9.928e+2,6.700e-16
236.697,4.038e+2,4.038e+2,6.701e-16
236.699,1.444e+2,1.444e+2,6.701e-16
236.7,8.229e+1,8.229e+1,6.701e-16
236.702,2.427e+1,2.427e+1,6.701e-16
236.704,6.295e+0,6.295e+0,6.702e-16
236.705,3.055e+0,3.055e+0,6.702e-16
236.707,6.533e-1,6.533e-1,6.702e-16
236.709,1.229e-1,1.229e-1,6.703e-16
236.711,2.032e-2,2.032e-2,6.703e-16
236.712,7.877e-3,7.877e-3,6.703e-16
236.714,1.074e-3,1.074e-3,6.703e-16
236.716,1.289e-4,1.289e-4,6.704e-16
236.717,4.253e-5,4.253e-5,6.704e-16
236.719,4.206e-6,4.206e-6,6.704e-16
236.721,3.659e-7,3.659e-7,6.705e-16
236.722,1.028e-7,1.028e-7,6.705e-16
236.724,7.376e-9,7.376e-9,6.705e-16
236.726,4.652e-10,4.652e-10,6.705e-16
236.728,2.581e-11,2.581e-11,6.706e-16
236.729,5.792e-12,5.792e-12,6.706e-16
236.731,2.649e-13,2.649e-13,6.706e-16
236.733,1.066e-14,1.066e-14,6.706e-16
236.734,2.037e-15,2.037e-15,6.707e-16
236.736,6.757e-17,6.757e-17,6.707e-16
237.45,1.341e-18,1.341e-18,6.823e-16
237.452,4.485e-17,4.485e-17,6.823e-16
237.453,2.473e-16,2.473e-16,6.823e-16
237.455,6.831e-15,6.831e-15,6.823e-16
237.457,1.661e-13,1.661e-13,6.824e-16
237.458,7.806e-13,7.806e-13,6.824e-16
237.46,1.567e-11,1.567e-11,6.824e-16
237.462,2.769e-10,2.769e-10,6.825e-16
237.464,4.307e-9,4.307e-9,6.825e-16
237.465,1.619e-8,1.619e-8,6.825e-16
237.467,2.079e-7,2.079e-7,6.825e-16
237.469,2.351e-6,2.351e-6,6.826e-16
237.47,7.533e-6,7.533e-6,6.826e-16
237.472,7.032e-5,7.032e-5,6.826e-16
237.474,5.777e-4,5.777e-4,6.826e-16
237.475,1.578e-3,1.578e-3,6.827e-16
237.477,1.071e-2,1.071e-2,6.827e-16
237.479,6.394e-2,6.394e-2,6.827e-16
237.481,3.361e-1,3.361e-1,6.828e-16
237.482,7.344e-1,7.344e-1,6.828e-16
237.484,3.187e+0,3.187e+0,6.828e-16
237.486,1.218e+1,1.218e+1,6.828e-16
237.487,2.268e+1,2.268e+1,6.829e-16
237.489,7.155e+1,7.155e+1,6.829e-16
237.491,1.986e+2,1.986e+2,6.829e-16
237.493,4.854e+2,4.854e+2,6.830e-16
237.494,7.233e+2,7.233e+2,6.830e-16
237.496,1.460e+3,1.460e+3,6.830e-16
237.498,2.592e+3,2.592e+3,6.830e-16
237.499,3.293e+3,3.293e+3,6.830e-16
237.501,4.830e+3,4.830e+3,6.831e-16
237.503,6.234e+3,6.234e+3,6.831e-16
237.505,7.083e+3,7.083e+3,6.831e-16
237.506,7.197e+3,7.197e+3,6.832e-16
237.508,6.752e+3,6.752e+3,6.832e-16
237.51,5.575e+3,5.575e+3,6.832e-16
237.511,4.830e+3,4.830e+3,6.832e-16
237.513,3.293e+3,3.293e+3,6.833e-16
237.515,1.976e+3,1.976e+3,6.833e-16
237.517,1.044e+3,1.044e+3,6.833e-16
237.518,7.233e+2,7.233e+2,6.834e-16
237.52,3.155e+2,3.155e+2,6.834e-16
237.522,1.211e+2,1.211e+2,6.834e-16
237.523,7.155e+1,7.155e+1,6.834e-16
237.525,2.268e+1,2.268e+1,6.835e-16
237.527,6.330e+0,6.330e+0,6.835e-16
237.529,1.555e+0,1.555e+0,6.835e-16
237.53,7.344e-1,7.344e-1,6.836e-16
237.532,1.490e-1,1.490e-1,6.836e-16
237.534,2.659e-2,2.659e-2,6.836e-16
237.535,1.071e-2,1.071e-2,6.836e-16
237.537,1.578e-3,1.578e-3,6.837e-16
237.539,2.048e-4,2.048e-4,6.837e-16
237.541,2.339e-5,2.339e-5,6.837e-16
237.542,7.533e-6,7.533e-6,6.837e-16
237.544,7.104e-7,7.104e-7,6.838e-16
237.546,5.896e-8,5.896e-8,6.838e-16
237.547,1.619e-8,1.619e-8,6.838e-16
237.549,1.110e-9,1.110e-9,6.839e-16
237.551,6.694e-11,6.694e-11,6.839e-16
237.553,3.554e-12,3.554e-12,6.839e-16
237.554,7.806e-13,7.806e-13,6.839e-16
237.556,3.422e-14,3.422e-14,6.840e-16
237.558,1.321e-15,1.321e-15,6.840e-16
237.559,2.473e-16,2.473e-16,6.840e-16
237.561,7.880e-18,7.880e-18,6.841e-16
238.275,1.614e-17,1.614e-17,6.956e-16
238.276,9.371e-17,9.371e-17,6.956e-16
238.278,2.872e-15,2.872e-15,6.957e-16
238.28,7.752e-14,7.752e-14,6.957e-16
238.282,1.844e-12,1.844e-12,6.957e-16
238.283,8.574e-12,8.574e-12,6.957e-16
238.285,1.686e-10,1.686e-10,6.958e-16
238.287,2.921e-9,2.921e-9,6.958e-16
238.288,1.159e-8,1.159e-8,6.958e-16
238.29,1.660e-7,1.660e-7,6.959e-16
238.292,2.095e-6,2.095e-6,6.959e-16
238.294,2.329e-5,2.329e-5,6.959e-16
238.295,7.404e-5,7.404e-5,6.959e-16
238.297,6.805e-4,6.805e-4,6.960e-16
238.299,5.510e-3,5.510e-3,6.960e-16
238.3,1.495e-2,1.495e-2,6.960e-16
238.302,1.001e-1,1.001e-1,6.961e-16
238.304,5.904e-1,5.904e-1,6.961e-16
238.306,3.067e+0,3.067e+0,6.961e-16
238.307,6.667e+0,6.667e+0,6.961e-16
238.309,2.864e+1,2.864e+1,6.962e-16
238.311,1.084e+2,1.084e+2,6.962e-16
238.312,2.011e+2,2.011e+2,6.962e-16
238.314,6.293e+2,6.293e+2,6.962e-16
238.316,1.735e+3,1.735e+3,6.963e-16
238.317,2.747e+3,2.747e+3,6.963e-16
238.319,6.261e+3,6.261e+3,6.963e-16
238.321,1.257e+4,1.257e+4,6.964e-16
238.323,2.224e+4,2.224e+4,6.964e-16
238.324,2.821e+4,2.821e+4,6.964e-16
238.326,4.126e+4,4.126e+4,6.964e-16
238.328,5.316e+4,5.316e+4,6.965e-16
238.329,5.755e+4,5.755e+4,6.965e-16
238.331,6.131e+4,6.131e+4,6.965e-16
238.333,5.755e+4,5.755e+4,6.966e-16
238.335,4.758e+4,4.758e+4,6.966e-16
238.336,4.126e+4,4.126e+4,6.966e-16
238.338,2.821e+4,2.821e+4,6.966e-16
238.34,1.699e+4,1.699e+4,6.967e-16
238.341,1.257e+4,1.257e+4,6.967e-16
238.343,6.261e+3,6.261e+3,6.967e-16
238.345,2.747e+3,2.747e+3,6.967e-16
238.347,1.062e+3,1.062e+3,6.968e-16
238.348,6.293e+2,6.293e+2,6.968e-16
238.35,2.011e+2,2.011e+2,6.968e-16
238.352,5.661e+1,5.661e+1,6.969e-16
238.353,2.864e+1,2.864e+1,6.969e-16
238.355,6.667e+0,6.667e+0,6.969e-16
238.357,1.367e+0,1.367e+0,6.969e-16
238.359,2.470e-1,2.470e-1,6.970e-16
238.36,1.001e-1,1.001e-1,6.970e-16
238.362,1.495e-2,1.495e-2,6.970e-16
238.364,1.967e-3,1.967e-3,6.971e-16
238.365,6.805e-4,6.805e-4,6.971e-16
238.367,7.404e-5,7.404e-5,6.971e-16
238.369,7.096e-6,7.096e-6,6.971e-16
238.371,5.992e-7,5.992e-7,6.972e-16
238.372,1.660e-7,1.660e-7,6.972e-16
238.374,1.159e-8,1.159e-8,6.972e-16
238.376,7.129e-10,7.129e-10,6.973e-16
238.377,1.686e-10,1.686e-10,6.973e-16
238.379,8.574e-12,8.574e-12,6.973e-16
238.381,3.841e-13,3.841e-13,6.973e-16
238.383,1.516e-14,1.516e-14,6.974e-16
238.384,2.872e-15,2.872e-15,6.974e-16
238.518,3.522e-17,3.522e-17,6.996e-16
238.519,1.974e-16,1.974e-16,6.996e-16
238.521,5.639e-15,5.639e-15,6.996e-16
238.523,1.419e-13,1.419e-13,6.996e-16
238.525,3.148e-12,3.148e-12,6.997e-16
238.526,1.414e-11,1.414e-11,6.997e-16
238.528,2.595e-10,2.595e-10,6.997e-16
238.53,4.195e-9,4.195e-9,6.997e-16
238.531,1.608e-8,1.608e-8,6.998e-16
238.533,2.151e-7,2.151e-7,6.998e-16
238.535,2.535e-6,2.535e-6,6.998e-16
238.537,2.632e-5,2.632e-5,6.999e-16
238.538,8.089e-5,8.089e-5,6.999e-16
238.54,6.948e-4,6.948e-4,6.999e-16
238.542,5.258e-3,5.258e-3,6.999e-16
238.543,1.380e-2,1.380e-2,7.000e-16
238.545,8.637e-2,8.637e-2,7.000e-16
238.547,4.764e-1,4.764e-1,7.000e-16
238.549,2.316e+0,2.316e+0,7.001e-16
238.55,4.870e+0,4.870e+0,7.001e-16
238.552,1.958e+1,1.958e+1,7.001e-16
238.554,6.938e+1,6.938e+1,7.001e-16
238.555,1.245e+2,1.245e+2,7.002e-16
238.557,3.650e+2,3.650e+2,7.002e-16
238.559,9.426e+2,9.426e+2,7.002e-16
238.561,2.145e+3,2.145e+3,7.002e-16
238.562,3.086e+3,3.086e+3,7.003e-16
238.564,5.808e+3,5.808e+3,7.003e-16
238.566,9.634e+3,9.634e+3,7.003e-16
238.567,1.183e+4,1.183e+4,7.003e-16
238.569,1.623e+4,1.623e+4,7.004e-16
238.571,1.963e+4,1.963e+4,7.004e-16
238.572,2.058e+4,2.058e+4,7.004e-16
238.574,2.058e+4,2.058e+4,7.005e-16
238.576,1.813e+4,1.813e+4,7.005e-16
238.578,1.408e+4,1.408e+4,7.005e-16
238.579,1.183e+4,1.183e+4,7.005e-16
238.581,7.600e+3,7.600e+3,7.006e-16
238.583,4.301e+3,4.301e+3,7.006e-16
238.584,3.086e+3,3.086e+3,7.006e-16
238.586,1.445e+3,1.445e+3,7.007e-16
238.588,5.959e+2,5.959e+2,7.007e-16
238.59,2.166e+2,2.166e+2,7.007e-16
238.591,1.245e+2,1.245e+2,7.007e-16
238.593,3.744e+1,3.744e+1,7.008e-16
238.595,9.920e+0,9.920e+0,7.008e-16
238.596,4.870e+0,4.870e+0,7.008e-16
238.598,1.067e+0,1.067e+0,7.008e-16
238.6,2.061e-1,2.061e-1,7.009e-16
238.602,3.507e-2,3.507e-2,7.009e-16
238.603,1.380e-2,1.380e-2,7.009e-16
