Wavelength (nm),Sum(calc),Cr I (1.8e-2),Cr II (1.8e-1),Fe I (1.1e-1),Fe II (6.0e-1),Fe III (8.0e-5),Ni I (2.3e-2),Ni II (7.1e-2),Ni III (2.4e-6)
200.99,4.441e+2,,,,4.441e+2,1.206e-5,1.831e-6,,
201.01,8.282e+2,,,,8.282e+2,1.064e-5,1.254e-7,,
201.03,1.293e+3,,,,1.293e+3,1.746e-5,7.184e-9,,
201.04,1.511e+3,,,,1.511e+3,2.374e-5,1.623e-9,,
201.06,1.805e+3,,,,1.805e+3,4.365e-5,5.003e-10,,
201.08,1.805e+3,,,,1.805e+3,7.622e-5,9.600e-9,,
201.09,1.689e+3,,,,1.689e+3,9.767e-5,4.242e-8,,
201.11,1.293e+3,,,,1.293e+3,1.480e-4,7.257e-7,,
201.13,8.282e+2,,,,8.282e+2,1.984e-4,1.040e-5,,
201.14,6.201e+2,,,,6.201e+2,2.189e-4,3.681e-5,,
201.16,3.041e+2,,,,3.041e+2,2.432e-4,4.040e-4,,
201.18,1.248e+2,,,,1.248e+2,2.449e-4,3.714e-3,,
201.19,7.483e+1,,,,7.482e+1,2.404e-4,1.053e-2,,
201.21,2.359e+1,,,,2.351e+1,2.299e-4,7.420e-2,,
201.22,1.251e+1,,,,1.233e+1,2.269e-4,1.842e-1,,
201.24,3.961e+0,,,,2.966e+0,2.254e-4,9.944e-1,,
201.26,5.092e+0,,,,5.971e-1,2.211e-4,4.494e+0,,
201.27,9.191e+0,,,,2.507e-1,2.135e-4,8.940e+0,,
201.29,3.100e+1,,,,3.898e-2,1.828e-4,3.096e+1,,
201.31,8.981e+1,,,,8.223e-3,1.361e-4,8.980e+1,,
201.32,1.431e+2,,,,1.085e-2,1.108e-4,1.431e+2,,
201.34,3.180e+2,,,,6.466e-2,6.603e-5,3.180e+2,,
201.36,5.921e+2,,,,3.796e-1,3.664e-5,5.918e+2,,
201.37,7.562e+2,,,,8.616e-1,2.878e-5,7.553e+2,,
201.39,1.081e+3,,,,3.887e+0,2.591e-5,1.077e+3,,
201.41,1.301e+3,,,,1.469e+1,3.784e-5,1.286e+3,,
201.42,1.342e+3,,,,2.671e+1,4.845e-5,1.315e+3,,
201.44,1.281e+3,,,,7.737e+1,7.643e-5,1.203e+3,,
201.46,1.110e+3,,,,1.877e+2,1.077e-4,9.222e+2,,
201.47,1.029e+3,,,,2.735e+2,1.216e-4,7.553e+2,,
201.49,9.522e+2,,,,5.087e+2,1.392e-4,4.435e+2,,
201.51,1.010e+3,,,,7.923e+2,1.374e-4,2.181e+2,,
201.52,1.068e+3,,,,9.252e+2,1.290e-4,1.431e+2,,
201.54,1.159e+3,,,,1.105e+3,1.016e-4,5.391e+1,,
201.56,1.122e+3,,,,1.105e+3,7.020e-5,1.701e+1,,
201.57,1.043e+3,,,,1.034e+3,5.678e-5,8.940e+0,,
201.59,7.944e+2,,,,7.923e+2,3.950e-5,2.162e+0,,
201.6,6.500e+2,,,,6.490e+2,3.639e-5,9.944e-1,,
201.62,3.816e+2,,,,3.814e+2,4.025e-5,1.842e-1,,
201.64,1.877e+2,,,,1.877e+2,5.324e-5,2.859e-2,,
201.65,1.232e+2,,,,1.232e+2,6.111e-5,1.053e-2,,
201.67,4.659e+1,,,,4.659e+1,7.560e-5,1.252e-3,,
201.69,1.534e+1,,,,1.534e+1,8.449e-5,1.247e-4,,
201.7,9.197e+0,,,,9.197e+0,8.594e-5,3.681e-5,,
201.72,8.482e+0,,,,8.482e+0,8.253e-5,2.808e-6,,
201.74,2.525e+1,,,,2.525e+1,7.230e-5,1.794e-7,,
201.75,4.531e+1,,,,4.531e+1,6.590e-5,4.242e-8,,
201.77,1.303e+2,,,,1.303e+2,5.424e-5,2.077e-9,,
201.79,3.153e+2,,,,3.153e+2,4.882e-5,8.513e-11,,
201.8,4.589e+2,,,,4.589e+2,4.943e-5,1.613e-11,,
201.82,8.516e+2,,,,8.516e+2,5.615e-5,5.066e-13,,
201.84,1.324e+3,,,,1.324e+3,6.489e-5,1.333e-14,,
201.85,1.546e+3,,,,1.546e+3,6.757e-5,2.022e-15,,
201.87,1.845e+3,,,,1.845e+3,6.603e-5,4.076e-17,,
201.89,1.845e+3,,,,1.845e+3,5.493e-5,6.880e-19,,
201.9,1.727e+3,,,,1.727e+3,4.699e-5,8.363e-20,,
201.92,1.329e+3,,,,1.329e+3,3.017e-5,1.082e-21,,
201.94,8.683e+2,,,,8.683e+2,1.625e-5,8.957e-22,,
201.95,6.693e+2,,,,6.693e+2,1.116e-5,8.027e-22,,
201.97,4.023e+2,,,,4.023e+2,4.613e-6,6.167e-22,,
201.98,3.455e+2,,,,3.455e+2,2.776e-6,5.237e-22,,
202,3.841e+2,,,,3.841e+2,8.822e-7,3.376e-22,,
202.02,5.915e+2,,,,5.915e+2,2.454e-7,1.516e-22,,
202.03,7.352e+2,,,,7.352e+2,1.378e-7,5.861e-23,,
202.05,1.031e+3,,,,1.031e+3,1.252e-7,4.716e-21,,
202.07,1.226e+3,,,,1.226e+3,3.544e-7,3.184e-19,,
202.08,1.253e+3,,,,1.253e+3,6.092e-7,2.450e-18,,
202.1,1.147e+3,,,,1.147e+3,1.601e-6,1.271e-16,,
202.12,8.805e+2,,,,8.805e+2,3.540e-6,5.534e-15,,
202.13,7.221e+2,,,,7.221e+2,4.931e-6,3.419e-14,,
202.15,4.255e+2,,,,4.255e+2,8.411e-6,1.144e-12,,
202.17,2.102e+2,,,,2.102e+2,1.217e-5,3.211e-11,,
202.18,1.383e+2,,,,1.383e+2,1.386e-5,1.593e-10,,
