Wavelength (nm),Sum(calc),Cr I (1.8e-2),Cr II (1.8e-1),Fe I (1.1e-1),Fe II (6.0e-1),Fe III (8.0e-5),Ni I (2.3e-2),Ni II (7.1e-2),Ni III (2.4e-6)
373.15,1.716e+3,7.107e-18,4.429e-17,1.716e+3,1.726e-20,1.025e-26,2.172e-18,,7.139e-28
373.17,2.146e+3,7.068e-18,4.430e-17,2.146e+3,1.727e-20,1.024e-26,2.167e-18,,7.140e-28
373.18,2.401e+3,7.048e-18,4.430e-17,2.401e+3,1.728e-20,1.024e-26,2.164e-18,,7.141e-28
373.2,3.002e+3,7.009e-18,4.430e-17,3.002e+3,1.729e-20,1.023e-26,2.159e-18,,7.143e-28
373.22,3.754e+3,6.970e-18,4.431e-17,3.754e+3,1.730e-20,1.022e-26,2.154e-18,,7.144e-28
373.23,4.206e+3,6.951e-18,4.431e-17,4.206e+3,1.730e-20,1.021e-26,2.151e-18,,7.145e-28
373.25,5.327e+3,6.912e-18,4.432e-17,5.327e+3,1.731e-20,1.020e-26,2.146e-18,,7.147e-28
373.27,6.866e+3,6.873e-18,4.432e-17,6.866e+3,1.732e-20,1.019e-26,2.141e-18,,7.148e-28
373.28,7.855e+3,6.853e-18,4.432e-17,7.855e+3,1.733e-20,1.019e-26,2.138e-18,,7.149e-28
373.3,1.043e+4,6.814e-18,4.433e-17,1.043e+4,1.734e-20,1.018e-26,2.133e-18,,7.151e-28
373.32,1.401e+4,6.775e-18,4.433e-17,1.401e+4,1.735e-20,1.017e-26,2.127e-18,,7.152e-28
373.33,1.625e+4,6.756e-18,4.433e-17,1.625e+4,1.736e-20,1.017e-26,2.125e-18,,7.153e-28
373.35,2.173e+4,6.717e-18,4.434e-17,2.173e+4,1.737e-20,1.016e-26,2.119e-18,,7.154e-28
373.37,2.851e+4,6.677e-18,4.434e-17,2.851e+4,1.738e-20,1.015e-26,2.114e-18,,7.156e-28
373.38,3.232e+4,6.658e-18,4.435e-17,3.232e+4,1.738e-20,1.014e-26,2.111e-18,,7.157e-28
373.4,4.049e+4,6.619e-18,4.435e-17,4.049e+4,1.739e-20,1.013e-26,2.106e-18,,7.158e-28
373.42,4.877e+4,6.580e-18,4.436e-17,4.877e+4,1.740e-20,1.012e-26,2.101e-18,,7.160e-28
373.43,5.269e+4,6.560e-18,4.436e-17,5.269e+4,1.741e-20,1.012e-26,2.098e-18,,7.161e-28
373.45,5.946e+4,6.521e-18,4.436e-17,5.946e+4,1.742e-20,1.011e-26,2.093e-18,,7.162e-28
373.46,6.209e+4,6.502e-18,4.436e-17,6.209e+4,1.742e-20,1.010e-26,2.090e-18,,7.163e-28
373.48,6.539e+4,6.463e-18,4.437e-17,6.539e+4,1.743e-20,1.009e-26,2.085e-18,,7.165e-28
373.5,6.579e+4,6.424e-18,4.437e-17,6.579e+4,1.744e-20,1.008e-26,2.079e-18,,7.166e-28
373.51,6.490e+4,6.404e-18,4.438e-17,6.490e+4,1.745e-20,1.008e-26,2.077e-18,,7.167e-28
373.53,6.119e+4,6.365e-18,4.438e-17,6.119e+4,1.746e-20,1.007e-26,2.071e-18,,7.168e-28
373.55,5.558e+4,5.648e-17,4.439e-17,5.558e+4,1.747e-20,1.006e-26,2.066e-18,,7.170e-28
373.56,5.235e+4,1.651e-16,4.439e-17,5.235e+4,1.747e-20,1.006e-26,2.063e-18,,7.171e-28
373.58,4.571e+4,1.356e-15,4.439e-17,4.571e+4,1.748e-20,1.005e-26,2.058e-18,,7.172e-28
373.6,3.955e+4,1.058e-14,4.440e-17,3.955e+4,1.750e-20,1.004e-26,2.053e-18,,7.174e-28
373.61,3.685e+4,2.901e-14,4.440e-17,3.685e+4,1.750e-20,1.003e-26,2.050e-18,,7.175e-28
373.63,3.244e+4,2.096e-13,4.440e-17,3.244e+4,1.751e-20,1.002e-26,2.045e-18,,7.176e-28
373.65,2.932e+4,1.439e-12,4.441e-17,2.932e+4,1.752e-20,1.001e-26,2.039e-18,,7.178e-28
373.66,2.818e+4,3.697e-12,4.441e-17,2.818e+4,1.753e-20,1.001e-26,2.037e-18,,7.179e-28
373.68,2.645e+4,2.350e-11,4.442e-17,2.645e+4,1.754e-20,9.999e-27,2.032e-18,,7.180e-28
373.7,2.507e+4,1.418e-10,4.442e-17,2.507e+4,1.755e-20,9.989e-27,2.026e-18,,7.182e-28
373.71,2.437e+4,3.419e-10,4.442e-17,2.437e+4,1.755e-20,9.984e-27,2.024e-18,,7.182e-28
373.73,2.276e+4,1.911e-9,4.443e-17,2.276e+4,1.756e-20,9.975e-27,2.018e-18,,7.184e-28
373.75,2.072e+4,1.015e-8,4.443e-17,2.072e+4,1.757e-20,9.965e-27,2.013e-18,,7.186e-28
373.76,1.954e+4,2.293e-8,4.443e-17,1.954e+4,1.758e-20,9.961e-27,2.010e-18,,7.186e-28
373.78,1.691e+4,1.127e-7,4.444e-17,1.691e+4,1.759e-20,9.951e-27,2.005e-18,,7.188e-28
373.8,1.410e+4,5.264e-7,4.444e-17,1.410e+4,1.760e-20,9.942e-27,2.000e-18,,7.190e-28
373.81,1.270e+4,1.116e-6,4.445e-17,1.270e+4,1.760e-20,9.937e-27,1.997e-18,,7.190e-28
373.83,1.002e+4,4.825e-6,4.445e-17,1.002e+4,1.761e-20,9.927e-27,1.992e-18,,7.192e-28
373.84,8.788e+3,9.840e-6,4.445e-17,8.788e+3,1.762e-20,9.923e-27,1.989e-18,,7.193e-28
373.86,6.603e+3,3.939e-5,4.446e-17,6.603e+3,1.763e-20,9.913e-27,1.984e-18,,7.194e-28
373.88,4.835e+3,1.498e-4,4.446e-17,4.835e+3,1.764e-20,9.904e-27,1.978e-18,,7.196e-28
373.89,4.107e+3,2.865e-4,4.446e-17,4.107e+3,1.765e-20,9.899e-27,1.976e-18,,7.197e-28
373.91,2.940e+3,1.009e-3,4.447e-17,2.940e+3,1.766e-20,9.889e-27,1.970e-18,,7.198e-28
373.93,2.106e+3,3.374e-3,4.447e-17,2.106e+3,1.767e-20,9.880e-27,1.965e-18,,7.200e-28
373.94,1.791e+3,6.053e-3,4.448e-17,1.791e+3,1.767e-20,9.875e-27,1.962e-18,,7.200e-28
373.96,1.324e+3,1.874e-2,4.448e-17,1.324e+3,1.768e-20,9.866e-27,1.957e-18,,7.202e-28
373.98,1.019e+3,5.514e-2,4.449e-17,1.019e+3,1.769e-20,9.856e-27,1.952e-18,,7.204e-28
373.99,9.101e+2,9.278e-2,4.449e-17,9.100e+2,1.770e-20,9.851e-27,1.949e-18,,7.204e-28
374.01,7.510e+2,2.527e-1,4.449e-17,7.508e+2,1.771e-20,9.842e-27,1.944e-18,,7.206e-28
374.03,6.452e+2,6.540e-1,4.450e-17,6.445e+2,1.772e-20,9.832e-27,1.938e-18,,7.207e-28
374.04,6.059e+2,1.032e+0,4.450e-17,6.049e+2,1.772e-20,9.828e-27,1.936e-18,,7.208e-28
374.06,5.492e+2,2.473e+0,4.450e-17,5.468e+2,1.773e-20,9.818e-27,1.930e-18,,7.210e-28
374.08,5.242e+2,5.628e+0,4.451e-17,5.186e+2,1.774e-20,9.809e-27,1.925e-18,,7.211e-28
374.09,5.272e+2,8.330e+0,4.451e-17,5.188e+2,1.775e-20,9.804e-27,1.922e-18,,7.212e-28
374.11,5.769e+2,1.756e+1,4.452e-17,5.594e+2,1.776e-20,9.794e-27,1.917e-18,,7.214e-28
374.13,7.083e+2,3.516e+1,4.452e-17,6.732e+2,1.777e-20,9.785e-27,1.912e-18,,7.215e-28
374.14,8.147e+2,4.882e+1,4.452e-17,7.659e+2,1.777e-20,9.780e-27,1.909e-18,,7.216e-28
374.16,1.131e+3,9.053e+1,4.453e-17,1.040e+3,1.778e-20,9.770e-27,1.904e-18,,7.218e-28
374.18,1.612e+3,1.595e+2,4.453e-17,1.452e+3,1.780e-20,9.761e-27,1.899e-18,,7.219e-28
374.19,1.922e+3,2.077e+2,4.453e-17,1.714e+3,1.780e-20,9.756e-27,1.896e-18,,7.220e-28
374.21,2.691e+3,3.391e+2,4.454e-17,2.352e+3,1.781e-20,9.747e-27,1.891e-18,,7.222e-28
374.22,3.149e+3,4.249e+2,4.454e-17,2.724e+3,1.782e-20,9.742e-27,1.888e-18,,7.222e-28
374.24,4.194e+3,6.424e+2,4.455e-17,3.551e+3,1.783e-20,9.732e-27,1.883e-18,,7.224e-28
374.26,5.369e+3,9.228e+2,4.455e-17,4.446e+3,1.784e-20,9.723e-27,1.877e-18,,7.225e-28
374.27,5.982e+3,1.085e+3,4.455e-17,4.897e+3,1.784e-20,9.718e-27,1.875e-18,,7.226e-28
374.29,7.202e+3,1.444e+3,4.456e-17,5.757e+3,1.785e-20,9.709e-27,1.869e-18,,7.228e-28
374.31,8.331e+3,1.827e+3,4.456e-17,6.504e+3,1.786e-20,9.699e-27,1.864e-18,,7.229e-28
374.32,8.834e+3,2.016e+3,4.456e-17,6.818e+3,1.787e-20,9.694e-27,1.861e-18,,7.230e-28
374.34,9.684e+3,2.364e+3,4.457e-17,7.321e+3,1.788e-20,9.685e-27,1.856e-18,,7.232e-28
374.36,1.032e+4,2.634e+3,4.457e-17,7.681e+3,1.789e-20,9.675e-27,1.851e-18,,7.233e-28
374.37,1.056e+4,2.729e+3,4.458e-17,7.831e+3,1.789e-20,9.671e-27,1.848e-18,,7.234e-28
374.39,1.096e+4,2.820e+3,4.458e-17,8.139e+3,1.790e-20,9.661e-27,1.843e-18,,7.236e-28
374.41,1.134e+4,2.771e+3,4.458e-17,8.569e+3,1.791e-20,9.652e-27,1.837e-18,,7.237e-28
374.42,1.156e+4,2.696e+3,4.459e-17,8.867e+3,1.792e-20,9.647e-27,1.835e-18,,7.238e-28
374.44,1.214e+4,2.458e+3,4.459e-17,9.687e+3,1.793e-20,9.637e-27,1.829e-18,,7.239e-28
374.46,1.295e+4,2.132e+3,4.460e-17,1.082e+4,1.794e-20,9.628e-27,1.824e-18,,7.241e-28
374.47,1.344e+4,1.949e+3,4.460e-17,1.149e+4,1.795e-20,9.623e-27,1.821e-18,,7.242e-28
374.49,1.453e+4,1.569e+3,4.460e-17,1.296e+4,1.796e-20,9.614e-27,1.816e-18,,7.243e-28
374.51,1.563e+4,1.203e+3,4.461e-17,1.443e+4,1.797e-20,9.604e-27,1.811e-18,,7.245e-28
374.52,1.612e+4,1.034e+3,4.461e-17,1.509e+4,1.797e-20,9.599e-27,1.808e-18,,7.246e-28
374.54,1.686e+4,7.369e+2,4.461e-17,1.613e+4,1.798e-20,9.590e-27,1.803e-18,,7.247e-28
374.56,1.712e+4,5.001e+2,4.462e-17,1.662e+4,1.799e-20,9.580e-27,1.797e-18,,7.249e-28
374.57,1.703e+4,4.047e+2,4.462e-17,1.663e+4,1.800e-20,9.576e-27,1.795e-18,,7.250e-28
374.59,1.640e+4,2.556e+2,4.463e-17,1.615e+4,1.801e-20,9.566e-27,1.790e-18,,7.251e-28
374.6,1.588e+4,1.995e+2,4.463e-17,1.568e+4,1.801e-20,9.561e-27,1.787e-18,,7.252e-28
374.62,1.451e+4,1.173e+2,4.463e-17,1.440e+4,1.802e-20,9.552e-27,1.782e-18,,7.254e-28
374.64,1.290e+4,6.583e+1,4.464e-17,1.284e+4,1.803e-20,9.542e-27,1.776e-18,,7.255e-28
374.65,1.209e+4,4.845e+1,4.464e-17,1.204e+4,1.804e-20,9.538e-27,1.774e-18,,7.256e-28
374.67,1.061e+4,2.535e+1,4.464e-17,1.059e+4,1.805e-20,9.528e-27,1.768e-18,,7.257e-28
374.69,9.548e+3,1.266e+1,4.465e-17,9.535e+3,1.806e-20,9.519e-27,1.763e-18,,7.259e-28
374.7,9.240e+3,8.795e+0,4.465e-17,9.231e+3,1.806e-20,9.514e-27,1.760e-18,,7.260e-28
374.72,9.178e+3,4.100e+0,4.466e-17,9.174e+3,1.807e-20,9.504e-27,1.755e-18,,7.261e-28
374.74,9.960e+3,1.826e+0,4.466e-17,9.958e+3,1.809e-20,9.495e-27,1.750e-18,,7.263e-28
374.75,1.069e+4,1.198e+0,4.466e-17,1.069e+4,1.809e-20,9.490e-27,1.747e-18,,7.264e-28
374.77,1.287e+4,4.986e-1,4.467e-17,1.287e+4,1.810e-20,9.481e-27,1.742e-18,,7.265e-28
374.79,1.599e+4,1.982e-1,4.467e-17,1.599e+4,1.811e-20,9.471e-27,1.736e-18,,7.267e-28
374.8,1.788e+4,1.229e-1,4.468e-17,1.788e+4,1.812e-20,9.466e-27,1.734e-18,,7.268e-28
374.82,2.226e+4,4.564e-2,4.468e-17,2.226e+4,1.813e-20,9.457e-27,1.728e-18,,7.269e-28
374.84,2.722e+4,1.619e-2,4.468e-17,2.722e+4,1.814e-20,9.447e-27,1.723e-18,,7.271e-28
374.85,2.981e+4,9.482e-3,4.469e-17,2.981e+4,1.814e-20,9.442e-27,1.720e-18,,7.271e-28
374.87,3.495e+4,3.141e-3,4.469e-17,3.495e+4,1.815e-20,9.433e-27,1.715e-18,,7.273e-28
374.89,3.957e+4,9.935e-4,4.470e-17,3.957e+4,1.816e-20,9.423e-27,1.710e-18,,7.275e-28
374.9,4.152e+4,5.491e-4,4.470e-17,4.152e+4,1.817e-20,9.419e-27,1.707e-18,,7.275e-28
374.92,4.432e+4,1.620e-4,4.470e-17,4.432e+4,1.818e-20,9.409e-27,1.702e-18,,7.277e-28
374.94,4.535e+4,4.559e-5,4.471e-17,4.535e+4,1.819e-20,9.400e-27,1.696e-18,,7.278e-28
374.95,4.512e+4,2.376e-5,4.471e-17,4.512e+4,1.819e-20,9.395e-27,1.694e-18,,7.279e-28
374.97,4.316e+4,6.228e-6,4.471e-17,4.316e+4,1.820e-20,9.385e-27,1.688e-18,,7.281e-28
374.98,4.148e+4,3.132e-6,4.472e-17,4.148e+4,1.821e-20,9.381e-27,1.686e-18,,7.282e-28
375,3.697e+4,7.640e-7,4.472e-17,3.697e+4,1.822e-20,9.371e-27,1.680e-18,,7.283e-28
375.02,3.140e+4,1.776e-7,4.473e-17,3.140e+4,1.823e-20,9.362e-27,1.675e-18,,7.285e-28
375.03,2.842e+4,8.407e-8,4.473e-17,2.842e+4,1.824e-20,9.357e-27,1.672e-18,,7.285e-28
375.05,2.242e+4,1.821e-8,4.473e-17,2.242e+4,1.825e-20,9.347e-27,1.667e-18,,7.287e-28
375.07,1.684e+4,3.994e-9,4.474e-17,1.684e+4,1.826e-20,9.338e-27,1.662e-18,,7.289e-28
375.08,1.432e+4,2.254e-9,4.474e-17,1.432e+4,1.826e-20,9.333e-27,1.659e-18,,7.289e-28
375.1,9.981e+3,3.302e-9,4.474e-17,9.981e+3,1.827e-20,9.324e-27,1.654e-18,,7.291e-28
375.12,6.622e+3,1.439e-8,4.475e-17,6.622e+3,1.828e-20,9.314e-27,1.649e-18,,7.293e-28
375.13,5.299e+3,3.087e-8,4.475e-17,5.299e+3,1.829e-20,9.309e-27,1.646e-18,,7.293e-28
375.15,3.285e+3,1.376e-7,4.476e-17,3.285e+3,1.830e-20,9.300e-27,1.641e-18,,7.295e-28
375.17,1.971e+3,5.847e-7,4.476e-17,1.971e+3,1.831e-20,9.290e-27,1.635e-18,,7.296e-28
375.18,1.521e+3,1.183e-6,4.476e-17,1.521e+3,1.831e-20,9.286e-27,1.633e-18,,7.297e-28
375.2,9.298e+2,4.672e-6,4.477e-17,9.298e+2,1.832e-20,9.276e-27,1.627e-18,,7.299e-28
375.22,6.360e+2,1.757e-5,4.477e-17,6.360e+2,1.833e-20,9.267e-27,1.622e-18,,7.300e-28
375.23,5.655e+2,3.347e-5,4.477e-17,5.655e+2,1.834e-20,9.262e-27,1.619e-18,,7.301e-28
375.25,5.250e+2,1.171e-4,4.478e-17,5.250e+2,1.835e-20,9.252e-27,1.614e-18,,7.303e-28
375.27,5.679e+2,3.905e-4,4.478e-17,5.679e+2,1.836e-20,9.243e-27,1.609e-18,,7.304e-28
375.28,6.060e+2,7.005e-4,4.479e-17,6.060e+2,1.836e-20,9.238e-27,1.606e-18,,7.305e-28
375.3,6.944e+2,2.175e-3,4.479e-17,6.944e+2,1.837e-20,9.229e-27,1.601e-18,,7.307e-28
375.32,7.770e+2,6.439e-3,4.480e-17,7.770e+2,1.839e-20,9.219e-27,1.595e-18,,7.308e-28
375.33,8.099e+2,1.088e-2,4.480e-17,8.098e+2,1.839e-20,9.214e-27,1.593e-18,,7.309e-28
375.35,8.498e+2,3.003e-2,4.480e-17,8.498e+2,1.840e-20,9.205e-27,1.587e-18,,7.310e-28
375.36,8.549e+2,4.900e-2,4.480e-17,8.549e+2,1.841e-20,9.200e-27,1.585e-18,,7.311e-28
375.38,8.338e+2,1.260e-1,4.481e-17,8.337e+2,1.842e-20,9.191e-27,1.579e-18,,7.313e-28
375.4,7.743e+2,3.092e-1,4.481e-17,7.740e+2,1.843e-20,9.181e-27,1.574e-18,,7.314e-28
375.41,7.330e+2,4.759e-1,4.482e-17,7.325e+2,1.843e-20,9.176e-27,1.571e-18,,7.315e-28
375.43,6.357e+2,1.089e+0,4.482e-17,6.346e+2,1.844e-20,9.167e-27,1.566e-18,,7.317e-28
375.45,5.322e+2,2.379e+0,4.483e-17,5.298e+2,1.845e-20,9.157e-27,1.561e-18,,7.318e-28
375.46,4.835e+2,3.456e+0,4.483e-17,4.801e+2,1.846e-20,9.153e-27,1.558e-18,,7.319e-28
375.48,4.036e+2,7.043e+0,4.483e-17,3.965e+2,1.847e-20,9.143e-27,1.553e-18,,7.321e-28
375.5,3.622e+2,1.370e+1,4.484e-17,3.485e+2,1.848e-20,9.134e-27,1.548e-18,,7.322e-28
375.51,3.625e+2,1.878e+1,4.484e-17,3.437e+2,1.848e-20,9.129e-27,1.545e-18,,7.323e-28
375.53,4.203e+2,3.408e+1,4.484e-17,3.862e+2,1.849e-20,9.119e-27,1.540e-18,,7.325e-28
375.55,5.823e+2,5.902e+1,4.485e-17,5.233e+2,1.850e-20,9.110e-27,1.534e-18,,7.326e-28
375.56,7.159e+2,7.633e+1,4.485e-17,6.396e+2,1.851e-20,9.105e-27,1.532e-18,,7.327e-28
375.58,1.125e+3,1.232e+2,4.486e-17,1.002e+3,1.852e-20,9.095e-27,1.526e-18,,7.328e-28
375.6,1.785e+3,1.899e+2,4.486e-17,1.595e+3,1.853e-20,9.086e-27,1.521e-18,,7.330e-28
375.61,2.237e+3,2.316e+2,4.486e-17,2.006e+3,1.854e-20,9.081e-27,1.518e-18,,7.331e-28
375.63,3.445e+3,3.325e+2,4.487e-17,3.113e+3,1.855e-20,9.072e-27,1.513e-18,,7.332e-28
375.65,5.134e+3,4.553e+2,4.487e-17,4.679e+3,1.856e-20,9.062e-27,1.508e-18,,7.334e-28
375.66,6.182e+3,5.234e+2,4.487e-17,5.658e+3,1.856e-20,9.057e-27,1.505e-18,,7.335e-28
375.68,8.697e+3,6.675e+2,4.488e-17,8.030e+3,1.857e-20,9.048e-27,1.500e-18,,7.336e-28
375.7,1.173e+4,8.115e+2,4.488e-17,1.092e+4,1.858e-20,9.038e-27,1.494e-18,,7.338e-28
375.71,1.341e+4,8.789e+2,4.489e-17,1.253e+4,1.859e-20,9.034e-27,1.492e-18,,7.339e-28
375.73,1.693e+4,9.944e+2,4.489e-17,1.593e+4,1.860e-20,9.024e-27,1.486e-18,,7.340e-28
375.75,2.040e+4,1.072e+3,4.489e-17,1.933e+4,1.861e-20,9.015e-27,1.481e-18,,7.342e-28
375.76,2.201e+4,1.093e+3,4.490e-17,2.092e+4,1.861e-20,9.010e-27,1.478e-18,,7.342e-28
375.78,2.471e+4,1.097e+3,4.490e-17,2.362e+4,1.862e-20,9.000e-27,1.473e-18,,7.344e-28
375.79,2.572e+4,1.078e+3,4.490e-17,2.464e+4,1.863e-20,8.996e-27,1.470e-18,,7.345e-28
375.81,2.685e+4,1.006e+3,4.491e-17,2.585e+4,1.864e-20,8.986e-27,1.465e-18,,7.346e-28
375.83,2.671e+4,8.934e+2,4.491e-17,2.582e+4,1.865e-20,8.977e-27,1.460e-18,,7.348e-28
375.84,2.615e+4,8.268e+2,4.492e-17,2.533e+4,1.865e-20,8.972e-27,1.457e-18,,7.349e-28
375.86,2.418e+4,6.826e+2,4.492e-17,2.350e+4,1.866e-20,8.962e-27,1.452e-18,,7.350e-28
375.88,2.130e+4,5.367e+2,4.493e-17,2.077e+4,1.867e-20,8.953e-27,1.446e-18,,7.352e-28
375.89,1.964e+4,4.673e+2,4.493e-17,1.917e+4,1.868e-20,8.948e-27,1.444e-18,,7.353e-28
375.91,1.613e+4,3.414e+2,4.493e-17,1.578e+4,1.869e-20,8.939e-27,1.438e-18,,7.354e-28
375.93,1.266e+4,2.375e+2,4.494e-17,1.242e+4,1.870e-20,8.929e-27,1.433e-18,,7.356e-28
375.94,1.104e+4,1.945e+2,4.494e-17,1.084e+4,1.871e-20,8.924e-27,1.430e-18,,7.356e-28
375.96,8.148e+3,1.257e+2,4.494e-17,8.023e+3,1.872e-20,8.915e-27,1.425e-18,,7.358e-28
375.98,5.810e+3,7.737e+1,4.495e-17,5.732e+3,1.873e-20,8.905e-27,1.420e-18,,7.360e-28
375.99,4.852e+3,5.958e+1,4.495e-17,4.792e+3,1.873e-20,8.901e-27,1.417e-18,,7.360e-28
376.01,3.329e+3,3.406e+1,4.496e-17,3.295e+3,1.874e-20,8.891e-27,1.412e-18,,7.362e-28
376.03,2.253e+3,1.853e+1,4.496e-17,2.235e+3,1.875e-20,8.882e-27,1.407e-18,,7.364e-28
376.04,1.852e+3,1.342e+1,4.496e-17,1.838e+3,1.876e-20,8.877e-27,1.404e-18,,7.364e-28
376.06,1.258e+3,6.783e+0,4.497e-17,1.252e+3,1.877e-20,8.867e-27,1.399e-18,,7.366e-28
376.08,8.801e+2,3.264e+0,4.497e-17,8.768e+2,1.878e-20,8.858e-27,1.393e-18,,7.367e-28
376.09,7.534e+2,2.222e+0,4.497e-17,7.511e+2,1.878e-20,8.853e-27,1.391e-18,,7.368e-28
376.11,6.048e+2,9.930e-1,4.498e-17,6.038e+2,1.879e-20,8.844e-27,1.385e-18,,7.370e-28
376.13,5.904e+2,4.223e-1,4.498e-17,5.900e+2,1.880e-20,8.834e-27,1.380e-18,,7.371e-28
376.14,6.376e+2,2.704e-1,4.499e-17,6.373e+2,1.881e-20,8.829e-27,1.377e-18,,7.372e-28
376.16,8.616e+2,1.068e-1,4.499e-17,8.615e+2,1.882e-20,8.820e-27,1.372e-18,,7.374e-28
376.17,1.050e+3,6.589e-2,4.499e-17,1.050e+3,1.882e-20,8.815e-27,1.369e-18,,7.374e-28
376.19,1.615e+3,2.416e-2,4.500e-17,1.615e+3,1.884e-20,8.805e-27,1.364e-18,,7.376e-28
376.21,2.476e+3,8.435e-3,4.500e-17,2.476e+3,1.885e-20,8.796e-27,1.359e-18,,7.378e-28
376.22,3.033e+3,4.892e-3,4.500e-17,3.033e+3,1.885e-20,8.791e-27,1.356e-18,,7.378e-28
376.24,4.415e+3,1.586e-3,4.501e-17,4.415e+3,1.886e-20,8.782e-27,1.351e-18,,7.380e-28
376.26,6.136e+3,4.907e-4,4.501e-17,6.136e+3,1.887e-20,8.772e-27,1.345e-18,,7.381e-28
376.27,7.105e+3,2.699e-4,4.502e-17,7.105e+3,1.888e-20,8.767e-27,1.343e-18,,7.382e-28
376.29,9.184e+3,8.947e-5,4.502e-17,9.184e+3,1.889e-20,8.758e-27,1.337e-18,,7.384e-28
376.31,1.130e+4,6.992e-5,4.502e-17,1.130e+4,1.890e-20,8.748e-27,1.332e-18,,7.385e-28
376.32,1.232e+4,1.039e-4,4.503e-17,1.232e+4,1.890e-20,8.744e-27,1.329e-18,,7.386e-28
376.34,1.411e+4,3.259e-4,4.503e-17,1.411e+4,1.891e-20,8.734e-27,1.324e-18,,7.388e-28
376.36,1.544e+4,1.066e-3,4.504e-17,1.544e+4,1.892e-20,8.725e-27,1.319e-18,,7.389e-28
376.37,1.588e+4,1.898e-3,4.504e-17,1.588e+4,1.893e-20,8.720e-27,1.316e-18,,7.390e-28
376.39,1.629e+4,5.801e-3,4.504e-17,1.629e+4,1.894e-20,8.710e-27,1.311e-18,,7.392e-28
376.41,1.609e+4,1.685e-2,4.505e-17,1.609e+4,1.895e-20,8.701e-27,1.306e-18,,7.393e-28
376.42,1.579e+4,2.819e-2,4.505e-17,1.579e+4,1.895e-20,8.696e-27,1.303e-18,,7.394e-28
376.44,1.491e+4,7.592e-2,4.505e-17,1.491e+4,1.896e-20,8.687e-27,1.298e-18,,7.396e-28
376.46,1.379e+4,1.944e-1,4.506e-17,1.379e+4,1.897e-20,8.677e-27,1.292e-18,,7.397e-28
376.47,1.321e+4,3.054e-1,4.506e-17,1.321e+4,1.898e-20,8.672e-27,1.290e-18,,7.398e-28
376.49,1.209e+4,7.251e-1,4.507e-17,1.209e+4,1.899e-20,8.663e-27,1.284e-18,,7.399e-28
376.51,1.114e+4,1.637e+0,4.507e-17,1.114e+4,1.900e-20,8.653e-27,1.279e-18,,7.401e-28
376.52,1.076e+4,2.415e+0,4.507e-17,1.075e+4,1.901e-20,8.649e-27,1.276e-18,,7.402e-28
376.54,1.017e+4,5.056e+0,4.508e-17,1.017e+4,1.902e-20,8.639e-27,1.271e-18,,7.403e-28
376.55,9.979e+3,7.180e+0,4.508e-17,9.972e+3,1.902e-20,8.634e-27,1.268e-18,,7.404e-28
376.57,9.788e+3,1.395e+1,4.508e-17,9.774e+3,1.903e-20,8.625e-27,1.263e-18,,7.406e-28
376.59,9.843e+3,2.576e+1,4.509e-17,9.817e+3,1.904e-20,8.615e-27,1.258e-18,,7.407e-28
376.6,9.954e+3,3.437e+1,4.509e-17,9.920e+3,1.905e-20,8.611e-27,1.255e-18,,7.408e-28
376.62,1.032e+4,5.890e+1,4.510e-17,1.026e+4,1.906e-20,8.601e-27,1.250e-18,,7.410e-28
376.64,1.081e+4,9.603e+1,4.510e-17,1.071e+4,1.907e-20,8.592e-27,1.244e-18,,7.411e-28
376.65,1.107e+4,1.204e+2,4.510e-17,1.095e+4,1.907e-20,8.587e-27,1.242e-18,,7.412e-28
376.67,1.157e+4,1.821e+2,4.511e-17,1.138e+4,1.908e-20,8.577e-27,1.236e-18,,7.413e-28
376.69,1.190e+4,2.622e+2,4.511e-17,1.164e+4,1.909e-20,8.568e-27,1.231e-18,,7.415e-28
376.7,1.197e+4,3.088e+2,4.511e-17,1.166e+4,1.910e-20,8.563e-27,3.670e-18,,7.416e-28
376.72,1.186e+4,4.129e+2,4.512e-17,1.144e+4,1.911e-20,8.554e-27,3.140e-17,,7.417e-28
376.74,1.136e+4,5.254e+2,4.512e-17,1.083e+4,1.912e-20,8.544e-27,2.554e-16,,7.419e-28
376.75,1.096e+4,5.819e+2,4.513e-17,1.038e+4,1.912e-20,8.539e-27,7.148e-16,,7.420e-28
376.77,9.919e+3,6.878e+2,4.513e-17,9.232e+3,1.914e-20,8.530e-27,5.390e-15,,7.421e-28
376.79,8.620e+3,7.743e+2,4.514e-17,7.846e+3,1.915e-20,8.520e-27,3.865e-14,,7.423e-28
376.8,7.914e+3,8.066e+2,4.514e-17,7.107e+3,1.915e-20,8.516e-27,1.015e-13,,7.424e-28
376.82,6.469e+3,8.440e+2,4.514e-17,5.625e+3,1.916e-20,8.506e-27,6.748e-13,,7.425e-28
376.84,5.082e+3,8.413e+2,4.515e-17,4.240e+3,1.917e-20,8.497e-27,4.264e-12,,7.427e-28
376.85,4.439e+3,8.249e+2,4.515e-17,3.614e+3,1.918e-20,8.492e-27,1.052e-11,,7.427e-28
376.87,3.294e+3,7.649e+2,4.515e-17,2.529e+3,1.919e-20,8.482e-27,6.162e-11,,7.429e-28
376.89,2.359e+3,6.760e+2,4.516e-17,1.683e+3,1.920e-20,8.473e-27,3.432e-10,,7.431e-28
