Wavelength (nm),Sum(calc),Ti I (5.4e-2),Ti II (9.4e-1),Ti III (1.9e-3)
219.51,4.929e-9,,,4.929e-9
219.54,3.499e-8,,,3.499e-8
219.56,1.190e-7,,,1.190e-7
219.59,6.593e-7,,,6.593e-7
219.61,1.900e-6,,,1.900e-6
219.64,8.214e-6,,,8.214e-6
219.66,2.007e-5,,,2.007e-5
219.69,6.768e-5,,,6.768e-5
219.71,1.401e-4,,,1.401e-4
219.74,3.688e-4,,,3.688e-4
219.76,6.472e-4,,,6.472e-4
219.79,1.329e-3,,,1.329e-3
219.81,1.977e-3,,,1.977e-3
219.83,2.752e-3,,,2.752e-3
219.86,3.992e-3,,,3.992e-3
219.88,4.710e-3,,,4.710e-3
219.91,5.332e-3,,,5.332e-3
219.93,5.332e-3,,,5.332e-3
219.96,4.710e-3,,,4.710e-3
219.98,3.992e-3,,,3.992e-3
220.01,2.752e-3,,,2.752e-3
220.03,1.977e-3,,,1.977e-3
220.06,1.063e-3,,,1.063e-3
220.08,6.472e-4,,,6.472e-4
220.11,2.716e-4,,,2.716e-4
220.13,1.401e-4,,,1.401e-4
220.16,4.588e-5,,,4.588e-5
220.18,2.007e-5,,,2.007e-5
220.2,8.214e-6,,,8.214e-6
220.23,1.900e-6,,,1.900e-6
220.25,6.593e-7,,,6.593e-7
220.28,1.190e-7,,,1.190e-7
220.3,3.499e-8,,,3.499e-8
220.33,4.929e-9,,,4.929e-9
220.35,1.228e-9,,,1.228e-9
220.38,1.350e-10,,,1.350e-10
220.4,2.851e-11,,,2.851e-11
220.43,2.445e-12,,,2.445e-12
220.45,4.377e-13,,,4.377e-13
220.48,2.929e-14,,,2.929e-14
220.5,4.444e-15,,,4.444e-15
220.53,2.320e-16,,,2.320e-16
220.55,2.984e-17,,,2.984e-17
220.58,1.215e-18,,,1.215e-18
223.09,1.952e-19,,,1.952e-19
223.12,4.960e-18,,,4.960e-18
223.14,3.958e-17,,,3.958e-17
223.17,7.913e-16,,,7.913e-16
223.19,5.382e-15,,,5.382e-15
223.22,8.468e-14,,,8.468e-14
223.24,4.909e-13,,,4.909e-13
223.27,6.078e-12,,,6.078e-12
223.29,3.003e-11,,,3.003e-11
223.31,1.392e-10,,,1.392e-10
223.34,1.232e-9,,,1.232e-9
223.36,4.868e-9,,,4.868e-9
223.39,3.391e-8,,,3.391e-8
223.41,1.142e-7,,,1.142e-7
223.44,6.260e-7,,,6.260e-7
223.46,1.797e-6,,,1.797e-6
223.49,7.751e-6,,,7.751e-6
223.51,1.896e-5,,,1.896e-5
223.54,6.437e-5,,,6.437e-5
223.56,1.342e-4,,,1.342e-4
223.59,3.585e-4,,,3.585e-4
223.61,6.372e-4,,,6.372e-4
223.64,1.339e-3,,,1.339e-3
223.66,2.029e-3,,,2.029e-3
223.68,2.884e-3,,,2.884e-3
223.71,4.334e-3,,,4.334e-3
223.73,5.250e-3,,,5.250e-3
223.76,6.208e-3,,,6.208e-3
223.78,6.410e-3,,,6.410e-3
223.81,5.965e-3,,,5.965e-3
223.83,5.250e-3,,,5.250e-3
223.86,3.844e-3,,,3.844e-3
223.88,2.884e-3,,,2.884e-3
223.91,1.662e-3,,,1.662e-3
223.93,1.062e-3,,,1.062e-3
223.96,4.818e-4,,,4.818e-4
223.98,2.626e-4,,,2.626e-4
224.01,9.369e-5,,,9.369e-5
224.03,4.352e-5,,,4.352e-5
224.05,1.896e-5,,,1.896e-5
224.08,4.838e-6,,,4.838e-6
224.1,1.797e-6,,,1.797e-6
224.13,3.608e-7,,,3.608e-7
224.15,1.142e-7,,,1.142e-7
224.18,1.804e-8,,,1.804e-8
224.2,4.868e-9,,,4.868e-9
224.23,6.053e-10,,,6.053e-10
224.25,1.392e-10,,,1.392e-10
224.28,1.362e-11,,,1.362e-11
224.3,2.669e-12,,,2.669e-12
224.33,2.055e-13,,,2.055e-13
224.35,3.434e-14,,,3.434e-14
224.38,2.080e-15,,,2.080e-15
224.4,2.962e-16,,,2.962e-16
224.42,3.958e-17,,,3.958e-17
225.71,6.637e-14,6.637e-14,,5.002e-17
225.73,5.544e-13,5.544e-13,,5.018e-17
225.76,1.191e-11,1.191e-11,,5.042e-17
225.78,8.508e-11,8.508e-11,,5.058e-17
225.81,1.446e-9,1.446e-9,,5.083e-17
225.83,8.837e-9,8.837e-9,,5.099e-17
225.86,1.188e-7,1.188e-7,,5.123e-17
225.88,6.214e-7,6.214e-7,,5.139e-17
225.91,6.611e-6,6.611e-6,,5.163e-17
225.93,2.958e-5,2.958e-5,,5.180e-17
225.96,2.490e-4,2.490e-4,,5.204e-17
225.98,9.531e-4,9.531e-4,,5.220e-17
226,3.427e-3,3.427e-3,,5.236e-17
226.03,2.079e-2,2.079e-2,,5.261e-17
226.05,6.395e-2,6.395e-2,,5.277e-17
226.08,3.070e-1,3.070e-1,,5.301e-17
226.1,8.078e-1,8.078e-1,,5.317e-17
226.13,3.068e+0,3.068e+0,,5.342e-17
226.15,6.907e+0,6.907e+0,,5.358e-17
226.18,2.076e+1,2.076e+1,,5.382e-17
226.2,3.998e+1,3.998e+1,,5.398e-17
226.23,9.507e+1,9.507e+1,,5.422e-17
226.25,1.567e+2,1.567e+2,,5.439e-17
226.28,2.948e+2,2.948e+2,,5.463e-17
226.3,4.155e+2,4.155e+2,,5.479e-17
226.33,6.186e+2,6.186e+2,,5.503e-17
226.35,7.461e+2,7.461e+2,,5.520e-17
226.37,8.453e+2,8.453e+2,,5.536e-17
226.4,9.068e+2,9.068e+2,,5.560e-17
226.42,8.789e+2,8.789e+2,,5.576e-17
226.45,7.461e+2,7.461e+2,,5.600e-17
226.47,6.186e+2,6.186e+2,,5.617e-17
226.5,4.155e+2,4.155e+2,,5.641e-17
226.52,2.948e+2,2.948e+2,,5.657e-17
226.55,1.567e+2,1.567e+2,,5.681e-17
226.57,9.507e+1,9.507e+1,,5.698e-17
226.6,3.998e+1,3.998e+1,,5.722e-17
226.62,2.076e+1,2.076e+1,,5.738e-17
226.65,6.907e+0,6.907e+0,,5.762e-17
226.67,3.068e+0,3.068e+0,,5.779e-17
226.7,8.078e-1,8.078e-1,,5.803e-17
226.72,3.070e-1,3.070e-1,,5.819e-17
226.74,1.096e-1,1.096e-1,,5.835e-17
226.77,2.079e-2,2.079e-2,,5.859e-17
226.79,6.349e-3,6.349e-3,,5.876e-17
226.82,9.531e-4,9.531e-4,,5.900e-17
226.84,2.490e-4,2.490e-4,,5.916e-17
226.87,2.958e-5,2.958e-5,,5.940e-17
226.89,6.611e-6,6.611e-6,,5.957e-17
226.92,6.214e-7,6.214e-7,,5.981e-17
226.94,1.188e-7,1.188e-7,,5.997e-17
226.97,8.837e-9,8.837e-9,,6.021e-17
226.99,1.447e-9,1.447e-9,,6.038e-17
227.02,1.105e-10,1.105e-10,,6.062e-17
227.04,1.956e-10,1.956e-10,,6.078e-17
227.07,3.168e-9,3.168e-9,,6.102e-17
227.09,1.957e-8,1.957e-8,,6.118e-17
227.11,1.137e-7,1.137e-7,,6.135e-17
227.14,1.418e-6,1.418e-6,,6.159e-17
227.16,7.060e-6,7.060e-6,,6.175e-17
227.19,6.985e-5,6.985e-5,,6.199e-17
227.21,2.980e-4,2.980e-4,,6.216e-17
227.24,2.339e-3,2.339e-3,,6.240e-17
227.26,8.553e-3,8.553e-3,,6.256e-17
227.29,5.326e-2,5.326e-2,,6.280e-17
227.31,1.669e-1,1.669e-1,,6.296e-17
227.34,8.245e-1,8.245e-1,,6.321e-17
227.36,2.214e+0,2.214e+0,,6.337e-17
227.39,8.677e+0,8.677e+0,,6.361e-17
227.41,1.997e+1,1.997e+1,,6.377e-17
227.44,6.209e+1,6.209e+1,,6.402e-17
227.46,1.224e+2,1.224e+2,,6.418e-17
227.49,3.020e+2,3.020e+2,,6.442e-17
227.51,5.104e+2,5.104e+2,,6.458e-17
227.53,8.110e+2,8.110e+2,,6.475e-17
227.56,1.447e+3,1.447e+3,,6.499e-17
227.58,1.970e+3,1.970e+3,,6.515e-17
227.61,2.788e+3,2.788e+3,,6.539e-17
227.63,3.253e+3,3.253e+3,,6.555e-17
227.66,3.653e+3,3.653e+3,,6.580e-17
227.68,3.654e+3,3.654e+3,,6.596e-17
227.71,3.259e+3,3.259e+3,,6.620e-17
227.73,2.801e+3,2.801e+3,,6.636e-17
227.76,2.013e+3,2.013e+3,,6.661e-17
227.78,1.535e+3,1.535e+3,,6.677e-17
227.81,1.037e+3,1.037e+3,,6.701e-17
227.83,9.042e+2,9.042e+2,,6.717e-17
227.86,1.032e+3,1.032e+3,,6.742e-17
227.88,1.324e+3,1.324e+3,,6.758e-17
227.9,1.748e+3,1.748e+3,,6.774e-17
227.93,2.516e+3,2.516e+3,,6.798e-17
227.95,3.011e+3,3.011e+3,,6.814e-17
227.98,3.531e+3,3.531e+3,,6.839e-17
228,3.640e+3,3.640e+3,,6.855e-17
228.03,3.396e+3,3.396e+3,,6.879e-17
228.05,3.002e+3,3.002e+3,,6.895e-17
228.08,2.224e+3,2.224e+3,,6.920e-17
228.1,1.686e+3,1.686e+3,,6.936e-17
228.13,9.913e+2,9.913e+2,,6.960e-17
228.15,6.443e+2,6.443e+2,,6.976e-17
228.18,3.008e+2,3.008e+2,,7.001e-17
228.2,1.676e+2,1.676e+2,,7.017e-17
228.23,6.211e+1,6.211e+1,,7.041e-17
228.25,2.967e+1,2.967e+1,,7.057e-17
228.27,1.333e+1,1.333e+1,,7.073e-17
228.3,3.575e+0,3.575e+0,,7.098e-17
228.32,1.377e+0,1.377e+0,,7.114e-17
228.35,2.932e-1,2.932e-1,,7.138e-17
228.37,9.682e-2,9.682e-2,,7.154e-17
228.4,1.637e-2,1.637e-2,,7.179e-17
228.42,4.634e-3,4.634e-3,,7.195e-17
228.45,6.219e-4,6.219e-4,,7.219e-17
228.47,1.509e-4,1.509e-4,,7.235e-17
228.5,1.608e-5,1.608e-5,,7.260e-17
228.52,3.347e-6,3.347e-6,,7.276e-17
228.55,2.831e-7,2.831e-7,,7.300e-17
228.57,5.050e-8,5.050e-8,,7.316e-17
228.6,3.391e-9,3.391e-9,,7.340e-17
228.62,5.187e-10,5.187e-10,,7.357e-17
228.64,7.460e-11,7.460e-11,,7.373e-17
228.67,3.626e-12,3.626e-12,,7.397e-17
228.69,4.471e-13,4.471e-13,,7.413e-17
229.29,1.705e-13,1.705e-13,,7.899e-17
229.31,1.375e-12,1.375e-12,,7.915e-17
229.34,2.809e-11,2.809e-11,,7.939e-17
229.36,1.947e-10,1.947e-10,,7.956e-17
229.39,3.172e-9,3.172e-9,,7.980e-17
229.41,1.890e-8,1.890e-8,,7.996e-17
229.43,1.060e-7,1.060e-7,,8.012e-17
229.46,1.257e-6,1.257e-6,,8.036e-17
229.48,6.058e-6,6.058e-6,,8.053e-17
229.51,5.725e-5,5.725e-5,,8.077e-17
229.53,2.372e-4,2.372e-4,,8.093e-17
229.56,1.787e-3,1.787e-3,,8.117e-17
229.58,6.366e-3,6.366e-3,,8.134e-17
229.61,3.822e-2,3.822e-2,,8.158e-17
229.63,1.170e-1,1.170e-1,,8.174e-17
229.66,5.600e-1,5.600e-1,,8.198e-17
229.68,1.474e+0,1.474e+0,,8.214e-17
229.71,5.622e+0,5.622e+0,,8.239e-17
229.73,1.272e+1,1.272e+1,,8.255e-17
229.76,3.867e+1,3.867e+1,,8.279e-17
229.78,7.523e+1,7.523e+1,,8.295e-17
229.8,1.378e+2,1.378e+2,,8.312e-17
229.83,3.048e+2,3.048e+2,,8.336e-17
229.85,4.798e+2,4.798e+2,,8.352e-17
229.88,8.460e+2,8.460e+2,,8.376e-17
229.9,1.145e+3,1.145e+3,,8.393e-17
229.93,1.609e+3,1.609e+3,,8.417e-17
229.95,1.873e+3,1.873e+3,,8.433e-17
229.98,2.101e+3,2.101e+3,,8.457e-17
230,2.106e+3,2.106e+3,,8.473e-17
230.03,1.903e+3,1.903e+3,,8.498e-17
230.05,1.671e+3,1.671e+3,,8.514e-17
230.08,1.302e+3,1.302e+3,,8.538e-17
230.1,1.117e+3,1.117e+3,,8.554e-17
230.13,1.027e+3,1.027e+3,,8.579e-17
230.15,1.115e+3,1.115e+3,,8.595e-17
230.18,1.440e+3,1.440e+3,,8.619e-17
230.2,1.733e+3,1.733e+3,,8.635e-17
230.22,2.026e+3,2.026e+3,,8.652e-17
230.25,2.342e+3,2.342e+3,,8.676e-17
230.27,2.408e+3,2.408e+3,,8.692e-17
230.3,2.255e+3,2.255e+3,,8.716e-17
230.32,2.013e+3,2.013e+3,,8.732e-17
230.35,1.553e+3,1.553e+3,,8.757e-17
230.37,1.264e+3,1.264e+3,,8.773e-17
230.4,9.827e+2,9.827e+2,,8.797e-17
230.42,9.448e+2,9.448e+2,,8.813e-17
230.45,1.138e+3,1.138e+3,,8.838e-17
230.47,1.411e+3,1.411e+3,,8.854e-17
230.5,1.944e+3,1.944e+3,,8.878e-17
230.52,2.297e+3,2.297e+3,,8.894e-17
230.55,2.671e+3,2.671e+3,,8.919e-17
230.57,2.749e+3,2.749e+3,,8.935e-17
230.59,2.666e+3,2.666e+3,,8.951e-17
230.62,2.276e+3,2.276e+3,,8.975e-17
230.64,1.899e+3,1.899e+3,,8.991e-17
230.67,1.294e+3,1.294e+3,,9.016e-17
230.69,9.293e+2,9.293e+2,,9.032e-17
230.72,5.052e+2,5.052e+2,,9.056e-17
230.74,3.121e+2,3.121e+2,,9.072e-17
230.77,1.354e+2,1.354e+2,,9.097e-17
230.79,7.197e+1,7.197e+1,,9.113e-17
230.82,2.491e+1,2.491e+1,,9.137e-17
230.84,1.139e+1,1.139e+1,,9.153e-17
230.87,3.146e+0,3.146e+0,,9.178e-17
230.89,1.238e+0,1.238e+0,,9.194e-17
230.92,2.727e-1,2.727e-1,,9.218e-17
230.94,9.230e-2,9.230e-2,,9.234e-17
230.96,2.941e-2,2.941e-2,,9.250e-17
230.99,4.725e-3,4.725e-3,,9.275e-17
231.01,1.295e-3,1.295e-3,,9.291e-17
231.04,1.661e-4,1.661e-4,,9.315e-17
231.06,3.916e-5,3.916e-5,,9.331e-17
231.09,4.006e-6,4.006e-6,,9.356e-17
231.11,8.128e-7,8.128e-7,,9.372e-17
231.14,6.635e-8,6.635e-8,,9.396e-17
231.16,1.158e-8,1.158e-8,,9.412e-17
231.19,7.542e-10,7.542e-10,,9.437e-17
231.21,1.133e-10,1.133e-10,,9.453e-17
231.24,5.886e-12,5.886e-12,,9.477e-17
231.26,7.603e-13,7.603e-13,,9.493e-17
232.42,1.043e-16,6.354e-13,,1.043e-16
232.45,2.276e-15,6.322e-13,,2.276e-15
232.47,1.638e-14,6.300e-13,,1.638e-14
232.49,1.112e-13,6.279e-13,,1.112e-13
232.52,1.763e-12,6.247e-13,,1.763e-12
232.54,1.034e-11,6.225e-13,,1.034e-11
232.57,1.315e-10,6.193e-13,,1.315e-10
232.59,6.662e-10,6.171e-13,,6.662e-10
232.62,6.806e-9,6.139e-13,,6.806e-9
232.64,2.979e-8,6.117e-13,,2.979e-8
232.67,2.445e-7,6.085e-13,,2.445e-7
232.69,9.251e-7,6.064e-13,,9.251e-7
232.72,6.104e-6,6.031e-13,,6.104e-6
232.74,1.997e-5,6.010e-13,,1.997e-5
232.77,1.060e-4,5.977e-13,,1.060e-4
232.79,3.001e-4,5.956e-13,,3.001e-4
232.82,1.283e-3,5.924e-13,,1.283e-3
232.84,3.144e-3,5.902e-13,,3.144e-3
232.86,7.275e-3,5.881e-13,,7.275e-3
232.89,2.300e-2,5.848e-13,,2.300e-2
232.91,4.614e-2,5.827e-13,,4.614e-2
232.94,1.178e-1,5.794e-13,,1.178e-1
232.96,2.050e-1,5.773e-13,,2.050e-1
232.99,4.233e-1,5.741e-13,,4.233e-1
233.01,6.397e-1,5.719e-13,,6.397e-1
233.04,1.070e+0,5.687e-13,,1.070e+0
233.06,1.406e+0,5.665e-13,,1.406e+0
233.09,1.906e+0,5.633e-13,,1.906e+0
233.11,2.179e+0,5.611e-13,,2.179e+0
233.14,2.401e+0,5.579e-13,,2.401e+0
233.16,2.392e+0,5.558e-13,,2.392e+0
233.19,2.151e+0,5.525e-13,,2.151e+0
233.21,1.882e+0,5.504e-13,,1.882e+0
233.24,1.427e+0,5.472e-13,,1.427e+0
233.26,1.155e+0,5.450e-13,,1.155e+0
233.28,9.508e-1,5.428e-13,,9.508e-1
233.31,8.064e-1,5.396e-13,,8.064e-1
233.33,8.158e-1,5.375e-13,,8.158e-1
