Wavelength (nm),Sum(calc),Ti I (5.4e-2),Ti II (9.4e-1),Ti III (1.9e-3)
259.3,4.354e+2,4.354e+2,4.485e-13,1.812e-16
259.32,4.879e+2,4.879e+2,4.485e-13,1.815e-16
259.34,5.234e+2,5.234e+2,4.485e-13,1.819e-16
259.37,5.350e+2,5.350e+2,4.485e-13,1.824e-16
259.39,5.145e+2,5.145e+2,4.485e-13,1.828e-16
259.42,4.526e+2,4.526e+2,4.485e-13,1.833e-16
259.44,4.026e+2,4.026e+2,4.484e-13,1.837e-16
259.47,3.387e+2,3.387e+2,4.484e-13,1.842e-16
259.49,3.163e+2,3.163e+2,4.484e-13,1.845e-16
259.52,3.266e+2,3.266e+2,4.484e-13,1.851e-16
259.54,3.639e+2,3.639e+2,4.484e-13,1.854e-16
259.57,4.547e+2,4.547e+2,4.484e-13,1.859e-16
259.59,5.261e+2,5.261e+2,4.484e-13,1.863e-16
259.62,6.223e+2,6.223e+2,4.483e-13,1.868e-16
259.64,6.644e+2,6.644e+2,4.483e-13,1.872e-16
259.67,6.790e+2,6.790e+2,4.483e-13,1.877e-16
259.69,6.565e+2,6.565e+2,4.483e-13,1.881e-16
259.72,5.934e+2,5.934e+2,4.483e-13,1.886e-16
259.74,5.527e+2,5.527e+2,4.483e-13,1.889e-16
259.76,5.350e+2,5.350e+2,4.483e-13,1.893e-16
259.79,5.973e+2,5.973e+2,4.482e-13,1.898e-16
259.81,7.267e+2,7.267e+2,4.482e-13,1.902e-16
259.84,1.086e+3,1.086e+3,4.482e-13,1.907e-16
259.86,1.438e+3,1.438e+3,4.482e-13,1.911e-16
259.89,2.098e+3,2.098e+3,4.482e-13,1.916e-16
259.91,2.577e+3,2.577e+3,4.482e-13,1.919e-16
259.94,3.232e+3,3.232e+3,4.481e-13,1.925e-16
259.96,3.549e+3,3.549e+3,4.481e-13,1.928e-16
259.99,3.740e+3,3.740e+3,4.481e-13,1.933e-16
260.01,3.652e+3,3.652e+3,4.481e-13,1.937e-16
260.04,3.225e+3,3.225e+3,4.481e-13,1.942e-16
260.06,2.798e+3,2.798e+3,4.481e-13,1.946e-16
260.09,2.069e+3,2.069e+3,4.480e-13,1.951e-16
260.11,1.595e+3,1.595e+3,4.480e-13,1.955e-16
260.13,1.173e+3,1.173e+3,4.480e-13,1.958e-16
260.16,6.798e+2,6.798e+2,4.480e-13,1.963e-16
260.18,4.497e+2,4.497e+2,4.480e-13,1.967e-16
260.21,2.377e+2,2.377e+2,4.480e-13,1.972e-16
260.23,1.722e+2,1.722e+2,4.480e-13,1.976e-16
260.26,1.738e+2,1.738e+2,4.479e-13,1.981e-16
260.28,2.437e+2,2.437e+2,4.479e-13,1.985e-16
260.31,4.748e+2,4.748e+2,4.479e-13,1.990e-16
260.33,7.335e+2,7.335e+2,4.479e-13,1.993e-16
260.36,1.309e+3,1.309e+3,4.479e-13,1.999e-16
260.38,1.819e+3,1.819e+3,4.479e-13,2.002e-16
260.41,2.731e+3,2.731e+3,4.479e-13,2.007e-16
260.43,3.377e+3,3.377e+3,4.478e-13,2.011e-16
260.46,4.250e+3,4.250e+3,4.478e-13,2.016e-16
260.48,4.670e+3,4.670e+3,4.478e-13,2.020e-16
260.5,4.895e+3,4.895e+3,4.478e-13,2.023e-16
260.53,4.810e+3,4.810e+3,4.478e-13,2.029e-16
260.55,4.481e+3,4.481e+3,4.478e-13,2.032e-16
260.58,3.689e+3,3.689e+3,4.477e-13,2.037e-16
260.6,3.055e+3,3.055e+3,4.477e-13,2.041e-16
260.63,2.107e+3,2.107e+3,4.477e-13,2.046e-16
260.65,1.551e+3,1.551e+3,4.477e-13,2.050e-16
260.68,8.966e+2,8.966e+2,4.477e-13,2.055e-16
260.7,5.867e+2,5.867e+2,4.477e-13,2.059e-16
260.73,2.847e+2,2.847e+2,4.477e-13,2.064e-16
260.75,1.666e+2,1.666e+2,4.476e-13,2.067e-16
260.78,7.234e+1,7.234e+1,4.476e-13,2.073e-16
260.8,4.646e+1,4.646e+1,4.476e-13,2.076e-16
260.83,4.790e+1,4.790e+1,4.476e-13,2.081e-16
260.85,7.717e+1,7.717e+1,4.476e-13,2.085e-16
260.87,1.384e+2,1.384e+2,4.476e-13,2.088e-16
260.9,3.261e+2,3.261e+2,4.476e-13,2.094e-16
260.92,5.493e+2,5.493e+2,4.475e-13,2.097e-16
260.95,1.103e+3,1.103e+3,4.475e-13,2.103e-16
260.97,1.656e+3,1.656e+3,4.475e-13,2.106e-16
261,2.791e+3,2.791e+3,4.475e-13,2.111e-16
261.02,3.730e+3,3.730e+3,4.475e-13,2.115e-16
261.05,5.281e+3,5.281e+3,4.475e-13,2.120e-16
261.07,6.281e+3,6.281e+3,4.474e-13,2.124e-16
261.1,7.467e+3,7.467e+3,4.474e-13,2.129e-16
261.12,7.905e+3,7.905e+3,4.474e-13,2.133e-16
261.15,7.892e+3,7.892e+3,4.474e-13,2.138e-16
261.17,7.438e+3,7.438e+3,4.474e-13,2.141e-16
261.2,6.236e+3,6.236e+3,4.474e-13,2.147e-16
261.22,5.232e+3,5.232e+3,4.474e-13,2.150e-16
261.25,3.685e+3,3.685e+3,4.473e-13,2.155e-16
261.27,2.752e+3,2.752e+3,4.473e-13,2.159e-16
261.29,1.962e+3,1.962e+3,4.473e-13,2.162e-16
261.32,1.083e+3,1.083e+3,4.473e-13,2.168e-16
261.34,6.874e+2,6.874e+2,4.473e-13,2.171e-16
261.37,3.187e+2,3.187e+2,4.473e-13,2.177e-16
261.39,1.801e+2,1.801e+2,4.473e-13,2.180e-16
261.42,7.016e+1,7.016e+1,4.472e-13,2.185e-16
261.44,3.531e+1,3.531e+1,4.472e-13,2.189e-16
261.47,1.156e+1,1.156e+1,4.472e-13,2.194e-16
261.49,5.180e+0,5.180e+0,4.472e-13,2.198e-16
261.52,1.429e+0,1.429e+0,4.472e-13,2.203e-16
261.54,5.805e-1,5.805e-1,4.472e-13,2.207e-16
261.57,1.865e-1,1.865e-1,4.471e-13,2.212e-16
261.59,1.901e-1,1.901e-1,4.471e-13,2.215e-16
261.62,5.602e-1,5.602e-1,4.471e-13,2.221e-16
261.64,1.278e+0,1.278e+0,4.471e-13,2.224e-16
261.66,2.818e+0,2.818e+0,4.471e-13,2.228e-16
261.69,8.476e+0,8.476e+0,4.471e-13,2.233e-16
261.71,1.666e+1,1.666e+1,4.471e-13,2.236e-16
261.74,4.209e+1,4.209e+1,4.470e-13,2.242e-16
261.76,7.364e+1,7.364e+1,4.470e-13,2.245e-16
261.79,1.562e+2,1.562e+2,4.470e-13,2.251e-16
261.81,2.432e+2,2.432e+2,4.470e-13,2.254e-16
261.84,4.330e+2,4.330e+2,4.470e-13,2.259e-16
261.86,6.001e+2,6.001e+2,4.470e-13,2.263e-16
261.89,8.971e+2,8.971e+2,4.469e-13,2.268e-16
261.91,1.106e+3,1.106e+3,4.469e-13,2.272e-16
261.94,1.389e+3,1.389e+3,4.469e-13,2.277e-16
261.96,1.525e+3,1.525e+3,4.469e-13,2.281e-16
261.99,1.607e+3,1.607e+3,4.469e-13,2.286e-16
262.01,1.570e+3,1.570e+3,4.469e-13,2.289e-16
262.03,1.464e+3,1.464e+3,4.469e-13,2.293e-16
262.06,1.208e+3,1.208e+3,4.468e-13,2.298e-16
262.08,1.002e+3,1.002e+3,4.468e-13,2.302e-16
262.11,6.942e+2,6.942e+2,4.468e-13,2.307e-16
262.13,5.127e+2,5.127e+2,4.468e-13,2.310e-16
262.16,2.982e+2,2.982e+2,4.468e-13,2.316e-16
262.18,1.960e+2,1.960e+2,4.468e-13,2.319e-16
262.21,9.572e+1,9.572e+1,4.468e-13,2.325e-16
262.23,5.600e+1,5.600e+1,4.467e-13,2.328e-16
262.26,2.296e+1,2.296e+1,4.467e-13,2.333e-16
262.28,1.195e+1,1.195e+1,4.467e-13,2.337e-16
262.31,4.115e+0,4.115e+0,4.467e-13,2.342e-16
262.33,1.907e+0,1.907e+0,4.467e-13,2.346e-16
262.36,5.511e-1,5.511e-1,4.467e-13,2.351e-16
262.38,2.273e-1,2.273e-1,4.466e-13,2.355e-16
262.4,8.945e-2,8.945e-2,4.466e-13,2.358e-16
262.43,2.024e-2,2.024e-2,4.466e-13,2.363e-16
262.45,7.091e-3,7.091e-3,4.466e-13,2.367e-16
262.48,1.347e-3,1.347e-3,4.466e-13,2.372e-16
262.5,4.200e-4,4.200e-4,4.466e-13,2.376e-16
262.53,6.731e-5,6.731e-5,4.466e-13,2.381e-16
262.55,1.987e-5,1.987e-5,4.465e-13,2.385e-16
262.58,1.219e-5,1.219e-5,4.465e-13,2.390e-16
262.6,3.601e-5,3.601e-5,4.465e-13,2.393e-16
262.63,2.263e-4,2.263e-4,4.465e-13,2.399e-16
262.65,7.357e-4,7.357e-4,4.465e-13,2.402e-16
262.68,3.956e-3,3.956e-3,4.465e-13,2.407e-16
262.7,1.147e-2,1.147e-2,4.465e-13,2.411e-16
262.73,5.191e-2,5.191e-2,4.464e-13,2.416e-16
262.75,1.341e-1,1.341e-1,4.464e-13,2.420e-16
262.78,5.115e-1,5.115e-1,6.498e-12,2.425e-16
262.8,1.179e+0,1.179e+0,3.657e-11,2.429e-16
262.82,2.598e+0,2.598e+0,1.965e-10,2.432e-16
262.85,7.807e+0,7.807e+0,2.246e-9,2.437e-16
262.87,1.537e+1,1.537e+1,1.076e-8,2.441e-16
262.9,3.904e+1,3.904e+1,1.034e-7,2.446e-16
262.92,6.878e+1,6.878e+1,4.415e-7,2.450e-16
262.95,1.482e+2,1.482e+2,3.572e-6,2.455e-16
262.97,2.344e+2,2.344e+2,1.359e-5,2.459e-16
263,4.305e+2,4.305e+2,9.247e-5,2.464e-16
263.02,6.132e+2,6.132e+2,3.135e-4,2.467e-16
263.05,9.665e+2,9.665e+2,1.795e-3,2.473e-16
263.07,1.246e+3,1.246e+3,5.424e-3,2.476e-16
263.1,1.699e+3,1.699e+3,2.613e-2,2.481e-16
263.12,1.994e+3,1.994e+3,7.035e-2,2.485e-16
263.15,2.368e+3,2.367e+3,2.851e-1,2.490e-16
263.17,2.539e+3,2.539e+3,6.843e-1,2.494e-16
263.19,2.629e+3,2.628e+3,1.568e+0,2.497e-16
263.22,2.594e+3,2.589e+3,4.990e+0,2.503e-16
263.24,2.461e+3,2.451e+3,1.019e+1,2.506e-16
263.27,2.136e+3,2.109e+3,2.729e+1,2.511e-16
263.29,1.870e+3,1.821e+3,4.967e+1,2.515e-16
263.32,1.471e+3,1.359e+3,1.119e+2,2.520e-16
263.34,1.246e+3,1.065e+3,1.815e+2,2.524e-16
263.37,1.028e+3,6.844e+2,3.439e+2,2.529e-16
263.39,9.812e+2,4.840e+2,4.972e+2,2.533e-16
263.42,1.059e+3,2.659e+2,7.927e+2,2.538e-16
263.44,1.190e+3,1.690e+2,1.021e+3,2.541e-16
263.47,1.449e+3,7.890e+1,1.370e+3,2.547e-16
263.49,1.619e+3,4.494e+1,1.574e+3,2.550e-16
263.52,1.796e+3,1.776e+1,1.778e+3,2.555e-16
263.54,1.832e+3,9.045e+0,1.823e+3,2.559e-16
263.56,1.793e+3,4.402e+0,1.789e+3,2.562e-16
263.59,1.611e+3,1.374e+0,1.610e+3,2.568e-16
263.61,1.437e+3,6.001e-1,1.436e+3,2.571e-16
263.64,1.171e+3,1.771e-1,1.171e+3,2.577e-16
263.66,1.035e+3,1.193e-1,1.035e+3,2.580e-16
263.69,9.552e+2,2.751e-1,9.549e+2,2.585e-16
263.71,1.006e+3,6.748e-1,1.005e+3,2.589e-16
263.74,1.237e+3,2.521e+0,1.234e+3,2.594e-16
263.76,1.473e+3,5.756e+0,1.468e+3,2.598e-16
263.79,1.885e+3,1.822e+1,1.867e+3,2.603e-16
263.81,2.151e+3,3.711e+1,2.114e+3,2.607e-16
263.84,2.465e+3,9.893e+1,2.366e+3,2.612e-16
263.86,2.598e+3,1.796e+2,2.418e+3,2.615e-16
263.89,2.706e+3,4.032e+2,2.303e+3,2.621e-16
263.91,2.768e+3,6.527e+2,2.115e+3,2.624e-16
263.94,2.974e+3,1.233e+3,1.741e+3,2.629e-16
263.96,3.266e+3,1.780e+3,1.486e+3,2.633e-16
263.98,3.728e+3,2.455e+3,1.273e+3,2.636e-16
264.01,4.753e+3,3.646e+3,1.107e+3,2.642e-16
264.03,5.614e+3,4.483e+3,1.132e+3,2.645e-16
264.06,6.999e+3,5.609e+3,1.390e+3,2.651e-16
264.08,7.847e+3,6.151e+3,1.696e+3,2.654e-16
264.11,8.778e+3,6.493e+3,2.286e+3,2.659e-16
264.13,9.073e+3,6.370e+3,2.702e+3,2.663e-16
264.16,8.967e+3,5.732e+3,3.235e+3,2.668e-16
264.18,8.572e+3,5.115e+3,3.457e+3,2.672e-16
264.21,7.676e+3,4.162e+3,3.514e+3,2.677e-16
264.23,7.025e+3,3.668e+3,3.357e+3,2.681e-16
264.26,6.241e+3,3.356e+3,2.884e+3,2.686e-16
264.28,5.979e+3,3.508e+3,2.472e+3,2.689e-16
264.31,6.108e+3,4.273e+3,1.834e+3,2.695e-16
264.33,6.539e+3,5.070e+3,1.469e+3,2.698e-16
264.35,7.193e+3,5.992e+3,1.201e+3,2.702e-16
264.38,8.412e+3,7.366e+3,1.046e+3,2.707e-16
264.4,9.256e+3,8.119e+3,1.138e+3,2.710e-16
264.43,1.042e+4,8.831e+3,1.593e+3,2.716e-16
264.45,1.112e+4,9.017e+3,2.103e+3,2.719e-16
264.48,1.214e+4,9.021e+3,3.116e+3,2.725e-16
264.5,1.289e+4,9.000e+3,3.887e+3,2.728e-16
264.53,1.423e+4,9.218e+3,5.008e+3,2.733e-16
264.55,1.524e+4,9.627e+3,5.609e+3,2.737e-16
264.58,1.671e+4,1.060e+4,6.109e+3,2.742e-16
264.6,1.746e+4,1.135e+4,6.108e+3,2.746e-16
264.63,1.785e+4,1.224e+4,5.606e+3,2.751e-16
264.65,1.746e+4,1.246e+4,5.001e+3,2.755e-16
264.68,1.583e+4,1.197e+4,3.867e+3,2.760e-16
264.7,1.416e+4,1.109e+4,3.077e+3,2.763e-16
264.72,1.218e+4,9.844e+3,2.339e+3,2.767e-16
264.75,9.008e+3,7.585e+3,1.423e+3,2.772e-16
264.77,6.993e+3,6.028e+3,9.646e+2,2.776e-16
264.8,4.419e+3,3.924e+3,4.944e+2,2.781e-16
264.82,3.084e+3,2.785e+3,2.990e+2,2.784e-16
264.85,1.658e+3,1.529e+3,1.291e+2,2.790e-16
264.87,1.038e+3,9.679e+2,6.965e+1,2.793e-16
264.9,4.731e+2,4.477e+2,2.533e+1,2.799e-16
264.92,2.651e+2,2.529e+2,1.219e+1,2.802e-16
264.95,1.023e+2,9.858e+1,3.736e+0,2.807e-16
264.97,5.128e+1,4.968e+1,1.604e+0,2.811e-16
265,1.673e+1,1.631e+1,4.140e-1,2.816e-16
265.02,7.493e+0,7.334e+0,1.585e-1,2.820e-16
265.05,2.064e+0,2.029e+0,3.448e-2,2.825e-16
265.07,8.257e-1,8.139e-1,1.178e-2,2.829e-16
265.09,3.157e-1,3.118e-1,3.843e-3,2.832e-16
265.12,6.854e-2,6.788e-2,6.575e-4,2.837e-16
265.14,2.339e-2,2.320e-2,1.914e-4,2.841e-16
265.17,4.293e-3,4.265e-3,2.759e-5,2.846e-16
265.19,1.338e-3,1.331e-3,7.163e-6,2.850e-16
265.22,3.961e-4,3.953e-4,8.698e-7,2.855e-16
265.24,6.460e-4,6.457e-4,2.014e-7,2.858e-16
265.27,2.879e-3,2.879e-3,2.061e-8,2.864e-16
265.29,7.786e-3,7.786e-3,4.258e-9,2.867e-16
265.32,3.190e-2,3.190e-2,3.670e-10,2.873e-16
265.34,7.721e-2,7.721e-2,6.762e-11,2.876e-16
265.37,2.670e-1,2.670e-1,4.910e-12,2.881e-16
265.39,5.769e-1,5.769e-1,4.895e-12,2.885e-16
265.42,1.683e+0,1.683e+0,4.873e-12,2.890e-16
265.44,3.247e+0,3.247e+0,4.858e-12,2.894e-16
265.47,7.993e+0,7.993e+0,4.836e-12,2.899e-16
265.49,1.377e+1,1.377e+1,4.821e-12,2.903e-16
265.51,2.267e+1,2.267e+1,4.806e-12,2.906e-16
265.54,4.398e+1,4.398e+1,4.784e-12,2.911e-16
265.56,6.465e+1,6.465e+1,4.769e-12,2.915e-16
265.59,1.058e+2,1.058e+2,4.747e-12,2.920e-16
265.61,1.389e+2,1.389e+2,4.732e-12,2.924e-16
265.64,1.919e+2,1.919e+2,4.710e-12,2.929e-16
265.66,2.248e+2,2.248e+2,4.695e-12,2.932e-16
265.69,2.620e+2,2.620e+2,4.673e-12,2.938e-16
265.71,2.741e+2,2.741e+2,4.658e-12,2.941e-16
265.74,2.695e+2,2.695e+2,4.636e-12,2.947e-16
265.76,2.518e+2,2.518e+2,4.621e-12,2.950e-16
265.79,2.089e+2,2.089e+2,4.599e-12,2.955e-16
265.81,1.744e+2,1.744e+2,4.584e-12,2.959e-16
265.84,1.225e+2,1.225e+2,4.562e-12,2.964e-16
265.86,9.196e+1,9.196e+1,4.547e-12,2.968e-16
265.88,6.704e+1,6.704e+1,4.532e-12,2.971e-16
265.91,4.237e+1,4.237e+1,4.510e-12,2.977e-16
265.93,3.528e+1,3.528e+1,4.495e-12,2.980e-16
265.96,4.047e+1,4.047e+1,4.473e-12,2.985e-16
265.98,5.629e+1,5.629e+1,4.458e-12,2.989e-16
266.01,1.031e+2,1.031e+2,4.435e-12,2.994e-16
266.03,1.524e+2,1.524e+2,4.421e-12,2.998e-16
266.06,2.560e+2,2.560e+2,4.398e-12,3.003e-16
266.08,3.430e+2,3.430e+2,4.383e-12,3.006e-16
266.11,4.893e+2,4.893e+2,4.361e-12,3.012e-16
266.13,5.861e+2,5.861e+2,4.346e-12,3.015e-16
266.16,7.061e+2,7.061e+2,4.324e-12,3.021e-16
266.18,7.556e+2,7.556e+2,4.309e-12,3.024e-16
266.21,7.685e+2,7.685e+2,4.287e-12,3.029e-16
266.23,7.346e+2,7.346e+2,4.272e-12,3.033e-16
266.25,6.712e+2,6.712e+2,4.257e-12,3.036e-16
266.28,5.385e+2,5.385e+2,4.235e-12,3.042e-16
266.3,4.395e+2,4.395e+2,4.220e-12,3.045e-16
266.33,2.977e+2,2.977e+2,4.198e-12,3.051e-16
266.35,2.170e+2,2.170e+2,4.183e-12,3.054e-16
266.38,1.241e+2,1.241e+2,4.161e-12,3.059e-16
266.4,8.082e+1,8.082e+1,4.146e-12,3.063e-16
266.43,3.902e+1,3.902e+1,4.124e-12,3.068e-16
266.45,2.269e+1,2.269e+1,4.109e-12,3.072e-16
266.48,9.252e+0,9.252e+0,4.087e-12,3.077e-16
266.5,4.813e+0,4.813e+0,4.072e-12,3.080e-16
266.53,1.688e+0,1.688e+0,4.050e-12,3.086e-16
266.55,8.555e-1,8.555e-1,4.035e-12,3.089e-16
266.58,5.562e-1,5.562e-1,4.013e-12,3.095e-16
266.6,8.573e-1,8.573e-1,3.998e-12,3.098e-16
266.62,1.715e+0,1.715e+0,3.983e-12,3.102e-16
266.65,5.023e+0,5.023e+0,3.961e-12,3.107e-16
266.67,9.837e+0,9.837e+0,3.946e-12,3.110e-16
266.7,2.483e+1,2.483e+1,3.923e-12,3.116e-16
266.72,4.352e+1,4.352e+1,3.909e-12,3.119e-16
266.75,9.284e+1,9.284e+1,3.886e-12,3.125e-16
266.77,1.455e+2,1.455e+2,3.872e-12,3.128e-16
266.8,2.622e+2,2.622e+2,3.849e-12,3.133e-16
266.82,3.672e+2,3.672e+2,3.834e-12,3.137e-16
266.85,5.594e+2,5.594e+2,3.812e-12,3.142e-16
266.87,7.002e+2,7.002e+2,3.797e-12,3.146e-16
266.9,9.015e+2,9.015e+2,3.775e-12,3.151e-16
266.92,1.009e+3,1.009e+3,3.760e-12,3.154e-16
266.95,1.097e+3,1.097e+3,3.738e-12,3.160e-16
266.97,1.097e+3,1.097e+3,3.723e-12,3.163e-16
267,1.009e+3,1.009e+3,3.701e-12,3.169e-16
267.02,9.015e+2,9.015e+2,3.686e-12,3.172e-16
267.04,7.704e+2,7.704e+2,3.671e-12,3.176e-16
267.07,5.594e+2,5.594e+2,3.649e-12,3.181e-16
267.09,4.273e+2,4.273e+2,3.634e-12,3.184e-16
267.12,2.622e+2,2.622e+2,3.612e-12,3.190e-16
267.14,1.790e+2,1.790e+2,3.597e-12,3.193e-16
267.17,9.284e+1,9.284e+1,3.575e-12,3.199e-16
267.19,5.665e+1,5.665e+1,3.560e-12,3.202e-16
267.22,2.483e+1,2.483e+1,3.538e-12,3.207e-16
267.24,1.354e+1,1.354e+1,3.523e-12,3.211e-16
267.27,5.014e+0,5.014e+0,3.501e-12,3.216e-16
267.29,2.445e+0,2.445e+0,3.486e-12,3.220e-16
267.32,7.649e-1,7.649e-1,3.463e-12,3.225e-16
267.34,3.333e-1,3.333e-1,3.449e-12,3.228e-16
267.37,8.814e-2,8.814e-2,3.426e-12,3.234e-16
267.39,3.433e-2,3.433e-2,3.412e-12,3.237e-16
267.41,1.280e-2,1.280e-2,3.397e-12,3.241e-16
267.44,2.754e-3,2.754e-3,3.374e-12,3.246e-16
267.46,1.166e-3,1.166e-3,3.360e-12,3.250e-16
267.49,1.708e-3,1.708e-3,3.337e-12,3.255e-16
267.51,4.667e-3,4.667e-3,3.322e-12,3.258e-16
267.54,2.186e-2,2.186e-2,3.300e-12,3.264e-16
267.56,5.824e-2,5.824e-2,3.285e-12,3.267e-16
267.59,2.331e-1,2.331e-1,3.263e-12,3.273e-16
267.61,5.557e-1,5.557e-1,3.248e-12,3.276e-16
267.64,1.882e+0,1.882e+0,3.226e-12,3.281e-16
267.66,4.013e+0,4.013e+0,3.211e-12,3.285e-16
267.69,1.150e+1,1.150e+1,3.189e-12,3.290e-16
267.71,2.194e+1,2.194e+1,3.174e-12,3.294e-16
267.74,5.319e+1,5.319e+1,3.152e-12,3.299e-16
267.76,9.079e+1,9.079e+1,3.137e-12,3.302e-16
267.78,1.482e+2,1.482e+2,3.122e-12,3.306e-16
267.81,2.844e+2,2.844e+2,3.100e-12,3.311e-16
267.83,4.153e+2,4.153e+2,3.085e-12,3.315e-16
267.86,6.742e+2,6.742e+2,3.063e-12,3.320e-16
267.88,8.808e+2,8.808e+2,3.048e-12,3.324e-16
267.91,1.210e+3,1.210e+3,3.026e-12,3.329e-16
267.93,1.414e+3,1.414e+3,3.011e-12,3.332e-16
267.96,1.644e+3,1.644e+3,2.989e-12,3.338e-16
267.98,1.719e+3,1.719e+3,2.974e-12,3.341e-16
268.01,1.690e+3,1.690e+3,2.951e-12,3.347e-16
268.03,1.581e+3,1.581e+3,2.937e-12,3.350e-16
268.06,1.315e+3,1.315e+3,2.914e-12,3.355e-16
268.08,1.101e+3,1.101e+3,2.900e-12,3.359e-16
268.11,7.749e+2,7.749e+2,2.877e-12,3.364e-16
268.13,5.801e+2,5.801e+2,2.862e-12,3.368e-16
268.16,3.456e+2,3.456e+2,2.840e-12,3.373e-16
268.18,2.314e+2,2.314e+2,2.825e-12,3.376e-16
268.2,1.482e+2,1.482e+2,2.810e-12,3.380e-16
268.23,6.988e+1,6.988e+1,2.788e-12,3.385e-16
268.25,4.004e+1,4.004e+1,2.773e-12,3.389e-16
268.28,1.597e+1,1.597e+1,2.751e-12,3.394e-16
268.3,8.187e+0,8.187e+0,2.736e-12,3.398e-16
268.33,2.763e+0,2.763e+0,2.714e-12,3.403e-16
268.35,1.267e+0,1.267e+0,2.699e-12,3.406e-16
268.38,3.619e-1,3.619e-1,2.677e-12,3.412e-16
268.4,1.484e-1,1.484e-1,2.662e-12,3.415e-16
268.43,3.587e-2,3.587e-2,2.640e-12,3.421e-16
268.45,1.316e-2,1.316e-2,2.625e-12,3.424e-16
268.48,2.692e-3,2.692e-3,2.603e-12,3.429e-16
268.5,8.836e-4,8.836e-4,2.588e-12,3.433e-16
268.53,1.529e-4,1.529e-4,2.566e-12,3.438e-16
268.55,4.490e-5,4.490e-5,2.551e-12,3.442e-16
268.57,1.261e-5,1.261e-5,2.536e-12,3.445e-16
268.6,1.727e-6,1.727e-6,2.514e-12,3.450e-16
268.62,4.339e-7,4.339e-7,2.499e-12,3.454e-16
268.65,5.027e-8,5.027e-8,2.477e-12,3.459e-16
268.67,1.130e-8,1.130e-8,2.462e-12,3.463e-16
268.7,1.108e-9,1.108e-9,2.440e-12,3.468e-16
268.72,2.227e-10,2.227e-10,2.425e-12,3.472e-16
268.75,1.847e-11,1.847e-11,2.402e-12,3.477e-16
268.77,3.323e-12,3.323e-12,2.388e-12,3.480e-16
268.8,2.332e-13,2.332e-13,2.365e-12,3.486e-16
270.92,7.923e-13,3.093e-13,7.923e-13,3.859e-16
270.94,4.485e-12,3.100e-13,4.485e-12,3.863e-16
270.97,5.569e-11,3.111e-13,5.569e-11,3.868e-16
270.99,2.829e-10,3.118e-13,2.829e-10,3.872e-16
271.02,2.986e-9,3.129e-13,2.986e-9,3.877e-16
271.04,1.361e-8,3.136e-13,1.361e-8,3.880e-16
271.07,1.221e-7,3.146e-13,1.221e-7,3.886e-16
271.09,4.993e-7,3.154e-13,4.993e-7,3.889e-16
271.12,3.807e-6,3.164e-13,3.807e-6,3.895e-16
271.14,1.397e-5,3.172e-13,1.397e-5,3.898e-16
271.17,9.056e-5,3.182e-13,9.056e-5,3.903e-16
271.19,2.982e-4,3.189e-13,2.982e-4,3.907e-16
271.22,1.643e-3,3.200e-13,1.643e-3,3.912e-16
271.24,4.855e-3,3.207e-13,4.855e-3,3.916e-16
271.26,1.374e-2,3.215e-13,1.374e-2,3.919e-16
271.29,6.029e-2,3.225e-13,6.029e-2,3.924e-16
271.31,1.531e-1,3.233e-13,1.531e-1,3.928e-16
271.34,5.709e-1,3.243e-13,5.709e-1,3.933e-16
271.36,1.301e+0,3.250e-13,1.301e+0,3.937e-16
271.39,4.124e+0,3.261e-13,4.124e+0,3.942e-16
271.41,8.431e+0,3.268e-13,8.431e+0,3.946e-16
271.44,2.272e+1,3.279e-13,2.272e+1,3.951e-16
271.46,4.168e+1,3.286e-13,4.168e+1,3.954e-16
271.49,9.548e+1,3.297e-13,9.548e+1,3.960e-16
271.51,1.572e+2,3.304e-13,1.572e+2,3.963e-16
271.54,3.060e+2,3.315e-13,3.060e+2,3.969e-16
271.56,4.520e+2,3.322e-13,4.520e+2,3.972e-16
271.59,7.481e+2,3.333e-13,7.481e+2,3.977e-16
271.61,9.915e+2,3.340e-13,9.915e+2,3.981e-16
271.63,1.258e+3,3.347e-13,1.258e+3,3.984e-16
271.66,1.659e+3,3.358e-13,1.659e+3,3.990e-16
271.68,1.889e+3,3.365e-13,1.889e+3,3.993e-16
271.71,2.117e+3,3.376e-13,2.117e+3,3.998e-16
271.73,2.163e+3,3.383e-13,2.163e+3,4.002e-16
271.76,2.060e+3,3.394e-13,2.060e+3,4.007e-16
271.78,1.889e+3,3.401e-13,1.889e+3,4.011e-16
271.81,1.529e+3,3.412e-13,1.529e+3,4.016e-16
271.83,1.258e+3,3.419e-13,1.258e+3,4.020e-16
271.86,8.659e+2,3.430e-13,8.659e+2,4.025e-16
271.88,6.393e+2,3.437e-13,6.393e+2,4.028e-16
271.91,3.739e+2,3.448e-13,3.739e+2,4.034e-16
271.93,2.477e+2,3.455e-13,2.477e+2,4.037e-16
271.96,1.232e+2,3.466e-13,1.232e+2,4.043e-16
271.98,7.322e+1,3.473e-13,7.322e+1,4.046e-16
272,4.168e+1,3.480e-13,4.168e+1,4.050e-16
272.03,1.651e+1,3.491e-13,1.651e+1,4.055e-16
272.05,8.431e+0,3.498e-13,8.431e+0,4.058e-16
272.08,2.838e+0,3.509e-13,2.838e+0,4.064e-16
272.1,1.301e+0,3.516e-13,1.301e+0,4.067e-16
272.13,3.722e-1,3.527e-13,3.722e-1,4.072e-16
