Wavelength (nm),Sum(calc),Mn I (1.1e-1),Mn II (8.9e-1)
301.15,2.440e+3,2.440e+3,1.882e-10
301.17,2.334e+3,2.334e+3,8.019e-10
301.2,2.045e+3,2.045e+3,6.606e-9
301.22,1.793e+3,1.793e+3,2.579e-8
301.25,1.379e+3,1.379e+3,1.864e-7
301.27,1.109e+3,1.109e+3,6.670e-7
301.29,8.641e+2,8.641e+2,2.305e-6
301.32,5.651e+2,5.651e+2,1.387e-5
301.34,4.192e+2,4.192e+2,4.391e-5
301.37,2.837e+2,2.837e+2,2.317e-4
301.39,2.474e+2,2.474e+2,6.724e-4
301.42,2.712e+2,2.712e+2,3.113e-3
301.44,3.382e+2,3.382e+2,8.277e-3
301.47,5.142e+2,5.141e+2,3.361e-2
301.49,6.790e+2,6.789e+2,8.189e-2
301.52,9.849e+2,9.846e+2,2.917e-1
301.54,1.214e+3,1.213e+3,6.512e-1
301.57,1.559e+3,1.557e+3,2.034e+0
301.59,1.765e+3,1.760e+3,4.162e+0
301.62,1.993e+3,1.982e+3,1.140e+1
301.64,2.074e+3,2.053e+3,2.137e+1
301.66,2.092e+3,2.053e+3,3.868e+1
301.69,2.010e+3,1.922e+3,8.821e+1
301.71,1.906e+3,1.760e+3,1.463e+2
301.74,1.737e+3,1.444e+3,2.925e+2
301.76,1.656e+3,1.211e+3,4.445e+2
301.79,1.651e+3,8.711e+2,7.796e+2
301.81,1.754e+3,6.691e+2,1.085e+3
301.84,2.091e+3,4.217e+2,1.669e+3
301.86,2.426e+3,2.967e+2,2.129e+3
301.89,3.036e+3,1.639e+2,2.872e+3
301.91,3.461e+3,1.056e+2,3.356e+3
301.94,4.021e+3,5.113e+1,3.969e+3
301.96,4.280e+3,3.017e+1,4.250e+3
301.99,4.421e+3,1.280e+1,4.408e+3
302.01,4.330e+3,6.918e+0,4.323e+3
302.03,4.098e+3,3.609e+0,4.095e+3
302.06,3.535e+3,1.273e+0,3.534e+3
302.08,3.067e+3,6.084e-1,3.066e+3
302.11,2.321e+3,1.881e-1,2.320e+3
302.13,1.845e+3,8.232e-2,1.844e+3
302.16,1.224e+3,2.231e-2,1.224e+3
302.18,8.913e+2,8.940e-3,8.913e+2
302.21,5.187e+2,2.123e-3,5.187e+2
302.23,3.460e+2,7.793e-4,3.460e+2
302.26,1.765e+2,1.622e-4,1.765e+2
302.28,1.079e+2,5.453e-5,1.079e+2
302.31,4.827e+1,9.950e-6,4.827e+1
302.33,2.703e+1,3.063e-6,2.703e+1
302.36,1.061e+1,4.898e-7,1.061e+1
302.38,5.447e+0,1.381e-7,5.447e+0
302.41,1.904e+0,1.935e-8,1.904e+0
302.43,9.557e-1,4.997e-9,9.557e-1
302.45,5.700e-1,1.246e-9,5.700e-1
302.48,6.487e-1,1.451e-10,6.487e-1
302.5,1.141e+0,3.314e-11,1.141e+0
302.53,3.008e+0,3.384e-12,3.008e+0
302.55,5.625e+0,7.076e-13,5.625e+0
302.58,1.354e+1,6.333e-14,1.354e+1
302.6,2.331e+1,6.134e-14,2.331e+1
302.63,4.945e+1,5.835e-14,4.945e+1
302.65,7.833e+1,5.635e-14,7.833e+1
302.68,1.471e+2,5.336e-14,1.471e+2
302.7,2.154e+2,5.137e-14,2.154e+2
302.73,3.620e+2,4.838e-14,3.620e+2
302.75,4.955e+2,4.638e-14,4.955e+2
302.78,7.615e+2,4.339e-14,7.615e+2
302.8,9.923e+2,4.140e-14,9.923e+2
302.82,1.276e+3,3.940e-14,1.276e+3
302.85,1.833e+3,3.641e-14,1.833e+3
302.87,2.316e+3,3.442e-14,2.316e+3
302.9,3.261e+3,3.143e-14,3.261e+3
302.92,4.062e+3,2.944e-14,4.062e+3
302.95,5.534e+3,2.644e-14,5.534e+3
302.97,6.671e+3,2.445e-14,6.671e+3
303,8.493e+3,2.146e-14,8.493e+3
303.02,9.678e+3,1.947e-14,9.678e+3
303.05,1.117e+4,1.648e-14,1.117e+4
303.07,1.185e+4,1.448e-14,1.185e+4
303.1,1.219e+4,1.149e-14,1.219e+4
303.12,1.192e+4,9.497e-15,1.192e+4
303.15,1.084e+4,6.506e-15,1.084e+4
303.17,9.763e+3,4.512e-15,9.763e+3
303.19,8.505e+3,2.294e-14,8.505e+3
303.22,6.522e+3,2.465e-13,6.522e+3
303.24,5.282e+3,1.149e-12,5.282e+3
303.27,3.744e+3,1.084e-11,3.744e+3
303.29,3.009e+3,4.638e-11,3.009e+3
303.32,2.400e+3,3.844e-10,2.400e+3
303.34,2.328e+3,1.508e-9,2.328e+3
303.37,2.684e+3,1.097e-8,2.684e+3
303.39,3.189e+3,3.948e-8,3.189e+3
303.42,4.235e+3,2.524e-7,4.235e+3
303.44,5.042e+3,8.327e-7,5.042e+3
303.47,6.246e+3,4.677e-6,6.246e+3
303.49,6.942e+3,1.415e-5,6.942e+3
303.52,7.679e+3,6.980e-5,7.679e+3
303.54,7.917e+3,1.937e-4,7.917e+3
303.57,7.896e+3,8.391e-4,7.896e+3
303.59,7.686e+3,2.136e-3,7.686e+3
303.61,7.394e+3,5.251e-3,7.394e+3
303.64,6.977e+3,1.897e-2,6.977e+3
303.66,6.820e+3,4.278e-2,6.820e+3
303.69,6.886e+3,1.358e-1,6.886e+3
303.71,7.147e+3,2.809e-1,7.147e+3
303.74,7.792e+3,7.832e-1,7.791e+3
303.76,8.296e+3,1.486e+0,8.295e+3
303.79,8.966e+3,3.643e+0,8.962e+3
303.81,9.242e+3,6.346e+0,9.236e+3
303.84,9.264e+3,1.369e+1,9.250e+3
303.86,8.984e+3,2.191e+1,8.962e+3
303.89,8.158e+3,4.172e+1,8.116e+3
303.91,7.398e+3,6.155e+1,7.336e+3
303.94,6.089e+3,1.041e+2,5.985e+3
303.96,5.194e+3,1.425e+2,5.051e+3
303.98,4.341e+3,1.901e+2,4.151e+3
304.01,3.228e+3,2.806e+2,2.947e+3
304.03,2.629e+3,3.559e+2,2.273e+3
304.06,1.969e+3,4.983e+2,1.471e+3
304.08,1.688e+3,6.202e+2,1.067e+3
304.11,1.496e+3,8.647e+2,6.310e+2
304.13,1.517e+3,1.086e+3,4.311e+2
304.16,1.775e+3,1.542e+3,2.325e+2
304.18,2.102e+3,1.953e+3,1.492e+2
304.21,2.838e+3,2.764e+3,7.318e+1
304.23,3.496e+3,3.452e+3,4.423e+1
304.26,4.732e+3,4.712e+3,2.056e+1
304.28,5.710e+3,5.697e+3,1.314e+1
304.31,7.364e+3,7.354e+3,9.907e+0
304.33,8.551e+3,8.539e+3,1.187e+1
304.35,9.763e+3,9.746e+3,1.705e+1
304.38,1.153e+4,1.150e+4,3.202e+1
304.4,1.260e+4,1.255e+4,4.805e+1
304.43,1.392e+4,1.383e+4,8.355e+1
304.45,1.454e+4,1.443e+4,1.159e+2
304.48,1.505e+4,1.487e+4,1.775e+2
304.5,1.509e+4,1.486e+4,2.260e+2
304.53,1.473e+4,1.443e+4,3.043e+2
304.55,1.427e+4,1.391e+4,3.554e+2
304.58,1.333e+4,1.291e+4,4.206e+2
304.6,1.259e+4,1.214e+4,4.508e+2
304.63,1.138e+4,1.091e+4,4.694e+2
304.65,1.054e+4,1.008e+4,4.628e+2
304.68,9.251e+3,8.823e+3,4.276e+2
304.7,8.379e+3,7.986e+3,3.930e+2
304.73,7.080e+3,6.741e+3,3.392e+2
304.75,6.241e+3,5.928e+3,3.136e+2
304.77,5.450e+3,5.142e+3,3.074e+2
304.8,4.408e+3,4.050e+3,3.587e+2
304.82,3.850e+3,3.398e+3,4.521e+2
304.85,3.276e+3,2.560e+3,7.156e+2
304.87,3.091e+3,2.098e+3,9.933e+2
304.9,3.128e+3,1.540e+3,1.588e+3
304.92,3.354e+3,1.246e+3,2.108e+3
304.95,3.949e+3,8.982e+2,3.051e+3
304.97,4.470e+3,7.155e+2,3.754e+3
305,5.326e+3,4.982e+2,4.828e+3
305.02,5.871e+3,3.847e+2,5.486e+3
305.05,6.516e+3,2.554e+2,6.260e+3
305.07,6.766e+3,1.950e+2,6.571e+3
305.1,6.804e+3,1.439e+2,6.660e+3
305.12,6.601e+3,1.388e+2,6.463e+3
305.14,6.240e+3,1.614e+2,6.079e+3
305.17,5.493e+3,2.620e+2,5.232e+3
305.19,4.941e+3,3.867e+2,4.554e+3
305.22,4.179e+3,6.883e+2,3.491e+3
305.24,3.795e+3,9.812e+2,2.814e+3
305.27,3.497e+3,1.575e+3,1.922e+3
305.29,3.506e+3,2.071e+3,1.435e+3
305.32,3.803e+3,2.930e+3,8.730e+2
305.34,4.142e+3,3.539e+3,6.031e+2
305.37,4.730e+3,4.404e+3,3.267e+2
305.39,5.090e+3,4.881e+3,2.088e+2
305.42,5.441e+3,5.341e+3,1.006e+2
305.44,5.493e+3,5.433e+3,5.959e+1
305.47,5.253e+3,5.227e+3,2.608e+1
305.49,4.896e+3,4.881e+3,1.529e+1
305.52,4.139e+3,4.129e+3,9.351e+0
305.54,3.549e+3,3.539e+3,1.050e+1
305.56,2.946e+3,2.930e+3,1.584e+1
305.59,2.105e+3,2.070e+3,3.479e+1
305.61,1.632e+3,1.574e+3,5.859e+1
305.64,1.099e+3,9.777e+2,1.214e+2
305.66,8.713e+2,6.820e+2,1.892e+2
305.69,7.183e+2,3.726e+2,3.457e+2
305.71,7.336e+2,2.386e+2,4.951e+2
305.74,9.103e+2,1.147e+2,7.957e+2
305.76,1.114e+3,6.752e+1,1.046e+3
305.79,1.508e+3,2.899e+1,1.479e+3
305.81,1.801e+3,1.644e+1,1.785e+3
305.84,2.228e+3,8.631e+0,2.220e+3
305.86,2.468e+3,8.242e+0,2.459e+3
305.89,2.704e+3,1.370e+1,2.690e+3
305.91,2.759e+3,2.211e+1,2.737e+3
305.93,2.726e+3,3.576e+1,2.690e+3
305.96,2.529e+3,7.015e+1,2.459e+3
305.98,2.325e+3,1.056e+2,2.220e+3
306.01,1.968e+3,1.830e+2,1.785e+3
306.03,1.732e+3,2.531e+2,1.479e+3
306.06,1.432e+3,3.862e+2,1.046e+3
306.08,1.286e+3,4.904e+2,7.957e+2
306.11,1.153e+3,6.583e+2,4.951e+2
306.13,1.113e+3,7.677e+2,3.457e+2
306.16,1.096e+3,9.070e+2,1.892e+2
306.18,1.093e+3,9.718e+2,1.213e+2
306.21,1.071e+3,1.012e+3,5.841e+1
306.23,1.033e+3,9.988e+2,3.438e+1
306.26,9.396e+2,9.250e+2,1.456e+1
306.28,8.588e+2,8.509e+2,7.867e+0
306.3,7.734e+2,7.693e+2,4.108e+0
306.33,6.619e+2,6.604e+2,1.454e+0
306.35,6.166e+2,6.159e+2,6.970e-1
306.38,6.200e+2,6.198e+2,2.170e-1
306.4,6.822e+2,6.821e+2,9.551e-2
306.43,8.751e+2,8.751e+2,2.617e-2
306.45,1.067e+3,1.067e+3,1.060e-2
306.48,1.430e+3,1.430e+3,2.713e-3
306.5,1.698e+3,1.698e+3,1.398e-3
306.53,2.087e+3,2.087e+3,2.112e-3
306.55,2.305e+3,2.305e+3,4.848e-3
306.58,2.516e+3,2.516e+3,1.774e-2
306.6,2.558e+3,2.558e+3,4.072e-2
306.63,2.463e+3,2.463e+3,1.330e-1
306.65,2.303e+3,2.303e+3,2.805e-1
306.68,1.960e+3,1.959e+3,8.065e-1
306.7,1.693e+3,1.692e+3,1.563e+0
306.72,1.426e+3,1.423e+3,2.929e+0
306.75,1.068e+3,1.061e+3,7.047e+0
306.77,8.861e+2,8.740e+2,1.213e+1
306.8,7.282e+2,7.025e+2,2.570e+1
306.82,7.102e+2,6.696e+2,4.063e+1
306.85,8.196e+2,7.438e+2,7.579e+1
306.87,9.791e+2,8.691e+2,1.101e+2
306.9,1.328e+3,1.148e+3,1.808e+2
306.92,1.615e+3,1.373e+3,2.413e+2
306.95,2.076e+3,1.727e+3,3.490e+2
306.97,2.373e+3,1.945e+3,4.278e+2
307,2.745e+3,2.200e+3,5.448e+2
307.02,2.919e+3,2.306e+3,6.135e+2
307.05,3.047e+3,2.359e+3,6.879e+2
307.07,3.047e+3,2.335e+3,7.117e+2
307.09,2.996e+3,2.284e+3,7.117e+2
307.12,2.871e+3,2.203e+3,6.678e+2
307.14,2.790e+3,2.177e+3,6.135e+2
307.17,2.725e+3,2.219e+3,5.069e+2
307.19,2.735e+3,2.307e+3,4.278e+2
307.22,2.823e+3,2.512e+3,3.112e+2
307.24,2.909e+3,2.667e+3,2.413e+2
307.27,3.021e+3,2.866e+3,1.546e+2
307.29,3.048e+3,2.938e+3,1.101e+2
307.32,2.973e+3,2.911e+3,6.209e+1
307.34,2.831e+3,2.791e+3,4.063e+1
307.37,2.492e+3,2.472e+3,2.018e+1
307.39,2.202e+3,2.190e+3,1.213e+1
307.42,1.722e+3,1.716e+3,5.303e+0
307.44,1.403e+3,1.400e+3,2.929e+0
307.46,1.105e+3,1.104e+3,1.563e+0
307.49,7.260e+2,7.254e+2,5.720e-1
307.51,5.261e+2,5.258e+2,2.805e-1
307.54,3.051e+2,3.050e+2,9.043e-2
307.56,2.041e+2,2.041e+2,4.084e-2
307.59,1.072e+2,1.072e+2,1.200e-2
307.61,7.026e+1,7.026e+1,5.768e-3
307.64,4.483e+1,4.482e+1,4.238e-3
307.66,4.369e+1,4.368e+1,6.634e-3
307.69,6.335e+1,6.333e+1,1.688e-2
307.71,9.171e+1,9.168e+1,3.135e-2
307.74,1.615e+2,1.614e+2,7.493e-2
307.76,2.291e+2,2.289e+2,1.285e-1
307.79,3.652e+2,3.649e+2,2.710e-1
307.81,4.783e+2,4.779e+2,4.271e-1
307.84,6.734e+2,6.726e+2,7.937e-1
307.86,8.111e+2,8.100e+2,1.150e+0
307.88,9.449e+2,9.433e+2,1.611e+0
307.91,1.116e+3,1.114e+3,2.508e+0
307.93,1.197e+3,1.194e+3,3.230e+0
307.96,1.251e+3,1.247e+3,4.431e+0
307.98,1.240e+3,1.234e+3,5.244e+0
308.01,1.159e+3,1.153e+3,6.339e+0
308.03,1.075e+3,1.068e+3,6.897e+0
308.06,9.305e+2,9.231e+2,7.347e+0
308.08,8.389e+2,8.316e+2,7.347e+0
308.11,7.324e+2,7.255e+2,6.897e+0
308.13,6.900e+2,6.837e+2,6.339e+0
308.16,6.710e+2,6.658e+2,5.244e+0
308.18,6.823e+2,6.778e+2,4.431e+0
308.21,7.172e+2,7.139e+2,3.230e+0
308.23,7.400e+2,7.375e+2,2.508e+0
308.25,7.532e+2,7.513e+2,1.883e+0
308.28,7.424e+2,7.412e+2,1.150e+0
308.3,7.110e+2,7.102e+2,7.937e-1
308.33,6.298e+2,6.294e+2,4.271e-1
308.35,5.583e+2,5.580e+2,2.710e-1
308.38,4.382e+2,4.381e+2,1.285e-1
308.4,3.578e+2,3.577e+2,7.492e-2
308.43,2.479e+2,2.479e+2,3.131e-2
308.45,1.862e+2,1.862e+2,1.678e-2
308.48,1.138e+2,1.137e+2,6.180e-3
308.5,7.854e+1,7.853e+1,3.044e-3
308.53,4.230e+1,4.230e+1,9.881e-4
308.55,2.685e+1,2.685e+1,4.474e-4
308.58,1.274e+1,1.274e+1,1.279e-4
308.6,7.436e+0,7.436e+0,5.325e-5
308.62,4.195e+0,4.195e+0,2.143e-5
308.65,1.669e+0,1.669e+0,5.134e-6
308.67,8.654e-1,8.654e-1,1.899e-6
308.7,3.034e-1,3.034e-1,4.009e-7
308.72,1.447e-1,1.447e-1,1.363e-7
308.75,4.475e-2,4.475e-2,2.536e-8
308.77,1.973e-2,1.973e-2,7.923e-9
308.8,5.892e-3,5.892e-3,1.299e-9
308.82,3.477e-3,3.477e-3,3.731e-10
308.85,5.113e-3,5.113e-3,5.391e-11
308.87,1.028e-2,1.028e-2,1.423e-11
308.9,3.084e-2,3.084e-2,1.812e-12
308.92,6.218e-2,6.218e-2,4.397e-13
308.95,1.674e-1,1.674e-1,4.934e-14
308.97,3.108e-1,3.108e-1,1.100e-14
309,7.384e-1,7.384e-1,1.088e-15
309.02,1.261e+0,1.261e+0,2.231e-16
309.04,2.082e+0,2.082e+0,2.263e-16
309.07,4.150e+0,4.150e+0,2.312e-16
309.09,6.304e+0,6.304e+0,2.345e-16
309.12,1.108e+1,1.108e+1,2.393e-16
309.14,1.549e+1,1.549e+1,2.426e-16
309.17,2.402e+1,2.402e+1,2.475e-16
309.19,3.087e+1,3.087e+1,2.507e-16
309.22,4.223e+1,4.223e+1,2.556e-16
309.24,4.992e+1,4.992e+1,2.589e-16
309.27,6.025e+1,6.025e+1,2.637e-16
309.29,6.551e+1,6.551e+1,2.670e-16
309.32,6.976e+1,6.976e+1,2.719e-16
309.34,6.977e+1,6.977e+1,2.751e-16
309.37,6.560e+1,6.560e+1,2.800e-16
309.39,6.043e+1,6.043e+1,2.833e-16
309.41,5.393e+1,5.393e+1,2.865e-16
309.44,4.304e+1,4.304e+1,2.914e-16
309.46,3.596e+1,3.596e+1,2.946e-16
309.49,2.704e+1,2.704e+1,2.995e-16
309.51,2.289e+1,2.289e+1,3.028e-16
309.54,2.020e+1,2.020e+1,3.077e-16
309.56,2.105e+1,2.105e+1,3.109e-16
309.59,2.648e+1,2.648e+1,3.158e-16
309.61,3.279e+1,3.279e+1,3.190e-16
309.64,4.569e+1,4.569e+1,3.520e-15
309.66,5.592e+1,5.592e+1,1.690e-14
309.69,7.206e+1,7.206e+1,1.648e-13
309.71,8.216e+1,8.216e+1,7.218e-13
309.74,9.415e+1,9.415e+1,6.217e-12
309.76,9.894e+1,9.894e+1,2.506e-11
309.79,1.002e+2,1.002e+2,1.906e-10
309.81,9.687e+1,9.687e+1,7.075e-10
309.83,9.062e+1,9.062e+1,2.540e-9
309.86,7.702e+1,7.702e+1,1.624e-8
309.88,6.629e+1,6.629e+1,5.368e-8
309.91,4.972e+1,4.972e+1,3.031e-7
309.93,3.937e+1,3.937e+1,9.224e-7
309.96,2.606e+1,2.606e+1,4.601e-6
309.98,1.898e+1,1.898e+1,1.289e-5
310.01,1.109e+1,1.109e+1,5.681e-5
310.03,7.431e+0,7.431e+0,1.465e-4
310.06,3.831e+0,3.830e+0,5.705e-4
310.08,2.363e+0,2.362e+0,1.355e-3
310.11,1.079e+0,1.075e+0,4.660e-3
310.13,6.205e-1,6.103e-1,1.019e-2
310.16,2.790e-1,2.480e-1,3.098e-2
310.18,1.980e-1,1.356e-1,6.238e-2
310.2,2.036e-1,8.204e-2,1.215e-1
310.23,3.870e-1,7.629e-2,3.107e-1
310.25,6.790e-1,1.214e-1,5.576e-1
310.28,1.568e+0,3.078e-1,1.260e+0
310.3,2.656e+0,5.735e-1,2.083e+0
310.33,5.544e+0,1.384e+0,4.160e+0
310.35,8.725e+0,2.391e+0,6.334e+0
310.38,1.629e+1,5.103e+0,1.119e+1
310.4,2.381e+1,8.118e+0,1.570e+1
310.43,3.983e+1,1.530e+1,2.453e+1
310.45,5.412e+1,2.241e+1,3.171e+1
310.48,8.118e+1,3.731e+1,4.388e+1
310.5,1.026e+2,5.028e+1,5.234e+1
310.53,1.382e+2,7.392e+1,6.427e+1
310.55,1.626e+2,9.171e+1,7.094e+1
310.57,1.861e+2,1.101e+2,7.604e+1
310.6,2.163e+2,1.360e+2,8.029e+1
310.62,2.314e+2,1.504e+2,8.096e+1
310.65,2.443e+2,1.645e+2,7.975e+1
310.67,2.465e+2,1.680e+2,7.851e+1
310.7,2.423e+2,1.642e+2,7.807e+1
310.72,2.369e+2,1.570e+2,7.986e+1
310.75,2.305e+2,1.435e+2,8.694e+1
310.77,2.311e+2,1.364e+2,9.467e+1
310.8,2.458e+2,1.361e+2,1.097e+2
310.82,2.685e+2,1.477e+2,1.208e+2
310.85,3.266e+2,1.906e+2,1.360e+2
310.87,3.834e+2,2.400e+2,1.434e+2
310.9,4.962e+2,3.482e+2,1.481e+2
310.92,5.880e+2,4.419e+2,1.461e+2
310.95,7.424e+2,6.069e+2,1.354e+2
310.97,8.485e+2,7.246e+2,1.239e+2
310.99,9.493e+2,8.393e+2,1.100e+2
311.02,1.073e+3,9.865e+2,8.674e+1
311.04,1.127e+3,1.056e+3,7.120e+1
311.07,1.154e+3,1.104e+3,4.993e+1
311.09,1.133e+3,1.095e+3,3.788e+1
311.12,1.052e+3,1.028e+3,2.360e+1
311.14,9.744e+2,9.579e+2,1.655e+1
311.17,8.463e+2,8.372e+2,9.153e+0
311.19,7.667e+2,7.608e+2,5.928e+0
311.22,6.756e+2,6.727e+2,2.910e+0
311.24,6.407e+2,6.390e+2,1.741e+0
311.27,6.299e+2,6.291e+2,7.581e-1
311.29,6.474e+2,6.470e+2,4.185e-1
311.32,7.005e+2,7.004e+2,1.616e-1
311.34,7.469e+2,7.468e+2,8.231e-2
311.36,7.969e+2,7.969e+2,4.060e-2
311.39,8.721e+2,8.720e+2,1.324e-2
311.41,9.195e+2,9.195e+2,6.021e-3
311.44,9.839e+2,9.839e+2,1.739e-3
311.46,1.021e+3,1.021e+3,7.293e-4
311.49,1.065e+3,1.065e+3,1.865e-4
311.51,1.083e+3,1.083e+3,7.225e-5
311.54,1.089e+3,1.089e+3,1.717e-5
311.56,1.076e+3,1.076e+3,8.299e-6
311.59,1.034e+3,1.034e+3,1.254e-5
311.61,9.922e+2,9.922e+2,3.050e-5
311.64,9.180e+2,9.180e+2,1.223e-4
311.66,8.665e+2,8.665e+2,2.991e-4
311.69,7.940e+2,7.940e+2,1.080e-3
311.71,7.512e+2,7.512e+2,2.445e-3
311.73,7.127e+2,7.127e+2,5.372e-3
311.76,6.596e+2,6.596e+2,1.655e-2
311.78,6.239e+2,6.239e+2,3.378e-2
311.81,5.647e+2,5.646e+2,9.347e-2
311.83,5.199e+2,5.198e+2,1.780e-1
311.86,4.460e+2,4.455e+2,4.450e-1
311.88,3.948e+2,3.940e+2,7.940e-1
311.91,3.221e+2,3.203e+2,1.806e+0
311.93,2.806e+2,2.776e+2,3.032e+0
311.96,2.348e+2,2.285e+2,6.310e+0
311.98,2.174e+2,2.075e+2,9.992e+0
312.01,2.130e+2,1.939e+2,1.906e+1
312.03,2.241e+2,1.956e+2,2.847e+1
312.06,2.608e+2,2.111e+2,4.970e+1
312.08,2.977e+2,2.279e+2,6.987e+1
312.11,3.702e+2,2.592e+2,1.110e+2
312.13,4.289e+2,2.825e+2,1.464e+2
312.15,4.945e+2,3.066e+2,1.879e+2
312.18,6.014e+2,3.419e+2,2.595e+2
312.2,6.740e+2,3.630e+2,3.110e+2
312.23,7.744e+2,3.871e+2,3.873e+2
312.25,8.290e+2,3.958e+2,4.333e+2
312.28,8.820e+2,3.940e+2,4.880e+2
312.3,8.940e+2,3.819e+2,5.121e+2
312.33,8.762e+2,3.480e+2,5.282e+2
312.35,8.435e+2,3.169e+2,5.266e+2
312.38,7.733e+2,2.629e+2,5.104e+2
312.4,7.199e+2,2.262e+2,4.937e+2
312.43,6.417e+2,1.769e+2,4.648e+2
312.45,5.960e+2,1.514e+2,4.446e+2
312.48,5.416e+2,1.281e+2,4.135e+2
312.5,5.148e+2,1.235e+2,3.913e+2
312.52,4.942e+2,1.275e+2,3.667e+2
312.55,4.712e+2,1.470e+2,3.242e+2
312.57,4.582e+2,1.664e+2,2.919e+2
312.6,4.381e+2,1.992e+2,2.389e+2
312.62,4.223e+2,2.198e+2,2.025e+2
312.65,3.927e+2,2.427e+2,1.500e+2
312.67,3.683e+2,2.500e+2,1.183e+2
312.7,3.246e+2,2.464e+2,7.827e+1
312.72,2.916e+2,2.344e+2,5.714e+1
312.75,2.383e+2,2.047e+2,3.358e+1
312.77,2.023e+2,1.796e+2,2.263e+1
312.8,1.508e+2,1.390e+2,1.178e+1
312.82,1.199e+2,1.126e+2,7.324e+0
312.85,8.124e+1,7.786e+1,3.375e+0
312.87,6.126e+1,5.933e+1,1.933e+0
312.89,4.623e+1,4.516e+1,1.072e+0
312.92,3.318e+1,3.277e+1,4.161e-1
312.94,3.103e+1,3.081e+1,2.126e-1
312.97,3.852e+1,3.845e+1,7.298e-2
312.99,5.170e+1,5.166e+1,3.435e-2
313.02,8.618e+1,8.617e+1,1.043e-2
313.04,1.205e+2,1.205e+2,4.524e-3
313.07,1.910e+2,1.910e+2,1.215e-3
313.09,2.507e+2,2.507e+2,4.855e-4
313.12,3.560e+2,3.560e+2,1.153e-4
313.14,4.329e+2,4.329e+2,4.245e-5
313.17,5.477e+2,5.477e+2,8.917e-6
313.19,6.164e+2,6.164e+2,3.025e-6
313.22,6.944e+2,6.944e+2,5.619e-7
313.24,7.233e+2,7.233e+2,1.756e-7
313.27,7.256e+2,7.256e+2,2.885e-8
313.29,6.995e+2,6.995e+2,8.307e-9
313.31,6.538e+2,6.538e+2,2.315e-9
313.34,5.574e+2,5.574e+2,3.202e-10
313.36,4.821e+2,4.821e+2,8.222e-11
313.39,3.659e+2,3.659e+2,1.006e-11
313.41,2.928e+2,2.928e+2,2.379e-12
313.44,1.977e+2,1.977e+2,2.574e-13
313.46,1.464e+2,1.464e+2,5.619e-14
313.49,8.791e+1,8.791e+1,8.770e-16
313.51,6.018e+1,6.018e+1,4.080e-15
313.54,3.214e+1,3.214e+1,3.852e-14
313.56,2.034e+1,2.034e+1,1.653e-13
313.59,9.649e+0,9.649e+0,1.382e-12
313.61,5.643e+0,5.643e+0,5.469e-12
313.64,2.378e+0,2.378e+0,4.051e-11
313.66,1.285e+0,1.285e+0,1.478e-10
313.68,6.725e-1,6.725e-1,5.223e-10
313.71,2.399e-1,2.399e-1,3.265e-9
313.73,1.160e-1,1.160e-1,1.064e-8
313.76,3.670e-2,3.670e-2,5.889e-8
313.78,1.638e-2,1.638e-2,1.770e-7
313.81,4.597e-3,4.597e-3,8.677e-7
313.83,1.896e-3,1.893e-3,2.405e-6
313.86,4.816e-4,4.711e-4,1.044e-5
313.88,2.058e-4,1.791e-4,2.670e-5
313.91,1.422e-4,3.949e-5,1.027e-4
313.93,2.560e-4,1.385e-5,2.421e-4
313.96,8.275e-4,2.707e-6,8.248e-4
313.98,1.794e-3,8.761e-7,1.793e-3
314.01,5.412e-3,1.558e-7,5.411e-3
314.03,1.085e-2,6.042e-8,1.085e-2
314.06,2.900e-2,1.062e-7,2.900e-2
314.08,5.364e-2,3.353e-7,5.364e-2
314.1,9.605e-2,1.084e-6,9.604e-2
314.13,2.166e-1,5.979e-6,2.166e-1
314.15,3.577e-1,1.793e-5,3.577e-1
314.18,7.144e-1,8.766e-5,7.143e-1
314.2,1.088e+0,2.425e-4,1.088e+0
314.23,1.926e+0,1.051e-3,1.925e+0
314.25,2.706e+0,2.682e-3,2.703e+0
314.28,4.246e+0,1.030e-2,4.236e+0
314.3,5.512e+0,2.425e-2,5.488e+0
314.33,7.698e+0,8.252e-2,7.615e+0
314.35,9.278e+0,1.793e-1,9.099e+0
314.38,1.172e+1,5.409e-1,1.118e+1
314.4,1.341e+1,1.085e+0,1.232e+1
314.43,1.632e+1,2.900e+0,1.342e+1
314.45,1.900e+1,5.366e+0,1.364e+1
314.47,2.303e+1,9.618e+0,1.342e+1
314.5,3.405e+1,2.173e+1,1.232e+1
314.52,4.713e+1,3.594e+1,1.118e+1
314.55,8.111e+1,7.201e+1,9.099e+0
314.57,1.176e+2,1.100e+2,7.615e+0
314.6,2.009e+2,1.954e+2,5.488e+0
314.62,2.798e+2,2.756e+2,4.236e+0
314.65,4.373e+2,4.346e+2,2.703e+0
314.67,5.679e+2,5.659e+2,1.925e+0
314.7,7.934e+2,7.923e+2,1.088e+0
314.72,9.538e+2,9.531e+2,7.143e-1
314.75,1.186e+3,1.185e+3,3.577e-1
314.77,1.318e+3,1.318e+3,2.166e-1
314.8,1.456e+3,1.456e+3,9.604e-2
314.82,1.497e+3,1.497e+3,5.364e-2
314.84,1.492e+3,1.492e+3,2.900e-2
314.87,1.401e+3,1.401e+3,1.085e-2
314.89,1.294e+3,1.294e+3,5.411e-3
