Wavelength (nm),Sum(calc),Mn I (1.1e-1),Mn II (8.9e-1)
261.85,7.365e+4,,7.365e+4
261.88,6.223e+4,,6.223e+4
261.9,5.274e+4,,5.274e+4
261.93,3.809e+4,,3.809e+4
261.95,2.918e+4,,2.918e+4
261.98,1.821e+4,,1.821e+4
262,1.271e+4,,1.271e+4
262.03,6.954e+3,,6.954e+3
262.05,4.465e+3,,4.465e+3
262.07,2.780e+3,,2.780e+3
262.1,1.290e+3,,1.290e+3
262.12,7.461e+2,,7.461e+2
262.15,3.163e+2,,3.163e+2
262.17,1.839e+2,,1.839e+2
262.2,1.235e+2,,1.235e+2
262.22,1.607e+2,,1.607e+2
262.25,3.729e+2,,3.729e+2
262.27,6.870e+2,,6.870e+2
262.3,1.634e+3,,1.634e+3
262.32,2.779e+3,,2.779e+3
262.35,5.718e+3,,5.718e+3
262.37,8.788e+3,,8.788e+3
262.4,1.549e+4,,1.549e+4
262.42,2.143e+4,,2.143e+4
262.44,2.841e+4,,2.841e+4
262.47,3.999e+4,,3.999e+4
262.49,4.756e+4,,4.756e+4
262.52,5.680e+4,,5.680e+4
262.54,6.050e+4,,6.050e+4
262.57,6.122e+4,,6.122e+4
262.59,5.841e+4,,5.841e+4
262.62,5.017e+4,,5.017e+4
262.64,4.299e+4,,4.299e+4
262.67,3.165e+4,,3.165e+4
262.69,2.468e+4,,2.468e+4
262.72,1.615e+4,,1.615e+4
262.74,1.197e+4,,1.197e+4
262.77,7.759e+3,,7.759e+3
262.79,6.038e+3,,6.038e+3
262.82,4.501e+3,,4.501e+3
262.84,3.877e+3,,3.877e+3
262.86,3.402e+3,,3.402e+3
262.89,2.801e+3,,2.801e+3
262.91,2.441e+3,,2.441e+3
262.94,2.027e+3,,2.027e+3
262.96,1.931e+3,,1.931e+3
262.99,2.309e+3,,2.309e+3
263.01,3.113e+3,,3.113e+3
263.04,5.567e+3,,5.567e+3
263.06,8.292e+3,,8.292e+3
263.09,1.432e+4,,1.432e+4
263.11,1.964e+4,,1.964e+4
263.14,2.905e+4,,2.905e+4
263.16,3.564e+4,,3.564e+4
263.19,4.446e+4,,4.446e+4
263.21,4.865e+4,,4.865e+4
263.23,5.085e+4,,5.085e+4
263.26,4.985e+4,,4.985e+4
263.28,4.645e+4,,4.645e+4
263.31,3.834e+4,,3.834e+4
263.33,3.189e+4,,3.189e+4
263.36,2.227e+4,,2.227e+4
263.38,1.665e+4,,1.665e+4
263.41,1.012e+4,,1.012e+4
263.43,7.106e+3,,7.106e+3
263.46,4.327e+3,,4.327e+3
263.48,3.369e+3,,3.369e+3
263.51,2.807e+3,,2.807e+3
263.53,2.813e+3,,2.813e+3
263.56,3.238e+3,,3.238e+3
263.58,3.832e+3,,3.832e+3
263.6,4.788e+3,,4.788e+3
263.63,7.231e+3,,7.231e+3
263.65,9.767e+3,,9.767e+3
263.68,1.519e+4,,1.519e+4
263.7,1.986e+4,,1.986e+4
263.73,2.792e+4,,2.792e+4
263.75,3.346e+4,,3.346e+4
263.78,4.083e+4,,4.083e+4
263.8,4.447e+4,,4.447e+4
263.83,4.732e+4,,4.732e+4
263.85,4.741e+4,,4.741e+4
263.88,4.532e+4,,4.532e+4
263.9,4.287e+4,,4.287e+4
263.93,3.836e+4,,3.836e+4
263.95,3.509e+4,,3.509e+4
263.98,2.999e+4,,2.999e+4
264,2.648e+4,,2.648e+4
264.02,2.290e+4,,2.290e+4
264.05,1.754e+4,,1.754e+4
264.07,1.414e+4,,1.414e+4
264.1,9.599e+3,,9.599e+3
264.12,7.104e+3,,7.104e+3
264.15,4.268e+3,,4.268e+3
264.17,2.955e+3,,2.955e+3
264.2,1.691e+3,,1.691e+3
264.22,1.195e+3,,1.195e+3
264.25,7.736e+2,,7.736e+2
264.27,6.163e+2,,6.163e+2
264.3,4.646e+2,,4.646e+2
