Wavelength (nm),Sum(calc),Mg I (1.1e-1),Mg II (8.9e-1),Mg III (5.4e-4)
202.474,6.713e-106,6.713e-106,,3.288e-164
202.475,7.492e-104,7.492e-104,,3.286e-164
202.477,8.181e-100,8.181e-100,,3.282e-164
202.479,7.496e-96,7.496e-96,,3.278e-164
202.48,6.719e-94,6.719e-94,,3.276e-164
202.482,4.732e-90,4.732e-90,,3.271e-164
202.484,2.796e-86,2.796e-86,,3.267e-164
202.485,2.013e-84,2.013e-84,,3.265e-164
202.487,9.141e-81,9.141e-81,,3.261e-164
202.489,3.484e-77,3.484e-77,,3.257e-164
202.49,2.014e-75,2.014e-75,,3.255e-164
202.492,5.899e-72,5.899e-72,,3.251e-164
202.494,1.450e-68,1.450e-68,,3.246e-164
202.495,6.731e-67,6.731e-67,,3.244e-164
202.497,1.272e-63,1.272e-63,,3.240e-164
202.499,2.016e-60,2.016e-60,,3.236e-164
202.5,7.515e-59,7.515e-59,,3.234e-164
202.502,9.157e-56,9.157e-56,,3.230e-164
202.504,9.361e-53,9.361e-53,,3.226e-164
202.505,2.803e-51,2.803e-51,,3.224e-164
202.507,2.202e-48,2.202e-48,,3.219e-164
202.509,1.452e-45,1.452e-45,,3.215e-164
202.51,3.492e-44,3.492e-44,,3.213e-164
202.512,1.770e-41,1.770e-41,,3.209e-164
202.514,7.525e-39,7.525e-39,,3.205e-164
202.515,1.453e-37,1.453e-37,,3.203e-164
202.517,4.749e-35,4.749e-35,,3.199e-164
202.519,1.303e-32,1.303e-32,,3.194e-164
202.52,2.020e-31,2.020e-31,,3.192e-164
202.522,4.258e-29,4.258e-29,,3.188e-164
202.524,7.531e-27,7.531e-27,,3.184e-164
202.525,9.378e-26,9.378e-26,,3.182e-164
202.527,1.275e-23,1.275e-23,,3.178e-164
202.529,1.455e-21,1.455e-21,,3.174e-164
202.53,1.455e-20,1.455e-20,,3.171e-164
202.532,1.275e-18,1.275e-18,,3.167e-164
202.534,9.384e-17,9.384e-17,,3.163e-164
202.535,7.537e-16,7.537e-16,,3.161e-164
202.537,4.262e-14,4.262e-14,,3.157e-164
202.539,2.022e-12,2.022e-12,,3.153e-164
202.54,1.304e-11,1.304e-11,,3.151e-164
202.542,4.757e-10,4.757e-10,,3.146e-164
202.544,1.456e-8,1.456e-8,,3.142e-164
202.545,7.541e-8,7.541e-8,,3.140e-164
202.547,1.774e-6,1.774e-6,,3.136e-164
202.549,3.501e-5,3.501e-5,,3.132e-164
202.55,1.456e-4,1.456e-4,,3.130e-164
202.552,2.209e-3,2.209e-3,,3.126e-164
202.554,2.812e-2,2.812e-2,,3.121e-164
202.555,9.393e-2,9.393e-2,,3.119e-164
202.557,9.190e-1,9.190e-1,,3.115e-164
202.559,7.545e+0,7.545e+0,,3.111e-164
202.56,2.024e+1,2.024e+1,,3.109e-164
202.562,1.277e+2,1.277e+2,,3.105e-164
202.564,6.762e+2,6.762e+2,,3.101e-164
202.565,1.457e+3,1.457e+3,,3.099e-164
202.567,5.929e+3,5.929e+3,,3.094e-164
202.569,2.024e+4,2.024e+4,,3.090e-164
202.57,3.503e+4,3.503e+4,,3.088e-164
202.572,9.193e+4,9.193e+4,,3.084e-164
202.574,2.025e+5,2.025e+5,,3.080e-164
202.575,2.813e+5,2.813e+5,,3.078e-164
202.577,4.762e+5,4.762e+5,,3.074e-164
202.579,6.763e+5,6.763e+5,,3.069e-164
202.58,7.547e+5,7.547e+5,,3.067e-164
202.582,8.239e+5,8.239e+5,,3.063e-164
202.584,7.547e+5,7.547e+5,,3.059e-164
202.585,6.763e+5,6.763e+5,,3.057e-164
