Wavelength (nm),Sum(calc),Cu I (2.9e-1),Cu II (7.1e-1)
201.192,1.499e-45,,1.499e-45
201.194,9.474e-44,,9.474e-44
201.197,4.103e-41,,4.103e-41
201.199,2.128e-39,,2.128e-39
201.202,6.853e-37,,6.853e-37
201.204,2.918e-35,,2.918e-35
201.207,6.988e-33,,6.988e-33
201.209,2.442e-31,,2.442e-31
201.212,4.350e-29,,4.350e-29
201.214,1.248e-27,,1.248e-27
201.217,1.653e-25,,1.653e-25
201.219,3.891e-24,,3.891e-24
201.222,3.833e-22,,3.833e-22
201.224,7.408e-21,,7.408e-21
201.227,5.428e-19,,5.428e-19
201.229,8.610e-18,,8.610e-18
201.232,4.691e-16,,4.691e-16
201.234,6.109e-15,,6.109e-15
201.237,2.475e-13,,2.475e-13
201.239,2.646e-12,,2.646e-12
201.242,7.972e-11,,7.972e-11
201.244,6.994e-10,,6.994e-10
201.247,1.567e-8,,1.567e-8
201.249,1.129e-7,,1.129e-7
201.252,1.881e-6,,1.881e-6
201.254,1.112e-5,,1.112e-5
201.257,1.378e-4,,1.378e-4
201.259,6.687e-4,,6.687e-4
201.262,6.164e-3,,6.164e-3
201.264,2.455e-2,,2.455e-2
201.267,1.683e-1,,1.683e-1
201.269,5.502e-1,,5.502e-1
201.272,2.805e+0,,2.805e+0
201.274,7.526e+0,,7.526e+0
201.277,2.853e+1,,2.853e+1
201.279,6.285e+1,,6.285e+1
201.282,1.772e+2,,1.772e+2
201.284,3.204e+2,,3.204e+2
201.287,6.718e+2,,6.718e+2
201.289,9.970e+2,,9.970e+2
201.292,1.555e+3,,1.555e+3
201.294,1.894e+3,,1.894e+3
201.297,2.196e+3,,2.196e+3
201.299,2.196e+3,,2.196e+3
201.302,1.894e+3,,1.894e+3
201.304,1.555e+3,,1.555e+3
201.307,9.970e+2,,9.970e+2
201.309,6.718e+2,,6.718e+2
201.312,3.204e+2,,3.204e+2
201.314,1.772e+2,,1.772e+2
201.317,6.285e+1,,6.285e+1
201.319,2.853e+1,,2.853e+1
201.322,7.526e+0,,7.526e+0
201.324,2.805e+0,,2.805e+0
201.327,5.502e-1,,5.502e-1
201.329,1.683e-1,,1.683e-1
201.332,2.455e-2,,2.455e-2
201.334,6.164e-3,,6.164e-3
201.337,6.687e-4,,6.687e-4
201.339,1.378e-4,,1.378e-4
201.342,1.112e-5,,1.112e-5
201.344,1.881e-6,,1.881e-6
201.347,1.129e-7,,1.129e-7
201.349,1.567e-8,,1.567e-8
201.352,6.994e-10,,6.994e-10
201.354,7.972e-11,,7.972e-11
201.357,2.646e-12,,2.646e-12
201.359,2.475e-13,,2.475e-13
201.362,6.109e-15,,6.109e-15
201.364,4.691e-16,,4.691e-16
201.367,8.610e-18,,8.610e-18
201.369,5.428e-19,,5.428e-19
201.372,7.408e-21,,7.408e-21
201.374,3.833e-22,,3.833e-22
201.377,3.891e-24,,3.891e-24
201.379,1.653e-25,,1.653e-25
201.382,1.248e-27,,1.248e-27
201.384,4.350e-29,,4.350e-29
201.387,2.442e-31,,2.442e-31
201.389,6.988e-33,,6.988e-33
201.392,2.918e-35,,2.918e-35
201.394,6.853e-37,,6.853e-37
201.397,2.128e-39,,2.128e-39
201.399,4.103e-41,,4.103e-41
201.402,9.474e-44,,9.474e-44
201.404,1.499e-45,,1.499e-45
201.452,3.281e-44,,3.281e-44
201.454,2.051e-42,,2.051e-42
201.457,8.743e-40,,8.743e-40
201.459,4.488e-38,,4.488e-38
201.462,1.424e-35,,1.424e-35
201.464,6.005e-34,,6.005e-34
201.467,1.418e-31,,1.418e-31
201.469,4.910e-30,,4.910e-30
201.472,8.630e-28,,8.630e-28
201.474,2.454e-26,,2.454e-26
201.477,3.210e-24,,3.210e-24
201.479,7.496e-23,,7.496e-23
201.482,7.298e-21,,7.298e-21
201.484,1.400e-19,,1.400e-19
201.487,1.014e-17,,1.014e-17
201.489,1.597e-16,,1.597e-16
201.492,8.614e-15,,8.614e-15
201.494,1.114e-13,,1.114e-13
201.497,4.472e-12,,4.472e-12
201.499,4.751e-11,,4.751e-11
201.502,1.419e-9,,1.419e-9
201.504,1.238e-8,,1.238e-8
201.507,2.752e-7,,2.752e-7
201.509,1.972e-6,,1.972e-6
201.512,3.263e-5,,3.263e-5
201.514,1.920e-4,,1.920e-4
201.517,2.364e-3,,2.364e-3
201.519,1.142e-2,,1.142e-2
201.522,1.047e-1,,1.047e-1
201.524,4.155e-1,,4.155e-1
201.527,2.834e+0,,2.834e+0
201.529,9.237e+0,,9.237e+0
201.532,4.689e+1,,4.689e+1
201.534,1.255e+2,,1.255e+2
201.537,4.742e+2,,4.742e+2
201.539,1.042e+3,,1.042e+3
201.542,2.931e+3,,2.931e+3
201.544,5.292e+3,,5.292e+3
201.547,1.107e+4,,1.107e+4
201.549,1.642e+4,,1.642e+4
201.552,2.557e+4,,2.557e+4
201.554,3.114e+4,,3.114e+4
201.556,3.504e+4,,3.504e+4
201.559,3.609e+4,,3.609e+4
201.561,3.336e+4,,3.336e+4
201.564,2.557e+4,,2.557e+4
201.566,1.941e+4,,1.941e+4
201.569,1.107e+4,,1.107e+4
201.571,6.903e+3,,6.903e+3
201.574,2.931e+3,,2.931e+3
201.576,1.501e+3,,1.501e+3
201.579,4.742e+2,,4.742e+2
201.581,1.994e+2,,1.994e+2
201.584,4.689e+1,,4.689e+1
201.586,1.619e+1,,1.619e+1
201.589,2.834e+0,,2.834e+0
201.591,8.037e-1,,8.037e-1
201.594,1.047e-1,,1.047e-1
201.596,2.438e-2,,2.438e-2
201.599,2.364e-3,,2.364e-3
201.601,4.522e-4,,4.522e-4
201.604,3.263e-5,,3.263e-5
201.606,5.125e-6,,5.125e-6
201.609,2.752e-7,,2.752e-7
201.611,3.550e-8,,3.550e-8
201.614,1.419e-9,,1.419e-9
201.616,1.503e-10,,1.503e-10
201.619,4.472e-12,,4.472e-12
201.621,3.891e-13,,3.891e-13
201.624,8.614e-15,,8.614e-15
201.626,6.155e-16,,6.155e-16
201.629,1.014e-17,,1.014e-17
201.631,5.951e-19,,5.951e-19
201.634,7.298e-21,,7.298e-21
201.636,3.517e-22,,3.517e-22
201.639,3.210e-24,,3.210e-24
201.641,1.270e-25,,1.270e-25
201.644,8.630e-28,,8.630e-28
201.646,2.805e-29,,2.805e-29
201.649,1.418e-31,,1.418e-31
201.651,3.785e-33,,3.785e-33
201.654,1.424e-35,,1.424e-35
201.656,3.122e-37,,3.122e-37
201.659,8.743e-40,,8.743e-40
201.661,1.574e-41,,1.574e-41
201.664,3.281e-44,,3.281e-44
201.666,4.851e-46,,4.851e-46
202.326,2.230e-44,2.230e-44,7.117e-45
202.328,1.410e-42,1.410e-42,7.137e-45
202.331,6.123e-40,6.123e-40,7.167e-45
202.333,3.186e-38,3.186e-38,7.187e-45
202.336,1.034e-35,1.034e-35,7.217e-45
202.338,4.427e-34,4.427e-34,7.238e-45
202.341,1.073e-31,1.073e-31,7.268e-45
202.343,3.783e-30,3.783e-30,7.288e-45
202.346,6.846e-28,6.846e-28,7.318e-45
202.348,1.987e-26,1.987e-26,7.338e-45
202.351,2.687e-24,2.687e-24,7.368e-45
202.353,6.421e-23,6.421e-23,7.388e-45
202.356,6.485e-21,6.485e-21,7.418e-45
202.358,1.276e-19,1.276e-19,7.438e-45
202.361,9.628e-18,9.628e-18,7.469e-45
202.363,1.560e-16,1.560e-16,7.489e-45
202.366,8.792e-15,8.792e-15,7.519e-45
202.368,1.173e-13,1.173e-13,7.539e-45
202.371,4.939e-12,4.939e-12,7.569e-45
202.373,5.424e-11,5.424e-11,7.589e-45
202.376,1.707e-9,1.707e-9,7.619e-45
202.378,1.543e-8,1.543e-8,7.639e-45
202.381,3.628e-7,3.628e-7,7.670e-45
202.383,2.702e-6,2.702e-6,7.690e-45
202.386,4.746e-5,4.746e-5,7.720e-45
202.388,2.910e-4,2.910e-4,7.740e-45
202.391,3.819e-3,3.819e-3,7.770e-45
202.393,1.928e-2,1.928e-2,7.790e-45
202.396,1.891e-1,1.891e-1,7.820e-45
202.398,7.863e-1,7.863e-1,7.840e-45
202.401,5.762e+0,5.762e+0,7.871e-45
202.403,1.973e+1,1.973e+1,7.891e-45
202.406,1.080e+2,1.080e+2,7.921e-45
202.408,3.045e+2,3.045e+2,7.941e-45
202.411,1.246e+3,1.246e+3,7.971e-45
202.413,2.891e+3,2.891e+3,7.991e-45
202.416,8.839e+3,8.839e+3,8.021e-45
202.418,1.690e+4,1.690e+4,8.041e-45
202.421,3.859e+4,3.859e+4,8.072e-45
202.423,6.073e+4,6.073e+4,8.092e-45
202.426,1.036e+5,1.036e+5,8.122e-45
202.428,1.343e+5,1.343e+5,8.142e-45
202.431,1.713e+5,1.713e+5,8.172e-45
202.433,1.827e+5,1.827e+5,8.192e-45
202.436,1.741e+5,1.741e+5,8.222e-45
202.438,1.529e+5,1.529e+5,8.242e-45
202.441,1.088e+5,1.088e+5,8.272e-45
202.443,7.871e+4,7.871e+4,5.369e-43
202.446,4.185e+4,4.185e+4,2.426e-40
202.448,2.492e+4,2.492e+4,1.296e-38
202.451,9.896e+3,9.896e+3,4.369e-36
202.453,4.851e+3,4.851e+3,1.920e-34
202.456,1.439e+3,1.439e+3,4.832e-32
202.458,5.808e+2,5.808e+2,1.747e-30
202.461,1.287e+2,1.287e+2,3.283e-28
202.463,4.276e+1,4.276e+1,9.767e-27
202.466,7.076e+0,7.076e+0,1.370e-24
202.468,1.935e+0,1.935e+0,3.353e-23
202.471,2.392e-1,2.392e-1,3.509e-21
202.473,5.384e-2,5.384e-2,7.070e-20
202.476,4.970e-3,4.970e-3,5.523e-18
202.478,9.209e-4,9.209e-4,9.154e-17
202.481,6.348e-5,6.348e-5,5.338e-15
202.483,9.682e-6,9.682e-6,7.280e-14
202.486,4.984e-7,4.984e-7,3.168e-12
202.488,6.260e-8,6.256e-8,3.556e-11
202.491,3.560e-9,2.404e-9,1.155e-9
202.493,1.092e-8,2.484e-10,1.067e-8
202.496,2.586e-7,7.129e-12,2.586e-7
202.498,1.965e-6,6.062e-13,1.965e-6
202.501,3.556e-5,1.299e-14,3.556e-5
202.503,2.224e-4,9.090e-16,2.224e-4
202.506,3.003e-3,1.454e-17,3.003e-3
202.508,1.545e-2,8.374e-19,1.545e-2
202.511,1.558e-1,1.000e-20,1.558e-1
202.513,6.595e-1,4.739e-22,6.595e-1
202.516,4.963e+0,4.225e-24,4.963e+0
202.518,1.729e+1,1.648e-25,1.729e+1
202.521,9.709e+1,1.097e-27,9.709e+1
202.523,2.783e+2,3.520e-29,2.783e+2
202.526,1.167e+3,1.749e-31,1.167e+3
202.528,2.751e+3,4.618e-33,2.751e+3
202.531,8.610e+3,1.712e-35,8.610e+3
202.533,1.671e+4,3.722e-37,1.671e+4
202.536,3.902e+4,1.030e-39,3.902e+4
202.538,6.231e+4,1.842e-41,6.231e+4
202.541,1.086e+5,3.586e-44,1.086e+5
202.543,1.427e+5,3.656e-44,1.427e+5
202.546,1.857e+5,3.761e-44,1.857e+5
202.548,2.008e+5,3.831e-44,2.008e+5
202.551,1.950e+5,3.936e-44,1.950e+5
202.553,1.734e+5,4.006e-44,1.734e+5
202.556,1.257e+5,4.111e-44,1.257e+5
202.558,9.203e+4,4.181e-44,9.203e+4
202.561,4.979e+4,4.286e-44,4.979e+4
202.563,2.999e+4,4.356e-44,2.999e+4
202.566,1.211e+4,4.461e-44,1.211e+4
202.568,6.002e+3,4.531e-44,6.002e+3
202.571,1.809e+3,4.636e-44,1.809e+3
202.573,7.378e+2,4.706e-44,7.378e+2
202.576,1.660e+2,4.812e-44,1.660e+2
202.578,5.570e+1,4.882e-44,5.570e+1
202.581,9.353e+0,4.987e-44,9.353e+0
202.583,2.582e+0,5.057e-44,2.582e+0
202.586,3.237e-1,5.162e-44,3.237e-1
202.588,7.353e-2,5.232e-44,7.353e-2
202.591,6.879e-3,5.337e-44,6.879e-3
202.593,1.286e-3,5.407e-44,1.286e-3
202.596,8.980e-5,5.512e-44,8.980e-5
202.598,1.381e-5,5.582e-44,1.381e-5
202.601,7.199e-7,5.687e-44,7.199e-7
202.603,9.111e-8,5.757e-44,9.111e-8
202.606,3.544e-9,5.862e-44,3.544e-9
202.608,3.691e-10,5.932e-44,3.691e-10
202.611,1.072e-11,6.037e-44,1.072e-11
202.613,9.185e-13,6.107e-44,9.185e-13
202.616,1.991e-14,6.212e-44,1.991e-14
202.618,1.404e-15,6.282e-44,1.404e-15
202.621,2.270e-17,6.387e-44,2.270e-17
202.623,1.317e-18,6.457e-44,1.317e-18
202.626,1.591e-20,6.563e-44,1.591e-20
202.628,7.593e-22,6.633e-44,7.593e-22
202.631,6.859e-24,6.738e-44,6.859e-24
202.633,6.345e-25,6.808e-44,6.345e-25
202.636,3.583e-23,6.913e-44,3.583e-23
202.638,6.909e-22,6.983e-44,6.909e-22
202.641,5.055e-20,7.088e-44,5.055e-20
202.643,8.023e-19,7.158e-44,8.023e-19
202.646,4.383e-17,7.263e-44,4.383e-17
202.648,5.726e-16,7.333e-44,5.726e-16
202.651,2.336e-14,7.438e-44,2.336e-14
202.653,2.512e-13,7.508e-44,2.512e-13
202.656,7.654e-12,7.613e-44,7.654e-12
202.658,6.773e-11,7.683e-44,6.773e-11
202.661,1.541e-9,7.788e-44,1.541e-9
202.663,1.123e-8,7.858e-44,1.123e-8
202.666,1.907e-7,7.963e-44,1.907e-7
202.668,1.144e-6,8.033e-44,1.144e-6
202.671,1.451e-5,8.138e-44,1.451e-5
202.673,7.160e-5,8.208e-44,7.160e-5
202.676,6.784e-4,8.314e-44,6.784e-4
202.678,2.756e-3,8.384e-44,2.756e-3
202.681,1.950e-2,8.489e-44,1.950e-2
202.683,6.519e-2,8.559e-44,6.519e-2
202.686,3.444e-1,8.664e-44,3.444e-1
202.688,9.478e-1,8.734e-44,9.478e-1
202.691,3.739e+0,8.839e-44,3.739e+0
202.693,8.470e+0,8.909e-44,8.470e+0
202.696,2.495e+1,9.014e-44,2.495e+1
202.698,4.653e+1,9.084e-44,4.653e+1
202.701,1.024e+2,9.189e-44,1.024e+2
202.703,1.571e+2,9.259e-44,1.571e+2
202.706,2.581e+2,9.364e-44,2.581e+2
202.708,3.260e+2,9.434e-44,3.260e+2
202.711,3.999e+2,9.539e-44,3.999e+2
202.713,4.158e+2,9.609e-44,4.158e+2
202.716,3.809e+2,9.714e-44,3.809e+2
202.718,3.260e+2,9.784e-44,3.260e+2
202.721,2.230e+2,9.889e-44,2.230e+2
202.723,1.571e+2,9.959e-44,1.571e+2
202.726,8.025e+1,1.006e-43,8.025e+1
202.728,4.653e+1,1.013e-43,4.653e+1
202.731,1.775e+1,1.024e-43,1.775e+1
202.733,8.470e+0,1.031e-43,8.470e+0
202.736,2.413e+0,1.041e-43,2.413e+0
202.738,9.478e-1,1.048e-43,9.478e-1
202.741,2.016e-1,1.059e-43,2.016e-1
202.743,6.519e-2,1.066e-43,6.519e-2
202.746,1.036e-2,1.076e-43,1.036e-2
202.748,2.756e-3,1.084e-43,2.756e-3
202.751,3.269e-4,1.094e-43,3.269e-4
202.753,7.160e-5,1.101e-43,7.160e-5
202.756,6.343e-6,1.112e-43,6.343e-6
202.758,1.144e-6,1.119e-43,1.144e-6
202.761,7.565e-8,1.129e-43,7.565e-8
202.763,1.123e-8,1.136e-43,1.123e-8
202.766,5.546e-10,1.147e-43,5.546e-10
202.768,6.773e-11,1.154e-43,6.773e-11
202.771,2.499e-12,1.164e-43,2.499e-12
202.773,2.512e-13,1.171e-43,2.512e-13
202.776,6.920e-15,1.182e-43,6.920e-15
202.778,5.726e-16,1.189e-43,5.726e-16
202.781,1.178e-17,1.199e-43,1.178e-17
202.783,8.023e-19,1.206e-43,8.023e-19
202.786,1.232e-20,1.217e-43,1.232e-20
202.788,6.909e-22,1.224e-43,6.909e-22
202.791,7.925e-24,1.234e-43,7.925e-24
202.793,3.657e-25,1.241e-43,3.657e-25
202.796,3.133e-27,1.252e-43,3.133e-27
202.798,1.190e-28,1.259e-43,1.190e-28
202.801,7.611e-31,1.269e-43,7.611e-31
202.803,2.379e-32,1.276e-43,2.379e-32
202.806,1.137e-34,1.287e-43,1.137e-34
202.808,2.925e-36,1.294e-43,2.925e-36
202.811,1.043e-38,1.304e-43,1.043e-38
202.813,2.209e-40,1.311e-43,2.209e-40
202.816,5.885e-43,1.322e-43,5.885e-43
202.818,1.026e-44,1.329e-43,1.026e-44
202.821,2.041e-47,1.339e-43,2.041e-47
202.886,2.620e-48,1.567e-43,2.620e-48
202.888,1.736e-46,1.574e-43,1.736e-46
202.891,8.091e-44,1.584e-43,8.091e-44
202.893,4.415e-42,1.591e-43,4.415e-42
202.896,1.538e-39,1.602e-43,1.538e-39
202.898,6.911e-38,1.609e-43,6.911e-38
202.901,1.800e-35,1.619e-43,1.800e-35
202.903,6.660e-34,1.626e-43,6.660e-34
202.906,1.296e-31,1.637e-43,1.296e-31
202.908,3.949e-30,1.644e-43,3.949e-30
202.911,5.744e-28,1.654e-43,5.744e-28
202.913,1.442e-26,1.661e-43,1.442e-26
202.916,1.567e-24,1.672e-43,1.567e-24
202.918,3.239e-23,1.679e-43,3.239e-23
202.921,2.631e-21,1.689e-43,2.631e-21
202.923,4.478e-20,1.696e-43,4.478e-20
202.926,2.719e-18,1.707e-43,2.719e-18
202.928,3.811e-17,1.714e-43,3.811e-17
202.931,1.729e-15,1.724e-43,1.729e-15
202.933,1.996e-14,1.731e-43,1.996e-14
202.936,6.768e-13,1.742e-43,6.768e-13
202.938,6.435e-12,1.749e-43,6.435e-12
202.941,1.631e-10,1.759e-43,1.631e-10
202.943,1.277e-9,1.766e-43,1.277e-9
202.946,2.418e-8,1.777e-43,2.418e-8
202.948,1.559e-7,1.784e-43,1.559e-7
202.951,2.207e-6,1.794e-43,2.207e-6
202.953,1.172e-5,1.801e-43,1.172e-5
202.956,1.240e-4,1.812e-43,1.240e-4
202.958,5.422e-4,1.819e-43,5.422e-4
202.961,4.286e-3,1.829e-43,4.286e-3
202.963,1.544e-2,1.836e-43,1.544e-2
202.966,9.121e-2,1.847e-43,9.121e-2
202.968,2.705e-1,1.854e-43,2.705e-1
202.971,1.195e+0,1.864e-43,1.195e+0
202.973,2.918e+0,1.871e-43,2.918e+0
202.976,9.629e+0,1.882e-43,9.629e+0
202.978,1.937e+1,1.889e-43,1.937e+1
202.981,4.777e+1,1.899e-43,4.777e+1
202.983,7.914e+1,1.906e-43,7.914e+1
202.985,1.213e+2,1.913e-43,1.213e+2
202.988,1.990e+2,1.924e-43,1.990e+2
202.99,2.512e+2,1.931e-43,2.512e+2
202.993,3.080e+2,1.941e-43,3.080e+2
202.995,3.202e+2,1.949e-43,3.202e+2
202.998,2.935e+2,1.959e-43,2.935e+2
203,2.512e+2,1.966e-43,2.512e+2
203.003,1.721e+2,1.977e-43,1.721e+2
203.005,1.213e+2,1.984e-43,1.213e+2
203.008,6.209e+1,1.994e-43,6.209e+1
203.01,3.605e+1,2.001e-43,3.605e+1
203.013,1.379e+1,2.012e-43,1.379e+1
203.015,6.595e+0,2.019e-43,6.595e+0
203.018,1.885e+0,2.029e-43,1.885e+0
203.02,7.424e-1,2.036e-43,7.424e-1
203.023,1.586e-1,2.047e-43,1.586e-1
203.025,5.144e-2,2.054e-43,5.144e-2
203.028,8.214e-3,2.064e-43,8.214e-3
203.03,2.194e-3,2.071e-43,2.194e-3
203.033,2.618e-4,2.082e-43,2.618e-4
203.035,5.758e-5,2.089e-43,5.758e-5
203.038,5.135e-6,2.099e-43,5.135e-6
203.04,9.303e-7,2.106e-43,9.303e-7
203.043,6.200e-8,2.117e-43,6.200e-8
203.045,9.256e-9,2.124e-43,9.256e-9
203.048,6.480e-10,2.134e-43,6.480e-10
203.05,1.638e-9,2.141e-43,1.638e-9
203.053,3.353e-8,2.152e-43,3.353e-8
203.055,2.332e-7,2.159e-43,2.332e-7
203.058,3.697e-6,2.169e-43,3.697e-6
203.06,2.118e-5,2.176e-43,2.118e-5
203.063,2.511e-4,2.187e-43,2.511e-4
203.065,1.185e-3,2.194e-43,1.185e-3
203.068,1.050e-2,2.204e-43,1.050e-2
203.07,4.080e-2,2.211e-43,4.080e-2
203.073,2.703e-1,2.222e-43,2.703e-1
203.075,8.654e-1,2.229e-43,8.654e-1
203.078,4.286e+0,2.239e-43,4.286e+0
203.08,1.130e+1,2.246e-43,1.130e+1
203.083,4.185e+1,2.257e-43,4.185e+1
203.085,9.091e+1,2.264e-43,9.091e+1
203.088,2.516e+2,2.274e-43,2.516e+2
203.09,4.503e+2,2.281e-43,4.503e+2
203.093,9.318e+2,2.292e-43,9.318e+2
203.095,1.373e+3,2.299e-43,1.373e+3
203.098,2.125e+3,2.309e-43,2.125e+3
203.1,2.579e+3,2.316e-43,2.579e+3
203.103,2.983e+3,2.327e-43,2.983e+3
203.105,2.983e+3,2.334e-43,2.983e+3
203.108,2.579e+3,2.344e-43,2.579e+3
203.11,2.125e+3,2.351e-43,2.125e+3
203.113,1.373e+3,2.362e-43,1.373e+3
203.115,9.318e+2,2.369e-43,9.318e+2
203.118,4.503e+2,2.379e-43,4.503e+2
203.12,2.516e+2,2.386e-43,2.516e+2
203.123,9.091e+1,2.397e-43,9.091e+1
203.125,4.185e+1,2.404e-43,4.185e+1
203.128,1.130e+1,2.414e-43,1.130e+1
203.13,4.286e+0,2.421e-43,4.286e+0
203.133,8.654e-1,2.432e-43,8.654e-1
203.135,2.703e-1,2.439e-43,2.703e-1
203.138,4.080e-2,2.449e-43,4.080e-2
203.14,1.050e-2,2.456e-43,1.050e-2
203.143,1.185e-3,2.467e-43,1.185e-3
203.145,2.511e-4,2.474e-43,2.511e-4
203.148,2.118e-5,2.484e-43,2.118e-5
203.15,3.697e-6,2.491e-43,3.697e-6
203.153,2.332e-7,2.502e-43,2.332e-7
203.155,3.353e-8,2.509e-43,3.353e-8
203.158,1.581e-9,2.519e-43,1.581e-9
203.16,1.873e-10,2.526e-43,1.873e-10
203.163,6.600e-12,2.537e-43,6.600e-12
203.165,6.440e-13,2.544e-43,6.440e-13
203.168,1.697e-14,2.554e-43,1.697e-14
203.17,1.364e-15,2.561e-43,1.364e-15
203.173,2.687e-17,2.572e-43,2.687e-17
203.175,1.779e-18,2.579e-43,1.779e-18
203.178,2.619e-20,2.589e-43,2.619e-20
203.18,1.428e-21,2.596e-43,1.428e-21
203.183,1.572e-23,2.607e-43,1.572e-23
203.185,7.063e-25,2.614e-43,7.063e-25
203.188,5.813e-27,2.624e-43,5.813e-27
203.19,2.151e-28,2.631e-43,2.151e-28
203.193,1.323e-30,2.642e-43,1.323e-30
203.195,4.033e-32,2.649e-43,4.033e-32
203.198,1.855e-34,2.659e-43,1.855e-34
203.2,4.658e-36,2.666e-43,4.658e-36
203.203,1.602e-38,2.677e-43,1.602e-38
203.205,3.312e-40,2.684e-43,3.312e-40
203.208,8.515e-43,2.694e-43,8.515e-43
203.21,1.450e-44,2.701e-43,1.450e-44
203.478,7.043e-43,3.640e-43,7.043e-43
203.48,4.216e-41,3.647e-43,4.216e-41
203.483,1.689e-38,3.657e-43,1.689e-38
203.485,8.337e-37,3.664e-43,8.337e-37
203.488,2.501e-34,3.675e-43,2.501e-34
203.49,1.018e-32,3.682e-43,1.018e-32
203.493,2.285e-30,3.693e-43,2.285e-30
203.495,7.665e-29,3.700e-43,7.665e-29
203.498,1.289e-26,3.710e-43,1.289e-26
203.5,3.564e-25,3.717e-43,3.564e-25
203.503,4.485e-23,3.728e-43,4.485e-23
203.505,1.023e-21,3.735e-43,1.023e-21
203.508,9.636e-20,3.745e-43,9.636e-20
203.51,1.812e-18,3.752e-43,1.812e-18
203.513,1.278e-16,3.763e-43,1.278e-16
203.515,1.980e-15,3.770e-43,1.980e-15
203.518,1.046e-13,3.780e-43,1.046e-13
203.52,1.336e-12,3.787e-43,1.336e-12
203.523,5.282e-11,3.798e-43,5.282e-11
203.525,5.565e-10,3.805e-43,5.565e-10
203.528,1.647e-8,3.815e-43,1.647e-8
203.53,1.431e-7,3.822e-43,1.431e-7
203.533,3.169e-6,3.833e-43,3.169e-6
203.535,2.270e-5,3.840e-43,2.270e-5
203.538,3.764e-4,3.850e-43,3.764e-4
203.54,2.222e-3,3.857e-43,2.222e-3
203.543,2.759e-2,3.868e-43,2.759e-2
203.545,1.343e-1,3.875e-43,1.343e-1
203.548,1.248e+0,3.885e-43,1.248e+0
203.55,5.011e+0,3.892e-43,5.011e+0
203.553,3.486e+1,3.903e-43,3.486e+1
203.555,1.154e+2,3.910e-43,1.154e+2
203.558,6.009e+2,3.920e-43,6.009e+2
203.56,1.639e+3,3.927e-43,1.639e+3
203.563,6.392e+3,3.938e-43,6.392e+3
203.565,1.438e+4,3.945e-43,1.438e+4
203.568,4.197e+4,3.955e-43,4.197e+4
203.57,7.784e+4,3.962e-43,7.784e+4
203.573,1.701e+5,3.973e-43,1.701e+5
203.575,2.601e+5,3.980e-43,2.601e+5
203.578,4.255e+5,3.990e-43,4.255e+5
203.58,5.364e+5,3.997e-43,5.364e+5
203.583,6.569e+5,4.008e-43,6.569e+5
203.585,6.827e+5,4.015e-43,6.827e+5
203.588,6.259e+5,4.025e-43,6.259e+5
203.59,5.364e+5,4.032e-43,5.364e+5
203.593,3.681e+5,4.043e-43,3.681e+5
203.595,2.601e+5,4.050e-43,2.601e+5
203.598,1.336e+5,4.060e-43,1.336e+5
203.6,7.784e+4,4.067e-43,7.784e+4
203.603,2.994e+4,4.078e-43,2.994e+4
203.605,1.438e+4,4.085e-43,1.438e+4
203.608,4.140e+3,4.095e-43,4.140e+3
203.61,1.639e+3,4.102e-43,1.639e+3
203.613,3.534e+2,4.113e-43,3.534e+2
203.615,1.154e+2,4.120e-43,1.154e+2
203.618,1.862e+1,4.130e-43,1.862e+1
203.62,5.011e+0,4.137e-43,5.011e+0
203.623,6.053e-1,4.148e-43,6.053e-1
203.625,1.343e-1,4.155e-43,1.343e-1
203.628,1.215e-2,4.165e-43,1.215e-2
203.63,2.222e-3,4.172e-43,2.222e-3
203.633,1.505e-4,4.183e-43,1.505e-4
203.635,2.270e-5,4.190e-43,2.270e-5
203.638,1.151e-6,4.200e-43,1.151e-6
203.64,1.457e-7,4.207e-43,1.457e-7
203.643,5.386e-8,4.218e-43,5.386e-8
203.645,3.089e-7,4.225e-43,3.089e-7
203.648,4.286e-6,4.235e-43,4.286e-6
203.65,2.250e-5,4.242e-43,2.250e-5
203.653,2.342e-4,4.253e-43,2.342e-4
203.655,1.014e-3,4.260e-43,1.014e-3
203.658,7.904e-3,4.270e-43,7.904e-3
203.66,2.822e-2,4.277e-43,2.822e-2
203.663,1.647e-1,4.288e-43,1.647e-1
203.665,4.851e-1,4.295e-43,4.851e-1
203.668,2.122e+0,4.305e-43,2.122e+0
203.67,5.159e+0,4.312e-43,5.159e+0
203.673,1.698e+1,4.323e-43,1.698e+1
203.675,3.435e+1,4.330e-43,3.435e+1
203.678,8.783e+1,4.340e-43,8.783e+1
203.68,1.556e+2,4.347e-43,1.556e+2
203.683,3.690e+2,4.358e-43,3.690e+2
203.685,7.036e+2,4.365e-43,7.036e+2
203.688,2.148e+3,4.375e-43,2.148e+3
203.69,4.761e+3,4.382e-43,4.761e+3
203.693,1.523e+4,4.393e-43,1.523e+4
203.695,3.105e+4,4.400e-43,3.105e+4
203.697,5.927e+4,4.407e-43,5.927e+4
203.7,1.364e+5,4.417e-43,1.364e+5
203.702,2.164e+5,4.424e-43,2.164e+5
203.705,3.746e+5,4.435e-43,3.746e+5
203.707,4.905e+5,4.442e-43,4.905e+5
203.71,6.363e+5,4.452e-43,6.363e+5
203.712,6.873e+5,4.459e-43,6.873e+5
203.715,6.677e+5,4.470e-43,6.677e+5
