Wavelength (nm),Sum(calc),Pb I (1.4e-1),Pb II (8.6e-1)
244.705,1.454e-1,1.454e-1,
244.71,3.257e-2,3.257e-2,
244.715,6.714e-3,6.714e-3,
244.72,1.273e-3,1.273e-3,
244.725,2.220e-4,2.220e-4,
244.73,3.562e-5,3.562e-5,
244.735,5.256e-6,5.256e-6,
244.74,7.134e-7,7.134e-7,
244.745,8.907e-8,8.907e-8,
244.75,1.023e-8,1.023e-8,
244.755,1.081e-9,1.081e-9,
244.76,1.050e-10,1.050e-10,
244.765,9.385e-12,9.385e-12,
244.77,7.716e-13,7.716e-13,
244.775,5.835e-14,5.835e-14,
244.78,4.059e-15,4.059e-15,
244.785,2.597e-16,2.597e-16,
244.79,1.529e-17,1.529e-17,
244.795,8.276e-19,8.276e-19,
244.8,4.121e-20,4.121e-20,
244.805,1.888e-21,1.888e-21,
244.81,7.954e-23,7.954e-23,
244.815,3.083e-24,3.083e-24,
244.82,1.099e-25,1.099e-25,
244.825,3.604e-27,3.604e-27,
244.83,1.087e-28,1.087e-28,
244.835,3.016e-30,3.016e-30,
244.84,7.698e-32,7.698e-32,
244.846,8.448e-34,8.448e-34,
244.851,1.794e-35,1.794e-35,
244.856,3.504e-37,3.504e-37,
244.861,6.296e-39,6.296e-39,
247.389,1.382e-39,1.382e-39,
247.394,7.695e-38,7.695e-38,
247.399,3.949e-36,3.949e-36,
247.404,1.868e-34,1.868e-34,
247.409,8.144e-33,8.144e-33,
247.414,3.272e-31,3.272e-31,
247.419,1.212e-29,1.212e-29,
247.424,4.138e-28,4.138e-28,
247.429,1.302e-26,1.302e-26,
247.434,3.776e-25,3.776e-25,
247.439,1.009e-23,1.009e-23,
247.444,2.487e-22,2.487e-22,
247.449,5.647e-21,5.647e-21,
247.454,1.182e-19,1.182e-19,
247.459,2.280e-18,2.280e-18,
247.464,4.054e-17,4.054e-17,
247.469,6.644e-16,6.644e-16,
247.474,1.004e-14,1.004e-14,
247.479,1.397e-13,1.397e-13,
247.484,1.793e-12,1.793e-12,
247.489,2.121e-11,2.121e-11,
247.494,2.312e-10,2.312e-10,
247.499,2.323e-9,2.323e-9,
247.504,2.152e-8,2.152e-8,
247.509,1.837e-7,1.837e-7,
247.514,1.445e-6,1.445e-6,
247.519,1.048e-5,1.048e-5,
247.524,7.005e-5,7.005e-5,
247.529,4.316e-4,4.316e-4,
247.534,2.451e-3,2.451e-3,
247.539,1.283e-2,1.283e-2,
247.544,6.187e-2,6.187e-2,
247.549,2.751e-1,2.751e-1,
247.554,1.127e+0,1.127e+0,
247.559,4.259e+0,4.259e+0,
247.564,1.483e+1,1.483e+1,
247.569,4.758e+1,4.758e+1,
247.574,1.407e+2,1.407e+2,
247.579,3.836e+2,3.836e+2,
247.584,9.638e+2,9.638e+2,
247.589,2.232e+3,2.232e+3,
247.595,5.491e+3,5.491e+3,
247.6,1.063e+4,1.063e+4,
247.605,1.896e+4,1.896e+4,
247.61,3.118e+4,3.118e+4,
247.615,4.726e+4,4.726e+4,
247.62,6.601e+4,6.601e+4,
247.625,8.500e+4,8.500e+4,
247.63,1.009e+5,1.009e+5,
247.635,1.103e+5,1.103e+5,
247.64,1.112e+5,1.112e+5,
247.645,1.034e+5,1.034e+5,
247.65,8.853e+4,8.853e+4,
247.655,6.989e+4,6.989e+4,
247.66,5.085e+4,5.085e+4,
247.665,3.410e+4,3.410e+4,
247.67,2.108e+4,2.108e+4,
247.675,1.201e+4,1.201e+4,
