Wavelength (nm),Sum(calc),Pb I (1.4e-1),Pb II (8.6e-1)
266.451,1.267e-6,1.267e-6,
266.456,1.798e-7,1.798e-7,
266.461,2.377e-8,2.377e-8,
266.466,2.929e-9,2.929e-9,
266.471,3.363e-10,3.363e-10,
266.476,3.599e-11,3.599e-11,
266.481,3.589e-12,3.589e-12,
266.486,3.336e-13,3.336e-13,
266.491,2.889e-14,2.889e-14,
266.496,2.332e-15,2.332e-15,
266.501,1.754e-16,1.754e-16,
266.506,1.230e-17,1.230e-17,
266.511,8.035e-19,8.035e-19,
266.516,4.892e-20,4.892e-20,
266.521,2.776e-21,2.776e-21,
266.526,1.468e-22,1.468e-22,
266.531,7.233e-24,7.233e-24,
266.536,3.322e-25,3.322e-25,
266.541,1.422e-26,1.422e-26,
266.546,5.670e-28,5.670e-28,
266.551,2.108e-29,2.108e-29,
266.556,7.300e-31,7.300e-31,
266.562,1.176e-32,1.176e-32,
266.567,3.488e-34,3.488e-34,
279.935,1.601e-33,1.601e-33,
279.94,4.533e-32,4.533e-32,
279.945,1.204e-30,1.204e-30,
279.95,3.002e-29,3.002e-29,
279.955,7.023e-28,7.023e-28,
279.96,1.541e-26,1.541e-26,
279.965,3.175e-25,3.175e-25,
279.97,6.135e-24,6.135e-24,
279.975,1.112e-22,1.112e-22,
279.98,1.892e-21,1.892e-21,
279.985,3.021e-20,3.021e-20,
279.99,4.525e-19,4.525e-19,
279.995,6.359e-18,6.359e-18,
280,8.386e-17,8.386e-17,
280.005,1.038e-15,1.038e-15,
280.01,1.205e-14,1.205e-14,
280.016,2.100e-13,2.100e-13,
280.021,2.119e-12,2.119e-12,
280.026,2.007e-11,2.007e-11,
280.031,1.783e-10,1.783e-10,
280.036,1.486e-9,1.486e-9,
280.041,1.163e-8,1.163e-8,
280.046,8.534e-8,8.534e-8,
280.051,5.878e-7,5.878e-7,
280.056,3.798e-6,3.798e-6,
280.061,2.303e-5,2.303e-5,
280.066,1.310e-4,1.310e-4,
280.071,6.995e-4,6.995e-4,
280.076,3.504e-3,3.504e-3,
280.081,1.647e-2,1.647e-2,
280.086,7.261e-2,7.261e-2,
280.091,3.005e-1,3.005e-1,
280.096,1.167e+0,1.167e+0,
280.101,4.250e+0,4.250e+0,
280.106,1.453e+1,1.453e+1,
280.111,4.659e+1,4.659e+1,
280.116,1.402e+2,1.402e+2,
280.121,3.959e+2,3.959e+2,
280.126,1.049e+3,1.049e+3,
280.131,2.608e+3,2.608e+3,
280.136,6.083e+3,6.083e+3,
280.141,1.331e+4,1.331e+4,
280.146,2.734e+4,2.734e+4,
280.151,5.269e+4,5.269e+4,
280.156,9.527e+4,9.527e+4,
280.161,1.616e+5,1.616e+5,
280.166,2.573e+5,2.573e+5,
280.171,3.843e+5,3.843e+5,
280.176,5.386e+5,5.386e+5,
280.181,7.082e+5,7.082e+5,
280.186,8.739e+5,8.739e+5,
280.191,1.012e+6,1.012e+6,
280.196,1.099e+6,1.099e+6,
280.201,1.120e+6,1.120e+6,
280.206,1.071e+6,1.071e+6,
280.211,9.615e+5,9.615e+5,
280.216,8.096e+5,8.096e+5,
280.221,6.396e+5,6.396e+5,
280.226,4.742e+5,4.742e+5,
280.231,3.298e+5,3.298e+5,
280.236,2.153e+5,2.153e+5,
280.241,1.318e+5,1.318e+5,
280.246,7.575e+4,7.575e+4,
280.251,4.084e+4,4.084e+4,
280.256,2.066e+4,2.066e+4,
280.261,9.808e+3,9.808e+3,
280.266,4.368e+3,4.368e+3,
280.271,1.826e+3,1.826e+3,
280.276,7.159e+2,7.159e+2,
280.281,2.634e+2,2.634e+2,
280.286,9.093e+1,9.093e+1,
280.291,2.946e+1,2.946e+1,
280.296,8.953e+0,8.953e+0,
280.301,2.553e+0,2.553e+0,
280.306,6.832e-1,6.832e-1,
280.311,1.716e-1,1.716e-1,
280.316,4.042e-2,4.042e-2,
280.322,6.556e-3,6.556e-3,
280.327,1.343e-3,1.343e-3,
280.332,2.580e-4,2.580e-4,
280.337,4.652e-5,4.652e-5,
280.342,7.870e-6,7.870e-6,
280.347,1.249e-6,1.249e-6,
280.352,1.861e-7,1.861e-7,
280.357,2.601e-8,2.601e-8,
280.362,3.410e-9,3.410e-9,
280.367,4.196e-10,4.196e-10,
280.372,4.844e-11,4.844e-11,
280.377,5.248e-12,5.248e-12,
280.382,5.334e-13,5.334e-13,
280.387,5.087e-14,5.087e-14,
280.392,4.552e-15,4.552e-15,
280.397,3.822e-16,3.822e-16,
280.402,3.012e-17,3.012e-17,
280.407,2.226e-18,2.226e-18,
280.412,1.544e-19,1.544e-19,
280.417,1.005e-20,1.005e-20,
280.422,6.138e-22,6.138e-22,
280.427,3.517e-23,3.517e-23,
280.432,1.891e-24,1.891e-24,
280.437,9.539e-26,9.539e-26,
280.442,4.515e-27,4.515e-27,
280.447,2.006e-28,2.006e-28,
280.452,8.358e-30,8.358e-30,
280.457,3.268e-31,3.268e-31,
280.462,1.199e-32,1.199e-32,
280.467,4.128e-34,4.128e-34,
282.052,1.984e-34,1.984e-34,
282.057,5.479e-33,5.479e-33,
282.062,1.421e-31,1.421e-31,
282.067,3.463e-30,3.463e-30,
282.072,7.924e-29,7.924e-29,
282.077,1.703e-27,1.703e-27,
282.082,3.437e-26,3.437e-26,
282.087,6.515e-25,6.515e-25,
282.092,1.160e-23,1.160e-23,
282.097,1.940e-22,1.940e-22,
282.102,3.046e-21,3.046e-21,
282.107,4.493e-20,4.493e-20,
282.112,6.223e-19,6.223e-19,
282.117,8.097e-18,8.097e-18,
282.122,9.894e-17,9.894e-17,
282.127,1.135e-15,1.135e-15,
282.132,1.224e-14,1.224e-14,
282.137,1.239e-13,1.239e-13,
282.142,1.178e-12,1.178e-12,
282.147,1.052e-11,1.052e-11,
282.152,8.821e-11,8.821e-11,
282.158,1.042e-9,1.042e-9,
282.163,7.611e-9,7.611e-9,
282.168,5.222e-8,5.222e-8,
282.173,3.365e-7,3.365e-7,
282.178,2.037e-6,2.037e-6,
282.183,1.158e-5,1.158e-5,
282.188,6.180e-5,6.180e-5,
282.193,3.099e-4,3.099e-4,
282.198,1.459e-3,1.459e-3,
282.203,6.454e-3,6.454e-3,
282.208,2.681e-2,2.681e-2,
282.213,1.046e-1,1.046e-1,
282.218,3.832e-1,3.832e-1,
282.223,1.319e+0,1.319e+0,
282.228,4.262e+0,4.262e+0,
282.233,1.294e+1,1.294e+1,
282.238,3.688e+1,3.688e+1,
282.243,9.875e+1,9.875e+1,
282.248,2.483e+2,2.483e+2,
282.253,5.865e+2,5.865e+2,
282.258,1.301e+3,1.301e+3,
282.263,2.710e+3,2.710e+3,
282.268,5.303e+3,5.303e+3,
282.273,9.745e+3,9.745e+3,
282.278,1.682e+4,1.682e+4,
282.283,2.726e+4,2.726e+4,
282.288,4.151e+4,4.151e+4,
282.293,5.935e+4,5.935e+4,
282.298,7.970e+4,7.970e+4,
282.303,1.005e+5,1.005e+5,
282.308,1.191e+5,1.191e+5,
282.313,1.325e+5,1.325e+5,
282.318,1.384e+5,1.384e+5,
282.323,1.358e+5,1.358e+5,
282.328,1.252e+5,1.252e+5,
282.333,1.084e+5,1.084e+5,
282.338,8.812e+4,8.812e+4,
282.343,6.729e+4,6.729e+4,
282.348,4.825e+4,4.825e+4,
282.353,3.250e+4,3.250e+4,
282.358,2.056e+4,2.056e+4,
282.363,1.221e+4,1.221e+4,
282.368,6.816e+3,6.816e+3,
282.373,3.572e+3,3.572e+3,
282.378,1.758e+3,1.758e+3,
282.383,8.127e+2,8.127e+2,
282.388,3.528e+2,3.528e+2,
282.393,1.439e+2,1.439e+2,
282.398,5.510e+1,5.510e+1,
282.403,1.982e+1,1.982e+1,
282.408,6.695e+0,6.695e+0,
282.413,2.124e+0,2.124e+0,
282.418,6.329e-1,6.329e-1,
282.423,1.771e-1,1.771e-1,
282.428,4.656e-2,4.656e-2,
282.433,1.149e-2,1.149e-2,
282.438,2.665e-3,2.665e-3,
282.443,5.803e-4,5.803e-4,
282.448,1.187e-4,1.187e-4,
282.453,2.279e-5,2.279e-5,
282.458,4.112e-6,4.112e-6,
282.464,4.848e-7,4.848e-7,
282.469,7.619e-8,7.619e-8,
282.474,1.124e-8,1.124e-8,
282.479,1.559e-9,1.559e-9,
282.484,2.029e-10,2.029e-10,
282.489,2.481e-11,2.481e-11,
282.494,2.849e-12,2.849e-12,
282.499,3.073e-13,3.073e-13,
282.504,3.112e-14,3.112e-14,
282.509,2.961e-15,2.961e-15,
282.514,2.646e-16,2.646e-16,
282.519,2.220e-17,2.220e-17,
282.524,1.750e-18,1.750e-18,
282.529,1.295e-19,1.295e-19,
282.534,9.005e-21,9.005e-21,
282.539,5.880e-22,5.880e-22,
282.544,3.606e-23,3.606e-23,
282.549,2.077e-24,2.077e-24,
282.554,1.123e-25,1.123e-25,
282.559,5.707e-27,5.707e-27,
282.564,2.723e-28,2.723e-28,
282.569,1.220e-29,1.220e-29,
282.574,5.137e-31,5.137e-31,
282.579,2.030e-32,2.030e-32,
282.584,7.538e-34,7.538e-34,
283.035,2.546e-34,2.546e-34,
283.04,7.133e-33,7.133e-33,
283.045,1.878e-31,1.878e-31,
283.05,4.645e-30,4.645e-30,
283.055,1.080e-28,1.080e-28,
283.06,2.358e-27,2.358e-27,
283.065,4.838e-26,4.838e-26,
283.07,9.327e-25,9.327e-25,
283.076,2.993e-23,2.993e-23,
283.081,5.032e-22,5.032e-22,
283.086,7.948e-21,7.948e-21,
283.091,1.180e-19,1.180e-19,
283.096,1.645e-18,1.645e-18,
283.101,2.155e-17,2.155e-17,
283.106,2.654e-16,2.654e-16,
283.111,3.070e-15,3.070e-15,
283.116,3.336e-14,3.336e-14,
283.121,3.407e-13,3.407e-13,
283.126,3.270e-12,3.270e-12,
283.131,2.948e-11,2.948e-11,
283.136,2.498e-10,2.498e-10,
283.141,1.988e-9,1.988e-9,
283.146,1.487e-8,1.487e-8,
283.151,1.045e-7,1.045e-7,
283.156,6.901e-7,6.901e-7,
283.161,4.282e-6,4.282e-6,
283.166,2.496e-5,2.496e-5,
283.171,1.367e-4,1.367e-4,
283.176,7.037e-4,7.037e-4,
283.181,3.403e-3,3.403e-3,
283.186,1.546e-2,1.546e-2,
283.191,6.602e-2,6.602e-2,
283.196,2.649e-1,2.649e-1,
283.201,9.984e-1,9.984e-1,
283.206,3.536e+0,3.536e+0,
283.211,1.177e+1,1.177e+1,
283.216,3.679e+1,3.679e+1,
283.221,1.081e+2,1.081e+2,
283.226,2.984e+2,2.984e+2,
283.231,7.740e+2,7.740e+2,
283.236,1.886e+3,1.886e+3,
283.241,4.320e+3,4.320e+3,
283.246,9.295e+3,9.295e+3,
283.251,1.879e+4,1.879e+4,
283.256,3.570e+4,3.570e+4,
283.261,6.371e+4,6.371e+4,
283.266,1.069e+5,1.069e+5,
283.271,1.684e+5,1.684e+5,
283.276,2.493e+5,2.493e+5,
283.281,3.468e+5,3.468e+5,
283.286,4.534e+5,4.534e+5,
283.291,5.568e+5,5.568e+5,
283.296,6.426e+5,6.426e+5,
283.301,6.968e+5,6.968e+5,
283.306,7.100e+5,7.100e+5,
283.311,6.797e+5,6.797e+5,
283.316,6.114e+5,6.114e+5,
283.321,5.167e+5,5.167e+5,
283.326,4.104e+5,4.104e+5,
283.331,3.062e+5,3.062e+5,
283.336,2.147e+5,2.147e+5,
283.341,1.414e+5,1.414e+5,
283.346,8.754e+4,8.754e+4,
283.351,5.091e+4,5.091e+4,
283.356,2.782e+4,2.782e+4,
283.361,1.429e+4,1.429e+4,
283.366,6.892e+3,6.892e+3,
283.371,3.124e+3,3.124e+3,
283.376,1.331e+3,1.331e+3,
283.382,4.402e+2,4.402e+2,
283.387,1.635e+2,1.635e+2,
283.392,5.705e+1,5.705e+1,
283.397,1.870e+1,1.870e+1,
283.402,5.763e+0,5.763e+0,
283.407,1.668e+0,1.668e+0,
283.412,4.537e-1,4.537e-1,
283.417,1.160e-1,1.160e-1,
283.422,2.784e-2,2.784e-2,
283.427,6.282e-3,6.282e-3,
283.432,1.332e-3,1.332e-3,
283.437,2.653e-4,2.653e-4,
283.442,4.965e-5,4.965e-5,
283.447,8.732e-6,8.732e-6,
283.452,1.443e-6,1.443e-6,
283.457,2.240e-7,2.240e-7,
283.462,3.268e-8,3.268e-8,
283.467,4.480e-9,4.480e-9,
283.472,5.770e-10,5.770e-10,
283.477,6.982e-11,6.982e-11,
283.482,7.939e-12,7.939e-12,
283.487,8.482e-13,8.482e-13,
283.492,8.515e-14,8.515e-14,
283.497,8.032e-15,8.032e-15,
283.502,7.118e-16,7.118e-16,
283.507,5.928e-17,5.928e-17,
283.512,4.638e-18,4.638e-18,
283.517,3.410e-19,3.410e-19,
283.522,2.356e-20,2.356e-20,
283.527,1.529e-21,1.529e-21,
283.532,9.325e-23,9.325e-23,
283.537,5.343e-24,5.343e-24,
283.542,2.877e-25,2.877e-25,
283.547,1.455e-26,1.455e-26,
283.552,6.919e-28,6.919e-28,
283.557,3.090e-29,3.090e-29,
283.562,1.297e-30,1.297e-30,
283.567,5.114e-32,5.114e-32,
287.059,2.527e-34,2.527e-34,
287.064,6.612e-33,6.612e-33,
287.069,1.628e-31,1.628e-31,
287.074,3.774e-30,3.774e-30,
287.079,8.233e-29,8.233e-29,
287.084,1.691e-27,1.691e-27,
287.089,3.267e-26,3.267e-26,
287.094,5.944e-25,5.944e-25,
287.099,1.018e-23,1.018e-23,
287.104,1.640e-22,1.640e-22,
287.109,2.488e-21,2.488e-21,
287.114,3.552e-20,3.552e-20,
287.119,4.774e-19,4.774e-19,
287.124,6.038e-18,6.038e-18,
287.129,7.189e-17,7.189e-17,
287.134,8.056e-16,8.056e-16,
287.139,8.497e-15,8.497e-15,
287.144,8.436e-14,8.436e-14,
287.149,7.882e-13,7.882e-13,
287.154,6.933e-12,6.933e-12,
287.159,5.739e-11,5.739e-11,
287.164,4.472e-10,4.472e-10,
287.169,3.280e-9,3.280e-9,
287.174,2.264e-8,2.264e-8,
287.179,1.471e-7,1.471e-7,
287.184,8.995e-7,8.995e-7,
287.189,5.178e-6,5.178e-6,
287.194,2.805e-5,2.805e-5,
287.199,1.431e-4,1.431e-4,
287.204,6.866e-4,6.866e-4,
287.209,3.102e-3,3.102e-3,
287.214,1.319e-2,1.319e-2,
287.219,5.279e-2,5.279e-2,
287.224,1.989e-1,1.989e-1,
287.229,7.052e-1,7.052e-1,
287.234,2.353e+0,2.353e+0,
287.239,7.393e+0,7.393e+0,
287.244,2.186e+1,2.186e+1,
287.249,6.083e+1,6.083e+1,
287.254,1.593e+2,1.593e+2,
287.259,3.929e+2,3.929e+2,
287.264,9.116e+2,9.116e+2,
287.269,1.991e+3,1.991e+3,
287.274,4.094e+3,4.094e+3,
287.279,7.922e+3,7.922e+3,
287.284,1.443e+4,1.443e+4,
287.289,2.473e+4,2.473e+4,
287.294,3.991e+4,3.991e+4,
287.299,6.061e+4,6.061e+4,
287.304,8.664e+4,8.664e+4,
287.309,1.166e+5,1.166e+5,
287.314,1.476e+5,1.476e+5,
287.319,1.760e+5,1.760e+5,
287.324,1.974e+5,1.974e+5,
287.329,2.085e+5,2.085e+5,
287.334,2.072e+5,2.072e+5,
287.339,1.939e+5,1.939e+5,
287.344,1.707e+5,1.707e+5,
287.349,1.415e+5,1.415e+5,
287.354,1.104e+5,1.104e+5,
287.36,7.565e+4,7.565e+4,
287.365,5.166e+4,5.166e+4,
287.37,3.320e+4,3.320e+4,
287.375,2.008e+4,2.008e+4,
287.38,1.143e+4,1.143e+4,
287.385,6.128e+3,6.128e+3,
287.39,3.091e+3,3.091e+3,
287.395,1.467e+3,1.467e+3,
287.4,6.558e+2,6.558e+2,
287.405,2.758e+2,2.758e+2,
287.41,1.092e+2,1.092e+2,
287.415,4.069e+1,4.069e+1,
287.42,1.427e+1,1.427e+1,
287.425,4.711e+0,4.711e+0,
287.43,1.464e+0,1.464e+0,
287.435,4.281e-1,4.281e-1,
287.44,1.179e-1,1.179e-1,
287.445,3.054e-2,3.054e-2,
287.45,7.447e-3,7.447e-3,
287.455,1.709e-3,1.709e-3,
287.46,3.693e-4,3.693e-4,
287.465,7.510e-5,7.510e-5,
287.47,1.437e-5,1.437e-5,
287.475,2.590e-6,2.590e-6,
287.48,4.391e-7,4.391e-7,
287.485,7.009e-8,7.009e-8,
287.49,1.053e-8,1.053e-8,
287.495,1.489e-9,1.489e-9,
287.5,1.981e-10,1.981e-10,
287.505,2.482e-11,2.482e-11,
287.51,2.927e-12,2.927e-12,
287.515,3.248e-13,3.248e-13,
287.52,3.393e-14,3.393e-14,
287.525,3.336e-15,3.336e-15,
287.53,3.087e-16,3.087e-16,
287.535,2.689e-17,2.689e-17,
287.54,2.204e-18,2.204e-18,
287.545,1.701e-19,1.701e-19,
287.55,1.235e-20,1.235e-20,
287.555,8.445e-22,8.445e-22,
287.56,5.434e-23,5.434e-23,
287.565,3.291e-24,3.291e-24,
287.57,1.876e-25,1.876e-25,
287.575,1.007e-26,1.007e-26,
287.58,5.084e-28,5.084e-28,
287.585,2.417e-29,2.417e-29,
287.59,1.081e-30,1.081e-30,
287.595,4.553e-32,4.553e-32,
356.962,1.829e-28,1.829e-28,
356.967,2.050e-27,2.050e-27,
356.972,2.210e-26,2.210e-26,
356.977,2.291e-25,2.291e-25,
356.982,2.284e-24,2.284e-24,
356.987,2.189e-23,2.189e-23,
356.992,2.017e-22,2.017e-22,
356.997,1.788e-21,1.788e-21,
357.002,1.524e-20,1.524e-20,
357.007,1.249e-19,1.249e-19,
357.012,9.839e-19,9.839e-19,
357.017,7.456e-18,7.456e-18,
357.022,5.432e-17,5.432e-17,
357.027,3.806e-16,3.806e-16,
357.032,2.564e-15,2.564e-15,
357.037,1.661e-14,1.661e-14,
357.042,1.035e-13,1.035e-13,
357.047,6.199e-13,6.199e-13,
357.052,3.571e-12,3.571e-12,
357.057,1.978e-11,1.978e-11,
357.062,1.053e-10,1.053e-10,
357.067,5.395e-10,5.395e-10,
357.072,2.657e-9,2.657e-9,
357.077,1.258e-8,1.258e-8,
357.082,5.730e-8,5.730e-8,
357.087,2.509e-7,2.509e-7,
357.093,1.402e-6,1.402e-6,
357.098,5.631e-6,5.631e-6,
357.103,2.175e-5,2.175e-5,
357.108,8.079e-5,8.079e-5,
357.113,2.886e-4,2.886e-4,
357.118,9.912e-4,9.912e-4,
357.123,3.273e-3,3.273e-3,
357.128,1.040e-2,1.040e-2,
357.133,3.175e-2,3.175e-2,
357.138,9.322e-2,9.322e-2,
357.143,2.632e-1,2.632e-1,
357.148,7.147e-1,7.147e-1,
357.153,1.866e+0,1.866e+0,
357.158,4.685e+0,4.685e+0,
357.163,1.131e+1,1.131e+1,
357.168,2.626e+1,2.626e+1,
357.173,5.861e+1,5.861e+1,
357.178,1.258e+2,1.258e+2,
357.183,2.597e+2,2.597e+2,
357.188,5.154e+2,5.154e+2,
357.193,9.837e+2,9.837e+2,
357.198,1.805e+3,1.805e+3,
357.203,3.186e+3,3.186e+3,
357.208,5.406e+3,5.406e+3,
357.213,8.821e+3,8.821e+3,
357.218,1.384e+4,1.384e+4,
357.223,2.088e+4,2.088e+4,
357.228,3.030e+4,3.030e+4,
357.233,4.227e+4,4.227e+4,
357.238,5.670e+4,5.670e+4,
357.243,7.314e+4,7.314e+4,
357.248,9.073e+4,9.073e+4,
357.253,1.082e+5,1.082e+5,
357.258,1.241e+5,1.241e+5,
357.263,1.369e+5,1.369e+5,
357.268,1.452e+5,1.452e+5,
357.273,1.480e+5,1.480e+5,
357.278,1.452e+5,1.452e+5,
357.283,1.369e+5,1.369e+5,
357.288,1.241e+5,1.241e+5,
357.293,1.082e+5,1.082e+5,
357.298,9.073e+4,9.073e+4,
357.303,7.314e+4,7.314e+4,
357.308,5.670e+4,5.670e+4,
357.313,4.227e+4,4.227e+4,
357.318,3.030e+4,3.030e+4,
357.323,2.088e+4,2.088e+4,
357.328,1.384e+4,1.384e+4,
357.333,8.821e+3,8.821e+3,
357.338,5.406e+3,5.406e+3,
357.343,3.186e+3,3.186e+3,
357.348,1.805e+3,1.805e+3,
357.353,9.837e+2,9.837e+2,
357.358,5.154e+2,5.154e+2,
357.363,2.597e+2,2.597e+2,
357.368,1.258e+2,1.258e+2,
357.373,5.861e+1,5.861e+1,
357.378,2.626e+1,2.626e+1,
357.383,1.131e+1,1.131e+1,
357.388,4.685e+0,4.685e+0,
357.393,1.866e+0,1.866e+0,
357.399,5.872e-1,5.872e-1,
357.404,2.146e-1,2.146e-1,
357.409,7.539e-2,7.539e-2,
357.414,2.547e-2,2.547e-2,
357.419,8.277e-3,8.277e-3,
357.424,2.586e-3,2.586e-3,
357.429,7.768e-4,7.768e-4,
357.434,2.244e-4,2.244e-4,
357.439,6.234e-5,6.234e-5,
357.444,1.665e-5,1.665e-5,
357.449,4.277e-6,4.277e-6,
357.454,1.056e-6,1.056e-6,
357.459,2.509e-7,2.509e-7,
357.464,5.730e-8,5.730e-8,
357.469,1.258e-8,1.258e-8,
357.474,2.657e-9,2.657e-9,
357.479,5.395e-10,5.395e-10,
357.484,1.053e-10,1.053e-10,
357.489,1.978e-11,1.978e-11,
357.494,3.571e-12,3.571e-12,
357.499,6.199e-13,6.199e-13,
357.504,1.035e-13,1.035e-13,
357.509,1.661e-14,1.661e-14,
357.514,2.564e-15,2.564e-15,
357.519,3.806e-16,3.806e-16,
357.524,5.432e-17,5.432e-17,
357.529,7.456e-18,7.456e-18,
357.534,9.839e-19,9.839e-19,
357.539,1.249e-19,1.249e-19,
357.544,1.524e-20,1.524e-20,
357.549,1.788e-21,1.788e-21,
357.554,2.017e-22,2.017e-22,
357.559,2.189e-23,2.189e-23,
357.564,2.284e-24,2.284e-24,
357.569,2.291e-25,2.291e-25,
357.574,2.210e-26,2.210e-26,
357.579,2.050e-27,2.050e-27,
357.584,1.829e-28,1.829e-28,
363.639,2.533e-28,2.533e-28,
363.644,2.742e-27,2.742e-27,
363.649,2.858e-26,2.858e-26,
363.654,2.869e-25,2.869e-25,
363.659,2.773e-24,2.773e-24,
363.664,2.581e-23,2.581e-23,
363.669,2.313e-22,2.313e-22,
363.674,1.996e-21,1.996e-21,
363.679,1.659e-20,1.659e-20,
363.684,1.328e-19,1.328e-19,
363.689,1.023e-18,1.023e-18,
363.694,7.593e-18,7.593e-18,
363.699,5.426e-17,5.426e-17,
363.704,3.734e-16,3.734e-16,
363.709,2.474e-15,2.474e-15,
363.714,1.579e-14,1.579e-14,
363.719,9.701e-14,9.701e-14,
363.724,5.740e-13,5.740e-13,
363.729,3.271e-12,3.271e-12,
363.734,1.794e-11,1.794e-11,
363.739,9.481e-11,9.481e-11,
363.744,4.824e-10,4.824e-10,
363.749,2.363e-9,2.363e-9,
363.754,1.115e-8,1.115e-8,
363.759,5.066e-8,5.066e-8,
363.764,2.216e-7,2.216e-7,
363.769,9.336e-7,9.336e-7,
363.774,3.787e-6,3.787e-6,
363.779,1.480e-5,1.480e-5,
363.784,5.566e-5,5.566e-5,
363.789,2.016e-4,2.016e-4,
363.794,7.033e-4,7.033e-4,
363.799,2.362e-3,2.362e-3,
363.804,7.641e-3,7.641e-3,
363.809,2.380e-2,2.380e-2,
363.814,7.138e-2,7.138e-2,
363.819,2.062e-1,2.062e-1,
363.825,7.004e-1,7.004e-1,
363.83,1.862e+0,1.862e+0,
363.835,4.766e+0,4.766e+0,
363.84,1.175e+1,1.175e+1,
363.845,2.788e+1,2.788e+1,
363.85,6.373e+1,6.373e+1,
363.855,1.403e+2,1.403e+2,
363.86,2.973e+2,2.973e+2,
363.865,6.067e+2,6.067e+2,
363.87,1.192e+3,1.192e+3,
363.875,2.257e+3,2.257e+3,
363.88,4.112e+3,4.112e+3,
363.885,7.217e+3,7.217e+3,
363.89,1.220e+4,1.220e+4,
363.895,1.985e+4,1.985e+4,
363.9,3.110e+4,3.110e+4,
363.905,4.693e+4,4.693e+4,
363.91,6.819e+4,6.819e+4,
363.915,9.541e+4,9.541e+4,
363.92,1.286e+5,1.286e+5,
363.925,1.668e+5,1.668e+5,
363.93,2.084e+5,2.084e+5,
363.935,2.508e+5,2.508e+5,
363.94,2.905e+5,2.905e+5,
363.945,3.241e+5,3.241e+5,
363.95,3.482e+5,3.482e+5,
363.955,3.603e+5,3.603e+5,
363.96,3.589e+5,3.589e+5,
363.965,3.443e+5,3.443e+5,
363.97,3.181e+5,3.181e+5,
363.975,2.830e+5,2.830e+5,
363.98,2.424e+5,2.424e+5,
363.985,1.999e+5,1.999e+5,
363.99,1.588e+5,1.588e+5,
363.995,1.215e+5,1.215e+5,
364,8.948e+4,8.948e+4,
364.005,6.347e+4,6.347e+4,
364.01,4.335e+4,4.335e+4,
364.015,2.851e+4,2.851e+4,
364.02,1.806e+4,1.806e+4,
364.025,1.101e+4,1.101e+4,
364.03,6.468e+3,6.468e+3,
364.035,3.658e+3,3.658e+3,
364.04,1.992e+3,1.992e+3,
364.045,1.045e+3,1.045e+3,
364.05,5.276e+2,5.276e+2,
364.055,2.566e+2,2.566e+2,
364.06,1.201e+2,1.201e+2,
364.065,5.418e+1,5.418e+1,
364.07,2.353e+1,2.353e+1,
364.075,9.837e+0,9.837e+0,
364.08,3.961e+0,3.961e+0,
364.085,1.536e+0,1.536e+0,
364.09,5.734e-1,5.734e-1,
364.095,2.062e-1,2.062e-1,
364.1,7.138e-2,7.138e-2,
364.105,2.380e-2,2.380e-2,
364.11,7.641e-3,7.641e-3,
364.115,2.362e-3,2.362e-3,
364.12,7.033e-4,7.033e-4,
364.125,2.016e-4,2.016e-4,
364.131,4.283e-5,4.283e-5,
364.136,1.130e-5,1.130e-5,
364.141,2.871e-6,2.871e-6,
364.146,7.024e-7,7.024e-7,
364.151,1.655e-7,1.655e-7,
364.156,3.754e-8,3.754e-8,
364.161,8.201e-9,8.201e-9,
364.166,1.725e-9,1.725e-9,
364.171,3.495e-10,3.495e-10,
364.176,6.817e-11,6.817e-11,
364.181,1.281e-11,1.281e-11,
364.186,2.316e-12,2.316e-12,
364.191,4.035e-13,4.035e-13,
364.196,6.767e-14,6.767e-14,
364.201,1.093e-14,1.093e-14,
364.206,1.700e-15,1.700e-15,
364.211,2.546e-16,2.546e-16,
364.216,3.673e-17,3.673e-17,
364.221,5.101e-18,5.101e-18,
364.226,6.821e-19,6.821e-19,
364.231,8.785e-20,8.785e-20,
364.236,1.089e-20,1.089e-20,
364.241,1.301e-21,1.301e-21,
364.246,1.496e-22,1.496e-22,
364.251,1.657e-23,1.657e-23,
364.256,1.767e-24,1.767e-24,
364.261,1.814e-25,1.814e-25,
364.266,1.794e-26,1.794e-26,
364.271,1.708e-27,1.708e-27,
366.829,5.130e-29,5.130e-29,
366.834,5.408e-28,5.408e-28,
366.839,5.493e-27,5.493e-27,
366.844,5.377e-26,5.377e-26,
366.849,5.072e-25,5.072e-25,
366.854,4.609e-24,4.609e-24,
366.859,4.037e-23,4.037e-23,
366.864,3.406e-22,3.406e-22,
366.869,2.770e-21,2.770e-21,
366.874,2.170e-20,2.170e-20,
366.879,1.638e-19,1.638e-19,
366.885,1.765e-18,1.765e-18,
366.89,1.228e-17,1.228e-17,
366.895,8.234e-17,8.234e-17,
366.9,5.320e-16,5.320e-16,
366.905,3.312e-15,3.312e-15,
366.91,1.987e-14,1.987e-14,
366.915,1.148e-13,1.148e-13,
366.92,6.396e-13,6.396e-13,
366.925,3.433e-12,3.433e-12,
366.93,1.775e-11,1.775e-11,
366.935,8.847e-11,8.847e-11,
366.94,4.248e-10,4.248e-10,
366.945,1.966e-9,1.966e-9,
366.95,8.764e-9,8.764e-9,
366.955,3.765e-8,3.765e-8,
366.96,1.559e-7,1.559e-7,
366.965,6.218e-7,6.218e-7,
366.97,2.390e-6,2.390e-6,
