Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,,
K I ,774.246, a , ,34 448.98     , 5/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K I ,779.517, a* , ,34 359.36     , 5/2 ,,,,,,,,,,,,,,
K I ,779.517, a* , ,34 359.36     , 7/2 ,,,,,,,,,,,,,,
K I ,779.656, a , ,34 359.36     , 5/2 ,,,,,,,,,,,,,,
K I ,786.447, a* , ,34 246.37     , 5/2 ,,,,,,,,,,,,,,
K I ,786.447, a* , ,34 246.37     , 7/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K I , ,  ,1.30E+04,33 737.3284   , 3/2 ,,,,,,,,,,,,,,
K I , ,  ,1.30E+04,33 736.4979   , 1/2 ,,,,,,,,,,,,,,
K I ,786.587, a , ,34 246.37     , 5/2 ,,,,,,,,,,,,,,
K I ,795.537,5, ,34 101.36     , 7/2 ,,,,,,,,,,,,,,
K I ,795.683,4, ,34 101.36     , 5/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K I , ,  ,2.00E+04,33 972.8148   , 3/2 ,,,,,,,,,,,,,,
K I , ,  ,2.30E+03,33 972.8148   , 3/2 ,,,,,,,,,,,,,,
K I , ,  ,2.30E+04,33 972.2064   , 1/2 ,,,,,,,,,,,,,,
K I , ,  ,1.60E+04,33 411.3986   , 3/2 ,,,,,,,,,,,,,,
K I , ,  ,1.46E+04,33 410.2306   , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K I ,807.811,7, ,33 910.42     , 7/2 ,,,,,,,,,,,,,,
K I ,807.962,6, ,33 910.42     , 5/2 ,,,,,,,,,,,,,,
K I , ,  ,2.80E+04,33 737.3284   , 3/2 ,,,,,,,,,,,,,,
K I , ,  ,3.10E+03,33 737.3284   , 3/2 ,,,,,,,,,,,,,,
K I , ,  ,3.10E+04,33 736.4979   , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K I ,825.018, 9bl* ,9.60E+05,33 652.32     , 7/2 ,,,,,,,,,,,,,,
K I ,825.018, 9bl* ,6.40E+04,33 652.32     , 5/2 ,,,,,,,,,,,,,,
K I ,825.174,8,8.90E+05,33 652.32     , 5/2 ,,,,,,,,,,,,,,
K I ,839.022,3,2.71E+04,32 941.9262   , 3/2 ,,,,,,,,,,,,,,
K I , , m ,2.47E+04,32 940.2030   , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K I ,841.754,2,4.81E+04,33 411.3986   , 3/2 ,,,,,,,,,,,,,,
K I , ,  ,5.29E+03,33 411.3986   , 3/2 ,,,,,,,,,,,,,,
K I ,842,1,5.25E+04,33 410.2306   , 1/2 ,,,,,,,,,,,,,,
K I ,850.345, 11bl* ,1.32E+06,33 291.40     , 7/2 ,,,,,,,,,,,,,,
K I ,850.345, 11bl* ,8.80E+04,33 291.40     , 5/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K I ,850.511,10,1.23E+06,33 291.40     , 5/2 ,,,,,,,,,,,,,,
K I ,876.396,4,7.13E+04,32 941.9262   , 3/2 ,,,,,,,,,,,,,,
K I , ,  ,7.97E+03,32 941.9262   , 3/2 ,,,,,,,,,,,,,,
K I ,876.705,3,7.81E+04,32 940.2030   , 1/2 ,,,,,,,,,,,,,,
K I ,890.219, 13bl* ,2.05E+06,32 764.80     , 7/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K I ,890.219, 13bl* ,1.37E+05,32 764.80     , 5/2 ,,,,,,,,,,,,,,
K I ,890.402,12,1.91E+06,32 764.80     , 5/2 ,,,,,,,,,,,,,,
K I ,892.331,5,5.23E+04,32 230.11     , 3/2 ,,,,,,,,,,,,,,
K I ,892.544,4,4.77E+04,32 227.44     , 1/2 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
