Ion, Observed , Rel. , Aki, Ek ,J
Fe III ,230.3204,630,1.70E+06,136 796.90   ,3
 , , , , , 
Fe II ,230.3352,5000,1.20E+07,106 866.770  , 5/2 
Fe I ,230.34242,1350,7.33E+06,44 378.342  ,1
Fe I ,230.35805,2190,4.83E+06,44 285.454  ,2
Fe III ,230.3725,660, ,179 579.99   ,5
Fe II ,230.38432,3100,3.00E+07,92 899.306  , 5/2 
 , , , , , 
Fe II ,230.40649,2200,2.60E+07,104 481.606  , 7/2 
Fe II ,230.41684,800,4.80E+06,105 630.764  , 5/2 
Fe II ,230.4224,220,8.00E+06,104 192.487  , 9/2 
Fe II ,230.42844,700,9.00E+05,105 449.557  , 7/2 
Fe II ,230.4398, 190d? , ,106 654.923  , 5/2 
 , , , , , 
Fe I ,230.453, 0d? , ,51 365.311  ,3
Fe II ,230.4532," 190d,bl(Fe I)? ", ,109 901.523  , 7/2 
Fe II ,230.47348, 21000bl(Fe I) ,1.10E+07,66 012.775  , 9/2 
Fe I ,230.4735, 331bl , ,51 361.391  ,3
Fe II ,230.49047,13000,6.80E+07,88 157.176  , 3/2 
 , , , , , 
Fe II ,230.51954,1400,2.20E+07,107 407.818  , 5/2 
Fe II ,230.522,700, ,105 449.557  , 7/2 
Fe II ,230.5234, 200d? ,4.60E+06,105 524.482  , 9/2 
Fe II ,230.5502, 340d? , ,86 599.791  , 5/2 
Fe II ,230.55905,700, ,106 632.487  , 3/2 
 , , , , , 
Fe II ,230.5683,1500, ,62 244.515  , 3/2 
Fe II ,230.584, 500d? , ,66 672.336  , 7/2 
Fe II ,230.59679,3000,9.00E+07,92 453.365  , 1/2 
Fe II ,230.60831,1600,7.40E+06,104 507.058  , 5/2 
Fe I ,230.61738,34, ,51 076.628  ,4
 , , , , , 
Fe II ,230.63679, 4000bl(Fe II)* , ,85 679.755  , 5/2 
Fe II ,230.63679, 4000bl(Fe II)* ,2.20E+07,93 487.653  , 7/2 
Fe I ,230.63821,78, ,55 905.536  ,4
Fe II ,230.64501,2300,4.90E+07,107 430.742  , 3/2 
Fe III ,230.6572,1300, ,117 068.82   ,3
 , , , , , 
Fe II ,230.666904, 15000bl(Fe II)* ,1.90E+08,103 002.660  , 5/2 
Fe II ,230.666904, 15000bl(Fe II)* ,3.70E+06,104 380.941  , 7/2 
Fe II ,230.67326,400,1.10E+07,110 611.830  , 5/2 
Fe II ,230.68554,2100, ,110 609.548  , 3/2 
Fe II ,230.6996,400,2.80E+06,104 426.460  , 5/2 
 , , , , , 
Fe II ,230.707741,6000,2.20E+07,106 796.679  , 5/2 
Fe II ,230.71933,900,5.00E+06,104 916.552  , 9/2 
Fe II ,230.73129,20000,2.04E+08,93 484.602  , 9/2 
Fe II ,230.7461,120, ,115 367.230  , 5/2 
Fe II ,230.77203,2900,3.50E+07,93 395.407  , 5/2 
 , , , , , 
Fe II ,230.79184,1800,1.30E+07,105 398.876  , 11/2 
Fe II ,230.7969, 500d? , ,69 102.427  , 5/2 
Fe II ,230.80182,1900,2.30E+07,105 379.425  , 5/2 
Fe II ,230.8084, 160d? , ,109 901.523  , 7/2 
Fe II ,230.82953,800,2.22E+08,105 460.233  , 3/2 
 , , , , , 
Fe II ,230.87219,700,3.00E+06,104 107.939  , 7/2 
Fe II ,230.87664,13000,1.69E+08,93 487.653  , 7/2 
Fe II ,230.88649,1300,6.10E+06,105 449.557  , 7/2 
Fe II ,230.8931,2300,2.50E+07,93 484.602  , 9/2 
Fe I ,230.89988,1950,1.02E+07,44 183.628  ,2
 , , , , , 
Fe II ,230.90475,1200,9.00E+06,104 807.215  , 9/2 
Fe II ,230.9093, 290d? , ,98 196.137  , 3/2 
Fe II ,230.92172,600, ,105 449.557  , 7/2 
Fe II ,230.9367, 200d? , ,105 414.186  , 5/2 
Fe II ,230.94226,900,9.00E+06,104 380.941  , 7/2 
 , , , , , 
Fe II ,230.94437,4000,3.00E+07,106 846.649  , 3/2 
Fe II ,230.94694,2300,6.30E+07,104 174.285  , 11/2 
Fe II ,230.9553,700,1.10E+07,108 648.712  , 13/2 
Fe III ,230.958,1100, ,136 796.90   ,3
Fe II ,230.97105,700,6.20E+06,104 119.740  , 15/2 
 , , , , , 
Fe II ,230.9909, 350d , ,85 679.755  , 5/2 
Fe II ,230.9969, 140d? , ,112 927.781  , 3/2 
Fe II ,231.01657,5000,1.24E+08,105 518.142  , 3/2 
Fe II ,231.02596,3100,8.00E+07,108 105.938  , 3/2 
Fe II ,231.03789,700,7.50E+06,104 426.460  , 5/2 
 , , , , , 
Fe II ,231.04746,700,9.00E+06,104 993.879  , 7/2 
Fe II ,231.07532,800,3.70E+06,105 414.186  , 5/2 
Fe III ,231.0807,620, ,125 673.05   ,2
Fe II ,231.1019," 400d,bl(Fe II)?* ", ,92 358.625  , 3/2 
Fe II ,231.1019," 400d,bl(Fe II)?* ", ,103 698.515  , 5/2 
 , , , , , 
Fe II ,231.1068, 500d? , ,64 087.408  , 5/2 
Fe II ,231.12244, 10000bl(Fe II)* ,1.30E+07,105 379.425  , 5/2 
Fe II ,231.12244, 10000bl(Fe II)* ,1.20E+07,69 606.567  , 7/2 
Fe II ,231.12891, 14000bl(Fe II)* ,1.51E+08,93 328.553  , 3/2 
Fe II ,231.12891, 14000bl(Fe II)* ,1.56E+08,93 395.407  , 5/2 
 , , , , , 
Fe II ,231.1413,700, ,64 831.951  , 9/2 
Fe III ,231.1581,890, ,116 975.21   ,2
Fe II ,231.1607, 1300bl(Co) , ,69 302.086  , 3/2 
Fe II ,231.1838,600, ,74 606.864  , 5/2 
Fe II ,231.19227,600,8.00E+06,105 398.876  , 11/2 
 , , , , , 
Fe II ,231.19525,800,7.40E+06,104 572.924  , 3/2 
Fe II ,231.20249,20000,1.50E+07,62 125.604  , 3/2 
Fe II ,231.21922,1200,2.80E+07,104 192.487  , 9/2 
Fe II ,231.22255,2300,9.30E+05,64 040.891  , 7/2 
Fe II ,231.2315,3400,2.40E+08,105 477.924  , 1/2 
 , , , , , 
Fe II ,231.2399,5000,1.80E+07,87 985.667  , 5/2 
Fe II ,231.26113,5000,1.18E+08,105 379.425  , 5/2 
Fe II ,231.26528,2500,5.20E+07,104 064.664  , 13/2 
Fe II ,231.27374,600,7.20E+06,105 291.014  , 7/2 
Fe VI , ,  ,4.80E-03,71 707.6    , 5/2 
 , , , , , 
Fe VI , ,  ,6.20E-01,71 707.6    , 5/2 
Fe III , ,  ,1.20E+01,73 936.34   ,0
Fe I ,231.31039,2340,1.18E+07,43 922.668  ,3
Fe II ,231.32615,3400,4.10E+07,105 460.233  , 3/2 
Fe II ,231.33009,4000,9.00E+06,73 603.537  , 11/2 
 , , , , , 
Fe II ,231.33638,6000,2.90E+07,92 314.764  , 1/2 
Fe I ,231.35639,580, ,50 586.878  ,3
Fe II ,231.39403,4000,1.05E+08,104 192.487  , 9/2 
Fe II ,231.39746,4000,3.10E+06,66 012.775  , 9/2 
Fe II ,231.40563,7000,2.20E+07,87 985.667  , 5/2 
 , , , , , 
Fe II ,231.45426,1400,1.70E+07,105 317.400  , 3/2 
Fe II ,231.46134,2400,2.30E+07,104 916.552  , 9/2 
Fe II ,231.4875, 500d? ,2.10E+07,93 328.553  , 3/2 
Fe III ,231.53, 1600bl(Fe II) , ,125 673.05   ,2
Fe II ,231.54808,3200,1.10E+07,104 507.058  , 5/2 
 , , , , , 
Fe II ,231.553529,8000,6.60E+07,105 238.815  , 5/2 
Fe II ,231.5616,400, ,106 636.942  , 1/2 
Fe III ,231.57, 11000bl(Fe II) , ,116 898.44   ,2
Fe II ,231.572926,12000,2.40E+08,105 414.186  , 5/2 
Fe II ,231.57803,1800,4.60E+07,105 234.246  , 5/2 
 , , , , , 
Fe II ,231.58248,1500,5.10E+07,104 209.618  , 5/2 
Fe II ,231.5858, 230d? , ,106 632.487  , 3/2 
Fe II ,231.59339,800,2.90E+07,105 317.400  , 3/2 
Fe II ,231.60628,1000,9.00E+06,104 120.244  , 5/2 
Fe II ,231.60901,1100,7.60E+06,105 288.559  , 3/2 
 , , , , , 
Fe II ,231.65122,4000,7.70E+07,105 220.610  , 7/2 
Fe II ,231.67251,500,3.90E+06,104 107.939  , 7/2 
Fe II ,231.691134,8000,1.10E+08,104 189.382  , 3/2 
Fe II ,231.70032,1100,2.40E+07,103 771.342  , 9/2 
Fe II ,231.70238,4000,1.80E+07,105 211.079  , 9/2 
 , , , , , 
Fe II ,231.70604,6000,6.50E+07,88 189.066  , 1/2 
Fe II ,231.719,600,3.60E+06,104 868.522  , 9/2 
Fe II ,231.735121,14000,2.34E+08,105 291.014  , 7/2 
Fe II ,231.738036, 14000bl(Fe II)* ,3.10E+06,66 078.272  , 5/2 
Fe II ,231.738036, 14000bl(Fe II)* ,9.00E+06,102 802.353  , 5/2 
 , , , , , 
Fe II ,231.7452, 200d? , ,105 220.610  , 7/2 
Fe II ,231.75956,5000,5.10E+07,105 379.425  , 5/2 
Fe II ,231.7669,600, ,74 498.093  , 3/2 
Fe I ,231.78978,71, ,56 097.836  ,3
Fe II ,231.7945, 800d? , ,106 593.657  , 5/2 
 , , , , , 
Fe II ,231.7965,2700,2.20E+06,85 462.907  , 7/2 
Fe III ,231.8103,1500, ,116 975.21   ,2
Fe II ,231.81505,12000,6.40E+07,92 225.549  , 3/2 
Fe I ,231.81867,50, ,50 052.194  ,5
Fe III , ,  ,6.70E+00,73 849.35   ,1
 , , , , , 
Fe II ,231.83184,4000,7.00E+07,107 407.818  , 5/2 
Fe II ,231.8343,6000,5.60E+06,65 931.358  , 7/2 
Fe II ,231.8427, 500bl(Fe II)* ,1.90E+06,79 245.926  , 3/2 
Fe II ,231.8427, 500bl(Fe II)* , ,105 291.014  , 7/2 
Fe II ,231.85367,13000,8.00E+06,64 425.405  , 5/2 
 , , , , , 
Fe II ,231.8556, : ,2.80E+06,79 243.462  , 3/2 
Fe II ,231.86014,1000,1.90E+07,104 209.618  , 5/2 
Fe II ,231.8643,500,2.60E+06,92 216.391  , 3/2 
Fe II ,231.87,700,1.70E+07,103 921.637  , 7/2 
Fe II ,231.90076, 1200bl(Fe II)* ,1.90E+06,108 804.711  , 7/2 
 , , , , , 
Fe II ,231.90076, 1200bl(Fe II)* ,4.40E+07,105 234.246  , 5/2 
Fe II ,231.922,800,3.20E+06,105 230.291  , 3/2 
Fe III ,231.9222,12000,1.20E+08,120 180.06   ,0
Fe II ,231.94561,1800,4.10E+07,108 463.918  , 13/2 
Fe III ,231.9468,6900,8.00E+06,136 612.84   ,4
 , , , , , 
Fe II ,231.96896,3500,9.00E+07,104 189.382  , 3/2 
Fe II ,231.9765,400,1.70E+06,104 622.308  , 13/2 
Fe II ,231.98118,2100,4.10E+07,104 426.460  , 5/2 
Fe II ,231.9916,600,5.80E+06,105 414.186  , 5/2 
Fe II ,232.003458,15000,1.42E+08,105 155.093  , 9/2 
 , , , , , 
Fe II ,232.011, 1500d? , ,61 974.931  , 3/2 
Fe II ,232.01593,1000,6.80E+07,105 238.815  , 5/2 
Fe I ,232.03576,3090,1.41E+07,43 499.505  ,4
Fe II ,232.040465,7000,2.70E+07,105 234.246  , 5/2 
Fe VI , ,  ,3.10E-01,71 707.6    , 5/2 
 , , , , , 
Fe VI , ,  ,1.50E+00,71 707.6    , 5/2 
Fe II ,232.06164,800, ,105 127.773  , 5/2 
Fe II ,232.06954,3200,1.30E+07,88 157.176  , 3/2 
Fe XIII , ,  ,2.00E+01,330 279      ,2
Fe XIII , ,  ,5.50E-01,330 279      ,2
 , , , , , 
Fe II ,232.0933,1200,2.10E+07,105 317.400  , 3/2 
Fe XI , ,  ,8.30E+00,80 814.7    ,0
Fe II ,232.1052,1300, ,63 876.325  , 11/2 
Fe II ,232.114,400,1.20E+06,105 220.610  , 7/2 
Fe II ,232.1163,320,2.80E+06,108 648.712  , 13/2 
 , , , , , 
Fe II ,232.124284,10000,6.80E+07,104 023.921  , 5/2 
Fe II ,232.12913,1200,2.20E+07,104 107.939  , 7/2 
Fe II ,232.14941,2700,3.70E+07,105 220.610  , 7/2 
Fe II ,232.16895,14000,1.00E+07,65 696.053  , 9/2 
Fe III ,232.171, 14000bl(Fe II) , ,135 582.12   ,6
 , , , , , 
Fe II ,232.175573,25000,1.55E+08,103 683.078  , 9/2 
Fe II ,232.2222,500, ,103 936.602  , 11/2 
Fe II ,232.2269,1100,2.70E+07,106 924.441  , 9/2 
Fe II ,232.23298,5000,6.80E+06,66 078.272  , 5/2 
Fe II ,232.24885,1200,1.10E+07,105 288.559  , 3/2 
 , , , , , 
Fe II ,232.26626,1000,1.90E+07,103 878.370  , 15/2 
Fe II ,232.27124,400,7.20E+06,105 123.005  , 7/2 
Fe II ,232.2729,190, ,109 652.241  , 5/2 
Fe II ,232.294098,11000,3.22E+08,104 192.487  , 9/2 
Fe II ,232.32703,1000,3.00E+07,103 986.338  , 7/2 
 , , , , , 
Fe II ,232.34217, 1000bl(Fe I) ,7.20E+06,103 983.496  , 7/2 
Fe I ,232.34219, 22bl* , ,43 442.705  ,4
Fe I ,232.34219, 22bl* , ,62 377.66   ,4
Fe II ,232.35535,600,1.20E+07,108 387.934  , 11/2 
Fe I ,232.3623, 0d? , ,43 022.985  ,4
 , , , , , 
Fe II ,232.3672, 1500bl(Fe II)? , ,64 834.069  , 3/2 
Fe II ,232.37152,400,6.10E+06,108 577.597  , 9/2 
Fe III ,232.3788,1500,8.00E+06,148 915.22   ,1
Fe II ,232.40818,1800,2.80E+07,104 107.939  , 7/2 
Fe III , ,  ,4.80E+00,73 728.05   ,2
 , , , , , 
Fe III ,232.436, 8700bl(Fe II) , ,148 915.22   ,1
Fe II ,232.45792,2100,4.00E+07,107 430.742  , 3/2 
Fe II ,232.47506,600,3.60E+06,105 127.773  , 5/2 
Fe II ,232.48159,4000,5.40E+07,104 042.692  , 5/2 
Fe II ,232.50336, 5000bl(Fe II)* ,2.70E+07,105 155.093  , 9/2 
 , , , , , 
Fe II ,232.50336, 5000bl(Fe II)* ,1.47E+08,103 986.338  , 7/2 
Fe II ,232.5099,600,3.30E+06,105 288.874  , 13/2 
Fe II ,232.51749,1700, ,105 238.815  , 5/2 
Fe II ,232.5194,600,1.00E+07,103 983.496  , 7/2 
Fe II ,232.5246, 1700: ,8.00E+06,79 245.926  , 3/2 
 , , , , , 
Fe II ,232.52945,6000,1.33E+08,103 617.577  , 13/2 
Fe I ,232.5319, (6)bl , ,42 991.697  ,5
Fe II ,232.53809,2600,1.20E+07,79 243.462  , 3/2 
Fe II ,232.54247,600,1.60E+07,105 234.246  , 5/2 
Fe II ,232.56369,1900,1.30E+07,105 230.291  , 3/2 
 , , , , , 
Fe II ,232.571468,13000,3.72E+08,103 973.782  , 11/2 
Fe II ,232.57606,1500,4.00E+06,103 608.921  , 9/2 
Fe VI , ,  ,1.50E-01,71 707.6    , 5/2 
Fe II ,232.58072,7000,8.00E+07,88 189.066  , 1/2 
Fe II ,232.58319,1300,2.80E+07,104 023.921  , 5/2 
 , , , , , 
Fe II ,232.61545,1600,3.60E+06,105 127.773  , 5/2 
Fe II ,232.61855,1100,1.40E+07,106 924.441  , 9/2 
Fe II ,232.622105,12000,3.12E+08,103 600.428  , 11/2 
Fe II ,232.63607,7000,1.16E+08,93 129.879  , 7/2 
Fe II ,232.64125,900,1.10E+07,105 123.005  , 7/2 
 , , , , , 
Fe II ,232.65469,1600,2.20E+06,104 481.606  , 7/2 
Fe II ,232.6607, 250d? , ,104 315.373  , 13/2 
Fe II ,232.676916,9000,2.14E+08,103 921.637  , 7/2 
Fe II ,232.681043,11000,2.64E+08,103 771.342  , 9/2 
Fe III ,232.6949,15000,1.00E+07,132 659.48   ,4
 , , , , , 
Fe II ,232.7006, 200d? , ,105 086.265  , 1/2 
Fe II ,232.7239,700, ,105 127.773  , 5/2 
Fe II ,232.739551,260000,6.60E+07,43 620.9842 , 3/2 
Fe II ,232.74891,1200,3.40E+07,106 900.373  , 7/2 
Fe II ,232.7538,5000,1.00E+07,88 157.176  , 3/2 
 , , , , , 
Fe II ,232.76132,1300,9.30E+07,104 042.692  , 5/2 
Fe III ,232.7669,1100,2.00E+06,113 677.29   ,5
Fe II ,232.76987,3100,4.70E+06,85 184.773  , 9/2 
Fe II ,232.787515, 21000bl(Fe II)* ,4.30E+08,103 832.057  , 13/2 
Fe II ,232.787515, 21000bl(Fe II)* ,1.08E+08,103 751.672  , 11/2 
 , , , , , 
Fe II ,232.79608,8000,5.90E+06,65 580.065  , 11/2 
Fe II ,232.8021,1600,8.00E+05,103 983.496  , 7/2 
Fe II ,232.80349,1500,4.30E+06,87 985.667  , 5/2 
Fe II ,232.85399,2300,5.60E+07,103 921.637  , 7/2 
Fe II ,232.86308,1600,1.60E+07,104 023.921  , 5/2 
 , , , , , 
Fe II ,232.874819,6000,1.24E+08,104 993.879  , 7/2 
Fe I ,232.8855,4, ,50 303.225  ,4
Fe XIII , ,  ,7.30E+01,330 279      ,2
Fe XIII , ,  ,1.60E+00,330 279      ,2
Fe II ,232.93382,2800,9.70E+07,103 874.261  , 9/2 
 , , , , , 
Fe II ,232.93618,8000,1.31E+08,93 129.879  , 7/2 
Fe II ,232.95209,2000,6.40E+07,103 751.672  , 11/2 
Fe I ,232.96404,93, ,42 911.917  ,5
Fe II ,232.97032,1500,2.30E+07,104 993.879  , 7/2 
Fe III ,232.9731,520, ,113 635.56   ,4
 , , , , , 
Fe I ,232.9742,0, ,43 325.964  ,3
Fe II ,232.9885," 210d,bl(Fe II)* ", ,105 065.627  , 7/2 
Fe II ,232.9885," 210d,bl(Fe II)* ",4.50E+06,104 000.810  , 7/2 
Fe III ,232.9906, 10000* ,2.20E+07,119 982.34   ,1
Fe III ,232.9906, 10000* , ,113 635.56   ,4
 , , , , , 
Fe II ,232.999216,14000,2.70E+08,105 063.561  , 11/2 
Fe II ,233.011,900,7.00E+05,70 523.694  , 7/2 
Fe II ,233.0326,500,7.00E+06,88 189.066  , 1/2 
Fe II ,233.05398,1500,2.10E+06,84 863.382  , 11/2 
Fe II ,233.06703,600,3.80E+07,103 986.338  , 7/2 
 , , , , , 
Fe II ,233.08255,800, ,103 983.496  , 7/2 
Fe II ,233.09046,2000,1.00E+07,105 211.079  , 9/2 
Fe II ,233.10568,5000,1.77E+08,104 042.692  , 5/2 
Fe II ,233.111215,7000,2.51E+08,103 874.261  , 9/2 
Fe II ,233.13081,270000,3.17E+07,44 753.8179 , 7/2 
 , , , , , 
Fe III ,233.154, 800* ,1.00E+06,132 785.41   ,4
Fe III ,233.154, 800* ,3.10E+06,113 605.74   ,3
Fe II ,233.15447,4000,5.60E+07,104 209.618  , 5/2 
Fe II ,233.197443,20000,4.20E+08,103 706.526  , 15/2 
Fe II ,233.2075,1100,3.50E+07,104 023.921  , 5/2 
 , , , , , 
Fe II ,233.224116,8000,2.44E+08,103 751.672  , 11/2 
Fe II ,233.24912,700,1.10E+07,106 900.373  , 7/2 
Fe II ,233.2573, 260d? , ,103 814.552  , 7/2 
Fe II ,233.26446,1400,2.10E+07,104 189.382  , 3/2 
Fe II ,233.279877,600000,1.31E+08,43 238.6066 , 5/2 
 , , , , , 
Fe II ,233.2905,500,5.00E+06,92 358.625  , 3/2 
Fe II ,233.29503,1400,5.10E+06,104 916.552  , 9/2 
Fe II ,233.323203,11000,4.70E+07,106 722.187  , 9/2 
Fe II ,233.34658,2000,4.40E+07,108 537.623  , 7/2 
Fe II ,233.370819,40000,1.52E+08,85 495.366  , 5/2 
 , , , , , 
Fe II ,233.37827,3400,1.01E+08,104 993.879  , 7/2 
Fe II ,233.39092,1400,1.30E+07,104 916.552  , 9/2 
Fe II ,233.39517,3100,4.30E+07,105 155.093  , 9/2 
Fe II ,233.4073,400,7.50E+06,105 775.517  , 7/2 
Fe II ,233.41228,3000,2.74E+08,103 986.338  , 7/2 
 , , , , , 
Fe II ,233.41926, 1300bl(Fe II)* ,6.60E+06,105 518.142  , 3/2 
Fe II ,233.41926, 1300bl(Fe II)* ,2.80E+06,103 921.637  , 7/2 
Fe II ,233.42778,5000,2.90E+06,103 983.496  , 7/2 
Fe II ,233.432089,5000,4.10E+07,106 866.770  , 5/2 
Fe II ,233.43621,1000,1.00E+07,103 814.552  , 7/2 
 , , , , , 
Fe II ,233.44787,4000,3.70E+07,92 329.905  , 5/2 
Fe I ,233.45239,16, ,55 790.696  ,3
Fe II ,233.472734,8000,3.30E+07,106 767.226  , 7/2 
Fe II ,233.4753,1000,1.70E+07,108 181.564  , 11/2 
Fe II ,233.4939,1100,1.70E+07,103 771.342  , 9/2 
 , , , , , 
Fe II ,233.49654,1000, ,104 863.080  , 3/2 
Fe II ,233.502508,4000,2.70E+07,106 900.373  , 7/2 
Fe II ,233.51081,1100,1.80E+07,108 391.507  , 9/2 
Fe II ,233.5238, 200d? , ,108 365.344  , 7/2 
Fe II ,233.54402,800,1.50E+07,105 127.773  , 5/2 
 , , , , , 
Fe II ,233.55683,700, ,104 868.522  , 9/2 
Fe II ,233.5651, 260d? ,2.70E+06,103 608.921  , 9/2 
Fe II ,233.570157,9000,1.73E+08,105 123.005  , 7/2 
Fe II ,233.6005, 400? , ,74 606.864  , 5/2 
Fe II ,233.6276, 200d? , ,104 873.232  , 7/2 
 , , , , , 
Fe II ,233.62982,800,5.30E+07,103 191.968  , 7/2 
Fe II ,233.65293,4000,1.70E+07,104 868.522  , 9/2 
Fe II ,233.6765,700, ,108 712.415  , 5/2 
Fe III ,233.6769, 19000bl(Fe II) , ,132 564.91   ,5
Fe II ,233.682348,10000,2.65E+08,103 617.577  , 13/2 
 , , , , , 
Fe II ,233.68594,2000,1.20E+07,106 866.770  , 5/2 
Fe II ,233.69278,500,4.10E+06,108 709.424  , 7/2 
Fe II ,233.7186,1900,4.90E+06,106 722.187  , 9/2 
Fe II ,233.72516,1100,1.00E+07,104 119.740  , 15/2 
Fe II ,233.73781, 900bl(Fe II)* ,1.30E+07,108 133.473  , 13/2 
 , , , , , 
Fe II ,233.73781, 900bl(Fe II)* , ,103 172.173  , 5/2 
Fe II ,233.74342,4000,4.10E+08,103 804.125  , 1/2 
Fe II ,233.75238,9000,7.30E+07,92 274.123  , 5/2 
Fe II ,233.7655,1300,5.30E+07,103 921.637  , 7/2 
Fe II ,233.7761,5000,1.21E+08,103 600.428  , 11/2 
 , , , , , 
Fe II ,233.7832,240, ,104 736.462  , 1/2 
Fe II ,233.79594,4000,5.20E+07,106 846.649  , 3/2 
Fe II ,233.800624,400000,1.13E+08,43 620.9842 , 3/2 
Fe II ,233.81482,4000,1.50E+07,106 796.679  , 5/2 
Fe II ,233.8204, 1300d? ,2.80E+06,73 143.346  , 7/2 
 , , , , , 
Fe II ,233.85441,3400,5.60E+06,84 863.382  , 11/2 
Fe III ,233.859,1500, ,116 475.56   ,3
Fe II ,233.88374,1300,5.00E+06,105 065.627  , 7/2 
Fe II ,233.89195,1300,2.50E+07,104 807.215  , 9/2 
Fe III ,233.8962,17000,4.20E+07,119 697.69   ,2
 , , , , , 
Fe II ,233.940762,20000,1.20E+07,61 093.406  , 5/2 
Fe I ,233.96452,132, ,62 079.322  ,6
Fe II ,233.96594,800,1.80E+06,104 315.373  , 13/2 
Fe II ,233.97596,2800,1.00E+07,106 767.226  , 7/2 
Fe II ,233.988221,11000,2.25E+08,104 807.215  , 9/2 
 , , , , , 
Fe III ,233.9914,3100, ,139 764.50   ,2
Fe I ,234.0024,1, ,43 137.487  ,3
Fe II ,234.00434,500,8.00E+06,103 814.552  , 7/2 
Fe II ,234.02664,900,8.00E+05,104 064.664  , 13/2 
Fe II ,234.03212,1400, ,103 118.421  , 3/2 
 , , , , , 
Fe II ,234.03553,3400,5.90E+07,78 841.872  , 1/2 
Fe II ,234.046234,21000,1.60E+07,64 425.405  , 5/2 
Fe II ,234.05952,1700,5.80E+07,108 642.450  , 5/2 
Fe II ,234.06336,1000,1.10E+07,104 868.522  , 9/2 
Fe II ,234.0664, 210d? ,2.00E+07,104 042.692  , 5/2 
 , , , , , 
Fe II ,234.06945,1100,4.30E+06,106 796.679  , 5/2 
Fe II ,234.09426,9000,5.30E+06,64 286.354  , 7/2 
Fe II ,234.1033,600,6.00E+05,73 091.630  , 9/2 
Fe II ,234.10629,2600,7.00E+06,104 828.163  , 5/2 
Fe II ,234.11141,1000,1.50E+06,104 873.232  , 7/2 
 , , , , , 
Fe II ,234.117463,20000,3.18E+08,103 102.849  , 7/2 
Fe II ,234.13744,600, ,104 868.522  , 9/2 
Fe II ,234.145227,12000,2.70E+08,108 391.507  , 9/2 
Fe II ,234.1546, 210d? , ,103 683.078  , 9/2 
Fe I ,234.1595,1, ,43 108.917  ,4
 , , , , , 
Fe II ,234.164827,7000,1.81E+08,108 387.934  , 11/2 
Fe II ,234.17756,1200,3.90E+07,105 379.425  , 5/2 
Fe II ,234.18023,2500,9.00E+07,105 518.142  , 3/2 
Fe II ,234.18375,900,5.90E+06,104 839.990  , 3/2 
Fe II ,234.22399,10000,8.00E+06,61 041.734  , 5/2 
 , , , , , 
Fe II ,234.23084, 5000bl(Fe II)* ,1.37E+08,104 192.487  , 9/2 
Fe II ,234.23084, 5000bl(Fe II)* ,1.60E+07,106 767.226  , 7/2 
Fe II ,234.23759,600, ,115 030.664  , 9/2 
Fe I ,234.2508, (1)bl , ,49 604.427  ,5
Fe I ,234.2551, 0? , ,50 052.194  ,5
 , , , , , 
Fe II ,234.27698,1400,3.10E+07,104 993.879  , 7/2 
Fe II ,234.288791,5000,1.01E+08,108 365.344  , 7/2 
Fe II ,234.330731,19000,4.50E+08,104 174.285  , 11/2 
Fe II ,234.34948,1000000,1.73E+08,42 658.2444 , 7/2 
Fe II ,234.3851,180,4.20E+06,109 652.241  , 5/2 
 , , , , , 
Fe II ,234.396076,190000,3.13E+07,45 079.9019 , 5/2 
Fe II ,234.3999,1300,2.00E+07,104 807.215  , 9/2 
Fe II ,234.415471,10000,2.73E+08,108 577.597  , 9/2 
Fe II ,234.428135,340000,9.27E+07,43 620.9842 , 3/2 
Fe II ,234.44653, 1900bl* ,3.40E+07,103 597.409  , 5/2 
 , , , , , 
Fe II ,234.44653, 1900bl* ,8.00E+06,107 065.951  , 3/2 
Fe II ,234.460275,14000,1.12E+08,106 924.441  , 9/2 
Fe II ,234.4798,500, ,63 465.134  , 3/2 
Fe II ,234.49541,400, ,114 596.462  , 3/2 
Fe II ,234.498419, 10000bl(Fe II)* ,3.20E+07,105 460.233  , 3/2 
 , , , , , 
Fe II ,234.498419, 10000bl(Fe II)* ,3.34E+08,108 709.424  , 7/2 
Fe I ,234.50274,98, ,49 558.734  ,4
Fe I ,234.5037, 9bl , ,62 192.735  ,5
Fe II ,234.51785,4000,4.50E+06,73 016.184  , 7/2 
Fe II ,234.533697,100000,7.30E+07,63 876.325  , 11/2 
 , , , , , 
Fe II ,234.53639,2800,5.80E+07,107 430.742  , 3/2 
Fe I ,234.5494,0, ,43 325.964  ,3
Fe I ,234.5563,8, ,62 377.66   ,4
Fe II ,234.59272,2500,2.00E+07,106 900.373  , 7/2 
Fe II ,234.5958,1700,4.20E+07,104 739.057  , 5/2 
 , , , , , 
Fe II ,234.62691, 8000bl(Fe II)* ,1.40E+07,74 606.864  , 5/2 
Fe II ,234.62691, 8000bl(Fe II)* ,1.30E+07,84 844.866  , 5/2 
Fe II ,234.62943,1600,4.30E+07,104 765.459  , 11/2 
Fe I ,234.6307, 2bl , ,43 022.985  ,4
Fe II ,234.635412,13000,3.20E+08,108 537.623  , 7/2 
 , , , , , 
Fe II ,234.65112,4000,1.80E+07,84 938.265  , 3/2 
Fe II ,234.661657,15000,3.59E+08,108 181.564  , 11/2 
Fe II ,234.668111,19000,3.40E+08,103 002.660  , 5/2 
Fe II ,234.67707,700, ,105 288.559  , 3/2 
