Ion, Observed , Rel. , Aki, Ek ,J
Fe II ,201.43699,3000,1.40E+07,107 038.375  , 7/2 
Fe III ,201.4421,24000,2.20E+07,137 528.06   ,4
Fe II ,201.4477, 700d? , ,72 261.742  , 11/2 
Fe III ,201.4523,7100, ,132 785.41   ,4
Fe II ,201.4696, 600d? , ,75 600.900  , 7/2 
 , , , , , 
Fe III ,201.4791,24000,3.50E+07,123 553.12   ,1
Fe II ,201.494, 400bl(Fe I) , ,110 570.312  , 7/2 
Fe I ,201.494,2, ,56 541.596  ,4
Fe III ,201.5069,32000,1.50E+08,132 105.12   ,2
Fe II ,201.5108,330, ,103 882.740  , 7/2 
 , , , , , 
Fe II ,201.52001,400,4.50E+06,107 017.932  , 5/2 
Fe III ,201.521,7100,3.80E+07,123 455.87   ,0
Fe II ,201.53546,500, ,104 505.359  , 3/2 
Fe VII ,201.537,67,2.17E+01,67 076.9    ,0
Fe II ,201.548729,28000,2.30E+07,63 272.981  , 5/2 
 , , , , , 
Fe III ,201.575,1200, ,134 265.49   ,2
Fe I ,201.5782,0, ,50 008.522  ,2
Fe II ,201.58517,600,1.30E+06,103 874.040  , 9/2 
Fe II ,201.60793,9000,1.90E+07,72 524.561  , 3/2 
Fe I ,201.65087,16, ,56 502.957  ,5
 , , , , , 
Fe III ,201.6713,43000,7.50E+07,138 264.58   ,6
Fe II ,201.6725, 400d? , ,99 757.211  , 9/2 
Fe II ,201.67862,400, ,110 609.548  , 3/2 
Fe II ,201.7033,1800, ,65 931.358  , 7/2 
Fe II ,201.7094,12000,1.50E+07,63 465.134  , 3/2 
 , , , , , 
Fe I ,201.7159,0, ,49 558.734  ,4
Fe III ,201.73,43000,1.10E+08,139 463.33   ,5
Fe III ,201.7625,9600, ,132 785.41   ,4
Fe II ,201.78508,5000,6.10E+06,72 352.046  , 7/2 
Fe II ,201.85476,600,9.00E+06,107 017.932  , 5/2 
 , , , , , 
Fe III ,201.8576,58000,1.80E+08,138 187.96   ,3
Fe II ,201.877742,35000,2.60E+07,65 363.607  , 11/2 
Fe II ,201.8894, 280d? , ,110 609.548  , 3/2 
Fe I ,201.9075,0, ,56 888.423  ,3
Fe II ,201.9192,700, ,70 314.624  , 9/2 
 , , , , , 
Fe I ,201.9775,1, ,56 871.345  ,3
Fe II ,201.9824, 2100d? ,3.10E+06,72 524.561  , 3/2 
Fe II ,202.0052, 800d? , ,62 962.215  , 3/2 
Fe I ,202.0452, 0d? , ,57 632.654  ,2
Fe II ,202.0714,700, ,110 428.305  , 5/2 
 , , , , , 
