Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,
Mg II , ,  ,9.63E+04,114 896.79  , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IX , ,  ,1.05E+08,1 758 970     ,3,,,,,,,,,,,,,
Mg II , ,  ,4.92E-04,80 650.02  , 3/2 ,,,,,,,,,,,,,
Mg II , ,  ,4.05E+02,80 650.02  , 3/2 ,,,,,,,,,,,,,
Mg II , ,  ,1.68E-04,80 619.50  , 1/2 ,,,,,,,,,,,,,
Mg II , ,  ,8.31E-04,80 650.02  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg II , ,  ,4.02E+02,80 650.02  , 3/2 ,,,,,,,,,,,,,
Mg II , ,  ,1.64E-03,80 619.50  , 1/2 ,,,,,,,,,,,,,
Mg II , ,  ,8.04E+02,80 619.50  , 1/2 ,,,,,,,,,,,,,
Mg IX , ,  ,6.68E+07,1 815 220     ,2,,,,,,,,,,,,,
Mg II , ,  ,1.07E+07,115 844.60  , 7/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg II , ,  ,7.15E+05,115 844.60  , 5/2 ,,,,,,,,,,,,,
Mg II , ,  ,1.00E+07,115 844.60  , 5/2 ,,,,,,,,,,,,,
Mg IX , ,  ,4.15E+07,1 755 470?    ,1,,,,,,,,,,,,,
Mg VII , ,  ,3.95E+00,85 153     ,0,,,,,,,,,,,,,
Mg VIII , ,  ,9.01E+05,1 486 970     , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg III ,227.3414,2,1.27E+06,475 502.9   ,1,,,,,,,,,,,,,
Mg III , ,  ,5.45E-05,475 502.9   ,1,,,,,,,,,,,,,
Mg IV , ,  ,1.49E+05,597 583.6   , 1/2 ,,,,,,,,,,,,,
Mg IV , ,  ,4.80E-04,597 583.6   , 1/2 ,,,,,,,,,,,,,
Mg VI , ,  ,5.12E+05,1 333 500?    , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VIII , ,  ,4.02E+04,1 548 850     , 5/2 ,,,,,,,,,,,,,
Mg X , ,  ,8.85E+07,1 726 520     , 1/2 ,,,,,,,,,,,,,
Mg V , ,  ,1.28E+06,942 634     ,0,,,,,,,,,,,,,
Mg VIII , ,  ,7.90E+05,1 556 590     , 1/2 ,,,,,,,,,,,,,
Mg VIII , ,  ,7.19E+05,1 733 900?    , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg II , ,  ,3.69E+05,114 898.72  , 3/2 ,,,,,,,,,,,,,
