Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,
Mg IX , ,  ,6.04E+06,1 816 210     ,1,,,,,,,,,,,,,
Mg I ,276.5222,5, ,58 023.246 ,2,,,,,,,,,,,,,
Mg I ,276.8339,7, ,58 023.246 ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg I ,277.669,18,1.32E+08,57 873.94  ,2,,,,,,,,,,,,,
Mg I ,277.827,18,1.82E+08,57 833.40  ,1,,,,,,,,,,,,,
Mg I ,277.9831, 20* ,1.36E+08,57 833.40  ,1,,,,,,,,,,,,,
Mg I ,277.9831, 20* ,4.09E+08,57 873.94  ,2,,,,,,,,,,,,,
Mg I ,278.1288,8, ,57 855.214 ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg I ,278.1416,18,5.43E+08,57 812.77  ,0,,,,,,,,,,,,,
Mg V , ,  ,1.71E-03,35 926     ,2,,,,,,,,,,,,,
Mg V , ,  ,1.87E+00,35 926     ,2,,,,,,,,,,,,,
Mg I ,278.2972,18,2.14E+08,57 833.40  ,1,,,,,,,,,,,,,
Mg III ,278.352, bl , ,570 112.8   ,0,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VIII , ,  ,9.86E+06,1 478 690     , 5/2 ,,,,,,,,,,,,,
Mg IV , ,  ,3.17E+04,680 493.2   , 5/2 ,,,,,,,,,,,,,
Mg III , ,  ,6.11E-04,467 378.5   ,1,,,,,,,,,,,,,
Mg III , ,  ,9.69E+05,467 378.5   ,1,,,,,,,,,,,,,
Mg II , ,  ,3.20E+04,105 629.72  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg II ,279.0776,9,4.01E+08,71 491.06  , 3/2 ,,,,,,,,,,,,,
Mg II , ,  ,2.29E-04,71 491.06  , 3/2 ,,,,,,,,,,,,,
Mg II , ,  ,1.63E-03,71 490.19  , 5/2 ,,,,,,,,,,,,,
Mg II , ,  ,4.02E+04,105 622.34  , 1/2 ,,,,,,,,,,,,,
Mg IX , ,  ,4.42E+00,405 100     ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IX , ,  ,1.94E-03,405 100     ,2,,,,,,,,,,,,,
Mg II ,279.5528, 13g ,2.60E+08,35 760.88  , 3/2 ,,,,,,,,,,,,,
Mg II , ,  ,3.80E-03,35 760.88  , 3/2 ,,,,,,,,,,,,,
Mg VIII , ,  ,1.20E+06,1 548 850     , 5/2 ,,,,,,,,,,,,,
Mg VIII , ,  ,6.47E+05,1 549 990     , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg II , ,  ,7.98E+07,71 491.06  , 3/2 ,,,,,,,,,,,,,
Mg II , ,  ,2.19E-10,71 491.06  , 3/2 ,,,,,,,,,,,,,
Mg II ,279.7998,10,4.79E+08,71 490.19  , 5/2 ,,,,,,,,,,,,,
Mg II , ,  ,8.82E-03,71 490.19  , 5/2 ,,,,,,,,,,,,,
Mg IV , ,  ,1.60E+06,680 493.2   , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VI , ,  ,9.15E+05,1 317 700?    , 3/2 ,,,,,,,,,,,,,
Mg II ,280.2704, 12g ,2.57E+08,35 669.31  , 1/2 ,,,,,,,,,,,,,
Mg VI , ,  ,1.64E+06,1 287 890?    , 3/2 ,,,,,,,,,,,,,
Mg I , ,  ,3.14E+07,83 536.84  ,3,,,,,,,,,,,,,
Mg I ,280.9761,3,2.50E+08,83 536.84  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg I , ,  ,4.38E+07,83 520.47  ,2,,,,,,,,,,,,,
Mg I , ,  ,4.22E+07,83 520.47  ,2,,,,,,,,,,,,,
Mg I ,281.1112, 2bl ,1.96E+08,83 520.47  ,2,,,,,,,,,,,,,
Mg I , ,  ,7.03E+07,83 511.25  ,1,,,,,,,,,,,,,
Mg I ,281.1781,1,2.11E+08,83 511.25  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IX , ,  ,3.53E+07,1 593 600     ,1,,,,,,,,,,,,,
Mg VIII , ,  ,1.03E+06,1 478 340     , 3/2 ,,,,,,,,,,,,,
Mg IX , ,  ,1.04E+07,2 284 920     ,3,,,,,,,,,,,,,
Mg IX , ,  ,2.59E+06,2 284 920     ,2,,,,,,,,,,,,,
Mg IV , ,  ,1.97E+06,680 033.7   , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VI , ,  ,2.63E+05,1 317 700?    , 3/2 ,,,,,,,,,,,,,
Mg IV , ,  ,5.61E+05,680 033.7   , 3/2 ,,,,,,,,,,,,,
Mg VI , ,  ,1.05E+06,1 287 890?    , 3/2 ,,,,,,,,,,,,,
Mg IX , ,  ,1.00E+07,1 815 220     ,2,,,,,,,,,,,,,
Mg II , ,  ,1.25E+06,115 794.44  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg II , ,  ,1.89E+06,115 764.99  , 1/2 ,,,,,,,,,,,,,
Mg II , ,  ,2.46E+05,115 794.44  , 3/2 ,,,,,,,,,,,,,
Mg II , ,  ,1.48E+06,115 794.39  , 5/2 ,,,,,,,,,,,,,
Mg I ,284.6716,12,1.31E+07,56 968.271 ,1,,,,,,,,,,,,,
Mg II , ,  ,3.77E+06,115 764.99  , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg I ,284.8342,14,1.77E+07,56 968.248 ,2,,,,,,,,,,,,,
Mg I , ,  ,9.86E+06,56 968.271 ,1,,,,,,,,,,,,,
Mg I , ,  ,6.53E+05,56 968.271 ,1,,,,,,,,,,,,,
Mg I , ,  ,5.88E+06,56 968.248 ,2,,,,,,,,,,,,,
Mg I ,285.166,16,2.35E+07,56 968.218 ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg I ,285.2127, 50g ,4.91E+08,35 051.264 ,1,,,,,,,,,,,,,
Mg VII , ,  ,2.66E-06,397 153     ,1,,,,,,,,,,,,,
Mg VII , ,  ,5.04E+00,397 153     ,1,,,,,,,,,,,,,
Mg VI , ,  ,8.02E+05,1 317 700?    , 3/2 ,,,,,,,,,,,,,
Mg VI , ,  ,5.15E+05,1 287 890?    , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IX , ,  ,7.43E+06,2 284 920     ,2,,,,,,,,,,,,,
Mg VI , ,  ,2.02E+05,1 287 040     , 3/2 ,,,,,,,,,,,,,
Mg VI , ,  ,1.22E+06,1 287 040     , 5/2 ,,,,,,,,,,,,,
Mg VI , ,  ,4.06E+06,1 287 040     , 7/2 ,,,,,,,,,,,,,
Mg III ,289.3221,2, ,564 731.6   ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg I ,290.2923,2, ,56 308.381 ,2,,,,,,,,,,,,,
Mg III ,290.5419,1,6.84E+05,530 420.6   ,1,,,,,,,,,,,,,
Mg I ,290.636,4, ,56 308.381 ,2,,,,,,,,,,,,,
Mg VI , ,  ,6.53E+05,1 287 040     , 1/2 ,,,,,,,,,,,,,
Mg VI , ,  ,2.09E+06,1 287 040     , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VI , ,  ,2.74E+06,1 287 040     , 5/2 ,,,,,,,,,,,,,
Mg III ,291.3657,1, ,564 731.6   ,1,,,,,,,,,,,,,
Mg I ,291.5453, 3d ,4.09E+08,80 693.01  ,2,,,,,,,,,,,,,
Mg III ,291.9351,1, ,564 664.6   ,2,,,,,,,,,,,,,
Mg VI , ,  ,3.20E+06,1 287 040     , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VI , ,  ,1.60E+06,1 287 040     , 3/2 ,,,,,,,,,,,,,
Mg V , ,  ,1.99E-04,35 926     ,2,,,,,,,,,,,,,
Mg V , ,  ,5.36E-01,35 926     ,2,,,,,,,,,,,,,
Mg II , ,  ,1.43E+06,105 629.72  , 3/2 ,,,,,,,,,,,,,
Mg II , ,  ,1.59E+05,105 629.72  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg II ,292.8634,9,1.15E+08,69 804.95  , 1/2 ,,,,,,,,,,,,,
Mg II , ,  ,1.57E+06,105 622.34  , 1/2 ,,,,,,,,,,,,,
Mg II ,293.6509,10,2.30E+08,69 804.95  , 1/2 ,,,,,,,,,,,,,
Mg II , ,  ,2.85E-03,69 804.95  , 1/2 ,,,,,,,,,,,,,
Mg I ,293.6739,10,1.37E+06,55 891.80  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg I ,293.8473,12,4.12E+06,55 891.80  ,1,,,,,,,,,,,,,
Mg I ,294.1995,13,6.83E+06,55 891.80  ,1,,,,,,,,,,,,,
Mg III ,294.3707,4, ,570 112.8   ,0,,,,,,,,,,,,,
Mg III ,295.0773,2, ,564 300.0   ,0,,,,,,,,,,,,,
Mg VI , ,  ,2.14E+06,1 282 670     , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg III ,296.0453,2, ,564 731.6   ,1,,,,,,,,,,,,,
Mg IV , ,  ,1.09E+05,678 395.1   , 5/2 ,,,,,,,,,,,,,
Mg II , ,  ,1.67E+06,114 332.74  , 3/2 ,,,,,,,,,,,,,
Mg III ,296.6338,4, ,564 664.6   ,2,,,,,,,,,,,,,
Mg II , ,  ,3.28E+05,114 332.74  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg II ,296.802,2,1.98E+06,114 332.68  , 5/2 ,,,,,,,,,,,,,
Mg II ,296.9145,1,2.25E+06,114 289.36  , 1/2 ,,,,,,,,,,,,,
Mg II ,297.1839,2,4.49E+06,114 289.36  , 1/2 ,,,,,,,,,,,,,
Mg IV , ,  ,2.89E+05,678 395.1   , 5/2 ,,,,,,,,,,,,,
Mg VI , ,  ,1.33E+06,1 282 400     , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VI , ,  ,2.63E+06,1 282 400     , 3/2 ,,,,,,,,,,,,,
Mg V , ,  ,5.20E-05,35 926     ,2,,,,,,,,,,,,,
Mg III ,299.971,1, ,564 289.8   ,1,,,,,,,,,,,,,
Mg VI , ,  ,8.04E+04,1 282 030     , 5/2 ,,,,,,,,,,,,,
Mg VI , ,  ,7.26E+05,1 282 030     , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VI , ,  ,2.01E+06,1 282 670     , 1/2 ,,,,,,,,,,,,,
Mg VII , ,  ,6.47E-09,118 100+x   ,2,,,,,,,,,,,,,
Mg VI , ,  ,1.96E+05,1 282 400     , 3/2 ,,,,,,,,,,,,,
Mg VI , ,  ,1.52E+07,1 373 760     , 3/2 ,,,,,,,,,,,,,
Mg VI , ,  ,5.06E+07,1 373 760     , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VI , ,  ,2.53E+08,1 373 760     , 1/2 ,,,,,,,,,,,,,
Mg VI , ,  ,1.62E+08,1 373 760     , 3/2 ,,,,,,,,,,,,,
Mg VI , ,  ,9.12E+07,1 373 760     , 5/2 ,,,,,,,,,,,,,
Mg VI , ,  ,1.26E+08,1 373 760     , 3/2 ,,,,,,,,,,,,,
Mg VI , ,  ,2.12E+08,1 373 760     , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VI , ,  ,3.03E+08,1 373 760     , 7/2 ,,,,,,,,,,,,,
Mg IV , ,  ,1.16E+05,677 451.9   , 7/2 ,,,,,,,,,,,,,
Mg V , ,  ,1.43E+05,1 075 090     ,1,,,,,,,,,,,,,
Mg V , ,  ,2.58E+05,1 075 090     ,2,,,,,,,,,,,,,
Mg III ,307.423, bl , ,562 939.5   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg III ,308.0208,1, ,562 634.2   ,1,,,,,,,,,,,,,
Mg IV , ,  ,2.47E+06,682 472.8   , 3/2 ,,,,,,,,,,,,,
Mg I ,309.1065,20,3.09E+07,54 192.335 ,1,,,,,,,,,,,,,
Mg I , ,  ,2.08E+07,54 192.335 ,1,,,,,,,,,,,,,
Mg I ,309.2984,22,3.74E+07,54 192.294 ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg V , ,  ,9.34E+03,1 075 090     ,1,,,,,,,,,,,,,
Mg V , ,  ,8.42E+04,1 075 090     ,2,,,,,,,,,,,,,
Mg V , ,  ,3.36E+05,1 075 090     ,3,,,,,,,,,,,,,
Mg I , ,  ,1.38E+06,54 192.335 ,1,,,,,,,,,,,,,
Mg I , ,  ,1.24E+07,54 192.294 ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg I ,309.689,24,4.96E+07,54 192.256 ,3,,,,,,,,,,,,,
Mg II , ,  ,5.31E+06,103 689.86  , 5/2 ,,,,,,,,,,,,,
Mg II ,310.4722,9,7.97E+07,103 689.92  , 7/2 ,,,,,,,,,,,,,
Mg II ,310.4809,8,7.44E+07,103 689.86  , 5/2 ,,,,,,,,,,,,,
Mg VI , ,  ,1.92E+05,1 290 470?    , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg III ,312.638,9, ,562 939.5   ,2,,,,,,,,,,,,,
Mg V , ,  ,3.28E+06,942 634     ,0,,,,,,,,,,,,,
Mg IX , ,  ,1.04E+07,2 288 380     ,2,,,,,,,,,,,,,
Mg III ,315.4336,8, ,564 664.6   ,2,,,,,,,,,,,,,
Mg III ,315.6506,2, ,562 634.2   ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VI , ,  ,1.25E+04,1 318 670?    , 5/2 ,,,,,,,,,,,,,
Mg VI , ,  ,1.12E+05,1 318 670?    , 5/2 ,,,,,,,,,,,,,
Mg VI , ,  ,4.98E+05,1 318 670?    , 5/2 ,,,,,,,,,,,,,
Mg II ,316.5878,3,2.89E+06,112 197.17  , 3/2 ,,,,,,,,,,,,,
Mg III ,316.7251,2, ,564 289.8   ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg II , ,  ,5.69E+05,112 197.17  , 3/2 ,,,,,,,,,,,,,
Mg II ,316.8951,6,3.43E+06,112 197.05  , 5/2 ,,,,,,,,,,,,,
Mg II ,317.2706,6,3.41E+06,112 129.20  , 1/2 ,,,,,,,,,,,,,
Mg II ,317.5783,7,6.81E+06,112 129.20  , 1/2 ,,,,,,,,,,,,,
Mg IV , ,  ,5.50E+06,682 472.8   , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg I ,319.7625,2, ,53 134.642 ,2,,,,,,,,,,,,,
Mg I ,320.1796,3, ,53 134.642 ,2,,,,,,,,,,,,,
Mg VI , ,  ,2.66E+06,1 289 600?    , 7/2 ,,,,,,,,,,,,,
Mg V , ,  ,3.06E+06,941 944     ,1,,,,,,,,,,,,,
Mg III ,320.6948,2, ,562 136.1   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg III ,321.3845,3, ,562 939.5   ,2,,,,,,,,,,,,,
Mg IV , ,  ,1.71E+06,681 023.3   , 1/2 ,,,,,,,,,,,,,
Mg VIII , ,  ,1.78E+03,1 638 790     , 5/2 ,,,,,,,,,,,,,
Mg VIII , ,  ,2.40E+04,1 638 790     , 3/2 ,,,,,,,,,,,,,
Mg IV , ,  ,3.96E+05,713 682.5   , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IV , ,  ,6.54E+04,713 682.5   , 3/2 ,,,,,,,,,,,,,
Mg VI , ,  ,3.49E+05,1 318 670?    , 5/2 ,,,,,,,,,,,,,
Mg VI , ,  ,2.84E+04,1 317 700?    , 3/2 ,,,,,,,,,,,,,
Mg VI , ,  ,1.82E+05,1 317 700?    , 3/2 ,,,,,,,,,,,,,
Mg VI , ,  ,3.57E+05,1 317 700?    , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VIII , ,  ,2.57E+03,1 638 790     , 3/2 ,,,,,,,,,,,,,
Mg VIII , ,  ,2.40E+04,1 638 790     , 5/2 ,,,,,,,,,,,,,
Mg IV , ,  ,3.35E+05,713 411.0   , 5/2 ,,,,,,,,,,,,,
Mg IV , ,  ,1.60E+07,680 493.2   , 5/2 ,,,,,,,,,,,,,
Mg IV , ,  ,1.33E-04,612 943.5?  , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IV , ,  ,5.92E-06,612 943.5?  , 1/2 ,,,,,,,,,,,,,
Mg IV ,329.234,4, ,612 943.5?  , 1/2 ,,,,,,,,,,,,,
Mg III ,329.905,12, ,562 136.1   ,2,,,,,,,,,,,,,
Mg III ,330.6392,13, ,561 798.7   ,3,,,,,,,,,,,,,
Mg VI , ,  ,1.44E+05,1 282 400     , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg III ,332.106,8, ,564 300.0   ,0,,,,,,,,,,,,,
Mg IX , ,  ,1.27E+07,2 288 380     ,2,,,,,,,,,,,,,
Mg I ,332.9919,17,3.09E+06,51 872.526 ,1,,,,,,,,,,,,,
Mg VI , ,  ,2.62E+05,1 282 670     , 1/2 ,,,,,,,,,,,,,
Mg I ,333.2146,19,1.02E+07,51 872.526 ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IV , ,  ,4.95E+06,680 033.7   , 3/2 ,,,,,,,,,,,,,
Mg III ,333.5905,12, ,562 939.5   ,2,,,,,,,,,,,,,
Mg III ,333.619,5, ,561 798.7   ,3,,,,,,,,,,,,,
Mg I ,333.6674,20,1.70E+07,51 872.526 ,1,,,,,,,,,,,,,
Mg IV , ,  ,7.55E-05,612 501.6   , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IV ,333.916,5,1.45E+07,612 501.6   , 3/2 ,,,,,,,,,,,,,
Mg IV , ,  ,2.87E+06,681 023.3   , 1/2 ,,,,,,,,,,,,,
Mg IV , ,  ,1.51E-05,612 501.6   , 3/2 ,,,,,,,,,,,,,
Mg IV , ,  ,1.47E+06,612 501.6   , 3/2 ,,,,,,,,,,,,,
Mg V , ,  ,2.88E+07,1 020 522     ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg III ,334.2577,11, ,562 634.2   ,1,,,,,,,,,,,,,
Mg III ,334.4899,2, ,564 664.6   ,2,,,,,,,,,,,,,
Mg V , ,  ,7.12E+06,1 020 419     ,2,,,,,,,,,,,,,
Mg V , ,  ,2.14E+07,1 020 419     ,2,,,,,,,,,,,,,
Mg VI , ,  ,3.17E+05,1 317 700?    , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg III ,335.3729,7, ,559 987.1   ,1,,,,,,,,,,,,,
Mg VI , ,  ,5.12E+04,1 282 670     , 1/2 ,,,,,,,,,,,,,
Mg VI , ,  ,2.15E+05,1 282 030     , 5/2 ,,,,,,,,,,,,,
Mg V , ,  ,1.17E+07,1 020 345     ,1,,,,,,,,,,,,,
Mg V , ,  ,7.85E+05,1 020 345     ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg V , ,  ,1.57E+07,1 020 345     ,1,,,,,,,,,,,,,
Mg III ,336.1412,12, ,564 664.6   ,2,,,,,,,,,,,,,
Mg VI , ,  ,4.08E+04,1 282 400     , 3/2 ,,,,,,,,,,,,,
Mg V , ,  ,2.64E+06,940 449     ,2,,,,,,,,,,,,,
Mg III ,338.1236,10, ,559 987.1   ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg III ,338.2901,11, ,564 731.6   ,1,,,,,,,,,,,,,
Mg VI , ,  ,1.25E+05,1 282 400     , 3/2 ,,,,,,,,,,,,,
Mg III ,338.7368,11, ,564 289.8   ,1,,,,,,,,,,,,,
Mg III ,339.0577,2, ,564 664.6   ,2,,,,,,,,,,,,,
Mg III ,339.9188,9, ,562 136.1   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VI , ,  ,8.82E+04,1 282 030     , 5/2 ,,,,,,,,,,,,,
Mg IV , ,  ,1.03E+06,712 124.5   , 1/2 ,,,,,,,,,,,,,
Mg IV , ,  ,1.74E+06,712 124.5   , 1/2 ,,,,,,,,,,,,,
Mg IX , ,  ,1.38E+07,1 807 860     ,2,,,,,,,,,,,,,
Mg III ,342.7794,1, ,562 136.1   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg III ,343.076, bl , ,589 126.8   ,1,,,,,,,,,,,,,
Mg III ,343.4236,1, ,564 289.8   ,1,,,,,,,,,,,,,
Mg III ,343.8623,1, ,561 798.7   ,3,,,,,,,,,,,,,
Mg IV , ,  ,6.85E+05,679 100.8   , 5/2 ,,,,,,,,,,,,,
Mg III ,344.4409,8, ,559 987.1   ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IV , ,  ,9.24E+06,680 033.7   , 3/2 ,,,,,,,,,,,,,
Mg IV , ,  ,7.65E-01,582 578.4   , 3/2 ,,,,,,,,,,,,,
Mg V , ,  ,1.77E+00,756 641     ,2,,,,,,,,,,,,,
Mg IV , ,  ,3.47E-01,582 562.4   , 5/2 ,,,,,,,,,,,,,
Mg V , ,  ,1.26E+00,756 641     ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IX , ,  ,1.79E+07,1 808 860     ,3,,,,,,,,,,,,,
Mg V , ,  ,3.36E-01,756 641     ,2,,,,,,,,,,,,,
Mg III ,346.7912,8, ,561 798.7   ,3,,,,,,,,,,,,,
Mg V , ,  ,7.08E-05,756 566     ,1,,,,,,,,,,,,,
Mg V , ,  ,2.07E+00,756 566     ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg III ,347.3424,3, ,588 768.9   ,2,,,,,,,,,,,,,
Mg V , ,  ,2.08E+00,756 545     ,0,,,,,,,,,,,,,
Mg VI , ,  ,1.89E+00,84 028.4   , 3/2 ,,,,,,,,,,,,,
Mg VI , ,  ,2.79E-01,84 028.4   , 3/2 ,,,,,,,,,,,,,
Mg VI , ,  ,3.21E+00,84 028.4   , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VI , ,  ,1.17E-01,84 028.4   , 3/2 ,,,,,,,,,,,,,
Mg IX , ,  ,7.27E+06,1 807 320     ,1,,,,,,,,,,,,,
Mg III ,349.7994,7, ,564 731.6   ,1,,,,,,,,,,,,,
Mg VI , ,  ,1.58E-01,83 920.0   , 1/2 ,,,,,,,,,,,,,
Mg VI , ,  ,2.36E-01,83 920.0   , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VI , ,  ,2.08E+00,83 920.0   , 1/2 ,,,,,,,,,,,,,
Mg III ,351.5602,8, ,562 634.2   ,1,,,,,,,,,,,,,
Mg IV , ,  ,5.07E-05,610 983.2?  , 1/2 ,,,,,,,,,,,,,
Mg IV ,351.946,3, ,610 983.2?  , 1/2 ,,,,,,,,,,,,,
Mg IV , ,  ,2.17E-06,610 983.2?  , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IV , ,  ,1.67E+05,678 428.3   , 3/2 ,,,,,,,,,,,,,
Mg III ,353.491, bl , ,591 220.7   ,1,,,,,,,,,,,,,
Mg II ,353.4972,7,5.80E+06,108 900.20  , 3/2 ,,,,,,,,,,,,,
Mg II , ,  ,1.15E+06,108 900.20  , 3/2 ,,,,,,,,,,,,,
Mg II ,353.8813,8,6.90E+06,108 900.02  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg II ,354.9516,7,5.64E+06,108 784.33  , 1/2 ,,,,,,,,,,,,,
Mg III ,355.1638,4, ,564 300.0   ,0,,,,,,,,,,,,,
Mg III ,355.2933,4, ,564 289.8   ,1,,,,,,,,,,,,,
Mg II ,355.3366,8,1.12E+07,108 784.33  , 1/2 ,,,,,,,,,,,,,
Mg VIII , ,  ,7.46E+03,1 638 790     , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VIII , ,  ,1.49E+03,1 638 790     , 3/2 ,,,,,,,,,,,,,
Mg VIII , ,  ,8.97E+03,1 638 790     , 5/2 ,,,,,,,,,,,,,
Mg III ,356.8385,4, ,562 939.5   ,2,,,,,,,,,,,,,
Mg VIII , ,  ,3.65E+06,1 409 400     , 3/2 ,,,,,,,,,,,,,
Mg III ,357.8273,1, ,562 136.1   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IV , ,  ,1.28E+04,677 980.0   , 1/2 ,,,,,,,,,,,,,
Mg IX , ,  ,4.03E+06,1 807 860     ,2,,,,,,,,,,,,,
Mg III ,358.8694,1, ,562 634.2   ,1,,,,,,,,,,,,,
Mg III ,360.1288,4, ,562 939.5   ,2,,,,,,,,,,,,,
Mg II ,361.3781,4,1.79E+05,97 468.92  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg II ,361.5583,3,1.56E+05,97 455.12  , 1/2 ,,,,,,,,,,,,,
Mg XI , ,  ,1.86E+07,(12 718 791.0)  ,2,,,,,,,,,,,,,
Mg I , ,  ,5.62E+06,80 693.01  ,2,,,,,,,,,,,,,
Mg I , ,  ,9.89E-05,49 346.729 ,1,,,,,,,,,,,,,
Mg I , ,  ,7.38E-05,49 346.729 ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg I , ,  ,2.12E-04,49 346.729 ,1,,,,,,,,,,,,,
Mg III ,364.132,1, ,562 634.2   ,1,,,,,,,,,,,,,
Mg I , ,  ,1.22E-04,49 346.729 ,1,,,,,,,,,,,,,
Mg I , ,  ,2.80E-04,49 346.729 ,1,,,,,,,,,,,,,
Mg III ,365.404,3, ,562 136.1   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IV , ,  ,1.34E+05,678 428.3   , 3/2 ,,,,,,,,,,,,,
Mg IX , ,  ,4.22E+05,1 807 320     ,1,,,,,,,,,,,,,
Mg IV , ,  ,6.87E+04,677 363.9   , 3/2 ,,,,,,,,,,,,,
Mg IV , ,  ,2.12E-01,582 578.4   , 3/2 ,,,,,,,,,,,,,
Mg III ,370.393,4, ,589 126.8   ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg III ,370.6745,10, ,588 768.9   ,2,,,,,,,,,,,,,
Mg III ,370.8609,1, ,562 136.1   ,2,,,,,,,,,,,,,
Mg III ,371.35, bl , ,591 220.7   ,1,,,,,,,,,,,,,
Mg VIII , ,  ,1.31E+07,1 408 370     , 1/2 ,,,,,,,,,,,,,
Mg IV , ,  ,4.25E+03,677 980.0   , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg III ,371.9838,4, ,561 798.7   ,3,,,,,,,,,,,,,
Mg IV , ,  ,2.77E+05,676 826.4   , 5/2 ,,,,,,,,,,,,,
Mg IV , ,  ,1.60E+05,609 305.8   , 3/2 ,,,,,,,,,,,,,
Mg IV , ,  ,2.80E-06,609 305.8   , 3/2 ,,,,,,,,,,,,,
Mg IV , ,  ,2.27E+05,609 305.8   , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
