Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,,
Ti II ,210.099, 1: , ,56 326.1371 , 5/2 ,,,,,,,,,,,,,,
Ti II ,210.13, 1: , ,52 471.895  , 5/2 ,,,,,,,,,,,,,,
Ti II ,210.288, 0: , ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti IV ,210.3106,18,5.00E+08,127 921.36   , 1/2 ,,,,,,,,,,,,,,
Ti II ,210.323, 1: , ,47 625.0485 , 5/2 ,,,,,,,,,,,,,,
Ti III ,210.36,5,5.60E+07,128 546.38   ,2,,,,,,,,,,,,,,
Ti II ,210.405, 0: , ,56 223.205  , 1/2 ,,,,,,,,,,,,,,
Ti II ,210.43784,3, ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,210.48373,8, ,82 243.0637 , 7/2 ,,,,,,,,,,,,,,
Ti III ,210.4857,4,1.10E+08,128 433.40   ,1,,,,,,,,,,,,,,
Ti III ,210.5092,5,1.70E+08,128 433.40   ,1,,,,,,,,,,,,,,
Ti II ,210.83241,21, ,72 608.9742 , 7/2 ,,,,,,,,,,,,,,
Ti II ,210.907, 0: , ,47 625.0485 , 5/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,211.00597,8, ,72 338.2060 , 3/2 ,,,,,,,,,,,,,,
Ti I ,211.38076,0, ,47 463.135  ,4,,,,,,,,,,,,,,
Ti II ,211.534147,25, ,72 451.6968 , 5/2 ,,,,,,,,,,,,,,
Ti II ,211.614, 0: , ,47 466.7479 , 7/2 ,,,,,,,,,,,,,,
Ti XIV , ,  ,9.10E-02,47 219      , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti XIV ,211.715,  ,1.89E+03,47 219      , 1/2 ,,,,,,,,,,,,,,
Ti I ,211.85342,5, ,47 187.507  ,2,,,,,,,,,,,,,,
Ti II ,212.0434,4, ,72 338.2060 , 3/2 ,,,,,,,,,,,,,,
Ti I ,212.19432,6, ,47 281.887  ,3,,,,,,,,,,,,,,
Ti I ,212.35489,10, ,47 463.135  ,4,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
