Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,
Al II ,209.479,300,1.64E+08,143 272.86  ,3,,,,,,,,,,,,,
Al I ,209.484," g,a ", ,47 721.3   , 3/2 ,,,,,,,,,,,,,
Al II , ,  ,8.10E+05,143 265.83  ,2,,,,,,,,,,,,,
Al II ,209.51,100,2.87E+07,143 265.83  ,2,,,,,,,,,,,,,
Al II ,209.514,200,1.55E+08,143 265.83  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,209.662," g,a ", ,47 793.0   , 5/2 ,,,,,,,,,,,,,
Al I ,209.875," g,a ", ,47 632.6   , 3/2 ,,,,,,,,,,,,,
Al I ,209.91," g,a ", ,[47 737.41] , 1/2 ,,,,,,,,,,,,,
Al II ,209.9709,80, ,142 961.20  ,1,,,,,,,,,,,,,
Al I ,209.979," g,a ", ,47 721.3   , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,210.258," g,a ", ,[47 546.12] , 1/2 ,,,,,,,,,,,,,
Al I ,210.285," g,a ", ,[47 652.58] , 1/2 ,,,,,,,,,,,,,
Al I ,210.366," g,a ", ,47 521.1   , 3/2 ,,,,,,,,,,,,,
Al I ,210.371," g,a ", ,47 632.6   , 5/2 ,,,,,,,,,,,,,
Al I ,210.755," g,a ", ,[47 546.12] , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,210.862," g,a* ", ,[47 409.97] , 1/2 ,,,,,,,,,,,,,
Al I ,210.862," g,a* ", ,47 521.1   , 5/2 ,,,,,,,,,,,,,
Al I ,211.361," g,a ", ,[47 409.97] , 1/2 ,,,,,,,,,,,,,
Al V , ,  ,1.10E+00,843 914     , 1/2 ,,,,,,,,,,,,,
Al V , ,  ,7.31E-01,843 914     , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,211.656," g,a ", ,[47 232.00] , 1/2 ,,,,,,,,,,,,,
Al I ,211.8312," g,a ",1.03E+07,47 192.38  , 3/2 ,,,,,,,,,,,,,
Al I ,212.159," g,a ", ,[47 232.00] , 1/2 ,,,,,,,,,,,,,
