Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,,
Na III ,208.2907,13, ,465 398.59    , 5/2 ,,,,,,,,,,,,,,
Na III ,209.4808,4,3.09E+07,464 631.29    , 3/2 ,,,,,,,,,,,,,,
Na III ,209.9563,6,8.62E+07,465 017.83    , 3/2 ,,,,,,,,,,,,,,
Na III ,210.0443,3,7.41E+07,466 011.91    , 1/2 ,,,,,,,,,,,,,,
Na VII , ,  ,3.83E+06,1 306 470       , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na VII , ,  ,3.84E+06,1 306 470       , 1/2 ,,,,,,,,,,,,,,
Na III ,210.2762,12,2.31E+08,464 945.37    , 5/2 ,,,,,,,,,,,,,,
Na III , ,  ,2.37E+06,464 411.94    , 1/2 ,,,,,,,,,,,,,,
Na II ,210.4516,7, , ,  ,,,,,,,,,,,,,,
Na III ,210.476,0,1.34E+08,493 293.98    , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na IV ,210.6327, 12bl ,2.72E+08,572 546.0     ,3,,,,,,,,,,,,,,
Na III , ,  ,1.52E+07,466 011.91    , 1/2 ,,,,,,,,,,,,,,
Na IV , ,  ,1.99E+07,572 546.0     ,3,,,,,,,,,,,,,,
Na III ,210.927,1,3.97E+07,493 192.06    , 3/2 ,,,,,,,,,,,,,,
Na II ,210.9585,7, , ,  ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na III ,211.265,7,1.54E+08,493 192.06    , 3/2 ,,,,,,,,,,,,,,
Na IV ,211.3099,4,4.70E+07,572 393.8     ,2,,,,,,,,,,,,,,
Na V , ,  ,1.44E+08,942 160?      , 7/2 ,,,,,,,,,,,,,,
Na IV ,211.4533,10,2.10E+08,572 393.8     ,2,,,,,,,,,,,,,,
Na II ,211.4551,20, , ,  ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na IV ,211.513,3,7.03E+07,572 379.5     ,1,,,,,,,,,,,,,,
Na IV , ,  ,3.12E+07,572 393.8     ,2,,,,,,,,,,,,,,
Na II ,211.6143,60, , ,  ,,,,,,,,,,,,,,
Na IV ,211.6158, 7bl ,2.04E+08,572 379.5     ,1,,,,,,,,,,,,,,
Na III ,211.675,12,3.03E+08,464 631.29    , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na II ,211.9428,15, , ,  ,,,,,,,,,,,,,,
Na III ,212.073, 4bl ,6.44E+07,494 685.86    , 3/2 ,,,,,,,,,,,,,,
Na III ,212.451,10,1.86E+08,494 602.73    , 5/2 ,,,,,,,,,,,,,,
Na IV ,212.4875,4,2.34E+08,643 625.6     ,2,,,,,,,,,,,,,,
Na III ,212.663,11,3.71E+08,464 411.94    , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na III , ,  ,1.37E+07,464 390.17    , 5/2 ,,,,,,,,,,,,,,
Na II ,212.7627,35, , ,  ,,,,,,,,,,,,,,
Na III ,212.7842,11, ,465 398.59    , 5/2 ,,,,,,,,,,,,,,
Na VII , ,  ,1.83E+08,1 338 470       , 7/2 ,,,,,,,,,,,,,,
Na IV , ,  ,4.36E+05,643 311.      ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na III ,214.0723,15,3.80E+08,445 873.20    , 5/2 ,,,,,,,,,,,,,,
Na III ,214.1068,9,3.11E+07,445 873.20    , 5/2 ,,,,,,,,,,,,,,
Na III ,214.186,1, ,464 077.16    , 3/2 ,,,,,,,,,,,,,,
Na VII , ,  ,1.87E+08,1 377 820       , 5/2 ,,,,,,,,,,,,,,
Na III ,214.4202,7,1.98E+07,445 797.52    , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na III ,214.4542,14,3.88E+08,445 797.52    , 3/2 ,,,,,,,,,,,,,,
Na III ,214.5231,9,8.27E+07,465 017.83    , 3/2 ,,,,,,,,,,,,,,
Na III ,214.6234,9,1.68E+08,494 685.86    , 3/2 ,,,,,,,,,,,,,,
Na III ,214.8574,12,1.54E+08,464 945.37    , 5/2 ,,,,,,,,,,,,,,
Na IV , ,  ,7.51E+05,643 052.      ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na III ,215.1653,10,1.34E+08,465 017.83    , 3/2 ,,,,,,,,,,,,,,
Na IV , ,  ,1.15E+06,596 578.9     ,2,,,,,,,,,,,,,,
Na IV , ,  ,1.15E+06,596 578.9     ,2,,,,,,,,,,,,,,
Na IV ,215.5762,10,2.97E+08,577 782.7     ,3,,,,,,,,,,,,,,
Na II ,215.5774,60, , ,  ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na VII , ,  ,1.95E+08,1 378 300       , 7/2 ,,,,,,,,,,,,,,
Na III , ,  ,3.67E+05,460 593.62    , 3/2 ,,,,,,,,,,,,,,
Na III ,215.9082,9,3.11E+08,493 849.24    , 1/2 ,,,,,,,,,,,,,,
Na III ,215.971,1, ,463 691.90    , 5/2 ,,,,,,,,,,,,,,
Na III ,216.3178,5,2.37E+07,464 631.29    , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na II ,216.6769,50, ,354 997.8     ,1,,,,,,,,,,,,,,
Na III , ,  ,7.26E+05,460 409.70    , 5/2 ,,,,,,,,,,,,,,
Na III ,216.9702,4,1.81E+07,464 631.29    , 3/2 ,,,,,,,,,,,,,,
Na II ,217.249,0, ,354 876.5     ,1,,,,,,,,,,,,,,
Na III , ,  ,4.45E+05,464 411.94    , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na III , ,  ,4.67E+05,460 257.21    , 7/2 ,,,,,,,,,,,,,,
Na III ,217.453, 10bl ,1.00E+08,464 390.17    , 5/2 ,,,,,,,,,,,,,,
Na VIII , ,  ,3.77E+06,1 485 340       ,2,,,,,,,,,,,,,,
Na IV , ,  ,6.39E+03,646 419.6     ,3,,,,,,,,,,,,,,
Na IV , ,  ,1.61E+06,646 419.6     ,3,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na VII , ,  ,1.26E+07,1 377 820       , 5/2 ,,,,,,,,,,,,,,
Na III , ,  ,1.77E+04,464 411.94    , 1/2 ,,,,,,,,,,,,,,
Na VIII , ,  ,2.78E+06,1 486 080       ,3,,,,,,,,,,,,,,
Na III ,218.2846,9,1.14E+07,411 951.78    , 3/2 ,,,,,,,,,,,,,,
Na III ,218.53,8,2.06E+08,493 293.98    , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na III ,218.5498,8,2.02E+08,493 849.24    , 1/2 ,,,,,,,,,,,,,,
